sequence,level,property_type,identifier,class_term,property_term,multiplicity,representation_term,domain_name,associated_class,definition,module,table,id,label_local,definition_local
570,2,Attribute,,Ledger Account,Account Subtype,0..1,Char,ACCOUNT TYPE,,The classification detailing a more specific categorization within an account type.,Base,20,BS10_06,,
571,2,Attribute,,Ledger Account,Account Hierarchy,0..1,Code,ACCOUNT HIERARCHY,,The class representing the structured levels of account classification within an organization's accounting system.,Base,20,BS10_07,,
572,2,Attribute,,Ledger Account,Balance Debit Or Credit Code,0..1,Code,DEBIT CREDIT CODE,,"The classification identifying the natural balance of an account, denoted by 'D' for a debit balance, or 'C' for a credit balance.",Base,20,BS10_08,,
573,2,Attribute,,Ledger Account,Active Indicator,0..1,Indicator,Indicator,,The flag indicating if a general ledger account is currently open and being used for accounting.,Base,20,BS10_09,,
574,2,Reference Association,,Ledger Account,,0..*,,,Business Segment,A class signifies the structural units depicted within an organizational chart. It serves to illustrate relationships with business partners and conveys various business contexts.,Base,20,BS10_10,,
575,1,Class,,Ledger Account Hierarchy,,,,,,A class records the structural relationships between individual ledger accounts.,Base,20,BS11,,
576,2,Reference Association,PK,Ledger Account Hierarchy,Child,1..1,,,Ledger Account,The ledger account that is part of a subsidiary grouping within an account hierarchy.,Base,20,BS11_01,,
577,2,Reference Association,PK,Ledger Account Hierarchy,Parent,1..1,,,Ledger Account,The primary ledger account that heads a grouping within an account hierarchy.,Base,20,BS11_02,,
578,1,Class,,Measurement Unit,,,,,,A class documents the units of measure utilized across various business documents and accounting ledgers.,Base,32,BS12,,
579,2,Attribute,PK,Measurement Unit,UOM Code,1..1,Identifier,MEASUREMENT UNIT CODE,,The unique code for the unit of measure used in transactions.,Base,32,BS12_01,,
580,2,Attribute,,Measurement Unit,UOM Name,0..1,Name,Name Medium,,The designation of the measurement unit used for quantifying materials or other entities.,Base,32,BS12_02,,
581,2,Attribute,,Measurement Unit,UOM Abbreviation,0..1,Char,Char Short,,An abbreviation representing the name of a measurement unit.,Base,32,BS12_03,,
582,2,Attribute,,Measurement Unit,Active Indicator,0..1,Indicator,Indicator,,The flag indicating if a unit of measure is currently employed for tracking and transactions.,Base,32,BS12_04,,
730,1,Class,,Payment Term,,,,,,"A class details conditions related to sales or purchase agreements, including payment instruments, credit periods, and discount terms.",Base,34,BS13,,
731,2,Attribute,PK,Payment Term,Code,1..1,Identifier,PAYMENT TERM CODE,,The unique code denoting the terms of payment.,Base,34,BS13_01,,
732,2,Attribute,,Payment Term,Name,0..1,Name,Name Long,,The official designation of a set of payment terms.,Base,34,BS13_02,,
733,2,Attribute,,Payment Term,Number,0..1,Char,Char Short,,The number for the position of a line within a set of payment terms.,Base,34,BS13_03,,
734,2,Attribute,,Payment Term,Description,0..1,Text,Text Medium,,The text that describes the conditions of a specific line within a payment term.,Base,34,BS13_04,,
735,2,Attribute,,Payment Term,Active Indicator,0..1,Indicator,Indicator,,The flag indicating if a set of payment terms is currently applicable for use in transactions.,Base,34,BS13_05,,
750,1,Class,,Project,,,,,,"A class designed for specific projects that can vary from construction to research and may receive public or private funding. It methodically logs key information such as organizational hierarchy, strategic approaches, processes, steps taken, records, budgetary outlines, actual expenses, and the progress made toward set goals.",Base,36,BS14,,
751,2,Attribute,PK,Project,ID,1..1,Identifier,Identifier Medium,,The unique identifier for a project.,Base,36,BS14_01,,
752,2,Attribute,,Project,Code,0..1,Char,Char Long,,The unique identifier assigned to a project.,Base,36,BS14_02,,
753,2,Attribute,,Project,Name,0..1,Name,Name Medium,,The designated title of a project within the context of operations and administration.,Base,36,BS14_03,,
754,2,Attribute,,Project,Beginning Date,0..1,Date,DATE,,The date on which a project is scheduled to start.,Base,36,BS14_04,,
755,2,Attribute,,Project,Ending Date,0..1,Date,DATE,,The date on which a project is scheduled to conclude.,Base,36,BS14_05,,
756,2,Attribute,,Project,Active Indicator,0..1,Indicator,Indicator,,The flag indicating if a project is currently ongoing and recognized within the operational scope.,Base,36,BS14_06,,
757,2,Reference Association,,Project,,0..*,,,Business Segment,A class signifies the structural units depicted within an organizational chart. It serves to illustrate relationships with business partners and conveys various business contexts.,Base,36,BS14_07,,
758,1,Class,,Purchase Contract,,,,,,A class representing an agreement with a vendor for the provision of goods or services within a specified period.,Purchase,104,PR01,,
223,2,Attribute,PK,Purchase Contract.Contract,ID,1..1,Identifier,Identifier Medium,,The unique identifier for a contract.,Purchase,0,PR01_GE08_01,,
224,2,Attribute,,Purchase Contract.Contract,Number,0..1,Char,Char Long,,"The number for a contract, facilitating its recognition and retrieval within a system.",Purchase,0,PR01_GE08_02,,
225,2,Attribute,,Purchase Contract.Contract,Type Name,0..1,Name,Name Medium,,The classification title given to a contract that specifies its nature and terms within the context of sales and purchase activities.,Purchase,0,PR01_GE08_03,,
226,2,Attribute,,Purchase Contract.Contract,Beginning Date,0..1,Date,DATE,,The date on which the terms of a contract become effective.,Purchase,0,PR01_GE08_04,,
227,2,Attribute,,Purchase Contract.Contract,Ending Date,0..1,Date,DATE,,The date on which the terms of a contract conclude or expire.,Purchase,0,PR01_GE08_05,,
228,2,Attribute,,Purchase Contract.Contract,Status,0..1,Code,STATUS CODE,,The current state of the contract's lifecycle.,Purchase,0,PR01_GE08_06,,
229,2,Attribute,,Purchase Contract.Contract,Remark,0..1,Text,Text Medium,,Annotations or supplemental information for a contract.,Purchase,0,PR01_GE08_07,,
231,2,Reference Association,,Purchase Contract.Contract,,0..*,,,Business Segment,A class signifies the structural units depicted within an organizational chart. It serves to illustrate relationships with business partners and conveys various business contexts.,Purchase,0,PR01_GE08_09,,
232,2,Reference Association,,Purchase Contract.Contract,Transaction,0..1,,,Currency,The currency in which the financial transaction for contracts denominated.,Purchase,0,PR01_GE08_10,,
233,2,Reference Association,,Purchase Contract.Contract,,0..1,,,Payment Term,"A class details conditions related to sales or purchase agreements, including payment instruments, credit periods, and discount terms.",Purchase,0,PR01_GE08_11,,
234,2,Reference Association,,Purchase Contract.Contract,,0..1,,,Settlement Method,"A class describing various methodologies adopted by the business to settle transactions, which can range from cash payments to bank transfers.",Purchase,0,PR01_GE08_12,,
761,2,Reference Association,,Purchase Contract,Purchase Organization,0..1,,,Business Segment,The business segment pertaining to the organization that manages purchase contracts.,Purchase,104,PR01_02,,
762,2,Reference Association,,Purchase Contract,Purchaser,0..1,,,Employee,The employee who is designated as the purchaser in a purchase contract.,Purchase,104,PR01_03,,
763,2,Reference Association,,Purchase Contract,,0..1,,,Supplier,A class containing essential information about suppliers.,Purchase,104,PR01_04,,
230,2,Composition,,Purchase Contract.Contract,,0..1,,,Activities,"A class capturing a record of system user actions within an auditee's system, which includes instances of entry, approval, last modification, and posting of data or transactions.",Purchase,0,PR01_GE08_08,,
760,2,Composition,,Purchase Contract,,0..*,,,Purchase Contract Line,"A class detailing each item within a purchase contract, specifying materials, quantities, suppliers, unit prices, and total trade amounts.",Purchase,104,PR01_01,,
764,1,Class,,Purchase Contract Line,,,,,,A class containing essential information about suppliers.,Purchase,106,PR02,,
236,2,Attribute,PK,Purchase Contract Line.Contract Line,ID,1..1,Identifier,Identifier Medium,,The unique identifier for a line item within a contract.,Purchase,0,PR02_GE09_01,,
237,2,Attribute,,Purchase Contract Line.Contract Line,Number,0..1,Char,Char Short,,"The number for a specific line within a contract, enabling distinction and reference.",Purchase,0,PR02_GE09_02,,
238,2,Attribute,,Purchase Contract Line.Contract Line,Due Date,0..1,Date,DATE,,The final date by which delivery of products or materials is requested.,Purchase,0,PR02_GE09_03,,
239,2,Attribute,,Purchase Contract Line.Contract Line,Status,0..1,Code,STATUS CODE,,The current state of the contract line item's lifecycle.,Purchase,0,PR02_GE09_04,,
246,2,Reference Association,,Purchase Contract Line.Contract Line,Settlement Organization,0..1,,,Business Segment,A class signifies the structural units depicted within an organizational chart. It serves to illustrate relationships with business partners and conveys various business contexts.,Purchase,0,PR02_GE09_11,,
247,2,Reference Association,,Purchase Contract Line.Contract Line,,0..*,,,Business Segment,A class signifies the structural units depicted within an organizational chart. It serves to illustrate relationships with business partners and conveys various business contexts.,Purchase,0,PR02_GE09_12,,
248,2,Reference Association,,Purchase Contract Line.Contract Line,,0..1,,,Inventory Product,The inventory product specified in a contract line item.,Purchase,0,PR02_GE09_13,,
766,2,Reference Association,,Purchase Contract Line,Receipt Organization,0..1,,,Business Segment,The business segment related to the organization that handles the receipt of purchase contract lines.,Purchase,106,PR02_01,,
240,2,Composition,,Purchase Contract Line.Contract Line,Tax Exclude,0..1,,,Amount,"The monetary amount of a contract line item without tax, recorded in the transaction currency.",Purchase,0,PR02_GE09_05,,
241,2,Composition,,Purchase Contract Line.Contract Line,Tax Exclude Unit Price,0..1,,,Amount,"The price per unit of a contract line item with tax included, recorded in the transaction currency.",Purchase,0,PR02_GE09_06,,
242,2,Composition,,Purchase Contract Line.Contract Line,Tax Include,0..1,,,Amount,"The monetary amount of a contract line item including tax, recorded in the transaction currency.",Purchase,0,PR02_GE09_07,,
243,2,Composition,,Purchase Contract Line.Contract Line,Tax Include Unit Price,0..1,,,Amount,Unit price (including tax) in transaction currency.,Purchase,0,PR02_GE09_08,,
244,2,Composition,,Purchase Contract Line.Contract Line,,0..1,,,Quantity,The quantity of items detailed in a contract line item.,Purchase,0,PR02_GE09_09,,
245,2,Composition,,Purchase Contract Line.Contract Line,,0..*,,,Tax,"A class maintaining records of tax implications and obligations, essential for legal compliance and financial planning.",Purchase,0,PR02_GE09_10,,
767,1,Class,,Purchase Invoice,,,,,,A class representing a vendor-issued document that details charges for goods or services provided within a specified period.,Purchase,112,PR03,,
524,2,Attribute,PK,Purchase Invoice.Invoice,ID,1..1,Identifier,Identifier Medium,,The unique identifier for an invoice.,Purchase,0,PR03_GE10_01,,
525,2,Attribute,,Purchase Invoice.Invoice,Number,0..1,Char,Char Long,,The number for an invoice.,Purchase,0,PR03_GE10_02,,
526,2,Attribute,,Purchase Invoice.Invoice,Official Invoice Code,0..1,Char,Char Short,,The identifier for an invoice that is assigned by tax authorities.,Purchase,0,PR03_GE10_03,,
527,2,Attribute,,Purchase Invoice.Invoice,Type Name,0..1,Name,Name Short,,The descriptor that categorizes the nature of an invoice.,Purchase,0,PR03_GE10_04,,
528,2,Attribute,,Purchase Invoice.Invoice,Date,0..1,Date,DATE,,The official date recorded on an invoice which initiates the calculation period for payment due.,Purchase,0,PR03_GE10_05,,
529,2,Attribute,,Purchase Invoice.Invoice,Due Date,0..1,Date,DATE,,The date by which payment for an invoice is required.,Purchase,0,PR03_GE10_06,,
530,2,Attribute,,Purchase Invoice.Invoice,Terms Discount Percentage,0..1,Decimal,Percent,,The percentage of discount offered by a supplier when payment is made within the specified discount days.,Purchase,0,PR03_GE10_07,,
531,2,Attribute,,Purchase Invoice.Invoice,Terms Discount Days,0..1,Integer,INTEGER,,The number of days from the invoice date that the customer is eligible for the discount if payment is made.,Purchase,0,PR03_GE10_08,,
532,2,Attribute,,Purchase Invoice.Invoice,Terms Due Days,0..1,Integer,INTEGER,,The standard time period in days before a customer's payment is considered overdue.,Purchase,0,PR03_GE10_09,,
533,2,Attribute,,Purchase Invoice.Invoice,Grouping Code,0..1,Char,Char Long,,The code that aggregates related invoices for consolidated processing or organizational purposes within an ERP system.,Purchase,0,PR03_GE10_10,,
534,2,Attribute,,Purchase Invoice.Invoice,Status,0..1,Code,STATUS CODE,,The current state of the invoice's lifecycle.,Purchase,0,PR03_GE10_11,,
535,2,Attribute,,Purchase Invoice.Invoice,Remark,0..1,Text,Text Medium,,Annotations or supplemental information for an invoice.,Purchase,0,PR03_GE10_12,,
539,2,Reference Association,,Purchase Invoice.Invoice,,0..1,,,Accounting Period,"A specific duration within a fiscal year, delineated by its beginning and ending dates. It serves as the timeframe during which business transactions and entries are accumulated and organized into financial statements and reports.",Purchase,0,PR03_GE10_16,,
540,2,Reference Association,,Purchase Invoice.Invoice,,0..*,,,Business Segment,A class signifies the structural units depicted within an organizational chart. It serves to illustrate relationships with business partners and conveys various business contexts.,Purchase,0,PR03_GE10_17,,
541,2,Reference Association,,Purchase Invoice.Invoice,,0..1,,,Payment Term,"A class details conditions related to sales or purchase agreements, including payment instruments, credit periods, and discount terms.",Purchase,0,PR03_GE10_18,,
542,2,Reference Association,,Purchase Invoice.Invoice,,0..1,,,Settlement Method,"A class describing various methodologies adopted by the business to settle transactions, which can range from cash payments to bank transfers.",Purchase,0,PR03_GE10_19,,
770,2,Reference Association,,Purchase Invoice,Settlement Organization,0..1,,,Business Segment,The business segment associated with the organization that settles purchase invoices.,Purchase,112,PR03_02,,
771,2,Reference Association,,Purchase Invoice,,0..1,,,Supplier,A class containing essential information about suppliers.,Purchase,112,PR03_03,,
536,2,Composition,,Purchase Invoice.Invoice,,0..1,,,Activities,"A class capturing a record of system user actions within an auditee's system, which includes instances of entry, approval, last modification, and posting of data or transactions.",Purchase,0,PR03_GE10_13,,
537,2,Composition,,Purchase Invoice.Invoice,Transaction,0..1,,,Amount,"The total monetary amount of all items on an invoice, summing the transaction amounts of individual lines.",Purchase,0,PR03_GE10_14,,
538,2,Composition,,Purchase Invoice.Invoice,,0..*,,,Tax,"The class maintaining records of tax implications and obligations, essential for legal compliance and financial planning.",Purchase,0,PR03_GE10_15,,
769,2,Composition,,Purchase Invoice,,0..*,,,Purchase Invoice Line,"A class describing the specifics of each invoice line received during the period under review, used to validate that invoiced items match ordered and received goods in the three-way matching process.",Purchase,112,PR03_01,,
772,1,Class,,Purchase Invoice Line,,,,,,A class representing detailed charges for individual goods or services provided as listed on a purchase invoice.,Purchase,114,PR04,,
544,2,Attribute,PK,Purchase Invoice Line.Invoice Line,ID,1..1,Identifier,Identifier Medium,,The unique identifier for a line within an invoice.,Purchase,0,PR04_GE11_01,,
545,2,Attribute,,Purchase Invoice Line.Invoice Line,Number,0..1,Char,Char Short,,The number for a particular line of an invoice.,Purchase,0,PR04_GE11_02,,
546,2,Attribute,,Purchase Invoice Line.Invoice Line,Grouping Code,0..1,Char,Char Long,,The code that consolidates related line items within an invoice for batch processing or organizational purposes within an ERP system.,Purchase,0,PR04_GE11_03,,
555,2,Reference Association,,Purchase Invoice Line.Invoice Line,,0..*,,,Business Segment,A class signifies the structural units depicted within an organizational chart. It serves to illustrate relationships with business partners and conveys various business contexts.,Purchase,0,PR04_GE11_12,,
556,2,Reference Association,,Purchase Invoice Line.Invoice Line,,0..1,,,Inventory Product,The inventory product detailed in an invoice line item.,Purchase,0,PR04_GE11_13,,
557,2,Reference Association,,Purchase Invoice Line.Invoice Line,Credit,0..1,,,Ledger Account,The ledger account associated with credit transactions on invoice lines.,Purchase,0,PR04_GE11_14,,
558,2,Reference Association,,Purchase Invoice Line.Invoice Line,Debit,0..1,,,Ledger Account,The ledger account associated with debit transactions on inThe ledger account that is part of a subsidiary grouping within an account hierarchy.voice lines.,Purchase,0,PR04_GE11_15,,
774,2,Reference Association,,Purchase Invoice Line,Purchase,0..1,,,Measurement Unit,The unit of measure for the quantity of an inventory product specified on a purchase invoice line.,Purchase,114,PR04_01,,
775,2,Reference Association,,Purchase Invoice Line,,0..1,,,Purchase Order,"A class capturing purchase orders placed during the period under review, serving as a control point in the three-way matching process for accounts payable, ensuring orders are matched with invoices and received goods.",Purchase,114,PR04_02,,
776,2,Reference Association,,Purchase Invoice Line,,0..1,,,Purchase Order Line,"A class containing details of each purchase order line placed during the period under review, fundamental for the three-way matching process that compares these details against invoices and goods receipt documentation.",Purchase,114,PR04_03,,
547,2,Composition,,Purchase Invoice Line.Invoice Line,Tax Exclude,0..1,,,Amount,"The monetary amount of an invoice line item before tax inclusion, recorded in the transaction currency.",Purchase,0,PR04_GE11_04,,
548,2,Composition,,Purchase Invoice Line.Invoice Line,Tax Exclude Unit Price,0..1,,,Amount,"The unit price of an invoice line item before tax, recorded in the transaction currency.",Purchase,0,PR04_GE11_05,,
549,2,Composition,,Purchase Invoice Line.Invoice Line,Tax Include,0..1,,,Amount,"The monetary amount of an invoice line item with tax included, recorded in the transaction currency.",Purchase,0,PR04_GE11_06,,
550,2,Composition,,Purchase Invoice Line.Invoice Line,Tax Include Unit Price,0..1,,,Amount,"The unit price for an invoice line item with tax, recorded in the transaction currency.",Purchase,0,PR04_GE11_07,,
551,2,Composition,,Purchase Invoice Line.Invoice Line,Transaction,0..1,,,Amount,"The monetary amount of a single item within an invoice, representing the transaction amount for that specific line.",Purchase,0,PR04_GE11_08,,
552,2,Composition,,Purchase Invoice Line.Invoice Line,Basic UOM,0..1,,,Quantity,The quantity of items on an invoice line as measured by the basic unit of measure.,Purchase,0,PR04_GE11_09,,
553,2,Composition,,Purchase Invoice Line.Invoice Line,Invoice,0..1,,,Quantity,The quantity of items listed on an invoice line.,Purchase,0,PR04_GE11_10,,
554,2,Composition,,Purchase Invoice Line.Invoice Line,,0..*,,,Tax,"A class maintaining records of tax implications and obligations, essential for legal compliance and financial planning.",Purchase,0,PR04_GE11_11,,
777,1,Class,,Purchase Materials Received,,,,,,A class capturing the details of goods received against purchase orders within a specified period.,Purchase,116,PR05,,
778,2,Attribute,PK,Purchase Materials Received,ID,1..1,Identifier,Identifier Long,,The unique identifier for a particular materials receipt transaction.,Purchase,116,PR05_01,,
779,2,Attribute,,Purchase Materials Received,Number,0..1,Char,Char Long,,The number for a receipt documenting the reception of purchased materials.,Purchase,116,PR05_02,,
780,2,Attribute,,Purchase Materials Received,Date,0..1,Date,DATE,,The date when materials purchased by the company are recorded as received.,Purchase,116,PR05_03,,
781,2,Attribute,,Purchase Materials Received,Reference Number,0..1,Char,Char Long,,"The number for a materials receipt, such as a company reference or official logistics waybill number.",Purchase,116,PR05_04,,
782,2,Attribute,,Purchase Materials Received,Shipping Method,0..1,Char,Char Medium,,"The specific process or service selected to convey goods from sender to receiver, applicable to both outbound and inbound logistics.",Purchase,116,PR05_05,,
783,2,Attribute,,Purchase Materials Received,Shipping Company,0..1,Name,Name Short,,"A shipping company is an entity engaged in the transportation of goods across various modes of transport, providing logistical and support services to ensure safe and timely delivery.",Purchase,116,PR05_06,,
784,2,Attribute,,Purchase Materials Received,Adjustment Indicator,0..1,Indicator,Indicator,,The indicator signifying that the transaction reflects a shipment adjustment rather than the original shipment,Purchase,116,PR05_07,,
785,2,Attribute,,Purchase Materials Received,Adjustment Description,0..1,Text,Text Medium,,"Textual clarification provided when changes are made to a recorded receipt, specifying the cause and nature of the adjustment.",Purchase,116,PR05_08,,
789,2,Reference Association,,Purchase Materials Received,,0..1,,,Accounting Period,"A specific duration within a fiscal year, delineated by its beginning and ending dates. It serves as the timeframe during which business transactions and entries are accumulated and organized into financial statements and reports.",Purchase,116,PR05_12,,
790,2,Reference Association,,Purchase Materials Received,,0..*,,,Business Segment,A class signifies the structural units depicted within an organizational chart. It serves to illustrate relationships with business partners and conveys various business contexts.,Purchase,116,PR05_13,,
791,2,Reference Association,,Purchase Materials Received,Receipt Organization,0..1,,,Business Segment,The business segment of the organization that receives purchased materials.,Purchase,116,PR05_14,,
792,2,Reference Association,,Purchase Materials Received,,0..1,,,Purchase Order,"A class capturing purchase orders placed during the period under review, serving as a control point in the three-way matching process for accounts payable, ensuring orders are matched with invoices and received goods.",Purchase,116,PR05_15,,
793,2,Reference Association,,Purchase Materials Received,,0..1,,,Supplier,A class containing essential information about suppliers.,Purchase,116,PR05_16,,
786,2,Composition,,Purchase Materials Received,,0..1,,,Activities,"A class capturing a record of system user actions within an auditee's system, which includes instances of entry, approval, last modification, and posting of data or transactions.",Purchase,116,PR05_09,,
787,2,Composition,,Purchase Materials Received,Transaction,0..1,,,Amount,"The cumulative monetary amount for all materials received within a purchase, recorded in the transaction currency specified for the entire receipt.",Purchase,116,PR05_10,,
788,2,Composition,,Purchase Materials Received,,0..*,,,Purchase Materials Received Line,"A class providing the details of each material line received during the period under review, essential for the three-way matching process that checks received quantities and conditions against the purchase order specifications.",Purchase,116,PR05_11,,
794,1,Class,,Purchase Materials Received Line,,,,,,"A class detailing the specifics of each item received, including the quantity, unit price, and total amount related to the purchase.",Purchase,118,PR06,,
795,2,Attribute,PK,Purchase Materials Received Line,ID,1..1,Identifier,Identifier Medium,,The unique identifier for a specific line within a materials receipt record.,Purchase,118,PR06_01,,
796,2,Attribute,,Purchase Materials Received Line,Number,0..1,Char,Char Long,,The number for a specific line within a materials receipt document.,Purchase,118,PR06_02,,
800,2,Reference Association,,Purchase Materials Received Line,,0..*,,,Business Segment,A class signifies the structural units depicted within an organizational chart. It serves to illustrate relationships with business partners and conveys various business contexts.,Purchase,118,PR06_06,,
801,2,Reference Association,,Purchase Materials Received Line,,0..1,,,Inventory Product,The inventory product specified in a purchase materials received line item.,Purchase,118,PR06_07,,
802,2,Reference Association,,Purchase Materials Received Line,,0..1,,,Purchase Order Line,"The class containing details of each purchase order line placed during the period under review, fundamental for the three-way matching process that compares these details against invoices and goods receipt documentation.",Purchase,118,PR06_08,,
797,2,Composition,,Purchase Materials Received Line,Transaction,0..1,,,Amount,"The monetary amount for a line of received materials within a purchase, recorded in the transaction currency specified for the receipt of that line.",Purchase,118,PR06_03,,
798,2,Composition,,Purchase Materials Received Line,Unit Price,0..1,,,Amount,"The monetary amount per unit for a line of materials received as part of a purchase, recorded in the transaction currency specified for the receipt line.",Purchase,118,PR06_04,,
799,2,Composition,,Purchase Materials Received Line,,0..1,,,Quantity,The quantity of items recorded as received on a purchase receipt line.,Purchase,118,PR06_05,,
803,1,Class,,Purchase Order,,,,,,A class representing a formal request to a vendor for the supply of goods or services within a specified period.,Purchase,108,PR07,,
584,2,Attribute,PK,Purchase Order.Order,ID,1..1,Identifier,Identifier Long,,The unique identifier for an order.,Purchase,0,PR07_GE12_01,,
585,2,Attribute,,Purchase Order.Order,Number,0..1,Char,Char Long,,"The number for an order, generated manually or by the system.",Purchase,0,PR07_GE12_02,,
586,2,Attribute,,Purchase Order.Order,Type Name,0..1,Name,Name Medium,,The label that specifies the type of order within sales or purchasing activities.,Purchase,0,PR07_GE12_03,,
587,2,Attribute,,Purchase Order.Order,Date,0..1,Date,DATE,,"The date on which a purchase order is made effective, distinct from the date of system entry.",Purchase,0,PR07_GE12_04,,
588,2,Attribute,,Purchase Order.Order,Status,0..1,Code,STATUS CODE,,The current state of the order's lifecycle.,Purchase,0,PR07_GE12_05,,
589,2,Attribute,,Purchase Order.Order,Remark,0..1,Text,Text Medium,,Annotations or supplemental information for an order.,Purchase,0,PR07_GE12_06,,
592,2,Reference Association,,Purchase Order.Order,,0..1,,,Accounting Period,"A specific duration within a fiscal year, delineated by its beginning and ending dates. It serves as the timeframe during which business transactions and entries are accumulated and organized into financial statements and reports.",Purchase,0,PR07_GE12_09,,
593,2,Reference Association,,Purchase Order.Order,,0..*,,,Business Segment,A class signifies the structural units depicted within an organizational chart. It serves to illustrate relationships with business partners and conveys various business contexts.,Purchase,0,PR07_GE12_10,,
594,2,Reference Association,,Purchase Order.Order,,0..1,,,Payment Term,"A class details conditions related to sales or purchase agreements, including payment instruments, credit periods, and discount terms.",Purchase,0,PR07_GE12_11,,
595,2,Reference Association,,Purchase Order.Order,,0..1,,,Settlement Method,"A class describing various methodologies adopted by the business to settle transactions, which can range from cash payments to bank transfers.",Purchase,0,PR07_GE12_12,,
806,2,Reference Association,,Purchase Order,Purchase Organization,0..1,,,Business Segment,The business segment involved with the organization placing the purchase order.,Purchase,108,PR07_02,,
807,2,Reference Association,,Purchase Order,Purchaser,0..1,,,Employee,The employee designated as the purchaser on a purchase order.,Purchase,108,PR07_03,,
808,2,Reference Association,,Purchase Order,,0..1,,,Supplier,A class containing essential information about suppliers.,Purchase,108,PR07_04,,
590,2,Composition,,Purchase Order.Order,,0..1,,,Activities,"A class capturing a record of system user actions within an auditee's system, which includes instances of entry, approval, last modification, and posting of data or transactions.",Purchase,0,PR07_GE12_07,,
591,2,Composition,,Purchase Order.Order,Transaction,0..1,,,Amount,"The total monetary amount for all lines within an order, recorded in the transaction currency specified for the entire order.",Purchase,0,PR07_GE12_08,,
805,2,Composition,,Purchase Order,,0..*,,,Purchase Order Line,"A class containing details of each purchase order line placed during the period under review, fundamental for the three-way matching process that compares these details against invoices and goods receipt documentation.",Purchase,108,PR07_01,,
809,1,Class,,Purchase Order Line,,,,,,A class representing the detailed specifications for goods or services requested in a purchase order.,Purchase,110,PR08,,
597,2,Attribute,PK,Purchase Order Line.Order Line,ID,1..1,Identifier,Identifier Medium,,The unique identifier for a line item within an order.,Purchase,0,PR08_GE13_01,,
598,2,Attribute,,Purchase Order Line.Order Line,Number,0..1,Char,Char Short,,"The number for a specific line within an order, generated manually or by the system.",Purchase,0,PR08_GE13_02,,
599,2,Attribute,,Purchase Order Line.Order Line,Payer ID,0..1,Char,Char Medium,,The unique identifier for the entity responsible for making payment on an order line.,Purchase,0,PR08_GE13_03,,
600,2,Attribute,,Purchase Order Line.Order Line,Due Date,0..1,Date,DATE,,The ultimate date by which the order is requested.,Purchase,0,PR08_GE13_04,,
601,2,Attribute,,Purchase Order Line.Order Line,Status,0..1,Code,STATUS CODE,,The current state of the order line item's lifecycle.,Purchase,0,PR08_GE13_05,,
610,2,Reference Association,,Purchase Order Line.Order Line,,0..*,,,Business Segment,A class signifies the structural units depicted within an organizational chart. It serves to illustrate relationships with business partners and conveys various business contexts.,Purchase,0,PR08_GE13_14,,
611,2,Reference Association,,Purchase Order Line.Order Line,Settlement Organization,0..1,,,Business Segment,The business segment of the organization responsible for the settlement of an order line.,Purchase,0,PR08_GE13_15,,
612,2,Reference Association,,Purchase Order Line.Order Line,,0..1,,,Inventory Product,The inventory product listed on an order line item.,Purchase,0,PR08_GE13_16,,
811,2,Reference Association,,Purchase Order Line,Receipt Organization,0..1,,,Business Segment,The business segment associated with the organization responsible for receiving order line items.,Purchase,110,PR08_01,,
812,2,Reference Association,,Purchase Order Line,,0..1,,,Project,"A class that records the comprehensive details of a project, related to purchase order lines.",Purchase,110,PR08_02,,
813,2,Reference Association,,Purchase Order Line,,0..1,,,Purchase Contract,"A class encapsulating the aggregate details of purchase contracts including involved parties, terms, and specifics of the items to be procured.",Purchase,110,PR08_03,,
814,2,Reference Association,,Purchase Order Line,,0..1,,,Purchase Contract Line,"A class detailing each item within a purchase contract, specifying materials, quantities, suppliers, unit prices, and total trade amounts.",Purchase,110,PR08_04,,
815,2,Reference Association,,Purchase Order Line,,0..1,,,Purchase Requisition,"A class summarizing requests to procure goods or services, indicating organizational needs during the review period.",Purchase,110,PR08_05,,
816,2,Reference Association,,Purchase Order Line,,0..1,,,Purchase Requisition Line,"A class detailing each requested item in a purchase requisition, outlining quantities and intended purchase details.",Purchase,110,PR08_06,,
602,2,Composition,,Purchase Order Line.Order Line,Tax Exclude,0..1,,,Amount,"The monetary amount of an order line item excluding tax, recorded in the transaction currency.",Purchase,0,PR08_GE13_06,,
603,2,Composition,,Purchase Order Line.Order Line,Tax Exclude Unit Price,0..1,,,Amount,"The unit price of an order line item excluding tax, recorded in the transaction currency.",Purchase,0,PR08_GE13_07,,
604,2,Composition,,Purchase Order Line.Order Line,Tax Include,0..1,,,Amount,"The monetary amount of an order line item including tax, recorded in the transaction currency.",Purchase,0,PR08_GE13_08,,
605,2,Composition,,Purchase Order Line.Order Line,Tax Include Unit Price,0..1,,,Amount,"The unit price of an order line item including tax, recorded in the transaction currency.",Purchase,0,PR08_GE13_09,,
606,2,Composition,,Purchase Order Line.Order Line,Transaction,0..1,,,Amount,"The monetary amount of a single line within an order, recorded in the transaction currency specified for that order line.",Purchase,0,PR08_GE13_10,,
607,2,Composition,,Purchase Order Line.Order Line,,0..1,,,Quantity,The quantity of items listed on an order line.,Purchase,0,PR08_GE13_11,,
608,2,Composition,,Purchase Order Line.Order Line,Basic UOM,0..1,,,Quantity,The quantity of items on an order line as measured by the basic unit of measure.,Purchase,0,PR08_GE13_12,,
