sequence,level,property_type,identifier,class_term,property_term,multiplicity,representation_term,domain_name,associated_class,definition,module,table,id
114,2,Reference Association,,JP Purchase Order Line,,0..1,,,Purchase Contract,"A class encapsulating the aggregate details of purchase contracts including involved parties, terms, and specifics of the items to be procured.",JP,0,JP18_03
115,2,Reference Association,,JP Purchase Order Line,,0..1,,,Purchase Contract Line,"A class detailing each item within a purchase contract, specifying materials, quantities, suppliers, unit prices, and total trade amounts.",JP,0,JP18_04
116,2,Reference Association,,JP Purchase Order Line,,0..1,,,Purchase Requisition,"A class summarizing requests to procure goods or services, indicating organizational needs during the review period.",JP,0,JP18_05
117,2,Reference Association,,JP Purchase Order Line,,0..1,,,Purchase Requisition Line,"A class detailing each requested item in a purchase requisition, outlining quantities and intended purchase details.",JP,0,JP18_06
118,1,Class,,JP Sales Order,,,,,,A class representing a formal request from a customer for the delivery of goods or services within a specified period.,JP,0,JP19
584,2,Attribute,PK,JP Sales Order.JP Order,ID,1..1,Identifier,Identifier Long,,The unique identifier for an order.,JP,0,JP19_JP15_GE13_01
585,2,Attribute,,JP Sales Order.JP Order,Number,0..1,Char,Char Long,,"The number for an order, generated manually or by the system.",JP,0,JP19_JP15_GE13_02
586,2,Attribute,,JP Sales Order.JP Order,Type Name,0..1,Name,Name Medium,,The label that specifies the type of order within sales or purchasing activities.,JP,0,JP19_JP15_GE13_03
587,2,Attribute,,JP Sales Order.JP Order,Date,0..1,Date,DATE,,"The date on which a purchase order is made effective, distinct from the date of system entry.",JP,0,JP19_JP15_GE13_04
588,2,Attribute,,JP Sales Order.JP Order,Status,0..1,Code,STATUS CODE,,The current state of the order's lifecycle.,JP,0,JP19_JP15_GE13_05
589,2,Attribute,,JP Sales Order.JP Order,Remark,0..1,Text,Text Medium,,Annotations or supplemental information for an order.,JP,0,JP19_JP15_GE13_06
590,2,Composition,,JP Sales Order.JP Order,,0..1,,,Activities,"A class capturing a record of system user actions within an auditee's system, which includes instances of entry, approval, last modification, and posting of data or transactions.",JP,0,JP19_JP15_GE13_07
591,2,Composition,,JP Sales Order.JP Order,Transaction,0..1,,,Amount,"The total monetary amount for all lines within an order, recorded in the transaction currency specified for the entire order.",JP,0,JP19_JP15_GE13_08
592,2,Reference Association,,JP Sales Order.JP Order,,0..1,,,Accounting Period,"A specific duration within a fiscal year, delineated by its beginning and ending dates. It serves as the timeframe during which business transactions and entries are accumulated and organized into financial statements and reports.",JP,0,JP19_JP15_GE13_09
593,2,Reference Association,,JP Sales Order.JP Order,,0..*,,,Business Segment,A class signifies the structural units depicted within an organizational chart. It serves to illustrate relationships with business partners and conveys various business contexts.,JP,0,JP19_JP15_GE13_10
594,2,Reference Association,,JP Sales Order.JP Order,,0..1,,,Payment Term,"A class details conditions related to sales or purchase agreements, including payment instruments, credit periods, and discount terms.",JP,0,JP19_JP15_GE13_11
595,2,Reference Association,,JP Sales Order.JP Order,,0..1,,,Settlement Method,"A class describing various methodologies adopted by the business to settle transactions, which can range from cash payments to bank transfers.",JP,0,JP19_JP15_GE13_12
91,2,Composition,,JP Sales Order.JP Order,Local,0..1,,,Amount,The monetary amount of an order recorded in the local currency.,JP,0,JP19_JP15_02
92,2,Composition,,JP Sales Order.JP Order,,0..*,,,Consumption Tax Subtotal,Add Consumption Tax Subtotal by Tax Category information.,JP,0,JP19_JP15_03
120,2,Reference Association,,JP Sales Order,Sales Organization,0..1,,,Business Segment,The business segment pertaining to the organization that processes sales orders.,JP,0,JP19_01
121,2,Reference Association,,JP Sales Order,Salesperson,0..1,,,Employee,The employee responsible for the sales order as a salesperson.,JP,0,JP19_02
122,2,Composition,,JP Sales Order,,0..1,,,Customer,A class that records broad customer information related to sales orders.,JP,0,JP19_03
123,2,Composition,,JP Sales Order,,0..*,,,JP Sales Order Line,A class representing the detailed specifications for goods or services requested in a sales order.,JP,0,JP19_04
124,1,Class,,JP Sales Order Line,,,,,,A class representing the detailed specifications for goods or services requested in a sales order.,JP,0,JP20
597,2,Attribute,PK,JP Sales Order Line.JP Order Line,ID,1..1,Identifier,Identifier Medium,,The unique identifier for a line item within an order.,JP,0,JP20_JP16_GE14_01
598,2,Attribute,,JP Sales Order Line.JP Order Line,Number,0..1,Char,Char Short,,"The number for a specific line within an order, generated manually or by the system.",JP,0,JP20_JP16_GE14_02
599,2,Attribute,,JP Sales Order Line.JP Order Line,Payer ID,0..1,Char,Char Medium,,The unique identifier for the entity responsible for making payment on an order line.,JP,0,JP20_JP16_GE14_03
600,2,Attribute,,JP Sales Order Line.JP Order Line,Due Date,0..1,Date,DATE,,The ultimate date by which the order is requested.,JP,0,JP20_JP16_GE14_04
601,2,Attribute,,JP Sales Order Line.JP Order Line,Status,0..1,Code,STATUS CODE,,The current state of the order line item's lifecycle.,JP,0,JP20_JP16_GE14_05
602,2,Composition,,JP Sales Order Line.JP Order Line,Tax Exclude,0..1,,,Amount,"The monetary amount of an order line item excluding tax, recorded in the transaction currency.",JP,0,JP20_JP16_GE14_06
603,2,Composition,,JP Sales Order Line.JP Order Line,Tax Exclude Unit Price,0..1,,,Amount,"The unit price of an order line item excluding tax, recorded in the transaction currency.",JP,0,JP20_JP16_GE14_07
604,2,Composition,,JP Sales Order Line.JP Order Line,Tax Include,0..1,,,Amount,"The monetary amount of an order line item including tax, recorded in the transaction currency.",JP,0,JP20_JP16_GE14_08
605,2,Composition,,JP Sales Order Line.JP Order Line,Tax Include Unit Price,0..1,,,Amount,"The unit price of an order line item including tax, recorded in the transaction currency.",JP,0,JP20_JP16_GE14_09
607,2,Composition,,JP Sales Order Line.JP Order Line,,0..1,,,Quantity,The quantity of items listed on an order line.,JP,0,JP20_JP16_GE14_11
608,2,Composition,,JP Sales Order Line.JP Order Line,Basic UOM,0..1,,,Quantity,The quantity of items on an order line as measured by the basic unit of measure.,JP,0,JP20_JP16_GE14_12
610,2,Reference Association,,JP Sales Order Line.JP Order Line,,0..*,,,Business Segment,A class signifies the structural units depicted within an organizational chart. It serves to illustrate relationships with business partners and conveys various business contexts.,JP,0,JP20_JP16_GE14_14
611,2,Reference Association,,JP Sales Order Line.JP Order Line,Settlement Organization,0..1,,,Business Segment,The business segment of the organization responsible for the settlement of an order line.,JP,0,JP20_JP16_GE14_15
94.5,2,Attribute,,JP Sales Order Line.JP Order Line,Quantity Per Package,0..1,Integer,,,"The number of individual items in the Basic UOM (smallest unit, e.g., ""PC"" for pencil) contained within a larger unit as specified in the Line UOM (such as dozens, cartons, or other packaging formats).",JP,0,JP20_JP16_01
98,2,Composition,,JP Sales Order Line.JP Order Line,Tax Exclude Local,0..1,,,Amount,"The monetary amount of an order line item excluding tax, recorded in the local currency.",JP,0,JP20_JP16_05
99,2,Composition,,JP Sales Order Line.JP Order Line,Tax Exclude Unit Price Local,0..1,,,Amount,"The unit price of an order line item excluding tax, recorded in the local currency.",JP,0,JP20_JP16_06
100,2,Composition,,JP Sales Order Line.JP Order Line,Tax Include Local,0..1,,,Amount,"The monetary amount of an order line item including tax, recorded in the local currency.",JP,0,JP20_JP16_07
101,2,Composition,,JP Sales Order Line.JP Order Line,Tax Include Unit Price Local,0..1,,,Amount,"The unit price of an order line item including tax, recorded in the local currency.",JP,0,JP20_JP16_08
127,2,Composition,,JP Sales Order Line.JP Order Line,Standard Product Cost,0..1,,,Amount,The monetary amount of astandard product cost recorded in the transaction currency.,JP,0,JP20_JP16_09
128,2,Composition,,JP Sales Order Line.JP Order Line,Standard Cost Per Unit,0..1,,,Amount,The monetary amount of astandard product cost recorded in the transaction currency.,JP,0,JP20_JP16_10
129,2,Composition,,JP Sales Order Line.JP Order Line,List Price,0..1,,,Amount,The monetary amount of astandard product cost recorded in the transaction currency.,JP,0,JP20_JP16_11
130,2,Composition,,JP Sales Order Line.JP Order Line,Standard Unit Price,0..1,,,Amount,The monetary amount of astandard product cost recorded in the transaction currency.,JP,0,JP20_JP16_12
102,2,Composition,,JP Sales Order Line.JP Order Line,,0..1,,,JP Product,The inventory product listed on an order line item.,JP,0,JP20_JP16_13
103,2,Composition,,JP Sales Order Line.JP Order Line,,0..1,,,Consumption Tax Line,Consumption Tax Line information.,JP,0,JP20_JP16_14
126,2,Reference Association,,JP Sales Order Line,Dispatch Organization,0..1,,,Business Segment,The business segment concerning the organisation that handles the dispatch of sales shipments.,JP,0,JP20_01
131,2,Reference Association,,JP Sales Order Line,,0..1,,,Sales Contract,"A class providing an overview of sales agreements, documenting the commitment to sell products or services within a specific period.",JP,0,JP20_02
132,2,Reference Association,,JP Sales Order Line,,0..1,,,Sales Contract Line,"A class detailing the terms of individual items within a sales contract, including product details and financial terms.",JP,0,JP20_03
210,1,Class,,Business Segment,,,,,,A class signifies the structural units depicted within an organizational chart. It serves to illustrate relationships with business partners and conveys various business contexts.,Base,4,BS04
211,2,Attribute,PK,Business Segment,Code,1..1,Identifier,Identifier Short,,The unique code identifying a specific business segment.,Base,4,BS04_01
212,2,Attribute,,Business Segment,Name,0..1,Name,Name Medium,,The designated label for a distinct area of a company's operations.,Base,4,BS04_02
213,2,Attribute,PK,Business Segment,Segment Reference Level,1..1,Char,Char Short,,"The hierarchical level of a business segment within the organization, with lower numbers indicating higher levels.",Base,4,BS04_03
214,2,Attribute,,Business Segment,Organization Type Name,0..1,Name,Name Short,,"The designation of the type of organizational unit, such as a department or cost center.",Base,4,BS04_04
215,1,Class,,Business Segment Hierarchy,,,,,,"A class organizes and links the structure and relationships of business units, allowing transaction integration from lower to higher levels.",Base,6,BS05
216,2,Reference Association,PK,Business Segment Hierarchy,Child,1..1,,,Business Segment,The business segment instance that is designated as a subordinate in a business segment hierarchy structure.,Base,6,BS05_01
217,2,Reference Association,PK,Business Segment Hierarchy,Parent,1..1,,,Business Segment,The business segment instance that is designated as a superior in a business segment hierarchy structure.,Base,6,BS05_02
298,1,Class,,Employee,,,,,,A class that holds individual employee details within a specific accounting entity.,Base,8,BS14
299,2,Attribute,PK,Employee,ID,1..1,Identifier,Identifier Medium,,The unique identifier for an employee.,Base,8,BS14_01
300,2,Attribute,,Employee,Code,0..1,Char,Char Medium,,"The unique identification code assigned to an employee, which remains singular across various roles or departments within the organization.",Base,8,BS14_02
301,2,Attribute,,Employee,Name,0..1,Name,Name Medium,,The name of an individual employed by an organization.,Base,8,BS14_03
302,2,Attribute,,Employee,Active Indicator,0..1,Indicator,Indicator,,"The binary indicator that denotes an employee's current operational status within the organization, with '1' for active and '0' for inactive.",Base,8,BS14_04
303,2,Attribute,,Employee,Type Code,0..1,Char,Char Medium,,The classification assigned to employees to represent their employment status.,Base,8,BS14_05
304,2,Attribute,,Employee,Type Name,0..1,Name,Name Short,,The category that describes an employee's work arrangement or status with an organization.,Base,8,BS14_06
305,2,Attribute,,Employee,Job Title,0..1,Char,Char Medium,,"The official designation assigned to an employee within an organization, reflecting their duties and responsibilities.",Base,8,BS14_07
306,2,Attribute,,Employee,Academic Degree,0..1,Char,Char Medium,,The highest level of academic qualification obtained by an employee.,Base,8,BS14_08
307,2,Attribute,,Employee,Employment Date,0..1,Date,DATE,,The date an individual officially began their period of employment with an organization.,Base,8,BS14_09
308,2,Attribute,,Employee,Termination Date,0..1,Date,DATE,,The date on which an employee's contract ceases to be effective or the date the employee ceases working in a particular department.,Base,8,BS14_10
309,2,Reference Association,,Employee,Department,0..1,,,Business Segment,A class signifies the structural units depicted within an organizational chart. It serves to illustrate relationships with business partners and conveys various business contexts.,Base,8,BS14_11
310,2,Reference Association,,Employee,,0..1,,,User,"The class holds user information that's key to controlling access, ensuring security, and monitoring system activities.",Base,8,BS14_12
957,1,Class,,User,,,,,,"A class with user details, important for overseeing access, maintaining security, and tracking system use.",Base,10,BS29
958,2,Attribute,PK,User,ID,1..1,Identifier,Identifier Short,,"The unique identifier for individuals entering transactions into the accounting and/or ERP system.
",Base,10,BS29_01
959,2,Attribute,,User,Active Indicator,0..1,Indicator,Indicator,,The flag indicating the active status of a user within the system. An active status signifies that the user is authorized and able to access system functionalities.,Base,10,BS29_02
960,2,Attribute,,User,Status Modified Date,0..1,Date,DATE,,The date on which the activation or termination status of the user was last modified.,Base,10,BS29_03
961,2,Attribute,,User,Name,0..1,Name,Name Medium,,The identifying label assigned to an individual within the system.,Base,10,BS29_04
962,2,Attribute,,User,Job Title,0..1,Char,Char Long,,"The designation of the individual's role within the system, indicating their position or responsibility.",Base,10,BS29_05
963,2,Attribute,,User,Role Responsibility,0..1,Char,Char Long,,A descriptive depiction of the functional role or primary responsibility of the individual within the system.,Base,10,BS29_06
964,2,Reference Association,,User,Department,0..1,,,Business Segment,The department within a business segment that is associated with a particular user.,Base,10,BS29_07
275,1,Class,,Customer Type,,,,,,A class contains detailed descriptions of customer categories.,Base,12,BS09
276,2,Attribute,PK,Customer Type,ID,1..1,Identifier,Identifier Medium,,The unique identifier for the type of customer.,Base,12,BS09_01
277,2,Attribute,,Customer Type,Code,0..1,Code,CUSTOMER TYPE CODE,,The identifier that categorizes the type of customer within an organizational system.,Base,12,BS09_02
278,2,Attribute,,Customer Type,Name,0..1,Name,Name Medium,,The designation for the category of customers based on their attributes.,Base,12,BS09_03
279,1,Class,,Customer Type Hierarchy,,,,,,A class outlines the levels and relationships among different types of customers.,Base,12,BS10
280,2,Reference Association,PK,Customer Type Hierarchy,Child,1..1,,,Customer Type,The classification of customer that falls under a subordinate level within a customer type hierarchy.,Base,12,BS10_01
281,2,Reference Association,PK,Customer Type Hierarchy,Parent,1..1,,,Customer Type,The classification of customer that holds a superior level within a customer type hierarchy.,Base,12,BS10_02
254,1,Class,,Customer,,,,,,A class holds basic and broad details about customers.,Base,14,BS07
255,2,Attribute,PK,Customer,Account ID,1..1,Identifier,Identifier Long,,The unique identifier for a customer account.,Base,14,BS07_01
256,2,Attribute,,Customer,Account Number,0..1,Char,Char Long,,The number for a customer's account.,Base,14,BS07_02
257,2,Attribute,,Customer,Account Name,0..1,Name,Name Long,,The legal or registered name of the customer.,Base,14,BS07_03
258,2,Attribute,,Customer,Abbreviation,0..1,Name,Name Medium,,The abbreviated representation of a customer's full name used for simplified referencing in a system.,Base,14,BS07_04
259,2,Attribute,,Customer,TIN,0..1,Char,TAX IDENTIFICATION NUMBER,,The tax identification number assigned to the customer by a tax authority.,Base,14,BS07_05
260,2,Attribute,,Customer,Inactive Date,0..1,Date,DATE,,"The date marking the change of a customer's status to inactive due to factors such as credit limit exceedance, legal constraints, contract cessation, or bankruptcy.",Base,14,BS07_06
261,2,Attribute,,Customer,Terms Discount Percentage,0..1,Decimal,Percent,,"Discount percentage the customer can take if an invoice is paid before a certain number of days.
",Base,14,BS07_07
262,2,Attribute,,Customer,Terms Discount Days,0..1,Integer,INTEGER,,"The percentage of discount offered by a supplier when payment is made within the specified discount days.
",Base,14,BS07_08
263,2,Attribute,,Customer,Terms Due Days,0..1,Integer,INTEGER,,The standard time period in days before a customer's payment is considered overdue.,Base,14,BS07_09
264,2,Composition,,Customer,,0..1,,,Activities,"A class capturing a record of system user actions within an auditee's system, which includes instances of entry, approval, last modification, and posting of data or transactions.",Base,14,BS07_10
265,2,Composition,,Customer,Billing,0..1,,,Address,"The address to which billing statements and invoices are sent for a customer, typically used for payment processing and correspondence.",Base,14,BS07_11
266,2,Composition,,Customer,Physical,0..1,,,Address,"The actual geographic location of a customer, including street name, number, city, and postal code, where the customer is physically located",Base,14,BS07_12
267,2,Composition,,Customer,Total Credit Limit,0..1,,,Amount,"The maximum monetary amount of credit available to a customer, as defined by the lending institution.",Base,14,BS07_13
268,2,Composition,,Customer,Transaction Credit Limit,0..1,,,Amount,"The maximum monetary amount a customer is authorized to borrow for a single transaction, as set by the credit provider.",Base,14,BS07_14
269,2,Composition,,Customer,Primary,0..1,,,Contact,"The main point of contact for a customer, typically responsible for communication and decision-making regarding business transactions.",Base,14,BS07_15
270,2,Reference Association,,Customer,,0..1,,,Customer Type,A class contains detailed descriptions of customer categories.,Base,14,BS07_16
271,2,Reference Association,,Customer,Corresponding,0..1,,,Supplier,The supplier associated with or equivalent to a specific customer in business transactions.,Base,14,BS07_17
272,1,Class,,Customer Hierarchy,,,,,,A class defines the relationships between individual customers.,Base,14,BS08
273,2,Reference Association,PK,Customer Hierarchy,Child,1..1,,,Customer,The customer instance that is designated as a subordinate in a customer hierarchy structure.,Base,14,BS08_01
274,2,Reference Association,PK,Customer Hierarchy,Parent,1..1,,,Customer,The customer instance that is designated as a superior in a customer hierarchy structure.,Base,14,BS08_02
923,1,Class,,Supplier Type,,,,,,A class with comprehensive descriptions of supplier classifications based on defined criteria.,Base,16,BS25
924,2,Attribute,PK,Supplier Type,ID,1..1,Identifier,Identifier Medium,,The unique identifier for the type of supplier.,Base,16,BS25_01
925,2,Attribute,,Supplier Type,Code,0..1,Code,SUPPLIER TYPE CODE,,The identifier that categorizes the type of supplier within an organizational system.,Base,16,BS25_02
926,2,Attribute,,Supplier Type,Name,0..1,Name,Name Medium,,"The designation for the category of supplier based on their attributes.
",Base,16,BS25_03
927,1,Class,,Supplier Type Hierarchy,,,,,,A class representing the hierarchical categorization of supplier types for organizational and strategic purposes.,Base,16,BS26
928,2,Reference Association,PK,Supplier Type Hierarchy,Child,1..1,,,Supplier Type,The specific category of supplier that is classified at a subordinate level within a supplier hierarchy.,Base,16,BS26_01
929,2,Reference Association,PK,Supplier Type Hierarchy,Parent,1..1,,,Supplier Type,The specific category of supplier that is classified at a superior level within a supplier hierarchy.,Base,16,BS26_02
901,1,Class,,Supplier,,,,,,A class containing essential information about suppliers.,Base,18,BS23
902,2,Attribute,PK,Supplier,Account ID,1..1,Identifier,Identifier Long,,The unique identifier for a supplier account.,Base,18,BS23_01
903,2,Attribute,,Supplier,Account Number,0..1,Char,Char Long,,The number for a supplier's account.,Base,18,BS23_02
904,2,Attribute,,Supplier,Account Name,0..1,Name,Name Medium,,The legal or registered name of the supplier.,Base,18,BS23_03
905,2,Attribute,,Supplier,Abbreviation,0..1,Name,Name Medium,,The shortened form of the supplier's name.,Base,18,BS23_04
906,2,Attribute,,Supplier,TIN,0..1,Char,TAX IDENTIFICATION NUMBER,,The tax identification number assigned to the supplier by tax authorities.,Base,18,BS23_05
907,2,Attribute,,Supplier,Group,0..1,Char,Char Long,,The classification of the supplier within an organization's segmentation system.,Base,18,BS23_06
908,2,Attribute,,Supplier,Inactive Date,0..1,Date,DATE,,"The date marking the change of a supplier's status to inactive due to factors such as credit limit exceedance, legal constraints, contract cessation, or insolvency.",Base,18,BS23_07
909,2,Attribute,,Supplier,Terms Discount Percentage,0..1,Decimal,Percent,,The percentage of discount offered by a supplier when payment is made within the specified discount days.,Base,18,BS23_08
910,2,Attribute,,Supplier,Terms Discount Days,0..1,Integer,INTEGER,,"The number of days from the invoice date that the customer is eligible for the discount if payment is made.
",Base,18,BS23_09
911,2,Attribute,,Supplier,Terms Due Days,0..1,Integer,INTEGER,,The standard time period in days before a customer's payment is considered overdue.,Base,18,BS23_10
912,2,Composition,,Supplier,,0..1,,,Activities,"A class capturing a record of system user actions within an auditee's system, which includes instances of entry, approval, last modification, and posting of data or transactions.",Base,18,BS23_11
913,2,Composition,,Supplier,Billing,0..1,,,Address,"The address where billing-related documents should be sent for a supplier, typically used for remitting payments and financial documentation.",Base,18,BS23_12
914,2,Composition,,Supplier,Physical,0..1,,,Address,"The geographic location of a supplier's premises, comprising street, number, city, and postal code, corresponding to the supplier's actual physical site.",Base,18,BS23_13
915,2,Composition,,Supplier,Total Credit Limit,0..1,,,Amount,The maximum monetary amount of credit that a supplier is willing to extend to its customers.,Base,18,BS23_14
916,2,Composition,,Supplier,Transaction Credit Limit,0..1,,,Amount,The maximum monetary amount a supplier permits a customer to owe for a single transaction.,Base,18,BS23_15
917,2,Composition,,Supplier,Primary,0..1,,,Contact,"The principal point of contact for a supplier, typically accountable for managing correspondence and agreements with customers or clients.",Base,18,BS23_16
918,2,Reference Association,,Supplier,Corresponding,0..1,,,Customer,The customer associated with or equivalent to a specific supplier in business transactions.,Base,18,BS23_17
919,2,Reference Association,,Supplier,,0..1,,,Supplier Type,A class with comprehensive descriptions of supplier classifications based on defined criteria.,Base,18,BS23_18
920,1,Class,,Supplier Hierarchy,,,,,,A class that shows the organized relationships among suppliers.,Base,18,BS24
921,2,Reference Association,PK,Supplier Hierarchy,Child,1..1,,,Supplier,The supplier that is classified at a subordinate level within a supplier hierarchy.,Base,18,BS24_01
922,2,Reference Association,PK,Supplier Hierarchy,Parent,1..1,,,Supplier,The supplier that is classified at a superior level within a supplier hierarchy.,Base,18,BS24_02
564,1,Class,,Ledger Account,,,,,,A class stores information about General Ledger accounts.,Base,20,BS16
565,2,Attribute,PK,Ledger Account,Account Number,1..1,Identifier,LEDGER ACCOUNT NUMBER,,"The unique identifier assigned to a general ledger account, categorically coded to align with established accounting principles and the specific characteristics of the business.",Base,20,BS16_01
566,2,Attribute,,Ledger Account,Account Name,0..1,Name,Name Medium,,The official title assigned to a general ledger account that uniquely identifies it within an accounting framework.,Base,20,BS16_02
567,2,Attribute,,Ledger Account,Description,0..1,Text,Text Medium,,The descriptive label or text providing additional details about a general ledger account that corresponds to the General Ledger Account Number.,Base,20,BS16_03
568,2,Attribute,,Ledger Account,Financial Statement Caption,0..1,Char,Char Long,,"The label utilized within financial statements to aggregate and present related financial account details, facilitating the organization and understanding of a company's financial data as reported in its financial statements.",Base,20,BS16_04
569,2,Attribute,,Ledger Account,Account Type,0..1,Char,ACCOUNT TYPE,,The classification of an account reflecting its nature and purpose.,Base,20,BS16_05
570,2,Attribute,,Ledger Account,Account Subtype,0..1,Char,ACCOUNT TYPE,,The classification detailing a more specific categorization within an account type.,Base,20,BS16_06
571,2,Attribute,,Ledger Account,Account Hierarchy,0..1,Code,ACCOUNT HIERARCHY,,The class representing the structured levels of account classification within an organization's accounting system.,Base,20,BS16_07
572,2,Attribute,,Ledger Account,Balance Debit Or Credit Code,0..1,Code,DEBIT CREDIT CODE,,"The classification identifying the natural balance of an account, denoted by 'D' for a debit balance, or 'C' for a credit balance.",Base,20,BS16_08
573,2,Attribute,,Ledger Account,Active Indicator,0..1,Indicator,Indicator,,The flag indicating if a general ledger account is currently open and being used for accounting.,Base,20,BS16_09
574,2,Reference Association,,Ledger Account,,0..*,,,Business Segment,A class signifies the structural units depicted within an organizational chart. It serves to illustrate relationships with business partners and conveys various business contexts.,Base,20,BS16_10
575,1,Class,,Ledger Account Hierarchy,,,,,,A class records the structural relationships between individual ledger accounts.,Base,20,BS17
576,2,Reference Association,PK,Ledger Account Hierarchy,Child,1..1,,,Ledger Account,The ledger account that is part of a subsidiary grouping within an account hierarchy.,Base,20,BS17_01
577,2,Reference Association,PK,Ledger Account Hierarchy,Parent,1..1,,,Ledger Account,The primary ledger account that heads a grouping within an account hierarchy.,Base,20,BS17_02
162,1,Class,,Accounting Period,,,,,,"A specific duration within a fiscal year, delineated by its beginning and ending dates. It serves as the timeframe during which business transactions and entries are accumulated and organized into financial statements and reports.",Base,22,BS01
163,2,Attribute,PK,Accounting Period,Fiscal Year,1..1,Identifier,YEAR,,"The year for which financial records are kept, expressed in four digits.",Base,22,BS01_01
164,2,Attribute,PK,Accounting Period,ID,1..1,Identifier,PERIOD IDENTIFIER,,The span of time covered by an accounting record.,Base,22,BS01_02
165,2,Attribute,,Accounting Period,Beginning Date,0..1,Date,DATE,,The start date for a given accounting period.,Base,22,BS01_03
166,2,Attribute,,Accounting Period,Ending Date,0..1,Date,DATE,,The close date for a given accounting period.,Base,22,BS01_04
559,1,Class,,Journal Entry Type,,,,,,A class details the types of journal entries in the General Ledger such as cash receipts and cash disbursements.,Base,24,BS15
560,2,Attribute,PK,Journal Entry Type,Code,1..1,Identifier,Identifier Medium,,The unique code specifying the type of journal entry.,Base,24,BS15_01
561,2,Attribute,,Journal Entry Type,Name,0..1,Name,Name Short,,The label that identifies the category of a journal entry within the accounting system.,Base,24,BS15_02
562,2,Attribute,,Journal Entry Type,Abbreviation,0..1,Char,Char Short,,The shortened for the label that identifies the category of a journal entry within the accounting system.m representing the type of a journal entry.,Base,24,BS15_03
563,2,Attribute,,Journal Entry Type,Active Indicator,0..1,Indicator,Indicator,,The flag indicating if a journal entry type is currently valid for recording transactions.,Base,24,BS15_04
206,1,Class,,Bill Type,,,,,,"A class describes the category of a bill such as bank draft or check, often used in business transactions as evidence of debt or payment instruments.",Base,26,BS03
207,2,Attribute,PK,Bill Type,Code,1..1,Identifier,Identifier Medium,,The unique code that classifies the type of bill.,Base,26,BS03_01
208,2,Attribute,,Bill Type,Name,0..1,Name,Name Short,,The classification or designation of a bill reflecting its nature.,Base,26,BS03_02
209,2,Attribute,,Bill Type,Active Indicator,0..1,Indicator,Indicator,,The flag indicating if a bill type is currently recognized and valid for use.,Base,26,BS03_03
897,1,Class,,Settlement Method,,,,,,"A class describing various methodologies adopted by the business to settle transactions, which can range from cash payments to bank transfers.",Base,28,BS22
898,2,Attribute,PK,Settlement Method,Code,1..1,Identifier,Identifier Medium,,The unique code describing how a transaction is settled.,Base,28,BS22_01
899,2,Attribute,,Settlement Method,Name,0..1,Name,Name Short,,The designation of the procedure used for financial settlement.,Base,28,BS22_02
900,2,Attribute,,Settlement Method,Active Indicator,0..1,Indicator,Indicator,,The flag indicating if a settlement method is currently valid for settling transactions.,Base,28,BS22_03
249,1,Class,,Currency,,,,,,A class holds information about different currencies.,Base,30,BS06
250,2,Attribute,PK,Currency,Code,1..1,Identifier,CURRENCY CODE,,The official name of the currency utilized in the accounting and/or ERP system.,Base,30,BS06_01
251,2,Attribute,,Currency,Name,0..1,Name,Name Short,,The official name of the currency utilized in the accounting and/or ERP system.,Base,30,BS06_02
252,2,Attribute,,Currency,Minor Unit,0..1,Integer,UNIT,,The subdivision of a currency unit that indicates the decimal relationship to the main currency unit as defined by ISO 4217.,Base,30,BS06_03
253,2,Attribute,,Currency,Active Indicator,0..1,Indicator,Indicator,,The flag indicating if a currency code is currently accepted for financial transactions.,Base,30,BS06_04
578,1,Class,,Measurement Unit,,,,,,A class documents the units of measure utilized across various business documents and accounting ledgers.,Base,32,BS18
579,2,Attribute,PK,Measurement Unit,UOM Code,1..1,Identifier,MEASUREMENT UNIT CODE,,The unique code for the unit of measure used in transactions.,Base,32,BS18_01
580,2,Attribute,,Measurement Unit,UOM Name,0..1,Name,Name Medium,,The designation of the measurement unit used for quantifying materials or other entities.,Base,32,BS18_02
581,2,Attribute,,Measurement Unit,UOM Abbreviation,0..1,Char,Char Short,,An abbreviation representing the name of a measurement unit.,Base,32,BS18_03
582,2,Attribute,,Measurement Unit,Active Indicator,0..1,Indicator,Indicator,,The flag indicating if a unit of measure is currently employed for tracking and transactions.,Base,32,BS18_04
730,1,Class,,Payment Term,,,,,,"A class details conditions related to sales or purchase agreements, including payment instruments, credit periods, and discount terms.",Base,34,BS19
731,2,Attribute,PK,Payment Term,Code,1..1,Identifier,PAYMENT TERM CODE,,The unique code denoting the terms of payment.,Base,34,BS19_01
732,2,Attribute,,Payment Term,Name,0..1,Name,Name Long,,The official designation of a set of payment terms.,Base,34,BS19_02
733,2,Attribute,,Payment Term,Number,0..1,Char,Char Short,,The number for the position of a line within a set of payment terms.,Base,34,BS19_03
734,2,Attribute,,Payment Term,Description,0..1,Text,Text Medium,,The text that describes the conditions of a specific line within a payment term.,Base,34,BS19_04
735,2,Attribute,,Payment Term,Active Indicator,0..1,Indicator,Indicator,,The flag indicating if a set of payment terms is currently applicable for use in transactions.,Base,34,BS19_05
750,1,Class,,Project,,,,,,"A class designed for specific projects that can vary from construction to research and may receive public or private funding. It methodically logs key information such as organizational hierarchy, strategic approaches, processes, steps taken, records, budgetary outlines, actual expenses, and the progress made toward set goals.",Base,36,BS21
751,2,Attribute,PK,Project,ID,1..1,Identifier,Identifier Medium,,The unique identifier for a project.,Base,36,BS21_01
