No.,Level,Property type,Identifier,Class,Property term,Representation term,Associated class,Mult.,Definition,ISO 21378 Module,ISO 21378 Table,Value Domain,Action,要素名,要素定義,
1092,4,Attribute,,Entry Detail SA,Document Location,Text,,0..0,"Document location as URI, file name or other reference. Alternatively, text of document can be placed here.",gl-cor,,,,元文書格納場所,文書の格納場所である、URI、ファイル名またはその他の参照情報。代わりに、文書のテキストも記述可能。,gl-bus:documentLocation
1093,4,Reference Association,,Entry Detail SA,,,(Document Number) Originating Document,0..0,,gl-cor,,,,,,
1094,4,Reference Association,,Entry Detail SA,,,(Apply To Number) Originating Document,0..0,,gl-cor,,,,,,
1095,4,Reference Association,,Entry Detail SA,,,(Document Reference) Originating Document,0..0,,gl-cor,,,,,,
1096,4,Composition,,Entry Detail SA,,,(Original Currency) Amount,0..0,,gl-cor,,,,,,
1097,4,Composition,,Entry Detail SA,,,(Document Remaining Balance) Amount,0..0,,gl-cor,,,,,,
1098,4,Composition,,Entry Detail SA,,,Identifier Reference,0..0,"Identification for customer, vendor, or employee.",gl-cor,,,,【CVE情報】,顧客、仕入先、従業員のための識別子。,gl-cor:identifierReference
1099,4,Composition,,Entry Detail SA,,,Measurable,0..0,"Parent for information regarding measurable items associated with the enclosing entryDetail line. Primary area used for holding performance measures. Based on needs for tracking inventory transactional detail, but suitable for anything assigned to an ""account"", ""reporting bucket"" or ""code"". Can be used to track any movements.",gl-cor,,,,【計測可能物情報】,明細行に関係付けられた、計測可能物の情報の親タグ。おもにパフォーマンス測定のために使用される。在庫移動の詳細の追跡の必要性に基づき、「科目」、「報告バケット」、「コード」に関係付けられるあらゆるものに適する。あらゆる活動を追跡するために使用可能。,gl-bus:measurable
1100,4,Composition,,Entry Detail SA,,,Originating Document,0..0,"A tool to capture the flow of related documents in the gl-business process. Some needs of end users require a greater history of the documents that are associated with a transaction, especially in the VAT audit area. Contains a repetitive structure of related documents.",gl-cor,,,,【発生元文書情報】,業務プロセス上の、関連文書の流れを捕捉するためのもの。特にVAT監査では、エンドユーザの要求として、取引に関係する文書の履歴が必要とされる。関連文書情報の構造の繰り返しを含む。,gl-taf:originatingDocumentStructure
1101,4,Composition,,Entry Detail SA,,,Account,0..0,"Tuple: parent container for account numbers and identifiers. No entry is made here, but each detail line may have multiple accounts assigned to it for reporting in different GAAPs, offsetting accounts in Japan, passing along information to consolidation systems about local versus consolidating accounts, etc. For example, the account 4783HG-QOWI-192837-1000 may be expressed so:
/account/accountMainID 1000  
/account/accountMainDescription Cash  
/account/accountSub/accountSubID 4783HG  
/account/accountSub/accountSubDescription Department 
/account/accountSub/accountSubID QOWI  
/account/accountSub/accountSubDescription Branch  
/account/accountSub/accountSubID 192837  
/account/accountSub/accountSubDescription Division",gl-cor,,,,【科目識別子】,"勘定科目番号と識別子の親コンテナ。 ここには記入されないが、個々の明細行は、異なるGAAPでの報告や、日本の見返勘定や、連結勘定科目に対する個別情報の連結会計システムへの伝達などのための、複数の勘定科目を持ちうる。例えば、勘定科目4783HG-QOWI-192837-1000は、次のように表現されうる。
/account/accountMainID 1000
/account/accountMainDescription Cash
/account/accountSub/accountSubID 4783HG
/account/accountSub/accountSubDescription Department
/account/accountSub/accountSubID QOWI
/account/accountSub/accountSubDescription Branch
/account/accountSub/accountSubID 192837
/account/accountSub/accountSubDescription Division",gl-cor:account
1102,4,Composition,,Entry Detail SA,,,Multicurrency Amount,0..0,,gl-cor,,,,,,
1103,2,Composition,,Entry Detail SA,Document Remaining Balance,,Amount,0..0,Balance remaining on the document,gl-taf,,,,文書上残高,文書上の残高。,
1104,2,Aggregation,,Entry Detail SA,,,Identifier Reference,0..0,"Identification for customer, vendor, or employee.",gl-cor,,,,CVE情報,顧客、仕入先、従業員のための識別子。,gl-cor:identifierReference
1105,4,Aggregation,,Entry Detail SA,,,Identifier Reference SA,0..*,"Identification for customer, vendor, or employee.",gl-cor,,,,【CVE情報】,顧客、仕入先、従業員のための識別子。,gl-cor:identifierReference
1106,4,Composition,,Entry Detail SA,,,XBRL Information,0..0,This will roll up to XBRL reporting information - this is a parent - repeatable so that the same item can be reported through many taxonomies. Care should be taken to consider what happens if people post to the same account but different XBRL elements.,gl-cor,,,,【XBRL情報】,XBRLレポート情報へのロールアップ情報。親タグであり、同じ項目が複数のタクソノミを通じて報告されうるように繰り返し可能。同一の勘定科目を異なるXBRL要素に転記した場合にどうなるか、注意深く考慮すべきである。,gl-cor:xbrlInfo
1107,4,Composition,,Entry Detail SA,,,Job,0..0,"Tuple for holding job related information, separate from jobs represented in account identifier. Would probably only have one jobinfo tuple for each entry line, but there may be a need to express more than one.",gl-cor,,,,【ジョブ情報】,科目識別子で表現されるジョブとは別の、ジョブに関係する情報のタプル。個々の明細行に対してひとつだけ存在すると思われるが、複数必要かもしれない。,gl-bus:jobInfo
1108,4,Composition,,Entry Detail SA,,,Depreciation Mortgage,0..0,"Parent for information related to depreciation, mortgages, etc.",gl-cor,,,,【減価償却/抵当債務情報】,減価償却、抵当債務等に関連する情報の親タグ。,gl-bus:depreciationMortgage
1109,4,Composition,,Entry Detail SA,,,Tax,0..0,Tuple for holding tax related information,gl-cor,,,,【税情報】,税関連の情報のタプル。,gl-cor:taxes
1110,4,Composition,,Entry Detail SA,,,Measurable SA,0..*,"Parent for information regarding measurable items associated with the enclosing entryDetail line. Primary area used for holding performance measures. Based on needs for tracking inventory transactional detail, but suitable for anything assigned to an ""account"", ""reporting bucket"" or ""code"". Can be used to track any movements.",gl-cor,,,,【計測可能物情報】,明細行に関係付けられた、計測可能物の情報の親タグ。おもにパフォーマンス測定のために使用される。在庫移動の詳細の追跡の必要性に基づき、「科目」、「報告バケット」、「コード」に関係付けられるあらゆるものに適する。あらゆる活動を追跡するために使用可能。,gl-bus:measurable
1111,4,Composition,,Entry Detail SA,,,Account SA,0..*,"Tuple: parent container for account numbers and identifiers. No entry is made here, but each detail line may have multiple accounts assigned to it for reporting in different GAAPs, offsetting accounts in Japan, passing along information to consolidation systems about local versus consolidating accounts, etc. For example, the account 4783HG-QOWI-192837-1000 may be expressed so:
/account/accountMainID 1000  
/account/accountMainDescription Cash  
/account/accountSub/accountSubID 4783HG  
/account/accountSub/accountSubDescription Department 
/account/accountSub/accountSubID QOWI  
/account/accountSub/accountSubDescription Branch  
/account/accountSub/accountSubID 192837  
/account/accountSub/accountSubDescription Division",gl-cor,,,,【科目識別子】,"勘定科目番号と識別子の親コンテナ。 ここには記入されないが、個々の明細行は、異なるGAAPでの報告や、日本の見返勘定や、連結勘定科目に対する個別情報の連結会計システムへの伝達などのための、複数の勘定科目を持ちうる。例えば、勘定科目4783HG-QOWI-192837-1000は、次のように表現されうる。
/account/accountMainID 1000
/account/accountMainDescription Cash
/account/accountSub/accountSubID 4783HG
/account/accountSub/accountSubDescription Department
/account/accountSub/accountSubID QOWI
/account/accountSub/accountSubDescription Branch
/account/accountSub/accountSubID 192837
/account/accountSub/accountSubDescription Division",gl-cor:account
1112,1,Class,,Identifier Reference SA,,,,,"Identification for customer, vendor, or employee.",gl-cor,,,,【CVE情報】,顧客、仕入先、従業員のための識別子。,gl-cor:identifierReference
1113,2,Specialization,,Identifier Reference SA,,,Identifier Reference,1,,gl-cor,,,,,,
1114,2,Attribute,,Identifier Reference SA,Identifier Purpose,Name,,0..0,"Freeform for codes like purchasing, billing, manufacturing at identifier level.",gl-cor,,,,CVE目的,購買、請求、製造などの、CVE識別子のレベルのコードの自由記述。,gl-bus:identifierPurpose
1115,2,Attribute,,Identifier Reference SA,Organization Type,Char,,0..0,Identifier Organization Type,gl-cor,,,,CVE組織種別,"CVE識別子の組織種別。
[設定値のリスト]
(individual：個人)、(organization：組織)、(other：その他) ",gl-cor:identifierOrganizationType
1116,2,Attribute,,Identifier Reference SA,Organization Type Description,Text,,0..0,Free format description of the identifier organization type,gl-cor,,,,CVE組織種別説明,CVE識別子の組織種別の説明。,gl-cor:identifierOrganizationTypeDescription
1117,2,Attribute,,Identifier Reference SA,Description,Text,,0..0,Textual description of identifierReference.,gl-cor,,,,CVE説明,identifierReferenceの説明。,gl-cor:identifierDescription
1118,2,Attribute,,Identifier Reference SA,Type,Char,,0..0,"Entity type (enumerated): e.g., customer, vendor, employee.",gl-cor,,,,CVE種別,"実体の種別。例えば、顧客、仕入先、従業員。
[設定値のリスト]
(C)、(customer：顧客)、(E)、(employee：従業員)、(V)、(vendor：仕入先)、(O)、(other：その他)、(I)、(salesperson-internal：店舗内販売員)、(X)、(salesperson-external：外交販売員)、(N)、(contractor：請負者) ",gl-cor:identifierType
1119,2,Attribute,,Identifier Reference SA,Category,Name,,0..0,"For use as Customer, Vendor or Employee Class (such as Residential/Commercial/Institutional/Government or Retail/Wholesale or other classifications used by gl-business).",gl-cor,,,,CVEカテゴリ,顧客、仕入先、従業員の分類に使用する。　（住居/商業/機関/政府や、小売/卸や、ビジネスで使用されるその他の分類）。,gl-cor:identifierCategory
1120,2,Attribute,,Identifier Reference SA,Tax Identification Number,Char,,0..0,,gl-cor,,,,,,
1121,2,Composition,,Identifier Reference SA,,,Registered Entity Identifier,0..0,Structure containing references to an external authority associated with identifier,gl-cor,,,,【登録法人識別子】,識別子と関係付けられる外部機関への参照情報を含む構造体。,gl-cor:identifierExternalReference
1122,2,Composition,,Identifier Reference SA,,,Email Address,0..0,Tuple for holding company email information.,gl-cor,,,,【事業体Eメールアドレス】,事業体のEメールアドレス情報のタプル。,gl-cor:identifierEMail
1123,2,Composition,,Identifier Reference SA,,,Phone Number,0..0,Primary phone number of the entity.,gl-cor,,,,【事業体電話番号】,事業体の主要電話番号情報。,gl-cor:identifierPhoneNumber
1124,2,Composition,,Identifier Reference SA,,,Fax Number,0..0,Tuple for holding company fax information.,gl-cor,,,,【事業体FAX番号】,事業体のFAX番号情報のタプル。,gl-cor:identifierFaxNumber
1125,2,Composition,,Identifier Reference SA,,,Contact,0..0,Information about contacts.,gl-cor,,,,【担当者情報】,担当者に関する情報。,gl-cor:identifierContactInformationStructure
1126,2,Composition,,Identifier Reference SA,,,Address,0..0,Address structure for the reporting entity,gl-cor,,,,【住所】,報告事業体の住所構造体。,gl-bus:identifierAddress
1127,2,Composition,,Identifier Reference SA,,,Registered Entity Identifier SA,0..*,,gl-cor,,,,,,
1128,2,Composition,,Identifier Reference SA,,,Contact SA,0..*,,gl-cor,,,,,,
1129,1,Class,,Registered Entity Identifier SA,,,,,Structure containing references to an external authority associated with identifier,gl-cor,,,,【登録法人識別子】,識別子と関係付けられる外部機関への参照情報を含む構造体。,gl-cor:identifierExternalReference
1130,2,Specialization,,Registered Entity Identifier SA,,,Registered Entity Identifier,1,,gl-cor,,,,,,
1131,2,Attribute,PK,Registered Entity Identifier SA,ID,Identifier,,0..0,"External Authority (e,g, Tax Authority) ID Number associated with identifierReference",gl-cor,,,,外部機関付与識別番号,identifierReferenceと関係付けられる、外部機関（たとえば、税務署）によるID番号。,gl-cor:identifierAuthorityCode
1132,2,Attribute,,Registered Entity Identifier SA,Authority Name,Name,,0..0,Name of External Authority (e.g. Tax Authority),gl-cor,,,,外部機関名,外部機関の名前（たとえば、税務署）,gl-cor:identifierAuthority
1133,1,Class,,Contact SA,,,,,Information about contacts.,gl-cor,,,,【担当者情報】,担当者に関する情報。,gl-cor:identifierContactInformationStructure
1134,2,Specialization,,Contact SA,,,Contact,1,,gl-cor,,,,,,
1135,2,Attribute,,Contact SA,Prefix,Char,,0..0,"Prefix (e.g. Dr., Mr., Mrs.)",gl-cor,,,,敬称,敬称(Dr.、Mr.、Mrs.など),gl-cor:identifierContactPrefix
1136,2,Attribute,,Contact SA,Suffix,Char,,0..0,"Suffix (e.g. MD, CPA, Jr.)",gl-cor,,,,付加名称,付加名称(MD、CPA、Jr.など),gl-cor:identifierContactSuffix
1137,2,Attribute,,Contact SA,Attention Line,Name,,0..0,Attention Line,gl-cor,,,,アテンションライン,アテンションライン,gl-cor:identifierContactAttentionLine
1138,2,Attribute,,Contact SA,Position/Role,Name,,0..0,Position or role,gl-cor,,,,地位/役職,地位や役職。,gl-cor:identifierContactPositionRole
1139,2,Attribute,,Contact SA,Role of Contact,Name,,0..0,"Role of contact. Examples include: Source Service, Sender, Recipient, Invoicer, Auditor, Accountant",gl-cor,,,,担当者役割,担当者の役割。例：ソースサービス、送付元、受取人、請求先、監査人、会計士。,gl-cor:identifierContactType
1140,2,Attribute,,Contact SA,Location ID cross reference,Name,,0..0,This code is used to associate the contact with a specific location for the Entity. Its value should be the same as that of the organizationAddressLocationIdentifier,gl-cor,,,,所在地相互参照情報,担当者と事業体の位置情報を関係付けるためのコード。organizationAddressLocationIdentifierと同じ値であるべき。,gl-bus:identifierLocationIdentifierCrossReference
1141,2,Composition,,Contact SA,,,Phone Number,0..0,Primary phone number of the entity.,gl-cor,,,,【事業体電話番号】,事業体の主要電話番号情報。,gl-cor:identifierContactPhone
1142,2,Composition,,Contact SA,,,Fax Number,0..0,Tuple for holding company fax information.,gl-cor,,,,【事業体FAX番号】,事業体のFAX番号情報のタプル。,gl-cor:identifierContactFax
1143,2,Composition,,Contact SA,,,Email Address,0..0,Tuple for holding company email information.,gl-cor,,,,【事業体Eメールアドレス】,事業体のEメールアドレス情報のタプル。,gl-cor:identifierContactEmail
1144,1,Class,,Measurable SA,,,,,"Parent for information regarding measurable items associated with the enclosing entryDetail line. Primary area used for holding performance measures. Based on needs for tracking inventory transactional detail, but suitable for anything assigned to an ""account"", ""reporting bucket"" or ""code"". Can be used to track any movements.",gl-cor,,,,【計測可能物情報】,明細行に関係付けられた、計測可能物の情報の親タグ。おもにパフォーマンス測定のために使用される。在庫移動の詳細の追跡の必要性に基づき、「科目」、「報告バケット」、「コード」に関係付けられるあらゆるものに適する。あらゆる活動を追跡するために使用可能。,gl-bus:measurable
1145,2,Specialization,,Measurable SA,,,Measurable,1,,gl-cor,,,,,,
1146,2,Attribute,,Measurable SA,Code,Char,,0..0,"Code for measurable item including BP - gl-business process, FA - Fixed asset/Capitalized item, IN - Inventory, KPI - Metric, NT - Intangible, SP - Supplies, SV-P - Service by employee, vendor or contractor, SV-M - Service by equipment/machinery, OT - Other",gl-cor,,,,計測可能物コード,"計測可能物のコード。ビジネスプロセス、固定資産/資産化項目、在庫、測定基準、無形資産、貯蔵品、従業員/提供元/請負者によるサービス、装置/機械によるサービス、その他
[設定値のリスト]
(BP：ビジネスプロセス)、(FA：固定資産/資産化項目)、(IN：在庫)、(KPI：測定基準)、(NT：無形資産)、(SP：貯蔵品)、(SV-P：従業員/提供元/請負者によるサービス)、(SV-M：装置/機械によるサービス)、(OT：その他)",gl-bus:measurableCode
1147,2,Attribute,,Measurable SA,Code Description,Text,,0..0,Free format description of the measurable code,gl-cor,,,,計測可能物コード説明,計測可能物のコードの説明。,gl-bus:measurableCodeDescription
1148,2,Attribute,,Measurable SA,Measurable Category,Char,,0..0,Category of the measurable,gl-cor,,,,計測可能物カテゴリ,計測可能物のカテゴリ。,gl-bus:measurableCategory
1149,2,Attribute,,Measurable SA,Secondary Measurable Identifier,Char,,0..0,Second identifier (such as vendor's item number),gl-cor,,,,計測可能物第二識別子,第二識別子。（例えば、ベンダーでの品目番号）。,gl-bus:measurableIDOther
1150,2,Attribute,,Measurable SA,Schema for Secondary Measurable Identification,Char,,0..0,URI or other identifier for schema with which measurable ID Other can be validated,gl-cor,,,,計測可能物第二識別子スキーマ,計測可能物の第二IDを検証するスキーマの、URIまたはその他の識別子。,gl-bus:measurableIDOtherSchema
1151,2,Attribute,,Measurable SA,Qualifier,Char,,0..0,"Field that can represent grading, inspection codes, ratings and other qualifiers to properly capture PKI/Balanced Sgl-corecard information",gl-cor,,,,修飾子,PKI又はバランススコアカード情報を適正に把握するための、等級付け、検査コード、格付けその他の修飾子を示す。,gl-bus:measurableQualifier
1152,2,Attribute,,Measurable SA,Measurable Class ID,Char,,0..0,"An enumerated code to identify the inventory, fixed asset or other measurable class. Enumerated as: raw material, work-in-process, finished goods, assemblies, supplies, land, building, machinery, furniture, vehicles, other.",gl-cor,,,,測定可能なクラスID,在庫、固定資産、またはその他の測定可能なクラスを識別するための列挙されたコード。列挙：原材料、仕掛品、完成品、組立品、消耗品、土地、建物、機械、家具、車両、その他。,gl-ehm:measurableClassID
1153,2,Attribute,,Measurable SA,Measurable Class Description,Text,,0..0,Free format description associated with gl-ehm:measurableClassID to provide specialization or clarification for the enumerated value of other.,gl-cor,,,,測定可能なクラスの説明,gl-ehm：measurableClassIDに関連付けられた自由形式の説明で、他の列挙値の特殊化または明確化を提供します。,gl-ehm:measurableClassDescription
1154,2,Attribute,,Measurable SA,Costing Method Code,Char,,0..0,"An enumerated code for the inventory (or other measurable) costing method. Enumerated as: LIFO, FIFO, average, weighted-average, standard-cost, tax-basis, book-basis, other.",gl-cor,,,,原価計算方法コード,在庫（または他の測定可能な）原価計算方法の列挙されたコード。列挙：LIFO、FIFO、平均、加重平均、標準コスト、税ベース、帳簿ベース、その他。,gl-ehm:costingMethodCode
1155,2,Attribute,,Measurable SA,Costing Method Description,Text,,0..0,Free format description associated with gl-ehm:costingMethodCode to provide specialization of clarification for the enumerated value of other.,gl-cor,,,,原価計算方法の説明,gl-ehm：costingMethodCodeに関連付けられた自由形式の説明。他の列挙値の明確化を専門化します。,gl-ehm:costingMethodDescription
1156,2,Attribute,,Measurable SA,Geospatial Coordinate,Char,,0..0,"Enter a relevant location for this item. Format can be either:
- Degrees, minutes, and seconds (DMS): 41°24'12.2""N 2°10'26.5""E
- Degrees and decimal minutes (DMM): 41 24.2028, 2 10.4418
- Decimal degrees (DD): 41.40338, 2.17403",gl-cor,,,,地理空間座標,"このアイテムに関連する場所を入力します。形式は次のいずれかになります。
-度、分、秒（DMS）：41°24'12.2""N2°10'26.5""E
-度と小数分（DMM）：41 24.2028、2 10.4418
-10度（DD）：41.40338、2.17403",gl-ehm:geospatialCoordinate
1157,2,Composition,,Measurable SA,,,Unit Price,0..0,,gl-cor,,,,,,
1158,2,Composition,,Measurable SA,,,Serial Lot,0..0,"Tuple for holding information about serial numbers or lots (batches). As a tuple, this permits multiple serial numbers or multiple lot number batches within a single gl-gl-cor:measurable structure.",gl-cor,,,,【シリアルロット】,シリアル番号またはロット（バッチ）に関する情報を保持するためのタプル。タプルとして、これにより、単一のgl-gl-cor：measurable構造内で複数のシリアル番号または複数のロット番号のバッチが許可されます。,gl-ehm:serialLot
1159,1,Class,,Account SA,,,,,"Tuple: parent container for account numbers and identifiers. No entry is made here, but each detail line may have multiple accounts assigned to it for reporting in different GAAPs, offsetting accounts in Japan, passing along information to consolidation systems about local versus consolidating accounts, etc. For example, the account 4783HG-QOWI-192837-1000 may be expressed so:
/account/accountMainID 1000  
/account/accountMainDescription Cash  
/account/accountSub/accountSubID 4783HG  
/account/accountSub/accountSubDescription Department 
/account/accountSub/accountSubID QOWI  
/account/accountSub/accountSubDescription Branch  
/account/accountSub/accountSubID 192837  
/account/accountSub/accountSubDescription Division",gl-cor,,,,【科目識別子】,"勘定科目番号と識別子の親コンテナ。 ここには記入されないが、個々の明細行は、異なるGAAPでの報告や、日本の見返勘定や、連結勘定科目に対する個別情報の連結会計システムへの伝達などのための、複数の勘定科目を持ちうる。例えば、勘定科目4783HG-QOWI-192837-1000は、次のように表現されうる。
/account/accountMainID 1000
/account/accountMainDescription Cash
/account/accountSub/accountSubID 4783HG
/account/accountSub/accountSubDescription Department
/account/accountSub/accountSubID QOWI
/account/accountSub/accountSubDescription Branch
/account/accountSub/accountSubID 192837
/account/accountSub/accountSubDescription Division",gl-cor:account
1160,2,Specialization,,Account SA,,,Account,1,,gl-cor,,,,,,
1161,5,Attribute,,Account SA,Description,Text,,0..0,Description of accountMainID - the human readable describer that accompanies the code used in accountMainID,gl-cor,,,,主勘定科目説明,主勘定科目コードの説明。主勘定科目コードとして使用されるコードについての、人が読める記述。,gl-cor:accountMainDescription
1162,5,Attribute,,Account SA,Classification,Char,,0..0,"Account type - FASB Concepts 6 and similar international designs. When xbrlInfo is used to associate other XBRL reporting items, this field is more suited to representing existing systems (audit) than data interchange.",gl-cor,,,,主勘定科目区分,"主勘定科目の種別。FASB Concepts 6および、同様の国際的な様式。xbrlInfoが他のXBRL項目と関係付けられる場合、データ交換より現存システム(audit)を示すべき。
[設定値のリスト]
(asset：資産)、(liability：負債)、(equity：資本)、(income：収益)、(gain：利得)、(expense：費用)、(loss：損失)、(contr-to-equity：資本増加)、(distr-from-equity：資本減少)、(comprehensive-income：包括利益)、(other：その他) ",gl-cor:mainAccountType
1163,5,Attribute,,Account SA,Classification Description,Text,,0..0,Free format description of the account classification,gl-cor,,,,主勘定科目区分説明,主勘定科目の区分の説明。,gl-cor:mainAccountTypeDescription
1164,5,Attribute,,Account SA,Parent Account,Char,,0..0,Roll up item from child natural account to parent natural account.,gl-cor,,,,親勘定科目コード,子勘定科目から親勘定科目に包み込む科目。,gl-cor:parentAccountMainID
1165,5,Attribute,,Account SA,Purpose,Char,,0..0,"Code related to usage for account aggregate - Consolidating, European, IFRS, Offsetting, Primary, Tax, USGAAP, Japanese, Other. Japanese companies will use this for the tax required offsetting entry. If left blank, assumes default accounting method for company.",gl-cor,,,,勘定科目目的,"勘定科目群の使用法を示すコード。連結、European, IFRS, 見返、プライマリ, 税, USGAAP, Japanese,その他。日本企業では、見返仕訳で要求される税務処理に利用するかもしれない。空白の場合、企業の既定の勘定方法とみなす。
[設定値のリスト]
(consolidating：連結)、(european：ヨーロッパ)、(ifrs：IFRS)、(offsetting：見返)、(primary：プライマリ)、(tax：税)、(usgaap：US GAAP)、(japanese：日本)、(other：その他)",gl-bus:entryAccountingMethodPurpose
1166,5,Attribute,,Account SA,Purpose Description,Text,,0..0,Description of usage for aggregate account,gl-cor,,,,勘定科目目的説明,勘定科目群の使用法の説明。,gl-bus:entryAccountingMethodPurposeDescription
1167,5,Attribute,,Account SA,Type,Char,,0..0,Type of account,gl-cor,,,,科目種別,"科目の種別。
[設定値のリスト]
(account：勘定科目)、(bank：銀行)、(employee：従業員)、(customer：顧客)、(job：ジョブ)、(vendor：仕入先)、(measurable：計測可能物)、(statistical：統計)、(other：その他) ",gl-cor:accountType
1168,5,Attribute,,Account SA,Type Description,Text,,0..0,Free format description of the account type,gl-cor,,,,科目種別説明,科目の種別の説明。,gl-cor:accountTypeDescription
1169,5,Composition,,Account SA,,,Accounting Method,0..0,,gl-cor,,,,,,
1170,5,Composition,,Account SA,,,Subaccount,0..0,Tuple to hold multiple accountSubIDs and Descriptions,gl-cor,,,,【サブ科目情報】,複数のaccountSubIDと説明文を含むタプル。,gl-cor:accountSub
1171,5,Composition,,Account SA,,,Subaccount SA,0..*,Tuple to hold multiple accountSubIDs and Descriptions,gl-cor,,,,【サブ科目情報】,複数のaccountSubIDと説明文を含むタプル。,gl-cor:accountSub
1172,1,Class,,Subaccount SA,,,,,Tuple to hold multiple accountSubIDs and Descriptions,gl-cor,,,,【サブ科目情報】,複数のaccountSubIDと説明文を含むタプル。,gl-cor:accountSub
1173,2,Specialization,,Subaccount SA,,,Subaccount,1,,gl-cor,,,,,,
1174,6,Attribute,,Subaccount SA,Description,Text,,0..0,The description that accompanies accountSubID belongs here.,gl-cor,,,,サブ科目説明,accountSubIDに関する説明。,gl-cor:accountSubDescription
1175,6,Composition,,Subaccount SA,,,Segment Parent Information,0..0,Tuple for showing the detail necessary to roll up from one segment (type of subaccount) to another.),gl-cor,,,,【親セグメント情報】,セグメント（小勘定科目の種別）間のロールアップ時に必要な詳細情報を示すタプル。,gl-cor:segmentParentTuple
1176,1,Class,,Accounting Entries SA,,,,,Root for XBRL GL. No entry made here.,gl-cor,,,,【会計仕訳】,XBRL GLのルート要素。 この要素にはデータは登録されない。,gl-cor:accountingEntries
1177,2,Specialization,,Accounting Entries SA,,,Accounting Entries,1,,gl-cor,,,,,,
1178,2,Composition,,Accounting Entries SA,,,Document Information,0..0,,gl-cor,,,,,,
1179,2,Composition,,Accounting Entries SA,,,Entity Information,0..0,,gl-cor,,,,,,
1180,2,Composition,,Accounting Entries SA,,,Entry Header,0..0,,gl-cor,,,,,,
1181,2,Composition,,Accounting Entries SA,,,Document Information SA,0..*,Parent for descriptive information about the accountingEntries section in which it is contained.,gl-cor,,,,【文書情報】,この会計仕訳に関する情報の親タグ。,gl-cor:documentInfo
1182,2,Composition,,Accounting Entries SA,,,Entity Information SA,0..*,Holder for entity information - information about the reporting organization.,gl-cor,,,,【事業体情報】,事業体情報（報告組織に関する情報）の入れ物。,gl-cor:entityInformation
1183,2,Composition,,Accounting Entries SA,,,Entry Header SA,0..*,Parent for entry headers/journal entry headers.,gl-cor,,,,【仕訳情報】,エントリヘッダー/仕訳記入ヘッダーの親タグ。,gl-cor:entryHeader
