No.,Level,Property type,Identifier,Class,Property term,Representation term,Associated class,Mult.,Definition,ISO 21378 Module,ISO 21378 Table,Value Domain,Action
254,2,Attribute,,General Ledger Source,System Manual Code,Code,,0..1,A code that denotes whether a journal entry was created automatically by the system or by input manually.,General Ledger,54,SYSTEM MANUAL CODE,
255,2,Attribute,,General Ledger Source,Business Process Major,Char,,0..1,The main category of business activities as recorded in the general ledger.,General Ledger,54,Char Long,
256,2,Attribute,,General Ledger Source,Business Process Minor,Char,,0..1,The specific activities or sub-categories within a broader business process context.,General Ledger,54,Char Long,
257,1,Class,,General Ledger Trial Balance,,,,,"A class contains ledger account balances within the accounting system, presenting ending balances at a specific point in time to ensure consistency with the General Ledger entries.",General Ledger,50,,
258,2,Attribute,,General Ledger Trial Balance,Balance As Of Date,Date,,0..1,The date specifying the point until which the general ledger trial balance is accurate and inclusive of all account transactions.,General Ledger,50,DATE,
259,2,Composition,,General Ledger Trial Balance,Beginning Balance,,Amounts,0..1,The multi-currency monetary amounts represents the monetary values of ledger accounts at the start of a specified accounting period.,General Ledger,50,,
260,2,Composition,,General Ledger Trial Balance,Ending Balance,,Amounts,0..1,The multi-currency monetary amounts represents the monetary values of ledger accounts at the end of a specified accounting period.,General Ledger,50,,
261,2,Reference Association,PK,General Ledger Trial Balance,,,Accounting Period,1..1,"A specific duration within a fiscal year, delineated by its beginning and ending dates. It serves as the timeframe during which business transactions and entries are accumulated and organized into financial statements and reports.",General Ledger,50,,
262,2,Reference Association,,General Ledger Trial Balance,,,Business Segment,0..*,A class signifies the structural units depicted within an organizational chart. It serves to illustrate relationships with business partners and conveys various business contexts.,General Ledger,50,,
263,2,Reference Association,PK,General Ledger Trial Balance,,,Ledger Account,1..1,The unique identifier for a ledger account within the general ledger trial balance.,General Ledger,50,,
264,1,Class,,Journal Entry Type,,,,,A class details the types of journal entries in the General Ledger such as cash receipts and cash disbursements.,Base,24,,
265,2,Attribute,PK,Journal Entry Type,Code,Identifier,,1..1,The unique code specifying the type of journal entry.,Base,24,Identifier Medium,
266,2,Attribute,,Journal Entry Type,Name,Name,,0..1,The label that identifies the category of a journal entry within the accounting system.,Base,24,Name Short,
267,2,Attribute,,Journal Entry Type,Abbreviation,Char,,0..1,The shortened for the label that identifies the category of a journal entry within the accounting system.m representing the type of a journal entry.,Base,24,Char Short,
268,2,Attribute,,Journal Entry Type,Active Indicator,Indicator,,0..1,The flag indicating if a journal entry type is currently valid for recording transactions.,Base,24,Indicator,
269,1,Class,,Ledger Account,,,,,A class stores information about General Ledger accounts.,Base,20,,
270,2,Attribute,PK,Ledger Account,Account Number,Identifier,,1..1,"The unique identifier assigned to a general ledger account, categorically coded to align with established accounting principles and the specific characteristics of the business.",Base,20,LEDGER ACCOUNT NUMBER,
271,2,Attribute,,Ledger Account,Account Name,Name,,0..1,The official title assigned to a general ledger account that uniquely identifies it within an accounting framework.,Base,20,Name Medium,
272,2,Attribute,,Ledger Account,Description,Text,,0..1,The descriptive label or text providing additional details about a general ledger account that corresponds to the General Ledger Account Number.,Base,20,Text Medium,
273,2,Attribute,,Ledger Account,Financial Statement Caption,Char,,0..1,"The label utilized within financial statements to aggregate and present related financial account details, facilitating the organization and understanding of a company's financial data as reported in its financial statements.",Base,20,Char Long,
274,2,Attribute,,Ledger Account,Account Type,Char,,0..1,The classification of an account reflecting its nature and purpose.,Base,20,ACCOUNT TYPE,
275,2,Attribute,,Ledger Account,Account Subtype,Char,,0..1,The classification detailing a more specific categorization within an account type.,Base,20,ACCOUNT TYPE,
276,2,Attribute,,Ledger Account,Account Hierarchy,Code,,0..1,The class representing the structured levels of account classification within an organization's accounting system.,Base,20,ACCOUNT HIERARCHY,
277,2,Attribute,,Ledger Account,Balance Debit Or Credit Code,Code,,0..1,"The classification identifying the natural balance of an account, denoted by 'D' for a debit balance, or 'C' for a credit balance.",Base,20,DEBIT CREDIT CODE,
278,2,Attribute,,Ledger Account,Active Indicator,Indicator,,0..1,The flag indicating if a general ledger account is currently open and being used for accounting.,Base,20,Indicator,
279,2,Reference Association,,Ledger Account,,,Business Segment,0..*,A class signifies the structural units depicted within an organizational chart. It serves to illustrate relationships with business partners and conveys various business contexts.,Base,20,,
280,1,Class,,Ledger Account Hierarchy,,,,,A class records the structural relationships between individual ledger accounts.,Base,20,,
281,2,Reference Association,PK,Ledger Account Hierarchy,Child,,Ledger Account,1..1,The ledger account that is part of a subsidiary grouping within an account hierarchy.,Base,20,,
282,2,Reference Association,PK,Ledger Account Hierarchy,Parent,,Ledger Account,1..1,The primary ledger account that heads a grouping within an account hierarchy.,Base,20,,
283,1,Class,,Measurement Unit,,,,,A class documents the units of measure utilized across various business documents and accounting ledgers.,Base,32,,
284,2,Attribute,PK,Measurement Unit,UOM Code,Identifier,,1..1,The unique code for the unit of measure used in transactions.,Base,32,MEASUREMENT UNIT CODE,
285,2,Attribute,,Measurement Unit,UOM Name,Name,,0..1,The designation of the measurement unit used for quantifying materials or other entities.,Base,32,Name Medium,
286,2,Attribute,,Measurement Unit,UOM Abbreviation,Char,,0..1,An abbreviation representing the name of a measurement unit.,Base,32,Char Short,
287,2,Attribute,,Measurement Unit,Active Indicator,Indicator,,0..1,The flag indicating if a unit of measure is currently employed for tracking and transactions.,Base,32,Indicator,
288,1,Class,,Payment Term,,,,,"A class details conditions related to sales or purchase agreements, including payment instruments, credit periods, and discount terms.",Base,34,,
289,2,Attribute,PK,Payment Term,Code,Identifier,,1..1,The unique code denoting the terms of payment.,Base,34,PAYMENT TERM CODE,
290,2,Attribute,,Payment Term,Name,Name,,0..1,The official designation of a set of payment terms.,Base,34,Name Long,
291,2,Attribute,,Payment Term,Number,Char,,0..1,The number for the position of a line within a set of payment terms.,Base,34,Char Short,
292,2,Attribute,,Payment Term,Description,Text,,0..1,The text that describes the conditions of a specific line within a payment term.,Base,34,Text Medium,
293,2,Attribute,,Payment Term,Active Indicator,Indicator,,0..1,The flag indicating if a set of payment terms is currently applicable for use in transactions.,Base,34,Indicator,
294,1,Class,,Settlement Method,,,,,"A class describing various methodologies adopted by the business to settle transactions, which can range from cash payments to bank transfers.",Base,28,,
295,2,Attribute,PK,Settlement Method,Code,Identifier,,1..1,The unique code describing how a transaction is settled.,Base,28,Identifier Medium,
296,2,Attribute,,Settlement Method,Name,Name,,0..1,The designation of the procedure used for financial settlement.,Base,28,Name Short,
297,2,Attribute,,Settlement Method,Active Indicator,Indicator,,0..1,The flag indicating if a settlement method is currently valid for settling transactions.,Base,28,Indicator,
298,1,Class,,Profile,,,,,"A class contains information on industry standards and software versions, profiling data such as fiscal years, developers, software names and versions, functional currencies, standards, and extraction dates.",Base,48,,
299,2,Attribute,PK,Profile,Number,Identifier,,1..1,The unique number identifying a data collection instance.,Base,48,Identifier Short,
300,2,Attribute,,Profile,Name,Name,,0..1,The title of a specific data collection profile.,Base,48,Name Short,
301,2,Attribute,,Profile,Fiscal Year,Identifier,,0..1,"The year for which financial records are kept, expressed in four digits.",Base,48,YEAR,
302,2,Attribute,,Profile,Accounting Entity,Name,,0..1,The recognized name of an organization as a distinct body for accounting purposes.,Base,48,Name Short,
303,2,Attribute,,Profile,Industry,Char,,0..1,"The classification denoting the industry associated with a profile, within a broader sector categorization.",Base,48,Char Short,
304,2,Attribute,,Profile,Developer Name,Name,,0..1,The organization that developed the accounting and/or ERP system software.,Base,48,Name Long,
305,2,Attribute,,Profile,Software Name,Name,,0..1,The name of the accounting or ERP system software product in use.,Base,48,Name Long,
306,2,Attribute,,Profile,Software Version,Char,,0..1,The version number of the accounting or ERP system software in use.,Base,48,Char Short,
307,2,Attribute,,Profile,Functional Currency Code,Identifier,,0..1,"The code representing the specific currency utilized for financial transactions and reporting within an organization's accounting and/or Enterprise Resource Planning (ERP) system, as specified by ISO 4217 standards.",Base,48,CURRENCY CODE,
308,2,Attribute,,Profile,Standard Version,Char,,0..1,The number of the standards to which the current output files conform.,Base,48,Char Short,
309,2,Attribute,,Profile,Extracted Date,Date,,0..1,The date on which data was retrieved or compiled for reporting or analysis.,Base,48,DATE,
310,2,Attribute,,Profile,Time Zone,Char,,0..1,"The local time's offset from Coordinated Universal Time (UTC), represented in hours and minutes or only in hours as per ISO 8601-1.",Base,48,TIME ZONE,
311,2,Reference Association,,Profile,,,Business Segment,0..*,A class signifies the structural units depicted within an organizational chart. It serves to illustrate relationships with business partners and conveys various business contexts.,Base,48,,
312,1,Class,,Project,,,,,"A class designed for specific projects that can vary from construction to research and may receive public or private funding. It methodically logs key information such as organizational hierarchy, strategic approaches, processes, steps taken, records, budgetary outlines, actual expenses, and the progress made toward set goals.",Base,36,,
313,2,Attribute,PK,Project,ID,Identifier,,1..1,The unique identifier for a project.,Base,36,Identifier Medium,
314,2,Attribute,,Project,Code,Char,,0..1,The unique identifier assigned to a project.,Base,36,Char Long,
315,2,Attribute,,Project,Name,Name,,0..1,The designated title of a project within the context of operations and administration.,Base,36,Name Medium,
316,2,Attribute,,Project,Beginning Date,Date,,0..1,The date on which a project is scheduled to start.,Base,36,DATE,
317,2,Attribute,,Project,Ending Date,Date,,0..1,The date on which a project is scheduled to conclude.,Base,36,DATE,
318,2,Attribute,,Project,Active Indicator,Indicator,,0..1,The flag indicating if a project is currently ongoing and recognized within the operational scope.,Base,36,Indicator,
319,2,Reference Association,,Project,,,Business Segment,0..*,A class signifies the structural units depicted within an organizational chart. It serves to illustrate relationships with business partners and conveys various business contexts.,Base,36,,
320,1,Class,,Account Payable Adjustment,,,,,"A class records adjustments to invoice balances due to suppliers, capturing each unique adjustment within the specified period.",Accounts Payable,95,,
321,2,Attribute,PK,Account Payable Adjustment,ID,Identifier,,1..1,The unique identifier for the adjustment record.,Accounts Payable,95,Identifier Long,
322,2,Attribute,,Account Payable Adjustment,Number,Char,,0..1,"The number for an adjustment record, ensuring the uniqueness of each adjustment transaction",Accounts Payable,95,Char Long,
323,2,Attribute,,Account Payable Adjustment,Type Name,Name,,0..1,Name of the method by which the transaction debit or credit amount was extinguished or apportioned to the debt by the supplier.,Accounts Payable,95,Name Short,
324,2,Attribute,,Account Payable Adjustment,Document Number,Char,,0..1,The number for a document associated with an adjustment,Accounts Payable,95,Char Long,
325,2,Attribute,,Account Payable Adjustment,Date,Date,,0..1,the date on which an adjustment is recorded.,Accounts Payable,95,DATE,
326,2,Composition,,Account Payable Adjustment,,,Account Payable Adjustment Line,0..*,A class provides details of how adjustments affect specific line items on supplier invoices.,Accounts Payable,95,,
327,2,Composition,,Account Payable Adjustment,,,Activities,0..1,"A class capturing a record of system user actions within an auditee's system, which includes instances of entry, approval, last modification, and posting of data or transactions.",Accounts Payable,95,,
328,2,Composition,,Account Payable Adjustment,,,Amounts,0..1,The multi-currency monetary amounts representing adjustments made to accounts payable balances within a specified accounting period.,Accounts Payable,95,,
329,2,Composition,,Account Payable Adjustment,,,Tax,0..*,"A class maintaining records of tax implications and obligations, essential for legal compliance and financial planning.",Accounts Payable,95,,
330,2,Reference Association,,Account Payable Adjustment,,,Accounting Period,0..1,"A specific duration within a fiscal year, delineated by its beginning and ending dates. It serves as the timeframe during which business transactions and entries are accumulated and organized into financial statements and reports.",Accounts Payable,95,,
331,2,Reference Association,,Account Payable Adjustment,,,Business Segment,0..*,A class signifies the structural units depicted within an organizational chart. It serves to illustrate relationships with business partners and conveys various business contexts.,Accounts Payable,95,,
332,2,Reference Association,,Account Payable Adjustment,,,General Ledger Journal Entry Line,0..1,"A class represents a single entry within the General Ledger, containing detailed information about a specific financial transaction or account activity.",Accounts Payable,95,,
333,2,Reference Association,,Account Payable Adjustment,Credit,,Ledger Account,0..1,The ledger account for credit adjustments to accounts payable.,Accounts Payable,95,,
334,2,Reference Association,,Account Payable Adjustment,Debit,,Ledger Account,0..1,The ledger account for debit adjustments to accounts payable.,Accounts Payable,95,,
335,2,Reference Association,,Account Payable Adjustment,,,Purchase Invoice,0..1,"A class summarizing invoices received during the period under review, central to the three-way matching process to ensure that payments are made solely for goods that have been ordered and received.",Accounts Payable,95,,
336,2,Reference Association,,Account Payable Adjustment,,,Supplier,0..1,A class containing essential information about suppliers.,Accounts Payable,95,,
337,1,Class,,Account Payable Adjustment Line,,,,,A class provides details of how adjustments affect specific line items on supplier invoices.,Accounts Payable,97,,
338,2,Attribute,PK,Account Payable Adjustment Line,ID,Identifier,,1..1,The unique identifier for the line within an adjustment record.,Accounts Payable,97,Identifier Medium,
339,2,Attribute,,Account Payable Adjustment Line,Number,Char,,0..1,The number of a line item within an account payable adjustment record,Accounts Payable,97,Char Short,
340,2,Composition,,Account Payable Adjustment Line,,,Amounts,0..1,The multi-currency monetary amounts representing adjustments made to accounts payable balances within a specified accounting period.,Accounts Payable,97,,
341,2,Composition,,Account Payable Adjustment Line,,,Tax,0..*,"A class maintaining records of tax implications and obligations, essential for legal compliance and financial planning.",Accounts Payable,97,,
342,2,Reference Association,,Account Payable Adjustment Line,,,Business Segment,0..*,A class signifies the structural units depicted within an organizational chart. It serves to illustrate relationships with business partners and conveys various business contexts.,Accounts Payable,97,,
343,2,Reference Association,,Account Payable Adjustment Line,,,General Ledger Journal Entry Line,0..1,"A class represents a single entry within the General Ledger, containing detailed information about a specific financial transaction or account activity.",Accounts Payable,97,,
344,2,Reference Association,,Account Payable Adjustment Line,Credit,,Ledger Account,0..1,The ledger account line item for credit adjustments within accounts payable.,Accounts Payable,97,,
345,2,Reference Association,,Account Payable Adjustment Line,Debit,,Ledger Account,0..1,The ledger account line item for debit adjustments within accounts payable.,Accounts Payable,97,,
346,2,Reference Association,,Account Payable Adjustment Line,,,Purchase Invoice,0..1,"A class summarizing invoices received during the period under review, central to the three-way matching process to ensure that payments are made solely for goods that have been ordered and received.",Accounts Payable,97,,
347,2,Reference Association,,Account Payable Adjustment Line,,,Purchase Invoice Line,0..1,"A class describing the specifics of each invoice line received during the period under review, used to validate that invoiced items match ordered and received goods in the three-way matching process.",Accounts Payable,97,,
348,1,Class,,Account Payable Cash Application,,,,,A class details the application of cash payments against supplier invoice obligations within a specific period.,Accounts Payable,93,,
349,2,Attribute,PK,Account Payable Cash Application,ID,Identifier,,1..1,The unique identifier for the application of cash to an invoice in accounts payable.,Accounts Payable,93,Identifier Long,
350,2,Attribute,,Account Payable Cash Application,Date,Date,,0..1,"The date on which the cash was applied to the invoice, regardless of the date when the transaction was created.",Accounts Payable,93,DATE,
351,2,Attribute,,Account Payable Cash Application,Remark,Text,,0..1,Annotations or supplemental information for the cash application in accounts payable.,Accounts Payable,93,Text Medium,
352,2,Composition,,Account Payable Cash Application,,,Activities,0..1,"A class capturing a record of system user actions within an auditee's system, which includes instances of entry, approval, last modification, and posting of data or transactions.",Accounts Payable,93,,
353,2,Composition,,Account Payable Cash Application,,,Amounts,0..1,The multi-currency monetary amounts representing the total cash applied to payable account within a specified accounting period.,Accounts Payable,93,,
354,2,Reference Association,,Account Payable Cash Application,,,Account Payable Payment Made,0..1,"A class documents the details of payment transactions to suppliers, including payment amounts and dates, conducted during a specified period.",Accounts Payable,93,,
355,2,Reference Association,,Account Payable Cash Application,,,Accounting Period,0..1,"A specific duration within a fiscal year, delineated by its beginning and ending dates. It serves as the timeframe during which business transactions and entries are accumulated and organized into financial statements and reports.",Accounts Payable,93,,
356,2,Reference Association,,Account Payable Cash Application,,,Business Segment,0..*,A class signifies the structural units depicted within an organizational chart. It serves to illustrate relationships with business partners and conveys various business contexts.,Accounts Payable,93,,
357,2,Reference Association,,Account Payable Cash Application,Credit,,Ledger Account,0..1,The ledger account for cash credits applied to accounts payable.,Accounts Payable,93,,
358,2,Reference Association,,Account Payable Cash Application,Debit,,Ledger Account,0..1,The ledger account for cash debits applied to accounts payable.,Accounts Payable,93,,
359,2,Reference Association,,Account Payable Cash Application,,,Purchase Invoice,0..1,"A class summarizing invoices received during the period under review, central to the three-way matching process to ensure that payments are made solely for goods that have been ordered and received.",Accounts Payable,93,,
360,2,Reference Association,,Account Payable Cash Application,,,Settlement Method,0..1,"A class describing various methodologies adopted by the business to settle transactions, which can range from cash payments to bank transfers.",Accounts Payable,93,,
361,2,Reference Association,,Account Payable Cash Application,,,Supplier,0..1,A class containing essential information about suppliers.,Accounts Payable,93,,
362,1,Class,,Account Payable Open Account,,,,,"A class records the total amount due to suppliers from unresolved payable transactions as of a particular date, summarized at the invoice level.",Accounts Payable,89,,
363,2,Attribute,PK,Account Payable Open Account,Transaction ID,Identifier,,1..1,The unique identifier for a financial transaction.,Accounts Payable,89,Identifier Medium,
364,2,Attribute,,Account Payable Open Account,Transaction Date,Date,,0..1,"The recorded date of a transaction in an open accounts payable account, which is used as the basis for calculating payment due dates.",Accounts Payable,89,DATE,
365,2,Attribute,,Account Payable Open Account,Transaction Due Date,Date,,0..1,The date by which payment for a transaction in an open accounts payable account is due.,Accounts Payable,89,DATE,
366,2,Attribute,,Account Payable Open Account,Reference Number,Char,,0..1,The number for a transaction related to an open accounts payable account.,Accounts Payable,89,Char Long,
367,2,Attribute,,Account Payable Open Account,Reference Date,Date,,0..1,The date associated with a transaction related to an open accounts payable account.,Accounts Payable,89,DATE,
368,2,Attribute,,Account Payable Open Account,Remark,Text,,0..1,Annotations or supplemental information for the open accounts payable.,Accounts Payable,89,Text Medium,
369,2,Attribute,,Account Payable Open Account,Grouping Code,Char,,0..1,The code that groups related accounts payable items for organizational or processing activities.,Accounts Payable,89,Char Long,
370,2,Composition,,Account Payable Open Account,,,Amounts,0..1,The multi-currency monetary amounts representing the Open Account transaction amount within a specified accounting period.,Accounts Payable,89,,
371,2,Composition,,Account Payable Open Account,Balance,,Amounts,0..1,The multi-currency monetary balance amounts representing the Open Account remaining balance unpaid or needing settlement.definition.,Accounts Payable,89,,
372,2,Reference Association,,Account Payable Open Account,,,Accounting Period,0..1,"A specific duration within a fiscal year, delineated by its beginning and ending dates. It serves as the timeframe during which business transactions and entries are accumulated and organized into financial statements and reports.",Accounts Payable,89,,
373,2,Reference Association,,Account Payable Open Account,,,Business Segment,0..*,A class signifies the structural units depicted within an organizational chart. It serves to illustrate relationships with business partners and conveys various business contexts.,Accounts Payable,89,,
374,2,Reference Association,,Account Payable Open Account,,,General Ledger Journal Entry Line,0..1,"A class represents a single entry within the General Ledger, containing detailed information about a specific financial transaction or account activity.",Accounts Payable,89,,
375,2,Reference Association,,Account Payable Open Account,,,Project,0..1,"A class that provides detailed records of a project's facets, pertinent to open accounts payable.",Accounts Payable,89,,
376,2,Reference Association,,Account Payable Open Account,,,Purchase Contract,0..1,"A class encapsulating the aggregate details of purchase contracts including involved parties, terms, and specifics of the items to be procured.",Accounts Payable,89,,
377,2,Reference Association,,Account Payable Open Account,,,Purchase Invoice,0..1,"A class summarizing invoices received during the period under review, central to the three-way matching process to ensure that payments are made solely for goods that have been ordered and received.",Accounts Payable,89,,
378,2,Reference Association,,Account Payable Open Account,,,Supplier,0..1,A class containing essential information about suppliers.,Accounts Payable,89,,
379,1,Class,,Account Payable Payment Made,,,,,"A class documents the details of payment transactions to suppliers, including payment amounts and dates, conducted during a specified period.",Accounts Payable,91,,
380,2,Attribute,PK,Account Payable Payment Made,ID,Identifier,,1..1,The unique identifier for a payment transaction.,Accounts Payable,91,Identifier Medium,
381,2,Attribute,,Account Payable Payment Made,Number,Char,,0..1,The number for the transactional document associated with an accounts payable payment.,Accounts Payable,91,Char Long,
382,2,Attribute,,Account Payable Payment Made,Payment Date,Date,,0..1,The date on which a payment to a supplier is recorded as made on the accounts payable.,Accounts Payable,91,DATE,
383,2,Attribute,,Account Payable Payment Made,Reference Number,Char,,0..1,The number for a payment transaction for accounts payable.,Accounts Payable,91,Char Long,
384,2,Attribute,,Account Payable Payment Made,Reference Date,Date,,0..1,The date associated with a payment transaction for accounts payable.,Accounts Payable,91,DATE,
385,2,Attribute,,Account Payable Payment Made,Debit or Credit Code,Code,,0..1,"A code that classifies a transaction as either increasing assets and expenses, denoted  by 'D' for debit, or increasing liabilities, equity, and revenues, denoted by 'C' for credit.",Accounts Payable,91,DEBIT CREDIT CODE,
386,2,Attribute,,Account Payable Payment Made,Remark,Text,,0..1,Annotations or supplemental information for the payments made in accounts payable.,Accounts Payable,91,Text Medium,
387,2,Composition,,Account Payable Payment Made,,,Activities,0..1,"A class capturing a record of system user actions within an auditee's system, which includes instances of entry, approval, last modification, and posting of data or transactions.",Accounts Payable,91,,
388,2,Composition,,Account Payable Payment Made,,,Amounts,0..1,The multi-currency monetary amounts representing the total cash paid amount within a specified accounting period.,Accounts Payable,91,,
389,2,Reference Association,,Account Payable Payment Made,,,Accounting Period,0..1,"A specific duration within a fiscal year, delineated by its beginning and ending dates. It serves as the timeframe during which business transactions and entries are accumulated and organized into financial statements and reports.",Accounts Payable,91,,
390,2,Reference Association,,Account Payable Payment Made,,,Business Segment,0..*,A class signifies the structural units depicted within an organizational chart. It serves to illustrate relationships with business partners and conveys various business contexts.,Accounts Payable,91,,
391,2,Reference Association,,Account Payable Payment Made,,,General Ledger Journal Entry Line,0..1,"A class represents a single entry within the General Ledger, containing detailed information about a specific financial transaction or account activity.",Accounts Payable,91,,
392,2,Reference Association,,Account Payable Payment Made,Credit,,Ledger Account,0..1,The ledger account for payments made that result in credit to accounts payable.,Accounts Payable,91,,
393,2,Reference Association,,Account Payable Payment Made,Debit,,Ledger Account,0..1,The ledger account for payments made that result in a debit to accounts payable.,Accounts Payable,91,,
394,2,Reference Association,,Account Payable Payment Made,,,Project,0..1,"A class that provides a comprehensive record of a project's financial details and progress, related to made payments in accounts payable.",Accounts Payable,91,,
395,2,Reference Association,,Account Payable Payment Made,,,Purchase Contract,0..1,"A class encapsulating the aggregate details of purchase contracts including involved parties, terms, and specifics of the items to be procured.",Accounts Payable,91,,
396,2,Reference Association,,Account Payable Payment Made,,,Settlement Method,0..1,"A class describing various methodologies adopted by the business to settle transactions, which can range from cash payments to bank transfers.",Accounts Payable,91,,
397,2,Reference Association,,Account Payable Payment Made,,,Supplier,0..1,A class containing essential information about suppliers.,Accounts Payable,91,,
398,1,Class,,Account Receivable Adjustment,,,,,"A class contains records of modifications to invoice balances, such as write-offs or credit memos, that occurred within a specified timeframe.",Accounts Receivable,67,,
399,2,Attribute,PK,Account Receivable Adjustment,ID,Identifier,,1..1,The unique identifier for the adjustment record.,Accounts Receivable,67,Identifier Long,
400,2,Attribute,,Account Receivable Adjustment,Number,Char,,0..1,"The number for an adjustment record, ensuring the uniqueness of each adjustment transaction.",Accounts Receivable,67,Char Long,
401,2,Attribute,,Account Receivable Adjustment,Type Name,Name,,0..1,Name of the method by which the transaction debit or credit amount was extinguished or apportioned to the debt by the supplier.,Accounts Receivable,67,Name Short,
402,2,Attribute,,Account Receivable Adjustment,Document Number,Char,,0..1,The number for a document associated with an adjustment.,Accounts Receivable,67,Char Long,
403,2,Attribute,,Account Receivable Adjustment,Date,Date,,0..1,Date on which an adjustment is recorded.,Accounts Receivable,67,DATE,
404,2,Composition,,Account Receivable Adjustment,,,Account Receivable Adjustment Line,0..*,A class details the impact of financial adjustments on specific line items within an invoice.,Accounts Receivable,67,,
405,2,Composition,,Account Receivable Adjustment,,,Activities,0..1,"A class capturing a record of system user actions within an auditee's system, which includes instances of entry, approval, last modification, and posting of data or transactions.",Accounts Receivable,67,,
406,2,Composition,,Account Receivable Adjustment,,,Amounts,0..1,The multi-currency monetary amounts representing adjustments made to accounts receivable balances within a specified accounting period.,Accounts Receivable,67,,
407,2,Composition,,Account Receivable Adjustment,,,Tax,0..*,"A class maintaining records of tax implications and obligations, essential for legal compliance and financial planning.",Accounts Receivable,67,,
408,2,Reference Association,,Account Receivable Adjustment,,,Accounting Period,0..1,"A specific duration within a fiscal year, delineated by its beginning and ending dates. It serves as the timeframe during which business transactions and entries are accumulated and organized into financial statements and reports.",Accounts Receivable,67,,
409,2,Reference Association,,Account Receivable Adjustment,,,Business Segment,0..*,A class signifies the structural units depicted within an organizational chart. It serves to illustrate relationships with business partners and conveys various business contexts.,Accounts Receivable,67,,
410,2,Reference Association,,Account Receivable Adjustment,,,Customer,0..1,A class that records basic customer information related to adjustments in accounts receivable.,Accounts Receivable,67,,
411,2,Reference Association,,Account Receivable Adjustment,,,General Ledger Journal Entry Line,0..1,"A class represents a single entry within the General Ledger, containing detailed information about a specific financial transaction or account activity.",Accounts Receivable,67,,
412,2,Reference Association,,Account Receivable Adjustment,Credit,,Ledger Account,0..1,The ledger account for credit adjustments to accounts receivable.,Accounts Receivable,67,,
413,2,Reference Association,,Account Receivable Adjustment,Debit,,Ledger Account,0..1,The ledger account for debit adjustments to accounts receivable.,Accounts Receivable,67,,
414,2,Reference Association,,Account Receivable Adjustment,,,Sales Invoice,0..1,"A class consolidating sales invoices generated, essential in the three-way matching process for reconciling orders and deliveries before recognizing revenue and processing accounts receivable.",Accounts Receivable,67,,
415,1,Class,,Account Receivable Adjustment Line,,,,,A class details the impact of financial adjustments on specific line items within an invoice.,Accounts Receivable,69,,
416,2,Attribute,PK,Account Receivable Adjustment Line,ID,Identifier,,1..1,The unique identifier for the line within an adjustment record.,Accounts Receivable,69,Identifier Medium,
417,2,Attribute,,Account Receivable Adjustment Line,Number,Char,,0..1,The number of a line item within an account payable adjustment record,Accounts Receivable,69,Char Short,
418,2,Composition,,Account Receivable Adjustment Line,,,Amounts,0..1,The multi-currency monetary amounts representing adjustments made to accounts receivable balances within a specified accounting period.,Accounts Receivable,69,,
419,2,Composition,,Account Receivable Adjustment Line,,,Tax,0..*,"A class maintaining records of tax implications and obligations, essential for legal compliance and financial planning.",Accounts Receivable,69,,
420,2,Reference Association,,Account Receivable Adjustment Line,,,Business Segment,0..*,A class signifies the structural units depicted within an organizational chart. It serves to illustrate relationships with business partners and conveys various business contexts.,Accounts Receivable,69,,
421,2,Reference Association,,Account Receivable Adjustment Line,,,General Ledger Journal Entry Line,0..1,"A class represents a single entry within the General Ledger, containing detailed information about a specific financial transaction or account activity.",Accounts Receivable,69,,
422,2,Reference Association,,Account Receivable Adjustment Line,Credit,,Ledger Account,0..1,The ledger account line item for credit adjustments within accounts receivable.,Accounts Receivable,69,,
423,2,Reference Association,,Account Receivable Adjustment Line,Debit,,Ledger Account,0..1,The ledger account line item for debit adjustments within accounts receivable.,Accounts Receivable,69,,
424,2,Reference Association,,Account Receivable Adjustment Line,,,Sales Invoice,0..1,"A class consolidating sales invoices generated, essential in the three-way matching process for reconciling orders and deliveries before recognizing revenue and processing accounts receivable.",Accounts Receivable,69,,
425,2,Reference Association,,Account Receivable Adjustment Line,,,Sales Invoice Line,0..1,"A class detailing individual products on sales invoices, integral to the three-way matching process that ensures billing accuracy and proper revenue reporting.",Accounts Receivable,69,,
426,1,Class,,Account Receivable Cash Application,,,,,The class logs all payment transactions received during a certain period.,Accounts Receivable,65,,
427,2,Attribute,PK,Account Receivable Cash Application,ID,Identifier,,1..1,The unique identifier for the application of cash to an invoice in accounts receivable.,Accounts Receivable,65,Identifier Long,
428,2,Attribute,,Account Receivable Cash Application,Date,Date,,0..1,Date on which a cash receipt is applied to an accounts receivable balance.,Accounts Receivable,65,DATE,
429,2,Attribute,,Account Receivable Cash Application,Remark,Text,,0..1,Annotations or supplemental information for the cash application in accounts receivable.,Accounts Receivable,65,Text Medium,
430,2,Composition,,Account Receivable Cash Application,,,Activities,0..1,"A class capturing a record of system user actions within an auditee's system, which includes instances of entry, approval, last modification, and posting of data or transactions.",Accounts Receivable,65,,
431,2,Composition,,Account Receivable Cash Application,,,Amounts,0..1,The multi-currency monetary amounts representing the total cash received account within a specified accounting period.,Accounts Receivable,65,,
432,2,Reference Association,,Account Receivable Cash Application,,,Account Receivable Cash Received,0..1,A class records all payment transactions received within a specific period.,Accounts Receivable,65,,
