sequence,level,property_type,identifier,class_term,property_term,representation_term,associated_class,multiplicity,definition,module,element,label_local,definition_local,id
171,2,Attribute,,cor:Entity_ Party,bus:Fiscal Year Start,Date,,0..1,"Start of fiscal year. Where appropriate, corporate year period representation permits non-365 or 366 day years (more appropriate for internal sharing than data from external sources), In Europe, some jurisdictions allow 2 year minus 1 day fiscal years.",cor,bus:fiscalYearStart,会計年度開始日付,会計年度の開始日。妥当であれば、企業の会計年度表示において、366日や365日でない年も許可する（外部ソースからのデータより内部共有のための方が適している）。ヨーロッパでは、2年マイナス1日の会計年度を許可するところもある。,CO04_BU15_13
172,2,Attribute,,cor:Entity_ Party,bus:Fiscal Year End,Date,,0..1,"End of fiscal year. Where appropriate, corporate year period representation permits non-365 or 366 day years (more appropriate for internal sharing than data from external sources), In Europe, some jurisdictions allow 2 year minus 1 day fiscal years.",cor,bus:fiscalYearEnd,会計年度終了日付,会計年度の終了日。妥当であれば、企業の会計年度表示において、366日や365日でない年も許可する（外部ソースからのデータより内部共有のための方が適している）。ヨーロッパでは、2年マイナス1日の会計年度を許可するところもある。,CO04_BU15_14
162,2,Reference Association,,cor:Entity_ Party,,,cor:Authority Registered Identifier,0..*,Class which contains various identifiers for theparty.,cor,cor:authorityRegisteredIdentifier,【事業体識別子】,組織に関する様々な識別子を含むクラス。,CO04_04
163,2,Composition,,cor:Entity_ Party,,,bus:Phone,0..*,Primary phone number of the party.,cor,bus:phone,【事業体電話番号】,事業体の主要電話番号情報。,CO04_BU15_05
164,2,Composition,,cor:Entity_ Party,,,bus:Fax,0..*,Class for holding company fax information.,cor,bus:fax,【事業体FAX番号】,事業体のFAX番号情報のクラス。,CO04_BU15_06
165,2,Composition,,cor:Entity_ Party,,,bus:Email,0..*,Class for holding company email information.,cor,bus:email,【事業体Eメールアドレス】,事業体のEメールアドレス情報のクラス。,CO04_BU15_07
166,2,Composition,,cor:Entity_ Party,,,bus:Address,0..*,Address class for the party,cor,bus:address,【住所】,報告事業体の住所クラス。,CO04_BU15_08
167,2,Composition,,cor:Entity_ Party,,,bus:Web Site,0..*,Primary web site of the party.,cor,bus:webSite,【事業体Webサイト】,事業体の代表ウェブサイト。,CO04_BU15_09
168,2,Composition,,cor:Entity_ Party,,,bus:Contact,0..*,Information about contacts.,cor,bus:contact,【担当者情報】,担当者に関する情報。,CO04_BU15_10
173,2,Composition,,cor:Entity_ Party,,,bus:Accounting Method,0..*,Class for identifying the methods of accounting used by the entity for different reporting purposes,cor,bus:accountingMethod,【会計処理方法】,異なる報告目的に応じて事業体が使用する会計処理方法を識別するためのクラス。,CO04_BU15_15
174,2,Composition,,cor:Entity_ Party,,,bus:Accountant,0..*,Information about the relevant external accountant,cor,bus:accountant,【会計事務所情報】,関連する外部会計事務所に関する情報。,CO04_BU15_16
175,2,Composition,,cor:Entity_ Party,,,bus:Reporting Calendar,0..*,A tool to collect the periods used to summarise results from transactions.,cor,bus:reportingCalendar,【報告カレンダー】,取引の結果をまとめるための期間を集めるもの。,CO04_BU15_17
146,1,Class,,cor:Party,,,,0..*,Class for the party,cor,cor:party,,,CO03
147,2,Attribute,PK,cor:Party,cor:Party ID,String,,0..1,ID Number of the party,cor,cor:partyId,,,CO03_01
148,2,Attribute,,cor:Party,cor:Party Name,String,,0..1,Name of the party,cor,cor:partyName,,,CO03_02
149,2,Attribute,,cor:Party,cor:Party Business Description,String,,0..1,Description of the nature of the business of the party.,cor,cor:partyBusinessDescription,業種説明,事業体の事業の種類についての説明。,CO03_03
150,2,Reference Association,,cor:Party,,,cor:Authority Registered Identifier,0..*,Class which contains various identifiers for the party.,cor,cor:authorityRegisteredIdentifier,【事業体識別子】,組織に関する様々な識別子を含むクラス。,CO03_04
151,2,Composition,,cor:Party,,,bus:Phone,0..*,Primary phone number of the party.,cor,bus:phone,【事業体電話番号】,事業体の主要電話番号情報。,CO03_BU14_05
152,2,Composition,,cor:Party,,,bus:Fax,0..*,Class for holding company fax information.,cor,bus:fax,【事業体FAX番号】,事業体のFAX番号情報のクラス。,CO03_BU14_06
153,2,Composition,,cor:Party,,,bus:Email,0..*,Class for holding company email information.,cor,bus:email,【事業体Eメールアドレス】,事業体のEメールアドレス情報のクラス。,CO03_BU14_07
154,2,Composition,,cor:Party,,,bus:Address,0..*,Address class for the party,cor,bus:address,【住所】,報告事業体の住所クラス。,CO03_BU14_08
155,2,Composition,,cor:Party,,,bus:Web Site,0..*,Primary web site of the party.,cor,bus:webSite,【事業体Webサイト】,事業体の代表ウェブサイト。,CO03_BU14_09
156,2,Composition,,cor:Party,,,bus:Contact,0..*,Information about contacts.,cor,bus:contact,【担当者情報】,担当者に関する情報。,CO03_BU14_10
