seq,level,Property type,Identifier,Class,Property Term,BaseType,Associated Class,Multiplicity,Documentation,module,LocalLabel,LocalDocumentation
154,2,Composition,,Party,,,Address,0..*,Address class for the party,bus,【住所】,報告事業体の住所クラス。
155,2,Composition,,Party,,,Web Site,0..*,Primary web site of the party.,bus,【事業体Webサイト】,事業体の代表ウェブサイト。
156,2,Composition,,Party,,,Contact,0..*,Information about contacts.,bus,【担当者情報】,担当者に関する情報。
157,1,Class,,Entity_ Party,,,,0..1,Holder for entity information - information about the reporting organization.,cor,【事業体情報】,事業体情報（報告組織に関する情報）の入れ物。
158,2,Specialization,,Entity_ Party,,,Party,1,,cor,,
159,2,Attribute,PK,Entity_ Party,ID,String,,0..1,ID Number of the party,cor,,
160,2,Attribute,,Entity_ Party,Name,String,,0..1,Name of the party,cor,,
161,2,Attribute,,Entity_ Party,Business Description,String,,0..1,Description of the nature of the business of the party.,cor,業種説明,事業体の事業の種類についての説明。
162,2,Reference Association,,Entity_ Party,,,Authority Registered Identifier,0..*,Class which contains various identifiers for theparty.,cor,【事業体識別子】,組織に関する様々な識別子を含むクラス。
163,2,Composition,,Entity_ Party,,,Phone,0..*,Primary phone number of the party.,bus,【事業体電話番号】,事業体の主要電話番号情報。
164,2,Composition,,Entity_ Party,,,Fax,0..*,Class for holding company fax information.,bus,【事業体FAX番号】,事業体のFAX番号情報のクラス。
165,2,Composition,,Entity_ Party,,,Email,0..*,Class for holding company email information.,bus,【事業体Eメールアドレス】,事業体のEメールアドレス情報のクラス。
166,2,Composition,,Entity_ Party,,,Address,0..*,Address class for the party,bus,【住所】,報告事業体の住所クラス。
167,2,Composition,,Entity_ Party,,,Web Site,0..*,Primary web site of the party.,bus,【事業体Webサイト】,事業体の代表ウェブサイト。
168,2,Composition,,Entity_ Party,,,Contact,0..*,Information about contacts.,bus,【担当者情報】,担当者に関する情報。
169,2,Attribute,,Entity_ Party,Default Accounting Method Purpose,Token,,0..1,"If not stated explicitly at the line level, the default reporting purpose - from book, tax, management, statutory, other",bus,既定会計処理方法目的,"明細レベルで明確に指定しない場合の、既定の報告目的を表す。帳簿、税、管理、スタチュトリ、その他から選択する。
[設定値のリスト]
(book：帳簿)、(tax：税)、(management：管理)、(statutory：スタチュトリ)、(other：その他)"
170,2,Attribute,,Entity_ Party,Default Accounting Method Purpose Description,String,,0..1,Free format description of the default accounting method purpose,bus,既定会計処理方法目的説明,既定の会計処理方法目的の説明。
171,2,Attribute,,Entity_ Party,Fiscal Year Start,Date,,0..1,"Start of fiscal year. Where appropriate, corporate year period representation permits non-365 or 366 day years (more appropriate for internal sharing than data from external sources), In Europe, some jurisdictions allow 2 year minus 1 day fiscal years.",bus,会計年度開始日付,会計年度の開始日。妥当であれば、企業の会計年度表示において、366日や365日でない年も許可する（外部ソースからのデータより内部共有のための方が適している）。ヨーロッパでは、2年マイナス1日の会計年度を許可するところもある。
172,2,Attribute,,Entity_ Party,Fiscal Year End,Date,,0..1,"End of fiscal year. Where appropriate, corporate year period representation permits non-365 or 366 day years (more appropriate for internal sharing than data from external sources), In Europe, some jurisdictions allow 2 year minus 1 day fiscal years.",bus,会計年度終了日付,会計年度の終了日。妥当であれば、企業の会計年度表示において、366日や365日でない年も許可する（外部ソースからのデータより内部共有のための方が適している）。ヨーロッパでは、2年マイナス1日の会計年度を許可するところもある。
173,2,Composition,,Entity_ Party,,,Accounting Method,0..*,Class for identifying the methods of accounting used by the entity for different reporting purposes,bus,【会計処理方法】,異なる報告目的に応じて事業体が使用する会計処理方法を識別するためのクラス。
174,2,Composition,,Entity_ Party,,,Accountant,0..*,Information about the relevant external accountant,bus,【会計事務所情報】,関連する外部会計事務所に関する情報。
175,2,Composition,,Entity_ Party,,,Reporting Calendar,0..*,A tool to collect the periods used to summarise results from transactions.,bus,【報告カレンダー】,取引の結果をまとめるための期間を集めるもの。
176,1,Class,,Subaccount,,,,0..*,Class to hold multiple accountSubIDs and Descriptions,cor,【補助勘定科目情報】,複数のaccountSubIDと説明文を含むクラス。
177,2,Attribute,PK,Subaccount,ID,String,,0..1,"Where the primary account was placed in accountMainID, the code used for each profit center, division, business unit, fund, program, branch, project, class, su-class or other modifier is placed here.",cor,補助勘定科目コード,主勘定科目をaccountMainIDに指定したときに、各プロフィットセンタ、事業部、事業体、基金、プログラム、支店、プロジェクト、クラス、su-クラス又は他の修飾子に使用されるコードはここに指定する。
178,2,Attribute,,Subaccount,Description,String,,0..1,The description that accompanies accountSubID belongs here.,cor,補助勘定科目説明,accountSubIDに関する説明。
179,2,Attribute,,Subaccount,Type,Token,,0..1,"Type of sub-account - profit center, division, business unit, fund, program, branch, project, class, su-class or other modifier is placed here. For example:: Accountability center: Business unit: Class:Department: Project: Fund: Program:Job: Profit center: Branch: Setup class: Division: Unit",cor,補助勘定科目種別,小勘定科目の種別。プロフィットセンタ、事業部、事業体、基金、プログラム、支店、プロジェクト、クラス、su-クラス又は他の修飾子がここに配置される。 例えば、責任単位、事業単位、クラス、部、プロジェクト、基金、プログラム、ジョブ、プロフィットセンター、支店、セットアップクラス、部門、ユニット
180,2,Reference Association,,Subaccount,,,Parent Subaccount,0..1,Reference to the ID of the parent subaccount.,cor,親補助勘定科目コード,
181,1,Class,,Parent Subaccount,,,,0..*,Class for showing the detail necessary to roll up from one segment (type of subaccount) to another.,cor,【親補助勘定科目情報】,あるセグメント（補助勘定の種別）から別のセグメントへ集約（ロールアップ）するために必要な詳細を表すクラス。
182,2,Attribute,PK,Parent Subaccount,Parent Code,String,,0..1,Subaccount NUMBER this subaccount rolls up to - see also subaccount type it rolls up to.,cor,親補助勘定科目コード,この小勘定科目のロールアップ先の小勘定科目の番号-ロールアップ先の小勘定科目の種別も参照。
183,2,Attribute,,Parent Subaccount,Parent Type,String,,0..1,The describer of the segment this subaccount rolls up to.,cor,親補助勘定科目種別,この小勘定科目のロールアップ先のセグメントの説明。
184,2,Attribute,,Parent Subaccount,Parent Reporting Tree ID,String,,0..1,Used for representing descriptions of reporting trees.,cor,親補助勘定レポーティングツリーID,レポーティングツリーの階層構造における親ノードを識別するために用いられる識別子。
185,2,Attribute,,Parent Subaccount,Parent Percentage,Pure,,0..1,"For partial allocations of amounts to different parents, the percentage of a child that will be allocated to a parent.",cor,親補助勘定科目配分パーセンテージ,異なる親科目に配分する場合に、親科目に割り当てるパーセンテージ。
186,1,Abstract Class,,Account Identifier,,,,0..*,"Class: parent container for account numbers and identifiers. No entry is made here, but each detail line may have multiple accounts assigned to it for reporting in different GAAPs, offsetting accounts in Japan, passing along information to consolidation systems about local versus consolidating accounts, etc. For example, the account 4783HG-QOWI-192837-1000 may be expressed so: 

/account/accountMainID 1000  
/account/accountMainDescription Cash  
/account/accountSub/accountSubID 4783HG  
/account/accountSub/accountSubDescription Department  
/account/accountSub/accountSubID QOWI  
/account/accountSub/accountSubDescription Branch  
/account/accountSub/accountSubID 192837  
/account/accountSub/accountSubDescription Division",cor,【科目識別子】,"クラス。勘定科目番号と識別子の親コンテナ。 ここには記入されないが、個々の明細行は、異なるGAAPでの報告や、日本の見返勘定や、連結勘定科目に対する個別情報の連結会計システムへの伝達などのための、複数の勘定科目を持ちうる。例えば、勘定科目4783HG-QOWI-192837-1000は、次のように表現されうる。
/account/accountMainID 1000  
/account/accountMainDescription Cash  
/account/accountSub/accountSubID 4783HG  
/account/accountSub/accountSubDescription Department  
/account/accountSub/accountSubID QOWI  
/account/accountSub/accountSubDescription Branch  
/account/accountSub/accountSubID 192837  
/account/accountSub/accountSubDescription Division"
187,2,Attribute,PK,Account Identifier,Number,String,,0..1,"Main account - the code used to identify the accounting bucket the entry has been assigned to. Examples might be 1000 for Cash, 567GAAZ for Sales Expense or Z for tax payments. Identifiers such as department, branch, division, manager, or other modifiers are noted in the Subaccount area. Before needing to post, account is not necessary. Posting to the general ledger almost always requires an entry here.",cor,主勘定科目コード,"主勘定科目。仕訳が関連する会計バケットを特定するためのコード。例えば、現金を表す1000、販売費を表す567GAAZ、税を表すZ。
部門、支店、事業部、マネージャ、その他の識別子は、Subaccount領域に記述される。転記の必要がなければ、勘定科目は必要ではない。総勘定元帳に転記するにはほとんどの場合必要。"
188,2,Attribute,,Account Identifier,Description,String,,0..1,Description of accountMainID - the human readable describer that accompanies the code used in accountMainID,cor,主勘定科目説明,主勘定科目コードの説明。主勘定科目コードとして使用されるコードについての、人が読める記述。
189,2,Attribute,,Account Identifier,Classification,Token,,0..1,"Account type - FASB Concepts 6 and similar international designs. When xbrlInfo is used to associated other XBRL reporting items, this field is more suited to representing existing systems (audit) than data interchange. Enumerated as: asset, liability, equity, income, gain, expense, loss, contr-to-equity, distr-from-equity, comprehensive-income, other.",cor,主勘定科目区分,"主勘定科目の種別。FASB Concepts 6および、同様の国際的な様式。xbrlInfoが他のXBRL項目と関係付けられる場合、データ交換より現存システム(audit)を示すべき。
[設定値のリスト]
(asset：資産)、(liability：負債)、(equity：資本)、(income：収益)、(gain：利得)、(expense：費用)、(loss：損失)、(contr-to-equity：資本増加)、(distr-from-equity：資本減少)、(comprehensive-income：包括利益)、(other：その他)"
190,2,Attribute,,Account Identifier,Classification Description,String,,0..1,Free format description of the account classification,cor,主勘定科目区分説明,主勘定科目の区分の説明。
191,2,Attribute,,Account Identifier,Parent Number,String,,0..1,Roll up item from child natural account to parent natural account.,cor,親勘定科目コード,子勘定科目から親勘定科目に包み込む科目。
192,2,Attribute,,Account Identifier,Purpose of Account,Token,,0..1,"Code related to usage for account aggregate - Consolidating, European, IFRS, Offsetting, Primary, Tax, USGAAP, Japanese, Other. Japanese companies will use this for the tax required offsetting entry. If left blank, assumes default accounting method for company.",cor,勘定科目目的,"勘定科目群の使用法を示すコード。連結、European, IFRS, 見返、プライマリ, 税, USGAAP, Japanese,その他。日本企業では、見返仕訳で要求される税務処理に利用するかもしれない。空白の場合、企業の既定の勘定方法とみなす。
[設定値のリスト]
(consolidating：連結)、(european：ヨーロッパ)、(ifrs：IFRS)、(offsetting：見返)、(primary：プライマリ)、(tax：税)、(usgaap：US GAAP)、(japanese：日本)、(other：その他)"
193,2,Attribute,,Account Identifier,Purpose of Description,String,,0..1,Description of usage for aggregate account,cor,勘定科目目的説明,勘定科目群の使用法の説明。
194,2,Attribute,,Account Identifier,Type,Token,,0..1,"Type of account. Enumerated as: account, bank, employee, customer, job, vendor, measurable, statistical, other.",cor,科目種別,"科目の種別。
[設定値のリスト]
(account：勘定科目)、(bank：銀行)、(employee：従業員)、(customer：顧客)、(job：ジョブ)、(vendor：仕入先)、(measurable：計測可能物)、(statistical：統計)、(other：その他)"
195,2,Attribute,,Account Identifier,Type Description,String,,0..1,Free format description of the account type,cor,科目種別説明,科目の種別の説明。
196,2,Attribute,,Account Identifier,Accounting Method,Token,,0..1,"For this entry, the method of accounting represented - from: accrual, cash, modified cash, modified accrual, encumbrance, special methods, hybrid methods, other",bus,仕訳会計処理方法,"この仕訳の会計処理方法を表す。発生基準、現金基準、修正現金基準、修正発生基準、債務基準、特別な方法、混合方法、その他
[設定値のリスト]
(accrual：発生基準)、(cash：現金基準)、(modified cash：修正現金基準)、(modified accrual：修正発生基準)、(encumbrance：債務基準)、(special methods：特別な方法)、(hybrid methods：混合方法)、(other：その他)"
197,2,Attribute,,Account Identifier,Accounting Method Description,String,,0..1,Free format description of the entry accounting method,bus,仕訳会計処理方法説明,仕訳の会計処理方法の説明。
198,2,Attribute,,Account Identifier,Accounting Method Purpose,Token,,0..1,"For this entry, the reporting purpose represented - from book, tax, management, statutory, other",bus,仕訳会計処理方法目的,"仕訳の報告の目的を表す。帳簿、税、管理、スタチュトリ、その他
[設定値のリスト]
(book：帳簿)、(tax：税)、(management：管理)、(statutory：スタチュトリ)、(other：その他)"
199,2,Attribute,,Account Identifier,Accounting Method Purpose Description,String,,0..1,Free format description of the entry accounting method purpose,bus,仕訳会計処理方法目的説明,仕訳の会計処理方法の目的の説明。
200,2,Attribute,,Account Identifier,Active,Boolean,,0..1,"Boolean to indicate whether the account is active (=""true"") or inactive (=""false"")",cor,科目有効性,科目が有効か無効かを示すブール値。
201,2,Reference Association,,Account Identifier,,,Subaccount,0..*,Class to hold multiple accountSubIDs and Descriptions,cor,【サブ科目情報】,複数のaccountSubIDと説明文を含むクラス。
202,1,Class,,Detail_ Account Identifier,,,,0..*,"Class: parent container for account numbers and identifiers applied at the transaction detail (line) level. No entry is made here, but each detail line may have multiple accounts assigned to it for reporting in different GAAPs, offsetting accounts in Japan, passing along information to consolidation systems about local versus consolidating accounts, etc. For example, the account 4783HG-QOWI-192837-1000 may be expressed so: 

/account/accountMainID 1000  
/account/accountMainDescription Cash  
/account/accountSub/accountSubID 4783HG  
/account/accountSub/accountSubDescription Department  
/account/accountSub/accountSubID QOWI  
/account/accountSub/accountSubDescription Branch  
/account/accountSub/accountSubID 192837  
/account/accountSub/accountSubDescription Division",cor,【行科目識別子】,"クラス。勘定科目番号と識別子の親コンテナ。 ここには記入されないが、個々の明細行は、異なるGAAPでの報告や、日本の見返勘定や、連結勘定科目に対する個別情報の連結会計システムへの伝達などのための、複数の勘定科目を持ちうる。例えば、勘定科目4783HG-QOWI-192837-1000は、次のように表現されうる。
/account/accountMainID 1000  
/account/accountMainDescription Cash  
/account/accountSub/accountSubID 4783HG  
/account/accountSub/accountSubDescription Department  
/account/accountSub/accountSubID QOWI  
/account/accountSub/accountSubDescription Branch  
/account/accountSub/accountSubID 192837  
/account/accountSub/accountSubDescription Division"
203,2,Specialization,,Detail_ Account Identifier,,,Account Identifier,1,,cor,,
204,2,Attribute,PK,Detail_ Account Identifier,Number,String,,0..1,"Main account - the code used to identify the accounting bucket the entry has been assigned to. Examples might be 1000 for Cash, 567GAAZ for Sales Expense or Z for tax payments. Identifiers such as department, branch, division, manager, or other modifiers are noted in the Subaccount area. Before needing to post, account is not necessary. Posting to the general ledger almost always requires an entry here.",cor,主勘定科目コード,"主勘定科目。仕訳が関連する会計バケットを特定するためのコード。例えば、現金を表す1000、販売費を表す567GAAZ、税を表すZ。
部門、支店、事業部、マネージャ、その他の識別子は、Subaccount領域に記述される。転記の必要がなければ、勘定科目は必要ではない。総勘定元帳に転記するにはほとんどの場合必要。"
205,2,Attribute,,Detail_ Account Identifier,Description,String,,0..1,Description of accountMainID - the human readable describer that accompanies the code used in accountMainID,cor,主勘定科目説明,主勘定科目コードの説明。主勘定科目コードとして使用されるコードについての、人が読める記述。
206,2,Attribute,,Detail_ Account Identifier,Classification,Token,,0..1,"Account type - FASB Concepts 6 and similar international designs. When xbrlInfo is used to associated other XBRL reporting items, this field is more suited to representing existing systems (audit) than data interchange. Enumerated as: asset, liability, equity, income, gain, expense, loss, contr-to-equity, distr-from-equity, comprehensive-income, other.",cor,主勘定科目区分,"主勘定科目の種別。FASB Concepts 6および、同様の国際的な様式。xbrlInfoが他のXBRL項目と関係付けられる場合、データ交換より現存システム(audit)を示すべき。
[設定値のリスト]
(asset：資産)、(liability：負債)、(equity：資本)、(income：収益)、(gain：利得)、(expense：費用)、(loss：損失)、(contr-to-equity：資本増加)、(distr-from-equity：資本減少)、(comprehensive-income：包括利益)、(other：その他)"
207,2,Attribute,,Detail_ Account Identifier,Classification Description,String,,0..1,Free format description of the account classification,cor,主勘定科目区分説明,主勘定科目の区分の説明。
208,2,Attribute,,Detail_ Account Identifier,Parent Number,String,,0..1,Roll up item from child natural account to parent natural account.,cor,親勘定科目コード,子勘定科目から親勘定科目に包み込む科目。
209,2,Attribute,,Detail_ Account Identifier,Purpose of Account,Token,,0..1,"Code related to usage for account aggregate - Consolidating, European, IFRS, Offsetting, Primary, Tax, USGAAP, Japanese, Other. Japanese companies will use this for the tax required offsetting entry. If left blank, assumes default accounting method for company.",cor,勘定科目目的,"勘定科目群の使用法を示すコード。連結、European, IFRS, 見返、プライマリ, 税, USGAAP, Japanese,その他。日本企業では、見返仕訳で要求される税務処理に利用するかもしれない。空白の場合、企業の既定の勘定方法とみなす。
[設定値のリスト]
(consolidating：連結)、(european：ヨーロッパ)、(ifrs：IFRS)、(offsetting：見返)、(primary：プライマリ)、(tax：税)、(usgaap：US GAAP)、(japanese：日本)、(other：その他)"
210,2,Attribute,,Detail_ Account Identifier,Purpose of Description,String,,0..1,Description of usage for aggregate account,cor,勘定科目目的説明,勘定科目群の使用法の説明。
211,2,Attribute,,Detail_ Account Identifier,Type,Token,,0..1,"Type of account. Enumerated as: account, bank, employee, customer, job, vendor, measurable, statistical, other.",cor,科目種別,"科目の種別。
[設定値のリスト]
(account：勘定科目)、(bank：銀行)、(employee：従業員)、(customer：顧客)、(job：ジョブ)、(vendor：仕入先)、(measurable：計測可能物)、(statistical：統計)、(other：その他)"
212,2,Attribute,,Detail_ Account Identifier,Type Description,String,,0..1,Free format description of the account type,cor,科目種別説明,科目の種別の説明。
213,2,Attribute,,Detail_ Account Identifier,Accounting Method,Token,,0..1,"For this entry, the method of accounting represented - from: accrual, cash, modified cash, modified accrual, encumbrance, special methods, hybrid methods, other",bus,仕訳会計処理方法,"この仕訳の会計処理方法を表す。発生基準、現金基準、修正現金基準、修正発生基準、債務基準、特別な方法、混合方法、その他
[設定値のリスト]
(accrual：発生基準)、(cash：現金基準)、(modified cash：修正現金基準)、(modified accrual：修正発生基準)、(encumbrance：債務基準)、(special methods：特別な方法)、(hybrid methods：混合方法)、(other：その他)"
214,2,Attribute,,Detail_ Account Identifier,Accounting Method Description,String,,0..1,Free format description of the entry accounting method,bus,仕訳会計処理方法説明,仕訳の会計処理方法の説明。
215,2,Attribute,,Detail_ Account Identifier,Accounting Method Purpose,Token,,0..1,"For this entry, the reporting purpose represented - from book, tax, management, statutory, other",bus,仕訳会計処理方法目的,"仕訳の報告の目的を表す。帳簿、税、管理、スタチュトリ、その他
[設定値のリスト]
(book：帳簿)、(tax：税)、(management：管理)、(statutory：スタチュトリ)、(other：その他)"
216,2,Attribute,,Detail_ Account Identifier,Accounting Method Purpose Description,String,,0..1,Free format description of the entry accounting method purpose,bus,仕訳会計処理方法目的説明,仕訳の会計処理方法の目的の説明。
217,2,Attribute,,Detail_ Account Identifier,Active,Boolean,,0..1,"Boolean to indicate whether the account is active (=""true"") or inactive (=""false"")",cor,科目有効性,科目が有効か無効かを示すブール値。
218,2,Reference Association,,Detail_ Account Identifier,,,Subaccount,0..*,Class to hold multiple accountSubIDs and Descriptions,cor,【サブ科目情報】,複数のaccountSubIDと説明文を含むクラス。
219,1,Abstract Class,,Multicurrency,,,,0..*,Class to provide additional information related to home currencies that differ from original currencies and related exchange rates - typically this will be used to record exchange rates and amounts in currencies and/or on dates other than those of the original transaction. This class allows recording of exchange rates using a third currency as a triangulation currency. This is often EUR but is not restricted to being so. This class may be repeated as many times as necessary to record amounts in foreign currencies on the same or different dates.,muc,【多通貨明細】,"原取引時の通貨と異なる、自国通貨と換算レートに関する追加情報のクラス。－現在および原取引時の、換算レートおよび金額の記録に使用される。
トライアンギュレーション通貨としての第三通貨の換算レートを記録できる。EURの場合が多いがそれに限らない。この構造は、同日または異なる日の外貨での金額を記録する必要がある限り、繰り返し指定可能。"
220,2,Attribute,,Multicurrency,Exchange Rate Date,Date Time,,0..1,Date of exchange rate (other than original transaction date) on which amount is expressed as amountRestatedAmount or amountTriangulationAmount,muc,換算レート日付,（原取引の日付ではなく）、amountRestatedAmountまたはamountTriangulationAmountが示された換算レートの日付。
221,2,Attribute,,Multicurrency,Foreign Currency Amount,Monetary,,0..1,The amount in the foreign currency identified by amountRestatedCurrency as of multicurrencyDetailExchangeRateDate.,muc,換算額,amountRestatedCurrencyで指定された外貨での、multicurrencyDetailExchangeRateDate時点の、換算額。
222,2,Attribute,,Multicurrency,Foreign Currency,QName,,0..1,The currency in which amountRestatedAmount is expressed. Recommended ISO 4217 coding.,muc,換算通貨,amountRestatedAmountで使用される通貨。ISO4217コードを推奨。
223,2,Attribute,,Multicurrency,Exchange Rate,Pure,,0..1,Exchange rate used to convert amountRestatedAmount as of multicurrencyDetailExchangeRateDate (expressed as national currency divided by foreign currency),muc,換算レート,amountRestatedAmountの算出に用いられた、multicurrencyDetailExchangeRateDate時点の換算レート。（自国通貨を外貨通貨で割った値）
224,2,Attribute,,Multicurrency,Exchange Rate Source,String,,0..1,"Source of Exchange Rate for restated amount - for example, Reuters, Bloomberg",muc,換算レート情報源,"外貨換算額の換算レートの情報源。たとえば、Reuters, Bloomberg。"
225,2,Attribute,,Multicurrency,Exchange Rate Type,String,,0..1,"Type of Exchange Rate for restated amount - for example, spot rate, forward contract etc.",muc,換算レート種別,外貨換算額の換算レートの種別。たとえば、スポット・レート、先物など。
226,2,Attribute,,Multicurrency,Triangulation Currency Amount,Monetary,,0..1,The amount in the triangulation currency identified by amountTriangulationCurrency as of multicurrencyDetailExchangeRateDate.,muc,トライアンギュレーション通貨換算額,amountTriangulationCurrencyで指定されたトライアンギュレーション通貨での、multicurrencyDetailExchangeRateDate時点の換算額。
227,2,Attribute,,Multicurrency,Triangulation Currency,QName,,0..1,The currency used for tringulation between amountRestatedCurrency and the home currency. Recommended ISO 4217 coding.,muc,トライアンギュレーション通貨,amountRestatedCurrencyと自国通貨間のトライアンギュレーション取引で使用される通貨。ISO4217コードを推奨。
228,2,Attribute,,Multicurrency,Triangulation Exchange Rate,Pure,,0..1,Exchange rate used to convert amountTriangulationAmount as of multicurrencyDetailExchangeRateDate (expressed as national currency divided by triangulation currency),muc,トライアンギュレーション通貨換算レート,amountTriangulationAmountの算出に用いられた、multicurrencyDetailExchangeRateDate時点の換算レート。（自国通貨をトライアンギュレーション通貨で割った値）
229,2,Attribute,,Multicurrency,Triangulation Exchange Rate Source,String,,0..1,"Source of Exchange Rate for triangulation amount - for example, Reuters, Bloomberg",muc,トライアンギュレーション通貨換算レート情報源,"トライアンギュレーション通貨換算額の換算レートの情報源。たとえば、Reuters, Bloomberg。"
230,2,Attribute,,Multicurrency,Triangulation Exchange Rate Type,String,,0..1,"Type of Exchange Rate for triangulation amount - for example, spot rate, forward contract etc.",muc,トライアンギュレーション通貨換算レート種別,トライアンギュレーション通貨換算額の換算レートの種別。たとえば、スポット・レート、先物など。
231,2,Attribute,,Multicurrency,Cross Triangulation Exchange Rate,Pure,,0..1,Exchange rate used to convert from amountRestatedAmount to amountTriangulationAmount as of multicurrencyDetailExchangeRateDate (expressed as foreign currency divided by triangulation currency),muc,換算通貨トライアンギュレーション通貨換算レート,amountRestatedAmountからamountTriangulationAmountへの、multicurrencyDetailExchangeRateDate時点の換算レート。（外貨通貨をトライアンギュレーション通貨で割った値）
232,2,Attribute,,Multicurrency,Cross Triangulation Exchange Rate Source,String,,0..1,"Source of Exchange Rate for converting between foreign currency and triangulation currency - for example, Reuters, Bloomberg",muc,換算通貨トライアンギュレーション通貨換算レート情報源,"外貨通貨とトライアンギュレーション通貨の間の換算レートの情報源。たとえば、Reuters, Bloomberg。"
233,2,Attribute,,Multicurrency,Cross Triangulation Exchange Rate Type,String,,0..1,"Type of Exchange Rate for converting between foreign currency and triangulation currency - for example, spot rate, forward contract etc.",muc,換算通貨トライアンギュレーション通貨換算レート種別,外貨通貨とトライアンギュレーション通貨の間の換算レートの種別。たとえば、スポット・レート、先物など。
234,2,Attribute,,Multicurrency,Comment,String,,0..1,Comment describing the enclosing multicurrencyDetail class's contents. May include reason for recording additional exchange rates other than that used at the time of the original transaction.,muc,多通貨明細コメント,multicurrencyDetailの内容のコメント。原取引時以外の、追加の換算レートを記録する理由などを記述。
235,1,Class,,Detail_ Multicurrency,,,,0..*,Class to provide additional information related to home currencies that differ from original currencies applied at the transaction detail (line) level and related exchange rates - typically this will be used to record exchange rates and amounts in currencies and/or on dates other than those of the original transaction. This class allows recording of exchange rates using a third currency as a triangulation currency. This is often EUR but is not restricted to being so. This class may be repeated as many times as necessary to record amounts in foreign currencies on the same or different dates.,muc,【行多通貨明細】,"原取引時の通貨と異なる、自国通貨と換算レートに関する追加情報のクラス。－現在および原取引時の、換算レートおよび金額の記録に使用される。
トライアンギュレーション通貨としての第三通貨の換算レートを記録できる。EURの場合が多いがそれに限らない。この構造は、同日または異なる日の外貨での金額を記録する必要がある限り、繰り返し指定可能。"
236,2,Specialization,,Detail_ Multicurrency,,,Multicurrency,1,,muc,,
237,2,Attribute,,Detail_ Multicurrency,Exchange Rate Date,Date Time,,0..1,Date of exchange rate (other than original transaction date) on which amount is expressed as amountRestatedAmount or amountTriangulationAmount,muc,換算レート日付,（原取引の日付ではなく）、amountRestatedAmountまたはamountTriangulationAmountが示された換算レートの日付。
238,2,Attribute,,Detail_ Multicurrency,Foreign Currency Amount,Monetary,,0..1,The amount in the foreign currency identified by amountRestatedCurrency as of multicurrencyDetailExchangeRateDate.,muc,換算額,amountRestatedCurrencyで指定された外貨での、multicurrencyDetailExchangeRateDate時点の、換算額。
239,2,Attribute,,Detail_ Multicurrency,Foreign Currency,QName,,0..1,The currency in which amountRestatedAmount is expressed. Recommended ISO 4217 coding.,muc,換算通貨,amountRestatedAmountで使用される通貨。ISO4217コードを推奨。
240,2,Attribute,,Detail_ Multicurrency,Exchange Rate,Pure,,0..1,Exchange rate used to convert amountRestatedAmount as of multicurrencyDetailExchangeRateDate (expressed as national currency divided by foreign currency),muc,換算レート,amountRestatedAmountの算出に用いられた、multicurrencyDetailExchangeRateDate時点の換算レート。（自国通貨を外貨通貨で割った値）
241,2,Attribute,,Detail_ Multicurrency,Exchange Rate Source,String,,0..1,"Source of Exchange Rate for restated amount - for example, Reuters, Bloomberg",muc,換算レート情報源,"外貨換算額の換算レートの情報源。たとえば、Reuters, Bloomberg。"
242,2,Attribute,,Detail_ Multicurrency,Exchange Rate Type,String,,0..1,"Type of Exchange Rate for restated amount - for example, spot rate, forward contract etc.",muc,換算レート種別,外貨換算額の換算レートの種別。たとえば、スポット・レート、先物など。
243,2,Attribute,,Detail_ Multicurrency,Triangulation Currency Amount,Monetary,,0..1,The amount in the triangulation currency identified by amountTriangulationCurrency as of multicurrencyDetailExchangeRateDate.,muc,トライアンギュレーション通貨換算額,amountTriangulationCurrencyで指定されたトライアンギュレーション通貨での、multicurrencyDetailExchangeRateDate時点の換算額。
244,2,Attribute,,Detail_ Multicurrency,Triangulation Currency,QName,,0..1,The currency used for tringulation between amountRestatedCurrency and the home currency. Recommended ISO 4217 coding.,muc,トライアンギュレーション通貨,amountRestatedCurrencyと自国通貨間のトライアンギュレーション取引で使用される通貨。ISO4217コードを推奨。
245,2,Attribute,,Detail_ Multicurrency,Triangulation Exchange Rate,Pure,,0..1,Exchange rate used to convert amountTriangulationAmount as of multicurrencyDetailExchangeRateDate (expressed as national currency divided by triangulation currency),muc,トライアンギュレーション通貨換算レート,amountTriangulationAmountの算出に用いられた、multicurrencyDetailExchangeRateDate時点の換算レート。（自国通貨をトライアンギュレーション通貨で割った値）
246,2,Attribute,,Detail_ Multicurrency,Triangulation Exchange Rate Source,String,,0..1,"Source of Exchange Rate for triangulation amount - for example, Reuters, Bloomberg",muc,トライアンギュレーション通貨換算レート情報源,"トライアンギュレーション通貨換算額の換算レートの情報源。たとえば、Reuters, Bloomberg。"
247,2,Attribute,,Detail_ Multicurrency,Triangulation Exchange Rate Type,String,,0..1,"Type of Exchange Rate for triangulation amount - for example, spot rate, forward contract etc.",muc,トライアンギュレーション通貨換算レート種別,トライアンギュレーション通貨換算額の換算レートの種別。たとえば、スポット・レート、先物など。
248,2,Attribute,,Detail_ Multicurrency,Cross Triangulation Exchange Rate,Pure,,0..1,Exchange rate used to convert from amountRestatedAmount to amountTriangulationAmount as of multicurrencyDetailExchangeRateDate (expressed as foreign currency divided by triangulation currency),muc,換算通貨トライアンギュレーション通貨換算レート,amountRestatedAmountからamountTriangulationAmountへの、multicurrencyDetailExchangeRateDate時点の換算レート。（外貨通貨をトライアンギュレーション通貨で割った値）
