seq,level,Property type,Identifier,Class,Property Term,BaseType,Associated Class,Multiplicity,Definition,module,LocalLabel,LocalDocumentation
132,2,Attribute,,Withholding_ Tax,Tax Comment/Exemption Reason,String,,0..1,Additional text/code for exemption reasons or other comments.,btx,税コメント/免税理由,免税理由やその他のコメントのための、追加の文またはコード。
133,2,Composition,,Withholding_ Tax,,,Tax_ Multicurrency,0..1,Class to provide additional information related to home currencies that differ from original currencies and related exchange rates - typically this will be used to record exchange rates and amounts in currencies and/or on dates other than those of the original transaction. This class allows recording of exchange rates using a third currency as a triangulation currency. This is often EUR but is not restricted to being so. This class may be repeated as many times as necessary to record amounts in foreign currencies on the same or different dates.,taf,【多通貨明細】,"原取引時の通貨と異なる、自国通貨と換算レートに関する追加情報のクラス。－現在および原取引時の、換算レートおよび金額の記録に使用される。
トライアンギュレーション通貨としての第三通貨の換算レートを記録できる。EURの場合が多いがそれに限らない。この構造は、同日または異なる日の外貨での金額を記録する必要がある限り、繰り返し指定可能。"
134,1,Class,,Header_ Withholding_ Tax,,,,0..*,Tax withheld by the payer at the time of payment and remitted to a tax authority on behalf of the payee applied at the document or transaction header level.,btx,【ヘッダ源泉徴収税】,支払時に支払者が受取人に代わって控除し、税務当局へ納付する税を表す抽象クラス。
135,2,Specialization,,Header_ Withholding_ Tax,,,Withholding_ Tax,1,,btx,,
136,2,Attribute,,Header_ Withholding_ Tax,Tax Authority,String,,0..1,Name of the relevant tax authority,btx,課税庁,関係する課税庁の名前。
137,2,Attribute,,Header_ Withholding_ Tax,Tax Table Code,String,,0..1,Tax table code used by the relevant tax authority,btx,税率表コード,関係する課税庁で使用される税率表のコード。
138,2,Attribute,,Header_ Withholding_ Tax,Tax Description,String,,0..1,Description of tax authority,btx,課税庁説明,課税庁の説明。
139,2,Attribute,,Header_ Withholding_ Tax,Amount of Tax,Monetary,,0..1,Amount of taxes,btx,税額,税額。
140,2,Attribute,,Header_ Withholding_ Tax,Basis for Taxation,Monetary,,0..1,Basis for taxation,btx,課税基準,課税基準。
141,2,Attribute,,Header_ Withholding_ Tax,Tax Percentage Rate,Pure,,0..1,Percent rate for VAT or other taxes normally a number between 0 and 1.0 - e.g. 50% is represented as 0.5,btx,税率,"VAT(物品税)またはその他の税のパーセント比率。
0から1.0の間の値。たとえば50%は0.5とあらわす。"
142,2,Attribute,,Header_ Withholding_ Tax,Tax Category,String,,0..1,A class or category of taxes,btx,税区分,税のクラス又はカテゴリ。
143,2,Attribute,,Header_ Withholding_ Tax,Tax Category Code,Code,,0..1,"UNTDED 5153 Duty or tax or fee category code. Code specifying the category of duty, tax, or fee.",btx,税・関税・手数料区分コード,税・関税・手数料の区分を指定するコード（UNTDED 5153）。
144,2,Attribute,,Header_ Withholding_ Tax,Tax Comment/Exemption Reason,String,,0..1,Additional text/code for exemption reasons or other comments.,btx,税コメント/免税理由,免税理由やその他のコメントのための、追加の文またはコード。
145,2,Composition,,Header_ Withholding_ Tax,,,Tax_ Multicurrency,0..1,Class to provide additional information related to home currencies that differ from original currencies and related exchange rates - typically this will be used to record exchange rates and amounts in currencies and/or on dates other than those of the original transaction. This class allows recording of exchange rates using a third currency as a triangulation currency. This is often EUR but is not restricted to being so. This class may be repeated as many times as necessary to record amounts in foreign currencies on the same or different dates.,taf,【多通貨明細】,"原取引時の通貨と異なる、自国通貨と換算レートに関する追加情報のクラス。－現在および原取引時の、換算レートおよび金額の記録に使用される。
トライアンギュレーション通貨としての第三通貨の換算レートを記録できる。EURの場合が多いがそれに限らない。この構造は、同日または異なる日の外貨での金額を記録する必要がある限り、繰り返し指定可能。"
146,1,Class,,Detail_ Withholding_ Tax,,,,0..*,Tax withheld by the payer at the time of payment and remitted to a tax authority on behalf of the payee applied at the transaction detail (line) level.,btx,【行源泉徴収税】,支払時に支払者が受取人に代わって控除し、税務当局へ納付する税を表す抽象クラス。
147,2,Specialization,,Detail_ Withholding_ Tax,,,Withholding_ Tax,1,,btx,,
148,2,Attribute,,Detail_ Withholding_ Tax,Tax Authority,String,,0..1,Name of the relevant tax authority,btx,課税庁,関係する課税庁の名前。
149,2,Attribute,,Detail_ Withholding_ Tax,Tax Table Code,String,,0..1,Tax table code used by the relevant tax authority,btx,税率表コード,関係する課税庁で使用される税率表のコード。
150,2,Attribute,,Detail_ Withholding_ Tax,Tax Description,String,,0..1,Description of tax authority,btx,課税庁説明,課税庁の説明。
151,2,Attribute,,Detail_ Withholding_ Tax,Amount of Tax,Monetary,,0..1,Amount of taxes,btx,税額,税額。
152,2,Attribute,,Detail_ Withholding_ Tax,Basis for Taxation,Monetary,,0..1,Basis for taxation,btx,課税基準,課税基準。
153,2,Attribute,,Detail_ Withholding_ Tax,Tax Percentage Rate,Pure,,0..1,Percent rate for VAT or other taxes normally a number between 0 and 1.0 - e.g. 50% is represented as 0.5,btx,税率,"VAT(物品税)またはその他の税のパーセント比率。
0から1.0の間の値。たとえば50%は0.5とあらわす。"
154,2,Attribute,,Detail_ Withholding_ Tax,Tax Category,String,,0..1,A class or category of taxes,btx,税区分,税のクラス又はカテゴリ。
155,2,Attribute,,Detail_ Withholding_ Tax,Tax Category Code,Code,,0..1,"UNTDED 5153 Duty or tax or fee category code. Code specifying the category of duty, tax, or fee.",btx,税・関税・手数料区分コード,税・関税・手数料の区分を指定するコード（UNTDED 5153）。
156,2,Attribute,,Detail_ Withholding_ Tax,Tax Comment/Exemption Reason,String,,0..1,Additional text/code for exemption reasons or other comments.,btx,税コメント/免税理由,免税理由やその他のコメントのための、追加の文またはコード。
157,2,Composition,,Detail_ Withholding_ Tax,,,Tax_ Multicurrency,0..1,Class to provide additional information related to home currencies that differ from original currencies and related exchange rates - typically this will be used to record exchange rates and amounts in currencies and/or on dates other than those of the original transaction. This class allows recording of exchange rates using a third currency as a triangulation currency. This is often EUR but is not restricted to being so. This class may be repeated as many times as necessary to record amounts in foreign currencies on the same or different dates.,taf,【多通貨明細】,"原取引時の通貨と異なる、自国通貨と換算レートに関する追加情報のクラス。－現在および原取引時の、換算レートおよび金額の記録に使用される。
トライアンギュレーション通貨としての第三通貨の換算レートを記録できる。EURの場合が多いがそれに限らない。この構造は、同日または異なる日の外貨での金額を記録する必要がある限り、繰り返し指定可能。"
158,1,Class,,Adjustment_ Tax,,,,0..*,"Tax information that is determined or applied as part of a financial adjustment, correction, or settlement process, rather than as a direct transaction tax. This class supports traceability between the tax and the underlying adjustment event.",btx,【調整税】,取引税として直接発生するのではなく、調整・修正・精算などの処理に伴って決定または適用される税を表す抽象クラス。調整事象と税情報の対応関係を追跡可能にする。
159,2,Specialization,,Adjustment_ Tax,,,Tax,1,,taf,,
160,2,Attribute,,Adjustment_ Tax,Tax Authority,String,,0..1,Name of the relevant tax authority,btx,課税庁,関係する課税庁の名前。
161,2,Attribute,,Adjustment_ Tax,Tax Table Code,String,,0..1,Tax table code used by the relevant tax authority,btx,税率表コード,関係する課税庁で使用される税率表のコード。
162,2,Attribute,,Adjustment_ Tax,Tax Description,String,,0..1,Description of tax authority,btx,課税庁説明,課税庁の説明。
163,2,Attribute,,Adjustment_ Tax,Amount of Tax,Monetary,,0..1,Amount of taxes,btx,税額,税額。
164,2,Attribute,,Adjustment_ Tax,Basis for Taxation,Monetary,,0..1,Basis for taxation,btx,課税基準,課税基準。
165,2,Attribute,,Adjustment_ Tax,Tax Percentage Rate,Pure,,0..1,Percent rate for VAT or other taxes normally a number between 0 and 1.0 - e.g. 50% is represented as 0.5,btx,税率,"VAT(物品税)またはその他の税のパーセント比率。
0から1.0の間の値。たとえば50%は0.5とあらわす。"
166,2,Attribute,,Adjustment_ Tax,Tax Category,String,,0..1,A class or category of taxes,btx,税区分,税のクラス又はカテゴリ。
167,2,Attribute,,Adjustment_ Tax,Tax Category Code,Code,,0..1,"UNTDED 5153 Duty or tax or fee category code. Code specifying the category of duty, tax, or fee.",btx,税・関税・手数料区分コード,税・関税・手数料の区分を指定するコード（UNTDED 5153）。
168,2,Attribute,,Adjustment_ Tax,Tax Comment/Exemption Reason,String,,0..1,Additional text/code for exemption reasons or other comments.,btx,税コメント/免税理由,免税理由やその他のコメントのための、追加の文またはコード。
169,2,Composition,,Adjustment_ Tax,,,Tax_ Multicurrency,0..1,Class to provide additional information related to home currencies that differ from original currencies and related exchange rates - typically this will be used to record exchange rates and amounts in currencies and/or on dates other than those of the original transaction. This class allows recording of exchange rates using a third currency as a triangulation currency. This is often EUR but is not restricted to being so. This class may be repeated as many times as necessary to record amounts in foreign currencies on the same or different dates.,taf,【多通貨明細】,"原取引時の通貨と異なる、自国通貨と換算レートに関する追加情報のクラス。－現在および原取引時の、換算レートおよび金額の記録に使用される。
トライアンギュレーション通貨としての第三通貨の換算レートを記録できる。EURの場合が多いがそれに限らない。この構造は、同日または異なる日の外貨での金額を記録する必要がある限り、繰り返し指定可能。"
170,1,Class,,Header_ Adjustment_ Tax,,,,0..*,"Tax information that is determined or applied as part of a financial adjustment, correction, or settlement process, rather than as a direct transaction tax. This class supports traceability between the tax and the underlying adjustment event.",btx,【ヘッダ調整税】,取引税として直接発生するのではなく、調整・修正・精算などの処理に伴って決定または適用される税を表す抽象クラス。調整事象と税情報の対応関係を追跡可能にする。
171,2,Specialization,,Header_ Adjustment_ Tax,,,Adjustment_ Tax,1,,btx,,
172,2,Attribute,,Header_ Adjustment_ Tax,Tax Authority,String,,0..1,Name of the relevant tax authority,btx,課税庁,関係する課税庁の名前。
173,2,Attribute,,Header_ Adjustment_ Tax,Tax Table Code,String,,0..1,Tax table code used by the relevant tax authority,btx,税率表コード,関係する課税庁で使用される税率表のコード。
174,2,Attribute,,Header_ Adjustment_ Tax,Tax Description,String,,0..1,Description of tax authority,btx,課税庁説明,課税庁の説明。
175,2,Attribute,,Header_ Adjustment_ Tax,Amount of Tax,Monetary,,0..1,Amount of taxes,btx,税額,税額。
176,2,Attribute,,Header_ Adjustment_ Tax,Basis for Taxation,Monetary,,0..1,Basis for taxation,btx,課税基準,課税基準。
177,2,Attribute,,Header_ Adjustment_ Tax,Tax Percentage Rate,Pure,,0..1,Percent rate for VAT or other taxes normally a number between 0 and 1.0 - e.g. 50% is represented as 0.5,btx,税率,"VAT(物品税)またはその他の税のパーセント比率。
0から1.0の間の値。たとえば50%は0.5とあらわす。"
178,2,Attribute,,Header_ Adjustment_ Tax,Tax Category,String,,0..1,A class or category of taxes,btx,税区分,税のクラス又はカテゴリ。
179,2,Attribute,,Header_ Adjustment_ Tax,Tax Category Code,Code,,0..1,"UNTDED 5153 Duty or tax or fee category code. Code specifying the category of duty, tax, or fee.",btx,税・関税・手数料区分コード,税・関税・手数料の区分を指定するコード（UNTDED 5153）。
180,2,Attribute,,Header_ Adjustment_ Tax,Tax Comment/Exemption Reason,String,,0..1,Additional text/code for exemption reasons or other comments.,btx,税コメント/免税理由,免税理由やその他のコメントのための、追加の文またはコード。
181,2,Composition,,Header_ Adjustment_ Tax,,,Tax_ Multicurrency,0..1,Class to provide additional information related to home currencies that differ from original currencies and related exchange rates - typically this will be used to record exchange rates and amounts in currencies and/or on dates other than those of the original transaction. This class allows recording of exchange rates using a third currency as a triangulation currency. This is often EUR but is not restricted to being so. This class may be repeated as many times as necessary to record amounts in foreign currencies on the same or different dates.,taf,【多通貨明細】,"原取引時の通貨と異なる、自国通貨と換算レートに関する追加情報のクラス。－現在および原取引時の、換算レートおよび金額の記録に使用される。
トライアンギュレーション通貨としての第三通貨の換算レートを記録できる。EURの場合が多いがそれに限らない。この構造は、同日または異なる日の外貨での金額を記録する必要がある限り、繰り返し指定可能。"
182,1,Class,,Detail_ Adjustment_ Tax,,,,0..*,"Tax information that is determined or applied as part of a financial adjustment, correction, or settlement process, rather than as a direct transaction tax. This class supports traceability between the tax and the underlying adjustment event.",btx,【行調整税】,取引税として直接発生するのではなく、調整・修正・精算などの処理に伴って決定または適用される税を表す抽象クラス。調整事象と税情報の対応関係を追跡可能にする。
183,2,Specialization,,Detail_ Adjustment_ Tax,,,Adjustment_ Tax,1,,btx,,
184,2,Attribute,,Detail_ Adjustment_ Tax,Tax Authority,String,,0..1,Name of the relevant tax authority,btx,課税庁,関係する課税庁の名前。
185,2,Attribute,,Detail_ Adjustment_ Tax,Tax Table Code,String,,0..1,Tax table code used by the relevant tax authority,btx,税率表コード,関係する課税庁で使用される税率表のコード。
186,2,Attribute,,Detail_ Adjustment_ Tax,Tax Description,String,,0..1,Description of tax authority,btx,課税庁説明,課税庁の説明。
187,2,Attribute,,Detail_ Adjustment_ Tax,Amount of Tax,Monetary,,0..1,Amount of taxes,btx,税額,税額。
188,2,Attribute,,Detail_ Adjustment_ Tax,Basis for Taxation,Monetary,,0..1,Basis for taxation,btx,課税基準,課税基準。
189,2,Attribute,,Detail_ Adjustment_ Tax,Tax Percentage Rate,Pure,,0..1,Percent rate for VAT or other taxes normally a number between 0 and 1.0 - e.g. 50% is represented as 0.5,btx,税率,"VAT(物品税)またはその他の税のパーセント比率。
0から1.0の間の値。たとえば50%は0.5とあらわす。"
190,2,Attribute,,Detail_ Adjustment_ Tax,Tax Category,String,,0..1,A class or category of taxes,btx,税区分,税のクラス又はカテゴリ。
191,2,Attribute,,Detail_ Adjustment_ Tax,Tax Category Code,Code,,0..1,"UNTDED 5153 Duty or tax or fee category code. Code specifying the category of duty, tax, or fee.",btx,税・関税・手数料区分コード,税・関税・手数料の区分を指定するコード（UNTDED 5153）。
192,2,Attribute,,Detail_ Adjustment_ Tax,Tax Comment/Exemption Reason,String,,0..1,Additional text/code for exemption reasons or other comments.,btx,税コメント/免税理由,免税理由やその他のコメントのための、追加の文またはコード。
193,2,Composition,,Detail_ Adjustment_ Tax,,,Tax_ Multicurrency,0..1,Class to provide additional information related to home currencies that differ from original currencies and related exchange rates - typically this will be used to record exchange rates and amounts in currencies and/or on dates other than those of the original transaction. This class allows recording of exchange rates using a third currency as a triangulation currency. This is often EUR but is not restricted to being so. This class may be repeated as many times as necessary to record amounts in foreign currencies on the same or different dates.,taf,【多通貨明細】,"原取引時の通貨と異なる、自国通貨と換算レートに関する追加情報のクラス。－現在および原取引時の、換算レートおよび金額の記録に使用される。
トライアンギュレーション通貨としての第三通貨の換算レートを記録できる。EURの場合が多いがそれに限らない。この構造は、同日または異なる日の外貨での金額を記録する必要がある限り、繰り返し指定可能。"
194,1,Class,,Header_ Identifier_ Contact,,,,0..*,Identifier Contact Information Class,btx,【CVE担当者情報】,CVE識別子の担当者情報の構造体。
195,2,Specialization,,Header_ Identifier_ Contact,,,Contact,1,,bus,,
196,2,Attribute,,Header_ Identifier_ Contact,Prefix,String,,0..1,"Prefix (e.g. Dr., Mr., Mrs.)",btx,敬称,敬称(Dr.、Mr.、Mrs.など)
197,2,Attribute,,Header_ Identifier_ Contact,Last Name,String,,0..1,Last or family name,btx,姓,姓
198,2,Attribute,,Header_ Identifier_ Contact,First Name,String,,0..1,First or given name,btx,名,名、クリスチャンネーム
199,2,Attribute,,Header_ Identifier_ Contact,Suffix,String,,0..1,"Suffix (e.g. MD, CPA, Jr.)",btx,付加名称,付加名称(MD、CPA、Jr.など)
200,2,Attribute,,Header_ Identifier_ Contact,Attention Line,String,,0..1,Attention Line,btx,アテンションライン,アテンションライン
201,2,Attribute,,Header_ Identifier_ Contact,Position Role,String,,0..1,Position or role,btx,地位/役職,地位や役職。
202,2,Attribute,,Header_ Identifier_ Contact,Type,String,,0..1,"Role of contact. Examples include: Source Service, Sender, Recipient, Invoicer, Auditor, Accountant",btx,担当者役割,担当者の役割。例：ソースサービス、送付元、受取人、請求先、監査人、会計事務所。
203,2,Attribute,,Header_ Identifier_ Contact,Location ID cross reference,String,,0..1,This code is used to associate the contact with a specific location for the Entity. Its value should be the same as that of the organizationAddressLocationIdentifier,btx,所在地相互参照情報,担当者と事業体の位置情報を関係付けるためのコード。organizationAddressLocationIdentifierと同じ値であるべき。
204,2,Attribute,,Header_ Identifier_ Contact,Active,Boolean,,0..1,"Boolean to indicate whether the contact is active (=""true"") or inactive (=""false"")",btx,担当者有効性,担当者が有効か無効かを示すブール値。
205,2,Composition,,Header_ Identifier_ Contact,,,Communication,0..*,The exchange of messages or information between parties using a specified communication channel.,bus,【ヘッダ事業体担当者通信手段】,担当者の通信手段。
206,1,Class,,Reference Document,,,,0..*,"Document reference used for business transactions.
A written, printed, or electronic document that is referenced in a business transaction, such as an order, invoice, delivery note, or contract.",btx,参照文書,業務取引において参照される文書（注文書、請求書、納品書、契約書等）
207,2,Attribute(PK),PK,Reference Document,ID,String,,0..1,An identifier assigned by the issuer to uniquely identify the referenced document.,btx,参照文書識別子,発行者により付与された参照文書の識別子
208,2,Attribute,,Reference Document,Type Code,Code,,0..1,"A code specifying the type of the referenced document, such as order, invoice, or shipment document.",btx,参照文書種別コード,参照文書の種別を示すコード（例：注文書、請求書、出荷指示等）
209,2,Attribute,,Reference Document,Issue Date Time,Date Time,,0..1,The date and time at which the referenced document was issued.,btx,参照文書発行日時,参照文書が発行された日付および時刻
210,2,Reference Association,,Reference Document,Issuer Party,,Party,0..1,A reference to the party that issued the referenced document.,cor,参照文書発行者,参照文書を発行した取引主体への参照
211,2,Composition,,Reference Document,,,Reference Document Line,0..*,A composition association to the lines contained within the referenced document.,btx,参照文書行,参照文書に含まれる明細行
212,1,Class,,Reference Document Line,,,,0..*,"A referenced line within a referenced document.
A line item within a referenced document, used for line-level traceability in business transactions.",btx,参照文書行,参照文書内の個々の明細行
213,2,Attribute(PK),PK,Reference Document Line,Line ID,String,,0..1,An identifier that uniquely identifies a line within the referenced document.,btx,参照文書行識別子,参照文書内の行を識別するための識別子（行番号等）
214,2,Attribute,,Reference Document Line,Line Issue Date Time,Date Time,,0..1,The date and time at which the referenced document line was issued or became effective.,btx,参照文書行発行日時,参照文書行が発行または確定した日付および時刻
215,2,Attribute,,Reference Document Line,Line Status Code,Code,,0..1,"A code specifying the status of the referenced document line, such as active, changed, or cancelled.",btx,参照文書行状態コード,参照文書行の状態を示すコード（有効、取消、変更等）
216,2,Attribute,,Reference Document Line,Parent Line ID,String,,0..1,An identifier of the parent line to which this referenced document line is hierarchically related.,btx,親行識別子,当該参照文書行の親となる行の識別子
217,1,Class,,Header_ Originating_ Document,,,,0..*,"A tool to capture the flow of related documents in the business process. Some needs of end users require a greater history of the documents that are associated with a transaction, especially in the VAT audit area. Contains a repetitive class of related documents.",btx,【発生元文書情報】,業務プロセス上の、関連文書の流れを捕捉するためのもの。特にVAT監査では、エンドユーザの要求として、取引に関係する文書の履歴が必要とされる。関連文書情報の構造の繰り返しを含む。
218,2,Specialization,,Header_ Originating_ Document,,,Originating_ Document,1,,taf,,
219,2,Attribute,PK,Header_ Originating_ Document,Number,String,,0..1,Originating document number,btx,発生元文書番号,発生元文書の番号。
220,2,Attribute,PK,Header_ Originating_ Document,Type,Token,,0..1,"Originating document type  check, debit-memo, credit-memo, finance-charge, invoice, order-customer, order-vendor, payment-other, reminder, tegata, voucher, shipment, receipt, manual-adjustment, other.",btx,発生元文書種別,発生元文書の種別。小切手(check)、借方メモ(debit-memo)、貸方メモ(credit-memo)、財務費用(finance-charge)、顧客への請求書(invoice)、顧客オーダ(order-customer)、仕入先オーダ(order-vendor)、その他支払い(payment-other)、督促状(reminder)、手形(tegata)、ベンダからの請求書(voucher)、出荷票(shipment)、受領票(receipt)、手修正(manual-adjustment)、その他(other)
221,2,Attribute,,Header_ Originating_ Document,Date,Date,,0..1,Originating document date,btx,発生元文書日付,発生元文書の日付。
222,2,Attribute,,Header_ Originating_ Document,Type,Token,,0..1,"Originating document identifier type. Enumerated as: C, customer, E, employee, V, vendor, O, other, I, salesperson-internal, X, salesperson-external, N, contractor.",btx,発生元文書対象CVE種別,"発生元文書の対象となるCVEの種別。 [設定値のリスト] (C)、(customer：顧客)、(E)、(employee：従業員)、(V)、(vendor：仕入先)、(O)、(other：その他)、(I)、(salesperson-internal：店舗内販売員)、(X)、(salesperson-external：外交販売員)、(N)、(contractor：請負者)"
223,2,Attribute,,Header_ Originating_ Document,Code,String,,0..1,Originating document identifier code,btx,発生元文書対象CVEコード,発生元文書の対象となるCVEのコード。
224,2,Attribute,,Header_ Originating_ Document,Tax Code,String,,0..1,Originating document identifier tax code,btx,発生元文書対象CVE納税者コード,発生元文書の対象となるCVEの納税者コード。
225,1,Class,,Detail_ Identifier_ Contact,,,,0..*,Identifier Contact Information Class,btx,【CVE担当者情報】,CVE識別子の担当者情報の構造体。
226,2,Specialization,,Detail_ Identifier_ Contact,,,Contact,1,,bus,,
227,2,Attribute,,Detail_ Identifier_ Contact,Prefix,String,,0..1,"Prefix (e.g. Dr., Mr., Mrs.)",btx,敬称,敬称(Dr.、Mr.、Mrs.など)
228,2,Attribute,,Detail_ Identifier_ Contact,Last Name,String,,0..1,Last or family name,btx,姓,姓
229,2,Attribute,,Detail_ Identifier_ Contact,First Name,String,,0..1,First or given name,btx,名,名、クリスチャンネーム
230,2,Attribute,,Detail_ Identifier_ Contact,Suffix,String,,0..1,"Suffix (e.g. MD, CPA, Jr.)",btx,付加名称,付加名称(MD、CPA、Jr.など)
231,2,Attribute,,Detail_ Identifier_ Contact,Attention Line,String,,0..1,Attention Line,btx,アテンションライン,アテンションライン
232,2,Attribute,,Detail_ Identifier_ Contact,Position Role,String,,0..1,Position or role,btx,地位/役職,地位や役職。
233,2,Attribute,,Detail_ Identifier_ Contact,Type,String,,0..1,"Role of contact. Examples include: Source Service, Sender, Recipient, Invoicer, Auditor, Accountant",btx,担当者役割,担当者の役割。例：ソースサービス、送付元、受取人、請求先、監査人、会計事務所。
234,2,Attribute,,Detail_ Identifier_ Contact,Location ID cross reference,String,,0..1,This code is used to associate the contact with a specific location for the Entity. Its value should be the same as that of the organizationAddressLocationIdentifier,btx,所在地相互参照情報,担当者と事業体の位置情報を関係付けるためのコード。organizationAddressLocationIdentifierと同じ値であるべき。
235,2,Attribute,,Detail_ Identifier_ Contact,Active,Boolean,,0..1,"Boolean to indicate whether the contact is active (=""true"") or inactive (=""false"")",btx,担当者有効性,担当者が有効か無効かを示すブール値。
236,2,Composition,,Detail_ Identifier_ Contact,,,Communication,0..*,The exchange of messages or information between parties using a specified communication channel.,bus,【行事業体担当者通信手段】,担当者の通信手段。
237,1,Class,,Header_ Identifier Reference,,,,0..*,"Identification for customer, vendor, or employee.",btx,【CVE情報】,顧客、仕入先、従業員のための識別子。
238,2,Specialization,,Header_ Identifier Reference,,,Identifier Reference,1,,cor,,
239,2,Attribute,PK,Header_ Identifier Reference,Type,Token,,0..1,"Entity type (enumerated): C, customer, E, employee, V, vendor, O, other, I, salesperson-internal, X, salesperson-external, N, contractor.",btx,CVE種別,"実体の種別。 [設定値のリスト] (C)、(customer：顧客)、(E)、(employee：従業員)、(V)、(vendor：仕入先)、(O)、(other：その他)、(I)、(salesperson-internal：店舗内販売員)、(X)、(salesperson-external：外交販売員)、(N)、(contractor：請負者)"
240,2,Attribute,PK,Header_ Identifier Reference, Code,String,,0..1,Internal ID Number associated with identifierReference,btx,CVE識別番号（内部）,identifierReferenceに関係付けられた、内部ID番号。
241,2,Attribute,,Header_ Identifier Reference,Organization Type,Token,,0..1,"Identifier Organization Type. Enumerated as: individual, organization, other.",btx,CVE組織種別,"CVE識別子の組織種別。
[設定値のリスト]
(individual：個人)、(organization：組織)、(other：その他)"
242,2,Attribute,,Header_ Identifier Reference,Organization Type Description,String,,0..1,Free format description of the identifier organization type,btx,CVE組織種別説明,CVE識別子の組織種別の説明。
243,2,Attribute,,Header_ Identifier Reference,Purpose,String,,0..1,"Freeform for codes like purchasing, billing, manufacturing at identifier level.",btx,CVE目的,購買、請求、製造などの、CVE識別子のレベルのコードの自由記述。
244,2,Attribute,,Header_ Identifier Reference,Description,String,,0..1,Textual description of identifierReference.,btx,CVE説明,identifierReferenceの説明。
245,2,Attribute,,Header_ Identifier Reference,Category,String,,0..1,"For use as Customer, Vendor or Employee Class (such as Residential/Commercial/Institutional/Government or Retail/Wholesale or other classifications used by business).",btx,CVEカテゴリ,顧客、仕入先、従業員の分類に使用する。　（住居/商業/機関/政府や、小売/卸や、ビジネスで使用されるその他の分類）。
246,2,Attribute,,Header_ Identifier Reference,Active,Boolean,,0..1,"Boolean to indicate whether the identifier is active (=""true"") or inactive (=""false"")",btx,CVE有効性,CVE識別子が有効か無効かを示すブール値。
247,2,Reference Association,,Header_ Identifier Reference,,,Authority Registered Identifier,0..1,Class representing an identifier that is registered with and issued or recognised by an external authority. It provides information about the authority responsible for the registration and verification of the identifier.,cor,【外部機関登録識別子】,外部機関に登録され、当該機関によって発行または認証される識別子を表すクラス。識別子の登録・認証を行う外部機関に関する情報も提供する。
248,2,Composition,,Header_ Identifier Reference,,,Communication,0..*,The exchange of messages or information between parties using a specified communication channel.,bus,【ヘッダ通信手段】,CVE識別子の通信手段。
249,2,Composition,,Header_ Identifier Reference,,,Address,0..*,"Address (block) of customer, vendor, employee for integration purposes, VAT.",bus,【CVE住所】,統合目的やVATのための、顧客、仕入先、従業員の住所(ブロック)。
250,2,Composition,,Header_ Identifier Reference,,,Contact,0..*,Identifier Contact Information Class,bus,【CVE担当者情報】,CVE識別子の担当者情報の構造体。
251,1,Class,,Header_ XBRL,,,,0..*,This will roll up to XBRL reporting information - this is a parent - repeatable so that the same item can be reported through many taxonomies. Care should be taken to consider what happens if people post to the same account but different XBRL elements.,btx,【ヘッダXBRL情報】,XBRLレポート情報へのロールアップ情報。親タグであり、同じ項目が複数のタクソノミを通じて報告されうるように繰り返し可能。同一の勘定科目を異なるXBRL要素に転記した場合にどうなるか、注意深く考慮すべきである。
252,2,Specialization,,Header_ XBRL,,,XBRL,1,,cor,,
253,2,Attribute,,Header_ XBRL,Allocation,Token,,0..1,"Indicates that the information being given is beginning_balance, ending_balance, period_change.",btx,XBRL割当,"与えられた情報が、期首残高、期末残高、期中増減のいずれであるかを示す。
[設定値のリスト]
(beginning_balance：期首残高)、(ending_balance：期末残高)、(period_change：期中増減)"
254,2,Attribute,,Header_ XBRL,Summary Reporting Element,QName,,0..1,Associated XBRL element or XML element within an XML taxonomy - mapping to an XBRL concept.,btx,集約報告エレメント,関係付けられた、XMLタクソノミ中のXBRL要素または、XML要素。XBRLコンセプトへのマッピング。
255,2,Attribute,,Header_ XBRL,Detail Matching Element,QName,,0..1,Associated XBRL element in XBRL-GL instance.,btx,明細対応エレメント,関係付けられた、XBRL-GLインスタンス中のXBRL要素。
256,2,Attribute,,Header_ XBRL,Summary Tuple Path,String,,0..1,Specific filter for parent class class. This value must be valid XPath. And the result of the XPath must be resolved to a node.,btx,集約タプルパス,親タグ構造を特定するフィルタ。妥当なXPath記述でなければならない。XPathの結果はノードでなければならない。
257,2,Attribute,,Header_ XBRL,Detailed Content Filter,String,,0..1,"Filtering mechanism. This value must be valid XPath. And the result of the XPath must be resolved to boolean. If the resulting value is false, the entry  must not mapped into specified facts in F/S.",btx,明細コンテントフィルタ,フィルタリング手段。妥当なXPath記述でなければならない。XPathの結果はブール値でなければならない。結果がfalseの場合は、仕訳はF/S内の特定のfactsにマッピングされてはならない。
258,2,Attribute,,Header_ XBRL,Reporting Date Selector,Token,,0..1,This holds the concepts in GL data to create FS contexts.  The value must be a list of QName. Each QName must be resolved to GL items. Order of the items defines priority to access.,btx,報告日付セレクタ,F/Sのコンテキストを生成するためのGLデータの概念を示す。QNameのリストでなければならない。個々のQNameはGL項目を示さなければならない。項目の並びはアクセスの優先度を示す。
259,2,Attribute,,Header_ XBRL,Summary Operator,String,,0..1,The operator applied to the amount or quantity when it is rolled up to a summary reporting element.,btx,集約演算子,金額または数量が要約報告要素にまとめられるときに適用される演算子。
