JP07a,JP08a,Month,JP07a_GL02_03,JP07a_GL02_01,JP08a_GL03_03,JP06b_BS16_01,JP06b_BS16_02,Debit_Amount,JP02c_BS28_01,JP02c_BS28_02,GE05gS_01,JP05a_01,JP05a_02,BS04c5_01,BS04c5_02,JP06d_BS16_01,JP06d_BS16_02,Credit_Amount,JP02d_BS28_01,JP02d_BS28_02,GE05h0_01,JP05b_01,JP05b_02,BS04c6_01,BS04c6_02
396,23,2021-05,2021-05-25,86,5月給与その他 3000 名古屋営業所,,,0,,,0,,,,,10B100690,預り金,7540,O,-,0,3,源泉税,,
396,24,2021-05,2021-05-25,86,5月給与その他 3000 名古屋営業所,,,0,,,0,,,,,10B100690,預り金,40759,O,-,0,4,貯蓄・保険,,
396,25,2021-05,2021-05-25,86,5月給与その他 3000 名古屋営業所,,,0,,,0,,,,,10B100690,預り金,33078,O,-,0,9,その他,,
396,26,2021-05,2021-05-25,86,5月給与その他 4000 大阪支店,10E200370,給料及び手当,1313199,O,-,0,,,,,10A100020,現金及び預金,1023560,O,-,0,20,みずほ 本店,,
396,27,2021-05,2021-05-25,86,5月給与その他 4000 大阪支店,,,0,,,0,,,,,10B100690,預り金,147384,O,-,0,1,保険料,,
396,28,2021-05,2021-05-25,86,5月給与その他 4000 大阪支店,,,0,,,0,,,,,10B100690,預り金,66200,O,-,0,2,住民税,,
396,29,2021-05,2021-05-25,86,5月給与その他 4000 大阪支店,,,0,,,0,,,,,10B100690,預り金,24660,O,-,0,3,源泉税,,
396,30,2021-05,2021-05-25,86,5月給与その他 4000 大阪支店,,,0,,,0,,,,,10B100690,預り金,27117,O,-,0,4,貯蓄・保険,,
396,31,2021-05,2021-05-25,86,5月給与その他 4000 大阪支店,,,0,,,0,,,,,10B100690,預り金,24278,O,-,0,9,その他,,
396,32,2021-05,2021-05-25,86,5月給与その他 5000 九州営業所,10E200370,給料及び手当,588526,O,-,0,,,,,10A100020,現金及び預金,444044,O,-,0,20,みずほ 本店,,
396,33,2021-05,2021-05-25,86,5月給与その他 5000 九州営業所,,,0,,,0,,,,,10B100690,預り金,66241,O,-,0,1,保険料,,
396,34,2021-05,2021-05-25,86,5月給与その他 5000 九州営業所,,,0,,,0,,,,,10B100690,預り金,31700,O,-,0,2,住民税,,
396,35,2021-05,2021-05-25,86,5月給与その他 5000 九州営業所,,,0,,,0,,,,,10B100690,預り金,8070,O,-,0,3,源泉税,,
396,36,2021-05,2021-05-25,86,5月給与その他 5000 九州営業所,,,0,,,0,,,,,10B100690,預り金,18540,O,-,0,4,貯蓄・保険,,
396,37,2021-05,2021-05-25,86,5月給与その他 5000 九州営業所,,,0,,,0,,,,,10B100690,預り金,19931,O,-,0,9,その他,,
397,1,2021-05,2021-05-25,92,コピー機修繕,10E201000,修繕維持費,105000,S10,標準10%,9545,,,,,10B100630,未払金,105000,O,-,0,,,,
398,1,2021-05,2021-05-25,107,結婚祝い金,10E200150,交際費,10000,S10,標準10%,909,,,,,10A100020,現金及び預金,10000,O,-,0,,,,
399,1,2021-05,2021-05-25,110,5月25日伝票No221今井百貨店,10A100060,受取手形,13987871,O,-,0,,,,,10A100090,売掛金,13987871,O,-,0,2,今井百貨店,,
400,1,2021-05,2021-05-25,111,タクシー代,10E201230,旅費及び交通費,14260,S10,標準10%,1296,,,,,10B100630,未払金,14260,O,-,0,,,,
400,2,2021-05,2021-05-25,111,5月25日伝票No222株式会社 総合経営,10A100020,現金及び預金,1308153,O,-,0,30,三井 名古屋,,,10A100090,売掛金,1308153,O,-,0,7,㈱総合経営,,
400,3,2021-05,2021-05-25,111,5月25日伝票No222株式会社 総合経営,10E200690,支払手数料,735,S10,標準10%,66,,,,,10A100090,売掛金,735,O,-,0,7,㈱総合経営,,
401,1,2021-05,2021-05-25,112,5月25日伝票No223株式会社 鎌田商店,10A100020,現金及び預金,728932,O,-,0,40,三菱東京 梅田,,,10A100090,売掛金,728932,O,-,0,23,㈱鎌田商店,,
401,2,2021-05,2021-05-25,112,5月25日伝票No223株式会社 鎌田商店,10E200690,支払手数料,630,S10,標準10%,57,,,,,10A100090,売掛金,630,O,-,0,23,㈱鎌田商店,,
402,1,2021-05,2021-05-25,113,5月25日伝票No224株式会社 小林マーケット,10A100020,現金及び預金,3846784,O,-,0,10,北海道 駅前,,,10A100090,売掛金,3846784,O,-,0,25,㈱小林ﾏｰｹｯﾄ,,
402,2,2021-05,2021-05-25,113,5月25日伝票No224株式会社 小林マーケット,10E200690,支払手数料,840,S10,標準10%,76,,,,,10A100090,売掛金,840,O,-,0,25,㈱小林ﾏｰｹｯﾄ,,
403,1,2021-05,2021-05-25,131,会費,10E201140,諸会費,24000,O,-,0,,,,,10A100020,現金及び預金,24000,O,-,0,40,三菱東京 梅田,,
404,1,2021-05,2021-05-25,172,業務委託費支払い,10E200020,販売手数料,94000,S10,標準10%,8545,,,,,10B100630,未払金,94000,O,-,0,,,,
405,1,2021-05,2021-05-26,14,ガソリン代,10E201120,車両費,4200,S10,標準10%,381,,,,,10A100020,現金及び預金,4200,O,-,0,,,,
406,1,2021-05,2021-05-26,27,旅費,10E201230,旅費及び交通費,27239,S10,標準10%,2476,,,,,10A100020,現金及び預金,80097,O,-,0,,,,
406,2,2021-05,2021-05-26,27,旅費,10E201230,旅費及び交通費,31429,S10,標準10%,2857,,,,,,,0,,,0,,,,
406,3,2021-05,2021-05-26,27,旅費,10E201230,旅費及び交通費,21429,S10,標準10%,1948,,,,,,,0,,,0,,,,
407,1,2021-05,2021-05-26,35,新聞代,10E201160,図書費,3925,S10,標準10%,356,,,,,10A100020,現金及び預金,3925,O,-,0,,,,
408,1,2021-05,2021-05-26,72,新聞代,10E201160,図書費,2864,S10,標準10%,260,,,,,10A100020,現金及び預金,9078,O,-,0,,,,
408,2,2021-05,2021-05-26,72,新聞代,10E201160,図書費,2815,S10,標準10%,255,,,,,,,0,,,0,,,,
408,3,2021-05,2021-05-26,72,新聞代,10E201160,図書費,3399,S10,標準10%,309,,,,,,,0,,,0,,,,
409,1,2021-05,2021-05-26,78,業務委託費支払い,10E200020,販売手数料,189000,S10,標準10%,17181,,,,,10B100630,未払金,189000,O,-,0,,,,
410,1,2021-05,2021-05-26,83,車両管理費,10E201120,車両費,45000,S10,標準10%,4090,,,,,10A100020,現金及び預金,45000,O,-,0,,,,
411,1,2021-05,2021-05-26,87,携帯代,10E200180,通信費,42657,S10,標準10%,3877,,,,,10A100020,現金及び預金,42657,O,-,0,30,三井 名古屋,,
412,1,2021-05,2021-05-26,113,携帯代,10E200180,通信費,39254,S10,標準10%,3568,,,,,10A100020,現金及び預金,39254,O,-,0,40,三菱東京 梅田,,
413,1,2021-05,2021-05-26,146,業務委託費,10E200020,販売手数料,147000,S10,標準10%,13363,,,,,10B100630,未払金,147000,O,-,0,,,,
414,1,2021-05,2021-05-26,170,新聞代,10E201160,図書費,3007,S10,標準10%,273,,,,,10A100020,現金及び預金,3007,O,-,0,,,,
415,1,2021-05,2021-05-26,171,携帯代,10E200180,通信費,86498,S10,標準10%,7863,,,,,10A100020,現金及び預金,86498,O,-,0,50,福岡 北九州,,
416,1,2021-05,2021-05-27,15,タイヤ交換,10E201120,車両費,75000,S10,標準10%,6818,,,,,10A100020,現金及び預金,75000,O,-,0,,,,
417,1,2021-05,2021-05-27,30,保険料支払,10E200240,保険料,54320,X,非仕入,0,,,,,10A100020,現金及び預金,54320,O,-,0,10,北海道 駅前,,
418,1,2021-05,2021-05-27,39,会費,10E200140,福利厚生費,13000,S10,標準10%,1181,,,,,10A100020,現金及び預金,13000,O,-,0,,,,
419,1,2021-05,2021-05-27,49,ガソリン代,10E201120,車両費,150000,S10,標準10%,13636,,,,,10A100020,現金及び預金,150000,O,-,0,,,,
419,2,2021-05,2021-05-27,49,車両管理費,10E201120,車両費,34200,S10,標準10%,3109,,,,,10A100020,現金及び預金,34200,O,-,0,20,みずほ 本店,,
420,1,2021-05,2021-05-27,62,携帯代,10E200180,通信費,65404,S10,標準10%,5945,,,,,10A100020,現金及び預金,65404,O,-,0,20,みずほ 本店,,
421,1,2021-05,2021-05-27,79,ガソリン代,10E201120,車両費,3714,S10,標準10%,337,,,,,10A100020,現金及び預金,3714,O,-,0,,,,
422,1,2021-05,2021-05-27,88,新聞代,10E201160,図書費,3568,S10,標準10%,324,,,,,10A100020,現金及び預金,3568,O,-,0,,,,
423,1,2021-05,2021-05-27,114,新聞代,10E201160,図書費,2540,S10,標準10%,230,,,,,10A100020,現金及び預金,5404,O,-,0,,,,
423,2,2021-05,2021-05-27,114,新聞代,10E201160,図書費,2864,S10,標準10%,260,,,,,,,0,,,0,,,,
424,1,2021-05,2021-05-28,32,事務用品費,10E201110,事務用消耗品費,3450,S10,標準10%,313,,,,,10B100630,未払金,3450,O,-,0,,,,
425,1,2021-05,2021-05-28,93,修繕費,10E201000,修繕維持費,17700,S10,標準10%,1609,,,,,10B100630,未払金,17700,O,-,0,,,,
426,1,2021-05,2021-05-28,159,ＪＲ代,10E201230,旅費及び交通費,16420,S10,標準10%,1492,,,,,10A100020,現金及び預金,16420,O,-,0,,,,
427,1,2021-05,2021-05-29,62,飲食代,10E200150,交際費,36054,S10,標準10%,3277,,,,,10B100630,未払金,36054,O,-,0,,,,
428,1,2021-05,2021-05-29,63,会議 飲食代,10E201130,会議費,23954,S10,標準10%,2177,,,,,10A100020,現金及び預金,23954,O,-,0,,,,
429,1,2021-05,2021-05-29,146,資金移動,10A100020,現金及び預金,21000000,O,-,0,20,みずほ 本店,,,10A100020,現金及び預金,7000000,O,-,0,10,北海道 駅前,,
429,2,2021-05,2021-05-29,146,,,,0,,,0,,,,,10A100020,現金及び預金,6500000,O,-,0,30,三井 名古屋,,
429,3,2021-05,2021-05-29,146,,,,0,,,0,,,,,10A100020,現金及び預金,5500000,O,-,0,40,三菱東京 梅田,,
429,4,2021-05,2021-05-29,146,,,,0,,,0,,,,,10A100020,現金及び預金,2000000,O,-,0,50,福岡 北九州,,
430,1,2021-05,2021-05-29,155,車両管理費,10E201120,車両費,6486,S10,標準10%,589,,,,,10A100020,現金及び預金,17401,O,-,0,,,,
430,2,2021-05,2021-05-29,155,高速代,10E201120,車両費,9715,S10,標準10%,883,,,,,,,0,,,0,,,,
430,3,2021-05,2021-05-29,155,駐車代,10E201120,車両費,1200,S10,標準10%,109,,,,,,,0,,,0,,,,
431,1,2021-05,2021-05-30,70,有線,10E201270,雑費,6000,S10,標準10%,545,,,,,10B100630,未払金,58381,O,-,0,,,,
431,2,2021-05,2021-05-30,70,警備料,10E201270,雑費,52381,S10,標準10%,4761,,,,,,,0,,,0,,,,
431,3,2021-05,2021-05-30,70,高速料,10E201120,車両費,73315,S10,標準10%,6665,,,,,10A100020,現金及び預金,73315,O,-,0,,,,
431,4,2021-05,2021-05-30,70,清掃料,10E201270,雑費,73500,S10,標準10%,6681,,,,,10B100630,未払金,73500,O,-,0,,,,
432,1,2021-05,2021-05-30,96,警備料,10E201270,雑費,22470,S10,標準10%,2042,,,,,10A100020,現金及び預金,22470,O,-,0,30,三井 名古屋,,
433,1,2021-05,2021-05-30,100,会費,10E200140,福利厚生費,14000,S10,標準10%,1272,,,,,10A100020,現金及び預金,14000,O,-,0,,,,
434,1,2021-05,2021-05-30,115,保険料,10E200240,保険料,64500,X,非仕入,0,,,,,10A100020,現金及び預金,64500,O,-,0,40,三菱東京 梅田,,
435,1,2021-05,2021-05-30,137,有線,10E201270,雑費,6000,S10,標準10%,545,,,,,10B100630,未払金,48858,O,-,0,,,,
435,2,2021-05,2021-05-30,137,警備料,10E201270,雑費,42858,S10,標準10%,3896,,,,,,,0,,,0,,,,
435,3,2021-05,2021-05-30,137,高速料,10E201120,車両費,53315,S10,標準10%,4846,,,,,10A100020,現金及び預金,53315,O,-,0,40,三菱東京 梅田,,
435,4,2021-05,2021-05-30,137,清掃料,10E201270,雑費,73500,S10,標準10%,6681,,,,,10B100630,未払金,73500,O,-,0,,,,
436,1,2021-05,2021-05-30,148,ウォッシャー液他,10E201120,車両費,630,S10,標準10%,57,,,,,10A100020,現金及び預金,630,O,-,0,,,,
437,1,2021-05,2021-05-30,164,事務用品,10E201110,事務用消耗品費,5320,S10,標準10%,483,,,,,10A100020,現金及び預金,5320,O,-,0,,,,
438,1,2021-05,2021-05-31,1,運賃 佐川急便,10E200870,運賃,89140,S10,標準10%,8103,,,,,10B100630,未払金,89140,O,-,0,,,,
439,1,2021-05,2021-05-31,36,運賃 ヤマト運輸,10E200870,運賃,1456324,S10,標準10%,132393,,,,,10B100630,未払金,2409239,O,-,0,,,,
439,2,2021-05,2021-05-31,36,運賃 佐川急便,10E200870,運賃,952915,S10,標準10%,86628,,,,,,,0,,,0,,,,
440,1,2021-05,2021-05-31,40,広告掲載,10E200050,広告宣伝費,50000,S10,標準10%,4545,,,,,10B100630,未払金,50000,O,-,0,,,,
441,1,2021-05,2021-05-31,55,高速代,10E201120,車両費,9700,S10,標準10%,881,,,,,10A100020,現金及び預金,9700,O,-,0,,,,
442,1,2021-05,2021-05-31,60,旅費,10E201230,旅費及び交通費,18750,S10,標準10%,1704,,,,,10A100020,現金及び預金,18750,O,-,0,,,,
443,1,2021-05,2021-05-31,63,保険料,10E200240,保険料,81000,X,非仕入,0,,,,,10A100020,現金及び預金,81000,O,-,0,20,みずほ 本店,,
444,1,2021-05,2021-05-31,66,リース料,10E200730,借地借家料,209850,S10,標準10%,19077,,,,,10A100020,現金及び預金,209850,O,-,0,20,みずほ 本店,,
445,1,2021-05,2021-05-31,67,会費支払い,10E201140,諸会費,30000,O,-,0,,,,,10A100020,現金及び預金,30000,O,-,0,,,,
446,1,2021-05,2021-05-31,74,保険料,10E200240,保険料,62000,X,非仕入,0,,,,,10A100020,現金及び預金,62000,O,-,0,30,三井 名古屋,,
447,1,2021-05,2021-05-31,75,保険料支払い,10E200240,保険料,57000,X,非仕入,0,,,,,10A100020,現金及び預金,57000,O,-,0,50,福岡 北九州,,
448,1,2021-05,2021-05-31,77,消耗品費 部門配賦,,,0,,,0,,,,,10E200200,消耗品費,270192,O,-,0,,,,
448,2,2021-05,2021-05-31,77,,10E200200,消耗品費,29721,O,-,0,,,,,,,0,,,0,,,,
448,3,2021-05,2021-05-31,77,,10E200200,消耗品費,129693,O,-,0,,,,,,,0,,,0,,,,
448,4,2021-05,2021-05-31,77,,10E200200,消耗品費,27019,O,-,0,,,,,,,0,,,0,,,,
448,5,2021-05,2021-05-31,77,,10E200200,消耗品費,64846,O,-,0,,,,,,,0,,,0,,,,
448,6,2021-05,2021-05-31,77,,10E200200,消耗品費,18913,O,-,0,,,,,,,0,,,0,,,,
448,7,2021-05,2021-05-31,77,運賃 ヤマト運輸,10E200870,運賃,152525,S10,標準10%,13865,,,,,10B100630,未払金,152525,O,-,0,,,,
449,1,2021-05,2021-05-31,81,お茶代,10E200140,福利厚生費,26300,S10,標準10%,2390,,,,,10B100630,未払金,26300,O,-,0,,,,
450,1,2021-05,2021-05-31,87,4月分支払,10B100630,未払金,7529245,O,-,0,,,,,10A100020,現金及び預金,7529245,O,-,0,20,みずほ 本店,,
451,1,2021-05,2021-05-31,99,運賃,10E200870,運賃,748350,S10,標準10%,68031,,,,,10B100630,未払金,748350,O,-,0,,,,
452,1,2021-05,2021-05-31,114,5月1日～5月31日分売上,10A100090,売掛金,1245400,O,-,0,5,㈱ABC,,,10D100102,電子取引以外売上高,1245400,S10,標準10%,113218,,,,
452,2,2021-05,2021-05-31,114,5月1日～5月31日分売上,10A100090,売掛金,1329984,O,-,0,14,㈱藤田,,,10D100102,電子取引以外売上高,1329984,S10,標準10%,120907,,,,
452,3,2021-05,2021-05-31,114,5月1日～5月31日分売上,10A100090,売掛金,3964716,O,-,0,25,㈱小林ﾏｰｹｯﾄ,,,10D100101,電子取引売上高,3964716,S10,標準10%,360428,,,,
452,4,2021-05,2021-05-31,114,5月1日～5月31日分売上,10D100110,売上値引及び戻り高,101952,S10,標準10%,9268,,,,,10A100090,売掛金,101952,O,-,0,25,㈱小林ﾏｰｹｯﾄ,,
452,5,2021-05,2021-05-31,114,5月1日～5月31日分売上,10D100110,売上値引及び戻り高,40800,S10,標準10%,3709,,,,,10A100090,売掛金,40800,O,-,0,5,㈱ABC,,
453,1,2021-05,2021-05-31,115,5月1日～5月31日分売上,10A100090,売掛金,1379070,O,-,0,30,㈱YAG,,,10D100101,電子取引売上高,1379070,S10,標準10%,125370,,,,
453,2,2021-05,2021-05-31,115,5月1日～5月31日分売上,10A100090,売掛金,15044472,O,-,0,2,今井百貨店,,,10D100102,電子取引以外売上高,15044472,S10,標準10%,1367679,,,,
453,3,2021-05,2021-05-31,115,5月1日～5月31日分売上,10A100090,売掛金,859668,O,-,0,11,㈱斉藤,,,10D100102,電子取引以外売上高,859668,S10,標準10%,78151,,,,
453,4,2021-05,2021-05-31,115,5月1日～5月31日分売上,10A100090,売掛金,8059094,O,-,0,12,もみじﾃﾞﾊﾟｰﾄ,,,10D100102,電子取引以外売上高,8059094,S10,標準10%,732644,,,,
453,5,2021-05,2021-05-31,115,5月1日～5月31日分売上,10A100090,売掛金,883097,O,-,0,13,阿部商事㈱,,,10D100102,電子取引以外売上高,883097,S10,標準10%,80281,,,,
453,6,2021-05,2021-05-31,115,5月1日～5月31日分売上,10A100090,売掛金,1587526,O,-,0,14,㈱藤田,,,10D100102,電子取引以外売上高,1587526,S10,標準10%,144320,,,,
453,7,2021-05,2021-05-31,115,5月1日～5月31日分売上,10A100090,売掛金,730124,O,-,0,24,㈱畠山商事,,,10D100101,電子取引売上高,730124,S10,標準10%,66374,,,,
453,8,2021-05,2021-05-31,115,5月1日～5月31日分売上,10A100090,売掛金,1163584,O,-,0,26,佐々木販売㈱,,,10D100101,電子取引売上高,1163584,S10,標準10%,105780,,,,
453,9,2021-05,2021-05-31,115,5月1日～5月31日分売上,10A100090,売掛金,560672,O,-,0,10,(同)ｴｲﾑ商事,,,10D100102,電子取引以外売上高,560672,S10,標準10%,50970,,,,
453,10,2021-05,2021-05-31,115,5月1日～5月31日分売上,10D100110,売上値引及び戻り高,32640,S10,標準10%,2967,,,,,10A100090,売掛金,32640,O,-,0,26,佐々木販売㈱,,
453,11,2021-05,2021-05-31,115,5月1日～5月31日分売上,10D100110,売上値引及び戻り高,26496,S10,標準10%,2408,,,,,10A100090,売掛金,26496,O,-,0,2,今井百貨店,,
453,12,2021-05,2021-05-31,115,5月1日～5月31日分売上,10D100110,売上値引及び戻り高,38736,S10,標準10%,3521,,,,,10A100090,売掛金,38736,O,-,0,11,㈱斉藤,,
453,13,2021-05,2021-05-31,115,5月1日～5月31日分売上,10D100110,売上値引及び戻り高,58400,S10,標準10%,5309,,,,,10A100090,売掛金,58400,O,-,0,12,もみじﾃﾞﾊﾟｰﾄ,,
454,1,2021-05,2021-05-31,116,5月1日～5月31日分売上,10A100090,売掛金,1216464,O,-,0,7,㈱総合経営,,,10D100102,電子取引以外売上高,1216464,S10,標準10%,110587,,,,
454,2,2021-05,2021-05-31,116,5月1日～5月31日分売上,10A100090,売掛金,1192362,O,-,0,14,㈱藤田,,,10D100102,電子取引以外売上高,1192362,S10,標準10%,108396,,,,
454,3,2021-05,2021-05-31,116,5月1日～5月31日分売上,10A100090,売掛金,1012572,O,-,0,19,㈱ﾐﾅﾐ,,,10D100102,電子取引以外売上高,1012572,S10,標準10%,92052,,,,
454,4,2021-05,2021-05-31,116,5月1日～5月31日分売上,10A100090,売掛金,764268,O,-,0,27,岩下物産㈱,,,10D100101,電子取引売上高,764268,S10,標準10%,69478,,,,
454,5,2021-05,2021-05-31,116,5月1日～5月31日分売上,10A100090,売掛金,713868,O,-,0,6,㈱ｴﾝﾄﾘｰ,,,10D100102,電子取引以外売上高,713868,S10,標準10%,64897,,,,
454,6,2021-05,2021-05-31,116,5月1日～5月31日分売上,10A100090,売掛金,750780,O,-,0,21,(同)たかだ,,,10D100101,電子取引売上高,750780,S10,標準10%,68252,,,,
454,7,2021-05,2021-05-31,116,5月1日～5月31日分売上,10D100110,売上値引及び戻り高,74240,S10,標準10%,6749,,,,,10A100090,売掛金,74240,O,-,0,7,㈱総合経営,,
454,8,2021-05,2021-05-31,116,リース料,10E200730,借地借家料,84000,S10,標準10%,7636,,,,,10A100020,現金及び預金,84000,O,-,0,40,三菱東京 梅田,,
455,1,2021-05,2021-05-31,117,5月1日～5月31日分売上,10A100090,売掛金,733365,O,-,0,3,㈱ﾁｪｯｸ,,,10D100102,電子取引以外売上高,733365,S10,標準10%,66669,,,,
455,2,2021-05,2021-05-31,117,5月1日～5月31日分売上,10A100090,売掛金,806520,O,-,0,9,高橋物産㈱,,,10D100102,電子取引以外売上高,806520,S10,標準10%,73320,,,,
455,3,2021-05,2021-05-31,117,5月1日～5月31日分売上,10A100090,売掛金,871688,O,-,0,20,㈱久城商事,,,10D100101,電子取引売上高,871688,S10,標準10%,79244,,,,
455,4,2021-05,2021-05-31,117,5月1日～5月31日分売上,10A100090,売掛金,910136,O,-,0,23,㈱鎌田商店,,,10D100101,電子取引売上高,910136,S10,標準10%,82739,,,,
455,5,2021-05,2021-05-31,117,5月1日～5月31日分売上,10A100090,売掛金,6725128,O,-,0,28,かめだﾃﾞﾊﾟｰﾄ,,,10D100101,電子取引売上高,6725128,S10,標準10%,611375,,,,
455,6,2021-05,2021-05-31,117,5月1日～5月31日分売上,10A100090,売掛金,428130,O,-,0,8,ﾀﾜｰ㈱,,,10D100102,電子取引以外売上高,428130,S10,標準10%,38920,,,,
455,7,2021-05,2021-05-31,117,5月1日～5月31日分売上,10A100090,売掛金,2209402,O,-,0,14,㈱藤田,,,10D100102,電子取引以外売上高,2209402,S10,標準10%,200854,,,,
455,8,2021-05,2021-05-31,117,5月1日～5月31日分売上,10A100090,売掛金,1274640,O,-,0,4,ﾏｰｸﾏｰｹｯﾄ,,,10D100102,電子取引以外売上高,1274640,S10,標準10%,115876,,,,
455,9,2021-05,2021-05-31,117,5月1日～5月31日分売上,10D100110,売上値引及び戻り高,31440,S10,標準10%,2858,,,,,10A100090,売掛金,31440,O,-,0,14,㈱藤田,,
455,10,2021-05,2021-05-31,117,5月1日～5月31日分売上,10D100110,売上値引及び戻り高,21600,S10,標準10%,1963,,,,,10A100090,売掛金,21600,O,-,0,20,㈱久城商事,,
455,11,2021-05,2021-05-31,117,5月1日～5月31日分売上,10D100110,売上値引及び戻り高,18000,S10,標準10%,1636,,,,,10A100090,売掛金,18000,O,-,0,28,かめだﾃﾞﾊﾟｰﾄ,,
456,1,2021-05,2021-05-31,118,5月1日～5月31日分売上,10A100090,売掛金,1642082,O,-,0,1,五越㈱,,,10D100102,電子取引以外売上高,1642082,S10,標準10%,149280,,,,
456,2,2021-05,2021-05-31,118,5月1日～5月31日分売上,10A100090,売掛金,991728,O,-,0,14,㈱藤田,,,10D100102,電子取引以外売上高,991728,S10,標準10%,90157,,,,
456,3,2021-05,2021-05-31,118,5月1日～5月31日分売上,10A100090,売掛金,1295648,O,-,0,22,㈱渡辺産業,,,10D100101,電子取引売上高,1295648,S10,標準10%,117786,,,,
456,4,2021-05,2021-05-31,118,5月1日～5月31日分売上,10A100090,売掛金,843660,O,-,0,29,㈱千代ｻｰﾋﾞｽ,,,10D100101,電子取引売上高,843660,S10,標準10%,76696,,,,
456,5,2021-05,2021-05-31,118,5月1日～5月31日分売上,10D100110,売上値引及び戻り高,35200,S10,標準10%,3200,,,,,10A100090,売掛金,35200,O,-,0,14,㈱藤田,,
456,6,2021-05,2021-05-31,118,5月1日～5月31日分売上,10D100110,売上値引及び戻り高,24960,S10,標準10%,2269,,,,,10A100090,売掛金,24960,O,-,0,1,五越㈱,,
457,1,2021-05,2021-05-31,119,5月31日伝票No225マークマーケット,10A100020,現金及び預金,1259966,O,-,0,40,三菱東京 梅田,,,10A100090,売掛金,1259966,O,-,0,4,ﾏｰｸﾏｰｹｯﾄ,,
457,2,2021-05,2021-05-31,119,5月31日伝票No225マークマーケット,10E200690,支払手数料,840,S10,標準10%,76,,,,,10A100090,売掛金,840,O,-,0,4,ﾏｰｸﾏｰｹｯﾄ,,
458,1,2021-05,2021-05-31,120,5月31日伝票No226株式会社 ＡＢＣ,10A100020,現金及び預金,1612363,O,-,0,10,北海道 駅前,,,10A100090,売掛金,1612363,O,-,0,5,㈱ABC,,
458,2,2021-05,2021-05-31,120,5月31日伝票No226株式会社 ＡＢＣ,10E200690,支払手数料,840,S10,標準10%,76,,,,,10A100090,売掛金,840,O,-,0,5,㈱ABC,,
459,1,2021-05,2021-05-31,121,5月31日伝票No227もみじデパート,10A100060,受取手形,11429498,O,-,0,,,,,10A100090,売掛金,11429498,O,-,0,12,もみじﾃﾞﾊﾟｰﾄ,,
460,1,2021-05,2021-05-31,122,5月31日伝票No228株式会社 畠山商事,10A100020,現金及び預金,450903,O,-,0,20,みずほ 本店,,,10A100090,売掛金,450903,O,-,0,24,㈱畠山商事,,
460,2,2021-05,2021-05-31,122,5月31日伝票No228株式会社 畠山商事,10E200690,支払手数料,630,S10,標準10%,57,,,,,10A100090,売掛金,630,O,-,0,24,㈱畠山商事,,
461,1,2021-05,2021-05-31,123,5月31日伝票No229株式会社 千代サービス,10A100020,現金及び預金,479283,O,-,0,50,福岡 北九州,,,10A100090,売掛金,479283,O,-,0,29,㈱千代ｻｰﾋﾞｽ,,
461,2,2021-05,2021-05-31,123,5月31日伝票No229株式会社 千代サービス,10E200690,支払手数料,210,S10,標準10%,19,,,,,10A100090,売掛金,210,O,-,0,29,㈱千代ｻｰﾋﾞｽ,,
462,1,2021-05,2021-05-31,124,5月31日伝票No451合同会社 エイム商事,10A100020,現金及び預金,641884,O,-,0,,,,,10A100090,売掛金,641884,O,-,0,10,(同)ｴｲﾑ商事,,
463,1,2021-05,2021-05-31,125,5月1日～5月31日分仕入,10E100130,当期商品仕入高,72576,S10,標準10%,6597,,,,,10B100040,買掛金,72576,O,-,0,8,㈱山下,,
463,2,2021-05,2021-05-31,125,5月1日～5月31日分仕入,10E100130,当期商品仕入高,135474,S10,標準10%,12315,,,,,10B100040,買掛金,135474,O,-,0,2,㈱Pole,,
464,1,2021-05,2021-05-31,126,5月1日～5月31日分仕入,10E100130,当期商品仕入高,4270793,S10,標準10%,388253,,,,,10B100040,買掛金,4270793,O,-,0,11,㈱まつむら,,
464,2,2021-05,2021-05-31,126,5月1日～5月31日分仕入,10E100130,当期商品仕入高,6139435,S10,標準10%,558130,,,,,10B100040,買掛金,6139435,O,-,0,1,㈱Y2,,
464,3,2021-05,2021-05-31,126,5月1日～5月31日分仕入,10B100040,買掛金,42386,O,-,0,11,㈱まつむら,,,10E100120,仕入値引及び戻し高,42386,S10,標準10%,3853,,,,
464,4,2021-05,2021-05-31,126,5月1日～5月31日分仕入,10E100130,当期商品仕入高,2895984,S10,標準10%,263271,,,,,10B100040,買掛金,2895984,O,-,0,14,(同)ｳｪｽﾄ,,
464,5,2021-05,2021-05-31,126,5月1日～5月31日分仕入,10E100130,当期商品仕入高,3107835,S10,標準10%,282530,,,,,10B100040,買掛金,3107835,O,-,0,3,㈱ﾁｪｯｸ,,
464,6,2021-05,2021-05-31,126,5月1日～5月31日分仕入,10E100130,当期商品仕入高,630800,S10,標準10%,57345,,,,,10B100040,買掛金,630800,O,-,0,2,㈱Pole,,
464,7,2021-05,2021-05-31,126,5月1日～5月31日分仕入,10E100130,当期商品仕入高,1291839,S10,標準10%,117439,,,,,10B100040,買掛金,1291839,O,-,0,13,ﾅｶﾑﾗ産業㈱,,
464,8,2021-05,2021-05-31,126,5月1日～5月31日分仕入,10E100130,当期商品仕入高,330220,S10,標準10%,30020,,,,,10B100040,買掛金,330220,O,-,0,12,㈱有江,,
