seq,level,Property type,Identifier,Class,Property Term,BaseType,Associated Class,Multiplicity,Documentation,module,Element,LocalLabel,LocalDocumentation
125,2,Composition,,Accountant,,,Accountant Address,0..*,Structure which contains accountant address information.,gl-bus,,【会計事務所住所】,会計事務所の住所情報を含むセクション。
126,2,Composition,,Accountant,,,Accountant Contact,0..*,Accountant Contact Information Structure,gl-bus,,【会計事務所担当者情報】,会計事務所の担当者情報の構造体。
127,1,Class,,Reporting Calendar Period,,,,0..*,A tool to collect a specific set of periods used to summarize results from transactions.,gl-bus,gl-bus:reportingCalendarPeriod,【報告カレンダー期間】,取引の結果をまとめるための特定の期間を集めるもの。
128,2,Attribute,,Reporting Calendar Period,Reporting Period Identifier,xbrli:stringItemType,,0..1,An identifier for this period in this calendar,gl-bus,gl-bus:periodIdentifier,報告期間識別子,このカレンダーにおけるこの期間の識別子。
129,2,Attribute,,Reporting Calendar Period,Period Description,xbrli:stringItemType,,0..1,A description of this specific reporting period in this calendar.,gl-bus,gl-bus:periodDescription,期間説明,このカレンダーにおけるこの特定の期間の説明。
130,2,Attribute,,Reporting Calendar Period,Period Start Date,xbrli:dateTimeItemType,,0..1,The beginning date/time of a period,gl-bus,gl-bus:periodStart,期間開始日付,期間の開始日付/時刻
131,2,Attribute,,Reporting Calendar Period,Period End Date,xbrli:dateTimeItemType,,0..1,The ending date/time of a period,gl-bus,gl-bus:periodEnd,期間終了日付,期間の終了日付/時刻
132,2,Attribute,,Reporting Calendar Period,Period Closed Date,xbrli:dateTimeItemType,,0..1,"The date/time a period has been closed for activity. If this is present with a nill value (xsi:nill=""true"") then the period is not closed.",gl-bus,gl-bus:periodClosedDate,期間締日付,"この期間の活動が締め切られた日付/時刻。この値がニル値(xsi:nill=""true"")であれば、この期間は、締め切られていない。"
133,1,Class,,Reporting Calendar,,,,0..*,A tool to collect the periods used to summarise results from transactions.,gl-bus,gl-bus:reportingCalendar,【報告カレンダー】,取引の結果をまとめるための期間を集めるもの。
134,2,Attribute,,Reporting Calendar,Reporting Calendar Code,xbrli:stringItemType,,0..1,"The code used to identify this specific reporting calendar, unique across periods",gl-bus,gl-bus:reportingCalendarCode,報告カレンダーコード,この報告カレンダーを識別するコード。複数期間にわたって一意。
135,2,Attribute,,Reporting Calendar,Reporting Calendar Description,xbrli:stringItemType,,0..1,A description of the reporting calendar (associated with the reportingCalendarCode given),gl-bus,gl-bus:reportingCalendarDescription,報告カレンダー説明,報告カレンダーの説明（reportingCalendarCodeと関係付けられる）。
136,2,Attribute,,Reporting Calendar,Reporting Calendar Title,xbrli:stringItemType,,0..1,A description of the reporting period. The actual beginning and ending dates are found within the 'reportingCalendarPeriod' structure,gl-bus,gl-bus:reportingCalendarTitle,報告カレンダータイトル,報告期間の説明。実際の開始日及び終了日はreportingCalendarPeriodに記述する。
137,2,Attribute,,Reporting Calendar,Code Related to Type of Periods,xbrli:tokenItemType,,0..1,"A code for the type of period involved. Enumerated as: monthly, quarterly, semi-annually, 4-5-4, ad-hoc, other.",gl-bus,gl-bus:reportingCalendarPeriodType,期間種別コード,"報告期間の種別コード。月次、四半期ごと、半期ごと、4-5-4、随時、その他
[設定値のリスト]
(monthly：月次)、(quarterly：四半期ごと)、(semi-annually：半期ごと)、(4-5-4：4-5-4)、(ad-hoc：随時)、(other：その他)"
138,2,Attribute,,Reporting Calendar,Description of periods,xbrli:stringItemType,,0..1,A description of the type of period involved.,gl-bus,gl-bus:reportingCalendarPeriodTypeDescription,期間種別説明,報告期間の種別の説明。
139,2,Attribute,,Reporting Calendar,Closed status,xbrli:tokenItemType,,0..1,"An identifier on whether the reporting calendar is still open for activity. enumerated, ""open"", ""closed"", ""pending""",gl-bus,gl-bus:reportingCalendarOpenClosedStatus,締状態,"報告カレンダーがオープンかどうかを示す識別子。オープン、締切り済み、保留中
[設定値のリスト]
(open：オープン)、(closed：締切り済み)、(pending：保留中)"
140,2,Attribute,,Reporting Calendar,Reporting Purpose,xbrli:tokenItemType,,0..1,A description of the accounting set of books involved. Uses enumeration from accounting method purpose.,gl-bus,gl-bus:reportingPurpose,報告目的,"帳簿の集合の説明。会計処理方法の目的の列挙値を使用する。
[設定値のリスト]
(book：帳簿)、(tax：税)、(management：管理)、(statutory：スタチュトリ)、(other：その他)"
141,2,Attribute,,Reporting Calendar,Reporting Purpose Description,xbrli:stringItemType,,0..1,Free format description of the reporting purpose,gl-bus,gl-bus:reportingPurposeDescription,報告目的説明,報告目的の説明。
142,2,Composition,,Reporting Calendar,,,Reporting Calendar Period,0..*,A tool to collect a specific set of periods used to summarize results from transactions.,gl-bus,,【報告カレンダー期間】,取引の結果をまとめるための特定の期間を集めるもの。
143,1,Class,,Entity,,,,0..1,Holder for entity information - information about the reporting organization.,gl-cor,gl-cor:entityInformation,【事業体情報】,事業体情報（報告組織に関する情報）の入れ物。
144,2,Attribute,,Entity,Default Accounting Method Purpose,xbrli:tokenItemType,,0..1,"If not stated explicitly at the line level, the default reporting purpose - from book, tax, management, statutory, other",gl-bus,gl-bus:organizationAccountingMethodPurposeDefault,既定会計処理方法目的,"明細レベルで明確に指定しない場合の、既定の報告目的を表す。帳簿、税、管理、スタチュトリ、その他から選択する。
[設定値のリスト]
(book：帳簿)、(tax：税)、(management：管理)、(statutory：スタチュトリ)、(other：その他)"
145,2,Attribute,,Entity,Default Accounting Method Purpose Description,xbrli:stringItemType,,0..1,Free format description of the default accounting method purpose,gl-bus,gl-bus:organizationAccountingMethodPurposeDefaultDescription,既定会計処理方法目的説明,既定の会計処理方法目的の説明。
146,2,Attribute,,Entity,Business Description,xbrli:stringItemType,,0..1,Description of the nature of the business of the entity.,gl-bus,gl-bus:businessDescription,業種説明,事業体の事業の種類についての説明。
147,2,Attribute,,Entity,Fiscal Year Start,xbrli:dateItemType,,0..1,"Start of fiscal year. Where appropriate, corporate year period representation permits non-365 or 366 day years (more appropriate for internal sharing than data from external sources), In Europe, some jurisdictions allow 2 year minus 1 day fiscal years.",gl-bus,gl-bus:fiscalYearStart,会計年度開始日付,会計年度の開始日。妥当であれば、企業の会計年度表示において、366日や365日でない年も許可する（外部ソースからのデータより内部共有のための方が適している）。ヨーロッパでは、2年マイナス1日の会計年度を許可するところもある。
148,2,Attribute,,Entity,Fiscal Year End,xbrli:dateItemType,,0..1,"End of fiscal year. Where appropriate, corporate year period representation permits non-365 or 366 day years (more appropriate for internal sharing than data from external sources), In Europe, some jurisdictions allow 2 year minus 1 day fiscal years.",gl-bus,gl-bus:fiscalYearEnd,会計年度終了日付,会計年度の終了日。妥当であれば、企業の会計年度表示において、366日や365日でない年も許可する（外部ソースからのデータより内部共有のための方が適している）。ヨーロッパでは、2年マイナス1日の会計年度を許可するところもある。
149,2,Composition,,Entity,,,Entity Phone,0..*,Primary phone number of the entity.,gl-bus,,【事業体電話番号】,事業体の主要電話番号情報。
150,2,Composition,,Entity,,,Entity Fax,0..*,Tuple for holding company fax information.,gl-bus,,【事業体FAX番号】,事業体のFAX番号情報のタプル。
151,2,Composition,,Entity,,,Entity Email,0..*,Tuple for holding company email information.,gl-bus,,【事業体Eメールアドレス】,事業体のEメールアドレス情報のタプル。
152,2,Composition,,Entity,,,Identifiers,0..*,Structure which contains various identifiers for the company.,gl-bus,,【識別子】,組織に関する様々な識別子を含むセクション。
153,2,Composition,,Entity,,,Identifier Address,0..*,Address structure for the reporting entity,gl-bus,,【住所】,報告事業体の住所構造体。
154,2,Composition,,Entity,,,Identifier Web Site,0..*,Primary web site of the entity.,gl-bus,,【事業体Webサイト】,事業体の代表ウェブサイト。
155,2,Composition,,Entity,,,Contact,0..*,Information about contacts.,gl-bus,,【担当者情報】,担当者に関する情報。
156,2,Composition,,Entity,,,Accounting Method,0..*,Structure for identifying the methods of accounting used by the entity for different reporting purposes,gl-bus,,【会計処理方法】,異なる報告目的に応じて事業体が使用する会計処理方法を識別するためのセクション。
157,2,Composition,,Entity,,,Accountant,0..*,Information about the relevant external accountant,gl-bus,,【会計事務所情報】,関連する外部会計事務所に関する情報。
158,2,Composition,,Entity,,,Reporting Calendar,0..*,A tool to collect the periods used to summarise results from transactions.,gl-bus,,【報告カレンダー】,取引の結果をまとめるための期間を集めるもの。
159,1,Class,,Subaccount,,,,0..*,Tuple to hold multiple accountSubIDs and Descriptions,gl-cor,gl-cor:accountSub,【サブ科目情報】,複数のaccountSubIDと説明文を含むタプル。
160,2,Attribute,,Subaccount,Subaccount Description,xbrli:stringItemType,,0..1,The description that accompanies accountSubID belongs here.,gl-cor,gl-cor:accountSubDescription,サブ科目説明,accountSubIDに関する説明。
161,2,Attribute,,Subaccount,Subaccount,xbrli:stringItemType,,0..1,"Where the primary account was placed in accountMainID, the code used for each profit center, division, business unit, fund, program, branch, project, class, su-class or other modifier is placed here.",gl-cor,gl-cor:accountSubID,サブ科目コード,主勘定科目をaccountMainIDに指定したときに、各プロフィットセンタ、事業部、事業体、基金、プログラム、支店、プロジェクト、クラス、su-クラス又は他の修飾子に使用されるコードはここに指定する。
162,2,Attribute,,Subaccount,Type of Subaccount,xbrli:tokenItemType,,0..1,"Type of sub-account - profit center, division, business unit, fund, program, branch, project, class, su-class or other modifier is placed here. For example:: Accountability center: Business unit: Class:Department: Project: Fund: Program:Job: Profit center: Branch: Setup class: Division: Unit",gl-cor,gl-cor:accountSubType,サブ科目種別,小勘定科目の種別。プロフィットセンタ、事業部、事業体、基金、プログラム、支店、プロジェクト、クラス、su-クラス又は他の修飾子がここに配置される。 例えば、責任単位、事業単位、クラス、部、プロジェクト、基金、プログラム、ジョブ、プロフィットセンター、支店、セットアップクラス、部門、ユニット
163,1,Class,,Segment Parent,,,,0..*,Tuple for showing the detail necessary to roll up from one segment (type of subaccount) to another.),gl-cor,gl-cor:segmentParentTuple,【親セグメント情報】,セグメント（小勘定科目の種別）間のロールアップ時に必要な詳細情報を示すタプル。
164,2,Attribute,,Segment Parent,Parent Subaccount Code,xbrli:stringItemType,,0..1,Subaccount NUMBER this subaccount rolls up to - see also subaccount type it rolls up to.,gl-cor,gl-cor:parentSubaccountCode,親サブ科目コード,この小勘定科目のロールアップ先の小勘定科目の番号-ロールアップ先の小勘定科目の種別も参照。
165,2,Attribute,,Segment Parent,Parent Subaccount Type,xbrli:stringItemType,,0..1,The describer of the segment this subaccount rolls up to.,gl-cor,gl-cor:parentSubaccountType,親サブ科目種別,この小勘定科目のロールアップ先のセグメントの説明。
166,2,Attribute,,Segment Parent,Reporting Tree Identifier,xbrli:stringItemType,,0..1,Used for representing descriptions of reporting trees.,gl-cor,gl-cor:reportingTreeIdentifier,報告系統識別子,報告系統の説明に使用される。
167,2,Attribute,,Segment Parent,Parent Subaccount Percentage,xbrli:pureItemType,,0..1,"For partial allocations of amounts to different parents, the percentage of a child that will be allocated to a parent.",gl-cor,gl-cor:parentSubaccountProportion,親サブ科目配分パーセンテージ,異なる親科目に配分する場合に、親科目に割り当てるパーセンテージ。
168,1,Class,,Account Identifier,,,,0..*,"Tuple: parent container for account numbers and identifiers. No entry is made here, but each detail line may have multiple accounts assigned to it for reporting in different GAAPs, offsetting accounts in Japan, passing along information to consolidation systems about local versus consolidating accounts, etc. For example, the account 4783HG-QOWI-192837-1000 may be expressed so: 

/account/accountMainID 1000  
/account/accountMainDescription Cash  
/account/accountSub/accountSubID 4783HG  
/account/accountSub/accountSubDescription Department  
/account/accountSub/accountSubID QOWI  
/account/accountSub/accountSubDescription Branch  
/account/accountSub/accountSubID 192837  
/account/accountSub/accountSubDescription Division",gl-cor,gl-cor:account,【科目識別子】,"タプル。勘定科目番号と識別子の親コンテナ。 ここには記入されないが、個々の明細行は、異なるGAAPでの報告や、日本の見返勘定や、連結勘定科目に対する個別情報の連結会計システムへの伝達などのための、複数の勘定科目を持ちうる。例えば、勘定科目4783HG-QOWI-192837-1000は、次のように表現されうる。
/account/accountMainID 1000  
/account/accountMainDescription Cash  
/account/accountSub/accountSubID 4783HG  
/account/accountSub/accountSubDescription Department  
/account/accountSub/accountSubID QOWI  
/account/accountSub/accountSubDescription Branch  
/account/accountSub/accountSubID 192837  
/account/accountSub/accountSubDescription Division"
169,2,Attribute,,Account Identifier,Main Account Number,xbrli:stringItemType,,0..1,"Main account - the code used to identify the accounting bucket the entry has been assigned to. Examples might be 1000 for Cash, 567GAAZ for Sales Expense or Z for tax payments. Identifiers such as department, branch, division, manager, or other modifiers are noted in the Subaccount area. Before needing to post, account is not necessary. Posting to the general ledger almost always requires an entry here.",gl-cor,gl-cor:accountMainID,主勘定科目コード,"主勘定科目。仕訳が関連する会計バケットを特定するためのコード。例えば、現金を表す1000、販売費を表す567GAAZ、税を表すZ。
部門、支店、事業部、マネージャ、その他の識別子は、Subaccount領域に記述される。転記の必要がなければ、勘定科目は必要ではない。総勘定元帳に転記するにはほとんどの場合必要。"
170,2,Attribute,,Account Identifier,Main Account Description,xbrli:stringItemType,,0..1,Description of accountMainID - the human readable describer that accompanies the code used in accountMainID,gl-cor,gl-cor:accountMainDescription,主勘定科目説明,主勘定科目コードの説明。主勘定科目コードとして使用されるコードについての、人が読める記述。
171,2,Attribute,,Account Identifier,Account Classification,xbrli:tokenItemType,,0..1,"Account type - FASB Concepts 6 and similar international designs. When xbrlInfo is used to associated other XBRL reporting items, this field is more suited to representing existing systems (audit) than data interchange. Enumerated as: asset, liability, equity, income, gain, expense, loss, contr-to-equity, distr-from-equity, comprehensive-income, other.",gl-cor,gl-cor:mainAccountType,主勘定科目区分,"主勘定科目の種別。FASB Concepts 6および、同様の国際的な様式。xbrlInfoが他のXBRL項目と関係付けられる場合、データ交換より現存システム(audit)を示すべき。
[設定値のリスト]
(asset：資産)、(liability：負債)、(equity：資本)、(income：収益)、(gain：利得)、(expense：費用)、(loss：損失)、(contr-to-equity：資本増加)、(distr-from-equity：資本減少)、(comprehensive-income：包括利益)、(other：その他)"
172,2,Attribute,,Account Identifier,Account Classification Description,xbrli:stringItemType,,0..1,Free format description of the account classification,gl-cor,gl-cor:mainAccountTypeDescription,主勘定科目区分説明,主勘定科目の区分の説明。
173,2,Attribute,,Account Identifier,Parent Account Number,xbrli:stringItemType,,0..1,Roll up item from child natural account to parent natural account.,gl-cor,gl-cor:parentAccountMainID,親勘定科目コード,子勘定科目から親勘定科目に包み込む科目。
174,2,Attribute,,Account Identifier,Purpose of Account,xbrli:tokenItemType,,0..1,"Code related to usage for account aggregate - Consolidating, European, IFRS, Offsetting, Primary, Tax, USGAAP, Japanese, Other. Japanese companies will use this for the tax required offsetting entry. If left blank, assumes default accounting method for company.",gl-cor,gl-cor:accountPurposeCode,勘定科目目的,"勘定科目群の使用法を示すコード。連結、European, IFRS, 見返、プライマリ, 税, USGAAP, Japanese,その他。日本企業では、見返仕訳で要求される税務処理に利用するかもしれない。空白の場合、企業の既定の勘定方法とみなす。
[設定値のリスト]
(consolidating：連結)、(european：ヨーロッパ)、(ifrs：IFRS)、(offsetting：見返)、(primary：プライマリ)、(tax：税)、(usgaap：US GAAP)、(japanese：日本)、(other：その他)"
175,2,Attribute,,Account Identifier,Description of Purpose of Account,xbrli:stringItemType,,0..1,Description of usage for aggregate account,gl-cor,gl-cor:accountPurposeDescription,勘定科目目的説明,勘定科目群の使用法の説明。
176,2,Attribute,,Account Identifier,Account Type,xbrli:tokenItemType,,0..1,"Type of account. Enumerated as: account, bank, employee, customer, job, vendor, measurable, statistical, other.",gl-cor,gl-cor:accountType,科目種別,"科目の種別。
[設定値のリスト]
(account：勘定科目)、(bank：銀行)、(employee：従業員)、(customer：顧客)、(job：ジョブ)、(vendor：仕入先)、(measurable：計測可能物)、(statistical：統計)、(other：その他)"
177,2,Attribute,,Account Identifier,Account Type Description,xbrli:stringItemType,,0..1,Free format description of the account type,gl-cor,gl-cor:accountTypeDescription,科目種別説明,科目の種別の説明。
178,2,Attribute,,Account Identifier,Entry Accounting Method,xbrli:tokenItemType,,0..1,"For this entry, the method of accounting represented - from: accrual, cash, modified cash, modified accrual, encumbrance, special methods, hybrid methods, other",gl-bus,gl-bus:entryAccountingMethod,仕訳会計処理方法,"この仕訳の会計処理方法を表す。発生基準、現金基準、修正現金基準、修正発生基準、債務基準、特別な方法、混合方法、その他
[設定値のリスト]
(accrual：発生基準)、(cash：現金基準)、(modified cash：修正現金基準)、(modified accrual：修正発生基準)、(encumbrance：債務基準)、(special methods：特別な方法)、(hybrid methods：混合方法)、(other：その他)"
179,2,Attribute,,Account Identifier,Entry Accounting Method Description,xbrli:stringItemType,,0..1,Free format description of the entry accounting method,gl-bus,gl-bus:entryAccountingMethodDescription,仕訳会計処理方法説明,仕訳の会計処理方法の説明。
180,2,Attribute,,Account Identifier,Entry Accounting Method Purpose,xbrli:tokenItemType,,0..1,"For this entry, the reporting purpose represented - from book, tax, management, statutory, other",gl-bus,gl-bus:entryAccountingMethodPurpose,仕訳会計処理方法目的,"仕訳の報告の目的を表す。帳簿、税、管理、スタチュトリ、その他
[設定値のリスト]
(book：帳簿)、(tax：税)、(management：管理)、(statutory：スタチュトリ)、(other：その他)"
181,2,Attribute,,Account Identifier,Entry Accounting Method Purpose Description,xbrli:stringItemType,,0..1,Free format description of the entry accounting method purpose,gl-bus,gl-bus:entryAccountingMethodPurposeDescription,仕訳会計処理方法目的説明,仕訳の会計処理方法の目的の説明。
182,2,Attribute,,Account Identifier,Account Active,xbrli:booleanItemType,,0..1,"Boolean to indicate whether the account is active (=""true"") or inactive (=""false"")",gl-cor,gl-cor:accountActive,科目有効性,科目が有効か無効かを示すブール値。
183,2,Composition,,Account Identifier,,,Subaccount,0..*,Tuple to hold multiple accountSubIDs and Descriptions,gl-cor,,【サブ科目情報】,複数のaccountSubIDと説明文を含むタプル。
184,1,Class,,External Authority,,,,0..*,Structure containing references to an external authority associated with identifier,gl-cor,gl-cor:identifierExternalReference,【外部機関】,識別子と関係付けられる外部機関への参照情報を含む構造体。
185,2,Attribute,,External Authority,External Authority ID Number,xbrli:stringItemType,,0..1,"External Authority (e,g, Tax Authority) ID Number associated with identifierReference",gl-cor,gl-cor:identifierAuthorityCode,外部機関付与識別番号,identifierReferenceと関係付けられる、外部機関（たとえば、税務署）によるID番号。
186,2,Attribute,,External Authority,External Authority,xbrli:stringItemType,,0..1,Name of External Authority (e.g. Tax Authority),gl-cor,gl-cor:identifierAuthority,外部機関名,外部機関の名前（たとえば、税務署）
187,2,Attribute,,External Authority,External Authority Verification Date,xbrli:dateTimeItemType,,0..1,Date on which the External Authority last performed a verification,gl-cor,gl-cor:identifierAuthorityVerificationDate,外部機関認証日付,外部機関が最後に認証した日付。
188,1,Class,,Multicurrency Detail,,,,0..*,Structure to provide additional information related to home currencies that differ from original currencies and related exchange rates - typically this will be used to record exchange rates and amounts in currencies and/or on dates other than those of the original transaction. This structure allows recording of exchange rates using a third currency as a triangulation currency. This is often EUR but is not restricted to being so. This structure may be repeated as many times as necessary to record amounts in foreign currencies on the same or different dates.,gl-muc,gl-muc:multicurrencyDetail,【多通貨明細】,"原取引時の通貨と異なる、自国通貨と換算レートに関する追加情報のセクション。－現在および原取引時の、換算レートおよび金額の記録に使用される。
トライアンギュレーション通貨としての第三通貨の換算レートを記録できる。EURの場合が多いがそれに限らない。この構造は、同日または異なる日の外貨での金額を記録する必要がある限り、繰り返し指定可能。"
189,2,Attribute,,Multicurrency Detail,Exchange Rate Date,xbrli:dateTimeItemType,,0..1,Date of exchange rate (other than original transaction date) on which amount is expressed as amountRestatedAmount or amountTriangulationAmount,gl-muc,gl-muc:multicurrencyDetailExchangeRateDate,換算レート日付,（原取引の日付ではなく）、amountRestatedAmountまたはamountTriangulationAmountが示された換算レートの日付。
190,2,Attribute,,Multicurrency Detail,Foreign Currency Amount,xbrli:monetaryItemType,,0..1,The amount in the foreign currency identified by amountRestatedCurrency as of multicurrencyDetailExchangeRateDate.,gl-muc,gl-muc:amountRestatedAmount,換算額,amountRestatedCurrencyで指定された外貨での、multicurrencyDetailExchangeRateDate時点の、換算額。
191,2,Attribute,,Multicurrency Detail,Foreign Currency,xbrli:QNameItemType,,0..1,The currency in which amountRestatedAmount is expressed. Recommended ISO 4217 coding.,gl-muc,gl-muc:amountRestatedCurrency,換算通貨,amountRestatedAmountで使用される通貨。ISO4217コードを推奨。
192,2,Attribute,,Multicurrency Detail,Exchange Rate,xbrli:pureItemType,,0..1,Exchange rate used to convert amountRestatedAmount as of multicurrencyDetailExchangeRateDate (expressed as national currency divided by foreign currency),gl-muc,gl-muc:amountRestatedExchangeRate,換算レート,amountRestatedAmountの算出に用いられた、multicurrencyDetailExchangeRateDate時点の換算レート。（自国通貨を外貨通貨で割った値）
193,2,Attribute,,Multicurrency Detail,Exchange Rate Source,xbrli:stringItemType,,0..1,"Source of Exchange Rate for restated amount - for example, Reuters, Bloomberg",gl-muc,gl-muc:amountRestatedExchangeRateSource,換算レート情報源,"外貨換算額の換算レートの情報源。たとえば、Reuters, Bloomberg。"
194,2,Attribute,,Multicurrency Detail,Exchange Rate Type,xbrli:stringItemType,,0..1,"Type of Exchange Rate for restated amount - for example, spot rate, forward contract etc.",gl-muc,gl-muc:amountRestatedExchangeRateType,換算レート種別,外貨換算額の換算レートの種別。たとえば、スポット・レート、先物など。
195,2,Attribute,,Multicurrency Detail,Triangulation Currency Amount,xbrli:monetaryItemType,,0..1,The amount in the triangulation currency identified by amountTriangulationCurrency as of multicurrencyDetailExchangeRateDate.,gl-muc,gl-muc:amountTriangulationAmount,トライアンギュレーション通貨換算額,amountTriangulationCurrencyで指定されたトライアンギュレーション通貨での、multicurrencyDetailExchangeRateDate時点の換算額。
196,2,Attribute,,Multicurrency Detail,Triangulation Currency,xbrli:QNameItemType,,0..1,The currency used for tringulation between amountRestatedCurrency and the home currency. Recommended ISO 4217 coding.,gl-muc,gl-muc:amountTriangulationCurrency,トライアンギュレーション通貨,amountRestatedCurrencyと自国通貨間のトライアンギュレーション取引で使用される通貨。ISO4217コードを推奨。
197,2,Attribute,,Multicurrency Detail,Triangulation Exchange Rate,xbrli:pureItemType,,0..1,Exchange rate used to convert amountTriangulationAmount as of multicurrencyDetailExchangeRateDate (expressed as national currency divided by triangulation currency),gl-muc,gl-muc:amountTriangulationExchangeRate,トライアンギュレーション通貨換算レート,amountTriangulationAmountの算出に用いられた、multicurrencyDetailExchangeRateDate時点の換算レート。（自国通貨をトライアンギュレーション通貨で割った値）
198,2,Attribute,,Multicurrency Detail,Triangulation Exchange Rate Source,xbrli:stringItemType,,0..1,"Source of Exchange Rate for triangulation amount - for example, Reuters, Bloomberg",gl-muc,gl-muc:amountTriangulationExchangeRateSource,トライアンギュレーション通貨換算レート情報源,"トライアンギュレーション通貨換算額の換算レートの情報源。たとえば、Reuters, Bloomberg。"
199,2,Attribute,,Multicurrency Detail,Triangulation Exchange Rate Type,xbrli:stringItemType,,0..1,"Type of Exchange Rate for triangulation amount - for example, spot rate, forward contract etc.",gl-muc,gl-muc:amountTriangulationExchangeRateType,トライアンギュレーション通貨換算レート種別,トライアンギュレーション通貨換算額の換算レートの種別。たとえば、スポット・レート、先物など。
200,2,Attribute,,Multicurrency Detail,Cross Triangulation Exchange Rate,xbrli:pureItemType,,0..1,Exchange rate used to convert from amountRestatedAmount to amountTriangulationAmount as of multicurrencyDetailExchangeRateDate (expressed as foreign currency divided by triangulation currency),gl-muc,gl-muc:restatedTriangulationExchangeRate,換算通貨トライアンギュレーション通貨換算レート,amountRestatedAmountからamountTriangulationAmountへの、multicurrencyDetailExchangeRateDate時点の換算レート。（外貨通貨をトライアンギュレーション通貨で割った値）
201,2,Attribute,,Multicurrency Detail,Cross Triangulation Exchange Rate Source,xbrli:stringItemType,,0..1,"Source of Exchange Rate for converting between foreign currency and triangulation currency - for example, Reuters, Bloomberg",gl-muc,gl-muc:restatedExchangeRateTriangulationSource,換算通貨トライアンギュレーション通貨換算レート情報源,"外貨通貨とトライアンギュレーション通貨の間の換算レートの情報源。たとえば、Reuters, Bloomberg。"
202,2,Attribute,,Multicurrency Detail,Cross Triangulation Exchange Rate Type,xbrli:stringItemType,,0..1,"Type of Exchange Rate for converting between foreign currency and triangulation currency - for example, spot rate, forward contract etc.",gl-muc,gl-muc:restatedExchangeRateTriangulationType,換算通貨トライアンギュレーション通貨換算レート種別,外貨通貨とトライアンギュレーション通貨の間の換算レートの種別。たとえば、スポット・レート、先物など。
203,2,Attribute,,Multicurrency Detail,Comment,xbrli:stringItemType,,0..1,Comment describing the enclosing multicurrencyDetail tuple's contents. May include reason for recording additional exchange rates other than that used at the time of the original transaction.,gl-muc,gl-muc:multicurrencyDetailComment,多通貨明細コメント,multicurrencyDetailの内容のコメント。原取引時以外の、追加の換算レートを記録する理由などを記述。
210,1,Class,,Identifier Contact,,,,0..*,Identifier Contact Information Structure,gl-cor,gl-cor:identifierContactInformationStructure,【CVE担当者情報】,CVE識別子の担当者情報の構造体。
211,2,Attribute,,Identifier Contact,Identifier Contact Prefix,xbrli:stringItemType,,0..1,"Prefix (e.g. Dr., Mr., Mrs.)",gl-cor,gl-cor:identifierContactPrefix,CVE担当者敬称,敬称(Dr.、Mr.、Mrs.など)
212,2,Attribute,,Identifier Contact,Identifier Contact Last Name,xbrli:stringItemType,,0..1,Identifier Contact Last or Family Name,gl-cor,gl-cor:identifierContactLastName,CVE担当者姓,CVE識別子の担当者の姓
213,2,Attribute,,Identifier Contact,Identifier Contact First Name,xbrli:stringItemType,,0..1,First or given name,gl-cor,gl-cor:identifierContactFirstName,CVE担当者名,名、クリスチャンネーム
214,2,Attribute,,Identifier Contact,Identifier Contact Suffix,xbrli:stringItemType,,0..1,"Suffix (e.g. MD, CPA, Jr.)",gl-cor,gl-cor:identifierContactSuffix,CVE担当者付加名称,付加名称(MD、CPA、Jr.など)
215,2,Attribute,,Identifier Contact,Identifier Contact Attention Line,xbrli:stringItemType,,0..1,Attention Line,gl-cor,gl-cor:identifierContactAttentionLine,CVE担当者アテンションライン,アテンションライン
216,2,Attribute,,Identifier Contact,Identifier Contact Position/Role,xbrli:stringItemType,,0..1,Position or Role,gl-cor,gl-cor:identifierContactPositionRole,CVE担当者地位/役職,地位や役職
217,2,Attribute,,Identifier Contact,Identifier Contact Type,xbrli:stringItemType,,0..1,Identifier Contact Type,gl-cor,gl-cor:identifierContactType,CVE担当者種別,CVE識別子の担当者の種別
218,2,Attribute,,Identifier Contact,Identifier Address Location ID Cross Reference,xbrli:stringItemType,,0..1,This code is used to associate the contact with a specific location for the Identifier. Its value should be the same as that of the identifierAddressLocationIdentifier,gl-bus,gl-bus:identifierLocationIdentifierCrossReference,CVE所在地相互参照情報,"担当者とCVE識別子の所在地を関係付けるためのコード。
identifierAddressLocationIdentifierと同じ値であるべき。"
219,2,Composition,,Identifier Contact,,,Identifier Contact Phone,0..*,Phone Number,gl-cor,,【CVE担当者電話番号】,電話番号
220,2,Composition,,Identifier Contact,,,Identifier Contact Fax,0..*,Fax Number,gl-cor,,【CVE担当者FAX番号】,FAX番号。
221,2,Composition,,Identifier Contact,,,Identifier Contact Email,0..*,Email Address,gl-cor,,【CVE担当者Eメールアドレス】,Eメールアドレス。
222,1,Class,,Identifier Reference,,,,0..*,"Identification for customer, vendor, or employee.",gl-cor,gl-cor:identifierReference,【CVE情報】,顧客、仕入先、従業員のための識別子。
223,2,Attribute,,Identifier Reference,ID Number (internal),xbrli:stringItemType,,0..1,Internal ID Number associated with identifierReference,gl-cor,gl-cor:identifierCode,CVE識別番号（内部）,identifierReferenceに関係付けられた、内部ID番号。
224,2,Attribute,,Identifier Reference,Identifier Purpose,xbrli:stringItemType,,0..1,"Freeform for codes like purchasing, billing, manufacturing at identifier level.",gl-bus,gl-bus:identifierPurpose,CVE目的,購買、請求、製造などの、CVE識別子のレベルのコードの自由記述。
