seq,level,Property type,Identifier,class,Property term,representation,Associate class,card,description,module,table,domain_name,element,label_local,definition_local,note
100,2,Attribute,,Entity Information,Fiscal Year End,xbrli:stringItemType,,0..1,"End of fiscal year. Where appropriate, corporate year period representation permits non-365 or 366 day years (more appropriate for internal sharing than data from external sources), In Europe, some jurisdictions allow 2 year minus 1 day fiscal years.",gl-bus,,,gl-bus:fiscalYearEnd,会計年度終了日付,会計年度の終了日。妥当であれば、企業の会計年度表示において、366日や365日でない年も許可する（外部ソースからのデータより内部共有のための方が適している）。ヨーロッパでは、2年マイナス1日の会計年度を許可するところもある。,
101,2,Composition,,Entity Information,,,Accounting Method,0..1,Section for identifying the methods of accounting used by the entity for different reporting purposes,gl-bus,,,,【会計処理方法】,異なる報告目的に応じて事業体が使用する会計処理方法を識別するためのセクション。,
102,2,Composition,,Entity Information,,,Accountant,0..1,Information about the relevant external accountant,gl-bus,,,,【会計士情報】,関連する外部会計士に関する情報。,
103,2,Composition,,Entity Information,,,Party,0..1,"Identification for customer, vendor, or employee.",gl-cor,,,,【CVE情報】,顧客、仕入先、従業員のための識別子。,
104,2,Composition,,Entity Information,,,Reporting Calendar,0..1,A tool to collect the periods used to summarise results from transactions.,gl-bus,,,,【報告カレンダー】,取引の結果をまとめるための期間を集めるもの。,
105,1,Class,,Entry Detail,,,,,Parent for entry detail,gl-cor,,,gl-cor:entryDetail,【仕訳明細】,仕訳明細の親タグ。,
106,2,Attribute,,Entry Detail,Line Number,xbrli:stringItemType,,0..1,Identifier for a particular entry detail\n,gl-cor,,,gl-cor:lineNumber,明細行番号,仕訳明細の識別子。,
107,2,Attribute,,Entry Detail,Line Number Counter,xbrli:stringItemType,,0..1,Unique reference for the line - a numeric counter,gl-cor,,,gl-cor:lineNumberCounter,明細行番号カウンタ,明細行の一意なリファレンス　　カウンタ,
108,2,Composition,,Entry Detail,,,Account Structure,0..*,"Tuple: parent container for account numbers and identifiers. No entry is made here, but each detail line may have multiple accounts assigned to it for reporting in different GAAPs, offsetting accounts in Japan, passing along information to consolidation systems about local versus consolidating accounts, etc. For example, the account 4783HG-QOWI-192837-1000 may be expressed so: \n/account/accountMainID 1000  \n/account/accountMainDescription Cash  \n/account/accountSub/accountSubID 4783HG  \n/account/accountSub/accountSubDescription Department  \n/account/accountSub/accountSubID QOWI  \n/account/accountSub/accountSubDescription Branch  \n/account/accountSub/accountSubID 192837  \n/account/accountSub/accountSubDescription Division",gl-cor,,,,【科目識別子】,タプル。勘定科目番号と識別子の親コンテナ。 ここには記入されないが、個々の明細行は、異なるGAAPでの報告や、日本の見返勘定や、連結勘定科目に対する個別情報の連結会計システムへの伝達などのための、複数の勘定科目を持ちうる。例えば、勘定科目4783HG-QOWI-192837-1000は、次のように表現されうる。\n/account/accountMainID 1000  /account/accountMainDescription Cash  /account/accountSub/accountSubID 4783HG  /account/accountSub/accountSubDescription Department  /account/accountSub/accountSubID QOWI  /account/accountSub/accountSubDescription Branch  /account/accountSub/accountSubID 192837  /account/accountSub/accountSubDescription Division,
109,2,Attribute,,Entry Detail,Monetary Amount,xbrli:stringItemType,,0..1,"This field (amount) represents the primary monetary amount related to the  subject of the entryDetail line. There is one primary monetary amount per entryDetail structure. It may, for example, represent the amount of one line of a journal entry, the balance on a document, or the extended amount of a line item on an invoice. Amount is not required if detailed entry is used for non-financial work and other elements are populated, in particular measurableQuantity. The amount field is a signed number (either positive or negative itself) and used in conjunction with a separate signOfAmount and a separate debitCreditCode, which together are considered for understanding the monetary amount. The unit of measure is determined by amountCurrency if present, and by the default or home currency if amountCurrency is not present.",gl-cor,,,gl-cor:amount,金額,entryDetailの代表的な金額を示す。entryDetailごとにひとつの値を持つ。たとえば、仕訳帳の行、残高、請求書の行の金額。明細が会計業務用でなく、measurableQuantityなどの他の要素が設定されている場合は不要。符号付数値であり、金額を解釈するために用意されたsignOfAmountおよびdebitCreditCodeとあわせて使用される。通貨単位はamountCurrencyで決定される。amountCurrencyが指定されない場合は、既定または自国の通貨単位となる。,
110,2,Attribute,,Entry Detail,Currency,xbrli:stringItemType,,0..1,"The currency related to the amount can be entered here instead of the XBRL instance specified way, especially important in multi-currency situations. Recommend ISO 4217 coding.",gl-muc,,,gl-muc:amountCurrency,通貨,XBRLインスタンス内に指定する方法のかわりに、金額の通貨を指定可能。多通貨環境で特に重要。ISO4217コード体系を推奨。,
111,2,Attribute,,Entry Detail,Exchange Rate Date,xbrli:stringItemType,,0..1,Date of exchange rate used to record the original transaction.,gl-muc,,,gl-muc:amountOriginalExchangeRateDate,原取引通貨換算レート日付,原取引の記録に使われた通貨換算レートの日付。,
112,2,Attribute,,Entry Detail,Original Amount,xbrli:stringItemType,,0..1,"Amount in original (as opposed to home) currency, for multi-currency tracking.",gl-muc,,,gl-muc:amountOriginalAmount,原取引通貨換算額,多通貨取引のための、(自国通貨に対する)原取引通貨での金額。,
113,2,Attribute,,Entry Detail,Original Currency,xbrli:stringItemType,,0..1,"The currency used to track original, as opposed to home, amounts. Recommended ISO 4217 coding.",gl-muc,,,gl-muc:amountOriginalCurrency,原取引通貨,自国通貨に対する、原取引通貨。ISO4217コードを推奨。,
114,2,Attribute,,Entry Detail,Original Exchange Rate,xbrli:stringItemType,,0..1,Exchange rate at time of original transaction (expressed as national currency divided by original currency),gl-muc,,,gl-muc:amountOriginalExchangeRate,原取引通貨換算レート,原取引時の通貨換算レート。（自国通貨を原取引通貨で割った値）,
115,2,Attribute,,Entry Detail,Original Exchange Rate Source,xbrli:stringItemType,,0..1,"Source of Exchange Rate - for example, Reuters, Bloomberg",gl-muc,,,gl-muc:amountOriginalExchangeRateSource,原取引通貨換算レート情報源,"通貨換算レートの情報源。たとえば、Reuters, Bloomberg。",
116,2,Attribute,,Entry Detail,Original Exchange Rate Comment,xbrli:stringItemType,,0..1,Comment about exchange rate used for recording original transaction.,gl-muc,,,gl-muc:amountOriginalExchangeRateComment,原取引通貨換算レートコメント,原取引の記録に使用された通貨換算レートに関するコメント。,
117,2,Attribute,,Entry Detail,Triangulation Amount,xbrli:stringItemType,,0..1,"If triangulation is used, amount in triangulation currency, for multi-currency tracking. Debit is entered as positive, credit as negative.",gl-muc,,,gl-muc:amountOriginalTriangulationAmount,原取引トライアンギュレーション通貨換算額,トライアンギュレーション取引の場合に、トライアンギュレーション通貨での金額を指定する。借方は正、貸方は負の値を指定。,
118,2,Attribute,,Entry Detail,Triangulation Currency,xbrli:stringItemType,,0..1,"The currency used for triangulation, if used. May often be EUR or USD. Recommended ISO 4217 coding.",gl-muc,,,gl-muc:amountOriginalTriangulationCurrency,原取引トライアンギュレーション通貨,トライアンギュレーション取引時の通貨。EUR、USDなど。ISO4217コードを推奨。,
119,2,Attribute,,Entry Detail,National to Triangulation Currency Exchange Rate,xbrli:stringItemType,,0..1,Exchange rate between national currency and triangulation currency at time of original transaction (expressed as national currency divided by triangulation currency),gl-muc,,,gl-muc:amountOriginalTriangulationExchangeRate,自国通貨トライアンギュレーション通貨換算レート,原取引時の、自国通貨とトライアンギュレーション通貨との換算レート。（自国通貨をトライアンギュレーション通貨で割った値）,
120,2,Attribute,,Entry Detail,National to Triangulation Currency Exchange Rate Source,xbrli:stringItemType,,0..1,"Source of Exchange Rate for triangulation amount at time of original transaction - for example, Reuters, Bloomberg",gl-muc,,,gl-muc:amountOriginalTriangulationExchangeRateSource,自国通貨トライアンギュレーション通貨換算レート情報源,"原取引時の、トライアンギュレーション取引金額の換算レートの情報源。たとえば、Reuters, Bloomberg。",
121,2,Attribute,,Entry Detail,National to Triangulation Currency Exchange Rate Type,xbrli:stringItemType,,0..1,"Type of Exchange Rate for triangulation amount at time of original transaction - for example, spot rate, forward contract etc.",gl-muc,,,gl-muc:amountOriginalTriangulationExchangeRateType,自国通貨トライアンギュレーション通貨換算レート種別,原取引時の、トライアンギュレーション取引金額の換算レートの種別。たとえば、スポット・レート、先物など。,
122,2,Attribute,,Entry Detail,Original to Triangulation Currency Exchange Rate,xbrli:stringItemType,,0..1,Exchange rate between original currency and triangulation currency at time of original transaction (expressed as original currency divided by triangulation currency),gl-muc,,,gl-muc:originalTriangulationExchangeRate,原取引通貨トライアンギュレーション通貨換算レート,原取引時の、原取引通貨とトライアンギュレーション通貨との換算レート。（原取引通貨をトライアンギュレーション通貨で割った値）,
123,2,Attribute,,Entry Detail,Original to Triangulation Currency Exchange Rate Source,xbrli:stringItemType,,0..1,"Source of Exchange Rate for triangulation from original currency to triangulation currency at time of original transaction - for example, Reuters, Bloomberg",gl-muc,,,gl-muc:originalExchangeRateTriangulationSource,原取引通貨トライアンギュレーション通貨換算レート情報源,"原取引時の、原取引通貨からトライアンギュレーション通貨への換算レートの情報源。たとえば、Reuters, Bloomberg。",
124,2,Attribute,,Entry Detail,Original to Triangulation Currency Exchange Rate Type,xbrli:stringItemType,,0..1,"Type of Exchange Rate for triangulation from original currency to triangulation currency at time of original transaction - for example, spot rate, forward contract etc.",gl-muc,,,gl-muc:originalExchangeRateTriangulationType,原取引通貨トライアンギュレーション通貨換算レート種別,原取引時の、原取引通貨からトライアンギュレーション通貨への換算レートの種別。たとえば、スポット・レート、先物など。,
125,2,Attribute,,Entry Detail,Sign Indication for Amount,xbrli:stringItemType,,0..1,Sign of amount; provides 4 possible fields only when used in conjunction with debitCreditCode; primarily used for correcting entries so total debits and credits after an entry error are not inflated. D + increase DebitsD - decrease debitsC + decreases creditC - increases credit,gl-cor,,,gl-cor:signOfAmount,金額符号,金額の符号。貸借識別子と関連して使用される場合にだけ、4つの可能なフィールドを提供する。記入エラー後の総貸借が膨張しないように、おもに仕訳の訂正に使用される。 D+は借方を増加させる。D-は借方を減少させる。C+は貸方を減少させる。C-は貸方を増加させる。\n[設定値のリスト]\n(+)、(-)、(plus：プラス)、(minus：マイナス) ,
126,2,Attribute,,Entry Detail,Debit/Credit Identifier,xbrli:stringItemType,,0..1,"Optional identifier of whether the amount is a (D)ebit, a (C)redit or Undefined",gl-cor,,,gl-cor:debitCreditCode,貸借区分コード,金額が借方か貸方か不定かを示す識別子。\n[設定値のリスト]\n(D)、(C)、(debit：借方)、(credit：貸方)、(undefined：不定) ,
127,2,Attribute,,Entry Detail,Posting Date,xbrli:stringItemType,,0..1,"At the detail level, this represents the accounting significance date. No matter what date the document is received, entered, or posted, this signifies the accounting date of the entry. If you want to see the financial results for March 5, 2002 and this entry is given that date, the entry will be part of the results for March 5, 2002. This is different from the postedDate found at the entryHeader level. If you want the accounting significance to be a particular date, it goes here. A single entry could represent multiple dates, but would only be posted on one date.",gl-cor,,,gl-cor:postingDate,転記日付,明細レベルで、会計上意義のある日付を示す。ドキュメントの受領、入力、転記の日付に関わらず、仕訳が会計処理された日付を示す。2002.03.05の財務結果を見たいときに、ここにその日付がある場合は、この明細は2002.03.05の結果の一部である。これは、entryHeaderにあるpostedDateとは異なる。特定の日付を会計上意義のある日付にしたいなら、ここに記述する。ひとつの仕訳が複数の日付をあらわせるが、ひとつの日でのみ転記される。,
128,2,Attribute,,Entry Detail,Memo Line,xbrli:stringItemType,,0..1,A boolean like entry that indicates whether an entryDetail line has been provided solely to provide additional details and that tools should not consider the amount in postings.,gl-bus,,,gl-bus:amountMemo,メモ行フラグ,明細行が単に追加の詳細を与えるものであり、転記金額に含めるべきでないことを示すブール値。,
129,2,Attribute,,Entry Detail,Allocation Code,xbrli:stringItemType,,0..1,"Code associated with the calculation formula: e.g. (D)ivide by number of periods, (T)otal for period given",gl-bus,,,gl-bus:allocationCode,配分コード,計算方式に関するコード。例えば、(D)期間数で分割、(T)与えられた期間の合計。,
130,2,Composition,,Entry Detail,,,Multicurrency Amount,0..1,Section to provide additional information related to home currencies that differ from original currencies and related exchange rates - typically this will be used to record exchange rates and amounts in currencies and/or on dates other than those of the original transaction. This structure allows recording of exchange rates using a third currency as a triangulation currency. This is often EUR but is not restricted to being so. This structure may be repeated as many times as necessary to record amounts in foreign currencies on the same or different dates.,gl-muc,,,,【多通貨明細】,原取引時の通貨と異なる、自国通貨と換算レートに関する追加情報のセクション。－現在および原取引時の、換算レートおよび金額の記録に使用される。\nトライアンギュレーション通貨としての第三通貨の換算レートを記録できる。EURの場合が多いがそれに限らない。この構造は、同日または異なる日の外貨での金額を記録する必要がある限り、繰り返し指定可能。,
131,2,Attribute,,Entry Detail,Document Type,xbrli:stringItemType,,0..1,"An enumerated field describing the original source document, with invoice, voucher, check and other enumerated entries",gl-cor,,,gl-cor:documentType,元文書種別,顧客への請求書、ベンダからの請求書、小切手、その他の列挙値による、元文書の説明。\n[設定値のリスト]\n(check：小切手)、(debit-memo：借方メモ)、(credit-memo：貸方メモ)、(finance-charge：財務費用)、(invoice：顧客への請求書)、(order-customer：顧客オーダ)、(order-vendor：仕入先オーダ)、(payment-other：その他支払い)、(reminder：督促状)、(tegata：手形)、(voucher：ベンダからの請求書)、(shipment：出荷票)、(receipt：受領票)、(manual-adjustment：手修正)、(other：その他),
132,2,Attribute,,Entry Detail,Document Type Description,xbrli:stringItemType,,0..1,Free format description of the document type,gl-cor,,,gl-cor:documentTypeDescription,元文書種別説明,元文書の種別の説明。,
133,2,Attribute,,Entry Detail,Invoice Type,xbrli:stringItemType,,0..1,"Invoice Type  (self-billed, ePoS enumerated values)",gl-cor,,,gl-cor:invoiceType,請求書種別,請求書の種別。(self-billed、ePoS)\n[設定値のリスト]\n(ePos：POSシステムからの発行)、(self-billed：手動発行),
134,2,Attribute,,Entry Detail,Document Number,xbrli:stringItemType,,0..1,"Invoice, check, voucher, or other source document identifier",gl-cor,,,gl-cor:documentNumber,元文書番号,請求書、小切手、証憑、その他の元文書の識別子。,
135,2,Attribute,,Entry Detail,Apply To Number,xbrli:stringItemType,,0..1,"Document number of primary invoice number, used to offset payments, debits and credits; for an invoice, usually the same as the documentNumber. When calculating open balance on an invoice, or open amount on payments in advance or not fully applied, this permits calculation of the open item.",gl-cor,,,gl-cor:documentApplyToNumber,適用先番号,支払、借方、貸方の相殺に使用される、一次請求書の文書番号。請求書では通常documentNumberと等しい。未決済の請求書残高や、未決済の支払金額の計算時に、利用できる。,
136,2,Attribute,,Entry Detail,Document Reference,xbrli:stringItemType,,0..1,Internal reference for the document above; number assigned internally to track the document,gl-cor,,,gl-cor:documentReference,元文書参照情報,上の文書のための内部参照情報。文書を追跡するために内部的に割り当てた番号。,
137,2,Attribute,,Entry Detail,Document Date,xbrli:stringItemType,,0..1,"Date (and less likely in the paper world but possible in the e-world, time) on actual document (invoice, voucher, check date). Other dates control posting information.",gl-cor,,,gl-cor:documentDate,元文書日付,実際の文書（請求書、証憑、小切手）の日付（および、紙の世界ではありそうにないが、電子的には時刻）。 転記の情報は別の日付で管理する。,
138,2,Attribute,,Entry Detail,Received Date,xbrli:stringItemType,,0..1,Date/time document was noted as received (if necessary). Represents actual date received. Posting dates are maintained separately.,gl-bus,,,gl-bus:documentReceivedDate,元文書受領日付,（必要であれば）文書の受領が記録された日付/時刻。実際に受領された日付をあらわす。転記日付は別に管理される。,
139,2,Attribute,,Entry Detail,Chargeable or Reimbursable,xbrli:stringItemType,,0..1,"Is this entry chargeable to client, reimbursable? Used by some systems to indicate that account on posting/validation should be posted to a customer or vendor's account.",gl-bus,,,gl-bus:documentChargeReimb,請求支払可能フラグ,この仕訳は顧客に請求、支払可能か。いくつかのシステムでは転記/検証対象の科目が顧客や仕入先の科目に転記されるべきかどうかを示すために使用される。,
140,2,Attribute,,Entry Detail,Document Location,xbrli:stringItemType,,0..1,"Document location as URI, file name or other reference. Alternatively, text of document can be placed here.",gl-bus,,,gl-bus:documentLocation,元文書格納場所,文書の格納場所である、URI、ファイル名またはその他の参照情報。代わりに、文書のテキストも記述可能。,
141,2,Attribute,,Entry Detail,Payment Method,xbrli:stringItemType,,0..1,Method used or to be used to make the payment,gl-bus,,,gl-bus:paymentMethod,支払方法,支払いのために使用された、または使用される方法。,
142,2,Attribute,,Entry Detail,Posting Status,xbrli:stringItemType,,0..1,"deferred: although entered, it cannot be posted until a later time\nposted: already posted\nproposed: a proposed item that must be approved\nsimulated: a simulated item, for what-if\ntax: a tax-specific entry\nunposted:entered but not yet posted or validated\ncancelled:entered and later cancelled\nother:other status - should be described in postingStatusDescription",gl-cor,,,gl-cor:postingStatus,転記状態,・据置：入力されたが、まだ転記できない。\n・転記済：転記済み。\n・提案済：検証が必要な項目。\n・シミュレーション：仮定のためにシミュレートされた項目。\n・税：税項目。\n・未転記：入力されたが、まだ検証も転記もされていない。\n・取消済：入力されたが、取り消された。\n・その他：その他の状態。postingStatusDescriptionで説明されるべき。\n[設定値のリスト]\n(deferred：据置)、(posted：転記済)、(proposed：提案済)、(simulated：シミュレーション)、(tax：税)、(unposted：未転記)、(cancelled：取消済)、(other：その他),
143,2,Attribute,,Entry Detail,Posting Status Description,xbrli:stringItemType,,0..1,Free format description of the posting status,gl-cor,,,gl-cor:postingStatusDescription,転記状態説明,転記状態の説明。,
144,2,Composition,,Entry Detail,,,XBRL Information,0..1,This will roll up to XBRL reporting information - this is a parent - repeatable so that the same item can be reported through many taxonomies. Care should be taken to consider what happens if people post to the same account but different XBRL elements.,gl-cor,,,,【XBRL情報】,XBRLレポート情報へのロールアップ情報。親タグであり、同じ項目が複数のタクソノミを通じて報告されうるように繰り返し可能。同一の勘定科目を異なるXBRL要素に転記した場合にどうなるか、注意深く考慮すべきである。,
145,2,Attribute,,Entry Detail,Description,xbrli:stringItemType,,0..1,Description of this line of detail only,gl-cor,,,gl-cor:detailComment,説明,この明細行のみに対する説明。,
146,2,Attribute,,Entry Detail,Acknowledgement Date,xbrli:stringItemType,,0..1,Date of acknowledgement of goods/services shipped/received.,gl-cor,,,gl-cor:dateAcknowledged,承認日付,出荷/受領済みの物品/サービスを承認した日付。,
147,2,Attribute,,Entry Detail,Confirmation Date,xbrli:stringItemType,,0..1,Date of confirmation of shipment/receipt.,gl-cor,,,gl-cor:confirmedDate,確認日付,出荷/受領を確認した日付。,
148,2,Attribute,,Entry Detail,Ship From,xbrli:stringItemType,,0..1,References organizationAddressLocationIdentifier where used. Otherwise freeform.,gl-cor,,,gl-cor:shipFrom,出荷元,organizationAddressLocationIdentifierの参照情報。または自由記述。,
149,2,Attribute,,Entry Detail,Date Shipped/Received,xbrli:stringItemType,,0..1,Date goods/services are shipped/received.,gl-cor,,,gl-cor:shipReceivedDate,出荷/受領日付,物品/サービスを出荷/受領した日付。,
150,2,Attribute,,Entry Detail,Maturity Date or Date Due,xbrli:stringItemType,,0..1,Due date or other maturity date.,gl-cor,,,gl-cor:maturityDate,支払期日,支払期日やその他の期日。,
151,2,Attribute,,Entry Detail,Payment Terms,xbrli:stringItemType,,0..1,Discount/payment terms.,gl-cor,,,gl-cor:terms,支払条件,割引/支払い条件。,
152,2,Attribute,,Entry Detail,Ticking Field,xbrli:stringItemType,,0..1,"Signifies that an item has been cleared, finished, finalized. When checking accounts are called for, the tick or letter showing this was done appears in this field. Can also be used for identifying that the\noriginal document against which a payment or DR/CR memo applies has been reconciled.",gl-taf,,,gl-taf:tickingField,チェック欄,項目が消去または完了されたことを示す。勘定のチェックが要求される場合、処理済を示すチェックマークまたは文字が指定される。支払またはDR/CRのメモに対する元文書が、消し込まれたことを確認するためにも使用可能。,
153,2,Attribute,,Entry Detail,Document Remaining Balance,xbrli:stringItemType,,0..1,Balance remaining on the document,gl-taf,,,gl-taf:documentRemainingBalance,文書上残高,文書上の残高。,
154,2,Attribute,,Entry Detail,UCR,xbrli:stringItemType,,0..1,"Unique Consignment Reference or UCR. An ""origin to destination"" reference code for international consignments, developed in cooperation with the World Customs Organization and EAN International (EAN). (http://www.wcoomd.org/ie/EN/press/UCR_new_e.pdf)",gl-taf,,,gl-taf:uniqueConsignmentReference,UCRコード,"Unique Consignment ReferenceまたはUCR。国際委託販売のための""origin to destination""参照コード。World Customs OrganizationとEAN International (EAN)が共同で開発している。\n(http://www.wcoomd.org/ie/EN/press/UCR_new_e.pdf)",
155,2,Composition,,Entry Detail,,,Measurable,0..*,"Parent for information regarding measurable items associated with the enclosing entryDetail line. Primary area used for holding performance measures. Based on needs for tracking inventory transactional detail, but suitable for anything assigned to an ""account"", ""reporting bucket"" or ""code"". Can be used to track any movements.",gl-bus,,,,【計測可能物情報】,明細行に関係付けられた、計測可能物の情報の親タグ。おもにパフォーマンス測定のために使用される。在庫移動の詳細の追跡の必要性に基づき、「科目」、「報告バケット」、「コード」に関係付けられるあらゆるものに適する。あらゆる活動を追跡するために使用可能。,
156,2,Composition,,Entry Detail,,,Job,0..1,"Tuple for holding job related information, separate from jobs represented in account identifier. Would probably only have one jobinfo tuple for each entry line, but there may be a need to express more than one.",gl-bus,,,,【ジョブ情報】,科目識別子で表現されるジョブとは別の、ジョブに関係する情報のタプル。個々の明細行に対してひとつだけ存在すると思われるが、複数必要かもしれない。,
157,2,Composition,,Entry Detail,,,Depreciation Mortgage,0..1,"Parent for information related to depreciation, mortgages, etc.",gl-bus,,,,【減価償却/抵当債務情報】,減価償却、抵当債務等に関連する情報の親タグ。,
158,2,Composition,,Entry Detail,,,Tax Details,0..*,Tuple for holding tax related information,gl-cor,,,,【税情報】,税関連の情報のタプル。,
159,2,Composition,,Entry Detail,,,Originating Document,0..*,"A tool to capture the flow of related documents in the business process. Some needs of end users require a greater history of the documents that are associated with a transaction, especially in the VAT audit area. Contains a repetitive structure of related documents.",gl-taf,,,,【発生元文書情報】,業務プロセス上の、関連文書の流れを捕捉するためのもの。特にVAT監査では、エンドユーザの要求として、取引に関係する文書の履歴が必要とされる。関連文書情報の構造の繰り返しを含む。,
160,1,Class,,Entry Header,,,,,Parent for entry headers/journal entry headers.,gl-cor,,,gl-cor:entryHeader,【仕訳情報】,エントリヘッダー/仕訳記入ヘッダーの親タグ。,
161,2,Attribute,,Entry Header,Date Posted,xbrli:stringItemType,,0..1,Date this entry was posted (validated) to the general ledger. May not represent the date of accounting significance which is represented by 'postingDate'.,gl-cor,,,gl-cor:postedDate,転記済日付,この仕訳が総勘定元帳に転記された(検証された)日付。 postingDateで示されるような会計上意味のある日付を表さないかもしれない。,
162,2,Attribute,,Entry Header,Entry Creator,xbrli:stringItemType,,0..1,Initials/name of operator originally entering.,gl-cor,,,gl-cor:enteredBy,仕訳作成者,最初に入力したオペレータのイニシャル/名前。,
163,2,Attribute,,Entry Header,Entry Last Modifier,xbrli:stringItemType,,0..1,Identification for the last person modifying this entry before posting.,gl-bus,,,gl-bus:enteredByModified,仕訳最終更新者,転記前に最後にこの仕訳を修正した者の識別子。,
164,2,Attribute,,Entry Header,Entry Date,xbrli:stringItemType,,0..1,"Represents the actual date/time of entry into computer (automated from system date, often misrepresented by changing system clock). Posting dates are maintained separately.",gl-cor,,,gl-cor:enteredDate,入力日付,コンピュータへ入力した実際の日付/時刻(システム日付から自動的に与えられ、システム時計の変更により、しばしば誤った値になる)を示す。 転記日付とは別に管理される。,
165,2,Attribute,,Entry Header,Responsible Person,xbrli:stringItemType,,0..1,Identifier of person who created or originated or is otherwise responsible for the entry.,gl-bus,,,gl-bus:entryResponsiblePerson,責任者,仕訳を作成したか、仕訳に責任を持つ者の識別子。,
166,2,Attribute,,Entry Header,Source Journal,xbrli:stringItemType,,0..1,"Source journal. The code of the journal in which the entry is processed. The code must be a unique indication for a journal and is selected from the following enumerated list:\ncd      cash disbursements (sending cheques to vendors)\ncr      cash receipts (receiving cheques from others)\nfa      fixed assets\ngi      giro/other bank adjustments\ngj      general journal\nim      inventory management\njc      job cost\npj      purchase journal (liabilities from purchases)\npl      payroll journal\nsj      sales journal\nse      standard entries\nud      user defined\not      other sources of entries""",gl-cor,,,gl-cor:sourceJournalID,元仕訳帳種別,元仕訳帳。仕訳が処理される仕訳帳のコード。コードは仕訳帳に一意な指標であり、以下から選択する。\n出金(仕入先への小切手送付)、入金(他者からの小切手受領)、固定資産、振替、一般仕訳帳、在庫管理、個別原価、仕入帳(仕入による負債)、賃金台帳、売上台帳、通常仕訳、ユーザ定義、その他\n[設定値のリスト]\n(cd：出金)、(cr：入金)、(fa：固定資産)、(gi：振替)、(gj：一般仕訳帳)、(im：在庫管理)、(jc：個別原価)、(pj：仕入帳)、(pl：賃金台帳)、(sj：売上台帳)、(se：通常仕訳)、(ud：ユーザ定義)、(ot：その他),
167,2,Attribute,,Entry Header,Journal Description,xbrli:stringItemType,,0..1,"Source journal (full description of general journal, payroll journal, accountant entries). A more easily readable journal indication. The most common journals are: Purchases, Sales, Cash, and General Journal.",gl-bus,,,gl-bus:sourceJournalDescription,元仕訳帳説明,元仕訳帳(一般仕訳、給与台帳、会計士入力の完全な説明)。 よりわかりやすい仕訳帳の指標。 最も一般的な仕訳帳は、次の通り。 仕入、売上、現金、一般仕訳。,
168,2,Attribute,,Entry Header,Type Identifier,xbrli:stringItemType,,0..1,"One of the following enumerated list: adjusting, budget, comparative, external-accountant, standard, passed-adjusting, eliminating, proposed, recurring, reclassifying, simulated, tax, other",gl-cor,,,gl-cor:entryType,種別識別子,以下の値のうちのひとつ。\n整理、予算、比較、外部会計士、通常、無視、消去、提案、反復、組替、シミュレーション、税、その他\n[設定値のリスト]\n(adjusting：整理)、(budget：予算)、(comparative：比較)、(external-accountant：外部会計士)、(standard：通常)、(passed-adjusting：無視)、(eliminating：消去)、(proposed：提案)、(recurring：反復)、(reclassifying：組替)、(simulated：シミュレーション)、(tax：税)、(other：その他),
169,2,Attribute,,Entry Header,Entry Origin,xbrli:stringItemType,,0..1,"Origin of entry: accrual, manual entry, imported entry, exchange gain or loss",gl-bus,,,gl-bus:entryOrigin,仕訳起源,仕訳の起源。発生、手入力、インポート入力、為替換算による損益。,
170,2,Attribute,,Entry Header,Entry Identifier,xbrli:stringItemType,,0..1,Identifier within source journal,gl-cor,,,gl-cor:entryNumber,仕訳識別子,元仕訳帳中の識別子。,
171,2,Attribute,,Entry Header,Entry Description,xbrli:stringItemType,,0..1,Description of entry described by this entry header (e.g. Opening Balance),gl-cor,,,gl-cor:entryComment,仕訳説明,このエントリヘッダーによって説明された仕訳の説明(例えば、期首残高)\n,
172,2,Attribute,,Entry Header,Entry Qualifier,xbrli:stringItemType,,0..1,"Entry Qualifier - An enumerated field that qualifies the type of entry, specifically useful for general ledger and trial balance environments when it is important to state the values represented are summarized as of the reporting date - opening or closing balances. In accounting systems, this is often known as BBF (balance brought forward.) Permitted values are: standard, balance-brought-forward and other.",gl-cor,,,gl-cor:qualifierEntry,仕訳修飾子,仕訳の修飾子。総勘定元帳や試算表で、開始残高や決算残高のように、記された値が報告日で集約されていることを明示することが重要なときに有用な、仕訳の種別を修飾するもの。会計システムにおいて、BBF（繰越残高）として知られるもの。指定可能な値は以下。標準、繰越残高、その他\n[設定値のリスト]\n(standard：標準)、(balance-brought-forward：繰越残高)、(other：その他) ,
173,2,Attribute,,Entry Header,Entry Qualifier Description,xbrli:stringItemType,,0..1,Free format description of the entry qualifier,gl-cor,,,gl-cor:qualifierEntryDescription,仕訳修飾子説明,仕訳の修飾子の説明。,
174,2,Attribute,,Entry Header,Posting Code,xbrli:stringItemType,,0..1,"Code for posting to period, e.g., period 1-13, based on codes in an accounting period file. We do not recommend that software vendors export here, but suggest providing period end numbers for the buckets. Possibilities W1 through W53, M1 through M13, Q1-Q4. Developers and others creating output files are encouraged to supply an actual end date.",gl-bus,,,gl-bus:postingCode,転記コード,転記の期間を表すコード。例えば、会計期間ファイルのコードにもとづく期間１～１３。ソフトウエアベンダーが、この値をエクスポートすることは推奨しない。期間の最終番号を提供することを勧める。可能な値としては、W1からW53、M1からM13、Q1からQ4など。開発者や出力ファイルの作成者には、実際の終了日付を提供することを勧める。,
