No.,Level,Property type,Identifier,Class,Property Term,Representation Term,Associate Object Class Term,Multiplicity,Description,Module,Table,Value Domain,XBRL-GL
1143,2,Reference Association,,Cash Received,Debit,,Ledger Account Number,0..1,GL account number on which the debit side of the transaction has been posted.,O2C,30,TEXT100,gl-cor:accountMainID with gl-cor:accountPurposeDescription = 'debit-value' in a second account structure
1144,2,Reference Association,,Cash Received,Credit,,Ledger Account Number,0..1,GL account number on which the credit side of the transaction has been posted.,O2C,30,TEXT100,gl-cor:accountMainID with gl-cor:accountPurposeDescription = 'credit-value' in a second account structure
1145,2,Composition,,Cash Received,,,Activity Records,0..1,,O2C,30,,
1146,2,Composition,,Cash Received,,,Segment,0..*,,O2C,30,,
1147,1,Class,,Receipt Type,,,,0..1,The Receipt Type Listing YYYYMMDD file contains detailed descriptions of Receipt Type codes.,O2C,30.5,,"XBRL GL uses enumerated values for the gl-cor:documentType to differentiate between different types of trade documents and related purposes. The difference between the entries in the Receipt_Type_Listing_YYYYMMDD and AR_Adjustment_Type_Listing will be by including gl-cor:documentType to indicate the type of receipt (for example, check, payment-other) for Receipt_Type_Listing_YYYYMMDD and the type of adjustment (for example, debitmemo, credit-emo, finance-charge, manual-adjustment) for the AR_Adjustment_Type_Listing_YYYYMMDD.<br>The enumerations most widely used in order-to-cash include<br>  check<br>  debit-memo<br>  credit-memo<br>  finance-charge<br>  invoice<br>  order-customer<br>  payment-other<br>  reminder<br>  tegata<br>  shipment<br>  receipt<br>  manual-adjustment<br>  other<br>gl-cor:entriesType value = 'other' [entriesType] is a mandatory field; [other] is an enumerated value.<br>gl-cor: entriesComment value = 'ads: Receipt_Type_Listing_YYYYMMDD' [entriesComment] is the descriptive field describing what is common in the collection of information; introducing audit data standard namespace and qualifier for type of collection ties it to this representation."
1148,2,Attribute,PK,Receipt Type,Receipt Type,Identifier,,0..1,The code value or indicator of the method by which the transaction debit or credit amount was extinguished or apportioned to the debt by the customer.,O2C,30.5,TEXT25,gl-bus:paymentMethod
1149,2,Attribute,,Receipt Type,Receipt Type Description,Text,,0..1,"The description of the code value indicating the type of transaction (for example, check, wire transfer, cash and so on).",O2C,30.5,TEXT100,gl-cor:documentTypeDescription
1150,1,Class,,Accounts Receivable Cash Application,,,,0..1,"The AR Cash Application YYYYMMDD YYYYMMDD file contains all cash receipts applied during the period under review. The file will have one record for each application of cash from a receipt to each invoice. For example, if a cash receipt was applied to three invoices, there will be three records for that receipt, one for each of the invoices to which the cash was applied.",O2C,31,,"gl-cor:entriesType value = 'other' [entriesType] is a mandatory field; [other] is an enumerated value.<br>gl-cor: entriesComment value = 'ads:AR_Cash_Application_YYYYMMDD_YYYYMMDD' [entriesComment] is the descriptive field describing what is common in the collection of information; introducing audit data standard namespace and qualifier for type of collection ties it to this representation.<br>* As cash applications often reflect multiple invoices and invoices may cross shipments and orders, association of each payment allocation line will appear as an independent entryDetail to differentiate between allocations and underlying originating documents."
1151,2,Attribute,PK,Accounts Receivable Cash Application,AR Application ID,Identifier,,0..1,"Unique identifier for each transaction. This ID may need to be created by concatenating fields (for example, document number, document type, and year) to uniquely identify each transaction.",O2C,31,TEXT100,gl-cor:documentReference
1152,2,Attribute,,Accounts Receivable Cash Application,AR Application Date,Date,,0..1,"The date of the cash application transaction, regardless of the date the transaction is entered.",O2C,31,DATE,gl-cor:documentDate
1153,2,Attribute,,Accounts Receivable Cash Application,AR Application Fiscal Year,Code,,0..1,"Fiscal year in which the AR Application Date occurs - YYYY for delimited, CCYY-MM-DD fiscal year-end (ISO 8601) for extensible business reporting language global ledger taxonomy framework (XBRL GL).",O2C,31,TEXT4,gl-bus:fiscalYearEnd
1154,2,Attribute,,Accounts Receivable Cash Application,AR Application Period,Code,,0..1,"Fiscal period in which the AR Application Date occurs. Examples include W1 - W53 for weekly periods, M1 - M12 for monthly periods, and Q1 - Q4 for quarterly periods.",O2C,31,TEXT10,gl-bus:postingCode
1155,2,Reference Association,,Accounts Receivable Cash Application,,,Customer,0..1,Identifier of the customer from whom payment is expected or to whom unused credits have been applied. Must match a Customer Account ID in the Customer Master Listing YYYYMMDD file.,O2C,31,TEXT100,gl-cor:identifierCode with gl-cor:identifierType = 'customer'
1156,2,Reference Association,,Accounts Receivable Cash Application,,,Cash Received,0..1,Unique identifier of the transaction in the Cash Received YYYYMMDD YYYYM MDD file for which some or all of the cash received is being applied to the customer's accounts payable.,O2C,31,TEXT100,gl-taf:originatingDocumentNumber with gl-taf:originatingDocumentType = 'check'*
1157,2,Reference Association,,Accounts Receivable Cash Application,,,Invoice Generated,0..1,"Unique identifier for each invoice. This ID may need to be created by concatenating fields (for example, document number, document type, and year) to uniquely identify each transaction. The same ID must be used for all tables with invoice data (Invoices Generated YYYYMMDD YYY YMMDD, Open Accounts Receivable YYYYMM DD, AR Cash Application YYYYMMDD YY YYMMDD, and AR Adjustments YYYYMMDD YYYYM MDD). Leave blank if cash application is at customer (not invoice) level.",O2C,31,TEXT100,gl-taf:originatingDocumentNumber with gl-taf:originatingDocumentType = 'invoice'*
1158,2,Reference Association,,Accounts Receivable Cash Application,,,Business Unit,0..1,"Used to identify the business unit, region, branch, and so on at the level that financial statements are being audited. Must match a Business Unit Code in the Business Unit Listing file.",O2C,31,TEXT50,gl-cor:ganizationIdentifier
1159,2,Composition,,Accounts Receivable Cash Application,,,Activity Records,0..1,,O2C,31,,
1160,2,Composition,,Accounts Receivable Cash Application,,,Multi Currency Amount,0..1,,O2C,31,,gl-muc:multicurrencyDetail
1161,2,Reference Association,,Accounts Receivable Cash Application,Debit,,Ledger Account Number,0..1,GL account number on which the debit side of the transaction has been posted.,O2C,31,TEXT100,gl-cor:accountMainID with gl-cor:accountPurposeDescription = 'debit-value' in a second account structure
1162,2,Reference Association,,Accounts Receivable Cash Application,Credit,,Ledger Account Number,0..1,GL account number on which the credit side of the transaction has been posted.,O2C,31,TEXT100,gl-cor:mainAccountID with gl-cor:mainAccountPurposeDescriptio gl-cor:accountMainID with gl-cor:accountPurposeDescription n = 'credit-value' in a second account structure
1163,2,Composition,,Accounts Receivable Cash Application,,,Segment,0..*,,O2C,31,,
1164,1,Class,,Accounts Receivable Adjustment,,,,0..1,"The AR Adjustments YYYYMMDD YYYYMMDD file contains all adjustments (for example, write-offs, credit memos, and other adjustments) recorded against the invoice and impacting the invoice balance during the period. It does not include the application of cash received (which is contained in the table AR Cash Application YYYYMMDD). The file will have one record for each adjustment to each invoice. For example, if an adjustment transaction impacted three invoices, there will be three records for that adjustment - one for each of the invoices impacted by the adjustment",O2C,32,,"gl-cor:entriesType value = 'other' [entriesType] is a mandatory field; [other] is an enumerated value.<br>gl-cor: entriesComment value = 'ads:AR_Adjustments_YYYYMMDD_YYYYMMDD' [entriesComment] is the descriptive field describing what is common in the collection of information; introducing audit data standard namespace and qualifier for type of collection ties it to this representation.<br>* As adjustments may reflect multiple underlying originating documents, association of each adjustment will appear as an independent entryDetail to differentiate between adjustments and underlying originating documents."
1165,2,Attribute,PK,Accounts Receivable Adjustment,Adjustment ID,Identifier,,0..1,"Unique identifier for the adjustment of record. This ID may need to be created by concatenating fields (for example, document number, document type, and year) to uniquely identify each transaction.",O2C,32,TEXT100,gl-cor:documentReference
1166,2,Attribute,,Accounts Receivable Adjustment,Adjustment Type,Code,,0..1,"The code value or indicator of the method by which the transaction debit or credit amount was extinguished or apportioned to the debt by the customer (for example, credit memo, debit memo, finance charge, other adjustments, and so on). See 1.9 AR Adjustment Type Listing YYYYM MDD.",O2C,32,TEXT25,gl-cor:documentType using provided enumerations or gl-cor:documentType = {other} and and gl-bus:paymentMethod with codes from AR_Adjustment_Type_Listing_YYYYM MDD
1167,2,Attribute,,Accounts Receivable Adjustment,Adjustment Document Number,Code,,0..1,"The identification number on an internally generated adjustment document (for example, credit memo).",O2C,32,TEXT100,gl-cor:documentNumber
1168,2,Reference Association,,Accounts Receivable Adjustment,,,Invoice Generated,0..1,"Unique identifier for each invoice. This ID may need to be created by concatenating fields (for example, document number, document type, and year) to uniquely identify each transaction. The same ID must be used for all tables with invoice data (Invoices Generated YYYYMMDD YY YYMMDD, Open Accounts Receivable YYYYMM DD, AR Cash Application YYYYMMDD Y YYYMMDD, and AR Adjustments YYYYMMDD YYYY MMDD). Leave blank if adjustment is at customer (not invoice) level.",O2C,32,TEXT100,gl-taf:originatingDocumentNumer with gl-taf:originatingDocumentType = 'invoice'
1169,2,Attribute,,Accounts Receivable Adjustment,Adjustment Date,Date,,0..1,"The date of the transaction, regardless of the date the transaction is entered.",O2C,32,DATE,gl-cor:postingDate
1170,2,Attribute,,Accounts Receivable Adjustment,Adjustment Fiscal Year,Code,,0..1,"Fiscal year in which the Adjustment Date occurs - YYYY for delimited, CCYY-MM-DD fiscal year end (ISO 8601) for extensible business reporting language global ledger taxonomy framework (XBRL GL).",O2C,32,TEXT4,gl-bus:fiscalYearEnd
1171,2,Attribute,,Accounts Receivable Adjustment,Adjustment Period,Code,,0..1,"Fiscal period in which the Adjustment Date occurs. Examples include W1 - W53 for weekly periods, M1 - M12 for monthly periods, and Q1 - Q4 for quarterly periods.",O2C,32,TEXT10,gl-bus:postingCode
1172,2,Reference Association,,Accounts Receivable Adjustment,,,Business Unit,0..1,"Used to identify the business unit, region, branch, and so on at the level that financial statements are being audited. Must match a Business Unit Code in the Business Unit Listing file.",O2C,32,TEXT50,gl-bus:organizationIdentifier
1173,2,Reference Association,,Accounts Receivable Adjustment,,,Customer,0..1,Identifier of the customer from whom payment is expected or to whom unused credits have been applied. Must match a Customer Account ID in the Customer Master Listing YYYYMMDD file.,O2C,32,TEXT100,gl-cor:identifierCode with gl-cor:identifierType = 'customer'
1174,2,Composition,,Accounts Receivable Adjustment,,,Activity Records,0..1,,O2C,32,,
1175,2,,,Accounts Receivable Adjustment,NOTE: THE FOLLOWING FIELDS MAY BE OMITTED IF DETAILED (LINE ITEM) DATA IS PROVIDED,,,,,O2C,32,,
1176,2,Composition,,Accounts Receivable Adjustment,,,Multi Currency Amount,0..1,,O2C,32,,gl-muc:multicurrencyDetail
1177,2,Composition,,Accounts Receivable Adjustment,,,Charged Tax,0..*,"Code for Tax1 type (for example, Sales, VAT). This field should agree with the Regulator Code field in the Tax Table YYYYMMDD",O2C,32,,
1178,2,Reference Association,,Accounts Receivable Adjustment,Debit,,Ledger Account Number,0..1,GL account number on which the debit side of the transaction has been posted.,O2C,32,TEXT100,gl-cor:accountMainID with gl-cor:accountPurposeDescription = 'debit-value' in a second account structure
1179,2,Reference Association,,Accounts Receivable Adjustment,Credit,,Ledger Account Number,0..1,GL account number on which the credit side of the transaction has been posted.,O2C,32,TEXT100,gl-cor:accountMainID with gl-cor:accountPurposeDescription = 'credit-value' in a second account structure
1180,2,Composition,,Accounts Receivable Adjustment,,,Segment,0..*,,O2C,32,,
1181,1,Class,,Accounts Receivable Adjustment Line,,,,0..1,"The AR Adjustment Lines YYYYMMDD YYYYMMDD file contains line item details for the invoices included in the file AR Adjustments YYYYMMDD YYYYMMDD. This file is optional, but it is preferred unless the quantity of data is unmanageable. The file will have one record for each invoice line item impacted by each adjustment.",O2C,33,,"gl-cor:entriesType value = 'other' [entriesType] is a mandatory field; [other] is an enumerated value.<br>gl-cor: entriesComment value = 'ads:AR_Adjustment_Lines_YYYYMMDD_YYYYMMDD' [entriesComment] is the descriptive field describing what is common in the collection of information; introducing audit data standard namespace and qualifier for type of collection ties it to this representation.<br>* As adjustments may reflect multiple underlying originating documents, association of each adjustment line will appear as an independent entryDetail to differentiate between adjustments and underlying originating documents."
1182,2,Reference Association,PK,Accounts Receivable Adjustment Line,,,Accounts Receivable Adjustment,0..1,"Unique identifier for the adjustment of record. This ID may need to be created by concatenating fields (for example, document number, document type, and year) to uniquely identify each transaction.",O2C,33,TEXT100,gl-cor:documentReference
1183,2,Reference Association,PK,Accounts Receivable Adjustment Line,,,Invoice Generated,0..1,"Unique identifier for each invoice. This ID may need to be created by concatenating fields (for example, document number, document type, and year) to uniquely identify each transaction. The same ID must be used for all tables with invoice data (Invoices Generated YYYYMMDD Y YYYMMDD, Open Accounts Receivable YYYYM MDD, AR Cash Application YYYYMMDD YYYYMMDD, and AR Adjustments YYYYMMDD YYYY MMDD). Leave blank if cash application is at customer (not invoice) level.",O2C,33,TEXT100,gl-taf:originatingDocumentNumer with gl-taf:originatingDocumentType = 'invoice'
1184,2,Reference Association,PK,Accounts Receivable Adjustment Line,,,Invoice Generated Lines,0..1,Line item number of the originating invoice to which the adjustment applies. Leave blank if cash application is at customer (not invoice) level.,O2C,33,TEXT10,gl-cor:lineNumber*
1185,2,Composition,,Accounts Receivable Adjustment Line,,,Multi Currency Amount,0..1,,O2C,33,,gl-muc:multicurrencyDetail
1186,2,Composition,,Accounts Receivable Adjustment Line,,,Charged Tax,0..*,"Code for Tax1 type (for example, Sales, VAT). This field should agree with the Regulator Code field in the Tax Table YYYYMMDD",O2C,33,,
1187,2,Reference Association,,Accounts Receivable Adjustment Line,Debit,,Ledger Account Number,0..1,GL account number on which the debit side of the transaction has been posted.,O2C,33,TEXT100,gl-cor:accountMainID with gl-cor:accountPurposeDescription mainAccountPurposeDescription = 'debit-value' in a second account structure
1188,2,Reference Association,,Accounts Receivable Adjustment Line,Credit,,Ledger Account Number,0..1,GL account number on which the credit side of the transaction has been posted.,O2C,33,TEXT100,gl-cor:accountMainID with gl-cor:accountPurposeDescription = 'credit-value' in a second account structure
1189,2,Composition,,Accounts Receivable Adjustment Line,,,Segment,0..*,,O2C,33,,
1190,1,Class,,Accounts Receivable Adjustment Type,,,,0..1,The AR Adjustment Type Listing YYYYMMDD file contains detailed descriptions of AR Adjustment Type codes.,O2C,33.5,,"XBRL GL uses enumerated values for the gl-cor:documentType to differentiate between different types of trade documents and related purposes. The difference between the entries in the Receipt_Type_Listing_YYYYMMDD and AR_Adjustment_Type_Listing will be by including gl-cor:documentType to indicate the type of receipt (for example, check, payment-other) for Receipt_Type_Listing_YYYYMMDD and the type of adjustment (for example, debitmemo, credit-emo, finance-charge, manual-adjustment) for the AR_Adjustment_Type_Listing_YYYYMMDD.<br>The enumerations most widely used in order-to-cash include<br>  check<br>  debit-memo<br>  credit-memo<br>  finance-charge<br>  invoice<br>  order-customer<br>  payment-other<br>  reminder<br>  tegata<br>  shipment<br>  receipt<br>  manual-adjustment<br>  other<br>gl-cor:entriesType value = 'other' [entriesType] is a mandatory field; [other] is an enumerated value.<br>gl-cor: entriesComment value = 'ads:AR_Adjustment_Type_Listing_YYYYMMDD' [entriesComment] is the descriptive field describing what is common in the collection of information; introducing audit data standard namespace and qualifier for type of collection ties it to this representation."
1191,2,Attribute,PK,Accounts Receivable Adjustment Type,AR Adjustment Type,Identifier,,0..1,The code value or indicator of the type of adjustment.,O2C,33.5,TEXT25,gl-bus:paymentMethod
1192,2,Attribute,,Accounts Receivable Adjustment Type,AR Adjustment Type Description,Text,,0..1,"The description of the code value indicating the type of transaction (for example, credit memo, debit memo, finance charge, other adjustments and so on).",O2C,33.5,TEXT100,gl-cor:documentTypeDescription
1193,1,Class,,Sales Order,,,,0..1,"The Sales Orders YYYYMMDD YYYYMMDD file contains, at a minimum, all sales orders placed during the period under review. Ideally this file also includes all sales orders, both current and prior periods, associated with transactions recorded during the period under review. However, because some of those sales orders could have been placed far in the past, the client and auditor should use their judgment in deciding which historical sales orders to include. The file will have one record for each sales order.",O2C,36,,gl-cor:entriesType value = 'other' [entriesType] is a mandatory field; [other] is an enumerated value.<br>gl-cor: entriesComment value = 'ads: Sales_Orders_YYYYMMDD_YYYYMMDD' [entriesComment] is the descriptive field describing what is common in the collection of information; introducing audit data standard namespace and qualifier for type of collection ties it to this representation.
1194,2,Attribute,PK,Sales Order,Sales Order ID,Identifier,,1,"Unique identifier for each sales order. This ID may need to be created by concatenating fields (for example, document number, document type, and year) to uniquely identify each sales order.",O2C,36,TEXT100,gl-cor:documentReference with gl-cor:documentType = 'order- customer'
1195,2,Attribute,,Sales Order,Sales Order Document ID,Code,,0..1,Identification number or code on the sales order.,O2C,36,TEXT100,gl-cor:documentNumber
1196,2,Attribute,,Sales Order,Sales Order Date,Date,,0..1,"The date of the sales order, regardless of the date the order is entered.",O2C,36,DATE,gl-cor:documentDate
1197,2,Attribute,,Sales Order,Sales Order Fiscal Year,Code,,0..1,"Fiscal year in which the Sales Order Date occurs:YYYY for delimited, CCYYMMDD fiscal year end (ISO 8601) for XBRL GL.",O2C,36,TEXT4,gl-bus:fiscalYearEnd
1198,2,Attribute,,Sales Order,Sales Order Period,Code,,0..1,"Fiscal period in which the Sales Order Date occurs. Examples include W1 - W53 for weekly periods, M1 - M12 for monthly periods, and Q1 - Q4 for quarterly periods.",O2C,36,TEXT10,gl-bus:postingCode
1199,2,Reference Association,,Sales Order,,,Business Unit,0..1,"Used to identify the business unit, region, branch, and so on at the level that financial statements are being audited. Must match a Business Unit Code in the Business Unit Listing file.",O2C,36,TEXT50,gl-bus:organizationIdentifier
1200,2,Reference Association,,Sales Order,,,Customer,0..1,Identifier of the customer from whom payment is expected or to whom unused credits have been applied. Must match a Customer Account ID in the Customer Master Listing YYYYMMDD file.,O2C,36,TEXT100,gl-cor:identifierCode with gl-cor:identifierType = 'customer'
1201,2,Composition,,Sales Order,,,Activity Records,0..1,,O2C,36,,
1202,2,,,Sales Order,NOTE: THE FOLLOWING FIELDS MAY BE OMITTED IF DETAILED (LINE ITEM) DATA IS PROVIDED,,,,,O2C,36,,
1203,2,Composition,,Sales Order,,,Local Currency Amount,0..1,,O2C,36,,
1204,2,Composition,,Sales Order,,,Segment,0..*,,O2C,36,,
1205,1,Class,,Sales Order Line,,,,0..1,"The Sales Orders Lines YYYYMMDD YYYYMMDD file contains line item detail for the sales orders included in the file Sales Orders YYYYMMDD YYYYMMDD. This file is optional, but is preferred unless the quantity of data is unmanageable. The file will have one record for each sales order line item.",O2C,37,,gl-cor:entriesType value = 'other' [entriesType] is a mandatory field; [other] is an enumerated value.<br>gl-cor:entriesComment value = 'ads:Sales_Orders_Lines_YYYYMMDD_YYYYMMDD' [entriesComment] is the descriptive field describing what is common in the collection of information; introducing audit data standard namespace and qualifier for type of collection ties it to this representation.
1206,2,Reference Association,PK,Sales Order Line,,,Sales Order,0..1,"Unique identifier for each sales order. This ID may need to be created by concatenating fields (for example, document number, document type, and year) to uniquely identify each transaction.",O2C,37,TEXT100,gl-cor:documentReference with gl-cor:documentType = 'order- customer'
1207,2,Attribute,PK,Sales Order Line,Sales Order Line ID,Identifier,,1,Identifier for sales order line number.,O2C,37,TEXT10,gl-cor:lineNumber
1208,2,Composition,,Sales Order Line,,,Inventory Product,0..1,"Unique identifier for each sales product. This ID may need to be created by concatenating fields (for example, business unit, product number, year, and so on) to uniquely identify each product.",O2C,37,TEXT25,
1209,2,Composition,,Sales Order Line,,,Quantity,0..1,Sales order line quantity.,O2C,37,NUMERIC,gl-bus:measurableQuantity
1210,2,Attribute,,Sales Order Line,Sales Order Line Unit of Measure,Code,,0..1,Sales order line base unit of measure.,O2C,37,TEXT25,gl-bus:measurableUnitOfMeasure
1211,2,Composition,,Sales Order Line,,,Unit Price Amount,0..1,Sales order line price per unit.,O2C,37,NUMERIC,gl-bus:measurableCostPerUnit
1212,2,Composition,,Sales Order Line,,,Local Currency Amount,0..1,,O2C,37,,
1213,2,Composition,,Sales Order Line,,,Segment,0..*,,O2C,37,,
1214,1,Class,,Invoice Generated,,,,0..1,"The Invoices Generated YYYYMMDD YYYYMMDD file contains, at a minimum, all invoices generated during the period under review. The auditor should use his or her judgment in deciding which historical invoices to include. The flat format file will have one record for each sales order associated with each invoice. For example, if an invoice includes items from three sales orders, there will be three records for that invoice - one for the items in the invoice associated with each of the three sales orders. XBRL GL leverages the gl-taf:originatingDocumentNumber to associate gl-cor:entryDetail lines with associated trade documents; however, the design can use separate gl-cor:entryHeader records for greater comparability with the flat-file format.",O2C,38,,"gl-cor:entriesType value = 'other' [entriesType] is a mandatory field; [other] is an enumerated value.<br>gl-cor: entriesComment value = 'ads:Invoices_Generated_YYYYMMDD_YYYYMMDD' [entriesComment] is the descriptive field describing what is common in the collection of information; introducing audit data standard namespace and qualifier for type of collection ties it to this representation.<br>* As invoices often reflect shipments, and shipments may cross orders, association of each invoice line from the order or shipment associated with the originating order number will appear as an independent entryDetail to differentiate between order lines (with originating order information) and invoice lines (without originating order information, associated by entry header groupings)."
1215,2,Attribute,PK,Invoice Generated,Invoice ID,Identifier,,1,"Unique identifier for each invoice. This ID may need to be created by concatenating fields (for example, document number, document type, and year) to uniquely identify each transaction. The same ID must be used for all tables with invoice data (Invoices Generated YYYYMMDD YYYYM MDD, Open Accounts Receivable YYYYMMDD, AR Cash Application YYYYMMDD YYYY MMDD, and AR Adjustments YYYYMMDD YYYYMMD D).",O2C,38,TEXT100,gl-cor:documentReference
1216,2,Attribute,,Invoice Generated,Invoice Number,Code,,0..1,Identification number for an internally generated invoice.,O2C,38,TEXT100,gl-cor:documentNumber with gl-cor:documentType = 'invoice'
1217,2,Attribute,,Invoice Generated,Invoice Date,Date,,0..1,"The date of the invoice, regardless of the date the invoice is entered. This is the date from which the due date is calculated based on the invoice terms.",O2C,38,DATE,gl-cor:documentDate
1218,2,Attribute,,Invoice Generated,Invoice Fiscal Year,Code,,0..1,"Fiscal year in which the Invoice Date occurs - YYYY for delimited, CCYY-MM-DD fiscal year end (ISO 8601) for extensible business reporting language global ledger taxonomy framework (XBRL GL).",O2C,38,TEXT4,gl-bus:fiscalYearEnd
1219,2,Attribute,,Invoice Generated,Invoice Period,Code,,0..1,"Fiscal period in which the Invoice Date occurs. Examples include W1 - W53 for weekly periods, M1 - M12 for monthly periods, and Q1 - Q4 for quarterly periods.",O2C,38,TEXT10,gl-bus:postingCode
1220,2,Attribute,,Invoice Generated,Invoice Due Date,Date,,0..1,The date payment is due from the customer. Aging of a receivable is usually calculated based on this date.,O2C,38,DATE,gl-cor:MaturityDate
1221,2,Reference Association,,Invoice Generated,,,Sales Order,0..1,"Sales order ID for invoiced items. Must match Sales Order ID in the Sales Orders YYYYMMDD YYYYMMDD file. If no sales order, leave blank.",O2C,38,TEXT100,gl-taf:originatingDocumentNumber with gl-taf:originatingDocumentType = 'order-customer'*
1222,2,Reference Association,,Invoice Generated,,,Business Unit,0..1,"Used to identify the business unit, region, branch, and so on at the level that financial statements are being audited. Must match a Business Unit Code in the Business Unit Listing file.",O2C,38,TEXT50,gl-cor:organizationidentifier
1223,2,Reference Association,,Invoice Generated,,,Customer,0..1,Identifier of the customer from whom payment is expected or to whom unused credits have been applied. Must match a Customer Account ID in the Customer Master Listing YYYYMMDD file.,O2C,38,TEXT100,gl-cor:identifierCode with gl-identifierType = 'customer'
1224,2,Attribute,,Invoice Generated,Terms Discount Percentage,Percentage,,0..1,"The discount percentage the customer may take if an invoice is paid before a certain number of days. In the flat file, terms are represented as digits to one decimal place (for example, 10% would be represented as 10.0). In extensible business reporting language global ledger taxonomy framework (XBRL GL), the three fields Terms Discount Percentage, Terms Discount Days and Terms Due Days would be entered in the form 'xx.x% dd Net dd,' such as 2% 10 Net 30 for 2% discount if paid within 10 days, with the net due in 30 days.",O2C,38,NUMERIC,gl-cor:terms
1225,2,Attribute,,Invoice Generated,Terms Discount Days,Numeric,,0..1,"The number of days from the invoice date the customer has to take advantage of discounted terms. Terms are represented as digits with no decimal places (for example, nnn).",O2C,38,NUMERIC,See description for field # 10
1226,2,Attribute,,Invoice Generated,Terms Due Days,Numeric,,0..1,The number of days allowed to meet the obligation before an invoice becomes overdue.,O2C,38,NUMERIC,See description for field # 10; explicit in gl-cor:maturityDate
1227,2,Composition,,Invoice Generated,,,Activity Records,0..1,,O2C,38,,
1228,2,Attribute,,Invoice Generated,Grouping Code,code,,0..1,"Grouping mechanism for related items in a batch or grouping of invoices, such as the invoice grouping found in certain ERP systems",O2C,38,TEXT100,gl-bus:batchID
1229,2,,,Invoice Generated,NOTE: THE FOLLOWING FIELDS MAY BE OMITTED IF DETAILED (LINE ITEM) DATA IS PROVIDED,,,,,O2C,38,,
1230,2,Composition,,Invoice Generated,,,Multi Currency Amount,0..1,,O2C,38,,gl-muc:multicurrencyDetail
1231,2,Composition,,Invoice Generated,,,Charged Tax,0..*,"Code for Tax1 type (for example, Sales, VAT). This field should agree with the Regulator Code field in the Tax Table YYYYMMDD",O2C,38,,
1232,2,Composition,,Invoice Generated,,,Segment,0..*,,O2C,38,,
1233,1,Class,,Invoice Generated Line,,,,0..1,"The Invoices Generated Lines YYYYMMDD YYYYMMDD file contains line item detail for the invoices included in the file Invoices Generated YYYYMMDD YYYYMMDD. This file is optional, but is preferred unless the quantity of data is unmanageable. The file will have one record for each invoice line item or sales order line item combination. Usually, each invoice line item will relate on only one sales order line item, and therefore this file will have one record for each invoice line item. In those rare cases in which an invoice line item relates to multiple sales order line items, this file will have one record for each sales order line item related to the invoice line item.",O2C,39,,"gl-cor:entriesType value = 'other' [entriesType] is a mandatory field; [other] is an enumerated value.<br>gl-cor: entriesComment value = 'ads:Invoices_Generated_Lines_YYYYMMDD_YYYYMMDD' [entriesComment] is the descriptive field describing what is common in the collection of information; introducing audit data standard namespace and qualifier for type of collection ties it to this representation.<br>* As invoices often reflect shipments and shipments may cross orders, association of each invoice line from the order or shipment associated with the originating order number will appear as an independent entryDetail to differentiate between order lines (with originating order information) and invoice lines (without originating order information, associated by entry header groupings.)"
1234,2,Reference Association,PK,Invoice Generated Line,,,Invoice Generated,0..1,"Unique identifier for each invoice. This ID may need to be created by concatenating fields (for example, document number, document type, and year) to uniquely identify each transaction. The same ID must be used for all tables with invoice data (Invoices Generated YYYYMMDD YY YYMMDD, Open Accounts Receivable YYYYMM DD, AR Cash Application YYYYMMDD Y YYYMMDD, and AR Adjustments YYYYMMDD YYYY MMDD).",O2C,39,TEXT100,gl-cor:documentReference
1235,2,Attribute,PK,Invoice Generated Line,Invoice Line ID,Identifier,,1,Line item number of the invoice.,O2C,39,TEXT10,gl-cor:lineNumber*
1236,2,Reference Association,,Invoice Generated Line,,,Sales Order,0..1,"Sales order ID for invoiced items. Must match Sales Order ID in the Sales Orders YYYYMMDD YYYYMM DD file. If no sales order, leave blank.",O2C,39,TEXT100,"gl-taf:originatingDocumentNumber with gl-taf:originatingDocumentType = 'order-customer' * As invoices often reflect shipments and shipments may cross orders, association of each invoice line from the order or shipment associated with the originating order number will appear as an independent entryDetail to differentiate between order lines (with originating order information) and invoice lines (without originating order information, associated by entry header groupings.) "
1237,2,Reference Association,,Invoice Generated Line,,,Sales Order Line,0..1,"Identifier for sales order line number. Must match Sales Order Line ID used in Sales Orders Lines YYYYMMDD YY YYMMDD file. If no sales order, leave blank.",O2C,39,TEXT10,gl-cor:lineNumber*
1238,2,Reference Association,,Invoice Generated Line,,,Inventory Product,0..1,Identifier that is unique for each sales product.,O2C,39,TEXT25,gl-bus:measurableID
1239,2,Attribute,,Invoice Generated Line,Invoice Product Description,Text,,0..1,Product (plain English) description to indicate the name or other identifying characteristics of the product.,O2C,39,TEXT100,gl-bus:measurableDescription
1240,2,Attribute,,Invoice Generated Line,Invoice Product Group 01,Code,,0..1,"Product descriptor #1, for example, tires or accessories.",O2C,39,TEXT25,gl-bus:measurableCodeDescription
1241,2,Attribute,,Invoice Generated Line,Invoice Product Group 02,Code,,0..1,"Product descriptor #2, for example, brand.",O2C,39,TEXT25,gl-bus:measurableCategory
1242,2,Composition,,Invoice Generated Line,,,Multi Currency Amount,0..1,,O2C,39,,gl-muc:multicurrencyDetail
1243,2,Attribute,,Invoice Generated Line,Grouping Code,,,0..1,"Grouping mechanism for related items in a batch or grouping of invoices, such as the invoice grouping found in certain ERP systems",O2C,39,TEXT100,gl-bus:batchID
