No.,Level,Property type,Identifier,Class,Property term,Representation term,Associated class,Mult.,Definition,ISO 21378 Module,ISO 21378 Table,Value Domain
529,2,Attribute,,Invoice,Due Date,Date,,0..1,The date by which payment for an invoice is required.,General,,DATE
530,2,Attribute,,Invoice,Terms Discount Percentage,Decimal,,0..1,The percentage of discount offered by a supplier when payment is made within the specified discount days.,General,,Percent
531,2,Attribute,,Invoice,Terms Discount Days,Integer,,0..1,The number of days from the invoice date that the customer is eligible for the discount if payment is made.,General,,INTEGER
532,2,Attribute,,Invoice,Terms Due Days,Integer,,0..1,The standard time period in days before a customer's payment is considered overdue.,General,,INTEGER
533,2,Attribute,,Invoice,Grouping Code,Char,,0..1,The code that aggregates related invoices for consolidated processing or organizational purposes within an ERP system.,General,,Char Long
534,2,Attribute,,Invoice,Status,Code,,0..1,The current state of the invoice's lifecycle.,General,,STATUS CODE
535,2,Attribute,,Invoice,Remark,Text,,0..1,Annotations or supplemental information for an invoice.,General,,Text Medium
536,2,Composition,,Invoice,,,Activities,0..1,"A class capturing a record of system user actions within an auditee's system, which includes instances of entry, approval, last modification, and posting of data or transactions.",General,,
537,2,Composition,,Invoice,Transaction,,Amount,0..1,"The total monetary amount of all items on an invoice, summing the transaction amounts of individual lines.",General,,
538,2,Composition,,Invoice,,,Tax,0..*,"The class maintaining records of tax implications and obligations, essential for legal compliance and financial planning.",General,,
539,2,Reference Association,,Invoice,,,Accounting Period,0..1,"A specific duration within a fiscal year, delineated by its beginning and ending dates. It serves as the timeframe during which business transactions and entries are accumulated and organized into financial statements and reports.",General,,
540,2,Reference Association,,Invoice,,,Business Segment,0..*,A class signifies the structural units depicted within an organizational chart. It serves to illustrate relationships with business partners and conveys various business contexts.,General,,
541,2,Reference Association,,Invoice,,,Payment Term,0..1,"A class details conditions related to sales or purchase agreements, including payment instruments, credit periods, and discount terms.",General,,
542,2,Reference Association,,Invoice,,,Settlement Method,0..1,"A class describing various methodologies adopted by the business to settle transactions, which can range from cash payments to bank transfers.",General,,
543,1,Abstract Class,,Invoice Line,,,,,An abstract class that details individual charges or items on an invoice.,General,,
544,2,Attribute,PK,Invoice Line,ID,Identifier,,1..1,The unique identifier for a line within an invoice.,General,,Identifier Medium
545,2,Attribute,,Invoice Line,Number,Char,,0..1,The number for a particular line of an invoice.,General,,Char Short
546,2,Attribute,,Invoice Line,Grouping Code,Char,,0..1,The code that consolidates related line items within an invoice for batch processing or organizational purposes within an ERP system.,General,,Char Long
547,2,Composition,,Invoice Line,Tax Exclude,,Amount,0..1,"The monetary amount of an invoice line item before tax inclusion, recorded in the transaction currency.",General,,
548,2,Composition,,Invoice Line,Tax Exclude Unit Price,,Amount,0..1,"The unit price of an invoice line item before tax, recorded in the transaction currency.",General,,
549,2,Composition,,Invoice Line,Tax Include,,Amount,0..1,"The monetary amount of an invoice line item with tax included, recorded in the transaction currency.",General,,
550,2,Composition,,Invoice Line,Tax Include Unit Price,,Amount,0..1,"The unit price for an invoice line item with tax, recorded in the transaction currency.",General,,
551,2,Composition,,Invoice Line,Transaction,,Amount,0..1,"The monetary amount of a single item within an invoice, representing the transaction amount for that specific line.",General,,
552,2,Composition,,Invoice Line,Basic UOM,,Quantity,0..1,The quantity of items on an invoice line as measured by the basic unit of measure.,General,,
553,2,Composition,,Invoice Line,Invoice,,Quantity,0..1,The quantity of items listed on an invoice line.,General,,
554,2,Composition,,Invoice Line,,,Tax,0..*,"A class maintaining records of tax implications and obligations, essential for legal compliance and financial planning.",General,,
555,2,Reference Association,,Invoice Line,,,Business Segment,0..*,A class signifies the structural units depicted within an organizational chart. It serves to illustrate relationships with business partners and conveys various business contexts.,General,,
556,2,Reference Association,,Invoice Line,,,Inventory Product,0..1,The inventory product detailed in an invoice line item.,General,,
557,2,Reference Association,,Invoice Line,Credit,,Ledger Account,0..1,The ledger account associated with credit transactions on invoice lines.,General,,
558,2,Reference Association,,Invoice Line,Debit,,Ledger Account,0..1,The ledger account associated with debit transactions on inThe ledger account that is part of a subsidiary grouping within an account hierarchy.voice lines.,General,,
559,1,Class,,Journal Entry Type,,,,,A class details the types of journal entries in the General Ledger such as cash receipts and cash disbursements.,Base,24,
560,2,Attribute,PK,Journal Entry Type,Code,Identifier,,1..1,The unique code specifying the type of journal entry.,Base,24,Identifier Medium
561,2,Attribute,,Journal Entry Type,Name,Name,,0..1,The label that identifies the category of a journal entry within the accounting system.,Base,24,Name Short
562,2,Attribute,,Journal Entry Type,Abbreviation,Char,,0..1,The shortened for the label that identifies the category of a journal entry within the accounting system.m representing the type of a journal entry.,Base,24,Char Short
563,2,Attribute,,Journal Entry Type,Active Indicator,Indicator,,0..1,The flag indicating if a journal entry type is currently valid for recording transactions.,Base,24,Indicator
564,1,Class,,Ledger Account,,,,,A class stores information about General Ledger accounts.,Base,20,
565,2,Attribute,PK,Ledger Account,Account Number,Identifier,,1..1,"The unique identifier assigned to a general ledger account, categorically coded to align with established accounting principles and the specific characteristics of the business.",Base,20,LEDGER ACCOUNT NUMBER
566,2,Attribute,,Ledger Account,Account Name,Name,,0..1,The official title assigned to a general ledger account that uniquely identifies it within an accounting framework.,Base,20,Name Medium
567,2,Attribute,,Ledger Account,Description,Text,,0..1,The descriptive label or text providing additional details about a general ledger account that corresponds to the General Ledger Account Number.,Base,20,Text Medium
568,2,Attribute,,Ledger Account,Financial Statement Caption,Char,,0..1,"The label utilized within financial statements to aggregate and present related financial account details, facilitating the organization and understanding of a company's financial data as reported in its financial statements.",Base,20,Char Long
569,2,Attribute,,Ledger Account,Account Type,Char,,0..1,The classification of an account reflecting its nature and purpose.,Base,20,ACCOUNT TYPE
570,2,Attribute,,Ledger Account,Account Subtype,Char,,0..1,The classification detailing a more specific categorization within an account type.,Base,20,ACCOUNT TYPE
571,2,Attribute,,Ledger Account,Account Hierarchy,Code,,0..1,The class representing the structured levels of account classification within an organization's accounting system.,Base,20,ACCOUNT HIERARCHY
572,2,Attribute,,Ledger Account,Balance Debit Or Credit Code,Code,,0..1,"The classification identifying the natural balance of an account, denoted by 'D' for a debit balance, or 'C' for a credit balance.",Base,20,DEBIT CREDIT CODE
573,2,Attribute,,Ledger Account,Active Indicator,Indicator,,0..1,The flag indicating if a general ledger account is currently open and being used for accounting.,Base,20,Indicator
574,2,Reference Association,,Ledger Account,,,Business Segment,0..*,A class signifies the structural units depicted within an organizational chart. It serves to illustrate relationships with business partners and conveys various business contexts.,Base,20,
575,1,Class,,Ledger Account Hierarchy,,,,,A class records the structural relationships between individual ledger accounts.,Base,20,
576,2,Reference Association,PK,Ledger Account Hierarchy,Child,,Ledger Account,1..1,The ledger account that is part of a subsidiary grouping within an account hierarchy.,Base,20,
577,2,Reference Association,PK,Ledger Account Hierarchy,Parent,,Ledger Account,1..1,The primary ledger account that heads a grouping within an account hierarchy.,Base,20,
578,1,Class,,Measurement Unit,,,,,A class documents the units of measure utilized across various business documents and accounting ledgers.,Base,32,
579,2,Attribute,PK,Measurement Unit,UOM Code,Identifier,,1..1,The unique code for the unit of measure used in transactions.,Base,32,MEASUREMENT UNIT CODE
580,2,Attribute,,Measurement Unit,UOM Name,Name,,0..1,The designation of the measurement unit used for quantifying materials or other entities.,Base,32,Name Medium
581,2,Attribute,,Measurement Unit,UOM Abbreviation,Char,,0..1,An abbreviation representing the name of a measurement unit.,Base,32,Char Short
582,2,Attribute,,Measurement Unit,Active Indicator,Indicator,,0..1,The flag indicating if a unit of measure is currently employed for tracking and transactions.,Base,32,Indicator
583,1,Abstract Class,,Order,,,,,An abstract class that summarizes requests for goods or services.,General,,
584,2,Attribute,PK,Order,ID,Identifier,,1..1,The unique identifier for an order.,General,,Identifier Long
585,2,Attribute,,Order,Number,Char,,0..1,"The number for an order, generated manually or by the system.",General,,Char Long
586,2,Attribute,,Order,Type Name,Name,,0..1,The label that specifies the type of order within sales or purchasing activities.,General,,Name Medium
587,2,Attribute,,Order,Date,Date,,0..1,"The date on which a purchase order is made effective, distinct from the date of system entry.",General,,DATE
588,2,Attribute,,Order,Status,Code,,0..1,The current state of the order's lifecycle.,General,,STATUS CODE
589,2,Attribute,,Order,Remark,Text,,0..1,Annotations or supplemental information for an order.,General,,Text Medium
590,2,Composition,,Order,,,Activities,0..1,"A class capturing a record of system user actions within an auditee's system, which includes instances of entry, approval, last modification, and posting of data or transactions.",General,,
591,2,Composition,,Order,Transaction,,Amount,0..1,"The total monetary amount for all lines within an order, recorded in the transaction currency specified for the entire order.",General,,
592,2,Reference Association,,Order,,,Accounting Period,0..1,"A specific duration within a fiscal year, delineated by its beginning and ending dates. It serves as the timeframe during which business transactions and entries are accumulated and organized into financial statements and reports.",General,,
593,2,Reference Association,,Order,,,Business Segment,0..*,A class signifies the structural units depicted within an organizational chart. It serves to illustrate relationships with business partners and conveys various business contexts.,General,,
594,2,Reference Association,,Order,,,Payment Term,0..1,"A class details conditions related to sales or purchase agreements, including payment instruments, credit periods, and discount terms.",General,,
595,2,Reference Association,,Order,,,Settlement Method,0..1,"A class describing various methodologies adopted by the business to settle transactions, which can range from cash payments to bank transfers.",General,,
596,1,Abstract Class,,Order Line,,,,,An abstract class that details individual requests or items within an order.,General,,
597,2,Attribute,PK,Order Line,ID,Identifier,,1..1,The unique identifier for a line item within an order.,General,,Identifier Medium
598,2,Attribute,,Order Line,Number,Char,,0..1,"The number for a specific line within an order, generated manually or by the system.",General,,Char Short
599,2,Attribute,,Order Line,Payer ID,Char,,0..1,The unique identifier for the entity responsible for making payment on an order line.,General,,Char Medium
600,2,Attribute,,Order Line,Due Date,Date,,0..1,The ultimate date by which the order is requested.,General,,DATE
601,2,Attribute,,Order Line,Status,Code,,0..1,The current state of the order line item's lifecycle.,General,,STATUS CODE
602,2,Composition,,Order Line,Tax Exclude,,Amount,0..1,"The monetary amount of an order line item excluding tax, recorded in the transaction currency.",General,,
603,2,Composition,,Order Line,Tax Exclude Unit Price,,Amount,0..1,"The unit price of an order line item excluding tax, recorded in the transaction currency.",General,,
604,2,Composition,,Order Line,Tax Include,,Amount,0..1,"The monetary amount of an order line item including tax, recorded in the transaction currency.",General,,
605,2,Composition,,Order Line,Tax Include Unit Price,,Amount,0..1,"The unit price of an order line item including tax, recorded in the transaction currency.",General,,
606,2,Composition,,Order Line,Transaction,,Amount,0..1,"The monetary amount of a single line within an order, recorded in the transaction currency specified for that order line.",General,,
607,2,Composition,,Order Line,,,Quantity,0..1,The quantity of items listed on an order line.,General,,
608,2,Composition,,Order Line,Basic UOM,,Quantity,0..1,The quantity of items on an order line as measured by the basic unit of measure.,General,,
609,2,Composition,,Order Line,,,Tax,0..*,"A class maintaining records of tax implications and obligations, essential for legal compliance and financial planning.",General,,
610,2,Reference Association,,Order Line,,,Business Segment,0..*,A class signifies the structural units depicted within an organizational chart. It serves to illustrate relationships with business partners and conveys various business contexts.,General,,
611,2,Reference Association,,Order Line,Settlement Organization,,Business Segment,0..1,The business segment of the organization responsible for the settlement of an order line.,General,,
612,2,Reference Association,,Order Line,,,Inventory Product,0..1,The inventory product listed on an order line item.,General,,
730,1,Class,,Payment Term,,,,,"A class details conditions related to sales or purchase agreements, including payment instruments, credit periods, and discount terms.",Base,34,
731,2,Attribute,PK,Payment Term,Code,Identifier,,1..1,The unique code denoting the terms of payment.,Base,34,PAYMENT TERM CODE
732,2,Attribute,,Payment Term,Name,Name,,0..1,The official designation of a set of payment terms.,Base,34,Name Long
733,2,Attribute,,Payment Term,Number,Char,,0..1,The number for the position of a line within a set of payment terms.,Base,34,Char Short
734,2,Attribute,,Payment Term,Description,Text,,0..1,The text that describes the conditions of a specific line within a payment term.,Base,34,Text Medium
735,2,Attribute,,Payment Term,Active Indicator,Indicator,,0..1,The flag indicating if a set of payment terms is currently applicable for use in transactions.,Base,34,Indicator
750,1,Class,,Project,,,,,"A class designed for specific projects that can vary from construction to research and may receive public or private funding. It methodically logs key information such as organizational hierarchy, strategic approaches, processes, steps taken, records, budgetary outlines, actual expenses, and the progress made toward set goals.",Base,36,
751,2,Attribute,PK,Project,ID,Identifier,,1..1,The unique identifier for a project.,Base,36,Identifier Medium
752,2,Attribute,,Project,Code,Char,,0..1,The unique identifier assigned to a project.,Base,36,Char Long
753,2,Attribute,,Project,Name,Name,,0..1,The designated title of a project within the context of operations and administration.,Base,36,Name Medium
754,2,Attribute,,Project,Beginning Date,Date,,0..1,The date on which a project is scheduled to start.,Base,36,DATE
755,2,Attribute,,Project,Ending Date,Date,,0..1,The date on which a project is scheduled to conclude.,Base,36,DATE
756,2,Attribute,,Project,Active Indicator,Indicator,,0..1,The flag indicating if a project is currently ongoing and recognized within the operational scope.,Base,36,Indicator
757,2,Reference Association,,Project,,,Business Segment,0..*,A class signifies the structural units depicted within an organizational chart. It serves to illustrate relationships with business partners and conveys various business contexts.,Base,36,
758,1,Class,,Purchase Contract,,,,,A class representing an agreement with a vendor for the provision of goods or services within a specified period.,Purchase,104,
759,2,Specialization,,Purchase Contract,,,Contract,1..1,"A legal agreement between a buyer and a seller pertaining to the procurement of goods or services, detailing the terms and conditions of the purchase.",Purchase,104,
760,2,Composition,,Purchase Contract,,,Purchase Contract Line,0..*,"A class detailing each item within a purchase contract, specifying materials, quantities, suppliers, unit prices, and total trade amounts.",Purchase,104,
761,2,Reference Association,,Purchase Contract,Purchase Organization,,Business Segment,0..1,The business segment pertaining to the organization that manages purchase contracts.,Purchase,104,
762,2,Reference Association,,Purchase Contract,Purchaser,,Employee,0..1,The employee who is designated as the purchaser in a purchase contract.,Purchase,104,
763,2,Reference Association,,Purchase Contract,,,Supplier,0..1,A class containing essential information about suppliers.,Purchase,104,
764,1,Class,,Purchase Contract Line,,,,,A class containing essential information about suppliers.,Purchase,106,
765,2,Specialization,,Purchase Contract Line,,,Contract Line,1..1,A specific item within a purchase contract that outlines details pertaining to the individual purchase agreement.,Purchase,106,
766,2,Reference Association,,Purchase Contract Line,Receipt Organization,,Business Segment,0..1,The business segment related to the organization that handles the receipt of purchase contract lines.,Purchase,106,
767,1,Class,,Purchase Invoice,,,,,A class representing a vendor-issued document that details charges for goods or services provided within a specified period.,Purchase,112,
768,2,Specialization,,Purchase Invoice,,,Invoice,1..1,A class contains the summary information for the invoices.,Purchase,112,
769,2,Composition,,Purchase Invoice,,,Purchase Invoice Line,0..*,"A class describing the specifics of each invoice line received during the period under review, used to validate that invoiced items match ordered and received goods in the three-way matching process.",Purchase,112,
770,2,Reference Association,,Purchase Invoice,Settlement Organization,,Business Segment,0..1,The business segment associated with the organization that settles purchase invoices.,Purchase,112,
771,2,Reference Association,,Purchase Invoice,,,Supplier,0..1,A class containing essential information about suppliers.,Purchase,112,
772,1,Class,,Purchase Invoice Line,,,,,A class representing detailed charges for individual goods or services provided as listed on a purchase invoice.,Purchase,114,
773,2,Specialization,,Purchase Invoice Line,,,Invoice Line,1..1,The inventory product line item on a purchase invoice.,Purchase,114,
774,2,Reference Association,,Purchase Invoice Line,Purchase,,Measurement Unit,0..1,The unit of measure for the quantity of an inventory product specified on a purchase invoice line.,Purchase,114,
775,2,Reference Association,,Purchase Invoice Line,,,Purchase Order,0..1,"A class capturing purchase orders placed during the period under review, serving as a control point in the three-way matching process for accounts payable, ensuring orders are matched with invoices and received goods.",Purchase,114,
776,2,Reference Association,,Purchase Invoice Line,,,Purchase Order Line,0..1,"A class containing details of each purchase order line placed during the period under review, fundamental for the three-way matching process that compares these details against invoices and goods receipt documentation.",Purchase,114,
777,1,Class,,Purchase Materials Received,,,,,A class capturing the details of goods received against purchase orders within a specified period.,Purchase,116,
778,2,Attribute,PK,Purchase Materials Received,ID,Identifier,,1..1,The unique identifier for a particular materials receipt transaction.,Purchase,116,Identifier Long
779,2,Attribute,,Purchase Materials Received,Number,Char,,0..1,The number for a receipt documenting the reception of purchased materials.,Purchase,116,Char Long
780,2,Attribute,,Purchase Materials Received,Date,Date,,0..1,The date when materials purchased by the company are recorded as received.,Purchase,116,DATE
781,2,Attribute,,Purchase Materials Received,Reference Number,Char,,0..1,"The number for a materials receipt, such as a company reference or official logistics waybill number.",Purchase,116,Char Long
782,2,Attribute,,Purchase Materials Received,Shipping Method,Char,,0..1,"The specific process or service selected to convey goods from sender to receiver, applicable to both outbound and inbound logistics.",Purchase,116,Char Medium
783,2,Attribute,,Purchase Materials Received,Shipping Company,Name,,0..1,"A shipping company is an entity engaged in the transportation of goods across various modes of transport, providing logistical and support services to ensure safe and timely delivery.",Purchase,116,Name Short
784,2,Attribute,,Purchase Materials Received,Adjustment Indicator,Indicator,,0..1,The indicator signifying that the transaction reflects a shipment adjustment rather than the original shipment,Purchase,116,Indicator
785,2,Attribute,,Purchase Materials Received,Adjustment Description,Text,,0..1,"Textual clarification provided when changes are made to a recorded receipt, specifying the cause and nature of the adjustment.",Purchase,116,Text Medium
786,2,Composition,,Purchase Materials Received,,,Activities,0..1,"A class capturing a record of system user actions within an auditee's system, which includes instances of entry, approval, last modification, and posting of data or transactions.",Purchase,116,
787,2,Composition,,Purchase Materials Received,Transaction,,Amount,0..1,"The cumulative monetary amount for all materials received within a purchase, recorded in the transaction currency specified for the entire receipt.",Purchase,116,
788,2,Composition,,Purchase Materials Received,,,Purchase Materials Received Line,0..*,"A class providing the details of each material line received during the period under review, essential for the three-way matching process that checks received quantities and conditions against the purchase order specifications.",Purchase,116,
789,2,Reference Association,,Purchase Materials Received,,,Accounting Period,0..1,"A specific duration within a fiscal year, delineated by its beginning and ending dates. It serves as the timeframe during which business transactions and entries are accumulated and organized into financial statements and reports.",Purchase,116,
790,2,Reference Association,,Purchase Materials Received,,,Business Segment,0..*,A class signifies the structural units depicted within an organizational chart. It serves to illustrate relationships with business partners and conveys various business contexts.,Purchase,116,
791,2,Reference Association,,Purchase Materials Received,Receipt Organization,,Business Segment,0..1,The business segment of the organization that receives purchased materials.,Purchase,116,
792,2,Reference Association,,Purchase Materials Received,,,Purchase Order,0..1,"A class capturing purchase orders placed during the period under review, serving as a control point in the three-way matching process for accounts payable, ensuring orders are matched with invoices and received goods.",Purchase,116,
793,2,Reference Association,,Purchase Materials Received,,,Supplier,0..1,A class containing essential information about suppliers.,Purchase,116,
794,1,Class,,Purchase Materials Received Line,,,,,"A class detailing the specifics of each item received, including the quantity, unit price, and total amount related to the purchase.",Purchase,118,
795,2,Attribute,PK,Purchase Materials Received Line,ID,Identifier,,1..1,The unique identifier for a specific line within a materials receipt record.,Purchase,118,Identifier Medium
796,2,Attribute,,Purchase Materials Received Line,Number,Char,,0..1,The number for a specific line within a materials receipt document.,Purchase,118,Char Long
797,2,Composition,,Purchase Materials Received Line,Transaction,,Amount,0..1,"The monetary amount for a line of received materials within a purchase, recorded in the transaction currency specified for the receipt of that line.",Purchase,118,
798,2,Composition,,Purchase Materials Received Line,Unit Price,,Amount,0..1,"The monetary amount per unit for a line of materials received as part of a purchase, recorded in the transaction currency specified for the receipt line.",Purchase,118,
799,2,Composition,,Purchase Materials Received Line,,,Quantity,0..1,The quantity of items recorded as received on a purchase receipt line.,Purchase,118,
800,2,Reference Association,,Purchase Materials Received Line,,,Business Segment,0..*,A class signifies the structural units depicted within an organizational chart. It serves to illustrate relationships with business partners and conveys various business contexts.,Purchase,118,
801,2,Reference Association,,Purchase Materials Received Line,,,Inventory Product,0..1,The inventory product specified in a purchase materials received line item.,Purchase,118,
802,2,Reference Association,,Purchase Materials Received Line,,,Purchase Order Line,0..1,"The class containing details of each purchase order line placed during the period under review, fundamental for the three-way matching process that compares these details against invoices and goods receipt documentation.",Purchase,118,
803,1,Class,,Purchase Order,,,,,A class representing a formal request to a vendor for the supply of goods or services within a specified period.,Purchase,108,
804,2,Specialization,,Purchase Order,,,Order,1..1,The documented request for the supply of products or services generated by a purchaser.,Purchase,108,
805,2,Composition,,Purchase Order,,,Purchase Order Line,0..*,"A class containing details of each purchase order line placed during the period under review, fundamental for the three-way matching process that compares these details against invoices and goods receipt documentation.",Purchase,108,
806,2,Reference Association,,Purchase Order,Purchase Organization,,Business Segment,0..1,The business segment involved with the organization placing the purchase order.,Purchase,108,
807,2,Reference Association,,Purchase Order,Purchaser,,Employee,0..1,The employee designated as the purchaser on a purchase order.,Purchase,108,
808,2,Reference Association,,Purchase Order,,,Supplier,0..1,A class containing essential information about suppliers.,Purchase,108,
809,1,Class,,Purchase Order Line,,,,,A class representing the detailed specifications for goods or services requested in a purchase order.,Purchase,110,
810,2,Specialization,,Purchase Order Line,,,Order Line,1..1,The individual entry on a purchase order that details a product or service requested.,Purchase,110,
811,2,Reference Association,,Purchase Order Line,Receipt Organization,,Business Segment,0..1,The business segment associated with the organization responsible for receiving order line items.,Purchase,110,
812,2,Reference Association,,Purchase Order Line,,,Project,0..1,"A class that records the comprehensive details of a project, related to purchase order lines.",Purchase,110,
813,2,Reference Association,,Purchase Order Line,,,Purchase Contract,0..1,"A class encapsulating the aggregate details of purchase contracts including involved parties, terms, and specifics of the items to be procured.",Purchase,110,
814,2,Reference Association,,Purchase Order Line,,,Purchase Contract Line,0..1,"A class detailing each item within a purchase contract, specifying materials, quantities, suppliers, unit prices, and total trade amounts.",Purchase,110,
815,2,Reference Association,,Purchase Order Line,,,Purchase Requisition,0..1,"A class summarizing requests to procure goods or services, indicating organizational needs during the review period.",Purchase,110,
816,2,Reference Association,,Purchase Order Line,,,Purchase Requisition Line,0..1,"A class detailing each requested item in a purchase requisition, outlining quantities and intended purchase details.",Purchase,110,
817,1,Class,,Purchase Requisition,,,,,A class representing an internal document requesting the procurement of goods or services.,Purchase,100,
818,2,Attribute,PK,Purchase Requisition,ID,Identifier,,1..1,The unique identifier for a purchase requisition.,Purchase,100,Identifier Medium
819,2,Attribute,,Purchase Requisition,Number,Char,,0..1,The number for a material purchase requisition document.,Purchase,100,Char Long
820,2,Attribute,,Purchase Requisition,Date,Date,,0..1,The date on which a purchase requisition is officially submitted.,Purchase,100,DATE
821,2,Attribute,,Purchase Requisition,Status,Code,,0..1,The current state of the purchase requisition's lifecycle.,Purchase,100,STATUS CODE
822,2,Attribute,,Purchase Requisition,Remark,Text,,0..1,Annotations or supplemental information for a purchase requisition.,Purchase,100,Text Medium
823,2,Composition,,Purchase Requisition,,,Activities,0..1,"A class capturing a record of system user actions within an auditee's system, which includes instances of entry, approval, last modification, and posting of data or transactions.",Purchase,100,
824,2,Composition,,Purchase Requisition,,,Purchase Requisition Line,0..*,"A class detailing each requested item in a purchase requisition, outlining quantities and intended purchase details.",Purchase,100,
825,2,Reference Association,,Purchase Requisition,,,Business Segment,0..*,A class signifies the structural units depicted within an organizational chart. It serves to illustrate relationships with business partners and conveys various business contexts.,Purchase,100,
826,1,Class,,Purchase Requisition Line,,,,,A class representing the specifics of goods or services requested in a purchase requisition.,Purchase,102,
827,2,Attribute,PK,Purchase Requisition Line,ID,Identifier,,1..1,The unique identifier for a line within a purchase requisition.,Purchase,102,Identifier Medium
828,2,Attribute,,Purchase Requisition Line,Number,Char,,0..1,The number for a specific line within a purchase requisition document.,Purchase,102,Char Short
829,2,Attribute,,Purchase Requisition Line,Due Date,Date,,0..1,The final date on which delivery of materials specified in a purchase requisition is requested.,Purchase,102,DATE
830,2,Attribute,,Purchase Requisition Line,Status,Code,,0..1,The current state of the purchase requisition line item's lifecycle.,Purchase,102,STATUS CODE
831,2,Composition,,Purchase Requisition Line,Approved,,Quantity,0..1,The quantity of items that have been authorized on a purchase requisition line.,Purchase,102,
832,2,Composition,,Purchase Requisition Line,Requisition,,Quantity,0..1,The quantity of items requested on a purchase requisition line.,Purchase,102,
833,2,Reference Association,,Purchase Requisition Line,,,Business Segment,0..*,A class signifies the structural units depicted within an organizational chart. It serves to illustrate relationships with business partners and conveys various business contexts.,Purchase,102,
834,2,Reference Association,,Purchase Requisition Line,Purchase Organization,,Business Segment,0..1,The business segment relevant to the organization requesting the purchase through a requisition line.,Purchase,102,
835,2,Reference Association,,Purchase Requisition Line,Requisition Organization,,Business Segment,0..1,The business segment concerning the requisition of specific line items in a purchase order.,Purchase,102,
836,2,Reference Association,,Purchase Requisition Line,,,Inventory Product,0..1,The inventory product listed on a purchase requisition line item.,Purchase,102,
837,2,Reference Association,,Purchase Requisition Line,Purchase,,Measurement Unit,0..1,The unit of measure for the quantity of an inventory product requested on a purchase requisition line.,Purchase,102,
838,2,Reference Association,,Purchase Requisition Line,,,Project,0..1,A class that outlines the comprehensive details of a project in the context of purchase requisitions.,Purchase,102,
839,2,Reference Association,,Purchase Requisition Line,,,Supplier,0..1,A class containing essential information about suppliers.,Purchase,102,
840,1,Class,,Quantity,,,,,"A class that measures the extent, size, or amount of items, including the unit of measurement.",General,,
841,2,Attribute,,Quantity,Value,Decimal,,0..1,The numerical amount of a specified item or resource.,General,,QUANTITY
842,2,Reference Association,,Quantity,,,Measurement Unit,0..1,The base unit of measure used to quantify a meaured value.,General,,
843,1,Class,,Sales Contract,,,,,"A legal agreement between a seller and a buyer related to the sale of goods or services, specifying the obligations and rights of both parties involved in the transaction.",Sales,72,
844,2,Specialization,,Sales Contract,,,Contract,1..1,"A legal agreement between a seller and a buyer related to the sale of goods or services, specifying the obligations and rights of both parties involved in the transaction.",Sales,72,
845,2,Composition,,Sales Contract,,,Sales Contract Line,0..*,"A class detailing the terms of individual items within a sales contract, including product details and financial terms.",Sales,72,
846,2,Reference Association,,Sales Contract,Sales Organization,,Business Segment,0..1,The business segment involving the organization responsible for sales contracts.,Sales,72,
847,2,Reference Association,,Sales Contract,,,Customer,0..1,A class that records broad customer information related to sales contracts.,Sales,72,
848,2,Reference Association,,Sales Contract,Salesperson,,Employee,0..1,The employee acting as a salesperson in a sales contract.,Sales,72,
849,1,Class,,Sales Contract Line,,,,,A class representing the specifics of goods or services agreed upon in a sales contract.,Sales,74,
850,2,Specialization,,Sales Contract Line,,,Contract Line,1..1,A specific item within a sales contract that details the individual terms related to the sale of goods or services.,Sales,74,
851,2,Reference Association,,Sales Contract Line,Dispatch Organization,,Business Segment,0..1,The business segment of the organization tasked with the dispatch of sales contract line items.,Sales,74,
852,1,Class,,Sales Invoice,,,,,A class representing a document that details charges for goods or services delivered to a customer within a specified period.,Sales,80,
853,2,Specialization,,Sales Invoice,,,Invoice,1..1,A class contains the summery information for the invoices.,Sales,80,
854,2,Composition,,Sales Invoice,,,Sales Invoice Line,0..*,"A class detailing individual products on sales invoices, integral to the three-way matching process that ensures billing accuracy and proper revenue reporting.",Sales,80,
855,2,Reference Association,,Sales Invoice,,,Customer,0..1,A class that records comprehensive customer information pertaining to sales invoices.,Sales,80,
856,1,Class,,Sales Invoice Line,,,,,A class representing detailed charges for individual goods or services delivered as listed on a sales invoice.,Sales,82,
857,2,Specialization,,Sales Invoice Line,,,Invoice Line,1..1,The inventory product line item on a sales invoice.,Sales,82,
858,2,Reference Association,,Sales Invoice Line,,,Sales Order,0..1,"A class capturing the details of sales orders, which form the basis for the three-way matching process by providing a record to match against customer deliveries and invoicing for transaction validation.",Sales,82,
859,2,Reference Association,,Sales Invoice Line,,,Sales Order Line,0..1,"A class presenting specific information for each item on a sales order, important in the three-way matching process to confirm that deliveries and invoice details correspond to the order specifications.",Sales,82,
860,1,Class,,Sales Order,,,,,A class representing a formal request from a customer for the delivery of goods or services within a specified period.,Sales,76,
861,2,Specialization,,Sales Order,,,Order,1..1,The recorded agreement to sell specific products or services as confirmed by a seller.,Sales,76,
862,2,Composition,,Sales Order,,,Sales Order Line,0..*,"A class presenting specific information for each item on a sales order, important in the three-way matching process to confirm that deliveries and invoice details correspond to the order specifications.",Sales,76,
863,2,Reference Association,,Sales Order,Sales Organization,,Business Segment,0..1,The business segment pertaining to the organization that processes sales orders.,Sales,76,
864,2,Reference Association,,Sales Order,,,Customer,0..1,A class that records broad customer information related to sales orders.,Sales,76,
