sequence,level,type,identifier,name,datatype,multiplicity,domain_name,definition,module,table,class_term,id,path,semantic_path
4107,4,A,,Balance Debit Or Credit Code,Code,0..1,DEBIT CREDIT CODE,"The classification identifying the natural balance of an account, denoted by 'D' for a debit balance, or 'C' for a credit balance.",JP,20,(Credit) JP Ledger Account,JP06d_BS16_08,/JP07a/JP08a/JP06d_BS16_08,/JP Journal Entry/JP Journal Entry Line/(Credit) JP Ledger Account/Balance Debit Or Credit Code
4108,4,C,,Subsidiary Ledger Account,,0..*,,"A class for  an account within a subsidiary ledger that holds transaction details specific to a particular customer, vendor, asset, or other individual entity. Each account is associated with a unique subsidiary account number and corresponding details in the general ledger. The ledger serves as a detailed companion to the general ledger for managing detailed accounting transactions.",JP,0,Subsidiary Ledger Account,JP05b,/JP07a/JP08a/JP05b,/JP Journal Entry/JP Journal Entry Line/(Credit) JP Ledger Account/Subsidiary Ledger Account
4109,5,A,,Subsidiary Item Number,Char,0..1,Short Char,The number of subsidiary item,JP,0,Subsidiary Ledger Account,JP05b_01,/JP07a/JP08a/JP05b/JP05b_01,/JP Journal Entry/JP Journal Entry Line/(Credit) JP Ledger Account/Subsidiary Ledger Account/Subsidiary Item Number
4110,5,A,,Subsidiary Item Name,Name,0..1,Short Name,The name of subsidiary item,JP,0,Subsidiary Ledger Account,JP05b_02,/JP07a/JP08a/JP05b/JP05b_02,/JP Journal Entry/JP Journal Entry Line/(Credit) JP Ledger Account/Subsidiary Ledger Account/Subsidiary Item Name
4111,5,A,,Code List Name,Name,0..1,Short Name,"The data file that is linked to and provides detailed information relevant to The specific subsidiary item. Each file contains records pertinent to its associated entity, facilitating the management and retrieval of entity-specific data within the subsidiary ledger system.",JP,0,Subsidiary Ledger Account,JP05b_03,/JP07a/JP08a/JP05b/JP05b_03,/JP Journal Entry/JP Journal Entry Line/(Credit) JP Ledger Account/Subsidiary Ledger Account/Code List Name
4112,5,A,,Description of Code List Name,Text,0..1,Short Text,The detailed description of subsidiary item,JP,0,Subsidiary Ledger Account,JP05b_04,/JP07a/JP08a/JP05b/JP05b_04,/JP Journal Entry/JP Journal Entry Line/(Credit) JP Ledger Account/Subsidiary Ledger Account/Description of Code List Name
4113,3,C,,(Credit) Amounts,,0..1,,"A class that keeps track of money values in different currencies, including the main, report, local, and transaction currencies for clear financial understanding and analysis in various regions and economies.",JP,0,(Credit) Amounts,GE06u,/JP07a/JP08a/GE06u,/JP Journal Entry/JP Journal Entry Line/(Credit) Amounts
4114,4,C,,(Functional) Amount,,0..1,,A class that specifies a value of money in a given currency.,JP,0,(Functional) Amount,GE05hW,/JP07a/JP08a/GE05hW,/JP Journal Entry/JP Journal Entry Line/(Credit) Amounts/(Functional) Amount
4115,5,A,,Value,Decimal,0..1,AMOUNT,The numerical value representing a sum of money.,JP,0,(Functional) Amount,GE05hW_01,/JP07a/JP08a/GE05hW_01,/JP Journal Entry/JP Journal Entry Line/(Credit) Amounts/(Functional) Amount/Value
4116,5,R,,Currency,,0..1,,"The reference association to the Currency class, which is a class holds information about different currencies.",JP,30,Currency,BS06h4,/JP07a/JP08a/BS06h4,/JP Journal Entry/JP Journal Entry Line/(Credit) Amounts/(Functional) Amount/Currency
4117,6,A,REF,Code,Identifier,1..1,CURRENCY CODE,The official name of the currency utilized in the accounting and/or ERP system.,JP,30,Currency,BS06h4_01,/JP07a/JP08a/BS06h4_01,/JP Journal Entry/JP Journal Entry Line/(Credit) Amounts/(Functional) Amount/Currency/Code
4118,4,C,,(Local) Amount,,0..1,,A class that specifies a value of money in a given currency.,JP,0,(Local) Amount,GE05hX,/JP07a/JP08a/GE05hX,/JP Journal Entry/JP Journal Entry Line/(Credit) Amounts/(Local) Amount
4119,5,A,,Value,Decimal,0..1,AMOUNT,The numerical value representing a sum of money.,JP,0,(Local) Amount,GE05hX_01,/JP07a/JP08a/GE05hX_01,/JP Journal Entry/JP Journal Entry Line/(Credit) Amounts/(Local) Amount/Value
4120,5,R,,Currency,,0..1,,"The reference association to the Currency class, which is a class holds information about different currencies.",JP,30,Currency,BS06h5,/JP07a/JP08a/BS06h5,/JP Journal Entry/JP Journal Entry Line/(Credit) Amounts/(Local) Amount/Currency
4121,6,A,REF,Code,Identifier,1..1,CURRENCY CODE,The official name of the currency utilized in the accounting and/or ERP system.,JP,30,Currency,BS06h5_01,/JP07a/JP08a/BS06h5_01,/JP Journal Entry/JP Journal Entry Line/(Credit) Amounts/(Local) Amount/Currency/Code
4122,4,C,,(Reporting) Amount,,0..1,,A class that specifies a value of money in a given currency.,JP,0,(Reporting) Amount,GE05hY,/JP07a/JP08a/GE05hY,/JP Journal Entry/JP Journal Entry Line/(Credit) Amounts/(Reporting) Amount
4123,5,A,,Value,Decimal,0..1,AMOUNT,The numerical value representing a sum of money.,JP,0,(Reporting) Amount,GE05hY_01,/JP07a/JP08a/GE05hY_01,/JP Journal Entry/JP Journal Entry Line/(Credit) Amounts/(Reporting) Amount/Value
4124,5,R,,Currency,,0..1,,"The reference association to the Currency class, which is a class holds information about different currencies.",JP,30,Currency,BS06h6,/JP07a/JP08a/BS06h6,/JP Journal Entry/JP Journal Entry Line/(Credit) Amounts/(Reporting) Amount/Currency
4125,6,A,REF,Code,Identifier,1..1,CURRENCY CODE,The official name of the currency utilized in the accounting and/or ERP system.,JP,30,Currency,BS06h6_01,/JP07a/JP08a/BS06h6_01,/JP Journal Entry/JP Journal Entry Line/(Credit) Amounts/(Reporting) Amount/Currency/Code
4126,4,C,,(Transaction) Amount,,0..1,,A class that specifies a value of money in a given currency.,JP,0,(Transaction) Amount,GE05hZ,/JP07a/JP08a/GE05hZ,/JP Journal Entry/JP Journal Entry Line/(Credit) Amounts/(Transaction) Amount
4127,5,A,,Value,Decimal,0..1,AMOUNT,The numerical value representing a sum of money.,JP,0,(Transaction) Amount,GE05hZ_01,/JP07a/JP08a/GE05hZ_01,/JP Journal Entry/JP Journal Entry Line/(Credit) Amounts/(Transaction) Amount/Value
4128,5,R,,Currency,,0..1,,"The reference association to the Currency class, which is a class holds information about different currencies.",JP,30,Currency,BS06h7,/JP07a/JP08a/BS06h7,/JP Journal Entry/JP Journal Entry Line/(Credit) Amounts/(Transaction) Amount/Currency
4129,6,A,REF,Code,Identifier,1..1,CURRENCY CODE,The official name of the currency utilized in the accounting and/or ERP system.,JP,30,Currency,BS06h7_01,/JP07a/JP08a/BS06h7_01,/JP Journal Entry/JP Journal Entry Line/(Credit) Amounts/(Transaction) Amount/Currency/Code
4130,3,C,,(Credit) Consumption Tax Subtotal,,0..1,,Consumption Tax Subtotal by Tax Category information.,JP,0,(Credit) Consumption Tax Subtotal,JP03c,/JP07a/JP08a/JP03c,/JP Journal Entry/JP Journal Entry Line/(Credit) Consumption Tax Subtotal
4131,4,C,,(Local) Amount,,0..1,,A class that specifies a value of money in a given currency.,JP,0,(Local) Amount,GE05h0,/JP07a/JP08a/GE05h0,/JP Journal Entry/JP Journal Entry Line/(Credit) Consumption Tax Subtotal/(Local) Amount
4132,5,A,,Value,Decimal,0..1,AMOUNT,The numerical value representing a sum of money.,JP,0,(Local) Amount,GE05h0_01,/JP07a/JP08a/GE05h0_01,/JP Journal Entry/JP Journal Entry Line/(Credit) Consumption Tax Subtotal/(Local) Amount/Value
4133,5,R,,Currency,,0..1,,"The reference association to the Currency class, which is a class holds information about different currencies.",JP,30,Currency,BS06h8,/JP07a/JP08a/BS06h8,/JP Journal Entry/JP Journal Entry Line/(Credit) Consumption Tax Subtotal/(Local) Amount/Currency
4134,6,A,REF,Code,Identifier,1..1,CURRENCY CODE,The official name of the currency utilized in the accounting and/or ERP system.,JP,30,Currency,BS06h8_01,/JP07a/JP08a/BS06h8_01,/JP Journal Entry/JP Journal Entry Line/(Credit) Consumption Tax Subtotal/(Local) Amount/Currency/Code
4135,4,C,,(Transaction) Amount,,0..1,,A class that specifies a value of money in a given currency.,JP,0,(Transaction) Amount,GE05h1,/JP07a/JP08a/GE05h1,/JP Journal Entry/JP Journal Entry Line/(Credit) Consumption Tax Subtotal/(Transaction) Amount
4136,5,A,,Value,Decimal,0..1,AMOUNT,The numerical value representing a sum of money.,JP,0,(Transaction) Amount,GE05h1_01,/JP07a/JP08a/GE05h1_01,/JP Journal Entry/JP Journal Entry Line/(Credit) Consumption Tax Subtotal/(Transaction) Amount/Value
4137,5,R,,Currency,,0..1,,"The reference association to the Currency class, which is a class holds information about different currencies.",JP,30,Currency,BS06h9,/JP07a/JP08a/BS06h9,/JP Journal Entry/JP Journal Entry Line/(Credit) Consumption Tax Subtotal/(Transaction) Amount/Currency
4138,6,A,REF,Code,Identifier,1..1,CURRENCY CODE,The official name of the currency utilized in the accounting and/or ERP system.,JP,30,Currency,BS06h9_01,/JP07a/JP08a/BS06h9_01,/JP Journal Entry/JP Journal Entry Line/(Credit) Consumption Tax Subtotal/(Transaction) Amount/Currency/Code
4139,4,R,,JP Ledger Account,,0..1,,"The reference association to the JP Ledger Account class, which is a class stores information about General Ledger accounts.",JP,0,JP Ledger Account,JP06e,/JP07a/JP08a/JP06e,/JP Journal Entry/JP Journal Entry Line/(Credit) Consumption Tax Subtotal/JP Ledger Account
4140,5,A,REF,Account Number,Identifier,1..1,LEDGER ACCOUNT NUMBER,"The reference identifier assigned to a general ledger account, categorically coded to align with established accounting principles and the specific characteristics of the business.",JP,20,JP Ledger Account,JP06e_BS16_01,/JP07a/JP08a/JP06e_BS16_01,/JP Journal Entry/JP Journal Entry Line/(Credit) Consumption Tax Subtotal/JP Ledger Account/Account Number
4141,4,C,,JP Tax Type,,0..1,,A class that has been updated to comply with the reporting requirements of the Japanese Tax Agency for consumption tax. This includes the inclusion of the tax category code to enhance specificity and adherence to regulatory standards.,JP,0,JP Tax Type,JP02d,/JP07a/JP08a/JP02d,/JP Journal Entry/JP Journal Entry Line/(Credit) Consumption Tax Subtotal/JP Tax Type
4142,5,A,PK,Code,Identifier,1..1,TAX TYPE CODE,The unique code used to classify a tax type.,JP,42,JP Tax Type,JP02d_BS28_01,/JP07a/JP08a/JP02d_BS28_01,/JP Journal Entry/JP Journal Entry Line/(Credit) Consumption Tax Subtotal/JP Tax Type/Code
4143,5,A,,Tax Name,Name,0..1,Name Medium,The official title assigned to a category of tax.,JP,42,JP Tax Type,JP02d_BS28_02,/JP07a/JP08a/JP02d_BS28_02,/JP Journal Entry/JP Journal Entry Line/(Credit) Consumption Tax Subtotal/JP Tax Type/Tax Name
4144,5,A,,Description,Text,0..1,Text Medium,The details that define and categorize a specific tax type.,JP,42,JP Tax Type,JP02d_BS28_03,/JP07a/JP08a/JP02d_BS28_03,/JP Journal Entry/JP Journal Entry Line/(Credit) Consumption Tax Subtotal/JP Tax Type/Description
4145,5,A,,Tax Code Description,Text,0..1,Text Medium,The narrative that clarifies the specific tax code and its application within the broader tax type.,JP,42,JP Tax Type,JP02d_BS28_04,/JP07a/JP08a/JP02d_BS28_04,/JP Journal Entry/JP Journal Entry Line/(Credit) Consumption Tax Subtotal/JP Tax Type/Tax Code Description
4146,5,A,,Tax Percentage,Decimal,0..1,Percent,The standard rate applied to a specific tax type and code.,JP,42,JP Tax Type,JP02d_BS28_05,/JP07a/JP08a/JP02d_BS28_05,/JP Journal Entry/JP Journal Entry Line/(Credit) Consumption Tax Subtotal/JP Tax Type/Tax Percentage
4147,5,A,,Tax Category Code,Code,0..1,TAX CATEGORY CODE,"UNTDID 5305  Duty or tax or fee category code is a crucial element in trade and financial documentation, facilitating accurate and efficient identification and processing of various tax and fee categories.",JP,0,JP Tax Type,JP02d_01,/JP07a/JP08a/JP02d_01,/JP Journal Entry/JP Journal Entry Line/(Credit) Consumption Tax Subtotal/JP Tax Type/Tax Category Code
4148,5,R,,Tax Regulatory,,0..1,,"The reference association to the Tax Regulatory class, which is a class that includes regulatory information for taxation, offering instructions for compliance with tax laws in various jurisdictions.",JP,40,Tax Regulatory,BS27f,/JP07a/JP08a/BS27f,/JP Journal Entry/JP Journal Entry Line/(Credit) Consumption Tax Subtotal/JP Tax Type/Tax Regulatory
4149,6,A,REF,Code,Identifier,1..1,REGULATOR CODE,The unique code for a regulatory body or jurisdiction.,JP,40,Tax Regulatory,BS27f_01,/JP07a/JP08a/BS27f_01,/JP Journal Entry/JP Journal Entry Line/(Credit) Consumption Tax Subtotal/JP Tax Type/Tax Regulatory/Code
4150,4,C,,(Taxable Local) Amount,,0..1,,A class that specifies a value of money in a given currency.,JP,0,(Taxable Local) Amount,GE05h2,/JP07a/JP08a/GE05h2,/JP Journal Entry/JP Journal Entry Line/(Credit) Consumption Tax Subtotal/(Taxable Local) Amount
4151,5,A,,Value,Decimal,0..1,AMOUNT,The numerical value representing a sum of money.,JP,0,(Taxable Local) Amount,GE05h2_01,/JP07a/JP08a/GE05h2_01,/JP Journal Entry/JP Journal Entry Line/(Credit) Consumption Tax Subtotal/(Taxable Local) Amount/Value
4152,5,R,,Currency,,0..1,,"The reference association to the Currency class, which is a class holds information about different currencies.",JP,30,Currency,BS06ha,/JP07a/JP08a/BS06ha,/JP Journal Entry/JP Journal Entry Line/(Credit) Consumption Tax Subtotal/(Taxable Local) Amount/Currency
4153,6,A,REF,Code,Identifier,1..1,CURRENCY CODE,The official name of the currency utilized in the accounting and/or ERP system.,JP,30,Currency,BS06ha_01,/JP07a/JP08a/BS06ha_01,/JP Journal Entry/JP Journal Entry Line/(Credit) Consumption Tax Subtotal/(Taxable Local) Amount/Currency/Code
4154,4,C,,(Taxable Transaction) Amount,,0..1,,A class that specifies a value of money in a given currency.,JP,0,(Taxable Transaction) Amount,GE05h3,/JP07a/JP08a/GE05h3,/JP Journal Entry/JP Journal Entry Line/(Credit) Consumption Tax Subtotal/(Taxable Transaction) Amount
4155,5,A,,Value,Decimal,0..1,AMOUNT,The numerical value representing a sum of money.,JP,0,(Taxable Transaction) Amount,GE05h3_01,/JP07a/JP08a/GE05h3_01,/JP Journal Entry/JP Journal Entry Line/(Credit) Consumption Tax Subtotal/(Taxable Transaction) Amount/Value
4156,5,R,,Currency,,0..1,,"The reference association to the Currency class, which is a class holds information about different currencies.",JP,30,Currency,BS06hb,/JP07a/JP08a/BS06hb,/JP Journal Entry/JP Journal Entry Line/(Credit) Consumption Tax Subtotal/(Taxable Transaction) Amount/Currency
4157,6,A,REF,Code,Identifier,1..1,CURRENCY CODE,The official name of the currency utilized in the accounting and/or ERP system.,JP,30,Currency,BS06hb_01,/JP07a/JP08a/BS06hb_01,/JP Journal Entry/JP Journal Entry Line/(Credit) Consumption Tax Subtotal/(Taxable Transaction) Amount/Currency/Code
4158,3,C,,(Debit) Business Segment,,0..*,,A class signifies the structural units depicted within an organizational chart. It serves to illustrate relationships with business partners and conveys various business contexts.,JP,4,(Debit) Business Segment,BS04c5,/JP07a/JP08a/BS04c5,/JP Journal Entry/JP Journal Entry Line/(Debit) Business Segment
4159,4,A,PK,Code,Identifier,1..1,Identifier Short,The unique code identifying a specific business segment.,JP,4,(Debit) Business Segment,BS04c5_01,/JP07a/JP08a/BS04c5/BS04c5_01,/JP Journal Entry/JP Journal Entry Line/(Debit) Business Segment/Code
4160,4,A,,Name,Name,0..1,Name Medium,The designated label for a distinct area of a company's operations.,JP,4,(Debit) Business Segment,BS04c5_02,/JP07a/JP08a/BS04c5/BS04c5_02,/JP Journal Entry/JP Journal Entry Line/(Debit) Business Segment/Name
4161,4,A,PK,Segment Reference Level,Char,1..1,Char Short,"The hierarchical level of a business segment within the organization, with lower numbers indicating higher levels.",JP,4,(Debit) Business Segment,BS04c5_03,/JP07a/JP08a/BS04c5/BS04c5_03,/JP Journal Entry/JP Journal Entry Line/(Debit) Business Segment/Segment Reference Level
4162,4,A,,Organization Type Name,Name,0..1,Name Short,"The designation of the type of organizational unit, such as a department or cost center.",JP,4,(Debit) Business Segment,BS04c5_04,/JP07a/JP08a/BS04c5/BS04c5_04,/JP Journal Entry/JP Journal Entry Line/(Debit) Business Segment/Organization Type Name
4163,3,C,,(Credit) Business Segment,,0..*,,A class signifies the structural units depicted within an organizational chart. It serves to illustrate relationships with business partners and conveys various business contexts.,JP,4,(Credit) Business Segment,BS04c6,/JP07a/JP08a/BS04c6,/JP Journal Entry/JP Journal Entry Line/(Credit) Business Segment
4164,4,A,PK,Code,Identifier,1..1,Identifier Short,The unique code identifying a specific business segment.,JP,4,(Credit) Business Segment,BS04c6_01,/JP07a/JP08a/BS04c6/BS04c6_01,/JP Journal Entry/JP Journal Entry Line/(Credit) Business Segment/Code
4165,4,A,,Name,Name,0..1,Name Medium,The designated label for a distinct area of a company's operations.,JP,4,(Credit) Business Segment,BS04c6_02,/JP07a/JP08a/BS04c6/BS04c6_02,/JP Journal Entry/JP Journal Entry Line/(Credit) Business Segment/Name
4166,4,A,PK,Segment Reference Level,Char,1..1,Char Short,"The hierarchical level of a business segment within the organization, with lower numbers indicating higher levels.",JP,4,(Credit) Business Segment,BS04c6_03,/JP07a/JP08a/BS04c6/BS04c6_03,/JP Journal Entry/JP Journal Entry Line/(Credit) Business Segment/Segment Reference Level
4167,4,A,,Organization Type Name,Name,0..1,Name Short,"The designation of the type of organizational unit, such as a department or cost center.",JP,4,(Credit) Business Segment,BS04c6_04,/JP07a/JP08a/BS04c6/BS04c6_04,/JP Journal Entry/JP Journal Entry Line/(Credit) Business Segment/Organization Type Name
4168,1,C,,JP Sales Invoice,,,,Contains the summery information for the sales invoices. JP extension for consumption tax subtotal by tax category for consumption tax.,JP,0,JP Sales Invoice,JP13a,/JP13a,/JP Sales Invoice
4169,2,A,PK,ID,Identifier,1..1,Identifier Medium,The unique identifier for an invoice.,JP,0,JP Sales Invoice,JP13a_JP09_GE11_01,/JP13a/JP13a_JP09_GE11_01,/JP Sales Invoice/ID
4170,2,A,,Number,Char,0..1,Char Long,The number for an invoice.,JP,0,JP Sales Invoice,JP13a_JP09_GE11_02,/JP13a/JP13a_JP09_GE11_02,/JP Sales Invoice/Number
4171,2,A,,Official Invoice Code,Char,0..1,Char Short,The identifier for an invoice that is assigned by tax authorities.,JP,0,JP Sales Invoice,JP13a_JP09_GE11_03,/JP13a/JP13a_JP09_GE11_03,/JP Sales Invoice/Official Invoice Code
4172,2,A,,Type Name,Name,0..1,Name Short,The descriptor that categorizes the nature of an invoice.,JP,0,JP Sales Invoice,JP13a_JP09_GE11_04,/JP13a/JP13a_JP09_GE11_04,/JP Sales Invoice/Type Name
4173,2,A,,Date,Date,0..1,DATE,The official date recorded on an invoice which initiates the calculation period for payment due.,JP,0,JP Sales Invoice,JP13a_JP09_GE11_05,/JP13a/JP13a_JP09_GE11_05,/JP Sales Invoice/Date
4174,2,A,,Due Date,Date,0..1,DATE,The date by which payment for an invoice is required.,JP,0,JP Sales Invoice,JP13a_JP09_GE11_06,/JP13a/JP13a_JP09_GE11_06,/JP Sales Invoice/Due Date
4175,2,A,,Terms Discount Percentage,Decimal,0..1,Percent,The percentage of discount offered by a supplier when payment is made within the specified discount days.,JP,0,JP Sales Invoice,JP13a_JP09_GE11_07,/JP13a/JP13a_JP09_GE11_07,/JP Sales Invoice/Terms Discount Percentage
4176,2,A,,Terms Discount Days,Integer,0..1,INTEGER,The number of days from the invoice date that the customer is eligible for the discount if payment is made.,JP,0,JP Sales Invoice,JP13a_JP09_GE11_08,/JP13a/JP13a_JP09_GE11_08,/JP Sales Invoice/Terms Discount Days
4177,2,A,,Terms Due Days,Integer,0..1,INTEGER,The standard time period in days before a customer's payment is considered overdue.,JP,0,JP Sales Invoice,JP13a_JP09_GE11_09,/JP13a/JP13a_JP09_GE11_09,/JP Sales Invoice/Terms Due Days
4178,2,A,,Grouping Code,Char,0..1,Char Long,The code that aggregates related invoices for consolidated processing or organizational purposes within an ERP system.,JP,0,JP Sales Invoice,JP13a_JP09_GE11_10,/JP13a/JP13a_JP09_GE11_10,/JP Sales Invoice/Grouping Code
4179,2,A,,Status,Code,0..1,STATUS CODE,The current state of the invoice's lifecycle.,JP,0,JP Sales Invoice,JP13a_JP09_GE11_11,/JP13a/JP13a_JP09_GE11_11,/JP Sales Invoice/Status
4180,2,A,,Remark,Text,0..1,Text Medium,Annotations or supplemental information for an invoice.,JP,0,JP Sales Invoice,JP13a_JP09_GE11_12,/JP13a/JP13a_JP09_GE11_12,/JP Sales Invoice/Remark
4181,2,C,,Customer,,1,,A class holds basic and broad details about customers.,JP,14,Customer,BS07o,/JP13a/BS07o,/JP Sales Invoice/Customer
4182,3,A,PK,Account ID,Identifier,1..1,Identifier Long,The unique identifier for a customer account.,JP,14,Customer,BS07o_01,/JP13a/BS07o_01,/JP Sales Invoice/Customer/Account ID
4183,3,A,,Account Number,Char,0..1,Char Long,The number for a customer's account.,JP,14,Customer,BS07o_02,/JP13a/BS07o_02,/JP Sales Invoice/Customer/Account Number
4184,3,A,,Account Name,Name,0..1,Name Long,The legal or registered name of the customer.,JP,14,Customer,BS07o_03,/JP13a/BS07o_03,/JP Sales Invoice/Customer/Account Name
4185,3,A,,Abbreviation,Name,0..1,Name Medium,The abbreviated representation of a customer's full name used for simplified referencing in a system.,JP,14,Customer,BS07o_04,/JP13a/BS07o_04,/JP Sales Invoice/Customer/Abbreviation
4186,3,A,,TIN,Char,0..1,TAX IDENTIFICATION NUMBER,The tax identification number assigned to the customer by a tax authority.,JP,14,Customer,BS07o_05,/JP13a/BS07o_05,/JP Sales Invoice/Customer/TIN
4187,3,A,,Inactive Date,Date,0..1,DATE,"The date marking the change of a customer's status to inactive due to factors such as credit limit exceedance, legal constraints, contract cessation, or bankruptcy.",JP,14,Customer,BS07o_06,/JP13a/BS07o_06,/JP Sales Invoice/Customer/Inactive Date
4188,3,A,,Terms Discount Percentage,Decimal,0..1,Percent,"Discount percentage the customer can take if an invoice is paid before a certain number of days.
",JP,14,Customer,BS07o_07,/JP13a/BS07o_07,/JP Sales Invoice/Customer/Terms Discount Percentage
4189,3,A,,Terms Discount Days,Integer,0..1,INTEGER,"The percentage of discount offered by a supplier when payment is made within the specified discount days.
",JP,14,Customer,BS07o_08,/JP13a/BS07o_08,/JP Sales Invoice/Customer/Terms Discount Days
4190,3,A,,Terms Due Days,Integer,0..1,INTEGER,The standard time period in days before a customer's payment is considered overdue.,JP,14,Customer,BS07o_09,/JP13a/BS07o_09,/JP Sales Invoice/Customer/Terms Due Days
4191,3,C,,Activities,,0..1,,"A class capturing a record of system user actions within an auditee's system, which includes instances of entry, approval, last modification, and posting of data or transactions.",JP,0,Activities,GE02a2,/JP13a/GE02a2,/JP Sales Invoice/Customer/Activities
4192,4,C,,(Approved) Activity,,0..1,,A class that records specific actions or tasks completed or in progress.,JP,0,(Approved) Activity,GE03do,/JP13a/GE03do,/JP Sales Invoice/Customer/Activities/(Approved) Activity
4193,5,A,,Date,Date,0..1,DATE,"The date marks when an activity occurred, ideally recorded automatically by the system.",JP,0,(Approved) Activity,GE03do_01,/JP13a/GE03do_01,/JP Sales Invoice/Customer/Activities/(Approved) Activity/Date
4194,5,A,,Time,Time,0..1,TIME,The specified time at which an activity occurs.,JP,0,(Approved) Activity,GE03do_02,/JP13a/GE03do_02,/JP Sales Invoice/Customer/Activities/(Approved) Activity/Time
4195,5,R,,User,,0..1,,"The reference association to the User class, which is a class with user details, important for overseeing access, maintaining security, and tracking system use.",JP,10,User,BS29dq,/JP13a/BS29dq,/JP Sales Invoice/Customer/Activities/(Approved) Activity/User
4196,6,A,REF,ID,Identifier,1..1,Identifier Short,"The reference identifier for individuals entering transactions into the accounting and/or ERP system.
",JP,10,User,BS29dq_01,/JP13a/BS29dq_01,/JP Sales Invoice/Customer/Activities/(Approved) Activity/User/ID
4197,4,C,,(Created) Activity,,0..1,,A class that records specific actions or tasks completed or in progress.,JP,0,(Created) Activity,GE03dp,/JP13a/GE03dp,/JP Sales Invoice/Customer/Activities/(Created) Activity
4198,5,A,,Date,Date,0..1,DATE,"The date marks when an activity occurred, ideally recorded automatically by the system.",JP,0,(Created) Activity,GE03dp_01,/JP13a/GE03dp_01,/JP Sales Invoice/Customer/Activities/(Created) Activity/Date
4199,5,A,,Time,Time,0..1,TIME,The specified time at which an activity occurs.,JP,0,(Created) Activity,GE03dp_02,/JP13a/GE03dp_02,/JP Sales Invoice/Customer/Activities/(Created) Activity/Time
4200,5,R,,User,,0..1,,"The reference association to the User class, which is a class with user details, important for overseeing access, maintaining security, and tracking system use.",JP,10,User,BS29dr,/JP13a/BS29dr,/JP Sales Invoice/Customer/Activities/(Created) Activity/User
4201,6,A,REF,ID,Identifier,1..1,Identifier Short,"The reference identifier for individuals entering transactions into the accounting and/or ERP system.
",JP,10,User,BS29dr_01,/JP13a/BS29dr_01,/JP Sales Invoice/Customer/Activities/(Created) Activity/User/ID
4202,4,C,,(Last Modified) Activity,,0..1,,A class that records specific actions or tasks completed or in progress.,JP,0,(Last Modified) Activity,GE03dq,/JP13a/GE03dq,/JP Sales Invoice/Customer/Activities/(Last Modified) Activity
4203,5,A,,Date,Date,0..1,DATE,"The date marks when an activity occurred, ideally recorded automatically by the system.",JP,0,(Last Modified) Activity,GE03dq_01,/JP13a/GE03dq_01,/JP Sales Invoice/Customer/Activities/(Last Modified) Activity/Date
4204,5,A,,Time,Time,0..1,TIME,The specified time at which an activity occurs.,JP,0,(Last Modified) Activity,GE03dq_02,/JP13a/GE03dq_02,/JP Sales Invoice/Customer/Activities/(Last Modified) Activity/Time
4205,5,R,,User,,0..1,,"The reference association to the User class, which is a class with user details, important for overseeing access, maintaining security, and tracking system use.",JP,10,User,BS29ds,/JP13a/BS29ds,/JP Sales Invoice/Customer/Activities/(Last Modified) Activity/User
4206,6,A,REF,ID,Identifier,1..1,Identifier Short,"The reference identifier for individuals entering transactions into the accounting and/or ERP system.
",JP,10,User,BS29ds_01,/JP13a/BS29ds_01,/JP Sales Invoice/Customer/Activities/(Last Modified) Activity/User/ID
4207,4,C,,(Posted) Activity,,0..1,,A class that records specific actions or tasks completed or in progress.,JP,0,(Posted) Activity,GE03dr,/JP13a/GE03dr,/JP Sales Invoice/Customer/Activities/(Posted) Activity
4208,5,A,,Date,Date,0..1,DATE,"The date marks when an activity occurred, ideally recorded automatically by the system.",JP,0,(Posted) Activity,GE03dr_01,/JP13a/GE03dr_01,/JP Sales Invoice/Customer/Activities/(Posted) Activity/Date
4209,5,A,,Time,Time,0..1,TIME,The specified time at which an activity occurs.,JP,0,(Posted) Activity,GE03dr_02,/JP13a/GE03dr_02,/JP Sales Invoice/Customer/Activities/(Posted) Activity/Time
4210,5,R,,User,,0..1,,"The reference association to the User class, which is a class with user details, important for overseeing access, maintaining security, and tracking system use.",JP,10,User,BS29dt,/JP13a/BS29dt,/JP Sales Invoice/Customer/Activities/(Posted) Activity/User
4211,6,A,REF,ID,Identifier,1..1,Identifier Short,"The reference identifier for individuals entering transactions into the accounting and/or ERP system.
",JP,10,User,BS29dt_01,/JP13a/BS29dt_01,/JP Sales Invoice/Customer/Activities/(Posted) Activity/User/ID
4212,3,C,,(Billing) Address,,0..1,,A class that specifies the location details of an individual or entity.,JP,0,(Billing) Address,GE04h,/JP13a/GE04h,/JP Sales Invoice/Customer/(Billing) Address
4213,4,A,,Street Address1,Name,0..1,Name Medium,The primary line of the street address.,JP,0,(Billing) Address,GE04h_01,/JP13a/GE04h_01,/JP Sales Invoice/Customer/(Billing) Address/Street Address1
4214,4,A,,Street Address2,Name,0..1,Name Medium,"The secondary line of the street address, if applicable.",JP,0,(Billing) Address,GE04h_02,/JP13a/GE04h_02,/JP Sales Invoice/Customer/(Billing) Address/Street Address2
4215,4,A,,City Name,Name,0..1,CITY NAME,The municipal designation within an address.,JP,0,(Billing) Address,GE04h_03,/JP13a/GE04h_03,/JP Sales Invoice/Customer/(Billing) Address/City Name
