sequence,level,property_type,identifier,class_term,property_term,multiplicity,representation_term,domain_name,associated_class,definition,module,table,id,label_local,definition_local,xpath
63,2,Attribute,PK,Business Segment,Code,1..1,Identifier,Identifier Short,,The unique code identifying a specific business segment.,Base,4,BS05_01,,,
64,2,Attribute,,Business Segment,Name,0..1,Name,Name Medium,,The designated label for a distinct area of a company's operations.,Base,4,BS05_02,,,
65,2,Attribute,PK,Business Segment,Segment Reference Level,1..1,Char,Char Short,,"The hierarchical level of a business segment within the organization, with lower numbers indicating higher levels.",Base,4,BS05_03,,,
66,2,Attribute,,Business Segment,Organization Type Name,0..1,Name,Name Short,,"The designation of the type of organizational unit, such as a department or cost center.",Base,4,BS05_04,,,
67,1,Class,,Business Segment Hierarchy,,,,,,"A class organizes and links the structure and relationships of business units, allowing transaction integration from lower to higher levels.",Base,6,BS06,,,
68,2,Reference Association,PK,Business Segment Hierarchy,Child,1..1,,,Business Segment,The business segment instance that is designated as a subordinate in a business segment hierarchy structure.,Base,6,BS06_01,,,
69,2,Reference Association,PK,Business Segment Hierarchy,Parent,1..1,,,Business Segment,The business segment instance that is designated as a superior in a business segment hierarchy structure.,Base,6,BS06_02,,,
70,1,Class,,Contact,,,,,,A class that details the communication information for an individual or entity.,General,0,GE09,,,
71,2,Attribute,,Contact,Name,0..1,Name,Name Medium,,The full name of an individual or entity that is a point of contact.,General,0,GE09_01,,,
72,2,Attribute,,Contact,Phone,0..1,Char,PHONE NUMBER,,The telephone number associated with a contact.,General,0,GE09_02,,,
73,2,Attribute,,Contact,Email,0..1,Char,EMAIL,,The electronic mail address associated with a contact.,General,0,GE09_03,,,
30,1,Class,,Currency,,,,,,A class holds information about different currencies.,Base,30,BS02,,,
31,2,Attribute,PK,Currency,Code,1..1,Identifier,CURRENCY CODE,,The official name of the currency utilized in the accounting and/or ERP system.,Base,30,BS02_01,,,
32,2,Attribute,,Currency,Name,0..1,Name,Name Short,,The official name of the currency utilized in the accounting and/or ERP system.,Base,30,BS02_02,,,
33,2,Attribute,,Currency,Minor Unit,0..1,Integer,UNIT,,The subdivision of a currency unit that indicates the decimal relationship to the main currency unit as defined by ISO 4217.,Base,30,BS02_03,,,
34,2,Attribute,,Currency,Active Indicator,0..1,Indicator,Indicator,,The flag indicating if a currency code is currently accepted for financial transactions.,Base,30,BS02_04,,,
74,1,Class,,Customer,,,,,,A class holds basic and broad details about customers.,Base,14,BS07,,,
75,2,Attribute,PK,Customer,Account ID,1..1,Identifier,Identifier Long,,The unique identifier for a customer account.,Base,14,BS07_01,,,
76,2,Attribute,,Customer,Account Number,0..1,Char,Char Long,,The number for a customer's account.,Base,14,BS07_02,,,
77,2,Attribute,,Customer,Account Name,0..1,Name,Name Long,,The legal or registered name of the customer.,Base,14,BS07_03,,,
78,2,Attribute,,Customer,Abbreviation,0..1,Name,Name Medium,,The abbreviated representation of a customer's full name used for simplified referencing in a system.,Base,14,BS07_04,,,
79,2,Attribute,,Customer,TIN,0..1,Char,TAX IDENTIFICATION NUMBER,,The tax identification number assigned to the customer by a tax authority.,Base,14,BS07_05,,,
80,2,Attribute,,Customer,Inactive Date,0..1,Date,DATE,,"The date marking the change of a customer's status to inactive due to factors such as credit limit exceedance, legal constraints, contract cessation, or bankruptcy.",Base,14,BS07_06,,,
81,2,Attribute,,Customer,Terms Discount Percentage,0..1,Decimal,Percent,,"Discount percentage the customer can take if an invoice is paid before a certain number of days.
",Base,14,BS07_07,,,
82,2,Attribute,,Customer,Terms Discount Days,0..1,Integer,INTEGER,,"The percentage of discount offered by a supplier when payment is made within the specified discount days.
",Base,14,BS07_08,,,
83,2,Attribute,,Customer,Terms Due Days,0..1,Integer,INTEGER,,The standard time period in days before a customer's payment is considered overdue.,Base,14,BS07_09,,,
90,2,Reference Association,,Customer,,0..1,,,Customer Type,A class contains detailed descriptions of customer categories.,Base,14,BS07_16,,,
91,2,Reference Association,,Customer,Corresponding,0..1,,,Supplier,The supplier associated with or equivalent to a specific customer in business transactions.,Base,14,BS07_17,,,
84,2,Composition,,Customer,,0..1,,,Activities,"A class capturing a record of system user actions within an auditee's system, which includes instances of entry, approval, last modification, and posting of data or transactions.",Base,14,BS07_10,,,
85,2,Composition,,Customer,Billing,0..1,,,Address,"The address to which billing statements and invoices are sent for a customer, typically used for payment processing and correspondence.",Base,14,BS07_11,,,
86,2,Composition,,Customer,Physical,0..1,,,Address,"The actual geographic location of a customer, including street name, number, city, and postal code, where the customer is physically located",Base,14,BS07_12,,,
87,2,Composition,,Customer,Total Credit Limit,0..1,,,Amount,"The maximum monetary amount of credit available to a customer, as defined by the lending institution.",Base,14,BS07_13,,,
88,2,Composition,,Customer,Transaction Credit Limit,0..1,,,Amount,"The maximum monetary amount a customer is authorized to borrow for a single transaction, as set by the credit provider.",Base,14,BS07_14,,,
89,2,Composition,,Customer,Primary,0..1,,,Contact,"The main point of contact for a customer, typically responsible for communication and decision-making regarding business transactions.",Base,14,BS07_15,,,
92,1,Class,,Customer Hierarchy,,,,,,A class defines the relationships between individual customers.,Base,14,BS08,,,
93,2,Reference Association,PK,Customer Hierarchy,Child,1..1,,,Customer,The customer instance that is designated as a subordinate in a customer hierarchy structure.,Base,14,BS08_01,,,
94,2,Reference Association,PK,Customer Hierarchy,Parent,1..1,,,Customer,The customer instance that is designated as a superior in a customer hierarchy structure.,Base,14,BS08_02,,,
95,1,Class,,Customer Type,,,,,,A class contains detailed descriptions of customer categories.,Base,12,BS09,,,
96,2,Attribute,PK,Customer Type,ID,1..1,Identifier,Identifier Medium,,The unique identifier for the type of customer.,Base,12,BS09_01,,,
97,2,Attribute,,Customer Type,Code,0..1,Code,CUSTOMER TYPE CODE,,The identifier that categorizes the type of customer within an organizational system.,Base,12,BS09_02,,,
98,2,Attribute,,Customer Type,Name,0..1,Name,Name Medium,,The designation for the category of customers based on their attributes.,Base,12,BS09_03,,,
99,1,Class,,Customer Type Hierarchy,,,,,,A class outlines the levels and relationships among different types of customers.,Base,12,BS10,,,
100,2,Reference Association,PK,Customer Type Hierarchy,Child,1..1,,,Customer Type,The classification of customer that falls under a subordinate level within a customer type hierarchy.,Base,12,BS10_01,,,
101,2,Reference Association,PK,Customer Type Hierarchy,Parent,1..1,,,Customer Type,The classification of customer that holds a superior level within a customer type hierarchy.,Base,12,BS10_02,,,
166,1,Class,,Customized Account Segment,,,,,,The unique category within audit data services holds financial details that extend beyond standard account segments.,Base,44,BS18,,,
167,2,Attribute,PK,Customized Account Segment,Code,1..1,Identifier,Identifier Medium,,The unique code for a non-standard account segment relevant to audit data.,Base,44,BS18_01,,,
168,2,Attribute,,Customized Account Segment,Name,0..1,Name,Name Long,,The name for a non-standard account segment relevant to audit data.,Base,44,BS18_02,,,
169,2,Attribute,,Customized Account Segment,Description,0..1,Text,Text Medium,,The detailed explanation of a customized account segment pertinent to audit requirements.,Base,44,BS18_03,,,
170,2,Attribute,,Customized Account Segment,Customized Account Encoding Rule,0..1,Code,ENCODING RULE CODE,,"The structured format for the values within a customized account segment, often delineating hierarchical levels.",Base,44,BS18_04,,,
171,2,Attribute,,Customized Account Segment,Hierarchy Indicator,0..1,Indicator,Indicator,,"The binary indicator that signifies whether an account segment value is part of a hierarchical arrangement, with '1' representing presence and '0' representing absence of hierarchy.",Base,44,BS18_05,,,
172,2,Attribute,,Customized Account Segment,Active Indicator,0..1,Indicator,Indicator,,The flag indicating if a customized account segment is currently in use within the accounting system.,Base,44,BS18_06,,,
173,1,Class,,Customized Account Value,,,,,,The unique code representing a value within a customized account segment.,Base,46,BS19,,,
174,2,Attribute,PK,Customized Account Value,Code,1..1,Identifier,Identifier Medium,,The unique code representing a value within a customized account segment.,Base,46,BS19_01,,,
175,2,Attribute,,Customized Account Value,Name,0..1,Name,Name Long,,The identifier for a specific value within an account segment.,Base,46,BS19_02,,,
176,2,Attribute,,Customized Account Value,Description,0..1,Text,Text Medium,,The explanation of the significance or content of an account segment's value.,Base,46,BS19_03,,,
177,2,Attribute,,Customized Account Value,Hierarchy,0..1,Identifier,HIERARCHY LEVEL,,The designated level within the hierarchical structure of customized account values.,Base,46,BS19_04,,,
178,2,Reference Association,,Customized Account Value,,0..1,,,Customized Account Segment,The unique category within audit data services holds financial details that extend beyond standard account segments.,Base,46,BS19_05,,,
179,1,Class,,Customized Account Value Hierarchy,,,,,,A class establishes the hierarchical relationships among individual customized account values.,Base,46,BS20,,,
180,2,Reference Association,PK,Customized Account Value Hierarchy,Child,1..1,,,Customized Account Value,The specific value within a customized account value hierarchy that is subordinate to a parent value.,Base,46,BS20_01,,,
181,2,Reference Association,PK,Customized Account Value Hierarchy,Parent,1..1,,,Customized Account Value,The specific value within a customized account value hierarchy that is superior to a child value.,Base,46,BS20_02,,,
182,1,Class,,Employee,,,,,,A class that holds individual employee details within a specific accounting entity.,Base,8,BS21,,,
183,2,Attribute,PK,Employee,ID,1..1,Identifier,Identifier Medium,,The unique identifier for an employee.,Base,8,BS21_01,,,
184,2,Attribute,,Employee,Code,0..1,Char,Char Medium,,"The unique identification code assigned to an employee, which remains singular across various roles or departments within the organization.",Base,8,BS21_02,,,
185,2,Attribute,,Employee,Name,0..1,Name,Name Medium,,The name of an individual employed by an organization.,Base,8,BS21_03,,,
186,2,Attribute,,Employee,Active Indicator,0..1,Indicator,Indicator,,"The binary indicator that denotes an employee's current operational status within the organization, with '1' for active and '0' for inactive.",Base,8,BS21_04,,,
187,2,Attribute,,Employee,Type Code,0..1,Char,Char Medium,,The classification assigned to employees to represent their employment status.,Base,8,BS21_05,,,
188,2,Attribute,,Employee,Type Name,0..1,Name,Name Short,,The category that describes an employee's work arrangement or status with an organization.,Base,8,BS21_06,,,
189,2,Attribute,,Employee,Job Title,0..1,Char,Char Medium,,"The official designation assigned to an employee within an organization, reflecting their duties and responsibilities.",Base,8,BS21_07,,,
190,2,Attribute,,Employee,Academic Degree,0..1,Char,Char Medium,,The highest level of academic qualification obtained by an employee.,Base,8,BS21_08,,,
191,2,Attribute,,Employee,Employment Date,0..1,Date,DATE,,The date an individual officially began their period of employment with an organization.,Base,8,BS21_09,,,
192,2,Attribute,,Employee,Termination Date,0..1,Date,DATE,,The date on which an employee's contract ceases to be effective or the date the employee ceases working in a particular department.,Base,8,BS21_10,,,
193,2,Reference Association,,Employee,Department,0..1,,,Business Segment,A class signifies the structural units depicted within an organizational chart. It serves to illustrate relationships with business partners and conveys various business contexts.,Base,8,BS21_11,,,
194,2,Reference Association,,Employee,,0..1,,,User,"The class holds user information that's key to controlling access, ensuring security, and monitoring system activities.",Base,8,BS21_12,,,
195,1,Class,,General Ledger Account Segment,,,,,,"A sub-component of a ledger account, holding specific sub-account information that contributes to detailed financial analysis and reporting. It enables the categorization of transactions within a General Ledger Account, facilitating nuanced tracking and management of financial data.",General Ledger,56,GL01,,,
196,2,Attribute,,General Ledger Account Segment,Number,0..1,Char,Char Medium,,The number for an account segment.,General Ledger,56,GL01_01,,,
197,2,Attribute,PK,General Ledger Account Segment,Name,1..1,Identifier,Identifier Long,,The unique name associated with an account segment.,General Ledger,56,GL01_02,,,
198,2,Attribute,,General Ledger Account Segment,Corresponding File,0..1,Char,Char Long,,The name of the table that stores information relevant to a specific account segment.,General Ledger,56,GL01_03,,,
199,2,Attribute,,General Ledger Account Segment,Description,0..1,Text,Text Medium,,The comprehensive explanation of the purpose and content of an Account Segment.,General Ledger,56,GL01_04,,,
200,2,Reference Association,,General Ledger Account Segment,,0..1,,,Customized Account Segment,The unique category within audit data services includes specific financial details not covered by standard account segments.,General Ledger,56,GL01_05,,,
201,2,Reference Association,PK,General Ledger Account Segment,,1..1,,,Ledger Account,"A class that records essential details of general ledger accounts such as their names, descriptions, types, and hierarchical positioning.",General Ledger,56,GL01_06,,,
202,1,Class,,General Ledger Journal Entry,,,,,,"A set of introductory fields in the General Ledger that provides the context for ledger entries, including identifiers like numbers, dates, and descriptive information.",General Ledger,52,GL02,,,
203,2,Attribute,PK,General Ledger Journal Entry,ID,1..1,Identifier,Identifier Long,,The unique identifier for a journal entry.,General Ledger,52,GL02_01,,,
204,2,Attribute,,General Ledger Journal Entry,Number,0..1,Char,Char Long,,The number for each journal entry in a financial recording system.,General Ledger,52,GL02_02,,,
205,2,Attribute,,General Ledger Journal Entry,Effective Date,0..1,Date,DATE,,"The date that officially recognizes the journal entry within an entity's financial accounting records, irrespective of the actual entry creation or receipt date.",General Ledger,52,GL02_03,,,
206,2,Attribute,,General Ledger Journal Entry,Description,0..1,Text,Text Medium,,The text that characterizes the overall journal entry.,General Ledger,52,GL02_04,,,
209,2,Reference Association,,General Ledger Journal Entry,,0..1,,,Accounting Period,"A specific duration within a fiscal year, delineated by its beginning and ending dates. It serves as the timeframe during which business transactions and entries are accumulated and organized into financial statements and reports.",General Ledger,52,GL02_07,,,
210,2,Reference Association,,General Ledger Journal Entry,,0..1,,,General Ledger Source,A class holds supplementary details about sources cited in the General Ledger. It documents the originating ERP system or accounting package and details the associated business processes represented by the data.,General Ledger,52,GL02_08,,,
211,2,Reference Association,,General Ledger Journal Entry,,0..1,,,Journal Entry Type,"A class contains information for classifying entries in the General Ledger, clarifying the nature and purpose of each entry.",General Ledger,52,GL02_09,,,
207,2,Composition,,General Ledger Journal Entry,,0..1,,,Activities,"A class capturing a record of system user actions within an auditee's system, which includes instances of entry, approval, last modification, and posting of data or transactions.",General Ledger,52,GL02_05,,,
208,2,Composition,,General Ledger Journal Entry,,0..*,,,General Ledger Journal Entry Line,"A class represents a single entry within the General Ledger, containing detailed information about a specific financial transaction or account activity.",General Ledger,52,GL02_06,,,
212,1,Class,,General Ledger Journal Entry Line,,,,,,"A class represents a single entry within the General Ledger, containing detailed information about a specific financial transaction or account activity.",General Ledger,52,GL03,,,
213,2,Attribute,PK,General Ledger Journal Entry Line,Journal ID,1..1,Identifier,Identifier Long,,"Unique identifier for each journal entry line.
",General Ledger,52,GL03_01,,,
214,2,Attribute,,General Ledger Journal Entry Line,Number,0..1,Identifier,Identifier Long,,The number for a line within a journal entry.,General Ledger,52,GL03_02,,,
215,2,Attribute,,General Ledger Journal Entry Line,Description,0..1,Text,Text Medium,,The text that characterizes a line within a journal entry.,General Ledger,52,GL03_03,,,
216,2,Attribute,,General Ledger Journal Entry Line,Debit or Credit Code,0..1,Code,DEBIT CREDIT CODE,,"A code that classifies a transaction as either increasing assets and expenses, denoted  by 'D' for debit, or increasing liabilities, equity, and revenues, denoted by 'C' for credit.",General Ledger,52,GL03_04,,,
217,2,Attribute,,General Ledger Journal Entry Line,Reversal Indicator,0..1,Code,REVERSAL INDICATOR CODE,,A code that indicates if a general ledger entry line is a reversal or is to be reversed.,General Ledger,52,GL03_05,,,
218,2,Attribute,,General Ledger Journal Entry Line,Reversal Journal ID,0..1,Char,Char Long,,The Journal ID of the journal entry line that corresponds to the original entry line being reversed if the Reversal Indicator is set.,General Ledger,52,GL03_06,,,
219,2,Attribute,,General Ledger Journal Entry Line,Cancellation Indicator,0..1,Indicator,Indicator,,"Signifies whether a journal entry line, already formed but not yet posted, has been cancelled or not.",General Ledger,52,GL03_07,,,
225,2,Reference Association,,General Ledger Journal Entry Line,Account Segment,0..1,,,Bank Account,Refers to a specific segment within the accounting system that contains information related to bank accounts.,General Ledger,52,GL03_13,,,
226,2,Reference Association,,General Ledger Journal Entry Line,,0..*,,,Business Segment,A class signifies the structural units depicted within an organizational chart. It serves to illustrate relationships with business partners and conveys various business contexts.,General Ledger,52,GL03_14,,,
227,2,Reference Association,,General Ledger Journal Entry Line,Account Segment,0..1,,,Employee,Refers to a specific segment within the accounting system that contains information related to employee.,General Ledger,52,GL03_15,,,
228,2,Reference Association,,General Ledger Journal Entry Line,,0..1,,,Ledger Account,"The Ledger Account records essential details of General Ledger accounts such as their names, descriptions, types, and hierarchical positioning.",General Ledger,52,GL03_16,,,
229,2,Reference Association,,General Ledger Journal Entry Line,Account Segment,0..1,,,Project,Refers to a specific segment within the accounting system that contains information related to project,General Ledger,52,GL03_17,,,
230,2,Reference Association,,General Ledger Journal Entry Line,,0..1,,,Settlement Method,"A class describing various methodologies adopted by the business to settle transactions, which can range from cash payments to bank transfers.",General Ledger,52,GL03_18,,,
220,2,Composition,,General Ledger Journal Entry Line,,0..*,,,Account Segment,"A class furnishes supplementary information for specific Ledger Accounts, enhancing the management of related data in an efficient manner.",General Ledger,52,GL03_08,,,
221,2,Composition,,General Ledger Journal Entry Line,Unit Price,0..1,,,Amount,"The monetary amount refers to the price per unit of inventory or property, plant, and equipment (PPE).",General Ledger,52,GL03_09,,,
222,2,Composition,,General Ledger Journal Entry Line,,0..1,,,Amounts,The multi-currency monetary amounts represents the monetary values of ledger accounts.,General Ledger,52,GL03_10,,,
223,2,Composition,,General Ledger Journal Entry Line,,0..1,,,Bill,The initial source document associated with this journal entry.,General Ledger,52,GL03_11,,,
224,2,Composition,,General Ledger Journal Entry Line,,0..1,,,Quantity,A class represents the number of items referenced in the journal entry line. It is particularly relevant for inventories or fixed assets.,General Ledger,52,GL03_12,,,
231,1,Class,,General Ledger Period Balance,,,,,,"A class that includes the cumulative total and balance of all accounts within an accounting period. It calculates and presents the starting and ending balances, amounts over the period, and quantities of assets or resources, ensuring a comprehensive reflection of financial status and changes in the General Ledger.",General Ledger,58,GL04,,,
232,2,Attribute,,General Ledger Period Balance,Beginning Balance Indicator,0..1,Code,DEBIT CREDIT CODE,,The designation that identifies whether the starting balance of an account is a debit or a credit.,General Ledger,58,GL04_01,,,
233,2,Attribute,,General Ledger Period Balance,Ending Balance Indicator,0..1,Code,DEBIT CREDIT CODE,,The marker that specifies the nature of the account balance at the end of an accounting period as either a debit or a credit.,General Ledger,58,GL04_02,,,
243,2,Reference Association,PK,General Ledger Period Balance,,1..1,,,Accounting Period,"A specific duration within a fiscal year, delineated by its beginning and ending dates. It serves as the timeframe during which business transactions and entries are accumulated and organized into financial statements and reports.",General Ledger,58,GL04_12,,,
244,2,Reference Association,,General Ledger Period Balance,Account Segment,0..1,,,Bank Account,Refers to a specific segment within the accounting system that contains information related to bank accounts.,General Ledger,58,GL04_13,,,
245,2,Reference Association,,General Ledger Period Balance,,0..*,,,Business Segment,A class signifies the structural units depicted within an organizational chart. It serves to illustrate relationships with business partners and conveys various business contexts.,General Ledger,58,GL04_14,,,
246,2,Reference Association,,General Ledger Period Balance,Account Segment,0..1,,,Employee,Refers to a specific segment within the accounting system that contains information related to employee.,General Ledger,58,GL04_15,,,
247,2,Reference Association,PK,General Ledger Period Balance,,1..1,,,Ledger Account,"records essential details of General Ledger accounts such as their names, descriptions, types, and hierarchical positioning.",General Ledger,58,GL04_16,,,
248,2,Reference Association,,General Ledger Period Balance,,0..1,,,Measurement Unit,Ecompasses information regarding the unit of measurement (UOM).,General Ledger,58,GL04_17,,,
249,2,Reference Association,,General Ledger Period Balance,Account Segment,0..1,,,Project,Refers to a specific segment within the accounting system that contains information related to project.,General Ledger,58,GL04_18,,,
234,2,Composition,,General Ledger Period Balance,,0..*,,,Account Segment,"A class furnishes supplementary information for specific Ledger Accounts, enhancing the management of related data in an efficient manner.",General Ledger,58,GL04_03,,,
235,2,Composition,,General Ledger Period Balance,Beginning Balance,0..1,,,Amounts,The multi-currency monetary amounts represents the monetary values of ledger accounts at the start of a specified accounting period.,General Ledger,58,GL04_04,,,
236,2,Composition,,General Ledger Period Balance,Credit,0..1,,,Amounts,"The multi-currency monetary amounts represents the total amount credited to an account during a specific accounting period. It reflects the cumulative sum of credit transactions recorded within the General Ledger, providing insight into the financial activity and changes within the specified period.",General Ledger,58,GL04_05,,,
237,2,Composition,,General Ledger Period Balance,Debit,0..1,,,Amounts,"The multi-currency monetary amounts represents the total amount debited to an account during a specific accounting period. It reflects the cumulative sum of debit transactions recorded within the General Ledger, providing insight into the financial activity and changes within the specified period.",General Ledger,58,GL04_06,,,
238,2,Composition,,General Ledger Period Balance,Ending Balance,0..1,,,Amounts,The multi-currency monetary amounts represents the monetary values of ledger accounts at the end of a specified accounting period,General Ledger,58,GL04_07,,,
239,2,Composition,,General Ledger Period Balance,Beginning,0..1,,,Quantity,"The initial amount of items in the inventory or the Property, Plant, and Equipment (PPE) account at the start of a period.",General Ledger,58,GL04_08,,,
240,2,Composition,,General Ledger Period Balance,Credit,0..1,,,Quantity,"Denotes the quantity of inventory or Property, Plant, and Equipment (PPE) credited during a specific accounting period. It represents the cumulative total of quantities associated with credit transactions recorded within the General Ledger, offering insights into the inventory or PPE movements over the specified period.",General Ledger,58,GL04_09,,,
241,2,Composition,,General Ledger Period Balance,Debit,0..1,,,Quantity,"Denotes the quantity of inventory or Property, Plant, and Equipment (PPE) debited during a specific accounting period. It represents the cumulative total of quantities associated with debit transactions recorded within the General Ledger, offering insights into the inventory or PPE movements over the specified period.",General Ledger,58,GL04_10,,,
242,2,Composition,,General Ledger Period Balance,Ending,0..1,,,Quantity,"The final amount of items in the inventory or the Property, Plant, and Equipment (PPE) account at the end of a period.",General Ledger,58,GL04_11,,,
250,1,Class,,General Ledger Source,,,,,,"A class details the origins of data in the General Ledger Journal Entry, including the ERP systems or accounting packages involved and the related business processes.",General Ledger,54,GL05,,,
251,2,Attribute,PK,General Ledger Source,Code,1..1,Identifier,Identifier Short,,The unique code indicating the origin of a journal entry.,General Ledger,54,GL05_01,,,
252,2,Attribute,,General Ledger Source,Description,0..1,Text,Text Medium,,The explanation of the source system for the general ledger.,General Ledger,54,GL05_02,,,
253,2,Attribute,,General Ledger Source,ERP Subledger Module,0..1,Char,Char Long,,"The specific subledger or ERP module source of a journal entry, reflecting the origin within the accounting system or process.",General Ledger,54,GL05_03,,,
254,2,Attribute,,General Ledger Source,System Manual Code,0..1,Code,SYSTEM MANUAL CODE,,A code that denotes whether a journal entry was created automatically by the system or by input manually.,General Ledger,54,GL05_04,,,
255,2,Attribute,,General Ledger Source,Business Process Major,0..1,Char,Char Long,,The main category of business activities as recorded in the general ledger.,General Ledger,54,GL05_05,,,
256,2,Attribute,,General Ledger Source,Business Process Minor,0..1,Char,Char Long,,The specific activities or sub-categories within a broader business process context.,General Ledger,54,GL05_06,,,
257,1,Class,,General Ledger Trial Balance,,,,,,"A class contains ledger account balances within the accounting system, presenting ending balances at a specific point in time to ensure consistency with the General Ledger entries.",General Ledger,50,GL06,,,
258,2,Attribute,,General Ledger Trial Balance,Balance As Of Date,0..1,Date,DATE,,The date specifying the point until which the general ledger trial balance is accurate and inclusive of all account transactions.,General Ledger,50,GL06_01,,,
261,2,Reference Association,PK,General Ledger Trial Balance,,1..1,,,Accounting Period,"A specific duration within a fiscal year, delineated by its beginning and ending dates. It serves as the timeframe during which business transactions and entries are accumulated and organized into financial statements and reports.",General Ledger,50,GL06_04,,,
262,2,Reference Association,,General Ledger Trial Balance,,0..*,,,Business Segment,A class signifies the structural units depicted within an organizational chart. It serves to illustrate relationships with business partners and conveys various business contexts.,General Ledger,50,GL06_05,,,
263,2,Reference Association,PK,General Ledger Trial Balance,,1..1,,,Ledger Account,The unique identifier for a ledger account within the general ledger trial balance.,General Ledger,50,GL06_06,,,
259,2,Composition,,General Ledger Trial Balance,Beginning Balance,0..1,,,Amounts,The multi-currency monetary amounts represents the monetary values of ledger accounts at the start of a specified accounting period.,General Ledger,50,GL06_02,,,
260,2,Composition,,General Ledger Trial Balance,Ending Balance,0..1,,,Amounts,The multi-currency monetary amounts represents the monetary values of ledger accounts at the end of a specified accounting period.,General Ledger,50,GL06_03,,,
707,1,Class,,Inventory Location,,,,,,A class stores information about a specific location where inventory items may be tracked.,Inventory,121,IV01,,,
708,2,Attribute,PK,Inventory Location,ID,1..1,Identifier,Identifier Medium,,The unique identifier assigned to each inventory location.,Inventory,121,IV01_01,,,
709,2,Attribute,,Inventory Location,Code,0..1,Char,Char Long,,The code used to identify the location at a local level.,Inventory,121,IV01_02,,,
710,2,Attribute,,Inventory Location,Description,0..1,Text,Text Medium,,"The textual description of the location, often providing additional details about its name or purpose.",Inventory,121,IV01_03,,,
711,2,Attribute,,Inventory Location,Type,0..1,Char,Char Short,,The classification describing the type or category of the inventory location.,Inventory,121,IV01_04,,,
712,2,Attribute,,Inventory Location,Active Indicator,0..1,Indicator,Indicator,,The flag indicates whether the location is currently active or inactive.,Inventory,121,IV01_05,,,
714,2,Reference Association,,Inventory Location,,0..*,,,Business Segment,The business segment responsible for the physical storage and management of inventory within a specific location or warehouse.,Inventory,121,IV01_07,,,
715,2,Reference Association,,Inventory Location,Inventory Organization,0..1,,,Business Segment,The business segment or organization responsible for managing inventory at this location.,Inventory,121,IV01_08,,,
713,2,Composition,,Inventory Location,Physical,0..1,,,Address,The physical address associated with the inventory location.,Inventory,121,IV01_06,,,
716,1,Class,,Inventory Location Hierarchy,,,,,,A class outlines the structure and relationships of various inventory locations.,Inventory,121,IV02,,,
717,2,Reference Association,PK,Inventory Location Hierarchy,Child,1..1,,,Inventory Location,The inventory location instance that is designated as a subordinate in an inventory location hierarchy structure.,Inventory,121,IV02_01,,,
718,2,Reference Association,PK,Inventory Location Hierarchy,Parent,1..1,,,Inventory Location,The inventory location instance that is designated as a superior in an inventory location hierarchy structure.,Inventory,121,IV02_02,,,
719,1,Class,,Inventory On Hand,,,,,,A class represents the inventory currently available in stock.,Inventory,127,IV03,,,
720,2,Attribute,PK,Inventory On Hand,ID,1..1,Identifier,Identifier Medium,,The unique identifier assigned to each inventory item,Inventory,127,IV03_01,,,
721,2,Attribute,,Inventory On Hand,Lot Number,0..1,Char,Char Medium,,The specific identification number assigned to a batch of products produced or received together.,Inventory,127,IV03_02,,,
722,2,Attribute,,Inventory On Hand,Serial Number,0..1,Char,Char Medium,,The individualized identifier assigned to a single unit of inventory for tracking purposes.,Inventory,127,IV03_03,,,
723,2,Attribute,,Inventory On Hand,ABC Code,0..1,Code,INVENTORY ABC CODE,,The classification code used to categorize inventory items based on their value or importance.,Inventory,127,IV03_04,,,
724,2,Attribute,,Inventory On Hand,As Of Date,0..1,Date,DATE,,The date indicating the time at which the inventory status is recorded.,Inventory,127,IV03_05,,,
725,2,Attribute,,Inventory On Hand,Last Count Date,0..1,Date,DATE,,The date of the most recent physical inventory count for the item.,Inventory,127,IV03_06,,,
726,2,Attribute,,Inventory On Hand,Cost Method,0..1,Char,Char Short,,The method used to calculate the cost of inventory items.,Inventory,127,IV03_07,,,
727,2,Attribute,,Inventory On Hand,Bin ID,0..1,Char,Char Short,,The identifier for the storage location within a warehouse where the inventory is kept.,Inventory,127,IV03_08,,,
728,2,Attribute,,Inventory On Hand,Bin Location,0..1,Char,Char Medium,,The specific physical location within a warehouse where the inventory is stored.,Inventory,127,IV03_09,,,
739,2,Reference Association,,Inventory On Hand,,0..*,,,Business Segment,The organizational unit within which inventory operations are conducted.,Inventory,127,IV03_20,,,
740,2,Reference Association,,Inventory On Hand,Cost Organization,0..1,,,Business Segment,The business segment responsible for managing the cost aspects of inventory.,Inventory,127,IV03_21,,,
741,2,Reference Association,,Inventory On Hand,Inventory Organization,0..1,,,Business Segment,The business segment responsible for overall inventory management.,Inventory,127,IV03_22,,,
742,2,Reference Association,,Inventory On Hand,Functional,0..1,,,Currency,The currency used for financial transactions and reporting within the inventory system.,Inventory,127,IV03_23,,,
743,2,Reference Association,,Inventory On Hand,,0..1,,,Inventory Location,The physical location or warehouse where the inventory is stored.,Inventory,127,IV03_24,,,
744,2,Reference Association,,Inventory On Hand,,0..1,,,Inventory Product,The product associated with the inventory item.,Inventory,127,IV03_25,,,
745,2,Reference Association,,Inventory On Hand,Costing,0..1,,,Measurement Unit,The unit of measurement used for costing inventory item.,Inventory,127,IV03_26,,,
746,2,Reference Association,,Inventory On Hand,Purchasing,0..1,,,Measurement Unit,The unit of measurement used for purchasing inventory item.,Inventory,127,IV03_27,,,
