Klassifikaatori elementide täielik loetelu. Viimati uuendatud seisuga 11.2023,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24
B60107,B601,4,1,ATS § 90 lg 1 p 4 koondamine (ennistamine),"Redundancy (reinstatement), § 90 (1) 4) of Civil Service Act","Сокращение (восстановления), п.4 ч.1 ст.90 (TLS)","ATS § 90.  Teenistusest vabastamine koondamise tõttu
(1) Ametiasutus võib ametniku teenistusest vabastada koondamise tõttu, kui:
4) ametnik on nimetatud ametikohale, millele nimetatakse õigusvastaselt teenistusest vabastamise tõttu teenistusse ennistatud ametnik.","§ 90 of the Civil Service Act. Release from service due to redundancy
(1) The authority may release an official from service due to redundancy if:
4) the official has been appointed to a post to which an unlawfully released official is reinstated in the service.","Статья 90 Закона о публичной службе. Освобождение от службы в связи с сокращением
(1) Учреждение может освободить чиновника от службы в связи с сокращением, если:
4) чиновник назначен на должность, на которую назначается чиновник, восстановленный на службе вследствие его противоправного освобождения от службы.",,,,,,,,,,,,,,2014-01-01 00:00:00,
B60108,B601,4,1,ATS § 91 lg 1 vabastamine katseajal ,Probationary period (Employment Contracts Act),"Освобождение во время испытательного срока, ч.1 ст.91 (ATS)","ATS § 91. Teenistusest vabastamine katseaja ebarahuldavate tulemuste tõttu
(1) Katseaja ebarahuldavate tulemuste tõttu võib ametniku teenistusest vabastada ainult juhul, kui tema töökogemus, teadmised ja oskused ei vasta piisavalt teenistusülesannete täitmiseks kehtestatud nõuetele.","§ 91 of the Civil Service Act. Release from service due to unsatisfactory results of probationary period
(1) An official may be released from service due to unsatisfactory results of the probationary period only in the case that his or her work experience, knowledge and skills do not sufficiently meet the requirements established for the performance of duties.","Статья 91 Закона о публичной службе. Освобождение от службы вследствие неудовлетворительных результатов испытательного срока
(1) Чиновник может быть освобожден от службы вследствие неудовлетворительных результатов испытательного срока только в случае, когда его опыт работы, знания и умения не соответствуют в достаточной степени требованиям, установленным для выполнения служебных обязанностей.",,,,,,,,,,,,,,2014-01-01 00:00:00,
B60109,B601,4,1,ATS § 92 lg 1 ettenägematud asjaolud,"Unforeseeable circumstances, § 92 (1) of Civil Service Act","Освобождение по непредвиденным обстоятельствам, ч.1 ст.92 (ATS)","ATS § 92. Teenistusest vabastamine ettenägematute asjaolude ilmnemise tõttu
(1) Ametniku võib teenistusest vabastada asjaolu tõttu, millest nähtub ametniku teadmiste ja oskuste vähesus teenistusülesannete täitmiseks kehtestatud nõuetele vastavas ulatuses ning mis ei võimalda tal teenistussuhet jätkata ja mida ei saanud ette näha ametniku teenistusse võtmisel ega katseaja kestel.","§ 92 of the Civil Service Act. Release from service due to unforeseeable circumstances
(1) An official may be released from service due to a circumstance which reveals the deficiency of the knowledge and skills of an official in the extent corresponding to the requirements established for the performance of the functions, which does not allow him or her to continue the service relationship and which could not be foreseen upon employment in service of the official or during the probationary period.","Статья 92 Закона о публичной службе. Освобождение от службы вследствие выявления непредвиденных обстоятельств
(1) Чиновник может быть освобожден от службы в связи с выявлением обстоятельства, из которого явствует недостаточность знаний и умений чиновника в объеме, соответствующем требованиям, установленным для выполнения служебных обязанностей, которая не позволяет чиновнику продолжать служебные отношения и которую невозможно было предусмотреть при приеме чиновника на службу или в течение испытательного срока.",,,,,,,,,,,,,,2014-01-01 00:00:00,
B60110,B601,4,1,ATS § 93 lg 1 töövõime vähenemine ,"Decrease in capacity for work, § 93 (1) of Civil Service Act","Уменьшение трудоспособности, ч.1 ст.93 (ATS)","ATS § 93.  Teenistusest vabastamine töövõime vähenemise tõttu
(1) Ametniku võib teenistusest vabastada töövõime vähenemise tõttu, kui ametnik ei saa oma teenistusülesandeid täita üle nelja kuu järjest või üle viie kuu aasta jooksul.","§ 93 of the Civil Service Act. Release from service due to decrease in capacity for work
(1) An official may be released from work due to decrease in the capacity for work if the official is not capable of performing the functions for over four consecutive months or over five months within a year.","Статья 93 Закона о публичной службе. Освобождение от службы вследствие уменьшения трудоспособности
(1) Чиновник может быть освобожден от службы вследствие уменьшения трудоспособности, если чиновник не может выполнять свои служебные обязанности более четырех месяцев подряд или более пяти месяцев в течение года.",,,,,,,,,,,,,,2014-01-01 00:00:00,
B60111,B601,4,1,ATS § 94 lg 1 distsiplinaarsüütegu,"Disciplinary offence, § 94 (1) of Civil Service Act","Дисциплинарное виновное деяние, ч.1 ст.94 (ATS)","ATS § 94.  Teenistusest vabastamine distsiplinaarsüüteo eest
(1) Ametniku võib teenistusest vabastada käesoleva seaduse § 70 punktis 3 sätestatud distsiplinaarkaristusena käesoleva seaduse § 75 lõikes 4 sätestatud tingimusel.","§ 94 of the Civil Service Act. Release from service for disciplinary offence
(1) An official may be released from service as a disciplinary penalty on the basis provided for in clause 3 of § 70 of this Act under the condition provided for in subsection 4 of § 75 of this Act.","Статья 94 Закона о публичной службе. Освобождение от службы за дисциплинарное виновное деяние
(1) Чиновник может быть освобожден от службы в качестве меры дисциплинарного взыскания, установленной пунктом 3 статьи 70 настоящего Закона, на условиях, установленных частью 4 статьи 75 настоящего Закона.",,,,,,,,,,,,,,2014-01-01 00:00:00,
B60112,B601,4,1,ATS § 95 lg 1 välistavad asjaolud,"Circumstances which preclude recruitment, § 95 (1) of Civil Service Act","Исключающие обстоятельства, ч.1 ст.95 (ATS)","ATS § 95. Teenistusest vabastamine asjaolude tõttu, mis välistaksid ametniku teenistusse võtmise
(1) Ametnik vabastatakse teenistusest, kui ilmnevad või tekivad asjaolud, mis välistaksid tema teenistusse võtmise tulenevalt käesoleva seaduse § 14 lõikest 1 või 2 või §-st 15.","§ 95 of the Civil Service Act. Release from service due to circumstances which would preclude recruitment of official
(1) An official shall be released from service if circumstances appear or arise which would preclude the recruitment of the official pursuant to subsection 1 or 2 of § 14 or § 15 of this Act.","Статья 95 Закона о публичной службе. Освобождение от службы вследствие наличия обстоятельств, которые исключили бы прием чиновника на службу
(1) Чиновник освобождается от службы, если выявляются или возникают обстоятельства, которые исключили бы его прием на службу, исходя из части 1 или 2 статьи 14 или статьи 15 настоящего Закона. ",,,,,,,,,,,,,,2014-01-01 00:00:00,
B60113,B601,4,1,ATS § 96 lg 1 koostöö mittelaabumine ,"Failure of co-operation, § 96 (1) of Civil Service Act","Отсутствие согласованности действий, ч.1 ст.96 (ATS)","ATS § 96.  Ministeeriumi kantsleri vabastamine koostöö mittelaabumise tõttu
(1) Ministeeriumi kantsler vabastatakse teenistusest, kui ministri hinnangul ministri ja kantsleri koostöö ei laabu.","§ 96 of the Civil Service Act. Release of secretary general of ministry due to failure of co-operation
(1) A secretary general of a ministry shall be released from service if, according to the assessment of a minister, the co-operation between the minister and the secretary general fails.","Статья 96 Закона о публичной службе. Освобождение канцлера министерства вследствие отсутствия согласованности действий
(1) Канцлер министерства освобождается от службы, если, по оценке министра, отсутствует согласованность действий министра и канцлера.",,,,,,,,,,,,,,2014-01-01 00:00:00,
B60115,B601,4,1,ATS § 99  ametniku surm,"Death of an official, § 99 of Civil Service Act","Смерть чиновника, ст.99 (ATS)","ATS § 99. Teenistussuhte lõppemine surma korral
Ametniku surma korral on teenistussuhte viimane päev surma päev.","§ 99 of the Civil Service Act. Termination of service relationship upon death
Upon the death of an official the last day of the service relationship is deemed to be the date of death.","Статья 99 Закона о публичной службе. Прекращение служебных отношений в случае смерти
В случае смерти чиновника последним днём служебных отношений является день смерти.",,,,,,,,,,,,,,2014-01-01 00:00:00,
B60116,B601,4,1,ATS § 46 abikaasatasu lõppemine,"Termination of allowance for spouse, § 46 of Civil Service Act",Статья 46 Закона о публичной службе,ATS § 46 abikaasatasu lõppemine,§ 46 of the Civil Service Act. Termination of allowance for spouse,Статья 46 Закона о публичной службе. Прекращение выплаты супружеского вознаграждения,,,,,,,,,,,,,,2014-01-01 00:00:00,
B60117,B601,4,1,ATS § 89 lg 2 valimine teisele ametikohale,"Election to another post, § 89 (2) of Civil Service Act","Избрание на другую должность, ч.2 ст.89 (ATS)","ATS § 89.  Teenistusest vabastamine käesoleva seaduse § 2 lõikes 3 nimetatud ametikohale nimetamise ja valimise korral
(2) Kui ametnik asub Euroopa Parlamendi liikme kohale, siis tema teenistussuhte viimane päev on vastavalt Euroopa Parlamendi valimise seaduse § 72 lõikes 4 sätestatule Vabariigi Valimiskomisjoni Euroopa Parlamendi töös osalemise soovist teavitamise päev.","§ 89 of the Civil Service Act. Release from service upon appointment or election to post specified in subsection 3 of § 2
(2) If an official assumes the post of a member of the European Parliament, the last day of his or her service relationship is, pursuant to the provisions of subsection 4 of § 72 of the European Parliament Election Act, the date of the notification of the National Electoral Committee of the desire to participate in the work of the European Parliament.","Статья 89 Закона о публичной службе. Освобождение от службы при назначении и избрании на должность, указанную в части 3 статьи 2 настоящего Закона
(2) Если чиновник занимает место члена Европейского парламента, то последним днем его служебных отношений в соответствии с положениями части 4 статьи 72 Закона о выборах в Европейский парламент является день извещения Республиканской избирательной комиссии о желании участвовать в работе Европейского парламента.",,,,,,,,,,,,,,2014-01-01 00:00:00,
B60118,B601,4,1,ATS § 89 lg 3 valimine teisele ametikohale,"Election to another post, § 89 (3) of Civil Service Act","Избрание на другую должность, ч.3 ст.89 (ATS)","ATS § 89. Teenistusest vabastamine käesoleva seaduse § 2 lõikes 3 nimetatud ametikohale nimetamise ja valimise korral
(3) Kui ametnik nimetatakse käesoleva seaduse § 2 lõike 3 punktides 5–8 nimetatud ametikohale, siis tema teenistussuhte viimane päev on sellele ametikohale nimetamise päevale eelnev päev.","§ 89 of the Civil Service Act. Release from service upon appointment or election to post specified in subsection 3 of § 2
(3) If an official is appointed to the post specified in clauses 5–8 of subsection 3 of § 2 of this Act, the last day of his or her service relationship is the date prior to the day of appointment to this post.","Статья 89 Закона о публичной службе. Освобождение от службы при назначении и избрании на должность, указанную в части 3 статьи 2 настоящего Закона
(3) Если чиновник назначается на должность, указанную в пунктах 5 – 8 части 3 статьи 2 настоящего Закона, то последним днем его служебных отношений является день, предшествующий дню назначения на эту должность.",,,,,,,,,,,,,,2014-01-01 00:00:00,
B60119,B601,4,1,ATS § 89 lg 4 valimine teisele ametikohale,"Election to another post, § 89 (4) of Civil Service Act","Избрание на другую должность, ч.4 ст.89 (ATS)","ATS § 89. Teenistusest vabastamine käesoleva seaduse § 2 lõikes 3 nimetatud ametikohale nimetamise ja valimise korral
(4) Kui ametnik valitakse vallavanemaks või linnapeaks, siis tema teenistussuhte viimane päev on vastavalt kohaliku omavalitsuse korralduse seaduse § 50 lõikes 2 sätestatule ametiasutust enda valimisest teavitamise päev.","§ 89 of the Civil Service Act. Release from service upon appointment or election to post specified in subsection 3 of § 2
(4) If an official is elected to the office of a rural municipality mayor or a city mayor, the last day of his or her service relationship is, pursuant to the provisions of subsection 2 of § 50 of the Local Government Organisation Act, the day of notifying the authority about the election of him or her.","Статья 89 Закона о публичной службе. Освобождение от службы при назначении и избрании на должность, указанную в части 3 статьи 2 настоящего Закона
(4) Если чиновник избирается волостным старшиной или мэром города, то последним днем его служебных отношений в соответствии с положениями части 2 статьи 50 Закона о местном самоуправлении является день извещения учреждения о его избрании.",,,,,,,,,,,,,,2014-01-01 00:00:00,
B60120,B601,4,1,ATS § 98 lg 1 p 5 tähtajatu üleviimine,"Transfer for unspecified term, § 98 (1) 5) of Civil Service Act","Бессрочный перевод, п.5 ч.1 ст. 98 (ATS)","ATS § 98. Ametniku tähtajatu üleviimine
(1) Ametnik viiakse tähtajatult üle teisele ametikohale, kui:
5) ametnik nõustub asuma ametikohale teises riigi ametiasutuses või teises sama kohaliku omavalitsuse üksuse ametiasutuses.","§ 98 of the Civil Service Act. Transfer of official for unspecified term
(1) An official shall be transferred to another post for an unspecified term if:
5) the official consents to assume a post in another state authority or another authority of the same local government.","Статья 98 Закона о публичной службе. Бессрочный перевод чиновника
(1) Чиновник переводится на другую должность бессрочно, если:
5) чиновник согласен вступить в должность в другом государственном учреждении или в другом учреждении той же единицы местного самоуправления.",,,,,,,,,,,,,,2014-01-01 00:00:00,
B60121,B601,4,1,ATS § 33 lg 10 tähtajaline üleviimine,"Transfer for specified term, § 33 (10) of Civil Service Act","Перевод на определённый срок, ч.11 ст.33 (ATS)","ATS § 33. Ametniku tähtajaline üleviimine
(10) Tähtajalise üleviimise võib kõigi osapoolte nõusolekul enne tähtaja lõppu lõpetada.","§ 33 of the Civil Service Act. Temporary transfer of official
(10) The transfer for a specified term may be terminated with the consent of all parties before the expiry of term.","Статья 33 Закона о публичной службе.  Перевод чиновника на определенный срок
(10) Перевод на определенный срок может быть прекращен до окончания его срока с согласия всех сторон.",,,,,,,,,,,,,,2014-01-01 00:00:00,
B60122,B601,4,1,ATS § 105 lg 1 õigusvastaselt teenistusest vabastamine,Unlawfully released from service § 105 (1) of Civil Service Act,"Противоправное освобождение от службы, ч.1 ст.105 (ATS)","ATS § 105.  Nõudeõigus õigusvastaselt teenistusest vabastamise korral
(1) Õigusvastaselt teenistusest vabastatud ametnikul on õigus nõuda vabastamise kohta antud haldusakti õigusvastaseks tunnistamist, teenistusest vabastamise aluse muutmist ning hüvitist ametniku kolme kuu keskmise palga ulatuses. Kohus võib hüvitise suurust muuta, arvestades teenistussuhte lõpetamise asjaolusid ja mõlema poole huve.","§ 105 of the Civil Service Act. Right of claim upon unlawful release from service
(1) An official who is unlawfully released from service has the right to demand that the administrative act on his or her release from service be declared unlawful and to demand amendment of the basis for the release from service and compensation in the amount of the three months' average salary of the official. The court may amend the amount of compensation taking account of the circumstances of the termination of the service relationship and considering mutual interests.","Статья 105 Закона о публичной службе. Право требования при противоправном освобождении от службы
(1) Чиновник, противоправно освобожденный от службы, вправе требовать признания административного акта, изданного об освобождении от службы, противоправным, изменения основания освобождения от службы и возмещения в размере средней заработной платы чиновника за три месяца. Суд может изменить размер возмещения с учетом обстоятельств прекращения служебных отношений и интересов обеих сторон.",,,,,,,,,,,,,,2014-01-01 00:00:00,
B60123,B601,4,1,ATS § 105 lg 2 õigusvastaselt teenistusest vabastamine,Unlawfully released from service § 105 (2) of Civil Service Act,"Противоправное освобождение от службы, ч.2 ст.105 (ATS)","ATS § 105. Nõudeõigus õigusvastaselt teenistusest vabastamise korral
2) Ametnikul, kes on rase, kellel on õigus emapuhkusele, isapuhkusele või lapsendajapuhkusele, kes kasvatab alla seitsmeaastast last või kes on valitud ametnike esindajaks, on õigusvastaselt teenistusest vabastamise korral õigus nõuda vabastamise kohta antud haldusakti õigusvastaseks tunnistamist, teenistusest vabastamise aluse muutmist ja hüvitist oma 12 kuu keskmise palga ulatuses. Kohus võib hüvitise suurust muuta, arvestades teenistussuhte lõpetamise asjaolusid ja mõlema poole huve.","§ 105 of the Civil Service Act. Right of claim upon unlawful release from service
(2) An official who is pregnant, who has the right to pregnancy and maternity leave, is raising a child under seven years of age or who has been elected a representative of officials, is entitled to demand that the administrative act on his or her release from service be declared unlawful upon unlawful release from service, demand amendment of the basis for the release from service and compensation in the amount of the 12 months' average salary of the official. The court may amend the amount of compensation, taking account of the circumstances for the termination of the service relationship and considering mutual interests.","Статья 105 Закона о публичной службе. Право требования при противоправном освобождении от службы
2) Чиновник, который находится в состоянии беременности, имеет право на отпуск по беременности и родам, воспитывает ребенка в возрасте до семи лет или избран представителем чиновников, в случае противоправного освобождения от службы имеет право требовать признания административного акта, изданного об освобождении от службы, противоправным, изменения основания освобождения от службы и возмещения в размере средней заработной платы чиновника за 12 месяцев. Суд может изменить размер возмещения с учетом обстоятельств прекращения служебных отношений и интересов обеих сторон.",,,,,,,,,,,,,,2014-01-01 00:00:00,
B602,B6,3,0,Kaitseväeteenistuse seadus (KVTS),Military Service Act,Закон о службе в силах обороны (KVTS),,,,,,,,,,,,,,,,,2014-01-01 00:00:00,
B60201,B602,4,1,KVTS § 139 lg 1 p 2 lõppemine surmaga,"Upon death, § 139 (1) 2) of Military Service Act","Прекращение в связи со смертью, п.2 ч.1 ст.139 (KVTS)","KVTS  § 139. Tegevteenistussuhte lõppemine
(1) Tegevteenistussuhe lõpeb tegevväelase 
2) surma korral","§ 139 of the Military Service Act. Termination of active service relationship
(1) The active service relationship shall terminate for an active serviceman:
2) upon death.","Статья 139 Закона о службе в силах обороны. Прекращение служебных отношений
(1) Отношения действительной службы заканчиваются для военнослужащего 
2) в случае смерти",,,,,,,,,,,,,,2014-01-01 00:00:00,
B60202,B602,4,1,KVTS § 140 lg 1 p 1 omal soovil,"At own request, § 140 (1) 1) of Military Service Act","По собственному желанию, п.1 ч.1 ст.140 (KVTS)","KVTS § 140. Tegevteenistusest vabastamise alused
(1) Tegevväelane vabastatakse tegevteenistusest:
1) omal soovil","§ 140 of the Military Service Act. Bases for release from active service
(1) An active serviceman shall be released from active service:
1) at his or her own request;","Статья 140 Закона о службе в силах обороны. Основания для освобождения от действительной службы
(1) Военнослужащий освобождается от действительной службы:
1) по собственному желанию",,,,,,,,,,,,,,2014-01-01 00:00:00,
B60203,B602,4,1,KVTS § 140 lg 1 p 2 tähtaja lõppemisel,"Expiry of term, § 140 (1) 2) of Military Service Act","По окончанию срока, п.2 ч.1 ст.140 (KVTS)","KVTS § 140. Tegevteenistusest vabastamise alused
(1) Tegevväelane vabastatakse tegevteenistusest:
2) tegevteenistuse tähtaja lõppemisel","§ 140 of the Military Service Act. Bases for release from active service
(1) An active serviceman shall be released from active service:
2) upon the expiry of the term of active service;","Статья 140 Закона о службе в силах обороны. Основания для освобождения от действительной службы
(1) Военнослужащий освобождается от действительной службы:
2) по окончанию срочной службы",,,,,,,,,,,,,,2014-01-01 00:00:00,
B60204,B602,4,1,KVTS § 140 lg 1 p 4 mittevastavus,"Noncompliance, § 140 (1) 4) of Military Service Act","По несоответствию, п.4 ч.1 ст.140 (KVTS)","KVTS § 140. Tegevteenistusest vabastamise alused
(1) Tegevväelane vabastatakse tegevteenistusest:
4) tegevteenistusse võtmise nõuetele mittevastavuse korral;","§ 140 of the Military Service Act. Bases for release from active service
(1) An active serviceman shall be released from active service:
4) in the event of the noncompliance with the requirements for acceptance for active service;","Статья 140 Закона о службе в силах обороны. Основания для освобождения от действительной службы
(1) Военнослужащий освобождается от действительной службы:
4) в случае несоответствия требованиям для принятия на действительную службу;",,,,,,,,,,,,,,2014-01-01 00:00:00,
B60205,B602,4,1,KVTS § 140 lg 1 p 5 mittevastavus,"Noncompliance, § 140 (1) 5) of Military Service Act","По несоответствию, п.5 ч.1 ст.140 (KVTS)","KVTS § 140. Tegevteenistusest vabastamise alused
(1) Tegevväelane vabastatakse tegevteenistusest:
5) rahuaja ametikoha nõuetele mittevastavuse korral;","§ 140 of the Military Service Act. Bases for release from active service
(1) An active serviceman shall be released from active service:
5) in the event of the noncompliance with the requirements for a peacetime post;","Статья 140 Закона о службе в силах обороны. Основания для освобождения от действительной службы
(1) Военнослужащий освобождается от действительной службы:
5) при несоблюдении требований положения мирного времени;",,,,,,,,,,,,,,2014-01-01 00:00:00,
B60206,B602,4,1,KVTS § 140 lg 1 p 6 süüdimõistev otsus,"Conviction, § 140 (1) 6) of Military Service Act","Обвинительный приговор, п.6 ч.1 ст.140 (KVTS)","KVTS § 140. Tegevteenistusest vabastamise alused
(1) Tegevväelane vabastatakse tegevteenistusest:
6) süüdimõistva kohtuotsuse jõustumisel;","§ 140 of the Military Service Act. Bases for release from active service
(1) An active serviceman shall be released from active service:
6) upon the entry into force of the conviction;","Статья 140 Закона о службе в силах обороны. Основания для освобождения от действительной службы
(1) Военнослужащий освобождается от действительной службы:
6) при вступлении в законную силу обвинительного приговора;",,,,,,,,,,,,,,2014-01-01 00:00:00,
B60207,B602,4,1,KVTS § 140 lg 1 p 7 distsiplinaarsüütegu,"Disciplinary offence, § 140 (1) 7) of Military Service Act","Дисциплинарное правонарушение, п.7 ч.1 ст.140 (KVTS)","KVTS § 140. Tegevteenistusest vabastamise alused
(1) Tegevväelane vabastatakse tegevteenistusest:
7) distsiplinaarsüüteo korral;","§ 140 of the Military Service Act. Bases for release from active service
(1) An active serviceman shall be released from active service:
7) in the event of a disciplinary offence;","Статья 140 Закона о службе в силах обороны. Основания для освобождения от действительной службы
(1) Военнослужащий освобождается от действительной службы:
7) при совершении дисциплинарного проступка;",,,,,,,,,,,,,,2014-01-01 00:00:00,
B60208,B602,4,1,KVTS § 140 lg 1 p 8 koondamine,"Lay-off, § 140 (1) 8) of Military Service Act","Сокращение, п.8 ч.1 ст.140 (KVTS)","KVTS § 140. Tegevteenistusest vabastamise alused
(1) Tegevväelane vabastatakse tegevteenistusest:
8) koondamise korral;","§ 140 of the Military Service Act. Bases for release from active service
(1) An active serviceman shall be released from active service:
8) in the event of lay-off;","Статья 140 Закона о службе в силах обороны. Основания для освобождения от действительной службы
(1) Военнослужащий освобождается от действительной службы:
8) при сокращении штата;",,,,,,,,,,,,,,2014-01-01 00:00:00,
B60209,B602,4,1,KVTS § 140 lg 1 p 9 Kaitseväe ettepanekul,"Proposal of the Defence Forces, § 140 (1) 9) of Military Service Act","По предложению Сил обороны, п.9 ч.1 ст.140 (KVTS)","KVTS § 140. Tegevteenistusest vabastamise alused
(1) Tegevväelane vabastatakse tegevteenistusest:
9) Kaitseväe ettepanekul;","§ 140 of the Military Service Act. Bases for release from active service
(1) An active serviceman shall be released from active service:
9) on the proposal of the Defence Forces;","Статья 140 Закона о службе в силах обороны. Основания для освобождения от действительной службы
(1) Военнослужащий освобождается от действительной службы:
9) по предложению Сил обороны;",,,,,,,,,,,,,,2014-01-01 00:00:00,
B60210,B602,4,1,KVTS § 140 lg 1 p 10 eksmatrikuleerimisel ,"Exmatriculation, § 140 (1) 10) of Military Service Act","Эксматрикуляция, п.10 ч.1 ст.140 (KVTS)","KVTS § 140. Tegevteenistusest vabastamise alused 
(1) Tegevväelane vabastatakse tegevteenistusest:
p 10 eksmatrikuleerimisel enne õppekava täitmist juhul, kui isikut ei nimetata teisele rahuaja ametikohale;","§ 140 of the Military Service Act. Bases for release from active service
(1) An active serviceman shall be released from active service:
10) upon the exmatriculation before the completion of the study programme in case the person is not appointed to another peacetime post;","Статья 140 Закона о службе в силах обороны. Основания для освобождения от действительной службы
(1) Военнослужащий освобождается от действительной службы:
10) при отчислении до завершения обучения, если лицо не назначено на другую должность мирного времени;",,,,,,,,,,,,,,2014-01-01 00:00:00,
B60211,B602,4,1,KVTS § 140 lg 1 p 11 teine ametikoht,"Another post, § 140 (1) 11) of Military Service Act","Другая должность, п.11 ч.1 ст.140 (KVTS)","KVTS § 140. Tegevteenistusest vabastamise alused
(1) Tegevväelane vabastatakse tegevteenistusest:
11) kaitseväeteenistusvälisele ametikohale nimetamisel;","§ 140 of the Military Service Act. Bases for release from active service
(1) An active serviceman shall be released from active service:
11) upon the appointment to a post outside military service;","Статья 140 Закона о службе в силах обороны. Основания для освобождения от действительной службы
(1) Военнослужащий освобождается от действительной службы:
11) при назначении на должность вне воинской службы;",,,,,,,,,,,,,,2014-01-01 00:00:00,
B60212,B602,4,1,KVTS § 140 lg 1 p 12 teine ametikoht,"Another post, § 140 (1) 12) of Military Service Act","Другая должность, п.12 ч.1 ст.140 (KVTS)","KVTS § 140.  Tegevteenistusest vabastamise alused
(1) Tegevväelane vabastatakse tegevteenistusest:
12) Riigikogu, Euroopa Parlamendi või kohaliku omavalitsuse volikogu liikmeks asumisel;","§ 140 of the Military Service Act. Bases for release from active service
(1) An active serviceman shall be released from active service:
12) upon becoming a member of the Riigikogu, the European Parliament of local government council;","Статья 140 Закона о службе в силах обороны. Основания для освобождения от действительной службы
(1) Военнослужащий освобождается от действительной службы:
12) при вступлении в состав Рийгикогу, Европейского парламента или совета местного самоуправления;",,,,,,,,,,,,,,2014-01-01 00:00:00,
B60213,B602,4,1,KVTS § 140 lg 1 p 13 ettenägematu asjaolu,"Unexpected circumstances, § 140 (1) 13) of Military Service Act","Непредвиденное обстоятельство, п.13 ч.1 ст.140 (KVTS)","KVTS § 140.  Tegevteenistusest vabastamise alused
(1) Tegevväelane vabastatakse tegevteenistusest: 
13) ettenägematute asjaolude ilmnemisel.","§ 140 of the Military Service Act. Bases for release from active service
(1) An active serviceman shall be released from active service:
13) when unexpected circumstances become evident.","Статья 140 Закона о службе в силах обороны. Основания для освобождения от действительной службы
(1) Военнослужащий освобождается от действительной службы:
13) при возникновении непредвиденных обстоятельств.",,,,,,,,,,,,,,2014-01-01 00:00:00,
B60214,B602,4,1,KVTS § 140 lg 1 p 3 piirvanuse täitmine,"Reaching the age limit, § 140 (1) 3) of Military Service Act","Достижение возрастного предела, п.3 ч.1 ст.140 (KVTS)","KVTS§ 140.  Tegevteenistusest vabastamise alused
(1) Tegevväelane vabastatakse tegevteenistusest: 
3) piirvanuse täitumisel;","§ 140 of the Military Service Act. Bases for release from active service
(1) An active serviceman shall be released from active service:
3) upon reaching the age limit;","Статья 140 Закона о службе в силах обороны. Основания для освобождения от действительной службы
(1) Военнослужащий освобождается от действительной службы:
3) по достижении предельного возраста;",,,,,,,,,,,,,,2014-01-01 00:00:00,
B603,B6,3,0,Politsei ja piirivalve seadus (PPVS),Police and Border Guard Act,Закон о полиции и пограничной охране (PPVS),,,,,,,,,,,,,,,,,2014-01-01 00:00:00,
B60304,B603,4,1,PPVS § 67⁶ politseiametniku teiselt ametikohalt vabastamine ja töölepingu ülesütlemine enne tähtaja möödumist,"Release of police officer from another position and cancellation of employment contract prior to expiry of term, § 67⁶ of Police and Border Guard Act","Освобождение чиновника полиции от другой должности или отказ от трудового договора до истечения срока, ст.§ 67⁶ (PPVS)","PPVS § 67⁶. Politseiametniku teiselt ametikohalt vabastamine ja töölepingu ülesütlemine enne tähtaja möödumist
Vastuvõttev asutus võib politseiametniku enne tähtaja lõppu ametikohalt vabastada või töölepingu üles öelda, teatades sellest politseiametnikule ja politseiametniku lähetanud asutusele üldjuhul vähemalt kolm kuud ette.","§ 67⁶ of the Police and Border Guard Act. Release of police officer from another position and cancellation of employment contract prior to expiry of term
A host authority may release a police officer from position or cancel their employment contract before the prescribed term by notifying the police officer and the authority which posted the police officer at least three months in advance, in general.","Статья 67⁶ Закона о полиции и пограничной охране.  Освобождение чиновника полиции от другой должности или отказ от трудового договора до истечения срока
Принимающее учреждение может до окончания срока освободить чиновника полиции от должности или отказаться от трудового договора, уведомив об этом чиновника полиции и направляющее учреждение чиновника полиции, как правило, не менее, чем за три месяца.",,,,,,,,,,,,,,2014-01-01 00:00:00,
B604,B6,3,0,Kohtute seadus (KS),Courts Act,Закон о судах (KS),,,,,,,,,,,,,,,,,2014-01-01 00:00:00,
B60402,B604,4,1,KS § 99 lg 1 p 1 omal soovil,"At own request, § 99 (1) 1) of Courts Act","По собственному желанию, п.1 ч.1 ст.99 (KS)","KS § 99. Kohtuniku ametist vabastamine
(1) Kohtunik vabastatakse ametist:
1) kohtuniku enda soovil;","§ 99 of the Courts Act. Release of judges from office
(1) A judge is released from office:
1) at the request of the judge;","Статья 99 Закона о судах. Освобождение судьи от должности
(1) Судья освобождается от должности:
1) по собственному желанию;",,,,,,,,,,,,,,2014-01-01 00:00:00,
