version,sme_nr,mbie_nr,level,identifier,UNID,acronym,class_term,sequence,multiplicity,multiplicity_SME,property_term,representation_term,associated_class,short_name,definition,label_local,definition_local,code_list,attribute,DEN,name,element,xpath
v4,352,2302,2,,UN01005950,BBIE,CIIH_ Trade Settlement_ Monetary Summation,9,0..n,0..1,Total Prepaid,Amount,,Total Prepaid Amount,A monetary value of a prepaid total reported in this CIIH trade settlement monetary summation.,入金済金額（前回インボイス分）,前回インボイス文書総合計金額のうち、入金済合計金額,,,CIIH_ Trade Settlement_ Monetary Summation. Total Prepaid. Amount,OutstandingMonetarySummationTotalPrepaidAmount,TotalPrepaidAmount,/SMEConsolidatedSelfInvoice/CIIHSupplyChainTradeTransaction/ApplicableCIIHSupplyChainTradeSettlement/OutstandingSpecifiedCIIHTradeSettlementMonetarySummation/TotalPrepaidAmount
,,2303,,,UN01005951,BBIE,CIIH_ Trade Settlement_ Monetary Summation,10,0..n,0..0,Total Discount,Amount,,Total Discount Amount,A monetary value of a total discount reported in this CIIH trade settlement monetary summation.,,,UNCL5014,,CIIH_ Trade Settlement_ Monetary Summation. Total Discount. Amount,,TotalDiscountAmount,
,,2304,,,UN01005952,BBIE,CIIH_ Trade Settlement_ Monetary Summation,11,0..n,0..0,Total Allowance Charge,Amount,,Total Allowance/Charge Amount,A monetary value of the total of allowance and charge amounts reported on header level in this CIIH trade settlement monetary summation.,,,,,CIIH_ Trade Settlement_ Monetary Summation. Total Allowance Charge. Amount,,TotalAllowanceChargeAmount,
v4,353,2305,2,,UN01008445,BBIE,CIIH_ Trade Settlement_ Monetary Summation,12,0..n,0..1,Due Payable,Amount,,Due Payable Amount,"A monetary value that is an amount due and payable for this CIIH trade settlement monetary summation, such as the amount due to the creditor.",未決済請求金額,"未決済請求金額＝
前回インボイス総合計金額（税込み）ー入金済金額(前回インボイス分)",,,CIIH_ Trade Settlement_ Monetary Summation. Due Payable. Amount,OutstandingMonetarySummationDuePayableAmount,DuePayableAmount,/SMEConsolidatedSelfInvoice/CIIHSupplyChainTradeTransaction/ApplicableCIIHSupplyChainTradeSettlement/OutstandingSpecifiedCIIHTradeSettlementMonetarySummation/DuePayableAmount
,,2306,,,UN01008446,BBIE,CIIH_ Trade Settlement_ Monetary Summation,13,0..n,0..0,Retail Value Excluding Tax_ Information,Amount,,Retail Value Excluding Tax Amount,A monetary value which constitutes the retail value excluding all duties and taxes stated for information purposes in this CIIH trade settlement monetary summation.,,,,,CIIH_ Trade Settlement_ Monetary Summation. Retail Value Excluding Tax_ Information. Amount,,RetailValueExcludingTaxInformationAmount,
,,2307,,,UN01008447,BBIE,CIIH_ Trade Settlement_ Monetary Summation,14,0..n,0..0,Total Deposit Fee_ Information,Amount,,Total Deposit Fee Amount,A monetary value of the total deposit fee stated for information purposes in this CIIH trade settlement monetary summation.,,,,,CIIH_ Trade Settlement_ Monetary Summation. Total Deposit Fee_ Information. Amount,,TotalDepositFeeInformationAmount,
,,2308,,,UN01008448,BBIE,CIIH_ Trade Settlement_ Monetary Summation,15,0..n,0..0,Product Value Excluding Tobacco Tax_ Information,Amount,,Product Value Excluding Tobacco Tax Amount,A monetary value which constitutes the total product value excluding tobacco tax stated for information purposes in this CIIH trade settlement monetary summation.,,,,,CIIH_ Trade Settlement_ Monetary Summation. Product Value Excluding Tobacco Tax_ Information. Amount,,ProductValueExcludingTobaccoTaxInformationAmount,
,,2309,,,UN01008449,BBIE,CIIH_ Trade Settlement_ Monetary Summation,16,0..n,0..0,Total Retail Value_ Information,Amount,,Total Retail Value Amount,A monetary value which constitutes the total retail value stated for information purposes in this CIIH trade settlement monetary summation.,,,,,CIIH_ Trade Settlement_ Monetary Summation. Total Retail Value_ Information. Amount,,TotalRetailValueInformationAmount,
,,2310,,,UN01008450,BBIE,CIIH_ Trade Settlement_ Monetary Summation,17,0..n,0..0,Gross_ Line Total,Amount,,Gross Line Total Amount,"A monetary value of the total of all line amounts, excluding line level allowances and charges and taxes, being reported in this CIIH trade settlement monetary summation.",,,,,CIIH_ Trade Settlement_ Monetary Summation. Gross_ Line Total. Amount,,GrossLineTotalAmount,
,,2311,,,UN01008451,BBIE,CIIH_ Trade Settlement_ Monetary Summation,18,0..n,0..0,Net_ Line Total,Amount,,Net Line Total Amount,"A monetary value of the total of all line amounts, including line level allowances and charges and excluding line level taxes, being reported in this CIIH trade settlement monetary summation.",,,,,CIIH_ Trade Settlement_ Monetary Summation. Net_ Line Total. Amount,,NetLineTotalAmount,
,,2312,,,UN01008452,BBIE,CIIH_ Trade Settlement_ Monetary Summation,19,0..n,0..0,Net Including Taxes_ Line Total,Amount,,Net Including Taxes Line Total Amount,"A monetary value of the total of all line amounts, including line level allowances and charges and including line level taxes, being reported in this CIIH trade settlement monetary summation.",,,,,CIIH_ Trade Settlement_ Monetary Summation. Net Including Taxes_ Line Total. Amount,,NetIncludingTaxesLineTotalAmount,
,,2313,,,UN01012697,BBIE,CIIH_ Trade Settlement_ Monetary Summation,20,0..1,0..0,Insurance_ Charge Total,Amount,,Total Insurance Charges,The monetary value of the total of all insurance charges being reported in this CIIH trade settlement monetary summation.,,,,,CIIH_ Trade Settlement_ Monetary Summation. Insurance_ Charge Total. Amount,,InsuranceChargeTotalAmount,
,,2314,,,UN01013091,BBIE,CIIH_ Trade Settlement_ Monetary Summation,21,0..n,0..0,Including Taxes_ Line Total,Amount,,Including Taxes Line Total Amount,"A monetary value of the line total, including taxes, being reported in this CIIH trade settlement monetary summation.",,,,,CIIH_ Trade Settlement_ Monetary Summation. Including Taxes_ Line Total. Amount,,IncludingTaxesLineTotalAmount,
,,2315,,,UN01015493,ASBIE,CIIH_ Trade Settlement_ Monetary Summation,1,0..n,0..0,Specified,,CI_ Referenced_ Document,Referenced Document,A document referenced for the monetary summation of this CIIH trade settlement.,,,,,CIIH_ Trade Settlement_ Monetary Summation. Specified. CI_ Referenced_ Document,,SpecifiedDocument,
v1,534,2316,1,,UN01009647,ABIE,CIILB_ Subordinate_ Trade Line Item,0,,,,,,CIILB Subordinate Trade Line Item,A collection of information specific to a Cross Industry Invoice Line Breakdown (CIILB) item being used or reported on for trade purposes.,明細行クラス,明細行に関する情報からなるクラス,,,CIILB_ Subordinate_ Trade Line Item. Details,TransactionSubordinateDocumentDetails,CIILBSubordinateTradeLineItem,
v1,535,2317,2,PK,UN01009648,BBIE,CIILB_ Subordinate_ Trade Line Item,1,0..n,1..1,Identification,Identifier,,ID,An identifier for this CIILB subordinate trade line item.,明細行ID,この文書の明細行に関する情報を特定するために付与した行ID。明細行をユニークに識別するために付番する場合は文書IDとの複合キーで明細行を特定する。,,,CIILB_ Subordinate_ Trade Line Item. Identification. Identifier,SubordinateDocumentID,ID,/SMEConsolidatedSelfInvoice/CIIHSupplyChainTradeTransaction/IncludedCIILSupplyChainTradeLineItem/SubordinateCIILBSubordinateTradeLineItem/ID
v4,536,2318,2,,UN01014637,BBIE,CIILB_ Subordinate_ Trade Line Item,2,0..1,0..1,Category,Code,,Category Code,The code specifying the category of this CIILB subordinate trade line item.,明細行類型コード,"この明細行の取引類型（資産譲渡、返金・追加請求、調整等）を識別するコード。
デフォルトは「資産譲渡」",JECxxxx,,CIILB_ Subordinate_ Trade Line Item. Category. Code,SubordinateDocumentCategoryCode,CategoryCode,/SMEConsolidatedSelfInvoice/CIIHSupplyChainTradeTransaction/IncludedCIILSupplyChainTradeLineItem/SubordinateCIILBSubordinateTradeLineItem/CategoryCode
,,2319,,,UN01014638,BBIE,CIILB_ Subordinate_ Trade Line Item,3,0..1,0..0,Response Reason,Code,,Response Reason Code,The code specifying the response reason of this CIILB subordinate trade line item.,,,,,CIILB_ Subordinate_ Trade Line Item. Response Reason. Code,,ResponseReasonCode,
,,2320,,,UN01015599,BBIE,CIILB_ Subordinate_ Trade Line Item,4,0..1,0..0,Requested_ Response Type,Code,,Requested Response Type Code,The code specifying the type of response requested for this CIILB subordinate trade line item.,,,,,CIILB_ Subordinate_ Trade Line Item. Requested_ Response Type. Code,,RequestedResponseTypeCode,
,,2321,,,UN01009652,ASBIE,CIILB_ Subordinate_ Trade Line Item,1,0..1,0..0,Specified,,Referenced_ Product,Specified Product,The referenced product specified for this CIILB subordinate trade line item.,,,,,CIILB_ Subordinate_ Trade Line Item. Specified. Referenced_ Product,,SpecifiedProduct,
v1,683,2322,2,,UN01010016,ASBIE,CIILB_ Subordinate_ Trade Line Item,2,0..n,1..1,Applicable,,CI_ Trade_ Product,Applicable Product,A product applicable for this CIILB subordinate trade line item.,明細行／取引品目グループ,明細行の取引品目に関するグループ,,,CIILB_ Subordinate_ Trade Line Item. Applicable. CI_ Trade_ Product,SubordinateDocumentProduct,ApplicableCITradeProduct,/SMEConsolidatedSelfInvoice/CIIHSupplyChainTradeTransaction/IncludedCIILSupplyChainTradeLineItem/SubordinateCIILBSubordinateTradeLineItem/ApplicableCITradeProduct
v1,542,2323,2,,UN01009649,ASBIE,CIILB_ Subordinate_ Trade Line Item,3,0..1,1..1,Specified,,CIILB_ Supply Chain_ Trade Agreement,Trade Agreement,The supply chain trade agreement specified for this CIILB subordinate trade line item.,明細行／取引契約グループ,明細行の取引契約に関するグループ,,,CIILB_ Subordinate_ Trade Line Item. Specified. CIILB_ Supply Chain_ Trade Agreement,SubordinateDocument,SpecifiedCIILBSupplyChainTradeAgreement,/SMEConsolidatedSelfInvoice/CIIHSupplyChainTradeTransaction/IncludedCIILSupplyChainTradeLineItem/SubordinateCIILBSubordinateTradeLineItem/SpecifiedCIILBSupplyChainTradeAgreement
v1,589,2324,2,,UN01009650,ASBIE,CIILB_ Subordinate_ Trade Line Item,4,0..1,1..1,Specified,,CIILB_ Supply Chain_ Trade Delivery,Trade Delivery,The supply chain trade delivery specified for this CIILB subordinate trade line item.,明細行／配送グループ,明細行の配送に関するグループ,,,CIILB_ Subordinate_ Trade Line Item. Specified. CIILB_ Supply Chain_ Trade Delivery,SubordinateDocumentDelivery,SpecifiedCIILBSupplyChainTradeDelivery,/SMEConsolidatedSelfInvoice/CIIHSupplyChainTradeTransaction/IncludedCIILSupplyChainTradeLineItem/SubordinateCIILBSubordinateTradeLineItem/SpecifiedCIILBSupplyChainTradeDelivery
v1,608,2325,2,,UN01009651,ASBIE,CIILB_ Subordinate_ Trade Line Item,5,0..1,1..1,Specified,,CIILB_ Supply Chain_ Trade Settlement,Trade Settlement,The supply chain trade settlement specified for this CIILB subordinate trade line item.,明細行／決裁グループ,明細行の決済に関するグループ,,,CIILB_ Subordinate_ Trade Line Item. Specified. CIILB_ Supply Chain_ Trade Settlement,SubordinateDocument,SpecifiedCIILBSupplyChainTradeSettlement,/SMEConsolidatedSelfInvoice/CIIHSupplyChainTradeTransaction/IncludedCIILSupplyChainTradeLineItem/SubordinateCIILBSubordinateTradeLineItem/SpecifiedCIILBSupplyChainTradeSettlement
v4.2,537,2326,2,,UN01015533,ASBIE,CIILB_ Subordinate_ Trade Line Item,6,0..n,0..n,Included,,CI_ Note,Included Note,A note included in this CIILB subordinate trade line item.,明細行／注釈グループ,明細行の注釈に関するグループ,,,CIILB_ Subordinate_ Trade Line Item. Included. CI_ Note,SubordinateDocumentNote,IncludedCINote,/SMEConsolidatedSelfInvoice/CIIHSupplyChainTradeTransaction/IncludedCIILSupplyChainTradeLineItem/SubordinateCIILBSubordinateTradeLineItem/IncludedCINote
v1,543,2327,1,,UN01009653,ABIE,CIILB_ Supply Chain_ Trade Agreement,0,,,,,,CIILB Trade Agreement,The contractual terms of a Cross Industry Invoice Line Breakdown (CIILB) supply chain trade agreement.,取引契約クラス,取引契約に関する情報からなるクラス,,,CIILB_ Supply Chain_ Trade Agreement. Details,SubordinateDocumentDetails,CIILBSupplyChainTradeAgreement,
v1,544,2328,2,,UN01009654,ASBIE,CIILB_ Supply Chain_ Trade Agreement,1,0..1,0..1,Seller Order_ Referenced,,CI_ Referenced_ Document,Seller Order Document,The seller order document referenced in this CIILB supply chain trade agreement.,明細行契約／明細行参照受注書グループ,取引契約と明細行参照受注書に関するグループ,,,CIILB_ Supply Chain_ Trade Agreement. Seller Order_ Referenced. CI_ Referenced_ Document,SubordinateDocumentSellerOrderReferencedReferencedDocument,SellerOrderReferencedCIReferencedDocument,/SMEConsolidatedSelfInvoice/CIIHSupplyChainTradeTransaction/IncludedCIILSupplyChainTradeLineItem/SubordinateCIILBSubordinateTradeLineItem/SpecifiedCIILBSupplyChainTradeAgreement/SellerOrderReferencedCIReferencedDocument
v1,551,2329,2,,UN01009655,ASBIE,CIILB_ Supply Chain_ Trade Agreement,2,0..1,0..1,Buyer Order_ Referenced,,CI_ Referenced_ Document,Buyer Order Document,The buyer order document referenced in this CIILB supply chain trade agreement.,明細行契約／明細行参照注文書グループ,取引契約と明細行参照注文書に関するグループ,,,CIILB_ Supply Chain_ Trade Agreement. Buyer Order_ Referenced. CI_ Referenced_ Document,SubordinateDocumentBuyerOrderReferencedReferencedDocument,BuyerOrderReferencedCIReferencedDocument,/SMEConsolidatedSelfInvoice/CIIHSupplyChainTradeTransaction/IncludedCIILSupplyChainTradeLineItem/SubordinateCIILBSubordinateTradeLineItem/SpecifiedCIILBSupplyChainTradeAgreement/BuyerOrderReferencedCIReferencedDocument
v1,597,2330,2,,UN01009656,ASBIE,CIILB_ Supply Chain_ Trade Agreement,3,0..n,0..1,Additional_ Referenced,,CI_ Referenced_ Document,Additional Document,An additional document referenced in this CIILB supply chain trade agreement.,明細行契約／明細行出荷案内書グループ,"取引契約と明細行出荷案内書に関するグループ
UN01009672＝＝「351」Despatch advice（出荷案内書）を指定",,,CIILB_ Supply Chain_ Trade Agreement. Additional_ Referenced. CI_ Referenced_ Document,SubordinateDocumentDeliveryReferencedReferencedDocument,AdditionalReferencedCIReferencedDocument,/SMEConsolidatedSelfInvoice/CIIHSupplyChainTradeTransaction/IncludedCIILSupplyChainTradeLineItem/SubordinateCIILBSubordinateTradeLineItem/SpecifiedCIILBSupplyChainTradeDelivery/AdditionalReferencedCIReferencedDocument
,,2331,,,UN01009657,ASBIE,CIILB_ Supply Chain_ Trade Agreement,4,0..n,0..0,Gross Price_ Product,,CI_ Trade_ Price,Product Gross Price,A gross product price in this CIILB supply chain trade agreement.,,,,,CIILB_ Supply Chain_ Trade Agreement. Gross Price_ Product. CI_ Trade_ Price,,GrossPriceProductPrice,
v1,583,2332,2,,UN01009658,ASBIE,CIILB_ Supply Chain_ Trade Agreement,5,0..n,1..1,Net Price_ Product,,CI_ Trade_ Price,Product Net Price,A net product price in this CIILB supply chain trade agreement.,明細行契約／契約単価グループ,明細行の契約単価に関するグループ。,,,CIILB_ Supply Chain_ Trade Agreement. Net Price_ Product. CI_ Trade_ Price,SubordinateDocumentNetPriceProductPrice,NetPriceProductCITradePrice,/SMEConsolidatedSelfInvoice/CIIHSupplyChainTradeTransaction/IncludedCIILSupplyChainTradeLineItem/SubordinateCIILBSubordinateTradeLineItem/SpecifiedCIILBSupplyChainTradeAgreement/NetPriceProductCITradePrice
v1,590,2333,1,,UN01009659,ABIE,CIILB_ Supply Chain_ Trade Delivery,0,,,,,,CIILB Trade Delivery,Cross Industry Invoice Line Breakdown (CIILB) supply chain shipping arrangements and movement of products and or services including despatch and delivery.,明細行納入クラス,明細行の納入に関する情報からなるクラス,,,CIILB_ Supply Chain_ Trade Delivery. Details,SubordinateDocumentDeliveryDetails,CIILBSupplyChainTradeDelivery,
,,2334,,,UN01009660,BBIE,CIILB_ Supply Chain_ Trade Delivery,1,0..1,0..0,Package,Quantity,,Package Quantity,The number of packages in this CIILB supply chain trade delivery.,,,,,CIILB_ Supply Chain_ Trade Delivery. Package. Quantity,,PackageQuantity,
v４,591,2335,2,,UN01009661,BBIE,CIILB_ Supply Chain_ Trade Delivery,2,0..1,0..1,Product_ Unit,Quantity,,Product Unit Quantity,The number of product units in this CIILB supply chain trade delivery.,配送バラ数量,"配送数量がセット数量単位属性を指定の場合に利用する。
配送バラ数量＝配送数量（属性：セット）×セット単位数量（入り数）（属性：個、または不定貫品目量）","数量単位コード
UNECE Rec20",,CIILB_ Supply Chain_ Trade Delivery. Product_ Unit. Quantity,SubordinateDocumentDeliveryProductUnitQuantity,ProductUnitQuantity,/SMEConsolidatedSelfInvoice/CIIHSupplyChainTradeTransaction/IncludedCIILSupplyChainTradeLineItem/SubordinateCIILBSubordinateTradeLineItem/SpecifiedCIILBSupplyChainTradeDelivery/ProductUnitQuantity
v3/v4,593,2336,2,,UN01009662,BBIE,CIILB_ Supply Chain_ Trade Delivery,3,0..1,0..1,Per Package_ Unit,Quantity,,Per Package Unit Quantity,The number of units per package in this CIILB supply chain trade delivery.,配送セット単位数量(入り数）,"✔ 配送数量の数量単位指定が定貫品目（セット）の場合：1セット当たりのバラ数量を入力。
✔配送数量がハイブリッド品目（セット）の場合：配送数量で指定したセット数量の1単位当たりの重量・容量（個数でカウントできない不定貫品目の数量単位属性）を入力
✔配送数量の 数量単位指定が定貫品目（個）の場合：利用しない
✔ 配送数量の数量単位指定が不定貫品目の場合：利用しない。","数量単位コード
UNECE Rec20",,CIILB_ Supply Chain_ Trade Delivery. Per Package_ Unit. Quantity,SubordinateDocumentDeliveryPerPackageUnitQuantity,PerPackageUnitQuantity,/SMEConsolidatedSelfInvoice/CIIHSupplyChainTradeTransaction/IncludedCIILSupplyChainTradeLineItem/SubordinateCIILBSubordinateTradeLineItem/SpecifiedCIILBSupplyChainTradeDelivery/PerPackageUnitQuantity
v1,595,2337,2,,UN01014639,BBIE,CIILB_ Supply Chain_ Trade Delivery,4,0..1,1..1,Billed,Quantity,,Billed Quantity,The billed quantity of this CIILB supply chain trade delivery.,配送数量,"この情報項目はずべての品目の配送数量の指定に利用する。
この項目の数量単位属性は次のいずれかを選択：「個」、「セット」、「不定貫数量単位」","数量単位コード
UNECE Rec20",,CIILB_ Supply Chain_ Trade Delivery. Billed. Quantity,SubordinateDocumentDeliveryBilledQuantity,BilledQuantity,/SMEConsolidatedSelfInvoice/CIIHSupplyChainTradeTransaction/IncludedCIILSupplyChainTradeLineItem/SubordinateCIILBSubordinateTradeLineItem/SpecifiedCIILBSupplyChainTradeDelivery/BilledQuantity
,,2338,,,UN01009663,ASBIE,CIILB_ Supply Chain_ Trade Delivery,1,0..n,0..0,Included,,CI_ Supply Chain_ Packaging,Included Packaging,Packaging included in this CIILB supply chain trade delivery.,,,,,CIILB_ Supply Chain_ Trade Delivery. Included. CI_ Supply Chain_ Packaging,,IncludedPackaging,
,,2339,,,UN01014640,ASBIE,CIILB_ Supply Chain_ Trade Delivery,2,0..1,0..0,Actual_ Delivery,,CI_ Supply Chain_ Event,Actual Delivery Event,The actual supply chain delivery event for a line item in this CIILB supply chain trade delivery.,,,,,CIILB_ Supply Chain_ Trade Delivery. Actual_ Delivery. CI_ Supply Chain_ Event,,ActualDeliveryEvent,
v4.3,678,0,2,,JPSxxxxxxxx,ASBIE,CIILB_ Supply Chain_ Trade Settlement,0,Not defined in D24A,0..1,Receivable_ Specified,,CI_ Trade_ Accounting Account,,,明細行／会計アカウントグループ,この明細行の会計アカウントに関するグループ,,,CIILB_ Supply Chain_ Trade Settlement. Receivable_ Specified. CI_ Trade_ Accounting Account,SubordinateDocumentReceivableAccountingAccount,ReceivableSpecifiedCITradeAccountingAccount,/SMEConsolidatedSelfInvoice/CIIHSupplyChainTradeTransaction/IncludedCIILSupplyChainTradeLineItem/SubordinateCIILBSubordinateTradeLineItem/SpecifiedCIILBSupplyChainTradeSettlement/ReceivableSpecifiedCITradeAccountingAccount
v1,609,2340,1,,UN01009664,ABIE,CIILB_ Supply Chain_ Trade Settlement,0,,,,,,CIILB Trade Settlement,The Cross Industry Invoice Line Breakdown (CIILB) information that enables the financial reconciliation of a supply chain transaction with the item(s) that the financial transaction is intended to settle.,明細行決裁クラス,明細行の決済入に関する情報からなるクラス,,,CIILB_ Supply Chain_ Trade Settlement. Details,SubordinateDocumentDetails,CIILBSupplyChainTradeSettlement,
v４,610,2341,2,,UN01014641,BBIE,CIILB_ Supply Chain_ Trade Settlement,1,0..1,0..1,Direction,Code,,Direction Code,The code specifying whether this CIILB supply chain trade settlement is an addition or a subtraction.,明細行取引方向コード,"明細行の取引方向を識別するコード
デフォルトは「プラス」
明細行取引類型コードが「調整」を指定場合に利用する。
金額の「プラス」「マイナス」表示を許容する場合は実装しない。",JECxxxx,,CIILB_ Supply Chain_ Trade Settlement. Direction. Code,SubordinateDocumentDirectionCode,DirectionCode,/SMEConsolidatedSelfInvoice/CIIHSupplyChainTradeTransaction/IncludedCIILSupplyChainTradeLineItem/SubordinateCIILBSubordinateTradeLineItem/SpecifiedCIILBSupplyChainTradeSettlement/DirectionCode
v1,611,2342,2,,UN01009665,ASBIE,CIILB_ Supply Chain_ Trade Settlement,1,0..1,1..1,Applicable,,CI_ Trade_ Tax,Tax,The trade tax applicable to this CIILB supply chain trade settlement.,明細行決済／明細行税グループ,明細行決済の税に関するグループ,,,CIILB_ Supply Chain_ Trade Settlement. Applicable. CI_ Trade_ Tax,SubordinateDocumentTax,ApplicableCITradeTax,/SMEConsolidatedSelfInvoice/CIIHSupplyChainTradeTransaction/IncludedCIILSupplyChainTradeLineItem/SubordinateCIILBSubordinateTradeLineItem/SpecifiedCIILBSupplyChainTradeSettlement/ApplicableCITradeTax
v4,620,2343,2,,UN01014642,ASBIE,CIILB_ Supply Chain_ Trade Settlement,2,0..1,0..n,Invoice_ Referenced,,CI_ Referenced_ Document,Invoice Document,The invoice document referenced for this CIILB supply chain trade settlement.,明細行決済／参照インボイス対象物グループ,明細行が参照するインボイス対象物に関するグループ,,,CIILB_ Supply Chain_ Trade Settlement. Invoice_ Referenced. CI_ Referenced_ Document,SubordinateDocumentInvoiceReferencedReferencedDocument,InvoiceReferencedCIReferencedDocument,/SMEConsolidatedSelfInvoice/CIIHSupplyChainTradeTransaction/IncludedCIILSupplyChainTradeLineItem/SubordinateCIILBSubordinateTradeLineItem/SpecifiedCIILBSupplyChainTradeSettlement/InvoiceReferencedCIReferencedDocument
v4.3,638,2344,2,,UN01014643,ASBIE,CIILB_ Supply Chain_ Trade Settlement,3,0..n,0..n,Specified,,CI_ Financial_ Adjustment,Specified Financial Adjustment,A financial adjustment specified for this CIILB supply chain trade settlement.,明細行決済／調整グループ,明細行決済の調整に関するグループ,,,CIILB_ Supply Chain_ Trade Settlement. Specified. CI_ Financial_ Adjustment,SubordinateDocumentFinancialAdjustment,SpecifiedCIFinancialAdjustment,/SMEConsolidatedSelfInvoice/CIIHSupplyChainTradeTransaction/IncludedCIILSupplyChainTradeLineItem/SubordinateCIILBSubordinateTradeLineItem/SpecifiedCIILBSupplyChainTradeSettlement/SpecifiedCIFinancialAdjustment
v4.1,662,2345,2,,UN01014644,ASBIE,CIILB_ Supply Chain_ Trade Settlement,4,0..n,0..n,Specified,,CI_ Trade_ Allowance Charge,Specified Allowance Charge,An allowance or charge specified for this CIILB supply chain trade settlement.,明細行決裁／追加請求グループ,明細行決裁／追加請求グループ,,,CIILB_ Supply Chain_ Trade Settlement. Specified. CI_ Trade_ Allowance Charge,SubordinateDocumentAllowanceCharge,SpecifiedCITradeAllowanceCharge,/SMEConsolidatedSelfInvoice/CIIHSupplyChainTradeTransaction/IncludedCIILSupplyChainTradeLineItem/SubordinateCIILBSubordinateTradeLineItem/SpecifiedCIILBSupplyChainTradeSettlement/SpecifiedCITradeAllowanceCharge
v4,674,2346,2,,UN01014894,ASBIE,CIILB_ Supply Chain_ Trade Settlement,5,0..1,1..1,Billing,,CI_ Specified_ Period,Billing Period,The billing period specified for this CIILB supply chain trade settlement.,明細行／取引期間グループ,"明細行の取引期間に関する情報からなるグループ
明細文書ヘッダ、または明細行のいずれかの取引期間グループが法的必須
明細文書ヘッダ取引期間グループにデータ入力した場合は明細行取引期間グループのデータ入力は省略することができる",,,CIILB_ Supply Chain_ Trade Settlement. Billing. CI_ Specified_ Period,SubordinateDocumentBillingPeriod,BillingCISpecifiedPeriod,/SMEConsolidatedSelfInvoice/CIIHSupplyChainTradeTransaction/IncludedCIILSupplyChainTradeLineItem/SubordinateCIILBSubordinateTradeLineItem/SpecifiedCIILBSupplyChainTradeSettlement/BillingCISpecifiedPeriod
,,2347,,,UN01015534,ASBIE,CIILB_ Supply Chain_ Trade Settlement,6,0..n,0..0,Purchase_ Specified,,CI_ Trade_ Accounting Account,Purchase Accounting Account,A purchase accounting account specified for this CIILB supply chain trade settlement.,,,,,CIILB_ Supply Chain_ Trade Settlement. Purchase_ Specified. CI_ Trade_ Accounting Account,,PurchaseSpecifiedAccountingAccount,
v4,368,2348,1,,UN01005953,ABIE,CIIL_ Document Line_ Document,0,,,,,,CIIL Document Line,A document line for this Cross Industry Invoice Line (CIIL).,明細文書クラス,明細文書のクラス,,,CIIL_ Document Line_ Document. Details,TransactionItemDocumentLineDocumentDetails,CIILDocumentLineDocument,
v4,369,2349,2,PK,UN01005954,BBIE,CIIL_ Document Line_ Document,1,0..1,1..1,Line,Identifier,,ID,The unique identifier of the line of this CIIL document line.,明細文書ID,明細文書を識別するID。デフォルト=1。プロバイダがセットする,,,CIIL_ Document Line_ Document. Line. Identifier,ItemAssociatedDocumentLineDocumentLineID,LineID,/SMEConsolidatedSelfInvoice/CIIHSupplyChainTradeTransaction/IncludedCIILSupplyChainTradeLineItem/AssociatedCIILDocumentLineDocument/LineID
,,2350,,,UN01005955,BBIE,CIIL_ Document Line_ Document,2,0..1,0..0,Line Status,Line Status_ Code,,Status Code,The code specifying the status of this CIIL document line.,,,UNCL1229,,CIIL_ Document Line_ Document. Line Status. Code,,LineStatusCode,
,,2351,,,UN01005956,BBIE,CIIL_ Document Line_ Document,3,0..1,0..0,Line Status Reason,Code,,Status Reason Code,The code specifying the line status reason for this CIIL document line.,,,,,CIIL_ Document Line_ Document. Line Status Reason. Code,,LineStatusReasonCode,
,,2352,,,UN01009058,BBIE,CIIL_ Document Line_ Document,4,0..1,0..0,Parent_ Line,Identifier,,Parent Line ID,The identifier of the parent line of this CIIL document line.,,,UNCL1156,,CIIL_ Document Line_ Document. Parent_ Line. Identifier,,ParentLineID,
v4,370,2353,2,,UN01014645,BBIE,CIIL_ Document Line_ Document,5,0..1,0..1,Category,Code,,Category Code,The code specifying the category of this CIIL document line.,明細文書類型コード,この明細文書の取引類型（資産譲渡、補完、返金・追加請求等）を識別するコード。,JECxxxx,,CIIL_ Document Line_ Document. Category. Code,ItemAssociatedDocumentLineDocumentCategoryCode,CategoryCode,/SMEConsolidatedSelfInvoice/CIIHSupplyChainTradeTransaction/IncludedCIILSupplyChainTradeLineItem/AssociatedCIILDocumentLineDocument/CategoryCode
,,2354,,,UN01014646,BBIE,CIIL_ Document Line_ Document,6,0..1,0..0,Response Reason,Code,,Response Reason Code,The code specifying the response reason of this CIIL document line.,,,,,CIIL_ Document Line_ Document. Response Reason. Code,,ResponseReasonCode,
,,2355,,,UN01015600,BBIE,CIIL_ Document Line_ Document,7,0..1,0..0,Requested_ Response Type,Code,,Requested Response Type Code,The code specifying the type of response requested for this CIIL document line.,,,UNCL4343,,CIIL_ Document Line_ Document. Requested_ Response Type. Code,,RequestedResponseTypeCode,
v4,371,2356,2,,UN01005957,ASBIE,CIIL_ Document Line_ Document,1,0..n,0..n,Included,,CI_ Note,Note,A Cross Industry (CI) note included in this CIIL document line.,明細文書／注釈グループ,明細文書に関する注釈のグループ,,,CIIL_ Document Line_ Document. Included. CI_ Note,ItemAssociatedDocumentLineDocumentNote,IncludedCINote,/SMEConsolidatedSelfInvoice/CIIHSupplyChainTradeTransaction/IncludedCIILSupplyChainTradeLineItem/AssociatedCIILDocumentLineDocument/IncludedCINote
