seq,acronym,property_type,class_term,property_term,representation_term,code_list,associated_class,element,DEN,multiplicity,definition,TDED,short_name,UNID,level,version,sequence,type,identifier,label_local,definition_local,attribute,xpath,name,multiplicity_SME
2583,ASBIE,Composition,CIOL_ Supply Chain_ Trade Agreement,Letter Of Credit Referenced,,,CI_ Referenced Document,LetterOfCreditReferencedCIReferencedDocument,CIOL_ Supply Chain_ Trade Agreement. Letter Of Credit_ Referenced. CI_ Referenced_ Document,0..1,The letter of credit document referenced by this CIOL supply chain trade agreement.,,Letter Of Credit Document,UN01006624,,,,,,,,,,,0..0
2584,ASBIE,Composition,CIOL_ Supply Chain_ Trade Agreement,Import Licence Referenced,,,CI_ Referenced Document,ImportLicenceReferencedCIReferencedDocument,CIOL_ Supply Chain_ Trade Agreement. Import Licence_ Referenced. CI_ Referenced_ Document,0..1,The import licence document referenced by this CIOL supply chain trade agreement.,,Import Licence Document,UN01006625,,,,,,,,,,,0..0
2585,ASBIE,Composition,CIOL_ Supply Chain_ Trade Agreement,Export Licence Referenced,,,CI_ Referenced Document,ExportLicenceReferencedCIReferencedDocument,CIOL_ Supply Chain_ Trade Agreement. Export Licence_ Referenced. CI_ Referenced_ Document,0..1,The export licence document referenced by this CIOL supply chain trade agreement.,,Export Licence Document,UN01006626,,,,,,,,,,,0..0
2586,ASBIE,Composition,CIOL_ Supply Chain_ Trade Agreement,Catalogue Referenced,,,CI_ Referenced Document,CatalogueReferencedCIReferencedDocument,CIOL_ Supply Chain_ Trade Agreement. Catalogue_ Referenced. CI_ Referenced_ Document,0..1,The catalogue document referenced by this CIOL supply chain trade agreement.,,Catalogue Document,UN01006627,,,,,,,,,,,0..0
2587,ASBIE,Composition,CIOL_ Supply Chain_ Trade Agreement,Additional Referenced,,,CI_ Referenced Document,AdditionalReferencedCIReferencedDocument,CIOL_ Supply Chain_ Trade Agreement. Additional_ Referenced. CI_ Referenced_ Document,0..n,An additional document referenced by this CIOL supply chain trade agreement.,,Additional Document,UN01006628,,,,,,,,,,,0..0
2605,ASBIE,Composition,CIOL_ Supply Chain_ Trade Delivery,Additional Referenced,,,CI_ Referenced Document,AdditionalReferencedCIReferencedDocument,CIOL_ Supply Chain_ Trade Delivery. Additional_ Referenced. CI_ Referenced_ Document,0..n,"An additional referenced document, such as a delivery document, for this CIOL supply chain trade delivery.",,Additional Document,UN01006638,,,,,,,,,,,0..0
2662,ASBIE,Composition,CIQH_ Supply Chain_ Trade Agreement,Additional Referenced,,,CI_ Referenced Document,AdditionalReferencedCIReferencedDocument,CIQH_ Supply Chain_ Trade Agreement. Additional_ Referenced. CI_ Referenced_ Document,0..n,An additional document referenced in this CIQH supply chain trade agreement.,,Additional Document,UN01008564,,,,,,,,,,,0..0
2663,ASBIE,Composition,CIQH_ Supply Chain_ Trade Agreement,Contract Referenced,,,CI_ Referenced Document,ContractReferencedCIReferencedDocument,CIQH_ Supply Chain_ Trade Agreement. Contract_ Referenced. CI_ Referenced_ Document,0..n,A contract document referenced in this CIQH supply chain trade agreement.,,Contract Document,UN01008565,,,,,,,,,,,0..0
2664,ASBIE,Composition,CIQH_ Supply Chain_ Trade Agreement,Price List Referenced,,,CI_ Referenced Document,PriceListReferencedCIReferencedDocument,CIQH_ Supply Chain_ Trade Agreement. Price List_ Referenced. CI_ Referenced_ Document,0..1,The price list document referenced in this CIQH supply chain trade agreement.,,Price List Document,UN01008566,,,,,,,,,,,0..0
2665,ASBIE,Composition,CIQH_ Supply Chain_ Trade Agreement,Quotation Proposal Referenced,,,CI_ Referenced Document,QuotationProposalReferencedCIReferencedDocument,CIQH_ Supply Chain_ Trade Agreement. Quotation Proposal_ Referenced. CI_ Referenced_ Document,0..1,The quotation proposal document referenced in this CIQH supply chain trade agreement.,,Quotation Proposal Document,UN01008567,,,,,,,,,,,0..0
2666,ASBIE,Composition,CIQH_ Supply Chain_ Trade Agreement,Quotation Proposal Response Referenced,,,CI_ Referenced Document,QuotationProposalResponseReferencedCIReferencedDocument,CIQH_ Supply Chain_ Trade Agreement. Quotation Proposal Response_ Referenced. CI_ Referenced_ Document,0..1,The quotation proposal response document referenced in this CIQH supply chain trade agreement.,,Quotation Proposal Response Document,UN01008568,,,,,,,,,,,0..0
2667,ASBIE,Composition,CIQH_ Supply Chain_ Trade Agreement,Request For Quotation Referenced,,,CI_ Referenced Document,RequestForQuotationReferencedCIReferencedDocument,CIQH_ Supply Chain_ Trade Agreement. Request For Quotation_ Referenced. CI_ Referenced_ Document,0..1,The request for quotation document referenced in this CIQH supply chain trade agreement.,,Request For Quotation Document,UN01008569,,,,,,,,,,,0..0
2668,ASBIE,Composition,CIQH_ Supply Chain_ Trade Agreement,Request For Quotation Response Referenced,,,CI_ Referenced Document,RequestForQuotationResponseReferencedCIReferencedDocument,CIQH_ Supply Chain_ Trade Agreement. Request For Quotation Response_ Referenced. CI_ Referenced_ Document,0..1,The request for quotation response document referenced in this CIQH supply chain trade agreement.,,Request For Quotation Response Document,UN01008570,,,,,,,,,,,0..0
2706,ASBIE,Composition,CIQL_ Supply Chain_ Trade Agreement,Additional Referenced,,,CI_ Referenced Document,AdditionalReferencedCIReferencedDocument,CIQL_ Supply Chain_ Trade Agreement. Additional_ Referenced. CI_ Referenced_ Document,0..n,An additional document referenced in this CIQL supply chain trade agreement.,,Additional Referenced Document,UN01008576,,,,,,,,,,,0..0
2707,ASBIE,Composition,CIQL_ Supply Chain_ Trade Agreement,Contract Referenced,,,CI_ Referenced Document,ContractReferencedCIReferencedDocument,CIQL_ Supply Chain_ Trade Agreement. Contract_ Referenced. CI_ Referenced_ Document,0..n,A contract document referenced in this CIQL supply chain trade agreement.,,Contract Document,UN01008577,,,,,,,,,,,0..0
2708,ASBIE,Composition,CIQL_ Supply Chain_ Trade Agreement,Price List Referenced,,,CI_ Referenced Document,PriceListReferencedCIReferencedDocument,CIQL_ Supply Chain_ Trade Agreement. Price List_ Referenced. CI_ Referenced_ Document,0..1,The price list document referenced in this CIQL supply chain trade agreement.,,Price List Document,UN01008578,,,,,,,,,,,0..0
2709,ASBIE,Composition,CIQL_ Supply Chain_ Trade Agreement,Quotation Proposal Referenced,,,CI_ Referenced Document,QuotationProposalReferencedCIReferencedDocument,CIQL_ Supply Chain_ Trade Agreement. Quotation Proposal_ Referenced. CI_ Referenced_ Document,0..1,The quotation proposal document referenced in this CIQL supply chain trade agreement.,,Quotation Proposal Document,UN01008579,,,,,,,,,,,0..0
2710,ASBIE,Composition,CIQL_ Supply Chain_ Trade Agreement,Quotation Proposal Response Referenced,,,CI_ Referenced Document,QuotationProposalResponseReferencedCIReferencedDocument,CIQL_ Supply Chain_ Trade Agreement. Quotation Proposal Response_ Referenced. CI_ Referenced_ Document,0..1,The quotation proposal response document referenced in this CIQL supply chain trade agreement.,,Quotation Proposal Response Document,UN01008580,,,,,,,,,,,0..0
2711,ASBIE,Composition,CIQL_ Supply Chain_ Trade Agreement,Request For Quotation Referenced,,,CI_ Referenced Document,RequestForQuotationReferencedCIReferencedDocument,CIQL_ Supply Chain_ Trade Agreement. Request For Quotation_ Referenced. CI_ Referenced_ Document,0..1,The request for quotation document referenced in this CIQL supply chain trade agreement.,,Request For Quotation Document,UN01008581,,,,,,,,,,,0..0
2712,ASBIE,Composition,CIQL_ Supply Chain_ Trade Agreement,Request For Quotation Response Referenced,,,CI_ Referenced Document,RequestForQuotationResponseReferencedCIReferencedDocument,CIQL_ Supply Chain_ Trade Agreement. Request For Quotation Response_ Referenced. CI_ Referenced_ Document,0..1,The request for quotation response document referenced in this CIQL supply chain trade agreement.,,Request For Quotation Response Document,UN01008582,,,,,,,,,,,0..0
2829,ASBIE,Composition,CIRL_ Supply Chain_ Trade Agreement,Buyer Order Referenced,,,CI_ Referenced Document,BuyerOrderReferencedCIReferencedDocument,CIRL_ Supply Chain_ Trade Agreement. Buyer Order_ Referenced. CI_ Referenced_ Document,0..1,The buyer order document referenced by this CIRL supply chain trade agreement.,,Buyer Order Document,UN01011459,,,,,,,,,,,0..0
2831,ASBIE,Composition,CIRL_ Supply Chain_ Trade Agreement,Seller Order Referenced,,,CI_ Referenced Document,SellerOrderReferencedCIReferencedDocument,CIRL_ Supply Chain_ Trade Agreement. Seller Order_ Referenced. CI_ Referenced_ Document,0..1,The seller order document referenced by this CIRL supply chain trade agreement.,,Seller Order Document,UN01011520,,,,,,,,,,,0..0
2847,ASBIE,Composition,CIRL_ Supply Chain_ Trade Line Item,Reference,,,CI_ Referenced Document,ReferenceCIReferencedDocument,CIRL_ Supply Chain_ Trade Line Item. Reference. CI_ Referenced_ Document,0..n,A document referenced by this CIRL supply chain trade line item.,,Referenced Document,UN01011116,,,,,,,,,,,0..0
2855,ASBIE,Composition,CIRL_ Supply Chain_ Trade Settlement,Invoice Referenced,,,CI_ Referenced Document,InvoiceReferencedCIReferencedDocument,CIRL_ Supply Chain_ Trade Settlement. Invoice_ Referenced. CI_ Referenced_ Document,0..1,The invoice document referenced from this CIRL supply chain trade settlement.,,Invoice Document,UN01008803,,,,,,,,,,,0..0
2858,ASBIE,Composition,CIRL_ Supply Chain_ Trade Settlement,Referenced,,,CI_ Referenced Document,ReferencedCIReferencedDocument,CIRL_ Supply Chain_ Trade Settlement. Referenced. CI_ Referenced_ Document,0..n,A document referenced by this CIRL supply chain trade settlement.,,Referenced Document,UN01011118,,,,,,,,,,,0..0
2882,ASBIE,Composition,CIRT_ Supply Chain_ Trade Agreement,Buyer Order Referenced,,,CI_ Referenced Document,BuyerOrderReferencedCIReferencedDocument,CIRT_ Supply Chain_ Trade Agreement. Buyer Order_ Referenced. CI_ Referenced_ Document,0..1,The buyer order document referenced from this CIRT supply chain trade agreement.,,Buyer Order Document,UN01008588,,,,,,,,,,,0..0
2883,ASBIE,Composition,CIRT_ Supply Chain_ Trade Agreement,Seller Order Referenced,,,CI_ Referenced Document,SellerOrderReferencedCIReferencedDocument,CIRT_ Supply Chain_ Trade Agreement. Seller Order_ Referenced. CI_ Referenced_ Document,0..1,The seller order document referenced from this CIRT supply chain trade agreement.,,Seller Order Document,UN01008589,,,,,,,,,,,0..0
2906,ASBIE,Composition,CIRT_ Supply Chain_ Trade Settlement,Invoice Referenced,,,CI_ Referenced Document,InvoiceReferencedCIReferencedDocument,CIRT_ Supply Chain_ Trade Settlement. Invoice_ Referenced. CI_ Referenced_ Document,0..1,The invoice document referenced from this CIRT supply chain trade settlement.,,Invoice Document,UN01008813,,,,,,,,,,,0..0
2915,ASBIE,Composition,CIRT_ Supply Chain_ Trade Transaction,Associated,,,CI_ Referenced Document,AssociatedCIReferencedDocument,CIRT_ Supply Chain_ Trade Transaction. Associated. CI_ Referenced_ Document,0..n,A reference document associated with this CIRT supply chain trade transaction.,,Referenced Document,UN01011103,,,,,,,,,,,0..0
2995,ASBIE,Composition,CISCRL_ Supply Chain_ Trade Delivery,Receiving Advice Referenced,,,CI_ Referenced Document,ReceivingAdviceReferencedCIReferencedDocument,CISCRL_ Supply Chain_ Trade Delivery. Receiving Advice_ Referenced. CI_ Referenced_ Document,0..n,A referenced receiving advice document for this CISCRL supply chain trade delivery.,,Receiving Advice Document,UN01012900,,,,,,,,,,,0..0
2996,ASBIE,Composition,CISCRL_ Supply Chain_ Trade Delivery,Delivery Note Referenced,,,CI_ Referenced Document,DeliveryNoteReferencedCIReferencedDocument,CISCRL_ Supply Chain_ Trade Delivery. Delivery Note_ Referenced. CI_ Referenced_ Document,0..1,The delivery note document referenced for this CISCRL supply chain trade delivery.,,Delivery Note Document,UN01012901,,,,,,,,,,,0..0
2997,ASBIE,Composition,CISCRL_ Supply Chain_ Trade Delivery,Additional Referenced,,,CI_ Referenced Document,AdditionalReferencedCIReferencedDocument,CISCRL_ Supply Chain_ Trade Delivery. Additional_ Referenced. CI_ Referenced_ Document,0..n,An additional document referenced for this CISCRL supply chain trade delivery.,,Additional Referenced Document,UN01012902,,,,,,,,,,,0..0
2998,ASBIE,Composition,CISCRL_ Supply Chain_ Trade Delivery,Despatch Advice Referenced,,,CI_ Referenced Document,DespatchAdviceReferencedCIReferencedDocument,CISCRL_ Supply Chain_ Trade Delivery. Despatch Advice_ Referenced. CI_ Referenced_ Document,0..1,The despatch advice document referenced for this CISCRL supply chain trade delivery.,,Despatch Advice Document,UN01012903,,,,,,,,,,,0..0
3043,ASBIE,Composition,CISDFL_ Supply Chain_ Trade Delivery,Additional Referenced,,,CI_ Referenced Document,AdditionalReferencedCIReferencedDocument,CISDFL_ Supply Chain_ Trade Delivery. Additional_ Referenced. CI_ Referenced_ Document,0..n,An additional referenced document for this CISDFL supply chain trade delivery.,,Additional Document,UN01008642,,,,,,,,,,,0..0
3044,ASBIE,Composition,CISDFL_ Supply Chain_ Trade Delivery,Despatch Advice Referenced,,,CI_ Referenced Document,DespatchAdviceReferencedCIReferencedDocument,CISDFL_ Supply Chain_ Trade Delivery. Despatch Advice_ Referenced. CI_ Referenced_ Document,0..1,The referenced despatch advice document for this CISDFL supply chain trade delivery.,,Despatch Advice Document,UN01008643,,,,,,,,,,,0..0
3045,ASBIE,Composition,CISDFL_ Supply Chain_ Trade Delivery,Receiving Advice Referenced,,,CI_ Referenced Document,ReceivingAdviceReferencedCIReferencedDocument,CISDFL_ Supply Chain_ Trade Delivery. Receiving Advice_ Referenced. CI_ Referenced_ Document,0..n,A referenced receiving advice document for this CISDFL supply chain trade delivery.,,Receiving Advice Document,UN01008644,,,,,,,,,,,0..0
3090,ASBIE,Composition,CISH_ Supply Chain_ Trade Delivery,Additional Referenced,,,CI_ Referenced Document,AdditionalReferencedCIReferencedDocument,CISH_ Supply Chain_ Trade Delivery. Additional_ Referenced. CI_ Referenced_ Document,0..n,An additional referenced document for this CISH supply chain trade delivery.,,Additional Document,UN01008661,,,,,,,,,,,0..0
3091,ASBIE,Composition,CISH_ Supply Chain_ Trade Delivery,Delivery Note Referenced,,,CI_ Referenced Document,DeliveryNoteReferencedCIReferencedDocument,CISH_ Supply Chain_ Trade Delivery. Delivery Note_ Referenced. CI_ Referenced_ Document,0..1,The referenced delivery note document for this CISH supply chain trade delivery.,,Delivery Note Document,UN01008662,,,,,,,,,,,0..0
3092,ASBIE,Composition,CISH_ Supply Chain_ Trade Delivery,Despatch Advice Referenced,,,CI_ Referenced Document,DespatchAdviceReferencedCIReferencedDocument,CISH_ Supply Chain_ Trade Delivery. Despatch Advice_ Referenced. CI_ Referenced_ Document,0..1,The referenced despatch advice document for this CISH supply chain trade delivery.,,Despatch Advice Document,UN01008663,,,,,,,,,,,0..0
3093,ASBIE,Composition,CISH_ Supply Chain_ Trade Delivery,Receiving Advice Referenced,,,CI_ Referenced Document,ReceivingAdviceReferencedCIReferencedDocument,CISH_ Supply Chain_ Trade Delivery. Receiving Advice_ Referenced. CI_ Referenced_ Document,0..n,A referenced receiving advice document for this CISH supply chain trade delivery.,,Receiving Advice Document,UN01008664,,,,,,,,,,,0..0
3094,ASBIE,Composition,CISH_ Supply Chain_ Trade Delivery,Shipment Schedule Referenced,,,CI_ Referenced Document,ShipmentScheduleReferencedCIReferencedDocument,CISH_ Supply Chain_ Trade Delivery. Shipment Schedule_ Referenced. CI_ Referenced_ Document,0..1,The shipment schedule document referenced for this CISH supply chain trade delivery.,,Shipment Schedule Document,UN01008665,,,,,,,,,,,0..0
3123,ASBIE,Composition,CISIFL_ Supply Chain_ Trade Delivery,Additional Referenced,,,CI_ Referenced Document,AdditionalReferencedCIReferencedDocument,CISIFL_ Supply Chain_ Trade Delivery. Additional_ Referenced. CI_ Referenced_ Document,0..n,An additional referenced document for this CISIFL supply chain trade delivery.,,Additional Document,UN01008676,,,,,,,,,,,0..0
3124,ASBIE,Composition,CISIFL_ Supply Chain_ Trade Delivery,Despatch Advice Referenced,,,CI_ Referenced Document,DespatchAdviceReferencedCIReferencedDocument,CISIFL_ Supply Chain_ Trade Delivery. Despatch Advice_ Referenced. CI_ Referenced_ Document,0..1,The referenced despatch advice document for this CISIFL supply chain trade delivery.,,Despatch Advice Document,UN01008677,,,,,,,,,,,0..0
3125,ASBIE,Composition,CISIFL_ Supply Chain_ Trade Delivery,Receiving Advice Referenced,,,CI_ Referenced Document,ReceivingAdviceReferencedCIReferencedDocument,CISIFL_ Supply Chain_ Trade Delivery. Receiving Advice_ Referenced. CI_ Referenced_ Document,0..n,A referenced receiving advice document for this CISIFL supply chain trade delivery.,,Receiving Advice Document,UN01008678,,,,,,,,,,,0..0
3153,ASBIE,Composition,CISSIL_ Supply Chain_ Trade Delivery,Additional Referenced,,,CI_ Referenced Document,AdditionalReferencedCIReferencedDocument,CISSIL_ Supply Chain_ Trade Delivery. Additional_ Referenced. CI_ Referenced_ Document,0..n,An additional referenced document for this CISSIL supply chain trade delivery.,,Additional Document,UN01008694,,,,,,,,,,,0..0
3154,ASBIE,Composition,CISSIL_ Supply Chain_ Trade Delivery,Despatch Advice Referenced,,,CI_ Referenced Document,DespatchAdviceReferencedCIReferencedDocument,CISSIL_ Supply Chain_ Trade Delivery. Despatch Advice_ Referenced. CI_ Referenced_ Document,0..1,The referenced despatch advice document for this CISSIL supply chain trade delivery.,,Despatch Advice Document,UN01008695,,,,,,,,,,,0..0
3155,ASBIE,Composition,CISSIL_ Supply Chain_ Trade Delivery,Receiving Advice Referenced,,,CI_ Referenced Document,ReceivingAdviceReferencedCIReferencedDocument,CISSIL_ Supply Chain_ Trade Delivery. Receiving Advice_ Referenced. CI_ Referenced_ Document,0..n,A referenced receiving advice document for this CISSIL supply chain trade delivery.,,Receiving Advice Document,UN01008696,,,,,,,,,,,0..0
3156,ASBIE,Composition,CISSIL_ Supply Chain_ Trade Delivery,Delivery Note Referenced,,,CI_ Referenced Document,DeliveryNoteReferencedCIReferencedDocument,CISSIL_ Supply Chain_ Trade Delivery. Delivery Note_ Referenced. CI_ Referenced_ Document,0..1,The delivery note document referenced for this CISSIL supply chain trade delivery.,,Delivery Note Document,UN01012724,,,,,,,,,,,0..0
3190,ASBIE,Composition,CISSNL_ Supply Chain_ Trade Delivery,Additional Referenced,,,CI_ Referenced Document,AdditionalReferencedCIReferencedDocument,CISSNL_ Supply Chain_ Trade Delivery. Additional_ Referenced. CI_ Referenced_ Document,0..n,An additional referenced document for this CISSNL supply chain trade delivery.,,Additional Document,UN01008712,,,,,,,,,,,0..0
3191,ASBIE,Composition,CISSNL_ Supply Chain_ Trade Delivery,Despatch Advice Referenced,,,CI_ Referenced Document,DespatchAdviceReferencedCIReferencedDocument,CISSNL_ Supply Chain_ Trade Delivery. Despatch Advice_ Referenced. CI_ Referenced_ Document,0..1,The referenced despatch advice document for this CISSNL supply chain trade delivery.,,Despatch Advice Document,UN01008713,,,,,,,,,,,0..0
3192,ASBIE,Composition,CISSNL_ Supply Chain_ Trade Delivery,Receiving Advice Referenced,,,CI_ Referenced Document,ReceivingAdviceReferencedCIReferencedDocument,CISSNL_ Supply Chain_ Trade Delivery. Receiving Advice_ Referenced. CI_ Referenced_ Document,0..n,A referenced receiving advice document for this CISSNL supply chain trade delivery.,,Receiving Advice Document,UN01008714,,,,,,,,,,,0..0
3282,ASBIE,Composition,CIS_ Supply Chain_ Trade Agreement,Additional Referenced,,,CI_ Referenced Document,AdditionalReferencedCIReferencedDocument,CIS_ Supply Chain_ Trade Agreement. Additional_ Referenced. CI_ Referenced_ Document,0..n,An additional document referenced in this CIS supply chain trade agreement.,,Additional Referenced Document,UN01008598,,,,,,,,,,,0..0
3283,ASBIE,Composition,CIS_ Supply Chain_ Trade Agreement,Contract Referenced,,,CI_ Referenced Document,ContractReferencedCIReferencedDocument,CIS_ Supply Chain_ Trade Agreement. Contract_ Referenced. CI_ Referenced_ Document,0..n,A contract document referenced in this CIS supply chain trade agreement.,,Contract Document,UN01008599,,,,,,,,,,,0..0
3284,ASBIE,Composition,CIS_ Supply Chain_ Trade Agreement,Demand Forecast Referenced,,,CI_ Referenced Document,DemandForecastReferencedCIReferencedDocument,CIS_ Supply Chain_ Trade Agreement. Demand Forecast_ Referenced. CI_ Referenced_ Document,0..n,A demand forecast document referenced in this CIS supply chain trade agreement.,,Demand Forecast Document,UN01008600,,,,,,,,,,,0..0
3285,ASBIE,Composition,CIS_ Supply Chain_ Trade Agreement,Price List Referenced,,,CI_ Referenced Document,PriceListReferencedCIReferencedDocument,CIS_ Supply Chain_ Trade Agreement. Price List_ Referenced. CI_ Referenced_ Document,0..1,The price list document referenced in this CIS supply chain trade agreement.,,Price List Document,UN01008601,,,,,,,,,,,0..0
3286,ASBIE,Composition,CIS_ Supply Chain_ Trade Agreement,Requisitioner Referenced,,,CI_ Referenced Document,RequisitionerReferencedCIReferencedDocument,CIS_ Supply Chain_ Trade Agreement. Requisitioner_ Referenced. CI_ Referenced_ Document,0..n,A requisitioner document referenced in this CIS supply chain trade agreement.,,Requisitioner Document,UN01008602,,,,,,,,,,,0..0
3287,ASBIE,Composition,CIS_ Supply Chain_ Trade Agreement,Sales Conditions Referenced,,,CI_ Referenced Document,SalesConditionsReferencedCIReferencedDocument,CIS_ Supply Chain_ Trade Agreement. Sales Conditions_ Referenced. CI_ Referenced_ Document,0..n,A sales conditions document referenced in this CIS supply chain trade agreement.,,Sales Conditions Document,UN01008603,,,,,,,,,,,0..0
3288,ASBIE,Composition,CIS_ Supply Chain_ Trade Agreement,Supply Instruction Referenced,,,CI_ Referenced Document,SupplyInstructionReferencedCIReferencedDocument,CIS_ Supply Chain_ Trade Agreement. Supply Instruction_ Referenced. CI_ Referenced_ Document,0..n,A supply instruction document referenced in this CIS supply chain trade agreement.,,Supply Instruction Document,UN01008604,,,,,,,,,,,0..0
3309,ASBIE,Composition,CI_ Advance_ Payment,Invoice Specified,,,CI_ Referenced Document,InvoiceSpecifiedCIReferencedDocument,CI_ Advance_ Payment. Invoice_ Specified. CI_ Referenced_ Document,0..n,An invoice document referenced by this CI advance payment.,,Invoice Document,UN01015595,,,,,,,,,,,0..0
3467,ASBIE,Composition,CI_ Financial_ Adjustment,Invoice Reference,,,CI_ Referenced Document,InvoiceReferenceCIReferencedDocument,CI_ Financial_ Adjustment. Invoice_ Reference. CI_ Referenced_ Document,0..1,The invoice document referenced for this CI financial adjustment.,,Referenced Invoice Document,UN01009671,,,,,,,,,,,0..0
3614,BBIE,Attribute,CI_ Referenced_ Document,I,_,UNCL(1004),,IssuerAssignedID,CI_ Referenced_ Document. Issuer Assigned_ Identification. Identifier,0..1,The issuer assigned identifier for this CI referenced document.,(1004),Issuer Assigned ID,UN01005580,2,v4,46,A,,（鑑ヘッダ参照）文書ID,インボイス文書が参照する参照文書のID,,/SMECoreSelfInvoice/CIIHExchangedDocument/II/I,ExchangedIIReferencedDocumentIssuerAssignedID,0..0
3615,BBIE,Attribute,CI_ Referenced_ Document,I,_,UNCL(1004),,URIID,CI_ Referenced_ Document. URI_ Identification. Identifier,0..1,The unique Uniform Resource Identifier (URI) for this CI referenced document.,(1004),URI,UN01005581,2,v4.2,47,A,,（鑑ヘッダ参照）文書URL_ID,インボイス文書が参照する文書が所在するURL_ID,,/SMECoreSelfInvoice/CIIHExchangedDocument/II/I,ExchangedIIReferencedDocumentURIID,0..0
3616,BBIE,Attribute,CI_ Referenced_ Document,I,_,UNCL(2007),,IssueDateTime,CI_ Referenced_ Document. Issue. Date Time,0..1,The date or date time for the issuance of this CI referenced document.,(2007),Issue Date Time,UN01005582,2,v4,48,A,,（鑑ヘッダ参照）文書発行日,インボイス文書が参照する参照文書の発行日,,/SMECoreSelfInvoice/CIIHExchangedDocument/II/I,ExchangedIIReferencedDocumentIssueDateTime,0..0
3617,BBIE,Attribute,CI_ Referenced_ Document,Status,Code,UNCL(1373),,StatusCode,CI_ Referenced_ Document. Status. Code,0..1,The code specifying the status for this CI referenced document.,(1373),Status Code,UN01005583,,,,,,,,,,,0..0
3618,BBIE,Attribute,CI_ Referenced_ Document,Copy,Indicator,,,CopyIndicator,CI_ Referenced_ Document. Copy. Indicator,0..1,The indication of whether or not the CI referenced document is a copy.,,Copy Indicator,UN01005584,,,,,,,,,,,0..0
3619,BBIE,Attribute,CI_ Referenced_ Document,I,_,UNCL(1156),,LineID,CI_ Referenced_ Document. Line. Identifier,0..1,The unique identifier of a line in this CI referenced document.,(1156),Line ID,UN01005585,2,v4,288,A,,（明細行参照）文書明細行ID,この明細行が参照する文書に記載の文書明細行ID。,,/SMECoreSelfInvoice/CIIHSupplyChainTradeTransaction/II/II/II/II/I,IIReferencedDocumentLineID,0..0
3620,BBIE,Attribute,CI_ Referenced_ Document,I,_,UNCL(1153),,ReferenceTypeCode,CI_ Referenced_ Document. Reference_ Type. Code,0..1,The code specifying the reference type of this CI referenced document.,(1153),Reference Type Code,UN01005586,2,v4.1,261,A,,（明細文書ヘッダ参照）文書参照タイプコード,この明細文書ヘッダが参照する文書の参照タイプを識別するコード。,,/SMECoreSelfInvoice/CIIHSupplyChainTradeTransaction/II/II/II/I,IIReferencedDocumentReferenceTypeCode,0..0
3621,BBIE,Attribute,CI_ Referenced_ Document,Global Identification,Identifier,UNCL(1004),,GlobalID,CI_ Referenced_ Document. Global_ Identification. Identifier,0..1,The unique global identifier for this CI referenced document.,(1004),Global ID,UN01005587,,,,,,,,,,,0..0
3622,BBIE,Attribute,CI_ Referenced_ Document,I,_,UNCL(1004),,RevisionID,CI_ Referenced_ Document. Revision_ Identification. Identifier,0..1,The unique identifier for a revision of this CI referenced document.,(1004),Revision ID,UN01005588,2,v4,201,A,,明細文書組込み文書履歴ID,この明細文書に組込んだ文書の変更履歴を管理するID。,,/SMECoreSelfInvoice/CIIHSupplyChainTradeTransaction/II/II/II/I,IIReferencedDocumentRevisionID,0..0
3623,BBIE,Attribute,CI_ Referenced_ Document,I,_,UNCL(1000),,Name,CI_ Referenced_ Document. Name. Text,0..n,"A name, expressed as text, for this CI referenced document.",(1000),Name,UN01005589,2,v4.3,290,A,,（明細行参照）文書名,この明細行が参照する文書の名称,,/SMECoreSelfInvoice/CIIHSupplyChainTradeTransaction/II/II/II/II/I,IIReferencedDocumentName,0..0
3624,BBIE,Attribute,CI_ Referenced_ Document,I,_,UNCL(4142),,InformationText,CI_ Referenced_ Document. Information. Text,0..n,"Information, expressed as text, for this CI referenced document.",(4142),Information,UN01006415,2,v4.1,263,A,,（明細文書ヘッダ参照）文書説明,この明細文書ヘッダの参照文書の説明,,/SMECoreSelfInvoice/CIIHSupplyChainTradeTransaction/II/II/II/I,IIReferencedDocumentInformationText,0..0
3625,BBIE,Attribute,CI_ Referenced_ Document,Previous Revision Identification,Identifier,UNCL(1004),,PreviousRevisionID,CI_ Referenced_ Document. Previous Revision_ Identification. Identifier,0..n,An identifier for a previous revision of this CI referenced document.,(1004),Previous Revision ID,UN01007143,,,,,,,,,,,0..0
3626,BBIE,Attribute,CI_ Referenced_ Document,Section Name,Text,,,SectionName,CI_ Referenced_ Document. Section Name. Text,0..n,"A section name, expressed as text, for this CI referenced document.",,Section Name,UN01007144,,,,,,,,,,,0..0
3627,BBIE,Attribute,CI_ Referenced_ Document,I,_,UNCL(1001),,TypeCode,CI_ Referenced_ Document. Type. Code,0..1,The code specifying the type of CI referenced document.,(1001),Type Code,UN01009672,2,v4,49,A,,（鑑ヘッダ参照）文書タイプコード,インボイス文書が参照する参照文書の文書タイプを識別するコード,,/SMECoreSelfInvoice/CIIHExchangedDocument/II/I,ExchangedIIReferencedDocumentTypeCode,0..0
3628,BBIE,Attribute,CI_ Referenced_ Document,Attachment,Binary Object,,,AttachmentBinaryObject,CI_ Referenced_ Document. Attachment. Binary Object,0..n,A binary object that is attached or otherwise appended to this CI referenced document.,,Attached Binary Object,UN01011455,,,,,,,,,,,0..0
