version,sme_nr,mbie_nr,level,property_type,class_term,sequence,multiplicity,multiplicity_sme,identifier,property_term,representation_term,code_list,XML_datatype,associated_class,selector,fixed_value,label_sme,label_csv,definition_sme,label_ja,definition_ja,UNID,acronym,DEN,definition,short_name,element,XML_element_name
,,2284,,Composition,CIIH_ Supply Chain_ Trade Settlement (Applicable),27,0..1,0..0,,,,,,CI_ Trade_ Party (Ultimate_ Payee),,,,,,,,UN01008772,ASBIE,CIIH_ Supply Chain_ Trade Settlement. Ultimate_ Payee. CI_ Trade_ Party,The ultimate payee party for this CIIH supply chain trade settlement.,Ultimate Payee,UltimatePayeeParty,
,,2285,,Composition,CIIH_ Supply Chain_ Trade Settlement (Applicable),28,0..n,0..0,,,,,,Advance_ Payment (Specified),,,,,,,,UN01008773,ASBIE,CIIH_ Supply Chain_ Trade Settlement. Specified. Advance_ Payment,An advance payment specified for this CIIH supply chain trade settlement.,Advance Payment,SpecifiedPayment,
v4,353.0,2286,2,Composition,CIIH_ Supply Chain_ Trade Settlement (Applicable),29,0..1,0..1,,,,,ram:CIIHTradeSettlementMonetarySummationType,CIIH_ Trade Settlement_ Monetary Summation (Applicable/Outstanding_ Specified),,,インボイス文書決済／未決済合計金額グループ,未決済合計金額,未決済合計金額に関するグループ,未払い金合計,CIIHサプライチェーン取引決済における未決済の金銭合計額。,UN01015492,ASBIE,CIIH_ Supply Chain_ Trade Settlement. Outstanding_ Specified. CIIH_ Trade Settlement_ Monetary Summation,The monetary summation totals outstanding for this CIIH supply chain trade settlement.,Outstanding Monetary Summation,OutstandingSpecifiedCIIHTradeSettlementMonetarySummation,OutstandingSpecifiedCIIHTradeSettlementMonetarySummation
v4.3,358.0,2287,2,Composition,CIIH_ Supply Chain_ Trade Settlement (Applicable),30,0..n,0..n,,,,,ram:CIAdvancePaymentType,CI_ Advance_ Payment (Applicable/Specified),,,インボイス文書決済／前払グループ,前払,前払に関するグループ,前払い,CIIHサプライチェーン取引決済に指定された前払い金。,UN01015598,ASBIE,CIIH_ Supply Chain_ Trade Settlement. Specified. CI_ Advance_ Payment,An advance payment specified for this CIIH supply chain trade settlement.,Advance Payment,SpecifiedCIAdvancePayment,SpecifiedCIAdvancePayment
v1,65.0,2288,1,Class,CIIH_ Supply Chain_ Trade Transaction,,,,,,,,ram:CIIHSupplyChainTradeTransactionType,,,,インボイス文書取引内容クラス,取引内容,インボイス文書情報で伝達される取引内容に関する情報からなるクラス。,CIIH取引取引,CIIHに含まれる取引明細項目、取引契約、取引納品、取引決済の詳細。,UN01005936,ABIE,CIIH_ Supply Chain_ Trade Transaction. Details,"The trade line items, trade agreement, trade delivery and trade settlement details included in this Cross Industry Invoice Header (CIIH).",CIIH Trade Transaction,CIIHSupplyChainTradeTransaction,CIIHSupplyChainTradeTransaction
v1,66.0,2289,2,Composition,CIIH_ Supply Chain_ Trade Transaction,1,1..1,1..1,,,,,ram:CIIHSupplyChainTradeAgreementType,CIIH_ Supply Chain_ Trade Agreement (Applicable),,,インボイス文書取引内容／契約グループ,インボイス文書契約,インボイス文書取引に適用される契約に関するグループ。,取引協定,CIIHサプライチェーン取引に適用されるCIIHサプライチェーン取引契約。,UN01005937,ASBIE,CIIH_ Supply Chain_ Trade Transaction. Applicable. CIIH_ Supply Chain_ Trade Agreement,The CIIH supply chain trade agreement applicable to this CIIH supply chain trade transaction.,Trade Agreement,ApplicableCIIHSupplyChainTradeAgreement,ApplicableCIIHSupplyChainTradeAgreement
v4.3,138.0,2290,2,Composition,CIIH_ Supply Chain_ Trade Transaction,2,1..1,1..1,,,,,ram:CIIHSupplyChainTradeDeliveryType,CIIH_ Supply Chain_ Trade Delivery (Applicable),,,インボイス文書取引内容／配送グループ,インボイス文書配送,インボイス文書の配送に関する情報からなるグループ,トレードデリバリー,CIIHサプライチェーン取引に適用されるCIIHサプライチェーン取引納品。,UN01005938,ASBIE,CIIH_ Supply Chain_ Trade Transaction. Applicable. CIIH_ Supply Chain_ Trade Delivery,The CIIH supply chain trade delivery applicable to this CIIH supply chain trade transaction.,Trade Delivery,ApplicableCIIHSupplyChainTradeDelivery,ApplicableCIIHSupplyChainTradeDelivery
v2,143.0,2291,2,Composition,CIIH_ Supply Chain_ Trade Transaction,3,1..1,1..1,,,,,ram:CIIHSupplyChainTradeSettlementType,CIIH_ Supply Chain_ Trade Settlement (Applicable),,,インボイス文書取引内容／決済グループ,インボイス文書決済,決済に関するグループ,取引決済,CIIHサプライチェーン取引に適用されるCIIHサプライチェーン決済。,UN01005939,ASBIE,CIIH_ Supply Chain_ Trade Transaction. Applicable. CIIH_ Supply Chain_ Trade Settlement,The CIIH supply chain trade settlement applicable to this CIIH supply chain trade transaction.,Trade Settlement,ApplicableCIIHSupplyChainTradeSettlement,ApplicableCIIHSupplyChainTradeSettlement
v4,369.0,2292,2,Composition,CIIH_ Supply Chain_ Trade Transaction,4,0..n,1..n,,,,,ram:CIILSupplyChainTradeLineItemType,CIIL_ Supply Chain_ Trade Line Item (Included),,,インボイス文書取引／明細文書ヘッダグループ,明細文書ヘッダ,インボイス文書に組み込まれる明細文書ヘッダのグループ,取引明細項目,CIIHサプライチェーン取引に含まれるCIILサプライチェーン取引明細項目。,UN01005940,ASBIE,CIIH_ Supply Chain_ Trade Transaction. Included. CIIL_ Supply Chain_ Trade Line Item,A Cross Industry Invoice Line (CIIL) supply chain trade line item included in this CIIH supply chain trade transaction.,Trade Line Item,IncludedCIILSupplyChainTradeLineItem,IncludedCIILSupplyChainTradeLineItem
v4,354.0,2293,1,Class,CIIH_ Trade Settlement_ Monetary Summation (Applicable/Outstanding_ Specified),,,,,,,,ram:CIIHTradeSettlementMonetarySummationType,,,,未決済合計金額クラス,未決済合計金額クラス,未決済合計金額に関する情報からなるクラス,CIIH 金銭合計,CIIHに対して指定された取引決済の金銭総額の集合。,UN01005941,ABIE,CIIH_ Trade Settlement_ Monetary Summation. Details,A collection of trade settlement monetary totals specified for this Cross Industry Invoice Header (CIIH).,CIIH Monetary Summation,,
,,2294,,Attribute,CIIH_ Trade Settlement_ Monetary Summation (Applicable/Outstanding_ Specified),1,0..n,0..0,,Line Total,Amount,,,,,,,,,,,UN01005942,BBIE,CIIH_ Trade Settlement_ Monetary Summation. Line Total. Amount,A monetary value of the line amount total being reported in this CIIH trade settlement monetary summation.,Deprecated Line Total Amount,LineTotalAmount,
,,2295,,Attribute,CIIH_ Trade Settlement_ Monetary Summation (Applicable/Outstanding_ Specified),2,0..n,0..0,,Charge Total,Amount,,,,,,,,,,,UN01005943,BBIE,CIIH_ Trade Settlement_ Monetary Summation. Charge Total. Amount,A monetary value of the total of all charge amounts being reported on header level in this CIIH trade settlement monetary summation.,Charge Total Amount,ChargeTotalAmount,
,,2296,,Attribute,CIIH_ Trade Settlement_ Monetary Summation (Applicable/Outstanding_ Specified),3,0..n,0..0,,Allowance Total,Amount,,,,,,,,,,,UN01005944,BBIE,CIIH_ Trade Settlement_ Monetary Summation. Allowance Total. Amount,A monetary value of the total of all allowance amounts being reported on header level in this CIIH trade settlement monetary summation.,Allowance Total Amount,AllowanceTotalAmount,
,,2297,,Attribute,CIIH_ Trade Settlement_ Monetary Summation (Applicable/Outstanding_ Specified),4,0..n,0..0,,Tax Basis Total,Amount,,,,,,,,,,,UN01005945,BBIE,CIIH_ Trade Settlement_ Monetary Summation. Tax Basis Total. Amount,A monetary value of the total of all tax basis amounts being reported in this CIIH trade settlement monetary summation.,Tax Basis Total Amount,TaxBasisTotalAmount,
,,2298,,Attribute,CIIH_ Trade Settlement_ Monetary Summation (Applicable/Outstanding_ Specified),5,0..n,0..0,,Tax Total,Amount,,,,,,,,,,,UN01005946,BBIE,CIIH_ Trade Settlement_ Monetary Summation. Tax Total. Amount,A monetary value of the total of all tax amounts being reported in this CIIH trade settlement monetary summation.,Tax Total Amount,TaxTotalAmount,
,,2299,,Attribute,CIIH_ Trade Settlement_ Monetary Summation (Applicable/Outstanding_ Specified),6,0..n,0..0,,Rounding,Amount,,,,,,,,,,,UN01005947,BBIE,CIIH_ Trade Settlement_ Monetary Summation. Rounding. Amount,A monetary value of a rounding amount being applied in this CIIH trade settlement monetary summation.,Rounding Amount,RoundingAmount,
v4,355.0,2300,2,Attribute,CIIH_ Trade Settlement_ Monetary Summation (Applicable/Outstanding_ Specified),7,0..n,0..1,,Grand Total,Amount,,udt:AmountType,,,,前回インボイス総合計金額（税込み）,前回インボイス総合計金額（税込み）,前回インボイス文書の総合計金額（税込み）,合計金額,税金、割当量、および課徴金を含む、CIIHの取引決済金銭合計の総計の金額。,UN01005948,BBIE,CIIH_ Trade Settlement_ Monetary Summation. Grand Total. Amount,"A monetary value of the grand total of this CIIH trade settlement monetary summation, including taxes and allowances and charges.",Grand Total Amount,GrandTotalAmount,GrandTotalAmount
,,2301,,Attribute,CIIH_ Trade Settlement_ Monetary Summation (Applicable/Outstanding_ Specified),8,0..n,0..0,,Information,Amount,,,,,,,,,,,UN01005949,BBIE,CIIH_ Trade Settlement_ Monetary Summation. Information. Amount,A monetary value of an amount being reported for information in this CIIH trade settlement monetary summation.,Information Amount,InformationAmount,
v4,356.0,2302,2,Attribute,CIIH_ Trade Settlement_ Monetary Summation (Applicable/Outstanding_ Specified),9,0..n,0..1,,Total Prepaid,Amount,,udt:AmountType,,,,支払済金額（前回インボイス分）,支払済金額（前回インボイス分）,前回インボイス文書総合計金額のうち、支払済合計金額,前払い合計金額,CIIHの取引決済合計金額において報告される前払金総額の金額。,UN01005950,BBIE,CIIH_ Trade Settlement_ Monetary Summation. Total Prepaid. Amount,A monetary value of a prepaid total reported in this CIIH trade settlement monetary summation.,Total Prepaid Amount,TotalPrepaidAmount,TotalPrepaidAmount
,,2303,,Attribute,CIIH_ Trade Settlement_ Monetary Summation (Applicable/Outstanding_ Specified),10,0..n,0..0,,Total Discount,Amount,TDED5014,,,,,,,,,,UN01005951,BBIE,CIIH_ Trade Settlement_ Monetary Summation. Total Discount. Amount,A monetary value of a total discount reported in this CIIH trade settlement monetary summation.,Total Discount Amount,TotalDiscountAmount,
,,2304,,Attribute,CIIH_ Trade Settlement_ Monetary Summation (Applicable/Outstanding_ Specified),11,0..n,0..0,,Total Allowance Charge,Amount,,,,,,,,,,,UN01005952,BBIE,CIIH_ Trade Settlement_ Monetary Summation. Total Allowance Charge. Amount,A monetary value of the total of allowance and charge amounts reported on header level in this CIIH trade settlement monetary summation.,Total Allowance/Charge Amount,TotalAllowanceChargeAmount,
v4,357.0,2305,2,Attribute,CIIH_ Trade Settlement_ Monetary Summation (Applicable/Outstanding_ Specified),12,0..n,0..1,,Due Payable,Amount,,udt:AmountType,,,,未決済今回繰越金額,未決済今回支払金額,未決済繰越金額に関する今回繰越金額,支払金額,CIIHの取引決済合計金額において支払期日が到来し支払義務のある金額（債権者への支払額など）。,UN01008445,BBIE,CIIH_ Trade Settlement_ Monetary Summation. Due Payable. Amount,"A monetary value that is an amount due and payable for this CIIH trade settlement monetary summation, such as the amount due to the creditor.",Due Payable Amount,DuePayableAmount,DuePayableAmount
,,2306,,Attribute,CIIH_ Trade Settlement_ Monetary Summation (Applicable/Outstanding_ Specified),13,0..n,0..0,,Retail Value Excluding Tax_ Information,Amount,,,,,,,,,,,UN01008446,BBIE,CIIH_ Trade Settlement_ Monetary Summation. Retail Value Excluding Tax_ Information. Amount,A monetary value which constitutes the retail value excluding all duties and taxes stated for information purposes in this CIIH trade settlement monetary summation.,Retail Value Excluding Tax Amount,RetailValueExcludingTaxInformationAmount,
,,2307,,Attribute,CIIH_ Trade Settlement_ Monetary Summation (Applicable/Outstanding_ Specified),14,0..n,0..0,,Total Deposit Fee_ Information,Amount,,,,,,,,,,,UN01008447,BBIE,CIIH_ Trade Settlement_ Monetary Summation. Total Deposit Fee_ Information. Amount,A monetary value of the total deposit fee stated for information purposes in this CIIH trade settlement monetary summation.,Total Deposit Fee Amount,TotalDepositFeeInformationAmount,
,,2308,,Attribute,CIIH_ Trade Settlement_ Monetary Summation (Applicable/Outstanding_ Specified),15,0..n,0..0,,Product Value Excluding Tobacco Tax_ Information,Amount,,,,,,,,,,,UN01008448,BBIE,CIIH_ Trade Settlement_ Monetary Summation. Product Value Excluding Tobacco Tax_ Information. Amount,A monetary value which constitutes the total product value excluding tobacco tax stated for information purposes in this CIIH trade settlement monetary summation.,Product Value Excluding Tobacco Tax Amount,ProductValueExcludingTobaccoTaxInformationAmount,
,,2309,,Attribute,CIIH_ Trade Settlement_ Monetary Summation (Applicable/Outstanding_ Specified),16,0..n,0..0,,Total Retail Value_ Information,Amount,,,,,,,,,,,UN01008449,BBIE,CIIH_ Trade Settlement_ Monetary Summation. Total Retail Value_ Information. Amount,A monetary value which constitutes the total retail value stated for information purposes in this CIIH trade settlement monetary summation.,Total Retail Value Amount,TotalRetailValueInformationAmount,
,,2310,,Attribute,CIIH_ Trade Settlement_ Monetary Summation (Applicable/Outstanding_ Specified),17,0..n,0..0,,Gross_ Line Total,Amount,,,,,,,,,,,UN01008450,BBIE,CIIH_ Trade Settlement_ Monetary Summation. Gross_ Line Total. Amount,"A monetary value of the total of all line amounts, excluding line level allowances and charges and taxes, being reported in this CIIH trade settlement monetary summation.",Gross Line Total Amount,GrossLineTotalAmount,
,,2311,,Attribute,CIIH_ Trade Settlement_ Monetary Summation (Applicable/Outstanding_ Specified),18,0..n,0..0,,Net_ Line Total,Amount,,,,,,,,,,,UN01008451,BBIE,CIIH_ Trade Settlement_ Monetary Summation. Net_ Line Total. Amount,"A monetary value of the total of all line amounts, including line level allowances and charges and excluding line level taxes, being reported in this CIIH trade settlement monetary summation.",Net Line Total Amount,NetLineTotalAmount,
,,2312,,Attribute,CIIH_ Trade Settlement_ Monetary Summation (Applicable/Outstanding_ Specified),19,0..n,0..0,,Net Including Taxes_ Line Total,Amount,,,,,,,,,,,UN01008452,BBIE,CIIH_ Trade Settlement_ Monetary Summation. Net Including Taxes_ Line Total. Amount,"A monetary value of the total of all line amounts, including line level allowances and charges and including line level taxes, being reported in this CIIH trade settlement monetary summation.",Net Including Taxes Line Total Amount,NetIncludingTaxesLineTotalAmount,
,,2313,,Attribute,CIIH_ Trade Settlement_ Monetary Summation (Applicable/Outstanding_ Specified),20,0..1,0..0,,Insurance_ Charge Total,Amount,,,,,,,,,,,UN01012697,BBIE,CIIH_ Trade Settlement_ Monetary Summation. Insurance_ Charge Total. Amount,The monetary value of the total of all insurance charges being reported in this CIIH trade settlement monetary summation.,Total Insurance Charges,InsuranceChargeTotalAmount,
,,2314,,Attribute,CIIH_ Trade Settlement_ Monetary Summation (Applicable/Outstanding_ Specified),21,0..n,0..0,,Including Taxes_ Line Total,Amount,,,,,,,,,,,UN01013091,BBIE,CIIH_ Trade Settlement_ Monetary Summation. Including Taxes_ Line Total. Amount,"A monetary value of the line total, including taxes, being reported in this CIIH trade settlement monetary summation.",Including Taxes Line Total Amount,IncludingTaxesLineTotalAmount,
,,2315,,Composition,CIIH_ Trade Settlement_ Monetary Summation (Applicable/Outstanding_ Specified),1,0..n,0..0,,,,,,CI_ Referenced_ Document (Specified),,,,,,,,UN01015493,ASBIE,CIIH_ Trade Settlement_ Monetary Summation. Specified. CI_ Referenced_ Document,A document referenced for the monetary summation of this CIIH trade settlement.,Referenced Document,SpecifiedDocument,
v4,330.0,2293,1,Class,CIIH_ Trade Settlement_ Monetary Summation (Applicable/Specified),,,,,,,,ram:CIIHTradeSettlementMonetarySummationType,,,,インボイス文書合計金額クラス,インボイス文書合計金額クラス,インボイス文書の鑑ヘッダ合計金額に関する情報からなるクラス,CIIH 金銭合計,CIIHに対して指定された取引決済の金銭総額の集合。,UN01005941,ABIE,CIIH_ Trade Settlement_ Monetary Summation. Details,A collection of trade settlement monetary totals specified for this Cross Industry Invoice Header (CIIH).,CIIH Monetary Summation,,
,,2294,,Attribute,CIIH_ Trade Settlement_ Monetary Summation (Applicable/Specified),1,0..n,0..0,,Line Total,Amount,,,,,,,,,,,UN01005942,BBIE,CIIH_ Trade Settlement_ Monetary Summation. Line Total. Amount,A monetary value of the line amount total being reported in this CIIH trade settlement monetary summation.,Deprecated Line Total Amount,LineTotalAmount,
v4.3,331.0,2295,2,Attribute,CIIH_ Trade Settlement_ Monetary Summation (Applicable/Specified),2,0..n,0..1,,Charge Total,Amount,,udt:AmountType,,,,鑑ヘッダ追加請求合計金額（税抜き）,インボイス文書追加請求合計金額（税抜き）,明細文書ヘッダ追加請求合計金額（税抜き）,請求合計金額,CIIHの取引決済金銭合計においてヘッダレベルで報告される全請求金額の合計金額。,UN01005943,BBIE,CIIH_ Trade Settlement_ Monetary Summation. Charge Total. Amount,A monetary value of the total of all charge amounts being reported on header level in this CIIH trade settlement monetary summation.,Charge Total Amount,ChargeTotalAmount,ChargeTotalAmount
v4.3,332.0,2296,2,Attribute,CIIH_ Trade Settlement_ Monetary Summation (Applicable/Specified),3,0..n,0..1,,Allowance Total,Amount,,udt:AmountType,,,,鑑ヘッダ返金合計金額（税抜き）,インボイス文書返金合計金額（税抜き）,明細文書ヘッダ返金合計金額（税抜き）,手当合計額,CIIHの取引決済合計金額においてヘッダレベルで報告される全割引金額の合計金額。,UN01005944,BBIE,CIIH_ Trade Settlement_ Monetary Summation. Allowance Total. Amount,A monetary value of the total of all allowance amounts being reported on header level in this CIIH trade settlement monetary summation.,Allowance Total Amount,AllowanceTotalAmount,AllowanceTotalAmount
,,2297,,Attribute,CIIH_ Trade Settlement_ Monetary Summation (Applicable/Specified),4,0..n,0..0,,Tax Basis Total,Amount,,,,,,,,,,,UN01005945,BBIE,CIIH_ Trade Settlement_ Monetary Summation. Tax Basis Total. Amount,A monetary value of the total of all tax basis amounts being reported in this CIIH trade settlement monetary summation.,Tax Basis Total Amount,TaxBasisTotalAmount,
v4,333.0,2298,2,Attribute,CIIH_ Trade Settlement_ Monetary Summation (Applicable/Specified),5,0..n,0..1,,Tax Total,Amount,,udt:AmountType,,,,鑑ヘッダ消費税総合計額,インボイス文書消費税総合計額,明細文書ヘッダ税クラスで算出した税率別消費税額の合計額,税金合計額,CIIHの取引決済金銭合計で報告されるすべての税額の合計金額。,UN01005946,BBIE,CIIH_ Trade Settlement_ Monetary Summation. Tax Total. Amount,A monetary value of the total of all tax amounts being reported in this CIIH trade settlement monetary summation.,Tax Total Amount,TaxTotalAmount,TaxTotalAmount
,,2299,,Attribute,CIIH_ Trade Settlement_ Monetary Summation (Applicable/Specified),6,0..n,0..0,,Rounding,Amount,,,,,,,,,,,UN01005947,BBIE,CIIH_ Trade Settlement_ Monetary Summation. Rounding. Amount,A monetary value of a rounding amount being applied in this CIIH trade settlement monetary summation.,Rounding Amount,RoundingAmount,
v4,334.0,2300,2,Attribute,CIIH_ Trade Settlement_ Monetary Summation (Applicable/Specified),7,0..n,0..1,,Grand Total,Amount,,udt:AmountType,,,,インボイス文書総合計金額（税込み）,インボイス文書インボイス文書総合計金額（税込み）,Σ明細文書ヘッダ譲渡資産合計金額（税抜き）＋鑑ヘッダ返金・追加請求合計金額（税抜き）＋Σ明細文書ヘッダ合計消費税額,合計金額,税金、割当量、および課徴金を含む、CIIHの取引決済金銭合計の総計の金額。,UN01005948,BBIE,CIIH_ Trade Settlement_ Monetary Summation. Grand Total. Amount,"A monetary value of the grand total of this CIIH trade settlement monetary summation, including taxes and allowances and charges.",Grand Total Amount,GrandTotalAmount,GrandTotalAmount
,,2301,,Attribute,CIIH_ Trade Settlement_ Monetary Summation (Applicable/Specified),8,0..n,0..0,,Information,Amount,,,,,,,,,,,UN01005949,BBIE,CIIH_ Trade Settlement_ Monetary Summation. Information. Amount,A monetary value of an amount being reported for information in this CIIH trade settlement monetary summation.,Information Amount,InformationAmount,
v4,335.0,2302,2,Attribute,CIIH_ Trade Settlement_ Monetary Summation (Applicable/Specified),9,0..n,0..1,,Total Prepaid,Amount,,udt:AmountType,,,,前払合計金額,インボイス文書前払合計金額,すでに前払いで支払済合計金額=Σ前払金額（税込み）,前払い合計金額,CIIHの取引決済合計金額において報告される前払金総額の金額。,UN01005950,BBIE,CIIH_ Trade Settlement_ Monetary Summation. Total Prepaid. Amount,A monetary value of a prepaid total reported in this CIIH trade settlement monetary summation.,Total Prepaid Amount,TotalPrepaidAmount,TotalPrepaidAmount
,,2303,,Attribute,CIIH_ Trade Settlement_ Monetary Summation (Applicable/Specified),10,0..n,0..0,,Total Discount,Amount,TDED5014,,,,,,,,,,UN01005951,BBIE,CIIH_ Trade Settlement_ Monetary Summation. Total Discount. Amount,A monetary value of a total discount reported in this CIIH trade settlement monetary summation.,Total Discount Amount,TotalDiscountAmount,
,,2304,,Attribute,CIIH_ Trade Settlement_ Monetary Summation (Applicable/Specified),11,0..n,0..0,,Total Allowance Charge,Amount,,,,,,,,,,,UN01005952,BBIE,CIIH_ Trade Settlement_ Monetary Summation. Total Allowance Charge. Amount,A monetary value of the total of allowance and charge amounts reported on header level in this CIIH trade settlement monetary summation.,Total Allowance/Charge Amount,TotalAllowanceChargeAmount,
v4,336.0,2305,2,Attribute,CIIH_ Trade Settlement_ Monetary Summation (Applicable/Specified),12,0..n,0..1,,Due Payable,Amount,,udt:AmountType,,,,支払責務金額総合計,インボイス文書支払責務金額総合計,支払責務金額総合計＝Σ明細文書ヘッダ譲渡資産合計金額(税抜き)+明細文書ヘッダ消費税合計額＋明細文書ヘッダ課税対象外金額＋未決済合計金額ーΣ鑑ヘッダ調整金額ーΣ鑑ヘッダ調整税額（税率別）ー前払合計金額,支払金額,CIIHの取引決済合計金額において支払期日が到来し支払義務のある金額（債権者への支払額など）。,UN01008445,BBIE,CIIH_ Trade Settlement_ Monetary Summation. Due Payable. Amount,"A monetary value that is an amount due and payable for this CIIH trade settlement monetary summation, such as the amount due to the creditor.",Due Payable Amount,DuePayableAmount,DuePayableAmount
,,2306,,Attribute,CIIH_ Trade Settlement_ Monetary Summation (Applicable/Specified),13,0..n,0..0,,Retail Value Excluding Tax_ Information,Amount,,,,,,,,,,,UN01008446,BBIE,CIIH_ Trade Settlement_ Monetary Summation. Retail Value Excluding Tax_ Information. Amount,A monetary value which constitutes the retail value excluding all duties and taxes stated for information purposes in this CIIH trade settlement monetary summation.,Retail Value Excluding Tax Amount,RetailValueExcludingTaxInformationAmount,
,,2307,,Attribute,CIIH_ Trade Settlement_ Monetary Summation (Applicable/Specified),14,0..n,0..0,,Total Deposit Fee_ Information,Amount,,,,,,,,,,,UN01008447,BBIE,CIIH_ Trade Settlement_ Monetary Summation. Total Deposit Fee_ Information. Amount,A monetary value of the total deposit fee stated for information purposes in this CIIH trade settlement monetary summation.,Total Deposit Fee Amount,TotalDepositFeeInformationAmount,
,,2308,,Attribute,CIIH_ Trade Settlement_ Monetary Summation (Applicable/Specified),15,0..n,0..0,,Product Value Excluding Tobacco Tax_ Information,Amount,,,,,,,,,,,UN01008448,BBIE,CIIH_ Trade Settlement_ Monetary Summation. Product Value Excluding Tobacco Tax_ Information. Amount,A monetary value which constitutes the total product value excluding tobacco tax stated for information purposes in this CIIH trade settlement monetary summation.,Product Value Excluding Tobacco Tax Amount,ProductValueExcludingTobaccoTaxInformationAmount,
,,2309,,Attribute,CIIH_ Trade Settlement_ Monetary Summation (Applicable/Specified),16,0..n,0..0,,Total Retail Value_ Information,Amount,,,,,,,,,,,UN01008449,BBIE,CIIH_ Trade Settlement_ Monetary Summation. Total Retail Value_ Information. Amount,A monetary value which constitutes the total retail value stated for information purposes in this CIIH trade settlement monetary summation.,Total Retail Value Amount,TotalRetailValueInformationAmount,
,,2310,,Attribute,CIIH_ Trade Settlement_ Monetary Summation (Applicable/Specified),17,0..n,0..0,,Gross_ Line Total,Amount,,,,,,,,,,,UN01008450,BBIE,CIIH_ Trade Settlement_ Monetary Summation. Gross_ Line Total. Amount,"A monetary value of the total of all line amounts, excluding line level allowances and charges and taxes, being reported in this CIIH trade settlement monetary summation.",Gross Line Total Amount,GrossLineTotalAmount,
v4,337.0,2311,2,Attribute,CIIH_ Trade Settlement_ Monetary Summation (Applicable/Specified),18,0..n,0..1,,Net_ Line Total,Amount,,udt:AmountType,,,,鑑ヘッダ譲渡資産合計金額(税抜き),インボイス文書譲渡資産合計金額(税抜き),鑑ヘッダ譲渡資産金額総合計金額（税抜き）＝∑明細文書ヘッダ譲渡資産合計金額（税抜き）,ネット明細行合計金額,CIIHの取引決済合計金額において報告される、行レベルの手数料・課徴金を含み、行レベル税金を除く全ライン金額の合計額。,UN01008451,BBIE,CIIH_ Trade Settlement_ Monetary Summation. Net_ Line Total. Amount,"A monetary value of the total of all line amounts, including line level allowances and charges and excluding line level taxes, being reported in this CIIH trade settlement monetary summation.",Net Line Total Amount,NetLineTotalAmount,NetLineTotalAmount
,,2312,,Attribute,CIIH_ Trade Settlement_ Monetary Summation (Applicable/Specified),19,0..n,0..0,,Net Including Taxes_ Line Total,Amount,,,,,,,,,,,UN01008452,BBIE,CIIH_ Trade Settlement_ Monetary Summation. Net Including Taxes_ Line Total. Amount,"A monetary value of the total of all line amounts, including line level allowances and charges and including line level taxes, being reported in this CIIH trade settlement monetary summation.",Net Including Taxes Line Total Amount,NetIncludingTaxesLineTotalAmount,
,,2313,,Attribute,CIIH_ Trade Settlement_ Monetary Summation (Applicable/Specified),20,0..1,0..0,,Insurance_ Charge Total,Amount,,,,,,,,,,,UN01012697,BBIE,CIIH_ Trade Settlement_ Monetary Summation. Insurance_ Charge Total. Amount,The monetary value of the total of all insurance charges being reported in this CIIH trade settlement monetary summation.,Total Insurance Charges,InsuranceChargeTotalAmount,
v4,338.0,2314,2,Attribute,CIIH_ Trade Settlement_ Monetary Summation (Applicable/Specified),21,0..n,0..1,,Including Taxes_ Line Total,Amount,,udt:AmountType,,,,鑑ヘッダ譲渡資産合計金額(税込み),インボイス文書譲渡資産合計金額(税込み),"鑑ヘッダ譲渡資産金額総合計金額（税込み）
'＝∑明細文書ヘッダ譲渡資産合計金額（税込み）",税込み合計金額,CIIHの取引決済合計金額で報告される、税込みのライン総額の金額。,UN01013091,BBIE,CIIH_ Trade Settlement_ Monetary Summation. Including Taxes_ Line Total. Amount,"A monetary value of the line total, including taxes, being reported in this CIIH trade settlement monetary summation.",Including Taxes Line Total Amount,IncludingTaxesLineTotalAmount,IncludingTaxesLineTotalAmount
v4.3,339.0,,2,Attribute,CIIH_ Trade Settlement_ Monetary Summation (Applicable/Specified),,D24Aで未定義,0..1,,Total Invoice,Amount,,,,,,インボイス文書インボイス合計金額,インボイス文書インボイス合計金額,受注者から交付された請求メッセージに対する発注者の仕入明細メッセージに記載の受注者請求金額,,,JPSxxxxxxx,BBIE,CIIH_ Trade Settlement_ Monetary Summation. Total Invoice. Amount,,,TotalInvoiceAmount,
,,2315,,Composition,CIIH_ Trade Settlement_ Monetary Summation (Applicable/Specified),1,0..n,0..0,,,,,,CI_ Referenced_ Document (Specified),,,,,,,,UN01015493,ASBIE,CIIH_ Trade Settlement_ Monetary Summation. Specified. CI_ Referenced_ Document,A document referenced for the monetary summation of this CIIH trade settlement.,Referenced Document,SpecifiedDocument,
v1,550.0,2316,1,Class,CIILB_ Subordinate_ Trade Line Item (Included/Subordinate),,,,,,,,ram:CIILBSubordinateTradeLineItemType,,,,明細行クラス,明細行クラス,明細行に関する情報からなるクラス,CIILB 従属取引明細項目,取引目的で使用または報告されるCIILB 従属取引明細行の固有情報の集合体。,UN01009647,ABIE,CIILB_ Subordinate_ Trade Line Item. Details,A collection of information specific to a Cross Industry Invoice Line Breakdown (CIILB) item being used or reported on for trade purposes.,CIILB Subordinate Trade Line Item,,
