version,sme_nr,mbie_nr,acronym,level,multiplicity,multiplicity_sme,label_sme,definition_sme,level_csv,multiplicity_csv,label_csv,label_ja,definition_ja,UNID,DEN,short_name,definition,property_type,class_term,sequence,identifier,property_term,representation_term,code_list,XML_datatype,associated_class,selector,fixed_value,element,XML_element_name,xpath
v1,416.0,3912,BBIE,5,0..1,0..1,納入先名称,納入先の企業/工場・事業所・事業部門等の名称,3,0..1,納入先名称,名前,インボイスの取引事業者の名称（テキストで表現）。,UN01005759,CI_ Trade_ Party. Name. Text,Name,"The name, expressed as text, for this CI trade party.",Attribute,CI_ Trade_ Party (Included/Specified/Ship To),3,,Name,Text,D24A TDED 3036 Party name <Name of a party.> (an..70) コード値の定義なし https://service.unece.org/trade/untdid/d23a/tred/tred3036.htm,udt:TextType,,,,Name,Name,/SMEConsolidatedSelfInvoice/CIIHSupplyChainTradeTransaction/IncludedCIILSupplyChainTradeLineItem/SpecifiedCIILSupplyChainTradeDelivery/ShipToCITradeParty/Name
v4,417,3920,ASBIE,5,0..1,0..1,納入先住所グループ,納入先企業の住所情報に関するグループ。,,,,郵便番号,インボイスの取引事業者の住所。,UN01005762,CI_ Trade_ Party. Postal. CI_ Trade_ Address,Postal Address,The postal address for this CI trade party.,Composition,CI_ Trade_ Party (Included/Specified/Ship To),3,,,,,ram:CITradeAddressType,CI_ Trade_ Address (Included/Specified/Ship To/Postal),,,PostalCITradeAddress,PostalCITradeAddress,/SMEConsolidatedSelfInvoice/CIIHSupplyChainTradeTransaction/IncludedCIILSupplyChainTradeLineItem/SpecifiedCIILSupplyChainTradeDelivery/ShipToCITradeParty/PostalCITradeAddress
v4,418,3826,ABIE,5,,,納入先住所クラス,住所に関する情報からなるクラス。,,,,CI取引先住所,特定の取引関連組織または人物が所在し、または連絡が取れる場所。,UN01005687,CI_ Trade_ Address. Details,CI Trade Address,The place at which a particular Cross Industry (CI) trade related organization or person may be found or reached.,Class,CI_ Trade_ Address (Included/Specified/Ship To/Postal),,,,,,ram:CITradeAddressType,,,,,,
v4,419.0,3828,BBIE,6,0..1,0..1,納入先郵便番号,納入先の郵便番号,3,0..1,納入先郵便番号,郵便番号,インボイスの取引先住所の郵便番号。,UN01005689,CI_ Trade_ Address. Postcode. Code,Postcode,The postcode of this CI trade address.,Attribute,CI_ Trade_ Address (Included/Specified/Ship To/Postal),2,,Postcode,Code,D24A TDED3251,udt:CodeType,,,,PostcodeCode,PostcodeCode,/SMEConsolidatedSelfInvoice/CIIHSupplyChainTradeTransaction/IncludedCIILSupplyChainTradeLineItem/SpecifiedCIILSupplyChainTradeDelivery/ShipToCITradeParty/PostalCITradeAddress/PostcodeCode
v4,420.0,3831,BBIE,6,0..1,0..1,納入先住所1,納入先の住所1行目,3,0..1,納入先住所1,1行目,インボイスの取引先住所の最初の自由形式行（テキストで表現）。,UN01005692,CI_ Trade_ Address. Line One. Text,Line One,"The first free form line, expressed as text, of this CI trade address.",Attribute,CI_ Trade_ Address (Included/Specified/Ship To/Postal),5,,Line One,Text,D24A TDED 3286 Address component description <Free form description of the component of an address.> (an..70) コード値の定義なし https://service.unece.org/trade/untdid/d23a/tred/tred3286.htm,udt:TextType,,,,LineOne,LineOne,/SMEConsolidatedSelfInvoice/CIIHSupplyChainTradeTransaction/IncludedCIILSupplyChainTradeLineItem/SpecifiedCIILSupplyChainTradeDelivery/ShipToCITradeParty/PostalCITradeAddress/LineOne
v4,421.0,3832,BBIE,6,0..1,0..1,納入先住所2,納入先の住所2行目。,3,0..1,納入先住所2,2行目,インボイスの取引先住所の2番目の自由形式行（テキストで表現）。,UN01005693,CI_ Trade_ Address. Line Two. Text,Line Two,"The second free form line, expressed as text, of this CI trade address.",Attribute,CI_ Trade_ Address (Included/Specified/Ship To/Postal),6,,Line Two,Text,D24A TDED 3286 Address component description <Free form description of the component of an address.> (an..70) コード値の定義なし https://service.unece.org/trade/untdid/d23a/tred/tred3286.htm,udt:TextType,,,,LineTwo,LineTwo,/SMEConsolidatedSelfInvoice/CIIHSupplyChainTradeTransaction/IncludedCIILSupplyChainTradeLineItem/SpecifiedCIILSupplyChainTradeDelivery/ShipToCITradeParty/PostalCITradeAddress/LineTwo
v4,422.0,3833,BBIE,6,0..1,0..1,納入先住所3,納入先の住所3行目。,3,0..1,納入先住所3,3行目,インボイスの取引先住所の3番目の自由形式行（テキスト表記）。,UN01005694,CI_ Trade_ Address. Line Three. Text,Line Three,"The third free form line, expressed as text, of this CI trade address.",Attribute,CI_ Trade_ Address (Included/Specified/Ship To/Postal),7,,Line Three,Text,D24A TDED 3286 Address component description <Free form description of the component of an address.> (an..70) コード値の定義なし https://service.unece.org/trade/untdid/d23a/tred/tred3286.htm,udt:TextType,,,,LineThree,LineThree,/SMEConsolidatedSelfInvoice/CIIHSupplyChainTradeTransaction/IncludedCIILSupplyChainTradeLineItem/SpecifiedCIILSupplyChainTradeDelivery/ShipToCITradeParty/PostalCITradeAddress/LineThree
v4,423.0,3839,BBIE,6,0..1,0..1,納入先国ID,納入先の国ID。デフォルトは「JP」,3,0..1,納入先国ID,国コード,インボイスの取引先住所の国固有識別子。,UN01005700,CI_ Trade_ Address. Country. Identifier,Country Code,The unique identifier of the country for this CI trade address.,Attribute,CI_ Trade_ Address (Included/Specified/Ship To/Postal),13,,Country,Country_ Identifier,ISO3166-1:Alpha2 / D24A TDED 3207 Country identifier <Identification of the name of the country or other geographical entity as defined in ISO 3166-1 and UN/ECE Recommendation 3.> (an..3) ISO 3166-1 and UN/ECE Recommendation 3 https://service.unece.org/trade/untdid/d23a/tred/tred3207.htm | XMLSchema /uncefact/identifierlist/standard/ISO_ISOTwo-letterCountryCode_SecondEdition2006.xsd,qdt:CountryIDType,,,,CountryID,CountryID,/SMEConsolidatedSelfInvoice/CIIHSupplyChainTradeTransaction/IncludedCIILSupplyChainTradeLineItem/SpecifiedCIILSupplyChainTradeDelivery/ShipToCITradeParty/PostalCITradeAddress/CountryID
v4,424,2395,ASBIE,4,0..1,0..1,出荷出荷イベントグループ,この明細文書ヘッダの出荷イベントのグループ,,,,実際の配送イベント,CIILのサプライチェーン取引配送における、行項目に対するインボイスの実際のサプライチェーン配送イベント。,UN01005903,CIIH_ Supply Chain_ Trade Delivery. Actual_ Delivery. CI_ Supply Chain_ Event,Actual Delivery Event,The Cross Industry (CI) actual supply chain delivery event for a line item in this CIIL supply chain trade delivery.,Composition,CIIL_ Supply Chain_ Trade Delivery,10,,Actual_ Delivery,,,ram:CISupplyChainEventType,CI_ Supply Chain_ Event (Included/Specified/Actual_ Delivery),,,ActualDeliveryCISupplyChainEvent,ActualDeliveryCISupplyChainEvent,////IncludedCIILSupplyChainTradeLineItem/SpecifiedCIILSupplyChainTradeDelivery/ActualDeliveryCISupplyChainEvent
v4,425,3724,ABIE,4,,,イベントクラス,出荷にかかわるイベントのクラス,,,,CIサプライチェーンイベント,インボイスのサプライチェーンにおける発生または出来事。,UN01005626,CI_ Supply Chain_ Event. Details,CI Supply Chain Event,An occurrence or a happening in a Cross Industry (CI) supply chain.,Class,CI_ Supply Chain_ Event (Included/Specified/Actual_ Delivery),,,,,,ram:CISupplyChainEventType,,,,,,
v4,426.0,3726,BBIE,5,0..1,0..1,出荷日,納入先へ出荷した日時,3,0..1,配送日,発生日時,インボイスのサプライチェーンイベントの発生日時、日付時刻、またはその他の日付時刻値。,UN01005628,CI_ Supply Chain_ Event. Occurrence. Date Time,Occurrence Date Time,"The date, time, date time, or other date time value of an occurrence of this CI supply chain event.",Attribute,CI_ Supply Chain_ Event (Included/Specified/Actual_ Delivery),2,,Occurrence,Date Time,D24A TDED 2193 Event Date Time <Date and or time of an event > (an..19)  https://unece.org/DAM/trade/untdid/UNTDED2005.pdf,udt:DateTimeType,,,,OccurrenceDateTime,OccurrenceDateTime,/SMEConsolidatedSelfInvoice/CIIHSupplyChainTradeTransaction/IncludedCIILSupplyChainTradeLineItem/SpecifiedCIILSupplyChainTradeDelivery/ActualDeliveryCISupplyChainEvent/OccurrenceDateTime
v4,427,2396,ASBIE,4,0..1,0..1,出荷受領イベントグループ,この明細文書ヘッダの受領イベントのグループ,,,,実際の受領イベント,CIILのサプライチェーン取引配送における、行項目に対するインボイスの実際のサプライチェーン受領イベント。,UN01005904,CIIH_ Supply Chain_ Trade Delivery. Actual_ Receipt. CI_ Supply Chain_ Event,Actual Receipt Event,The Cross Industry (CI) actual supply chain receipt event for a line item in this CIIL supply chain trade delivery.,Composition,CIIL_ Supply Chain_ Trade Delivery,11,,Actual_ Receipt,,,ram:CISupplyChainEventType,CI_ Supply Chain_ Event (Included/Specified/Actual_ Receipt),,,ActualReceiptCISupplyChainEvent,ActualReceiptCISupplyChainEvent,////IncludedCIILSupplyChainTradeLineItem/SpecifiedCIILSupplyChainTradeDelivery/ActualReceiptCISupplyChainEvent
v4,428,3724,ABIE,4,,,イベントクラス,配送にかかわるイベントのクラス,,,,CIサプライチェーンイベント,インボイスのサプライチェーンにおける発生または出来事。,UN01005626,CI_ Supply Chain_ Event. Details,CI Supply Chain Event,An occurrence or a happening in a Cross Industry (CI) supply chain.,Class,CI_ Supply Chain_ Event (Included/Specified/Actual_ Receipt),,,,,,ram:CISupplyChainEventType,,,,,,
v4,429.0,3726,BBIE,5,0..1,0..1,受領日,納入先が受領した日時,3,0..1,受領日,発生日時,インボイスのサプライチェーンイベントの発生日時、日付時刻、またはその他の日付時刻値。,UN01005628,CI_ Supply Chain_ Event. Occurrence. Date Time,Occurrence Date Time,"The date, time, date time, or other date time value of an occurrence of this CI supply chain event.",Attribute,CI_ Supply Chain_ Event (Included/Specified/Actual_ Receipt),2,,Occurrence,Date Time,D24A TDED 2193 Event Date Time <Date and or time of an event > (an..19)  https://unece.org/DAM/trade/untdid/UNTDED2005.pdf,udt:DateTimeType,,,,OccurrenceDateTime,OccurrenceDateTime,/SMEConsolidatedSelfInvoice/CIIHSupplyChainTradeTransaction/IncludedCIILSupplyChainTradeLineItem/SpecifiedCIILSupplyChainTradeDelivery/ActualReceiptCISupplyChainEvent/OccurrenceDateTime
v1,430,2397,ASBIE,4,0..1,0..1,配送参照出荷案内書グループ,この明細文書ヘッダが参照する出荷案内書（納品書、送り状等）のグループ,,,,発送通知書,CIILのサプライチェーン取引配送から参照されるインボイスの発送通知文書。,UN01005905,CIIH_ Supply Chain_ Trade Delivery. Despatch Advice_ Referenced. CI_ Referenced_ Document,Despatch Advice Document,The Cross Industry (CI) despatch advice document referenced from this CIIL supply chain trade delivery.,Composition,CIIL_ Supply Chain_ Trade Delivery,12,,Despatch Advice_ Referenced,,,ram:CIReferencedDocumentType,CI_ Referenced_ Document[Type. Code='351'] (Included/Specified/Despatch Advice_ Referenced[Type. Code='351']),Type. Code='351',,DespatchAdviceReferencedCIReferencedDocument[TypeCode='351'],DespatchAdviceReferencedCIReferencedDocument,////IncludedCIILSupplyChainTradeLineItem/SpecifiedCIILSupplyChainTradeDelivery/DespatchAdviceReferencedCIReferencedDocument[TypeCode='351']
v1,431,3614,ABIE,4,,,参照出荷案内書クラス,明細文書ヘッダが参照する出荷案内書のクラス,,,,CI参照文書,インボイスの目的で参照される文書、印刷物、または電子媒体。,UN01005579,CI_ Referenced_ Document. Details,CI Referenced Document,"Written, printed or electronic matter that is referenced for Cross Industry (CI) purposes.",Class,CI_ Referenced_ Document[Type. Code='351'] (Included/Specified/Despatch Advice_ Referenced[Type. Code='351']),,,,,,ram:CIReferencedDocumentType,,,,,,
v1,432.0,3615,BBIE,5,0..1,1..1,（明細文書ヘッダ参照）出荷案内書ID,この明細文書ヘッダが参照する受注者が付番した出荷案内書ID,3,0..1,明細文書参照出荷案内書ID,発行者割り当てID,インボイスの参照文書に対して発行者が割り当てた識別子。,UN01005580,CI_ Referenced_ Document. Issuer Assigned_ Identification. Identifier,Issuer Assigned ID,The issuer assigned identifier for this CI referenced document.,Attribute,CI_ Referenced_ Document[Type. Code='351'] (Included/Specified/Despatch Advice_ Referenced[Type. Code='351']),1,,Issuer Assigned_ Identification,Identifier,D24A TDED 1004 Document identifier <To identify a document.> (an..70) コード値の定義なし https://service.unece.org/trade/untdid/d23a/tred/tred1004.htm,udt:IDType,,,,IssuerAssignedID,IssuerAssignedID,/SMEConsolidatedSelfInvoice/CIIHSupplyChainTradeTransaction/IncludedCIILSupplyChainTradeLineItem/SpecifiedCIILSupplyChainTradeDelivery/DespatchAdviceReferencedCIReferencedDocument[TypeCode='351']/IssuerAssignedID
v4.3,433.0,3616,BBIE,5,0..1,0..1,（明細文書ヘッダ参照）文書URL_ID,この寧歳文書ヘッダが参照する文書が所在するURL_ID,3,0..1,明細文書参照出荷案内書URL_ID,URI,インボイスの参照文書に対する固有の統一リソース識別子（URI）。,UN01005581,CI_ Referenced_ Document. URI_ Identification. Identifier,URI,The unique Uniform Resource Identifier (URI) for this CI referenced document.,Attribute,CI_ Referenced_ Document[Type. Code='351'] (Included/Specified/Despatch Advice_ Referenced[Type. Code='351']),2,,URI_ Identification,Identifier,D24A TDED 1004 Document identifier <To identify a document.> (an..70) コード値の定義なし https://service.unece.org/trade/untdid/d23a/tred/tred1004.htm,udt:IDType,,,,URIID,URIID,/SMEConsolidatedSelfInvoice/CIIHSupplyChainTradeTransaction/IncludedCIILSupplyChainTradeLineItem/SpecifiedCIILSupplyChainTradeDelivery/DespatchAdviceReferencedCIReferencedDocument[TypeCode='351']/URIID
v4.3,434.0,3617,BBIE,5,0..1,0..1,（明細文書ヘッダ参照）文書発行日,この明細文書ヘッダが参照する文書に記載の発行日付,3,0..1,明細文書参照出荷案内書発行日,発行日時,インボイスの参照文書の発行日または発行日時。,UN01005582,CI_ Referenced_ Document. Issue. Date Time,Issue Date Time,The date or date time for the issuance of this CI referenced document.,Attribute,CI_ Referenced_ Document[Type. Code='351'] (Included/Specified/Despatch Advice_ Referenced[Type. Code='351']),3,,Issue,Date Mandatory_ Date Time,"D24A TDED 2007 Document Issue Date Time <Date that a document was issued and when appropriate, signed or otherwise authenticated> (an..19)  https://unece.org/DAM/trade/untdid/UNTDED2005.pdf | XMLSchema <xsd:union memberTypes=""xsd:dateTime xsd:date""/>",qdt:DateMandatoryDateTimeType,,,,IssueDateTime,IssueDateTime,/SMEConsolidatedSelfInvoice/CIIHSupplyChainTradeTransaction/IncludedCIILSupplyChainTradeLineItem/SpecifiedCIILSupplyChainTradeDelivery/DespatchAdviceReferencedCIReferencedDocument[TypeCode='351']/IssueDateTime
v1,435.0,3623,BBIE,5,0..1,0..1,（明細文書ヘッダ参照）出荷案内書履歴ID,この明細文書ヘッダが参照する出荷案内書の変更履歴を管理するID。,3,0..1,明細文書参照出荷案内書履歴ID,リビジョンID,インボイスの参照文書の改訂版に対する一意の識別子。,UN01005588,CI_ Referenced_ Document. Revision_ Identification. Identifier,Revision ID,The unique identifier for a revision of this CI referenced document.,Attribute,CI_ Referenced_ Document[Type. Code='351'] (Included/Specified/Despatch Advice_ Referenced[Type. Code='351']),9,,Revision_ Identification,Identifier,D24A TDED 1004 Document identifier <To identify a document.> (an..70) コード値の定義なし https://service.unece.org/trade/untdid/d23a/tred/tred1004.htm,udt:IDType,,,,RevisionID,RevisionID,/SMEConsolidatedSelfInvoice/CIIHSupplyChainTradeTransaction/IncludedCIILSupplyChainTradeLineItem/SpecifiedCIILSupplyChainTradeDelivery/DespatchAdviceReferencedCIReferencedDocument[TypeCode='351']/RevisionID
v1,436.0,3628,BBIE,5,0..1,0..1,（明細文書ヘッダ参照）文書タイプコード,"この明細文書ヘッダが参照する文書の文書タイプを識別するコード
＝「351」（Despatch advice）（デフォルト）",3,0..1,明細文書参照出荷案内書文書タイプコード,タイプコード,参照されるインボイスの文書のタイプを指定するコード。,UN01009672,CI_ Referenced_ Document. Type. Code,Type Code,The code specifying the type of CI referenced document.,Attribute,CI_ Referenced_ Document[Type. Code='351'] (Included/Specified/Despatch Advice_ Referenced[Type. Code='351']),14,,Type,Document_ Code,UNCL1001 D24Aと一致. / UNTDED 1001 Document name code <Code specifying the document name.> (an..3)  https://service.unece.org/trade/untdid/d23a/tred/tred1001.htm | XMLSchema /uncefact/codelist/standard/UNECE_DocumentNameCode_D23A.xsd,qdt:DocumentCodeType,,,351,TypeCode,TypeCode,/SMEConsolidatedSelfInvoice/CIIHSupplyChainTradeTransaction/IncludedCIILSupplyChainTradeLineItem/SpecifiedCIILSupplyChainTradeDelivery/DespatchAdviceReferencedCIReferencedDocument[TypeCode='351']/TypeCode
v1,437.0,3634,BBIE,5,0..1,0..1,（明細文書ヘッダ参照）出荷案内書類型コード,"この明細文書ヘッダが参照する出荷案内書の類型（適格請求書等対応、適格請求書の補完、適格請求書非適合）を識別するコード
デフォルトは「適格請求書非適合」",3,0..1,明細文書参照出荷案内書文書類型コード,カテゴリーコード,インボイスの参照文書のカテゴリを指定するコード。,UN01013318,CI_ Referenced_ Document. Category. Code,Category Code,The code specifying the category of this CI referenced document.,Attribute,CI_ Referenced_ Document[Type. Code='351'] (Included/Specified/Despatch Advice_ Referenced[Type. Code='351']),20,,Category,Code,JECxxxx / D24A TDED 1003 Document Type Identifier <Document type identifier such as INVOIC. See also 0065> (an..6)  https://unece.org/DAM/trade/untdid/UNTDED2005.pdf,udt:CodeType,,,,CategoryCode,CategoryCode,/SMEConsolidatedSelfInvoice/CIIHSupplyChainTradeTransaction/IncludedCIILSupplyChainTradeLineItem/SpecifiedCIILSupplyChainTradeDelivery/DespatchAdviceReferencedCIReferencedDocument[TypeCode='351']/CategoryCode
v4,438.0,3636,BBIE,5,0..n,0..1,（明細文書ヘッダ参照）文書サブタイプコード,"この明細文書ヘッダが参照する出荷案内書の文書サブタイプを識別するコード
＝[35101](一般納品書：デフォルト）",3,0..1,明細文書参照出荷案内書文書サブタイプコード,サブタイプコード,インボイスの参照文書のサブタイプを指定するコード。,UN01014899,CI_ Referenced_ Document. Subtype. Code,Subtype Code,A code specifying a subtype of this CI referenced document.,Attribute,CI_ Referenced_ Document[Type. Code='351'] (Included/Specified/Despatch Advice_ Referenced[Type. Code='351']),22,,Subtype,Code,JECxxxx D24A定義なし,udt:CodeType,,,,SubtypeCode,SubtypeCode,/SMEConsolidatedSelfInvoice/CIIHSupplyChainTradeTransaction/IncludedCIILSupplyChainTradeLineItem/SpecifiedCIILSupplyChainTradeDelivery/DespatchAdviceReferencedCIReferencedDocument[TypeCode='351']/SubtypeCode
v4.1,439,2398,ASBIE,4,0..1,0..1,配送参照出荷回答書グループ,この明細文書ヘッダが参照する出荷回答書のグループ,,,,受領案内文書,CIILのサプライチェーン取引納品から参照されるインボイスの受領通知文書。,UN01005906,CIIH_ Supply Chain_ Trade Delivery. Receiving Advice_ Referenced. CI_ Referenced_ Document,Receiving Advice Document,The Cross Industry (CI) receiving advice document referenced from this CIIL supply chain trade delivery.,Composition,CIIL_ Supply Chain_ Trade Delivery,13,,Receiving Advice_ Referenced,,,ram:CIReferencedDocumentType,CI_ Referenced_ Document[Type. Code='632'] (Included/Specified/Receiving Advice_ Referenced[Type. Code='632']),Type. Code='632',,ReceivingAdviceReferencedCIReferencedDocument[TypeCode='632'],ReceivingAdviceReferencedCIReferencedDocument,////IncludedCIILSupplyChainTradeLineItem/SpecifiedCIILSupplyChainTradeDelivery/ReceivingAdviceReferencedCIReferencedDocument[TypeCode='632']
v4.1,440,3614,ABIE,4,,,参照出荷回答書クラス,明細文書ヘッダが参照する出荷回答書のクラス,,,,CI参照文書,インボイスの目的で参照される文書、印刷物、または電子媒体。,UN01005579,CI_ Referenced_ Document. Details,CI Referenced Document,"Written, printed or electronic matter that is referenced for Cross Industry (CI) purposes.",Class,CI_ Referenced_ Document[Type. Code='632'] (Included/Specified/Receiving Advice_ Referenced[Type. Code='632']),,,,,,ram:CIReferencedDocumentType,,,,,,
v4.1,441.0,3615,BBIE,5,0..1,1..1,（明細文書ヘッダ参照）出荷回答書ID,この明細文書ヘッダが参照する発注者が付番した出荷回答書ID,3,0..1,明細文書参照出荷回答書ID,発行者割り当てID,インボイスの参照文書に対して発行者が割り当てた識別子。,UN01005580,CI_ Referenced_ Document. Issuer Assigned_ Identification. Identifier,Issuer Assigned ID,The issuer assigned identifier for this CI referenced document.,Attribute,CI_ Referenced_ Document[Type. Code='632'] (Included/Specified/Receiving Advice_ Referenced[Type. Code='632']),1,,Issuer Assigned_ Identification,Identifier,D24A TDED 1004 Document identifier <To identify a document.> (an..70) コード値の定義なし https://service.unece.org/trade/untdid/d23a/tred/tred1004.htm,udt:IDType,,,,IssuerAssignedID,IssuerAssignedID,/SMEConsolidatedSelfInvoice/CIIHSupplyChainTradeTransaction/IncludedCIILSupplyChainTradeLineItem/SpecifiedCIILSupplyChainTradeDelivery/ReceivingAdviceReferencedCIReferencedDocument[TypeCode='632']/IssuerAssignedID
v4.3,442.0,3616,BBIE,5,0..1,0..1,（明細文書ヘッダ参照）文書URL_ID,この明細文書ヘッダが参照する文書が所在するURL_ID,3,0..1,明細文書参照出荷回答書URL_ID,URI,インボイスの参照文書に対する固有の統一リソース識別子（URI）。,UN01005581,CI_ Referenced_ Document. URI_ Identification. Identifier,URI,The unique Uniform Resource Identifier (URI) for this CI referenced document.,Attribute,CI_ Referenced_ Document[Type. Code='632'] (Included/Specified/Receiving Advice_ Referenced[Type. Code='632']),2,,URI_ Identification,Identifier,D24A TDED 1004 Document identifier <To identify a document.> (an..70) コード値の定義なし https://service.unece.org/trade/untdid/d23a/tred/tred1004.htm,udt:IDType,,,,URIID,URIID,/SMEConsolidatedSelfInvoice/CIIHSupplyChainTradeTransaction/IncludedCIILSupplyChainTradeLineItem/SpecifiedCIILSupplyChainTradeDelivery/ReceivingAdviceReferencedCIReferencedDocument[TypeCode='632']/URIID
v4.3,443.0,3617,BBIE,5,0..1,0..1,（明細文書ヘッダ参照）文書発行日,この明細文書ヘッダが参照する文書に記載の発行日付,3,0..1,明細文書参照出荷回答書発行日,発行日時,インボイスの参照文書の発行日または発行日時。,UN01005582,CI_ Referenced_ Document. Issue. Date Time,Issue Date Time,The date or date time for the issuance of this CI referenced document.,Attribute,CI_ Referenced_ Document[Type. Code='632'] (Included/Specified/Receiving Advice_ Referenced[Type. Code='632']),3,,Issue,Date Mandatory_ Date Time,"D24A TDED 2007 Document Issue Date Time <Date that a document was issued and when appropriate, signed or otherwise authenticated> (an..19)  https://unece.org/DAM/trade/untdid/UNTDED2005.pdf | XMLSchema <xsd:union memberTypes=""xsd:dateTime xsd:date""/>",qdt:DateMandatoryDateTimeType,,,,IssueDateTime,IssueDateTime,/SMEConsolidatedSelfInvoice/CIIHSupplyChainTradeTransaction/IncludedCIILSupplyChainTradeLineItem/SpecifiedCIILSupplyChainTradeDelivery/ReceivingAdviceReferencedCIReferencedDocument[TypeCode='632']/IssueDateTime
v4.1,444.0,3623,BBIE,5,0..1,0..1,（明細文書ヘッダ参照）出荷回答書履歴ID,この明細文書ヘッダが参照する出荷回答書の変更履歴を管理するID。,3,0..1,明細文書参照出荷回答書履歴ID,リビジョンID,インボイスの参照文書の改訂版に対する一意の識別子。,UN01005588,CI_ Referenced_ Document. Revision_ Identification. Identifier,Revision ID,The unique identifier for a revision of this CI referenced document.,Attribute,CI_ Referenced_ Document[Type. Code='632'] (Included/Specified/Receiving Advice_ Referenced[Type. Code='632']),9,,Revision_ Identification,Identifier,D24A TDED 1004 Document identifier <To identify a document.> (an..70) コード値の定義なし https://service.unece.org/trade/untdid/d23a/tred/tred1004.htm,udt:IDType,,,,RevisionID,RevisionID,/SMEConsolidatedSelfInvoice/CIIHSupplyChainTradeTransaction/IncludedCIILSupplyChainTradeLineItem/SpecifiedCIILSupplyChainTradeDelivery/ReceivingAdviceReferencedCIReferencedDocument[TypeCode='632']/RevisionID
v4.1,445.0,3628,BBIE,5,0..1,0..1,（明細文書ヘッダ参照）文書タイプコード,"この明細文書ヘッダが参照する出荷回答書の文書タイプを識別するコード
＝「632」（Goods receipt）（デフォルト）",3,0..1,明細文書参照出荷回答書文書タイプコード,タイプコード,参照されるインボイスの文書のタイプを指定するコード。,UN01009672,CI_ Referenced_ Document. Type. Code,Type Code,The code specifying the type of CI referenced document.,Attribute,CI_ Referenced_ Document[Type. Code='632'] (Included/Specified/Receiving Advice_ Referenced[Type. Code='632']),14,,Type,Document_ Code,UNCL1001 D24Aと一致. / UNTDED 1001 Document name code <Code specifying the document name.> (an..3)  https://service.unece.org/trade/untdid/d23a/tred/tred1001.htm | XMLSchema /uncefact/codelist/standard/UNECE_DocumentNameCode_D23A.xsd,qdt:DocumentCodeType,,,632,TypeCode,TypeCode,/SMEConsolidatedSelfInvoice/CIIHSupplyChainTradeTransaction/IncludedCIILSupplyChainTradeLineItem/SpecifiedCIILSupplyChainTradeDelivery/ReceivingAdviceReferencedCIReferencedDocument[TypeCode='632']/TypeCode
v4.1,446.0,3636,BBIE,5,0..n,0..1,（明細文書ヘッダ参照）文書サブタイプコード,"この明細文書ヘッダが参照する出荷回答書の文書サブタイプを識別するコード
＝[63201](出荷回答書：デフォルト）",3,0..1,明細文書参照出荷回答書文書サブタイプコード,サブタイプコード,インボイスの参照文書のサブタイプを指定するコード。,UN01014899,CI_ Referenced_ Document. Subtype. Code,Subtype Code,A code specifying a subtype of this CI referenced document.,Attribute,CI_ Referenced_ Document[Type. Code='632'] (Included/Specified/Receiving Advice_ Referenced[Type. Code='632']),22,,Subtype,Code,JECxxxx D24A定義なし,udt:CodeType,,,,SubtypeCode,SubtypeCode,/SMEConsolidatedSelfInvoice/CIIHSupplyChainTradeTransaction/IncludedCIILSupplyChainTradeLineItem/SpecifiedCIILSupplyChainTradeDelivery/ReceivingAdviceReferencedCIReferencedDocument[TypeCode='632']/SubtypeCode
v4.3,140,2240,ASBIE,4,0..n,0..1,配送参照文書クラス,インボイス文書の配送に関する参照文書のグループ,,,,追加文書,CIIHサプライチェーン取引納品から参照される追加の文書。,UN01005908,CIIH_ Supply Chain_ Trade Delivery. Additional_ Referenced. CI_ Referenced_ Document,Additional Document,An additional Cross Industry (CI) document referenced from this CIIH supply chain trade delivery.,Composition,CIIH_ Supply Chain_ Trade Delivery,12,,Additional_ Referenced,,,ram:CIReferencedDocumentType,CI_ Referenced_ Document (Applicable/Additional_ Referenced),,,AdditionalReferencedCIReferencedDocument,AdditionalReferencedCIReferencedDocument,////ApplicableCIIHSupplyChainTradeDelivery/AdditionalReferencedCIReferencedDocument
v4.3,141,3614,ABIE,4,,,配送参照文書クラス,参照文書のクラス,,,,CI参照文書,インボイスの目的で参照される文書、印刷物、または電子媒体。,UN01005579,CI_ Referenced_ Document. Details,CI Referenced Document,"Written, printed or electronic matter that is referenced for Cross Industry (CI) purposes.",Class,CI_ Referenced_ Document (Applicable/Additional_ Referenced),,,,,,ram:CIReferencedDocumentType,,,,,,
v4.3,142.0,3615,BBIE,5,0..1,1..1,参照文書ID,参照文書のID,2,0..1,インボイス文書配送参照文書ID,発行者割り当てID,インボイスの参照文書に対して発行者が割り当てた識別子。,UN01005580,CI_ Referenced_ Document. Issuer Assigned_ Identification. Identifier,Issuer Assigned ID,The issuer assigned identifier for this CI referenced document.,Attribute,CI_ Referenced_ Document (Applicable/Additional_ Referenced),1,,Issuer Assigned_ Identification,Identifier,D24A TDED 1004 Document identifier <To identify a document.> (an..70) コード値の定義なし https://service.unece.org/trade/untdid/d23a/tred/tred1004.htm,udt:IDType,,,,IssuerAssignedID,IssuerAssignedID,/SMEConsolidatedSelfInvoice/CIIHSupplyChainTradeTransaction/ApplicableCIIHSupplyChainTradeDelivery/AdditionalReferencedCIReferencedDocument/IssuerAssignedID
