nr,category,UNID,acronym,name1,name2,name3,name4,name5,name6,name7,name8,name9,name10,name11,name12,name13,name14,label_sme,label_csv,definition_sme,multiplicity_sme,selector,fixed_value,version,code_list,issueing_agency,input_method,input_value,xml_imput_sing,selfbilling,amendment_selfbilling,single_selfbilling,core_selfbilling,accounting,JP PINT v1.0,Id,Business Term,Card.
,,UN01005579,ABIE,,,,CI_ Referenced_ Document. Details,,,,,,,,,,,参照注文書クラス,,明細文書ヘッダが参照する注文書に関する情報からなるクラス。,,,,v4,,,,,,,,,,,,,,
400,ヘッダ部,UN01005580,BBIE,,,,,CI_ Referenced_ Document. Issuer Assigned_ Identification. Identifier,,,,,,,,,,（明細文書ヘッダ参照）注文書ID,明細文書参照注文書ID,この明細文書ヘッダが参照する注文書に記載の文書ID。,1..1,,,v4,D24A TDED 1004 Document identifier <To identify a document.> (an..70) コード値の定義なし https://service.unece.org/trade/untdid/d23a/tred/tred1004.htm,, , ,,＊,＊,＊,,,★,IBT-013,Purchase order reference,0..1
401,ヘッダ部,UN01005581,BBIE,,,,,CI_ Referenced_ Document. URI_ Identification. Identifier,,,,,,,,,,（明細文書ヘッダ参照）文書URL_ID,明細文書参照注文書URL_ID,この明細文書ヘッダが参照する文書が所在するURL_ID,0..1,,,v4.3,D24A TDED 1004 Document identifier <To identify a document.> (an..70) コード値の定義なし https://service.unece.org/trade/untdid/d23a/tred/tred1004.htm,,  ,  ,,＊,＊,＊,,,,,,
402,ヘッダ部,UN01005582,BBIE,,,,,CI_ Referenced_ Document. Issue. Date Time,,,,,,,,,,（明細文書ヘッダ参照）文書発行日,明細文書参照注文書発行日,この明細文書ヘッダが参照する文書に記載の発行日付,0..1,,,v4.3,"D24A TDED 2007 Document Issue Date Time <Date that a document was issued and when appropriate, signed or otherwise authenticated> (an..19)  https://unece.org/DAM/trade/untdid/UNTDED2005.pdf | XMLSchema <xsd:union memberTypes=""xsd:dateTime xsd:date""/>",, , ,,＊,＊,＊,,,,,,
403,ヘッダ部,UN01005588,BBIE,,,,,CI_ Referenced_ Document. Revision_ Identification. Identifier,,,,,,,,,,（明細文書ヘッダ参照）注文書履歴ID,明細文書参照注文書履歴ID,この明細文書ヘッダが参照する注文書の変更履歴を管理するID。,0..1,,,v4,D24A TDED 1004 Document identifier <To identify a document.> (an..70) コード値の定義なし https://service.unece.org/trade/untdid/d23a/tred/tred1004.htm,, , ,,＊,＊,＊,,,,,,
,,UN01005890,ASBIE,,,,CIIH_ Supply Chain_ Trade Agreement. Contract_ Referenced. CI_ Referenced_ Document,,,,,,,,,,,契約参照契約書グループ,,明細文書ヘッダが参照する契約書に関するグループ。,0..1,,,v4,,,,,,,,,,,,,,
,,UN01005579,ABIE,,,,CI_ Referenced_ Document. Details,,,,,,,,,,,参照契約文書クラス,,明細文書ヘッダが参照する契約文書に関る情報からなるクラス。,,,,v4,,,,,,,,,,,,,,
406,ヘッダ部,UN01005580,BBIE,,,,,CI_ Referenced_ Document. Issuer Assigned_ Identification. Identifier,,,,,,,,,,（明細文書ヘッダ参照）契約文書ID,明細文書参照契約文書ID,この明細文書ヘッダが参照する契約書に記載の文書ID,1..1,,,v4,D24A TDED 1004 Document identifier <To identify a document.> (an..70) コード値の定義なし https://service.unece.org/trade/untdid/d23a/tred/tred1004.htm,, , ,,＊,＊,＊,,,★,IBT-012,Contract reference,0..1
407,ヘッダ部,UN01005581,BBIE,,,,,CI_ Referenced_ Document. URI_ Identification. Identifier,,,,,,,,,,（明細文書ヘッダ参照）文書URL_ID,明細文書参照契約文書URL_ID,この明細文書ヘッダが参照する文書が所在するURL_ID,0..1,,,v4.3,D24A TDED 1004 Document identifier <To identify a document.> (an..70) コード値の定義なし https://service.unece.org/trade/untdid/d23a/tred/tred1004.htm,,  ,  ,,＊,＊,＊,,,,,,
408,ヘッダ部,UN01005582,BBIE,,,,,CI_ Referenced_ Document. Issue. Date Time,,,,,,,,,,（明細文書ヘッダ参照）文書発行日,明細文書参照契約文書発行日,この明細文書ヘッダが参照する文書に記載の発行日付,0..1,,,v4.3,"D24A TDED 2007 Document Issue Date Time <Date that a document was issued and when appropriate, signed or otherwise authenticated> (an..19)  https://unece.org/DAM/trade/untdid/UNTDED2005.pdf | XMLSchema <xsd:union memberTypes=""xsd:dateTime xsd:date""/>",, , ,,＊,＊,＊,,,,,,
409,ヘッダ部,UN01005588,BBIE,,,,,CI_ Referenced_ Document. Revision_ Identification. Identifier,,,,,,,,,,（明細文書ヘッダ参照）契約書履歴ID,明細文書参照契約文書履歴ID,この明細文書が参照する契約書の変更履歴を管理するID。,0..1,,,v4,D24A TDED 1004 Document identifier <To identify a document.> (an..70) コード値の定義なし https://service.unece.org/trade/untdid/d23a/tred/tred1004.htm,  , , ,,＊,＊,＊,,,,,,
,,UN01011516,ASBIE,,,,CIIH_ Supply Chain_ Trade Agreement. Specified. Procuring_ Project,,,,,,,,,,,契約プロジェクト調達グループ,,プロジェクト調達に関するグループ,0..1,,,v1,,,,,,,,,,,,,,
,,UN01000371,ABIE,,,,Procuring_ Project. Details,,,,,,,,,,,プロジェクト調達クラス,,プロジェクト調達に関する情報のクラス,,,,v1,,,,,,,,,,,,,,
136,ヘッダ部,UN01000372,BBIE,,,,,Procuring_ Project. Identification. Identifier,,,,,,,,,,プロジェクトID,プロジェクトID,発注品に関するプロジェクト・工事案件等を管理するためのID。,1..1,,,v1/v4.3,,     ,  ,     ,,＊,＊,＊,＊,,,,,
137,ヘッダ部,UN01000374,BBIE,,,,,Procuring_ Project. Name. Text,,,,,,,,,,プロジェクト名,プロジェクト名,発注品に関するプロジェクト・工事案件等の名称。,1..1,,,v1/v4.3,,,  ,     ,,＊,＊,＊,＊,,★,IBT-011,Project reference,0..1
,,UN01005938,ASBIE,,,CIIH_ Supply Chain_ Trade Transaction. Applicable. CIIH_ Supply Chain_ Trade Delivery,,,,,,,,,,,,取引内容配送グループ,,インボイス文書の配送に関する情報からなるグループ,1..1,,,v4.3,,,,,,,,,,,,,,
,,UN01005896,ABIE,,,CIIH_ Supply Chain_ Trade Delivery. Details,,,,,,,,,,,,配送クラス,,インボイス文書の配送に関する情報のクラス,,,,v4.3,,,,,,,,,,,,,,
,,UN01005898,ASBIE,,,,CIIH_ Supply Chain_ Trade Delivery. Ship To. CI_ Trade_ Party,,,,,,,,,,,配送納入先グループ,,この明細文書ヘッダの納入先に関するグループ,0..1,,,v1,,,,,,,,,,,,,,
,,UN01005756,ABIE,,,,CI_ Trade_ Party. Details,,,,,,,,,,,納入先クラス,,納入先に関する情報からなるクラス。,,,,v1,,,,,,,,,,,,,,
414,ヘッダ部,UN01005757,BBIE,,,,,CI_ Trade_ Party. Identification. Identifier,,,,,,,,,,納入先ID,納入先ID,納入先の企業/工場・事業所・事業部門等を表す発注者が付与したID。,0..1,,,v1,D24A TDED 3039 Party identifier <Code specifying the identity of a party.> (an..35) コード値の定義なし https://service.unece.org/trade/untdid/d23a/tred/tred3039.htm, , , ,,＊,＊,＊,,,,,,
415,ヘッダ部,UN01005758,BBIE,,,,,CI_ Trade_ Party. Global_ Identification. Identifier,,,,,,,,,,納入先国際企業ID,納入先国際企業ID,納入先企業を表す国際企業ID。,0..1,,,v1,ISO6523 / D24A TDED 3039 Party identifier <Code specifying the identity of a party.> (an..35) コード値の定義なし https://service.unece.org/trade/untdid/d23a/tred/tred3039.htm,ISO, , ,,＊,＊,＊,,,★,IBT-071,> Deliver to location identifier,0..1
416,ヘッダ部,UN01005759,BBIE,,,,,CI_ Trade_ Party. Name. Text,,,,,,,,,,納入先名称,納入先名称,納入先の企業/工場・事業所・事業部門等の名称,0..1,,,v1,D24A TDED 3036 Party name <Name of a party.> (an..70) コード値の定義なし https://service.unece.org/trade/untdid/d23a/tred/tred3036.htm,, , ,,＊,＊,＊,,,★,IBT-070,> Deliver to party name,0..1
,,UN01005762,ASBIE,,,,,CI_ Trade_ Party. Postal. CI_ Trade_ Address,,,,,,,,,,納入先住所グループ,,納入先企業の住所情報に関するグループ。,0..1,,,v4,,,,,,,,,,,,,,
,,UN01005687,ABIE,,,,,CI_ Trade_ Address. Details,,,,,,,,,,納入先住所クラス,,住所に関する情報からなるクラス。,,,,v4,,,,,,,,,,,,,,
419,ヘッダ部,UN01005689,BBIE,,,,,,CI_ Trade_ Address. Postcode. Code,,,,,,,,,納入先郵便番号,納入先郵便番号,納入先の郵便番号,0..1,,,v4,D24A TDED3251,, , ,,＊,＊,＊,,,★,IBT-078,>> Deliver to post code,0..1
420,ヘッダ部,UN01005692,BBIE,,,,,,CI_ Trade_ Address. Line One. Text,,,,,,,,,納入先住所1,納入先住所1,納入先の住所1行目,0..1,,,v4,D24A TDED 3286 Address component description <Free form description of the component of an address.> (an..70) コード値の定義なし https://service.unece.org/trade/untdid/d23a/tred/tred3286.htm,, , ,,＊,＊,＊,,,★,IBT-075,>> Deliver to address line 1,0..1
421,ヘッダ部,UN01005693,BBIE,,,,,,CI_ Trade_ Address. Line Two. Text,,,,,,,,,納入先住所2,納入先住所2,納入先の住所2行目。,0..1,,,v4,D24A TDED 3286 Address component description <Free form description of the component of an address.> (an..70) コード値の定義なし https://service.unece.org/trade/untdid/d23a/tred/tred3286.htm,, , ,,＊,＊,＊,,,★,IBT-076,>> Deliver to address line 2,0..1
422,ヘッダ部,UN01005694,BBIE,,,,,,CI_ Trade_ Address. Line Three. Text,,,,,,,,,納入先住所3,納入先住所3,納入先の住所3行目。,0..1,,,v4,D24A TDED 3286 Address component description <Free form description of the component of an address.> (an..70) コード値の定義なし https://service.unece.org/trade/untdid/d23a/tred/tred3286.htm,, , ,,＊,＊,＊,,,★,IBT-165,>> Deliver to address line 3,0..1
423,ヘッダ部,UN01005700,BBIE,,,,,,CI_ Trade_ Address. Country. Identifier,,,,,,,,,納入先国ID,納入先国ID,納入先の国ID。デフォルトは「JP」,0..1,,,v4,ISO3166-1:Alpha2 / D24A TDED 3207 Country identifier <Identification of the name of the country or other geographical entity as defined in ISO 3166-1 and UN/ECE Recommendation 3.> (an..3) ISO 3166-1 and UN/ECE Recommendation 3 https://service.unece.org/trade/untdid/d23a/tred/tred3207.htm | XMLSchema /uncefact/identifierlist/standard/ISO_ISOTwo-letterCountryCode_SecondEdition2006.xsd,ISO, , ,,＊,＊,＊,,,☆,IBT-080,>> Deliver to country code,1..1
,,UN01005903,ASBIE,,,,CIIH_ Supply Chain_ Trade Delivery. Actual_ Delivery. CI_ Supply Chain_ Event,,,,,,,,,,,出荷出荷イベントグループ,,この明細文書ヘッダの出荷イベントのグループ,0..1,,,v4,,,,,,,,,,,,,,
,,UN01005626,ABIE,,,,CI_ Supply Chain_ Event. Details,,,,,,,,,,,イベントクラス,,出荷にかかわるイベントのクラス,,,,v4,,,,,,,,,,,,,,
426,ヘッダ部,UN01005628,BBIE,,,,,CI_ Supply Chain_ Event. Occurrence. Date Time,,,,,,,,,,出荷日,配送日,納入先へ出荷した日時,0..1,,,v4,D24A TDED 2193 Event Date Time <Date and or time of an event > (an..19)  https://unece.org/DAM/trade/untdid/UNTDED2005.pdf,, , ,,●,●,●,●,,★,IBT-072,> Actual delivery date,0..1
,,UN01005904,ASBIE,,,,CIIH_ Supply Chain_ Trade Delivery. Actual_ Receipt. CI_ Supply Chain_ Event,,,,,,,,,,,出荷受領イベントグループ,,この明細文書ヘッダの受領イベントのグループ,0..1,,,v4,,,,,,,,,,,,,,
,,UN01005626,ABIE,,,,CI_ Supply Chain_ Event. Details,,,,,,,,,,,イベントクラス,,配送にかかわるイベントのクラス,,,,v4,,,,,,,,,,,,,,
429,ヘッダ部,UN01005628,BBIE,,,,,CI_ Supply Chain_ Event. Occurrence. Date Time,,,,,,,,,,受領日,受領日,納入先が受領した日時,0..1,,,v4,D24A TDED 2193 Event Date Time <Date and or time of an event > (an..19)  https://unece.org/DAM/trade/untdid/UNTDED2005.pdf,, , ,,●,●,●,●,,,,,
,,UN01005905,ASBIE,,,,CIIH_ Supply Chain_ Trade Delivery. Despatch Advice_ Referenced. CI_ Referenced_ Document,,,,,,,,,,,配送参照出荷案内書グループ,,この明細文書ヘッダが参照する出荷案内書（納品書、送り状等）のグループ,0..1,Type. Code='351',,v1,,,,,,,,,,,,,,
,,UN01005579,ABIE,,,,CI_ Referenced_ Document. Details,,,,,,,,,,,参照出荷案内書クラス,,明細文書ヘッダが参照する出荷案内書のクラス,,,,v1,,,,,,,,,,,,,,
432,ヘッダ部,UN01005580,BBIE,,,,,CI_ Referenced_ Document. Issuer Assigned_ Identification. Identifier,,,,,,,,,,（明細文書ヘッダ参照）出荷案内書ID,明細文書参照出荷案内書ID,この明細文書ヘッダが参照する受注者が付番した出荷案内書ID,1..1,,,v1,D24A TDED 1004 Document identifier <To identify a document.> (an..70) コード値の定義なし https://service.unece.org/trade/untdid/d23a/tred/tred1004.htm,, ,,,＊,＊,＊,,,★,IBT-016,Despatch advice reference,0..1
433,ヘッダ部,UN01005581,BBIE,,,,,CI_ Referenced_ Document. URI_ Identification. Identifier,,,,,,,,,,（明細文書ヘッダ参照）文書URL_ID,明細文書参照出荷案内書URL_ID,この寧歳文書ヘッダが参照する文書が所在するURL_ID,0..1,,,v4.3,D24A TDED 1004 Document identifier <To identify a document.> (an..70) コード値の定義なし https://service.unece.org/trade/untdid/d23a/tred/tred1004.htm,,  ,  ,,＊,＊,＊,,,,,,
434,ヘッダ部,UN01005582,BBIE,,,,,CI_ Referenced_ Document. Issue. Date Time,,,,,,,,,,（明細文書ヘッダ参照）文書発行日,明細文書参照出荷案内書発行日,この明細文書ヘッダが参照する文書に記載の発行日付,0..1,,,v4.3,"D24A TDED 2007 Document Issue Date Time <Date that a document was issued and when appropriate, signed or otherwise authenticated> (an..19)  https://unece.org/DAM/trade/untdid/UNTDED2005.pdf | XMLSchema <xsd:union memberTypes=""xsd:dateTime xsd:date""/>",, , ,,＊,＊,＊,,,,,,
435,ヘッダ部,UN01005588,BBIE,,,,,CI_ Referenced_ Document. Revision_ Identification. Identifier,,,,,,,,,,（明細文書ヘッダ参照）出荷案内書履歴ID,明細文書参照出荷案内書履歴ID,この明細文書ヘッダが参照する出荷案内書の変更履歴を管理するID。,0..1,,,v1,D24A TDED 1004 Document identifier <To identify a document.> (an..70) コード値の定義なし https://service.unece.org/trade/untdid/d23a/tred/tred1004.htm,  , , ,,＊,＊,＊,,,,,,
436,ヘッダ部,UN01009672,BBIE,,,,,CI_ Referenced_ Document. Type. Code,,,,,,,,,,（明細文書ヘッダ参照）文書タイプコード,明細文書参照出荷案内書文書タイプコード,"この明細文書ヘッダが参照する文書の文書タイプを識別するコード
＝「351」（Despatch advice）（デフォルト）",0..1,,351,v1,UNCL1001 D24Aと一致. / UNTDED 1001 Document name code <Code specifying the document name.> (an..3)  https://service.unece.org/trade/untdid/d23a/tred/tred1001.htm | XMLSchema /uncefact/codelist/standard/UNECE_DocumentNameCode_D23A.xsd,UN/CEFACT, , ,,＊,＊,＊,,,,,,
437,ヘッダ部,UN01013318,BBIE,,,,,CI_ Referenced_ Document. Category. Code,,,,,,,,,,（明細文書ヘッダ参照）出荷案内書類型コード,明細文書参照出荷案内書文書類型コード,"この明細文書ヘッダが参照する出荷案内書の類型（適格請求書等対応、適格請求書の補完、適格請求書非適合）を識別するコード
デフォルトは「適格請求書非適合」",0..1,,,v1,JECxxxx / D24A TDED 1003 Document Type Identifier <Document type identifier such as INVOIC. See also 0065> (an..6)  https://unece.org/DAM/trade/untdid/UNTDED2005.pdf,JEC, , ,,＊,＊,＊,,,,,,
438,ヘッダ部,UN01014899,BBIE,,,,,CI_ Referenced_ Document. Subtype. Code,,,,,,,,,,（明細文書ヘッダ参照）文書サブタイプコード,明細文書参照出荷案内書文書サブタイプコード,"この明細文書ヘッダが参照する出荷案内書の文書サブタイプを識別するコード
＝[35101](一般納品書：デフォルト）",0..1,,,v4,JECxxxx D24A定義なし,JEC, , ,,＊,＊,＊,,,,,,
,,UN01005906,ASBIE,,,,CIIH_ Supply Chain_ Trade Delivery. Receiving Advice_ Referenced. CI_ Referenced_ Document,,,,,,,,,,,配送参照出荷回答書グループ,,この明細文書ヘッダが参照する出荷回答書のグループ,0..1,Type. Code='632',,v4.1,,,,,,,,,,,,,,
,,UN01005579,ABIE,,,,CI_ Referenced_ Document. Details,,,,,,,,,,,参照出荷回答書クラス,,明細文書ヘッダが参照する出荷回答書のクラス,,,,v4.1,,,,,,,,,,,,,,
441,ヘッダ部,UN01005580,BBIE,,,,,CI_ Referenced_ Document. Issuer Assigned_ Identification. Identifier,,,,,,,,,,（明細文書ヘッダ参照）出荷回答書ID,明細文書参照出荷回答書ID,この明細文書ヘッダが参照する発注者が付番した出荷回答書ID,1..1,,,v4.1,D24A TDED 1004 Document identifier <To identify a document.> (an..70) コード値の定義なし https://service.unece.org/trade/untdid/d23a/tred/tred1004.htm,  , , ,,＊,＊,＊,,,★,IBT-015,Receiving advice reference,0..1
442,ヘッダ部,UN01005581,BBIE,,,,,CI_ Referenced_ Document. URI_ Identification. Identifier,,,,,,,,,,（明細文書ヘッダ参照）文書URL_ID,明細文書参照出荷回答書URL_ID,この明細文書ヘッダが参照する文書が所在するURL_ID,0..1,,,v4.3,D24A TDED 1004 Document identifier <To identify a document.> (an..70) コード値の定義なし https://service.unece.org/trade/untdid/d23a/tred/tred1004.htm, ,  , ,,＊,＊,＊,,,,,,
443,ヘッダ部,UN01005582,BBIE,,,,,CI_ Referenced_ Document. Issue. Date Time,,,,,,,,,,（明細文書ヘッダ参照）文書発行日,明細文書参照出荷回答書発行日,この明細文書ヘッダが参照する文書に記載の発行日付,0..1,,,v4.3,"D24A TDED 2007 Document Issue Date Time <Date that a document was issued and when appropriate, signed or otherwise authenticated> (an..19)  https://unece.org/DAM/trade/untdid/UNTDED2005.pdf | XMLSchema <xsd:union memberTypes=""xsd:dateTime xsd:date""/>",, , ,,＊,＊,＊,,,,,,
444,ヘッダ部,UN01005588,BBIE,,,,,CI_ Referenced_ Document. Revision_ Identification. Identifier,,,,,,,,,,（明細文書ヘッダ参照）出荷回答書履歴ID,明細文書参照出荷回答書履歴ID,この明細文書ヘッダが参照する出荷回答書の変更履歴を管理するID。,0..1,,,v4.1,D24A TDED 1004 Document identifier <To identify a document.> (an..70) コード値の定義なし https://service.unece.org/trade/untdid/d23a/tred/tred1004.htm,  , , ,,＊,＊,＊,,,,,,
445,ヘッダ部,UN01009672,BBIE,,,,,CI_ Referenced_ Document. Type. Code,,,,,,,,,,（明細文書ヘッダ参照）文書タイプコード,明細文書参照出荷回答書文書タイプコード,"この明細文書ヘッダが参照する出荷回答書の文書タイプを識別するコード
＝「632」（Goods receipt）（デフォルト）",0..1,,632,v4.1,UNCL1001 D24Aと一致. / UNTDED 1001 Document name code <Code specifying the document name.> (an..3)  https://service.unece.org/trade/untdid/d23a/tred/tred1001.htm | XMLSchema /uncefact/codelist/standard/UNECE_DocumentNameCode_D23A.xsd,UN/CEFACT, , ,,＊,＊,＊,,,,,,
446,ヘッダ部,UN01014899,BBIE,,,,,CI_ Referenced_ Document. Subtype. Code,,,,,,,,,,（明細文書ヘッダ参照）文書サブタイプコード,明細文書参照出荷回答書文書サブタイプコード,"この明細文書ヘッダが参照する出荷回答書の文書サブタイプを識別するコード
＝[63201](出荷回答書：デフォルト）",0..1,,,v4.1,JECxxxx D24A定義なし,JEC, , ,,＊,＊,＊,,,,,,
,,UN01005908,ASBIE,,,,CIIH_ Supply Chain_ Trade Delivery. Additional_ Referenced. CI_ Referenced_ Document,,,,,,,,,,,配送参照文書クラス,,インボイス文書の配送に関する参照文書のグループ,0..1,,,v4.3,,,,,,,,,,,,,,
,,UN01005579,ABIE,,,,CI_ Referenced_ Document. Details,,,,,,,,,,,配送参照文書クラス,,参照文書のクラス,,,,v4.3,,,,,,,,,,,,,,
142,ヘッダ部,UN01005580,BBIE,,,,,CI_ Referenced_ Document. Issuer Assigned_ Identification. Identifier,,,,,,,,,,参照文書ID,インボイス文書配送参照文書ID,参照文書のID,1..1,,,v4.3,D24A TDED 1004 Document identifier <To identify a document.> (an..70) コード値の定義なし https://service.unece.org/trade/untdid/d23a/tred/tred1004.htm,,,,,＊,＊,＊,,,,,,
,,UN01005939,ASBIE,,,CIIH_ Supply Chain_ Trade Transaction. Applicable. CIIH_ Supply Chain_ Trade Settlement,,,,,,,,,,,,取引内容決済グループ,,決済に関するグループ,1..1,,,v2,,,,,,,,,,,,,,
,,UN01005909,ABIE,,,CIIH_ Supply Chain_ Trade Settlement. Details,,,,,,,,,,,,決済クラス,,インボイス文書の決済に関する情報からなるクラス。,,,,v2,,,,,,,,,,,,,,
145,ヘッダ部,UN01005913,BBIE,,,,CIIH_ Supply Chain_ Trade Settlement. Tax_ Currency. Code,,,,,,,,,,,税通貨コード,税通貨コード,"税の通貨コード。
＝JPY（デフォルト）",0..1,,,v4,TDED6345,ISO,"コード値
選択入力","デフォルト
＝JPY（日本円）",,●,●,●,●,,★,IBT-006,Tax accounting currency,0..1
146,ヘッダ部,UN01005914,BBIE,,,,CIIH_ Supply Chain_ Trade Settlement. Invoice_ Currency. Code,,,,,,,,,,,文書通貨コード,文書通貨コード,"インボイス文書の通貨コード。
＝JPY（デフォルト）",1..1,,,v4,TDED6345,ISO,"コード値
選択入力","デフォルト
＝JPY（日本円）",,●,●,●,●,,☆,IBT-005,Invoice currency code,1..1
147,ヘッダ部,UN01005915,BBIE,,,,CIIH_ Supply Chain_ Trade Settlement. Payment_ Currency. Code,,,,,,,,,,,支払通貨コード,支払通貨コード,請求支払通貨コード（デフォルトはJPY）,0..1,,,v4,TDED6345,ISO,"コード値
選択入力","デフォルト
＝JPY（日本円）",,＊,＊,＊,＊,,,,,
,,UN01005916,ASBIE,,,,CIIH_ Supply Chain_ Trade Settlement. Invoicer. CI_ Trade_ Party,,,,,,,,,,,決済請求者グループ,,請求者にかかわる情報,0..1,,,v2,,,,,,,,,,,,,,
,,UN01005756,ABIE,,,,CI_ Trade_ Party. Details,,,,,,,,,,,請求者クラス,,請求者に関する情報からなるクラス。,,,,v2,,,,,,,,,,,,,,
150,ヘッダ部,UN01005757,BBIE,,,,,CI_ Trade_ Party. Identification. Identifier,,,,,,,,,,請求者ID,請求者ID,請求者のID。,0..1,,,v2,D24A TDED 3039 Party identifier <Code specifying the identity of a party.> (an..35) コード値の定義なし https://service.unece.org/trade/untdid/d23a/tred/tred3039.htm,     , , ,,＊,＊,,,,,,,
151,ヘッダ部,UN01005758,BBIE,,,,,CI_ Trade_ Party. Global_ Identification. Identifier,,,,,,,,,,請求者国際企業ID,請求者国際企業ID,企業を表す国際企業ID。ISO6523に登録された国際企業登録機関を属性で指定する。,0..1,,,v2,ISO6523 / D24A TDED 3039 Party identifier <Code specifying the identity of a party.> (an..35) コード値の定義なし https://service.unece.org/trade/untdid/d23a/tred/tred3039.htm,ISO, , ,,＊,＊,,,,,,,
151.1,ヘッダ部,UDT000011,SC,,,,,,Identifier. Identification Scheme. Identifier,,,,,,,,,請求者国際企業登録機関番号,請求者国際企業登録機関番号,,1..1,,,,,,,,,,,,,,,,,
152,ヘッダ部,UN01005759,BBIE,,,,,CI_ Trade_ Party. Name. Text,,,,,,,,,,請求者名称,請求者名称,請求者の企業等を表す名称。,0..1,,,v2,D24A TDED 3036 Party name <Name of a party.> (an..70) コード値の定義なし https://service.unece.org/trade/untdid/d23a/tred/tred3036.htm,, , ,,＊,＊,,,,,,,
,,UN01005761,ASBIE,,,,,CI_ Trade_ Party. Defined. CI_ Trade_ Contact,,,,,,,,,,請求者連絡先グループ,,請求者の連絡先に関する情報,0..1,,,v2,,,,,,,,,,,,,,
,,UN01005718,ABIE,,,,,CI_ Trade_ Contact. Details,,,,,,,,,,請求者連絡先クラス,,連絡先に関する情報からなるクラス。,,,,v2,,,,,,,,,,,,,,
157,ヘッダ部,UN01005719,BBIE,,,,,,CI_ Trade_ Contact. Identification. Identifier,,,,,,,,,請求部門ID,請求者連絡先部門ID,請求者の請求部門を表すID。,0..1,,,v2,"D24A TDED 3413 Contact identifier <To identify a contact, such as a department or employee.> (an..17) コード値の定義なし https://service.unece.org/trade/untdid/d23a/tred/tred3413.htm",     , , ,,＊,＊,,,,,,,
158,ヘッダ部,UN01005720,BBIE,,,,,,CI_ Trade_ Contact. Person Name. Text,,,,,,,,,請求者担当名,請求者連絡先担当名,請求者個人の、文字で表現された名前。,0..1,,,v2,"D24A TDED 3412 Contact name < Name of a contact, such as a department or employee.> (an..256) コード値の定義なし https://service.unece.org/trade/untdid/d23a/tred/tred3412.htm",, , ,,＊,＊,,,,,,,
159,ヘッダ部,UN01005721,BBIE,,,,,,CI_ Trade_ Contact. Department Name. Text,,,,,,,,,請求者部門名,請求者連絡先部門名,請求者の請求部門の名称。,0..1,,,v2,"D24A TDED 3412 Contact name < Name of a contact, such as a department or employee.> (an..256) コード値の定義なし https://service.unece.org/trade/untdid/d23a/tred/tred3412.htm",, , ,,＊,＊,,,,,,,
160,ヘッダ部,UN01005725,BBIE,,,,,,CI_ Trade_ Contact. Person_ Identification. Identifier,,,,,,,,,請求者担当ID,請求者連絡先担当ID,請求者個人を表すID,0..1,,,v4,"D24A TDED 3413 Contact identifier <To identify a contact, such as a department or employee.> (an..17) コード値の定義なし https://service.unece.org/trade/untdid/d23a/tred/tred3413.htm",     , , ,,＊,＊,,,,,,,
,,UN01005726,ASBIE,,,,,,CI_ Trade_ Contact. Telephone. CI_ Universal_ Communication,,,,,,,,,連絡先電話情報グループ,,連絡先の電話に関するグループ。,0..1,,,v2,,,,,,,,,,,,,,
,,UN01005857,ABIE,,,,,,CI_ Universal_ Communication. Details,,,,,,,,,電話通信クラス,,通信（電話）に関する情報からなるクラス。,,,,v2,,,,,,,,,,,,,,
163,ヘッダ部,UN01005860,BBIE,,,,,,,CI_ Universal_ Communication. Complete Number. Text,,,,,,,,請求者電話番号,請求者連絡先電話番号,請求者の電話番号。,0..1,,,v2,D24A TDED 3148 Communication address identifier <To identify a communication address.> (an..512) コード値の定義なし https://service.unece.org/trade/untdid/d23a/tred/tred3148.htm,     , , ,,＊,＊,,,,,,,
,,UN01005729,ASBIE,,,,,,CI_ Trade_ Contact. Fax. CI_ Universal_ Communication,,,,,,,,,連絡先FAX情報グループ,,連絡先のFAXに関するグループ。,0..1,,,v4,,,,,,,,,,,,,,
,,UN01005857,ABIE,,,,,,CI_ Universal_ Communication. Details,,,,,,,,,FAX通信クラス,,通信（FAX）に関する情報からなるクラス。,,,,v4,,,,,,,,,,,,,,
166,ヘッダ部,UN01005860,BBIE,,,,,,,CI_ Universal_ Communication. Complete Number. Text,,,,,,,,請求者FAX番号,請求者連絡先FAX番号,請求者のFAX番号,0..1,,,v4,D24A TDED 3148 Communication address identifier <To identify a communication address.> (an..512) コード値の定義なし https://service.unece.org/trade/untdid/d23a/tred/tred3148.htm,     , , ,,＊,＊,,,,,,,
,,UN01005730,ASBIE,,,,,,CI_ Trade_ Contact. Email_ URI. CI_ Universal_ Communication,,,,,,,,,連絡先電子メール情報グループ,,連絡先の電子メールに関するグループ。,0..1,,,v4,,,,,,,,,,,,,,
,,UN01005857,ABIE,,,,,,CI_ Universal_ Communication. Details,,,,,,,,,電子メール通信クラス,,通信（電子メール）に関する情報からなるクラス。,,,,v4,,,,,,,,,,,,,,
169,ヘッダ部,UN01005858,BBIE,,,,,,,CI_ Universal_ Communication. URI. Identifier,,,,,,,,請求者メールアドレス,請求者連絡先電子メールアドレス,請求者の電子メールアドレス。,0..1,,,v4,D24A TDED 3148 Communication address identifier <To identify a communication address.> (an..512) コード値の定義なし https://service.unece.org/trade/untdid/d23a/tred/tred3148.htm,     , , ,,＊,＊,,,,,,,
