version,sme_nr,UNID,acronym,type,level,label_local,multiplicity,multiplicity_SME,mbie_nr,class_term,sequence,identifier,property_term,representation_term,associated_class,definition_local,code_list,attribute,DEN,definition,short_name,name,element,xpath
v4,240,UN01005919,ASBIE,C,3,インボイス文書決済／支払人グループ,0..1,0..1,2261,CIIH_ Supply Chain_ Trade Settlement,4,,Payer,,CI_ Trade_ Party,支払人にかかわる情報,,,CIIH_ Supply Chain_ Trade Settlement. Payer. CI_ Trade_ Party,The Cross Industry (CI) payer party for this CIIH supply chain trade settlement.,Payer,TransactionPayer,PayerCITradeParty,/SMEConsolidatedSelfInvoice/CIIHSupplyChainTradeTransaction/ApplicableCIIHSupplyChainTradeSettlement/PayerCITradeParty
v4,242,UN01005757,BBIE,A,4,支払人ID,0..n,0..1,3910,CI_ Trade_ Party,1,,Identification,Identifier,,支払人のID。,,,CI_ Trade_ Party. Identification. Identifier,A unique identifier of this CI trade party.,ID,PayerID,ID,/SMEConsolidatedSelfInvoice/CIIHSupplyChainTradeTransaction/ApplicableCIIHSupplyChainTradeSettlement/PayerCITradeParty/ID
v4,243,UN01005758,BBIE,A,4,支払人国際企業ID,0..n,0..1,3911,CI_ Trade_ Party,2,,Global_ Identification,Identifier,,支払人の国際企業ID。,ISO6523,,CI_ Trade_ Party. Global_ Identification. Identifier,A globally unique identifier of this CI trade party.,Global ID,PayerGlobalID,GlobalID,/SMEConsolidatedSelfInvoice/CIIHSupplyChainTradeTransaction/ApplicableCIIHSupplyChainTradeSettlement/PayerCITradeParty/GlobalID
v4,244,UN01005759,BBIE,A,4,支払人名称,0..1,0..1,3912,CI_ Trade_ Party,3,,Name,Text,,支払人の企業等を表す名称。,,,CI_ Trade_ Party. Name. Text,"The name, expressed as text, for this CI trade party.",Name,PayerName,Name,/SMEConsolidatedSelfInvoice/CIIHSupplyChainTradeTransaction/ApplicableCIIHSupplyChainTradeSettlement/PayerCITradeParty/Name
v4,245,UN01005761,ASBIE,C,4,支払人／連絡先グループ,0..n,0..1,3919,CI_ Trade_ Party,2,,Defined,,CI_ Trade_ Contact,支払人の連絡先に関する情報,,,CI_ Trade_ Party. Defined. CI_ Trade_ Contact,A trade contact defined for this CI trade party.,Defined Contact,PayerContact,DefinedCITradeContact,/SMEConsolidatedSelfInvoice/CIIHSupplyChainTradeTransaction/ApplicableCIIHSupplyChainTradeSettlement/PayerCITradeParty/DefinedCITradeContact
v4,247,UN01005719,BBIE,A,5,支払人部門ID,0..1,0..1,3864,CI_ Trade_ Contact,1,,Identification,Identifier,,支払人の支払人部門を表すID。,,,CI_ Trade_ Contact. Identification. Identifier,The unique identifier for this CI trade contact.,ID,PayerContactID,ID,/SMEConsolidatedSelfInvoice/CIIHSupplyChainTradeTransaction/ApplicableCIIHSupplyChainTradeSettlement/PayerCITradeParty/DefinedCITradeContact/ID
v4,248,UN01005720,BBIE,A,5,支払人担当名,0..1,0..1,3865,CI_ Trade_ Contact,2,,Person Name,Text,,支払人個人の、文字で表現された名前。,,,CI_ Trade_ Contact. Person Name. Text,"The name, expressed as text, of this CI trade contact person.",Person Name,PayerContactPersonName,PersonName,/SMEConsolidatedSelfInvoice/CIIHSupplyChainTradeTransaction/ApplicableCIIHSupplyChainTradeSettlement/PayerCITradeParty/DefinedCITradeContact/PersonName
v4,249,UN01005721,BBIE,A,5,支払人部門名,0..1,0..1,3866,CI_ Trade_ Contact,3,,Department Name,Text,,支払人の請求部門の名称。,,,CI_ Trade_ Contact. Department Name. Text,"The name, expressed as text, of the department which is this CI trade contact.",Department Name,PayerContactDepartmentName,DepartmentName,/SMEConsolidatedSelfInvoice/CIIHSupplyChainTradeTransaction/ApplicableCIIHSupplyChainTradeSettlement/PayerCITradeParty/DefinedCITradeContact/DepartmentName
v4,250,UN01005725,BBIE,A,5,支払人担当ID,0..n,0..1,3870,CI_ Trade_ Contact,7,,Person_ Identification,Identifier,,支払人個人を表すID,,,CI_ Trade_ Contact. Person_ Identification. Identifier,A unique identifier for this CI trade contact person.,Person ID,PayerContactPersonID,PersonID,/SMEConsolidatedSelfInvoice/CIIHSupplyChainTradeTransaction/ApplicableCIIHSupplyChainTradeSettlement/PayerCITradeParty/DefinedCITradeContact/PersonID
v4,251,UN01005726,ASBIE,C,5,連絡先／電話情報グループ,0..1,0..1,3872,CI_ Trade_ Contact,1,,Telephone,,CI_ Universal_ Communication,連絡先の電話に関するグループ。,,,CI_ Trade_ Contact. Telephone. CI_ Universal_ Communication,The telephone communication information for this CI trade contact.,Telephone,PayerContactTelephone,TelephoneCIUniversalCommunication,/SMEConsolidatedSelfInvoice/CIIHSupplyChainTradeTransaction/ApplicableCIIHSupplyChainTradeSettlement/PayerCITradeParty/DefinedCITradeContact/TelephoneCIUniversalCommunication
v4,253,UN01005860,BBIE,A,6,支払人電話番号,0..1,0..1,4096,CI_ Universal_ Communication,3,,Complete Number,Text,,支払人の電話番号。,,,CI_ Universal_ Communication. Complete Number. Text,The text string of characters that make up the complete number for this CI universal communication.,Complete Number,PayerContactTelephoneCompleteNumberText,CompleteNumber,/SMEConsolidatedSelfInvoice/CIIHSupplyChainTradeTransaction/ApplicableCIIHSupplyChainTradeSettlement/PayerCITradeParty/DefinedCITradeContact/TelephoneCIUniversalCommunication/CompleteNumber
v4,254,UN01005729,ASBIE,C,5,連絡先／FAX情報グループ,0..1,0..1,3875,CI_ Trade_ Contact,4,,Fax,,CI_ Universal_ Communication,連絡先のFAXに関するグループ。,,,CI_ Trade_ Contact. Fax. CI_ Universal_ Communication,The fax communication information for this CI trade contact.,Fax,PayerContactFax,FaxCIUniversalCommunication,/SMEConsolidatedSelfInvoice/CIIHSupplyChainTradeTransaction/ApplicableCIIHSupplyChainTradeSettlement/PayerCITradeParty/DefinedCITradeContact/FaxCIUniversalCommunication
v4,256,UN01005860,BBIE,A,6,支払人FAX番号,0..1,0..1,4096,CI_ Universal_ Communication,3,,Complete Number,Text,,支払人のFAX番号,,,CI_ Universal_ Communication. Complete Number. Text,The text string of characters that make up the complete number for this CI universal communication.,Complete Number,PayerContactFaxCompleteNumberText,CompleteNumber,/SMEConsolidatedSelfInvoice/CIIHSupplyChainTradeTransaction/ApplicableCIIHSupplyChainTradeSettlement/PayerCITradeParty/DefinedCITradeContact/FaxCIUniversalCommunication/CompleteNumber
v4,257,UN01005730,ASBIE,C,5,連絡先／電子メール情報グループ,0..1,0..1,3876,CI_ Trade_ Contact,5,,Email_ URI,,CI_ Universal_ Communication,連絡先の電子メールに関するグループ。,,,CI_ Trade_ Contact. Email_ URI. CI_ Universal_ Communication,The email URI communication information for this CI trade contact.,Email Address,PayerContactEmailURI,EmailURICIUniversalCommunication,/SMEConsolidatedSelfInvoice/CIIHSupplyChainTradeTransaction/ApplicableCIIHSupplyChainTradeSettlement/PayerCITradeParty/DefinedCITradeContact/EmailURICIUniversalCommunication
v4,259,UN01005858,BBIE,A,6,支払人メールアドレス,0..1,0..1,4094,CI_ Universal_ Communication,1,,URI,Identifier,,支払人の電子メールアドレス。,,,CI_ Universal_ Communication. URI. Identifier,"The Uniform Resource Identifier (URI), such as a web or an email address, for this CI universal communication.",URI,PayerContactEmailURIURIID,URIID,/SMEConsolidatedSelfInvoice/CIIHSupplyChainTradeTransaction/ApplicableCIIHSupplyChainTradeSettlement/PayerCITradeParty/DefinedCITradeContact/EmailURICIUniversalCommunication/URIID
v4,260,UN01005762,ASBIE,C,4,支払人／住所グループ,0..1,0..1,3920,CI_ Trade_ Party,3,,Postal,,CI_ Trade_ Address,支払人の住所に関するグループ。,,,CI_ Trade_ Party. Postal. CI_ Trade_ Address,The postal address for this CI trade party.,Postal Address,PayerPostalAddress,PostalCITradeAddress,/SMEConsolidatedSelfInvoice/CIIHSupplyChainTradeTransaction/ApplicableCIIHSupplyChainTradeSettlement/PayerCITradeParty/PostalCITradeAddress
v4,262,UN01005689,BBIE,A,5,支払人郵便番号,0..1,0..1,3828,CI_ Trade_ Address,2,,Postcode,Code,,支払人の郵便番号。,,,CI_ Trade_ Address. Postcode. Code,The postcode of this CI trade address.,Postcode,PayerPostalAddressPostcodeCode,PostcodeCode,/SMEConsolidatedSelfInvoice/CIIHSupplyChainTradeTransaction/ApplicableCIIHSupplyChainTradeSettlement/PayerCITradeParty/PostalCITradeAddress/PostcodeCode
v4,263,UN01005692,BBIE,A,5,支払人住所1,0..1,0..1,3831,CI_ Trade_ Address,5,,Line One,Text,,支払人の住所1行目。,,,CI_ Trade_ Address. Line One. Text,"The first free form line, expressed as text, of this CI trade address.",Line One,PayerPostalAddressLineOneText,LineOne,/SMEConsolidatedSelfInvoice/CIIHSupplyChainTradeTransaction/ApplicableCIIHSupplyChainTradeSettlement/PayerCITradeParty/PostalCITradeAddress/LineOne
v4,264,UN01005693,BBIE,A,5,支払人住所2,0..1,0..1,3832,CI_ Trade_ Address,6,,Line Two,Text,,支払人の住所2行目。,,,CI_ Trade_ Address. Line Two. Text,"The second free form line, expressed as text, of this CI trade address.",Line Two,PayerPostalAddressLineTwoText,LineTwo,/SMEConsolidatedSelfInvoice/CIIHSupplyChainTradeTransaction/ApplicableCIIHSupplyChainTradeSettlement/PayerCITradeParty/PostalCITradeAddress/LineTwo
v4,265,UN01005694,BBIE,A,5,支払人住所3,0..1,0..1,3833,CI_ Trade_ Address,7,,Line Three,Text,,支払人の住所3行目。,,,CI_ Trade_ Address. Line Three. Text,"The third free form line, expressed as text, of this CI trade address.",Line Three,PayerPostalAddressLineThreeText,LineThree,/SMEConsolidatedSelfInvoice/CIIHSupplyChainTradeTransaction/ApplicableCIIHSupplyChainTradeSettlement/PayerCITradeParty/PostalCITradeAddress/LineThree
v4,266,UN01005700,BBIE,A,5,支払人国ID,0..1,1..1,3839,CI_ Trade_ Address,13,PK,Country,Identifier,,支払人の国ID。デフォルトは「JP」,ISO3166-1:Alpha2,,CI_ Trade_ Address. Country. Identifier,The unique identifier of the country for this CI trade address.,Country Code,PayerPostalAddressCountryID,CountryID,/SMEConsolidatedSelfInvoice/CIIHSupplyChainTradeTransaction/ApplicableCIIHSupplyChainTradeSettlement/PayerCITradeParty/PostalCITradeAddress/CountryID
v4.1,267,UN01005765,ASBIE,C,4,支払人／国際アドレスグループ,0..1,0..1,3923,CI_ Trade_ Party,6,,End Point_ URI,,CI_ Universal_ Communication,支払人の国際アドレスグループ,,,CI_ Trade_ Party. End Point_ URI. CI_ Universal_ Communication,The communication address of the end point URI for this CI trade party.,End Point URI,PayerEndPointURI,EndPointURICIUniversalCommunication,/SMEConsolidatedSelfInvoice/CIIHSupplyChainTradeTransaction/ApplicableCIIHSupplyChainTradeSettlement/PayerCITradeParty/EndPointURICIUniversalCommunication
v4.1,269,UN01005859,BBIE,A,5,国際アドレス登録機関コード,0..1,0..1,4095,CI_ Universal_ Communication,2,,Channel,Code,,ISOがコード表6523に登録した国際アドレス登録機関のコード,ISO6523,,CI_ Universal_ Communication. Channel. Code,"The code specifying the channel or manner in which a CI universal communication can be made, such as telephone or email.",Channel Code,PayerEndPointURIChannelCode,ChannelCode,/SMEConsolidatedSelfInvoice/CIIHSupplyChainTradeTransaction/ApplicableCIIHSupplyChainTradeSettlement/PayerCITradeParty/EndPointURICIUniversalCommunication/ChannelCode
v4.1,270,UN01005860,BBIE,A,5,支払人国際アドレス,0..1,0..1,4096,CI_ Universal_ Communication,3,,Complete Number,Text,,国際アドレス登録機関が付与する国際アドレス番号,,,CI_ Universal_ Communication. Complete Number. Text,The text string of characters that make up the complete number for this CI universal communication.,Complete Number,PayerEndPointURICompleteNumberText,CompleteNumber,/SMEConsolidatedSelfInvoice/CIIHSupplyChainTradeTransaction/ApplicableCIIHSupplyChainTradeSettlement/PayerCITradeParty/EndPointURICIUniversalCommunication/CompleteNumber
v1,271,UN01005921,ASBIE,C,3,インボイス文書決済／請求者為替グループ,0..1,0..1,2263,CIIH_ Supply Chain_ Trade Settlement,6,,Invoice_ Applicable,,CI_ Trade_ Currency Exchange,請求に関する為替に関するグループ,,,CIIH_ Supply Chain_ Trade Settlement. Invoice_ Applicable. CI_ Trade_ Currency Exchange,The Cross Industry (CI) trade currency exchange applicable to the invoice in this CIIH supply chain trade settlement.,Invoice Currency Exchange,TransactionInvoiceCurrencyExchange,InvoiceApplicableCITradeCurrencyExchange,/SMEConsolidatedSelfInvoice/CIIHSupplyChainTradeTransaction/ApplicableCIIHSupplyChainTradeSettlement/InvoiceApplicableCITradeCurrencyExchange
v1/v3,273,UN01005739,BBIE,A,4,為替交換元通貨コード,1..1,0..1,3890,CI_ Trade_ Currency Exchange,1,,Source Currency,Code,,"為替における交換元通貨を表すコード
デフォルト＝「JPY」","通貨コード
ISO4217",,CI_ Trade_ Currency Exchange. Source Currency. Code,The code specifying the source currency of a CI trade currency conversion.,Source Currency Code,InvoiceCurrencyExchangeSourceCurrencyCode,SourceCurrencyCode,/SMEConsolidatedSelfInvoice/CIIHSupplyChainTradeTransaction/ApplicableCIIHSupplyChainTradeSettlement/InvoiceApplicableCITradeCurrencyExchange/SourceCurrencyCode
v1/v3,274,UN01005741,BBIE,A,4,為替交換先通貨コード,1..1,0..1,3892,CI_ Trade_ Currency Exchange,3,,Target Currency,Code,,"為替における交換先通貨を表すコード
デフォルト＝「JPY」","通貨コード
ISO4217",,CI_ Trade_ Currency Exchange. Target Currency. Code,The code specifying the target currency of a CI trade currency conversion.,Target Currency Code,InvoiceCurrencyExchangeTargetCurrencyCode,TargetCurrencyCode,/SMEConsolidatedSelfInvoice/CIIHSupplyChainTradeTransaction/ApplicableCIIHSupplyChainTradeSettlement/InvoiceApplicableCITradeCurrencyExchange/TargetCurrencyCode
v1/v3,275,UN01005744,BBIE,A,4,為替レート,1..1,0..1,3895,CI_ Trade_ Currency Exchange,6,,Conversion,Rate,,為替交換のレート,,,CI_ Trade_ Currency Exchange. Conversion. Rate,The rate used for conversion from the source currency to the target currency for CI trade purposes.,Conversion Rate,InvoiceCurrencyExchangeConversionRate,ConversionRate,/SMEConsolidatedSelfInvoice/CIIHSupplyChainTradeTransaction/ApplicableCIIHSupplyChainTradeSettlement/InvoiceApplicableCITradeCurrencyExchange/ConversionRate
v1,276,UN01005745,BBIE,A,4,為替レート日時,0..1,0..1,3896,CI_ Trade_ Currency Exchange,7,,Conversion Rate,Date Time,,為替交換レートの適用日。,,,CI_ Trade_ Currency Exchange. Conversion Rate. Date Time,"The date, time, date time or other date time value of the conversion rate for this CI trade currency exchange.",Conversion Rate Date Time,InvoiceCurrencyExchangeConversionRateDateTime,ConversionRateDateTime,/SMEConsolidatedSelfInvoice/CIIHSupplyChainTradeTransaction/ApplicableCIIHSupplyChainTradeSettlement/InvoiceApplicableCITradeCurrencyExchange/ConversionRateDateTime
v2,277,UN01005922,ASBIE,C,3,インボイス文書決済／支払者為替グループ,0..1,0..1,2264,CIIH_ Supply Chain_ Trade Settlement,7,,Payment_ Applicable,,CI_ Trade_ Currency Exchange,支払いに関する為替に関するグループ,,,CIIH_ Supply Chain_ Trade Settlement. Payment_ Applicable. CI_ Trade_ Currency Exchange,The Cross Industry (CI) trade currency exchange applicable to the payment of this CIIH supply chain trade settlement.,Payment Currency Exchange,TransactionPaymentCurrencyExchange,PaymentApplicableCITradeCurrencyExchange,/SMEConsolidatedSelfInvoice/CIIHSupplyChainTradeTransaction/ApplicableCIIHSupplyChainTradeSettlement/PaymentApplicableCITradeCurrencyExchange
v4,279,UN01005739,BBIE,A,4,為替交換元通貨コード,1..1,0..1,3890,CI_ Trade_ Currency Exchange,1,,Source Currency,Code,,為替における交換元通貨を表すコード,"通貨コード
ISO4217",,CI_ Trade_ Currency Exchange. Source Currency. Code,The code specifying the source currency of a CI trade currency conversion.,Source Currency Code,PaymentCurrencyExchangeSourceCurrencyCode,SourceCurrencyCode,/SMEConsolidatedSelfInvoice/CIIHSupplyChainTradeTransaction/ApplicableCIIHSupplyChainTradeSettlement/PaymentApplicableCITradeCurrencyExchange/SourceCurrencyCode
v4,280,UN01005741,BBIE,A,4,為替交換先通貨コード,1..1,0..1,3892,CI_ Trade_ Currency Exchange,3,,Target Currency,Code,,為替における交換先通貨を表すコード,"通貨コード
ISO4217",,CI_ Trade_ Currency Exchange. Target Currency. Code,The code specifying the target currency of a CI trade currency conversion.,Target Currency Code,PaymentCurrencyExchangeTargetCurrencyCode,TargetCurrencyCode,/SMEConsolidatedSelfInvoice/CIIHSupplyChainTradeTransaction/ApplicableCIIHSupplyChainTradeSettlement/PaymentApplicableCITradeCurrencyExchange/TargetCurrencyCode
v4,281,UN01005744,BBIE,A,4,為替レート,1..1,0..1,3895,CI_ Trade_ Currency Exchange,6,,Conversion,Rate,,為替交換のレート,,,CI_ Trade_ Currency Exchange. Conversion. Rate,The rate used for conversion from the source currency to the target currency for CI trade purposes.,Conversion Rate,PaymentCurrencyExchangeConversionRate,ConversionRate,/SMEConsolidatedSelfInvoice/CIIHSupplyChainTradeTransaction/ApplicableCIIHSupplyChainTradeSettlement/PaymentApplicableCITradeCurrencyExchange/ConversionRate
v4,282,UN01005745,BBIE,A,4,為替レート日時,0..1,0..1,3896,CI_ Trade_ Currency Exchange,7,,Conversion Rate,Date Time,,為替交換レートの適用日。,,,CI_ Trade_ Currency Exchange. Conversion Rate. Date Time,"The date, time, date time or other date time value of the conversion rate for this CI trade currency exchange.",Conversion Rate Date Time,PaymentCurrencyExchangeConversionRateDateTime,ConversionRateDateTime,/SMEConsolidatedSelfInvoice/CIIHSupplyChainTradeTransaction/ApplicableCIIHSupplyChainTradeSettlement/PaymentApplicableCITradeCurrencyExchange/ConversionRateDateTime
v4,283,UN01005923,ASBIE,C,3,インボイス文書決済／支払手段グループ,0..n,0..n,2265,CIIH_ Supply Chain_ Trade Settlement,8,,Specified,,CI_ Trade Settlement_ Payment Means,インボイス文書決済に関する支払手段のグループ。,,,CIIH_ Supply Chain_ Trade Settlement. Specified. CI_ Trade Settlement_ Payment Means,A Cross Industry (CI) trade settlement payment means specified for this CIIH supply chain trade settlement.,Payment Means,TransactionPaymentMeans,SpecifiedCITradeSettlementPaymentMeans,/SMEConsolidatedSelfInvoice/CIIHSupplyChainTradeTransaction/ApplicableCIIHSupplyChainTradeSettlement/SpecifiedCITradeSettlementPaymentMeans
v4,285,UN01005672,BBIE,A,4,支払手段タイプコード,0..1,0..1,3807,CI_ Trade Settlement_ Payment Means,2,,Type,Code,,取引決済手段のタイプを識別するコード,UNCL4461,,CI_ Trade Settlement_ Payment Means. Type. Code,"The code specifying the type of CI trade settlement payment means, such as cash or cheque.",Type Code,PaymentMeansTypeCode,TypeCode,/SMEConsolidatedSelfInvoice/CIIHSupplyChainTradeTransaction/ApplicableCIIHSupplyChainTradeSettlement/SpecifiedCITradeSettlementPaymentMeans/TypeCode
v4,286,UN01011456,BBIE,A,4,支払手段情報,0..n,0..1,3811,CI_ Trade Settlement_ Payment Means,6,,Information,Text,,取引決済手段に関する情報,,,CI_ Trade Settlement_ Payment Means. Information. Text,"Information, expressed as text, for this CI trade settlement payment means.",Information,PaymentMeansInformationText,Information,/SMEConsolidatedSelfInvoice/CIIHSupplyChainTradeTransaction/ApplicableCIIHSupplyChainTradeSettlement/SpecifiedCITradeSettlementPaymentMeans/Information
v4.0.1,287,UN01015504,BBIE,A,4,支払金額,0..1,0..1,3812,CI_ Trade Settlement_ Payment Means,7,,Paid,Amount,,取引決済手段で支払う金額,,,CI_ Trade Settlement_ Payment Means. Paid. Amount,The monetary value paid or to be paid by this CI trade settlement payment means.,Paid Amount,PaymentMeansPaidAmount,PaidAmount,/SMEConsolidatedSelfInvoice/CIIHSupplyChainTradeTransaction/ApplicableCIIHSupplyChainTradeSettlement/SpecifiedCITradeSettlementPaymentMeans/PaidAmount
v1,288,UN01005677,ASBIE,C,4,支払手段／金融口座グループ,0..1,0..n,3814,CI_ Trade Settlement_ Payment Means,2,,Payee_ Party,,CI_ Creditor_ Financial Account,取引決済の支払手段に関する受取人である当事者の債権者金融口座のグループ,,,CI_ Trade Settlement_ Payment Means. Payee_ Party. CI_ Creditor_ Financial Account,The creditor financial account of the payee party for this CI trade settlement payment means.,Payee Creditor Financial Account,PaymentMeansPayeeCreditorFinancialAccount,PayeePartyCICreditorFinancialAccount,/SMEConsolidatedSelfInvoice/CIIHSupplyChainTradeTransaction/ApplicableCIIHSupplyChainTradeSettlement/SpecifiedCITradeSettlementPaymentMeans/PayeePartyCICreditorFinancialAccount
v1,290,UN01005400,BBIE,A,5,口座名義,0..1,0..1,3318,CI_ Creditor_ Financial Account,2,,Account Name,Text,,"債権者金融口座の、文字で表現された口座名。
半角カナ（日本の場合）",,,CI_ Creditor_ Financial Account. Account Name. Text,"The account name, expressed as text, of this CI creditor financial account.",Name,PaymentMeansPayeeCreditorFinancialAccountAccountName,AccountName,/SMEConsolidatedSelfInvoice/CIIHSupplyChainTradeTransaction/ApplicableCIIHSupplyChainTradeSettlement/SpecifiedCITradeSettlementPaymentMeans/PayeePartyCICreditorFinancialAccount/AccountName
v1,291,UN01005401,BBIE,A,5,口座番号,0..1,0..1,3319,CI_ Creditor_ Financial Account,3,,Proprietary_ Identification,Identifier,,債権者金融口座の一意の所有者ID。,,,CI_ Creditor_ Financial Account. Proprietary_ Identification. Identifier,The unique proprietary identifier for this CI creditor financial account.,Proprietary ID,PaymentMeansPayeeCreditorFinancialAccountProprietaryID,ProprietaryID,/SMEConsolidatedSelfInvoice/CIIHSupplyChainTradeTransaction/ApplicableCIIHSupplyChainTradeSettlement/SpecifiedCITradeSettlementPaymentMeans/PayeePartyCICreditorFinancialAccount/ProprietaryID
v4,292,UN01012127,BBIE,A,5,口座種別コード,0..1,0..1,3320,CI_ Creditor_ Financial Account,4,,Type,Code,,債権者金融口座種別のコード。,預金項目コード,,CI_ Creditor_ Financial Account. Type. Code,The code specifying the type of financial account for this CI creditor.,Type Code,PaymentMeansPayeeCreditorFinancialAccountTypeCode,TypeCode,/SMEConsolidatedSelfInvoice/CIIHSupplyChainTradeTransaction/ApplicableCIIHSupplyChainTradeSettlement/SpecifiedCITradeSettlementPaymentMeans/PayeePartyCICreditorFinancialAccount/TypeCode
v1,293,UN01005679,ASBIE,C,4,支払手段／金融機関グループ,0..1,0..n,3816,CI_ Trade Settlement_ Payment Means,4,,Payee_ Specified,,CI_ Creditor_ Financial Institution,取引決済の支払手段に対して特定された受取人である当事者の債権者金融機関のグループ,,,CI_ Trade Settlement_ Payment Means. Payee_ Specified. CI_ Creditor_ Financial Institution,The creditor financial institution of the payee party specified for this CI trade settlement payment means.,Payee Creditor Financial Institution,PaymentMeansPayeeCreditorFinancialInstitution,PayeeSpecifiedCICreditorFinancialInstitution,/SMEConsolidatedSelfInvoice/CIIHSupplyChainTradeTransaction/ApplicableCIIHSupplyChainTradeSettlement/SpecifiedCITradeSettlementPaymentMeans/PayeeSpecifiedCICreditorFinancialInstitution
v1,295,UN01005426,BBIE,A,5,金融機関名,0..1,0..1,3345,CI_ Creditor_ Financial Institution,24,,Name,Text,,債権者金融機関の、文字で表現された名前。,,,CI_ Creditor_ Financial Institution. Name. Text,"The name, expressed as text, for this CI creditor financial institution.",Name,PaymentMeansPayeeCreditorFinancialInstitutionName,Name,/SMEConsolidatedSelfInvoice/CIIHSupplyChainTradeTransaction/ApplicableCIIHSupplyChainTradeSettlement/SpecifiedCITradeSettlementPaymentMeans/PayeeSpecifiedCICreditorFinancialInstitution/Name
v1,296,UN01011521,BBIE,A,5,金融機関番号,0..1,0..1,3346,CI_ Creditor_ Financial Institution,25,,Japan Financial Institution Common_ Identification,Identifier,,債権者の金融機関番号（日本の場合）,,,CI_ Creditor_ Financial Institution. Japan Financial Institution Common_ Identification. Identifier,The Japan Financial Institution Common identifier as assigned by the Japanese Bankers Association for this CI creditor financial institution.,Japan Financial Institution Common ID,PaymentMeansPayeeCreditorFinancialInstitutionJapanFinancialInstitutionCommonID,JapanFinancialInstitutionCommonID,/SMEConsolidatedSelfInvoice/CIIHSupplyChainTradeTransaction/ApplicableCIIHSupplyChainTradeSettlement/SpecifiedCITradeSettlementPaymentMeans/PayeeSpecifiedCICreditorFinancialInstitution/JapanFinancialInstitutionCommonID
v1,297,UN01005428,ASBIE,C,5,金融機関／金融機関支店グループ,0..1,0..1,3348,CI_ Creditor_ Financial Institution,2,,Sub-Division,,Branch_ Financial Institution,債権者金融機関の支店金融機関グループ,,,CI_ Creditor_ Financial Institution. Sub-Division. Branch_ Financial Institution,The sub-division (branch) financial institution for this CI creditor financial institution.,Branch,PaymentMeansPayeeCreditorFinancialInstitutionSub-DivisionBranchFinancialInstitution,Sub-DivisionBranchFinancialInstitution,/SMEConsolidatedSelfInvoice/CIIHSupplyChainTradeTransaction/ApplicableCIIHSupplyChainTradeSettlement/SpecifiedCITradeSettlementPaymentMeans/PayeeSpecifiedCICreditorFinancialInstitution/Sub-DivisionBranchFinancialInstitution
v1,299,UN01003139,BBIE,A,6,金融機関支店番号,0..1,0..1,1800,Branch_ Financial Institution,1,,Identification,Identifier,,金融機関のこの支店の一意ID,,,Branch_ Financial Institution. Identification. Identifier,The unique identifier for this branch of a financial institution.,ID,PaymentMeansPayeeCreditorSub-DivisionBranchFinancialInstitutionID,ID,/SMEConsolidatedSelfInvoice/CIIHSupplyChainTradeTransaction/ApplicableCIIHSupplyChainTradeSettlement/SpecifiedCITradeSettlementPaymentMeans/PayeeSpecifiedCICreditorFinancialInstitution/Sub-DivisionBranchFinancialInstitution/ID
v1,300,UN01003140,BBIE,A,6,金融機関支店名,0..1,0..1,1801,Branch_ Financial Institution,2,,Name,Text,,金融機関のこの支店の、文字で表現された名前,,,Branch_ Financial Institution. Name. Text,"The name, expressed as text, for this branch of a financial institution.",Name,PaymentMeansPayeeCreditorSub-DivisionBranchFinancialInstitutionName,Name,/SMEConsolidatedSelfInvoice/CIIHSupplyChainTradeTransaction/ApplicableCIIHSupplyChainTradeSettlement/SpecifiedCITradeSettlementPaymentMeans/PayeeSpecifiedCICreditorFinancialInstitution/Sub-DivisionBranchFinancialInstitution/Name
v4,301,UN01006057,ASBIE,C,4,支払手段／金融カードグループ,0..1,0..1,3817,CI_ Trade Settlement_ Payment Means,5,,Applicable,,Trade Settlement_ Financial Card,支払手段の金融カードに関するグループ,,,CI_ Trade Settlement_ Payment Means. Applicable. Trade Settlement_ Financial Card,The trade settlement financial card applicable to this CI trade settlement payment means.,Financial Card,PaymentMeansFinancialCard,ApplicableTradeSettlementFinancialCard,/SMEConsolidatedSelfInvoice/CIIHSupplyChainTradeTransaction/ApplicableCIIHSupplyChainTradeSettlement/SpecifiedCITradeSettlementPaymentMeans/ApplicableTradeSettlementFinancialCard
v4,303,UN01004495,BBIE,A,5,金融カード番号,0..1,1..1,7924,Trade Settlement_ Financial Card,2,PK,Identification,Identifier,,支払人の金融カード番号,,,Trade Settlement_ Financial Card. Identification. Identifier,"The unique identifier, commonly known as the card number, of this trade settlement financial card.",ID,PaymentMeansFinancialCardID,ID,/SMEConsolidatedSelfInvoice/CIIHSupplyChainTradeTransaction/ApplicableCIIHSupplyChainTradeSettlement/SpecifiedCITradeSettlementPaymentMeans/ApplicableTradeSettlementFinancialCard/ID
v4,304,UN01004496,BBIE,A,5,金融カードタイプ,0..1,0..1,7925,Trade Settlement_ Financial Card,3,,Type,Code,,金融カードのタイプ,,,Trade Settlement_ Financial Card. Type. Code,"The code specifying the type of this trade settlement financial card, such as debit or credit.",Type Code,PaymentMeansFinancialCardTypeCode,TypeCode,/SMEConsolidatedSelfInvoice/CIIHSupplyChainTradeTransaction/ApplicableCIIHSupplyChainTradeSettlement/SpecifiedCITradeSettlementPaymentMeans/ApplicableTradeSettlementFinancialCard/TypeCode
