seq,layer,UNID,kind,level,DEN
291,明細部,UN01005713,BBIE,10,CI_ Trade_ Allowance Charge. Actual. Amount
292,明細部,UN01005714,BBIE,10,CI_ Trade_ Allowance Charge. Reason. Code
293,明細部,UN01005715,BBIE,10,CI_ Trade_ Allowance Charge. Reason. Text
294,明細部,UN01005716,ASBIE,10,CI_ Trade_ Allowance Charge. Category. CI_ Trade_ Tax
295,明細部,UN01005832,ABIE,11,CI_ Trade_ Tax. Details
296,明細部,UN01005841,BBIE,12,CI_ Trade_ Tax. Category. Code
297,明細部,UN01007174,BBIE,12,CI_ Trade_ Tax. Rate_ Applicable. Percent
298,明細部,UN01014644,ASBIE,8,CIILB_ Supply Chain_ Trade Settlement. Specified. CI_ Trade_ Allowance Charge
299,明細部,UN01005706,ABIE,9,CI_ Trade_ Allowance Charge. Details
300,明細部,UN01005707,BBIE,10,CI_ Trade_ Allowance Charge. Charge. Indicator
301,明細部,UN01005713,BBIE,10,CI_ Trade_ Allowance Charge. Actual. Amount
302,明細部,UN01005714,BBIE,10,CI_ Trade_ Allowance Charge. Reason. Code
303,明細部,UN01005715,BBIE,10,CI_ Trade_ Allowance Charge. Reason. Text
304,明細部,UN01005716,ASBIE,10,CI_ Trade_ Allowance Charge. Category. CI_ Trade_ Tax
305,明細部,UN01005832,ABIE,11,CI_ Trade_ Tax. Details
306,明細部,UN01005841,BBIE,12,CI_ Trade_ Tax. Category. Code
307,明細部,UN01007174,BBIE,12,CI_ Trade_ Tax. Rate_ Applicable. Percent
308,明細部,UN01014894,ASBIE,8,CIILB_ Supply Chain_ Trade Settlement. Billing. CI_ Specified_ Period
309,明細部,UN01005608,ABIE,9,CI_ Specified_ Period. Details
310,明細部,UN01005612,BBIE,10,CI_ Specified_ Period. Start. Date Time
311,明細部,UN01005613,BBIE,10,CI_ Specified_ Period. End. Date Time
312,明細部,JPSxxxxxxxx,ASBIE,8,CIILB_ Supply Chain_ Trade Settlement. Receivable_ Specified. CI_ Trade_ Accounting Account
313,ヘッダ部,UN01005680,ABIE,9,CI_ Trade_ Accounting Account. Details
314,明細部,UN01005681,BBIE,10,CI_ Trade_ Accounting Account. Identification. Identifier
315,明細部,UN01005683,BBIE,10,CI_ Trade_ Accounting Account. Type. Code
316,明細部,UN01005685,BBIE,10,CI_ Trade_ Accounting Account. Name. Text
317,明細部,UN01010016,ASBIE,6,CIILB_ Subordinate_ Trade Line Item. Applicable. CI_ Trade_ Product
318,明細部,UN01005809,ABIE,7,CI_ Trade_ Product. Details
319,明細部,UN01005810,BBIE,8,CI_ Trade_ Product. Identification. Identifier
320,明細部,UN01005815,BBIE,8,CI_ Trade_ Product. Name. Text
321,明細部,UN01005817,BBIE,8,CI_ Trade_ Product. Description. Text
322,,,END,,
,,,,,
【凡例】,,,,,
"中小企業共通EDI
マッピング",,◎,適格請求書に記載が必要な「法的必須」情報項目,,
,,（◎）,同じクラス内のいずれかの情報項目の記載が「法的必須」,,
,,○,中小企業共通EDI対応業務アプリの「共通必須」情報情報項目,,
,,（○）,同じクラス内のいずれかの情報項目の記載が「必須」,,
,,●,「選択必須」情報項目。この情報項目を利用する場合は「必須」。利用しない場合はデフォルトで運用と見做す,,
,,△,ユーザー非公開。共通EDIプロバイダがデータセット,,
,,＊,すべての業種に共通して利用する「共通任意」情報項目,,
,,◇,「中小業界必須」情報項目,,
,,＋,「中小業界任意」情報項目,,
,,□,税込会計対応のために追加した情報項目,,
,,■,源泉所得税のために追加した情報項目,,
,,▼,修正適格請求書等（修正差額調整）のために追加した情報項目,,
,,▶,違算（請求と入金の不突合）のために追加した情報項目,,
,,▽,取引と会計のデータ連携のために追加した情報項目,,
,,※,税理士が会計システムへ取引データ入力時に利用する情報項目,,
,,（※）,将来取引データプラットフォームの確定時に利用する情報項目,,
,,,利用しない情報項目,,
"JP-PINT_v1.0
マッピング
（参考）",,☆,JP-PINT対応業務アプリの「必須」実装情報項目,,
,,★,JP-PINT対応業務アプリの「任意」実装情報項目。（★）は同じクラス内のいずれかの情報項目を利用する,,
,,空欄,JP-PINTには該当する情報項目はない,,
,,,共通EDIプロバイダはBIE表記載の全情報項目の共通EDIプロバイダ間交換が必須,,
,,,,,
【凡例２】,,,,,
,,制定/改定欄の黄色セル：標準ver.4.3で新設、又は改定された情報項目。v4.3と記載。,,,
