sequence,level,property_type,identifier,class_term,property_term,representation_term,associated_class,multiplicity,definition,acronym,DEN,version
235,2,Attribute,,Header_ Trade Agreement,Reference,Text,,0..inbounded,"A reference, expressed as text, for this header trade agreement.",BBIE,Header_ Trade Agreement. Reference. Text,January 2017
236,2,Attribute,,Header_ Trade Agreement,Buyer_ Reference,Text,,0..1,"A buyer reference, expressed as text, for this header trade agreement.",BBIE,Header_ Trade Agreement. Buyer_ Reference. Text,January 2017
237,2,Composition,,Header_ Trade Agreement,Seller,,Trade_ Party,0..1,The seller party for this header trade agreement.,ASBIE,Header_ Trade Agreement. Seller. Trade_ Party,January 2017
238,2,Composition,,Header_ Trade Agreement,Buyer,,Trade_ Party,0..1,The buyer party for this header trade agreement.,ASBIE,Header_ Trade Agreement. Buyer. Trade_ Party,January 2017
239,2,Composition,,Header_ Trade Agreement,Sales Agent,,Trade_ Party,0..1,The agent party representing the seller for this header trade agreement.,ASBIE,Header_ Trade Agreement. Sales Agent. Trade_ Party,January 2017
240,2,Composition,,Header_ Trade Agreement,Buyer_ Requisitioner,,Trade_ Party,0..n,A party who is a buyer requisitioner in this header trade agreement.,ASBIE,Header_ Trade Agreement. Buyer_ Requisitioner. Trade_ Party,January 2017
241,2,Composition,,Header_ Trade Agreement,Buyer_ Assigned Accountant,,Trade_ Party,0..1,The party assigned as an accountant by the buyer for this header trade agreement.,ASBIE,Header_ Trade Agreement. Buyer_ Assigned Accountant. Trade_ Party,January 2017
242,2,Composition,,Header_ Trade Agreement,Seller_ Assigned Accountant,,Trade_ Party,0..1,The party assigned as an accountant by the seller for this header trade agreement.,ASBIE,Header_ Trade Agreement. Seller_ Assigned Accountant. Trade_ Party,January 2017
243,2,Composition,,Header_ Trade Agreement,Buyer_ Tax Representative,,Trade_ Party,0..1,The party acting as a tax representative for the buyer for this header trade agreement.,ASBIE,Header_ Trade Agreement. Buyer_ Tax Representative. Trade_ Party,January 2017
244,2,Composition,,Header_ Trade Agreement,Seller_ Tax Representative,,Trade_ Party,0..1,The party acting as a tax representative for the seller for this header trade agreement.,ASBIE,Header_ Trade Agreement. Seller_ Tax Representative. Trade_ Party,January 2017
245,2,Composition,,Header_ Trade Agreement,Product End User,,Trade_ Party,0..1,The party acting as the end user for the products in this header trade agreement.,ASBIE,Header_ Trade Agreement. Product End User. Trade_ Party,January 2017
246,2,Composition,,Header_ Trade Agreement,Applicable,,Trade_ Delivery Terms,0..1,The terms of delivery applicable to this header trade agreement.,ASBIE,Header_ Trade Agreement. Applicable. Trade_ Delivery Terms,January 2017
247,2,Composition,,Header_ Trade Agreement,Seller_ Order,,Referenced_ Document,0..1,The seller generated order document referenced in this header trade agreement.,ASBIE,Header_ Trade Agreement. Seller_ Order. Referenced_ Document,January 2017
248,2,Composition,,Header_ Trade Agreement,Buyer_ Order,,Referenced_ Document,0..1,The buyer generated order document referenced in this header trade agreement.,ASBIE,Header_ Trade Agreement. Buyer_ Order. Referenced_ Document,January 2017
249,2,Composition,,Header_ Trade Agreement,Quotation,,Referenced_ Document,0..1,The quotation document referenced in this header trade agreement.,ASBIE,Header_ Trade Agreement. Quotation. Referenced_ Document,January 2017
250,2,Composition,,Header_ Trade Agreement,Order Response,,Referenced_ Document,0..1,The order response document referenced in this header trade agreement.,ASBIE,Header_ Trade Agreement. Order Response. Referenced_ Document,January 2017
251,2,Composition,,Header_ Trade Agreement,Contract,,Referenced_ Document,0..1,A contract document referenced in this header trade agreement.,ASBIE,Header_ Trade Agreement. Contract. Referenced_ Document,January 2017
252,2,Composition,,Header_ Trade Agreement,Demand Forecast,,Referenced_ Document,0..1,A demand forecast document referenced in this header trade agreement.,ASBIE,Header_ Trade Agreement. Demand Forecast. Referenced_ Document,January 2017
253,2,Composition,,Header_ Trade Agreement,Supply Instruction,,Referenced_ Document,0..1,A supply instruction document referenced in this header trade agreement.,ASBIE,Header_ Trade Agreement. Supply Instruction. Referenced_ Document,January 2017
254,2,Composition,,Header_ Trade Agreement,Promotional Deal,,Referenced_ Document,0..1,The promotional deal document referenced in this header trade agreement.,ASBIE,Header_ Trade Agreement. Promotional Deal. Referenced_ Document,January 2017
255,2,Composition,,Header_ Trade Agreement,Price List,,Referenced_ Document,0..1,The price list document referenced in this header trade agreement.,ASBIE,Header_ Trade Agreement. Price List. Referenced_ Document,January 2017
256,2,Composition,,Header_ Trade Agreement,Additional,,Referenced_ Document,0..n,An additional document referenced in this header trade agreement.,ASBIE,Header_ Trade Agreement. Additional. Referenced_ Document,January 2017
257,2,Composition,,Header_ Trade Agreement,Requisitioner,,Referenced_ Document,0..n,A requisitioner document referenced in this header trade agreement.,ASBIE,Header_ Trade Agreement. Requisitioner. Referenced_ Document,January 2017
258,2,Composition,,Header_ Trade Agreement,Buyer Agent,,Trade_ Party,0..1,The buyer agent party for this header trade agreement.,ASBIE,Header_ Trade Agreement. Buyer Agent. Trade_ Party,January 2017
259,2,Composition,,Header_ Trade Agreement,Purchase_ Conditions,,Referenced_ Document,0..1,A purchase conditions document referenced in this header trade agreement.,ASBIE,Header_ Trade Agreement. Purchase_ Conditions. Referenced_ Document,January 2017
260,2,Composition,,Header_ Trade Agreement,Specified,,Procuring_ Project,0..1,A procuring project specified for this header chain trade agreement.,ASBIE,Header_ Trade Agreement. Specified. Procuring_ Project,January 2017
261,1,Class,,Header_ Trade Delivery,,,,,Shipping arrangements and movement of products and or services including despatch and delivery at a header level.,ABIE,Header_ Trade Delivery. Details,January 2017
262,2,Composition,,Header_ Trade Delivery,Related,,Supply Chain_ Consignment,0..1,"A consignment, at header level, related to this trade delivery.",ASBIE,Header_ Trade Delivery. Related. Supply Chain_ Consignment,January 2017
263,2,Composition,,Header_ Trade Delivery,Ship To,,Trade_ Party,0..1,"The ship to party, at header level, for this trade delivery.",ASBIE,Header_ Trade Delivery. Ship To. Trade_ Party,January 2017
264,2,Composition,,Header_ Trade Delivery,Ultimate_ Ship To,,Trade_ Party,0..1,"The ultimate ship to party, at header level, for this trade delivery.",ASBIE,Header_ Trade Delivery. Ultimate_ Ship To. Trade_ Party,January 2017
265,2,Composition,,Header_ Trade Delivery,Ship From,,Trade_ Party,0..1,"The ship from party, at header level, for this trade delivery.",ASBIE,Header_ Trade Delivery. Ship From. Trade_ Party,January 2017
266,2,Composition,,Header_ Trade Delivery,Actual_ Despatch,,Supply Chain_ Event,0..1,"An actual despatch event, at header level, for this trade delivery.",ASBIE,Header_ Trade Delivery. Actual_ Despatch. Supply Chain_ Event,January 2017
267,2,Composition,,Header_ Trade Delivery,Actual_ Pick-Up,,Supply Chain_ Event,0..1,"The actual pick-up event, at header level, for this trade delivery.",ASBIE,Header_ Trade Delivery. Actual_ Pick-Up. Supply Chain_ Event,January 2017
268,2,Composition,,Header_ Trade Delivery,Actual_ Delivery,,Supply Chain_ Event,0..1,"An actual delivery event, at header level, for this trade delivery.",ASBIE,Header_ Trade Delivery. Actual_ Delivery. Supply Chain_ Event,January 2017
269,2,Composition,,Header_ Trade Delivery,Actual_ Receipt,,Supply Chain_ Event,0..1,"The actual receipt event, at header level, for this trade delivery.",ASBIE,Header_ Trade Delivery. Actual_ Receipt. Supply Chain_ Event,January 2017
270,2,Composition,,Header_ Trade Delivery,Additional,,Referenced_ Document,0..n,"An additional document, at header level, referenced for this trade delivery.",ASBIE,Header_ Trade Delivery. Additional. Referenced_ Document,January 2017
271,2,Composition,,Header_ Trade Delivery,Despatch Advice,,Referenced_ Document,0..1,"The despatch advice document, at header level, referenced for this trade delivery.",ASBIE,Header_ Trade Delivery. Despatch Advice. Referenced_ Document,January 2017
272,2,Composition,,Header_ Trade Delivery,Receiving Advice,,Referenced_ Document,0..1,"A receiving advice document, at header level, referenced for this trade delivery.",ASBIE,Header_ Trade Delivery. Receiving Advice. Referenced_ Document,January 2017
273,2,Composition,,Header_ Trade Delivery,Delivery Note,,Referenced_ Document,0..1,"The delivery note document, at header level, referenced for this trade delivery.",ASBIE,Header_ Trade Delivery. Delivery Note. Referenced_ Document,January 2017
274,2,Composition,,Header_ Trade Delivery,Consumption Report,,Referenced_ Document,0..1,"The consumption report document, at header level, referenced for this trade delivery.",ASBIE,Header_ Trade Delivery. Consumption Report. Referenced_ Document,January 2017
275,2,Composition,,Header_ Trade Delivery,Previous_ Delivery,,Supply Chain_ Event,0..n,"A previous delivery event, at header level, for this trade delivery.",ASBIE,Header_ Trade Delivery. Previous_ Delivery. Supply Chain_ Event,January 2017
276,1,Class,,Header_ Trade Settlement,,,,,"The information, at a header level, that enables the reconciliation of a financial transaction, with the item(s) that the financial transaction is intended to settle, such as a commercial invoice.",ABIE,Header_ Trade Settlement. Details,January 2017
277,2,Attribute,,Header_ Trade Settlement,Due Payable,Amount,,0..n,"A monetary value that is an exact amount due and payable for this header trade settlement, such as the amount due to the creditor.",BBIE,Header_ Trade Settlement. Due Payable. Amount,January 2017
278,2,Attribute,,Header_ Trade Settlement,Creditor Reference Type,Code,,0..n,A code specifying the creditor reference type for this header trade settlement.,BBIE,Header_ Trade Settlement. Creditor Reference Type. Code,January 2017
279,2,Attribute,,Header_ Trade Settlement,Creditor Reference Type,Text,,0..n,"A creditor reference type, expressed as text, for this header trade settlement.",BBIE,Header_ Trade Settlement. Creditor Reference Type. Text,January 2017
280,2,Attribute,,Header_ Trade Settlement,Creditor Reference Issuer,Identifier,,0..n,An identifier of the creditor reference issuer for this header trade settlement.,BBIE,Header_ Trade Settlement. Creditor Reference Issuer. Identifier,January 2017
281,2,Attribute,,Header_ Trade Settlement,Creditor Reference,Identifier,,0..1,"The identifier of the creditor reference for this header trade settlement, such as a specific identifier assigned by the creditor to reference the financial transaction.",BBIE,Header_ Trade Settlement. Creditor Reference. Identifier,January 2017
282,2,Attribute,,Header_ Trade Settlement,Payment Reference,Text,,0..n,"A payment reference, expressed as text, for this header trade settlement.",BBIE,Header_ Trade Settlement. Payment Reference. Text,January 2017
283,2,Attribute,,Header_ Trade Settlement,Tax_ Currency,Code,,0..1,The code specifying the tax currency for this header trade settlement.,BBIE,Header_ Trade Settlement. Tax_ Currency. Code,January 2017
284,2,Attribute,,Header_ Trade Settlement,Invoice_ Currency,Code,,0..1,The code specifying the invoice currency for this header trade settlement.,BBIE,Header_ Trade Settlement. Invoice_ Currency. Code,January 2017
285,2,Attribute,,Header_ Trade Settlement,Payment_ Currency,Code,,0..1,The code specifying the payment currency for this header trade settlement.,BBIE,Header_ Trade Settlement. Payment_ Currency. Code,January 2017
286,2,Attribute,,Header_ Trade Settlement,Invoice Issuer_ Reference,Text,,0..1,"The invoice issuer reference, expressed as text, for this header trade settlement.",BBIE,Header_ Trade Settlement. Invoice Issuer_ Reference. Text,January 2017
287,2,Attribute,,Header_ Trade Settlement,Invoice,Date Time,,0..1,"The date, time, date time or other date time value of the invoice in this header trade settlement.",BBIE,Header_ Trade Settlement. Invoice. Date Time,January 2017
288,2,Attribute,,Header_ Trade Settlement,Next_ Invoice,Date Time,,0..n,"A date, time, date time or other date time value of a next invoice or invoices in this header trade settlement.",BBIE,Header_ Trade Settlement. Next_ Invoice. Date Time,January 2017
289,2,Attribute,,Header_ Trade Settlement,Credit Reason,Code,,0..1,The code specifying the reason for a credit being given in this header trade settlement.,BBIE,Header_ Trade Settlement. Credit Reason. Code,January 2017
290,2,Attribute,,Header_ Trade Settlement,Credit Reason,Text,,0..n,A textual description of the reason for a credit being given in this header trade settlement.,BBIE,Header_ Trade Settlement. Credit Reason. Text,January 2017
291,2,Composition,,Header_ Trade Settlement,Invoicer,,Trade_ Party,0..1,The party issuing the invoice for this header trade settlement.,ASBIE,Header_ Trade Settlement. Invoicer. Trade_ Party,January 2017
292,2,Composition,,Header_ Trade Settlement,Invoicee,,Trade_ Party,0..1,The party to whom an invoice is issued for this header trade settlement.,ASBIE,Header_ Trade Settlement. Invoicee. Trade_ Party,January 2017
293,2,Composition,,Header_ Trade Settlement,Payee,,Trade_ Party,0..1,A payee party for this header trade settlement.,ASBIE,Header_ Trade Settlement. Payee. Trade_ Party,January 2017
294,2,Composition,,Header_ Trade Settlement,Payer,,Trade_ Party,0..1,The payer party for this header trade settlement.,ASBIE,Header_ Trade Settlement. Payer. Trade_ Party,January 2017
295,2,Composition,,Header_ Trade Settlement,Tax_ Applicable,,Trade_ Currency Exchange,0..1,A currency exchange applicable to a tax in this header trade settlement.,ASBIE,Header_ Trade Settlement. Tax_ Applicable. Trade_ Currency Exchange,January 2017
296,2,Composition,,Header_ Trade Settlement,Invoice_ Applicable,,Trade_ Currency Exchange,0..1,The currency exchange applicable to the invoice in this header trade settlement.,ASBIE,Header_ Trade Settlement. Invoice_ Applicable. Trade_ Currency Exchange,January 2017
297,2,Composition,,Header_ Trade Settlement,Payment_ Applicable,,Trade_ Currency Exchange,0..1,The currency exchange applicable to the payment in this header trade settlement.,ASBIE,Header_ Trade Settlement. Payment_ Applicable. Trade_ Currency Exchange,January 2017
298,2,Composition,,Header_ Trade Settlement,Specified,,Trade Settlement_ Payment Means,0..n,A payment means specified for this header trade settlement.,ASBIE,Header_ Trade Settlement. Specified. Trade Settlement_ Payment Means,January 2017
299,2,Composition,,Header_ Trade Settlement,Applicable,,Trade_ Tax,0..n,A tax applicable to this header trade settlement.,ASBIE,Header_ Trade Settlement. Applicable. Trade_ Tax,January 2017
300,2,Composition,,Header_ Trade Settlement,Billing,,Specified_ Period,0..1,A billing period specified for this header trade settlement.,ASBIE,Header_ Trade Settlement. Billing. Specified_ Period,January 2017
301,2,Composition,,Header_ Trade Settlement,Specified,,Trade_ Allowance Charge,0..n,An allowance or charge specified for this header trade settlement.,ASBIE,Header_ Trade Settlement. Specified. Trade_ Allowance Charge,January 2017
302,2,Composition,,Header_ Trade Settlement,Subtotal_ Calculated,,Trade_ Tax,0..n,A tax subtotal calculated for this header trade settlement.,ASBIE,Header_ Trade Settlement. Subtotal_ Calculated. Trade_ Tax,January 2017
303,2,Composition,,Header_ Trade Settlement,Specified,,Logistics_ Service Charge,0..n,A logistics service charge specified for this header trade settlement.,ASBIE,Header_ Trade Settlement. Specified. Logistics_ Service Charge,January 2017
304,2,Composition,,Header_ Trade Settlement,Specified,,Trade_ Payment Terms,0..n,Payment terms specified for this header trade settlement.,ASBIE,Header_ Trade Settlement. Specified. Trade_ Payment Terms,January 2017
305,2,Composition,,Header_ Trade Settlement,Specified,,Trade Settlement Header_ Monetary Summation,0..1,The monetary summation totals specified for this header trade settlement.,ASBIE,Header_ Trade Settlement. Specified. Trade Settlement Header_ Monetary Summation,January 2017
306,2,Composition,,Header_ Trade Settlement,Specified,,Financial_ Adjustment,0..n,A financial adjustment specified for this header trade settlement.,ASBIE,Header_ Trade Settlement. Specified. Financial_ Adjustment,January 2017
307,2,Composition,,Header_ Trade Settlement,Invoice,,Referenced_ Document,0..1,The invoice document referenced by this header trade settlement.,ASBIE,Header_ Trade Settlement. Invoice. Referenced_ Document,January 2017
308,2,Composition,,Header_ Trade Settlement,Pro-Forma Invoice,,Referenced_ Document,0..1,The pro-forma invoice document referenced by this header trade settlement.,ASBIE,Header_ Trade Settlement. Pro-Forma Invoice. Referenced_ Document,January 2017
309,2,Composition,,Header_ Trade Settlement,Letter Of Credit,,Referenced_ Document,0..1,The letter of credit document referenced in this header trade settlement.,ASBIE,Header_ Trade Settlement. Letter Of Credit. Referenced_ Document,January 2017
310,2,Composition,,Header_ Trade Settlement,Factoring Agreement,,Referenced_ Document,0..n,A factoring agreement document referenced in this header trade settlement.,ASBIE,Header_ Trade Settlement. Factoring Agreement. Referenced_ Document,January 2017
311,2,Composition,,Header_ Trade Settlement,Factoring List,,Referenced_ Document,0..n,A factoring list document referenced in this header trade settlement.,ASBIE,Header_ Trade Settlement. Factoring List. Referenced_ Document,January 2017
312,2,Composition,,Header_ Trade Settlement,Payable_ Specified,,Trade_ Accounting Account,0..n,A payable accounting account specified for this header trade settlement.,ASBIE,Header_ Trade Settlement. Payable_ Specified. Trade_ Accounting Account,January 2017
313,2,Composition,,Header_ Trade Settlement,Receivable_ Specified,,Trade_ Accounting Account,0..n,A receivable accounting account specified for this header trade settlement.,ASBIE,Header_ Trade Settlement. Receivable_ Specified. Trade_ Accounting Account,January 2017
314,2,Composition,,Header_ Trade Settlement,Purchase_ Specified,,Trade_ Accounting Account,0..n,A purchase accounting account specified for this header trade settlement.,ASBIE,Header_ Trade Settlement. Purchase_ Specified. Trade_ Accounting Account,January 2017
315,2,Composition,,Header_ Trade Settlement,Sales_ Specified,,Trade_ Accounting Account,0..n,A sales accounting account specified for this header trade settlement.,ASBIE,Header_ Trade Settlement. Sales_ Specified. Trade_ Accounting Account,January 2017
316,2,Composition,,Header_ Trade Settlement,Specified,,Trade Settlement_ Financial Card,0..n,A financial card specified in this header trade settlement.,ASBIE,Header_ Trade Settlement. Specified. Trade Settlement_ Financial Card,January 2017
317,2,Composition,,Header_ Trade Settlement,Specified,,Advance_ Payment,0..n,An advance payment specified in this header trade settlement.,ASBIE,Header_ Trade Settlement. Specified. Advance_ Payment,January 2017
318,2,Composition,,Header_ Trade Settlement,Ultimate_ Payee,,Trade_ Party,0..1,An ultimate payee party in this header trade settlement.,ASBIE,Header_ Trade Settlement. Ultimate_ Payee. Trade_ Party,January 2017
319,1,Class,,Legal_ Organization,,,,,"An organization set up on a legal basis as a business, government body, department, charity, or financial institution.",ABIE,Legal_ Organization. Details,January 2017
320,2,Attribute,,Legal_ Organization,Legal Classification,Code,,0..1,"The code specifying the legal classification of this organization, such as Incorporated (Inc), Limited Liability Corporation (LLC) or non-profit.",BBIE,Legal_ Organization. Legal Classification. Code,January 2017
321,2,Attribute,,Legal_ Organization,Name,Text,,0..1,"A name, expressed as text, of this legally set up organization.",BBIE,Legal_ Organization. Name. Text,January 2017
322,2,Attribute,,Legal_ Organization,Identification,Identifier,,0..1,A unique identifier for this legally set up organization.,BBIE,Legal_ Organization. Identification. Identifier,January 2017
323,2,Attribute,,Legal_ Organization,Trading Business Name,Text,,0..1,"The trading business name, expressed as text, of this legally set up organization.",BBIE,Legal_ Organization. Trading Business Name. Text,January 2017
324,2,Composition,,Legal_ Organization,Postal,,Trade_ Address,0..1,A postal address for this legally set up organization.,ASBIE,Legal_ Organization. Postal. Trade_ Address,January 2017
325,2,Composition,,Legal_ Organization,Authorized,,Legal_ Registration,0..n,A legal registration authorized for this legally set up organization.,ASBIE,Legal_ Organization. Authorized. Legal_ Registration,January 2017
326,1,Class,,Legal_ Registration,,,,,The recording of items or details for a specific legal purpose.,ABIE,Legal_ Registration. Details,January 2017
327,2,Attribute,,Legal_ Registration,Type,Code,,0..1,A code specifying the type of this legal registration.,BBIE,Legal_ Registration. Type. Code,January 2017
328,2,Attribute,,Legal_ Registration,Identification,Identifier,,0..1,A unique identifier for this legal registration.,BBIE,Legal_ Registration. Identification. Identifier,January 2017
329,1,Class,,Line_ Trade Agreement,,,,,The contractual terms of a line trade agreement.,ABIE,Line_ Trade Agreement. Details,January 2017
330,2,Attribute,,Line_ Trade Agreement,Buyer_ Reference,Text,,0..1,"A buyer reference, expressed as text, for this line trade agreement.",BBIE,Line_ Trade Agreement. Buyer_ Reference. Text,January 2017
331,2,Composition,,Line_ Trade Agreement,Buyer_ Requisitioner,,Trade_ Party,0..n,A party who is a buyer requisitioner in this line trade agreement.,ASBIE,Line_ Trade Agreement. Buyer_ Requisitioner. Trade_ Party,January 2017
332,2,Composition,,Line_ Trade Agreement,Applicable,,Trade_ Delivery Terms,0..1,The terms of delivery applicable to this line trade agreement.,ASBIE,Line_ Trade Agreement. Applicable. Trade_ Delivery Terms,January 2017
333,2,Composition,,Line_ Trade Agreement,Seller_ Order,,Referenced_ Document,0..1,The seller generated order document referenced in this line trade agreement.,ASBIE,Line_ Trade Agreement. Seller_ Order. Referenced_ Document,January 2017
334,2,Composition,,Line_ Trade Agreement,Buyer_ Order,,Referenced_ Document,0..1,A buyer generated order document referenced in this line trade agreement.,ASBIE,Line_ Trade Agreement. Buyer_ Order. Referenced_ Document,January 2017
335,2,Composition,,Line_ Trade Agreement,Quotation,,Referenced_ Document,0..1,The quotation document referenced in this line trade agreement.,ASBIE,Line_ Trade Agreement. Quotation. Referenced_ Document,January 2017
336,2,Composition,,Line_ Trade Agreement,Contract,,Referenced_ Document,0..1,A contract document referenced in this line trade agreement.,ASBIE,Line_ Trade Agreement. Contract. Referenced_ Document,January 2017
337,2,Composition,,Line_ Trade Agreement,Demand Forecast,,Referenced_ Document,0..1,A demand forecast document referenced in this line trade agreement.,ASBIE,Line_ Trade Agreement. Demand Forecast. Referenced_ Document,January 2017
338,2,Composition,,Line_ Trade Agreement,Promotional Deal,,Referenced_ Document,0..1,The promotional deal document referenced in this line trade agreement.,ASBIE,Line_ Trade Agreement. Promotional Deal. Referenced_ Document,January 2017
339,2,Composition,,Line_ Trade Agreement,Additional,,Referenced_ Document,0..n,An additional document referenced in this line trade agreement.,ASBIE,Line_ Trade Agreement. Additional. Referenced_ Document,January 2017
340,2,Composition,,Line_ Trade Agreement,Gross Price_ Product,,Trade_ Price,0..1,A gross product price in this line trade agreement.,ASBIE,Line_ Trade Agreement. Gross Price_ Product. Trade_ Price,January 2017
341,2,Composition,,Line_ Trade Agreement,Net Price_ Product,,Trade_ Price,0..1,A net product price in this line trade agreement.,ASBIE,Line_ Trade Agreement. Net Price_ Product. Trade_ Price,January 2017
342,2,Composition,,Line_ Trade Agreement,Requisitioner,,Referenced_ Document,0..n,A requisitioner document referenced in this line trade agreement.,ASBIE,Line_ Trade Agreement. Requisitioner. Referenced_ Document,January 2017
343,2,Composition,,Line_ Trade Agreement,Item_ Seller,,Trade_ Party,0..1,"The item seller party, such as an auction item seller, for this line trade agreement.",ASBIE,Line_ Trade Agreement. Item_ Seller. Trade_ Party,January 2017
344,2,Composition,,Line_ Trade Agreement,Item_ Buyer,,Trade_ Party,0..1,"The item buyer party, such as an auction item buyer, for this line trade agreement.",ASBIE,Line_ Trade Agreement. Item_ Buyer. Trade_ Party,January 2017
345,2,Composition,,Line_ Trade Agreement,Included,,Specified_ Marketplace,0..1,A marketplace included in this line trade agreement.,ASBIE,Line_ Trade Agreement. Included. Specified_ Marketplace,January 2017
346,1,Class,,Line_ Trade Delivery,,,,,Shipping arrangements and movement of products and or services including despatch and delivery at a line level.,ABIE,Line_ Trade Delivery. Details,January 2017
347,2,Attribute,,Line_ Trade Delivery,Requested,Quantity,,0..1,"The quantity, at line level, requested for this trade delivery.",BBIE,Line_ Trade Delivery. Requested. Quantity,January 2017
348,2,Attribute,,Line_ Trade Delivery,Received,Quantity,,0..1,"The quantity, at line level, received for this trade delivery.",BBIE,Line_ Trade Delivery. Received. Quantity,January 2017
349,2,Attribute,,Line_ Trade Delivery,Despatched,Quantity,,0..1,The quantity despatched in this line trade delivery.,BBIE,Line_ Trade Delivery. Despatched. Quantity,January 2017
350,2,Attribute,,Line_ Trade Delivery,Billed,Quantity,,0..1,"The quantity, at line level, billed for in this trade delivery.",BBIE,Line_ Trade Delivery. Billed. Quantity,January 2017
351,2,Attribute,,Line_ Trade Delivery,Charge Free,Quantity,,0..1,"The quantity, at line level, free of charge, in this trade delivery.",BBIE,Line_ Trade Delivery. Charge Free. Quantity,January 2017
352,2,Attribute,,Line_ Trade Delivery,Package,Quantity,,0..1,"The number of packages, at line level, in this trade delivery.",BBIE,Line_ Trade Delivery. Package. Quantity,January 2017
353,2,Attribute,,Line_ Trade Delivery,Product_ Unit,Quantity,,0..1,"The number of product units, at line level, in this trade delivery.",BBIE,Line_ Trade Delivery. Product_ Unit. Quantity,January 2017
354,2,Attribute,,Line_ Trade Delivery,Per Package_ Unit,Quantity,,0..1,"The number of units per package, at line level, in this trade delivery.",BBIE,Line_ Trade Delivery. Per Package_ Unit. Quantity,January 2017
355,2,Attribute,,Line_ Trade Delivery,Net Weight,Measure,,0..1,"The measure, at line level, of the net weight (mass) of this trade delivery.",BBIE,Line_ Trade Delivery. Net Weight. Measure,January 2017
356,2,Attribute,,Line_ Trade Delivery,Gross Weight,Measure,,0..1,"The measure, at line level, of the gross weight (mass) of this line trade delivery.",BBIE,Line_ Trade Delivery. Gross Weight. Measure,January 2017
357,2,Attribute,,Line_ Trade Delivery,Theoretical Weight,Measure,,0..1,"The measure, at line level, of the theoretical weight of this trade delivery.",BBIE,Line_ Trade Delivery. Theoretical Weight. Measure,January 2017
358,2,Composition,,Line_ Trade Delivery,Specified,,Delivery_ Adjustment,0..n,"A delivery adjustment, at line level, specified for this trade delivery.",ASBIE,Line_ Trade Delivery. Specified. Delivery_ Adjustment,January 2017
359,2,Composition,,Line_ Trade Delivery,Included,,Supply Chain_ Packaging,0..n,"Packaging included, at line level, in this trade delivery.",ASBIE,Line_ Trade Delivery. Included. Supply Chain_ Packaging,January 2017
360,2,Composition,,Line_ Trade Delivery,Related,,Supply Chain_ Consignment,0..1,"A consignment, at line level, related to this line trade delivery.",ASBIE,Line_ Trade Delivery. Related. Supply Chain_ Consignment,January 2017
361,2,Composition,,Line_ Trade Delivery,Ship To,,Trade_ Party,0..1,"The ship to party, at line level, for this trade delivery.",ASBIE,Line_ Trade Delivery. Ship To. Trade_ Party,January 2017
362,2,Composition,,Line_ Trade Delivery,Ultimate_ Ship To,,Trade_ Party,0..1,"The ultimate ship to party, at line level, for this trade delivery.",ASBIE,Line_ Trade Delivery. Ultimate_ Ship To. Trade_ Party,January 2017
363,2,Composition,,Line_ Trade Delivery,Ship From,,Trade_ Party,0..1,"The ship from party, at line level, for this trade delivery.",ASBIE,Line_ Trade Delivery. Ship From. Trade_ Party,January 2017
364,2,Composition,,Line_ Trade Delivery,Actual_ Despatch,,Supply Chain_ Event,0..1,"An actual despatch event, at line level, for this trade delivery.",ASBIE,Line_ Trade Delivery. Actual_ Despatch. Supply Chain_ Event,January 2017
365,2,Composition,,Line_ Trade Delivery,Actual_ Pick-Up,,Supply Chain_ Event,0..1,"The actual pick-up event, at line level, for this trade delivery.",ASBIE,Line_ Trade Delivery. Actual_ Pick-Up. Supply Chain_ Event,January 2017
366,2,Composition,,Line_ Trade Delivery,Requested_ Delivery,,Supply Chain_ Event,0..1,"A delivery event, at line level, requested for this trade delivery.",ASBIE,Line_ Trade Delivery. Requested_ Delivery. Supply Chain_ Event,January 2017
367,2,Composition,,Line_ Trade Delivery,Actual_ Delivery,,Supply Chain_ Event,0..1,"An actual delivery event, at line level, for this trade delivery.",ASBIE,Line_ Trade Delivery. Actual_ Delivery. Supply Chain_ Event,January 2017
368,2,Composition,,Line_ Trade Delivery,Actual_ Receipt,,Supply Chain_ Event,0..1,"The actual receipt event, at line level, for this trade delivery.",ASBIE,Line_ Trade Delivery. Actual_ Receipt. Supply Chain_ Event,January 2017
369,2,Composition,,Line_ Trade Delivery,Additional,,Referenced_ Document,0..n,"An additional document, at line level, referenced for this trade delivery.",ASBIE,Line_ Trade Delivery. Additional. Referenced_ Document,January 2017
370,2,Composition,,Line_ Trade Delivery,Despatch Advice,,Referenced_ Document,0..1,"The despatch advice document, at line level, referenced for this trade delivery.",ASBIE,Line_ Trade Delivery. Despatch Advice. Referenced_ Document,January 2017
371,2,Composition,,Line_ Trade Delivery,Receiving Advice,,Referenced_ Document,0..1,"A receiving advice document, at line level, referenced for this trade delivery.",ASBIE,Line_ Trade Delivery. Receiving Advice. Referenced_ Document,January 2017
372,2,Composition,,Line_ Trade Delivery,Delivery Note,,Referenced_ Document,0..1,"The delivery note document, at line level, referenced for this trade delivery.",ASBIE,Line_ Trade Delivery. Delivery Note. Referenced_ Document,January 2017
373,2,Composition,,Line_ Trade Delivery,Consumption Report,,Referenced_ Document,0..1,"The consumption report document, at line level, referenced from this trade delivery.",ASBIE,Line_ Trade Delivery. Consumption Report. Referenced_ Document,January 2017
