UNID,short_name,short_name_ja,definition,definition_ja
UN01009662,Per Package Unit Quantity,パッケージ単位数量,The number of units per package in this CIILB supply chain trade delivery.,CIILB 従属取引明細行のサプライチェーン取引配送における1梱包あたりの製品単位数。
UN01014639,Billed Quantity,請求数量,The billed quantity of this CIILB supply chain trade delivery.,CIILB 従属取引明細行のサプライチェーン取引配送における請求数量。
UN01009663,Included Packaging,同梱パッケージ,Packaging included in this CIILB supply chain trade delivery.,CIILB 従属取引明細行のサプライチェーン取引配送に含まれる包装。
UN01014640,Actual Delivery Event,実際の配送イベント,The actual supply chain delivery event for a line item in this CIILB supply chain trade delivery.,CIILB 従属取引明細行のサプライチェーン取引配送における、明細行の実際のサプライチェーン配送イベント。
UN01009664,CIILB Trade Settlement,CIILB取引決済,The Cross Industry Invoice Line Breakdown (CIILB) information that enables the financial reconciliation of a supply chain transaction with the item(s) that the financial transaction is intended to settle.,サプライチェーン取引と、その財務取引が決済対象とする項目との金額調整を可能にする、CIILB 従属取引明細行の情報。
UN01014641,Direction Code,方向コード,The code specifying whether this CIILB supply chain trade settlement is an addition or a subtraction.,CIILB 従属取引明細行のサプライチェーン取引決済が加算か減算かを指定するコード。
UN01009665,Tax,税,The trade tax applicable to this CIILB supply chain trade settlement.,CIILB 従属取引明細行のサプライチェーン取引決済に適用される取引税。
UN01014642,Invoice Document,請求書書類,The invoice document referenced for this CIILB supply chain trade settlement.,CIILB 従属取引明細行のサプライチェーン取引決済に参照される請求書文書。
UN01014643,Specified Financial Adjustment,特定財務調整,A financial adjustment specified for this CIILB supply chain trade settlement.,CIILB 従属取引明細行のサプライチェーン取引決済に対して指定された金額調整。
UN01014644,Specified Allowance Charge,指定手当金,An allowance or charge specified for this CIILB supply chain trade settlement.,CIILB 従属取引明細行のサプライチェーン取引決済に対して指定された手当または課金。
UN01014894,Billing Period,請求期間,The billing period specified for this CIILB supply chain trade settlement.,CIILB 従属取引明細行のサプライチェーン取引決済に指定された請求期間。
UN01015534,Purchase Accounting Account,買い手会計アカウント,A purchase accounting account specified for this CIILB supply chain trade settlement.,CIILB 従属取引明細行のサプライチェーン取引決済に指定された購入会計勘定。
UN01005953,CIIL Document Line,CIIL文書明細行,A document line for this Cross Industry Invoice Line (CIIL).,CIILの文書行。
UN01005954,ID,ID,The unique identifier of the line of this CIIL document line.,CIILの文書行の行の一意の識別子。
UN01005955,Status Code,ステータスコード,The code specifying the status of this CIIL document line.,CIILの文書行のステータスを指定するコード。
UN01005956,Status Reason Code,ステータス理由コード,The code specifying the line status reason for this CIIL document line.,CIILの文書行の行ステータス理由を指定するコード。
UN01009058,Parent Line ID,親明細行ID,The identifier of the parent line of this CIIL document line.,CIILの文書行の親行の識別子。
UN01014645,Category Code,カテゴリーコード,The code specifying the category of this CIIL document line.,CIILの文書行のカテゴリを指定するコード。
UN01014646,Response Reason Code,応答理由コード,The code specifying the response reason of this CIIL document line.,CIILの文書行の応答理由を指定するコード。
UN01015600,Requested Response Type Code,要求された応答タイプコード,The code specifying the type of response requested for this CIIL document line.,CIILの文書行に対して要求される応答のタイプを指定するコード。
UN01005957,Note,注記,A Cross Industry (CI) note included in this CIIL document line.,CIILの文書行に含まれるインボイスの的注記。
UN01014895,Reference Document,参考資料,A document referenced from this CIIL document line.,CIILの文書行から参照される文書。
UN01005958,CIIL Trade Agreement,CIIL取引協定,The contractual terms applicable to a line item in a Cross Industry Invoice Line (CIIL) supply chain trade agreement.,CIILのサプライチェーン取引契約における行項目に適用される契約条件。
UN01008555,Buyer Reference Text,買い手参照テキスト,"The buyer reference, expressed as text, for this CIIL supply chain trade agreement.",CIILのサプライチェーン取引契約の買い手参照（テキストで表現）。
UN01005959,Delivery Terms,配送条件,The Cross Industry (CI) terms of delivery applicable to a line item in this CIIL supply chain trade agreement.,CIILのサプライチェーン取引契約のライン項目に適用される、インボイスの配送条件。
UN01005960,Seller Order Document,売り手注文書,The Cross Industry (CI) seller order document referenced from a line item in this CIIL supply chain trade agreement.,CIILのサプライチェーン取引契約のライン項目から参照されるインボイスの売り手注文文書。
UN01005961,Buyer Order Document,買い手注文書,The Cross Industry (CI) buyer order document referenced from a line item in this CIIL supply chain trade agreement.,CIILのサプライチェーン取引契約のライン項目から参照される、インボイスのバイヤー注文文書。
UN01005962,Quotation Document,見積書,The Cross Industry (CI) quotation document referenced from a line item in this CIIL supply chain trade agreement.,CIILのサプライチェーン取引契約の明細項目から参照される、インボイスの見積書。
UN01005963,Contract Document,契約書,The Cross Industry (CI) contract document referenced from a line item in this CIIL supply chain trade agreement.,CIILのサプライチェーン取引契約の明細項目から参照される、インボイスの契約文書。
UN01005964,Demand Forecast Document,需要予測文書,The Cross Industry (CI) demand forecast document referenced from a line item this CIIL supply chain trade agreement.,CIILのサプライチェーン取引契約の明細項目から参照される、インボイスの需要予測文書。
UN01005965,Additional Document,追加文書,An additional Cross Industry (CI) document referenced from a line item in this CIIL supply chain trade agreement.,CIILのサプライチェーン取引契約の行項目から参照される追加の文書。
UN01005966,Product Gross Price,商品総額,The Cross Industry (CI) gross product price in this CIIL supply chain trade agreement.,CIILのサプライチェーン取引契約におけるインボイスの総製品価格。
UN01005967,Product Net Price,商品の正味価格,The Cross Industry (CI) net product price in this CIIL supply chain trade agreement.,CIILのサプライチェーン取引契約におけるインボイスの正味製品価格。
UN01006059,Buyer Requisitioner,買い手の購買依頼者,A Cross Industry (CI) trade party who is a buyer requisitioner in this CIIL supply chain trade agreement.,CIILのサプライチェーン取引契約における買い手要求者である取引事業者。
UN01006062,Requisitioner Document,請求者文書,A requisitioner Cross Industry (CI) document referenced in this CIIL supply chain trade agreement.,CIILのサプライチェーン取引契約で参照される要求者文書。
UN01008556,Promotional Deal Document,プロモーション取引文書,The promotional deal document referenced in this CIIL supply chain trade agreement.,CIILのサプライチェーン取引契約で参照されるプロモーション取引文書。
UN01009666,Item Seller,アイテム売り手,The item seller party for this CIIL supply chain trade agreement.,CIILのサプライチェーン取引契約における品目売り手事業者。
UN01009667,Item Buyer,アイテム買い手,The item buyer party for this CIIL supply chain trade agreement.,CIILのサプライチェーン取引契約におけるアイテム買い手事業者。
UN01009668,Specified Marketplace,指定されたマーケットプレイス,The marketplace included in this CIIL supply chain trade agreement.,CIILのサプライチェーン取引契約に含まれるマーケットプレイス。
UN01005968,CIIL Trade Delivery,CIILトレードデリバリー,Supply chain shipping arrangements applicable to a line item for a Cross Industry Invoice Line (CIIL) supply chain trade delivery.,CIILのサプライチェーン取引納品における、行項目に適用されるサプライチェーン出荷手配。
UN01005969,Billed Quantity,請求数量,The quantity billed for a line item in this CIIL supply chain trade delivery.,CIILのサプライチェーン取引納品における品目ごとの請求数量。
UN01005970,Charge Free Quantity,無料数量,The quantity that is free of charge for a line item in this CIIL supply chain trade delivery.,CIILのサプライチェーン取引納品における当該品目の無償数量。
UN01005971,Package Quantity,パッケージ数量,The number of packages of a line item in this CIIL supply chain trade delivery.,CIILのサプライチェーン取引配送における明細行のパッケージ数。
UN01005972,Product Unit Quantity,製品単位数量,The number of product units of a line item in this CIIL supply chain trade delivery.,CIILのサプライチェーン取引納品における、行項目の製品単位数。
UN01005973,Per Package Unit Quantity,パッケージ単位数量,The number of units per package in this line item in this CIIL supply chain trade delivery.,CIILのサプライチェーン取引納品における本品目の1パッケージあたりの単位数。
UN01005974,Net Weight,正味重量,The measure of the net weight (mass) of a line item in this CIIL supply chain trade delivery.,CIILのサプライチェーン取引納品における明細行の正味重量（質量）の測定値。
UN01005975,Gross Weight,総重量,The measure of the gross weight (mass) of a line item in this CIIL supply chain trade delivery.,CIILのサプライチェーン取引配送における、行項目の総重量（質量）の測定値。
UN01005976,Theoretical Weight,理論重量,The measure of the theoretical weight of a line item in this CIIL supply chain trade delivery.,CIILのサプライチェーン取引配送における明細行の理論重量の測定値。
UN01011517,Requested Quantity,要求数量,The quantity requested for a line item in this CIIL supply chain trade delivery.,CIILのサプライチェーン取引配送における明細行の要求数量。
UN01011518,Received Quantity,受領数量,The quantity received for a line item in this CIIL supply chain trade delivery.,CIILのサプライチェーン取引配送における、明細行の受領数量。
UN01005977,Adjustment,調整,A Cross Industry (CI) delivery adjustment specified for a line item in this CIIL supply chain trade delivery.,CIILのサプライチェーン取引納品における行項目に対して指定されたインボイスの納品調整。
UN01005978,Included Packaging,同梱パッケージ,Cross Industry (CI) supply chain packaging for a line item included in this CIIL supply chain trade delivery.,CIILのサプライチェーン取引納品に含まれる品目のインボイスのサプライチェーン包装。
UN01005979,Consignment,委託,The Cross Industry (CI) supply chain consignment of a line item related to this CIIL supply chain trade delivery.,CIILのサプライチェーン取引配送に関連する行項目のインボイスのサプライチェーン委託。
UN01005980,Ship To Party,配送先事業者,The Cross Industry (CI) trade party who is the ship to party for a line item in this CIIL supply chain trade delivery.,CIILのサプライチェーン取引配送における行項目の出荷先である取引事業者。
UN01005981,Ultimate Ship To Party,最終配送先事業者,The Cross Industry (CI) trade party who is the ultimate ship to party for a line item in this CIIL supply chain trade delivery.,CIILのサプライチェーン取引配送における行項目の最終的な出荷先である取引事業者。
UN01005982,Ship From Party,配送元事業者,The Cross Industry (CI) trade party who is the ship from party for a line item in this CIIL supply chain trade delivery.,CIILのサプライチェーン取引配送における行項目の出荷元である取引先。
UN01005983,Actual Despatch Event,実際の発送イベント,The Cross Industry (CI) actual supply chain despatch event for a line item in this CIIL supply chain trade delivery.,CIILのサプライチェーン取引配送における、行項目に対するインボイスの実際のサプライチェーン発送イベント。
UN01005984,Actual Pick-Up Event,実際のピックアップイベント,The Cross Industry (CI) actual supply chain pick-up event for a line item in this CIIH supply chain trade delivery.,CIIHサプライチェーン取引配送における、行項目に対するインボイスの実際のサプライチェーン集荷イベント。
UN01005985,Requested Delivery Event,要求された配送イベント,The Cross Industry (CI) requested supply chain delivery event for a line item in this CIIL supply chain trade delivery.,CIILのサプライチェーン取引配送における、行項目に対するインボイスの要求サプライチェーン配送イベント。
UN01005986,Actual Delivery Event,実際の配送イベント,The Cross Industry (CI) actual supply chain delivery event for a line item in this CIIL supply chain trade delivery.,CIILのサプライチェーン取引配送における、行項目に対するインボイスの実際のサプライチェーン配送イベント。
UN01005987,Actual Receipt Event,実際の受領イベント,The Cross Industry (CI) actual supply chain receipt event for a line item in this CIIL supply chain trade delivery.,CIILのサプライチェーン取引配送における、行項目に対するインボイスの実際のサプライチェーン受領イベント。
UN01006039,Despatch Advice Document,発送通知書,The Cross Industry (CI) despatch advice document referenced from this CIIL supply chain trade delivery.,CIILのサプライチェーン取引配送から参照されるインボイスの発送通知文書。
UN01006040,Receiving Advice Document,受領案内文書,The Cross Industry (CI) receiving advice document referenced from this CIIL supply chain trade delivery.,CIILのサプライチェーン取引納品から参照されるインボイスの受領通知文書。
UN01006041,Delivery Note Document,納品書,The Cross Industry (CI) delivery note document referenced from this CIIL supply chain trade delivery.,CIILのサプライチェーン取引配送から参照されるインボイスの納品書文書。
UN01006042,Additional Document,追加文書,A Cross Industry (CI) additional document referenced from this CIIL supply chain trade delivery.,CIILのサプライチェーン取引納品から参照されるインボイスの追加文書。
UN01008616,Consumption Report Document,消費報告書,The consumption report document referenced from this CIIL supply chain trade delivery.,CIILのサプライチェーン取引納品から参照される消費レポート文書。
UN01005988,CIIL Trade Line Item,CIIL 取引明細,A collection of Cross Industry Invoice Line (CIIL) information specific to an item being used or reported on for supply chain trade purposes.,サプライチェーン取引目的で使用または報告される品目に固有のCIILの情報の集合。
UN01005989,Document Line,文書明細行,The document line associated with this CIIL supply chain trade line item.,CIILのサプライチェーン取引明細項目に関連付けられた文書明細行。
UN01005990,Trade Agreement,取引協定,The CIIL supply chain trade agreement specified for this CIIL supply chain trade line item.,CIILのサプライチェーン取引明細項目に指定されたCIILのサプライチェーン取引契約。
UN01005991,Trade Delivery,取引配送,The CIIL supply chain trade delivery specified for this CIIL supply chain trade line item.,CIILのサプライチェーン取引明細項目に指定されたCIILのサプライチェーン取引納品。
UN01005992,Trade Settlement,取引決済,The CIIL supply chain trade settlement specified for this CIIL supply chain trade line item.,CIILのサプライチェーン取引明細項目に指定されているCIILのサプライチェーン取引決済。
UN01005993,Product,製品,The Cross Industry (CI) trade product specified for this CIIL supply chain trade line item.,CIILのサプライチェーン取引明細項目に指定されたインボイス取引製品。
UN01009669,Subordinate Trade Line Item,従属取引明細項目,A CIILB trade line item subordinate to this supply chain trade line item.,サプライチェーン取引明細項目に従属するCIILB 従属取引明細行の取引明細項目。
UN01005994,CIIL Trade Settlement,CIIL取引決済,The Cross Industry Invoice Line (CIIL) information that enables the financial reconciliation of a supply chain transaction with the item(s) that the financial transaction is intended to settle.,サプライチェーン取引と、その金融取引が決済対象とする項目との財務上の照合を可能にする、CIILの情報。
UN01005995,Payment Reference Text,支払い参照文書,"A payment reference, expressed as text, for this CIIL supply chain trade settlement.",CIILのサプライチェーン取引決済の支払参照（テキストで表現）。
UN01008774,Invoice Issuer Reference Text,請求書発行者参照文書,"The invoicer reference, expressed as text, for this CIIL supply chain trade settlement.",CIILのサプライチェーン取引決済の請求者参照（テキストで表現）。
UN01013029,Invoice Date Time,請求書発行日時,"The date, time, date time or other date time value of the invoice in this CIIL supply chain trade settlement.",CIILのサプライチェーン取引決済における請求書の日付、時刻、日付時刻、またはその他の日付時刻値。
UN01014647,Direction Code,方向コード,The code specifying whether this CIIL supply chain trade settlement is an addition or a subtraction.,CIILのサプライチェーン取引決済が加算か減算かを指定するコード。
UN01005996,Tax,税,A Cross Industry (CI) tax applicable to this CIIL supply chain trade settlement.,CIILのサプライチェーン取引決済に適用されるインボイスの税。
UN01005997,Billing Period,請求期間,The Cross Industry (CI) billing period specified for this CIIL supply chain trade settlement.,CIILのサプライチェーン取引決済に指定されたインボイスの請求期間。
UN01005998,Allowance/Charge,手当/料金,A Cross Industry (CI) allowance or charge specified for this CIIL supply chain trade settlement.,CIILのサプライチェーン取引決済に指定されたインボイスの手当または請求額。
UN01005999,Calculated Tax Subtotal,計算された税金小計,A Cross Industry (CI) tax subtotal calculated for this CIIL supply chain trade settlement.,CIILのサプライチェーン取引決済に対して計算されたインボイスの税小計。
UN01006000,Service Charge,サービス料,A Cross Industry (CI) logistics service charge specified for this CIIL supply chain trade settlement.,CIILのサプライチェーン取引決済に指定されたインボイスの物流サービス料。
UN01006001,Payment Terms,支払い条件,Cross Industry (CI) payment terms specified for this CIIL supply chain trade settlement.,CIILのサプライチェーン取引決済に指定されたインボイスの支払条件。
UN01006002,Monetary Summation,金銭合計,The CIIL trade settlement monetary summation specified for this CIIL supply chain trade settlement.,CIILのサプライチェーン取引決済に指定されたCIILの取引決済の合計金額。
UN01006003,Financial Adjustment,財政調整,A Cross Industry (CI) financial adjustment specified for this CIIL supply chain trade settlement.,CIILのサプライチェーン取引決済に指定されたインボイスの金額調整。
UN01006004,Invoice Document,請求書書類,The Cross Industry (CI) invoice document referenced from this CIIL supply chain trade settlement.,CIILのサプライチェーン取引決済から参照されるCI文書。
UN01006005,Additional Document,追加文書,An additional Cross Industry (CI) document referenced from this CIIL supply chain trade settlement.,CIILのサプライチェーン取引決済から参照される追加の文書。
UN01006073,Financial Card,金融カード,The financial card specified in this CIIL supply chain trade settlement.,CIILのサプライチェーン取引決済で指定された財務カード。
UN01006078,Accounts Payable,買掛金勘定,A payable Cross Industry (CI) accounting account specified for this CIIL supply chain trade settlement.,CIILのサプライチェーン取引決済に指定された支払用インボイスの会計勘定。
UN01006079,Accounts Receivable,売掛金,A receivable Cross Industry (CI) accounting account specified for this CIIL supply chain trade settlement.,CIILのサプライチェーン取引決済に指定された、受取側のインボイスの会計勘定。
UN01006080,Purchase Accounting Account,購入会計アカウント,A purchase Cross Industry (CI) accounting account specified for this CIIL supply chain trade settlement.,CIILのサプライチェーン取引決済に指定された購入インボイスの会計勘定。
UN01006081,Sales Accounting Account,売上会計アカウント,A sales Cross Industry (CI) accounting account specified for this CIIL supply chain trade settlement.,CIILのサプライチェーン取引決済に指定された売上インボイスの会計勘定。
UN01006006,CIIL Monetary Summation,CIIL 金銭合計,A collection of trade settlement monetary totals specified for this Cross Industry Invoice Line (CIIL).,CIILに対して指定された取引決済金額の合計の集合。
UN01006007,Deprecated Line Total Amount,廃止予定の行の合計金額,A monetary value of the line amount total being reported in this CIIL trade settlement monetary summation.,CIILの取引決済合計金額で報告される行合計金額の金額。
UN01006008,Charge Total Amount,請求合計金額,A monetary value of the total of all charge amounts being reported in this CIIL trade settlement monetary summation.,CIILの取引決済合計金額で報告される全請求金額の合計金額。
UN01006009,Allowance Total Amount,手当合計額,A monetary value of the total of all allowance amounts being reported in this CIIL trade settlement monetary summation.,CIILの取引決済合計金額で報告される、すべての手数料金額の合計金額。
UN01006010,Tax Basis Total Amount,課税標準合計額,A monetary value of the total of all tax basis amounts being reported in this CIIL trade settlement monetary summation.,CIILの取引決済合計金額で報告される全ての税ベース金額の合計金額。
UN01006011,Tax Total Amount,税金合計額,A monetary value of the total of all tax amounts being reported in this CIIL trade settlement monetary summation.,CIILの取引決済合計金額で報告される、すべての税額の合計金額。
UN01006012,Information Amount,情報量,A monetary value of an amount being reported for information in this CIIL trade settlement monetary summation.,CIILの取引決済金銭要約において情報提供のために報告される金額の金額。
UN01006013,Total Allowance/Charge Amount,合計控除額/請求額,A monetary value of a total allowance and charge reported in this CIIL trade settlement monetary summation.,CIILの取引決済合計金額で報告される、手当および費用の合計金額。
UN01008453,Product Weight Loss Amount,製品の重量減少量,"A monetary value of the loss of weight of a product, such as fresh goods, stated for information purposes in this CIIL trade settlement monetary summation.",CIILの取引決済合計金額において情報提供目的で記載される、生鮮品などの製品の重量損失の金額。
UN01008454,Total Retail Value Amount,合計小売価格,A monetary value which constitutes the total retail value stated for information purposes in this CIIL trade settlement monetary summation.,CIILの取引決済合計金額において情報提供目的で記載される小売総額を構成する金額。
UN01008455,Gross Line Total Amount,グロス明細行合計金額,"A monetary value of the line amount total, excluding line level allowances and charges and taxes, being reported in this CIIL trade settlement monetary summation.",CIILの取引決済合計金額において報告される、行レベルの手数料・割増金・税金を除く行合計金額の金額。
UN01008456,Net Line Total Amount,ネット明細行合計金額,"A monetary value of the line amount total, including line level allowances and charges and excluding line level taxes, being reported in this CIIL trade settlement monetary summation.",CIILの取引決済合計金額において報告される、行レベルの手数料・割増金を含み、行レベルの税金を除く、ライン金額総額の金額。
UN01008457,Net Line Total Amount Including Taxes,税込みネット明細行合計金額,"A monetary value of the line amount total, including line level allowances, charges, and taxes, being reported in this CIIL trade settlement monetary summation.",CIILの取引決済合計金額において報告される、行レベルの手数料、課徴金、税を含むライン金額総額の金額。
UN01011519,Grand Total Amount,合計金額,The monetary value of the grand total amount of this CIIL trade settlement monetary summation.,CIILの取引決済における金銭的総額の金額。
UN01013030,Line Total Amount Including Taxes,税込み合計金額,"The monetary value of the line total, including taxes, being reported in this CIIL trade settlement monetary summation.",CIILの取引決済合計金額において報告される、税込みの行合計金額の金額。
UN01015590,Advance Payment,前払い,A specific Cross Industry (CI) business arrangement whereby a prepaid discharge of obligations in respect of funds or securities is transferred between two or more parties.,資金または有価証券に関する義務の事前支払による免除を、2つ以上の事業者間で移転する特定の取引契約。
UN01015591,Paid Amount,支払金額,The monetary value of the funds or securities paid in this CI advance payment.,インボイスの前払金において支払われた資金または有価証券の金額。
UN01015592,Formatted Received Date Time,フォーマットされた受信日時,The formatted date or date time value when this CI advance payment has been received.,インボイスの前払いが受領された日付または日付時刻のフォーマット値。
UN01015593,ID,ID,The identifier for this CI advance payment.,インボイスの前払いの識別子。
UN01015594,Included Tax,税込,A trade tax included in this CI advance payment.,インボイスの前払いに含まれる取引税。
UN01015595,Invoice Document,請求書書類,An invoice document referenced by this CI advance payment.,インボイスの前払金が参照する請求書文書。
UN01015596,Payment Terms,支払い条件,The trade payment terms identified for this CI advance payment.,インボイスの前払金に指定された取引支払条件。
UN01005398,CI Creditor Financial Account,CI債権者金融口座,A specific Cross Industry (CI) business arrangement whereby credits arising from transactions are recorded.,取引から生じるクレジットを記録する特定のインボイスのビジネス取り決め。
UN01005399,IBAN ID,IBAN ID,The unique International Bank Account Number (IBAN) identifier for this CI creditor financial account.,インボイスの債権者金融口座の一意の国際銀行口座番号（IBAN）識別子。
UN01005400,Name,名前,"The account name, expressed as text, of this CI creditor financial account.",インボイスの債権者金融口座の口座名（テキスト表記）。
UN01005401,Proprietary ID,独自のID,The unique proprietary identifier for this CI creditor financial account.,インボイスの債権者金融口座の一意の固有識別子。
UN01012127,Type Code,タイプコード,The code specifying the type of financial account for this CI creditor.,インボイスの債権者の金融口座の種類を特定するコード。
UN01005402,CI Creditor Financial Institution,CI債権金融機関,"A bank, building society, credit union, stock brokerage, or similar business of the Cross Industry (CI) party that receives money.",資金を受け取るインボイスの事業者の銀行、住宅金融組合、信用組合、証券会社、または類似の事業体。
UN01005403,BIC ID,BIC ID,The unique Bank Identification Code (BIC) as defined in ISO 9362 for this CI creditor financial institution.,インボイスの債権者金融機関の、ISO 9362 で定義される固有の銀行識別コード (BIC)。
UN01005404,Clearing System Name,システム名のクリア,"The clearing system name, expressed as text, for this CI creditor financial institution.",インボイスの債権者金融機関の決済システム名をテキストで表現したもの。
UN01005405,CHIPS Universal ID,CHIPSユニバーサルID,The unique (United States) Clearing House Interbank Payments System (CHIPS) Universal Identification (UID) as assigned by the New York Clearing House for this CI creditor financial institution.,インボイスの債権者金融機関に対してニューヨーク決済機関が割り当てた、固有の（米国）決済機関間決済システム（CHIPS）ユニバーサル識別子（UID）。
UN01005406,New Zealand NCC ID,ニュージーランド NCC ID,The unique New Zealand National Clearing Code (NCC) identifier as assigned by the New Zealand Bankers' Association (NZBA) for this CI creditor financial institution.,インボイスの債権金融機関に対してニュージーランド銀行協会（NZBA）が割り当てた、固有のニュージーランド国内決済コード（NCC）識別子。
UN01005407,Irish NSC ID,アイルランドNSC ID,The unique Irish National Sorting Code (NSC) identifier as assigned by the Irish Payments Services Organisation (IPSO) for this CI creditor financial institution.,アイルランド決済サービス機構（IPSO）が、インボイスの債権金融機関に割り当てた固有のアイルランド国内仕分けコード（NSC）識別子。
UN01005408,UK Sort Code ID,英国ソートコードID,The unique United Kingdom (UK) Sort Code identifier as assigned by the UK Payment Association (APACS) for this CI creditor financial institution.,英国決済協会（APACS）が、インボイスの債権金融機関に割り当てた、英国（UK）固有のソートコード識別子。
UN01005409,CHIPS Participant ID,CHIPS参加者ID,The unique (United States) Clearing House Interbank Payment System (CHIPS) Participant Identifier (ID) as assigned by the New York Clearing House for this CI creditor financial institution.,インボイスの債権金融機関に対してニューヨーク決済機関が割り当てた、固有の（米国）決済機関間決済システム（CHIPS）参加者識別子（ID）。
UN01005410,Swiss BC ID,スイスBC ID,The unique Swiss Bank Code (BC) identifier for this CI creditor financial institution.,インボイスの債権金融機関に対する、固有のスイス銀行コード（BC）識別子。
UN01005411,Fedwire Routing Number ID,Fedwireルーティング番号ID,The unique Fedwire Routing Number identifier as assigned by the American Bankers Association (ABA) for this CI creditor financial institution.,米国銀行協会（ABA）が、インボイスの債権金融機関に割り当てた固有の Fedwire ルーティング番号識別子。
UN01005412,Portuguese NCC ID,ポルトガル語のNCC ID,The unique Portuguese National Clearing Code (NCC) identifier for this CI creditor financial institution.,インボイスの債権金融機関に対する、ポルトガル国内の固有の全国決済コード（NCC）識別子。
UN01005413,Russian Central Bank ID,ロシア中央銀行ID,The unique Russian Central Bank Identification Code identifier for this CI creditor financial institution.,インボイスの債権金融機関に割り当てられた、ロシア中央銀行識別コードの一意の識別子。
UN01005414,Italian Domestic ID,イタリア国内ID,The unique Italian Domestic Identification Code identifier as assigned by the Associazione Bancaria Italiana (ABI) for this CI creditor financial institution.,イタリア銀行協会（ABI）が、インボイスの債権金融機関に割り当てた固有のイタリア国内識別コード識別子。
UN01005415,Austrian Bankleitzahl ID,オーストリアのBankleitzahl ID,The unique Austrian Bankleitzahl identifier for this CI creditor financial institution.,インボイスの債権金融機関に対する、オーストリアの銀行識別番号（Bankleitzahl）の一意の識別子。
UN01005416,Canadian Payments Association ID,カナダ決済協会ID,The unique Canadian Payments Association Routing Number identifier for this CI creditor financial institution.,インボイスの債権金融機関に対する、カナダ決済協会（Canadian Payments Assoインボイスのation）の固有のルーティング番号識別子。
UN01005417,SIC ID,SIC ID,The unique Swiss Interbank Clearing (SIC) Code identifier for this CI creditor financial institution.,インボイスの債権金融機関に対する、スイス銀行間決済（SIC）コードの一意の識別子。
UN01005418,German Bankleitzahl ID,ドイツのBankleitzahl ID,The unique German Bankleitzahl identifier for this CI creditor financial institution.,インボイスの債権金融機関に割り当てられた、ドイツ銀行の固有の Bankleitzahl 識別子。
UN01005419,Spanish Domestic Interbanking ID,スペイン国内インターバンキングID,The unique Spanish Domestic Interbanking Code identifier as assigned by the Centro de Cooperacion Interbancaria (CCI) for this CI creditor financial institution.,インボイスの債権金融機関に対して、Centro de Cooperaインボイスのon Interbancaria (Cインボイスの) によって割り当てられた、スペイン国内の銀行間取引コードの固有識別子。
UN01005420,South African NCC ID,南アフリカのNCC ID,The unique South African National Clearing Code (NCC) identifier as assigned by the South African Bankers Services Company Ltd. (BankServ) for this CI creditor financial institution.,南アフリカ銀行サービス会社（BankServ）が、インボイスの債権金融機関に割り当てた、南アフリカ固有の全国決済コード（NCC）識別子。
UN01005421,Hong Kong Bank ID,香港銀行ID,The unique Hong Kong Bank Code identifier for this CI creditor financial institution.,インボイスの債権金融機関の固有の香港銀行コード識別子。
UN01005422,Australian BSB ID,オーストラリアBSB ID,The unique Australian Bank State Branch (BSB) Code identifier as assigned by the Australian Payments Clearing Association (APCA) for this CI creditor financial institution.,インボイスの債権金融機関に対して、オーストラリア決済協会（APCA）によって割り当てられた、オーストラリアの銀行州支店（BSB）コード識別子。
UN01005423,Indian Financial System ID,インド金融システムID,The unique Indian Financial System Code identifier for this CI creditor financial institution.,インボイスの債権金融機関に対する、インドの金融システムコード識別子。
UN01005424,Hellenic Bank ID,ギリシャ銀行ID,The unique Hellenic Bank Identification Code identifier for this CI creditor financial institution.,インボイスの債権金融機関に対する、ギリシャ銀行識別コード（Hellenic Bank Identification Code）の一意の識別子。
UN01005425,Polish National Clearing ID,ポーランド国民クリアリングID,The unique Polish National Clearing Code identifier for this CI creditor financial institution.,インボイスの債権金融機関に対する、ポーランドの全国決済コード識別子。
UN01005426,Name,名前,"The name, expressed as text, for this CI creditor financial institution.",インボイスの債権金融機関の名称（テキストで表現）。
UN01011521,Japan Financial Institution Common ID,日本金融機関共通ID,The Japan Financial Institution Common identifier as assigned by the Japanese Bankers Association for this CI creditor financial institution.,日本銀行協会が割り当てた、インボイスの債権金融機関の日本金融機関共通識別子。
UN01005427,Address,住所,The location address for this CI creditor financial institution.,インボイスの債権金融機関の所在地住所。
UN01005428,Branch,支店,The sub-division (branch) financial institution for this CI creditor financial institution.,インボイスの債権金融機関の支社（支店）金融機関。
UN01005471,CI Document Context Parameter,CI文書コンテキストパラメータ,A feature that is fixed for a particular Cross Industry (CI) document context.,特定の文書コンテキストに対して固定される機能。
UN01005472,ID,ID,The unique identifier of this CI document context parameter.,インボイスの文書コンテキストパラメータの一意の識別子。
UN01005473,Value Text,値テキスト,"The value, expressed as text, of this CI document context parameter.",インボイスの文書コンテキストパラメータの値（テキストで表現）。
UN01005474,Version,バージョン,The CI document version specified for this CI document context parameter.,インボイスの文書コンテキストパラメータに指定されたインボイスの文書のバージョン。
UN01005475,CI Document Version,CI文書バージョン,A specific variant of a Cross Industry (CI) document.,文書の特定のバリエーション。
UN01005476,ID,ID,The unique identifier for this CI document version.,インボイスの文書バージョンの固有識別子。
UN01005477,Name,名前,"The name, expressed as text, of this CI document version.",インボイスの文書バージョンの名前（テキストで表現）。
