sequence,group,UNID,acronym,name1,name2,name3,name4,name5,name6,name7,name8,name9,name10,name11,name12,name13,name14,label_local,definition_local,multiplicity,example,version,code_list,attribute,issueing_agency,input,value,selfbilling_statement,self_billing,selfbilling_exception,journal_entry,ver1,AH,JPPINT_ID,business_term,cardinality,,,,,,,,,,,,,,,,,,,,,,
88,ヘッダ部,UN01005692,BBIE,,,,,,,,CI_ Trade_ Address. Line One. Text,,,,,,,発注者住所1,発注者の住所1行目。,0..1,,v4,,,,,,,●,●,●,●,※,★,,IBT-050,? ?  Buyer address line 1,0..1,,,,,,,,,,,,,,,,,,,,
89,ヘッダ部,UN01011516,ASBIE,,,,CIIH_ Supply Chain_ Trade Agreement. Specified. Procuring_ Project,,,,,,,,,,,インボイス文書契約／プロジェクト調達グループ,プロジェクト調達に関するグループ,0..1,,v1,,,,,,,＊,＊,＊,＊,,  ,,  ,  ,  ,,,,,,,,,,,,,,,,,,,,
90,ヘッダ部,UN01000371,ABIE,,,,,Procuring_ Project. Details,,,,,,,,,,プロジェクト調達クラス,プロジェクト調達に関する情報のクラス,－,,v1,,,,,,,  ,  ,  ,  ,,  ,,  ,  ,  ,,,,,,,,,,,,,,,,,,,,
91,ヘッダ部,UN01000372,BBIE,,,,,,Procuring_ Project. Identification. Identifier,,,,,,,,,プロジェクトID,発注品に関するプロジェクト・工事案件等を管理するためのID。,0..1,,v1/v3,,,,,,,＊,＊,＊,＊,,  ,,  ,  ,  ,,,,,,,,,,,,,,,,,,,,
92,ヘッダ部,UN01000374,BBIE,,,,,,Procuring_ Project. Name. Text,,,,,,,,,プロジェクト名,発注品に関するプロジェクト・工事案件等の名称。,0..1,,v1/v3,,,,,,,＊,＊,＊,＊,,★,,IBT-011,Project reference,0..1,,,,,,,,,,,,,,,,,,,,
93,ヘッダ部,UN01005939,ASBIE,,CIIH_ Supply Chain_ Trade Transaction. Applicable. CIIH_ Supply Chain_ Trade Settlement,,,,,,,,,,,,,インボイス文書取引内容／決済グループ,決済に関するグループ,1..1,,v2, ,,     ,  ,     ,     ,●,●,●,●,,  ,,  ,  ,  ,,,,,,,,,,,,,,,,,,,,
94,ヘッダ部,UN01005909,ABIE,,,CIIH_ Supply Chain_ Trade Settlement. Details,,,,,,,,,,,,インボイス文書決済クラス,インボイス文書の決済に関する情報からなるクラス。,－,,v2, ,,     ,  ,     ,     , ,,,,,  ,,  ,  ,  ,,,,,,,,,,,,,,,,,,,,
95,ヘッダ部,UN01005913,BBIE,,,,CIIH_ Supply Chain_ Trade Settlement. Tax_ Currency. Code,,,,,,,,,,,税通貨コード,"税の通貨コード。
＝JPY（デフォルト）",0..1,,v4,,"通貨コード
ISO4217",ISO,"コード値
選択入力","デフォルト
＝JPY（日本円）",,●,●,●,●,,★,,IBT-006,Tax accounting currency,0..1,,,,,,,,,,,,,,,,,,,,
96,ヘッダ部,UN01005914,BBIE,,,,CIIH_ Supply Chain_ Trade Settlement. Invoice_ Currency. Code,,,,,,,,,,,文書通貨コード,"インボイス文書の通貨コード。
＝JPY（デフォルト）",1..1,,v4,,"通貨コード
ISO4217",ISO,"コード値
選択入力","デフォルト
＝JPY（日本円）",,●,●,●,●,,☆,,IBT-005,Invoice currency code,1..1,,,,,,,,,,,,,,,,,,,,
97,ヘッダ部,UN01005915,BBIE,,,,CIIH_ Supply Chain_ Trade Settlement. Payment_ Currency. Code,,,,,,,,,,,支払通貨コード,請求支払通貨コード（デフォルトはJPY）,0..1,,v4,,"通貨コード
ISO4217",ISO,"コード値
選択入力","デフォルト
＝JPY（日本円）",,＊,＊,＊,＊,,  ,,  ,  ,  ,,,,,,,,,,,,,,,,,,,,
98,ヘッダ部,UN01005939,ASBIE,,CIIH_ Supply Chain_ Trade Transaction. Applicable. CIIH_ Supply Chain_ Trade Settlement,,,,,,,,,,,,,インボイス文書取引／決済グループ,決済に関するグループ,1..1,,v2, ,,     ,  ,,,●,●,●,●,,  ,,  ,  ,  ,,,,,,,,,,,,,,,,,,,,
99,ヘッダ部,UN01005909,ABIE,,,CIIH_ Supply Chain_ Trade Settlement. Details,,,,,,,,,,,,インボイス文書決済クラス,インボイス文書の決済に関する情報からなるクラス。,－,,v2, ,,     ,  ,,, , ,  ,  ,,  ,,  ,  ,  ,,,,,,,,,,,,,,,,,,,,
100,ヘッダ部,UN01005923,ASBIE,,,,CIIH_ Supply Chain_ Trade Settlement. Specified. CI_ Trade Settlement_ Payment Means,,,,,,,,,,,インボイス文書決済／支払手段グループ,インボイス文書決済に関する支払手段のグループ。,0..n,,v4, ,,    , ,,,＊,＊,＊,＊,,★,,IBG-16,PAYMENT INSTRUCTIONS,0..n,,,,,,,,,,,,,,,,,,,,
101,ヘッダ部,UN01005670,ABIE,,,,,CI_ Trade Settlement_ Payment Means. Details,,,,,,,,,,支払手段クラス, 取引決済の目的で支払が行われる、あるいは行われた手段のクラス,－,,v4, ,,    , ,,, ,   ,  ,  ,,  ,,  ,  ,  ,,,,,,,,,,,,,,,,,,,,
102,ヘッダ部,UN01005672,BBIE,,,,,,CI_ Trade Settlement_ Payment Means. Type. Code,,,,,,,,,支払手段タイプコード,取引決済手段のタイプを識別するコード,0..1,,v4,UNCL4461,,UN/CEFACT, ,,,＊,＊,＊,＊,,★,,IBT-081,?  Payment means type code,1..1,,,,,,,,,,,,,,,,,,,,
103,ヘッダ部,UN01005677,ASBIE,,,,,,CI_ Trade Settlement_ Payment Means. Payee_ Party. CI_ Creditor_ Financial Account,,,,,,,,,支払手段／金融口座グループ,取引決済の支払手段に関する受取人である当事者の債権者金融口座のグループ,0..1,,v1, ,,    ,,,,●,●,●,●,,★,,IBG-17,?  CREDIT TRANSFER,0..1,,,,,,,,,,,,,,,,,,,,
104,ヘッダ部,UN01005398,ABIE,,,,,,,CI_ Creditor_ Financial Account. Details,,,,,,,,金融口座クラス,債権者の銀行口座のクラス,－,,v1, ,,    ,,,,　,　,　,　,,  ,,  ,  ,  ,,,,,,,,,,,,,,,,,,,,
105,ヘッダ部,UN01005400,BBIE,,,,,,,,CI_ Creditor_ Financial Account. Account Name. Text,,,,,,,口座名義,"債権者金融口座の、文字で表現された口座名。
半角カナ（日本の場合）",0..1,,v1,,,,,,,●,●,●,●,,★,,IBT-085,? ?  Payment account name,0..1,,,,,,,,,,,,,,,,,,,,
106,ヘッダ部,UN01005401,BBIE,,,,,,,,CI_ Creditor_ Financial Account. Proprietary_ Identification. Identifier,,,,,,,口座番号,債権者金融口座の一意の所有者ID。,0..1,,v1, ,,    ,,,,●,●,●,●,,★,,IBT-084,? ?  Payment account identifier,1..1,,,,,,,,,,,,,,,,,,,,
107,ヘッダ部,UN01012127,BBIE,,,,,,,,CI_ Creditor_ Financial Account. Type. Code,,,,,,,口座種別コード,債権者金融口座種別のコード。,0..1,,v4,預金項目コード,,全銀協,,,,●,●,●,●,,"★
口座番号に組込み",,  ,  ,  ,,,,,,,,,,,,,,,,,,,,
108,ヘッダ部,UN01005679,ASBIE,,,,,,CI_ Trade Settlement_ Payment Means. Payee_ Specified. CI_ Creditor_ Financial Institution,,,,,,,,,支払手段／金融機関グループ,取引決済の支払手段に対して特定された受取人である当事者の債権者金融機関のグループ,0..1,,v1, ,,    ,,,,●,●,●,●,,  ,,  ,  ,  ,,,,,,,,,,,,,,,,,,,,
109,ヘッダ部,UN01005402,ABIE,,,,,,,CI_ Creditor_ Financial Institution. Details,,,,,,,,金融機関クラス,金額を受け取る当事者の銀行、住宅金融組合、信用金庫、証券会社、あるいはそれと類似の事業機関。,－,,v1, ,,　,,,,,,＊,＊,,  ,,  ,  ,  ,,,,,,,,,,,,,,,,,,,,
110,ヘッダ部,UN01005426,BBIE,,,,,,,,CI_ Creditor_ Financial Institution. Name. Text,,,,,,,金融機関名,債権者金融機関の、文字で表現された名前。,0..1,,v1,,,,,,,●,●,●,●,,  ,,  ,  ,  ,,,,,,,,,,,,,,,,,,,,
111,ヘッダ部,UN01005428,ASBIE,,,,,,,,CI_ Creditor_ Financial Institution. Sub-Division. Branch_ Financial Institution,,,,,,,金融機関／金融機関支店グループ,債権者金融機関の支店金融機関グループ,0..1,,v1, ,,    ,,,,●,●,●,●,,  ,,  ,  ,  ,,,,,,,,,,,,,,,,,,,,
112,ヘッダ部,UN01003138,ABIE,,,,,,,,,Branch_ Financial Institution. Details,,,,,,金融機関支店クラス,銀行、住宅金融組合、信用金庫、証券会社、あるいはそれと類似の事業の部門のクラス。主に金融サービスと金融取引を提供するために設立された機関の支店。,－,,v1, ,,    ,,,,,,,,,  ,,  ,  ,  ,,,,,,,,,,,,,,,,,,,,
113,ヘッダ部,UN01003140,BBIE,,,,,,,,,,Branch_ Financial Institution. Name. Text,,,,,金融機関支店名,金融機関のこの支店の、文字で表現された名前,0..1,,v1,,,,,,,●,●,●,●,,  ,,  ,  ,  ,,,,,,,,,,,,,,,,,,,,
114,ヘッダ部,UN01006057,ASBIE,,,,,,CI_ Trade Settlement_ Payment Means. Applicable. Trade Settlement_ Financial Card,,,,,,,,,支払手段／金融カードグループ,支払手段の金融カードに関するグループ,0..1,,v4,,,,,,,＊,＊,＊,＊,,★ ,,IBG-18,?  PAYMENT CARD INFORMATION,0..1,,,,,,,,,,,,,,,,,,,,
115,ヘッダ部,UN01004493,ABIE,,,,,,,Trade Settlement_ Financial Card. Details,,,,,,,,金融カードクラス,支払人の金融カードのクラス,－,,v4,,,,,,, , , , ,,  ,,  ,  ,  ,,,,,,,,,,,,,,,,,,,,
116,ヘッダ部,UN01004495,BBIE,,,,,,,,Trade Settlement_ Financial Card. Identification. Identifier,,,,,,,金融カード番号,支払人の金融カード番号,1..1,,v4,,,,,,,＊,＊,＊,＊,,★,,IBT-087,? ?  Payment card primary account number,0..1,,,,,,,,,,,,,,,,,,,,
117,ヘッダ部,UN01004496,BBIE,,,,,,,,Trade Settlement_ Financial Card. Type. Code,,,,,,,金融カードタイプ,金融カードのタイプ,0..1,,v4,,,,,,,＊,＊,＊,＊,,  ,,  ,  ,  ,,,,,,,,,,,,,,,,,,,,
118,ヘッダ部,UN01004497,BBIE,,,,,,,,Trade Settlement_ Financial Card. Cardholder Name. Text,,,,,,,金融カード名義人名,支払人の金融カード名義人名,0..1,,v4,,,,,,,＊,＊,＊,＊,,★,,IBT-088,? ?  Payment card holder name,0..1,,,,,,,,,,,,,,,,,,,,
119,ヘッダ部,UN01009966,BBIE,,,,,,,,Trade Settlement_ Financial Card. Issuing Company Name. Text,,,,,,,金融カード発行企業名,金融カードの発行企業名,0..1,,v4,,,,,,,＊,＊,＊,＊,,  ,,  ,  ,  ,,,,,,,,,,,,,,,,,,,,
120,ヘッダ部,UN01005924,ASBIE,,,,CIIH_ Supply Chain_ Trade Settlement. Applicable. CI_ Trade_ Tax,,,,,,,,,,,インボイス文書決済／鑑ヘッダ税グループ,インボイス文書の鑑ヘッダの税に関するグループ,0..n,,v4,,,,,,,●,●,●,●,,  ,,  ,  ,  ,,,,,,,,,,,,,,,,,,,,
121,ヘッダ部,UN01005832,ABIE,,,,,CI_ Trade_ Tax. Details,,,,,,,,,,鑑ヘッダ税クラス,鑑ヘッダの税に関する情報からなるクラス,－,,v4,,,,,,, , ,,, ,  ,,  ,  ,  ,,,,,,,,,,,,,,,,,,,,
122,ヘッダ部,UN01005833,BBIE,,,,,,CI_ Trade_ Tax. Calculated. Amount,,,,,,,,,鑑ヘッダ課税分類税額,"鑑ヘッダの明細文書課税分類別税額の合計金額
鑑ヘッダでは複数明細文書税額の積み上げだけを行い、税額計算は行わない",0..1,,v4,,,,,,,＊,＊,＊,＊,  ,  ,,  ,  ,  ,,,,,,,,,,,,,,,,,,,,
123,ヘッダ部,UN01005841,BBIE,,,,,,CI_ Trade_ Tax. Category. Code,,,,,,,,,鑑ヘッダ課税分類コード,消費税[VAT」の課税分類（標準税率、軽減税率、非課税、免税、不課税）を識別するコード,0..1,,v4,UNCL5305,,UN/CEFACT, ,,,＊,＊,＊,＊,  ,  ,,  ,  ,  ,,,,,,,,,,,,,,,,,,,,
124,ヘッダ部,UN01005850,BBIE,,,,,,CI_ Trade_ Tax. Category Name. Text,,,,,,,,,鑑ヘッダ課税分類名,消費税の課税分類（標準税率、軽減税率、非課税、免税等）の名称,0..1,,v4,,,, ,,,＊,＊,＊,＊,  ,  ,,  ,  ,  ,,,,,,,,,,,,,,,,,,,,
125,ヘッダ部,UN01007174,BBIE,,,,,,CI_ Trade_ Tax. Rate_ Applicable. Percent,,,,,,,,,鑑ヘッダ税率,課税分類に対応する消費税率のパーセント表示,0..1,,v4, ,,    , ,,,＊,＊,＊,＊,  ,  ,,  ,  ,  ,,,,,,,,,,,,,,,,,,,,
126,ヘッダ部,UN01013096,BBIE,,,,,,CI_ Trade_ Tax. Calculation Method. Code,,,,,,,,,鑑ヘッダ税計算方式,"金額の税込み、税抜き指定の要否を指定
デフォルトは「空欄」（指定しない）",0..1,,v4,JECxxxx,,JEC, ,,,●,●,●,●,  ,  ,,  ,  ,  ,,,,,,,,,,,,,,,,,,,,
127,ヘッダ部,UN01014650,BBIE,,,,,,CI_ Trade_ Tax. Local Tax System. Identifier,,,,,,,,,鑑ヘッダ適用税制ID,"取引の税制年度を識別するID
デフォルトは「2019」（2019年度税制）",0..1,,v4,JECxxxx,,JEC, ,,,●,●,●,●,  ,  ,,  ,  ,  ,,,,,,,,,,,,,,,,,,,,
128,ヘッダ部,UN01005925,ASBIE,,,,CIIH_ Supply Chain_ Trade Settlement. Billing. CI_ Specified_ Period,,,,,,,,,,,インボイス文書決済／鑑ヘッダ取引期間グループ,インボイス文書の取引期間に関するグループ,0..1,,v4, ,,    , ,,,●,●,●,●,,  ,,  ,  ,  ,,,,,,,,,,,,,,,,,,,,
129,ヘッダ部,UN01005608,ABIE,,,,,CI_ Specified_ Period. Details,,,,,,,,,,鑑ヘッダ取引期間クラス,鑑ヘッダ取引期間に関する情報からなるクラス,－,,v4, ,,    , ,,, ,　,　,　,,  ,,  ,  ,  ,,,,,,,,,,,,,,,,,,,,
130,ヘッダ部,UN01005612,BBIE,,,,,,CI_ Specified_ Period. Start. Date Time,,,,,,,,,鑑ヘッダ取引開始日,インボイス文書の取引開始日,0..1,,v4,,,,,,,＊,＊,＊,＊,,★,,IBT-073,? ?  Invoicing period start date,0..1,,,,,,,,,,,,,,,,,,,,
131,ヘッダ部,UN01005613,BBIE,,,,,,CI_ Specified_ Period. End. Date Time,,,,,,,,,鑑ヘッダ取引終了日,インボイス文書の取引終了日,0..1,,v4,,,,,,,●,●,●,●,,★,,IBT-074,? ?  Invoicing period end date,0..1,,,,,,,,,,,,,,,,,,,,
132,ヘッダ部,UN01005929,ASBIE,,,,CIIH_ Supply Chain_ Trade Settlement. Specified. CI_ Trade_ Payment Terms,,,,,,,,,,,インボイス文書決済／支払条件グループ,インボイス文書の支払条件に関するグループ,0..n,,v4, ,,    ,,,,●,●,●,●,,★ ,,IBG-33,INVOICE TERMS,0..n,,,,,,,,,,,,,,,,,,,,
133,ヘッダ部,UN01005779,ABIE,,,,,CI_ Trade_ Payment Terms. Details,,,,,,,,,,支払条件クラス, 取引決済の目的で支払が行われる、あるいは行われた条件のクラス,－,,v4, ,,    ,,,, , , , ,,  ,,  ,  ,  ,,,,,,,,,,,,,,,,,,,,
134,ヘッダ部,UN01005783,BBIE,,,,,,CI_ Trade_ Payment Terms. Description. Text,,,,,,,,,支払条件説明,支払条件の文字による説明,0..1,,v4,,,, ,,,＊,＊,＊,＊,,★,,IBT-020,?  Payment terms,0..1,,,,,,,,,,,,,,,,,,,,
135,ヘッダ部,UN01005784,BBIE,,,,,,CI_ Trade_ Payment Terms. Due Date. Date Time,,,,,,,,,支払期日,支払条件で示された支払期日,0..1,,v4,,,,,,,●,●,●,●,,★,,IBT-009,Payment due date,0..1,,,,,,,,,,,,,,,,,,,,
136,ヘッダ部,UN01005930,ASBIE,,,,CIIH_ Supply Chain_ Trade Settlement. Specified. CIIH_ Trade Settlement_ Monetary Summation,,,,,,,,,,,インボイス文書決済／インボイス文書合計金額グループ,インボイス文書の合計金額に関するグループ,0..1,,v4, ,,    ,,,,○,○,○,○,,  ,,  ,  ,  ,,,,,,,,,,,,,,,,,,,,
137,ヘッダ部,UN01005941,ABIE,,,,,CIIH_ Trade Settlement_ Monetary Summation. Details,,,,,,,,,,インボイス文書合計金額クラス,インボイス文書の鑑ヘッダ合計金額に関する情報からなるクラス,－,,v4, ,,    ,,,,,,,,,  ,,  ,  ,  ,,,,,,,,,,,,,,,,,,,,
138,ヘッダ部,UN01005946,BBIE,,,,,,CIIH_ Trade Settlement_ Monetary Summation. Tax Total. Amount,,,,,,,,,鑑ヘッダ消費税総合計額,明細文書ヘッダ税クラスで算出した税率別消費税額の合計額,0..1,,v4,,,,,,,●,●,●,●,,  ,,  ,  ,  ,,,,,,,,,,,,,,,,,,,,
139,ヘッダ部,UN01005948,BBIE,,,,,,CIIH_ Trade Settlement_ Monetary Summation. Grand Total. Amount,,,,,,,,,鑑ヘッダ総合計金額（税込み）,=Σ明細文書ヘッダ譲渡資産合計金額(税抜き)+Σ明細文書ヘッダ返金・追加請求合計金額(税抜き)＋Σ明細文書ヘッダ消費税合計額,0..1,,v4,,,,,,,＊,＊,＊,＊,,  ,,  ,  ,  ,,,,,,,,,,,,,,,,,,,,
140,ヘッダ部,UN01005952,BBIE,,,,,,CIIH_ Trade Settlement_ Monetary Summation. Total Allowance Charge. Amount,,,,,,,,,鑑ヘッダ返金・追加請求合計金額（税抜き）,Σ明細文書ヘッダ返金・追加請求合計金額（税抜き）,0..1,,v4.3,,,,,,,＊,＊,＊,＊,,,,,,,,,,,,,,,,,,,,,,,,,,
141,ヘッダ部,UN01008445,BBIE,,,,,,CIIH_ Trade Settlement_ Monetary Summation. Due Payable. Amount,,,,,,,,,支払責務金額総合計,鑑ヘッダ総合計金額（税込み）ー前払合計金額＋未決済合計金額ーΣ鑑ヘッダ調整金額ーΣ鑑ヘッダ調整税額（税率別）,0..1,,v4,,,,,,,○,○,○,○,,☆,1,IBT-115,?  Amount due for payment,1..1,,,,,,,,,,,,,,,,,,,,
142,ヘッダ部,UN01008451,BBIE,,,,,,CIIH_ Trade Settlement_ Monetary Summation. Net_ Line Total. Amount,,,,,,,,,鑑ヘッダ譲渡資産合計金額(税抜き),∑明細文書ヘッダ譲渡資産合計金額(税抜き),0..1,,v4,,,,,,,●,●,●,●,,  ,,  ,  ,  ,,,,,,,,,,,,,,,,,,,,
143,ヘッダ部,UN01013091,BBIE,,,,,,CIIH_ Trade Settlement_ Monetary Summation. Including Taxes_ Line Total. Amount,,,,,,,,,鑑ヘッダ譲渡資産合計金額(税込み),∑明細文書ヘッダ譲渡資産合計金額（税込み）,0..1,,v4,,,,,,,□,□,□,□,,  ,,  ,  ,  ,,,,,,,,,,,,,,,,,,,,
144,ヘッダ部,UN01005931,ASBIE,,,,CIIH_ Supply Chain_ Trade Settlement. Specified. CI_ Financial_ Adjustment,,,,,,,,,,,"インボイス文書決済／鑑ヘッダ調整グループ
（修正差額調整）",インボイス文書の鑑ヘッダ調整に関するグループ,0..1,,v4, ,,    , ,,,▼,,▼,,,,  ,,  ,  ,,,,,,,,,,,,,,,,,,,,
145,ヘッダ部,UN01005487,ABIE,,,,,CI_ Financial_ Adjustment. Details,,,,,,,,,,鑑ヘッダ調整クラス,鑑ヘッダ調整に関する情報からなるクラス,－,,v4, ,,    , ,,, ,, ,, ,　,  ,,  ,  ,,,,,,,,,,,,,,,,,,,,
146,ヘッダ部,UN01005488,BBIE,,,,,,CI_ Financial_ Adjustment. Reason. Code,,,,,,,,,鑑ヘッダ調整理由コード（修正差額調整）,"鑑ヘッダ調整金額の内容を識別するコード
=62（修正差額調整＊デフォルト）",0..1,,v4,UNCL4465,,UN/CEFACT,コード値固定入力=,,,▼,,▼,,※,,  ,,  ,  ,,,,,,,,,,,,,,,,,,,,
147,ヘッダ部,UN01005489,BBIE,,,,,,CI_ Financial_ Adjustment. Reason. Text,,,,,,,,,鑑ヘッダ調整理由（修正差額調整）,鑑ヘッダ調整の内容説明,0..1,,v4,,,, ,,,▼,,▼,,※,,  ,,  ,  ,,,,,,,,,,,,,,,,,,,,
148,ヘッダ部,UN01005490,BBIE,,,,,,CI_ Financial_ Adjustment. Actual. Amount,,,,,,,,,鑑ヘッダ調整金額（修正差額調整合計額）,"鑑ヘッダ調整金額（鑑ヘッダで減額処理）
＜鑑ヘッダ調整理由コード=62（デフォルト）の場合＞
　＝前回インボイス金額ー修正インボイス金額",0..1,,v4,,,, ,,,▼,,▼,,※,,  ,,  ,  ,,,,,,,,,,,,,,,,,,,,
149,ヘッダ部,UN01014649,BBIE,,,,,,CI_ Financial_ Adjustment. Direction. Code,,,,,,,,,鑑ヘッダ調整取引方向コード,"鑑ヘッダ調整額の＋ーを識別するコード
マイナス金額を許容しない場合は必須",0..1,,v4,JECxxxx,,JEC, ,,,▼,,▼,,※,  ,,  ,  ,  ,,,,,,,,,,,,,,,,,,,,
150,ヘッダ部,UN01014897,ASBIE,,,,,,CI_ Financial_ Adjustment. Related. CI_ Trade_ Tax,,,,,,,,,鑑ヘッダ調整／調整税グループ,鑑ヘッダ調整の税率別税クラスに関するグループ,0..n,,v4, ,,    , ,,,▼,,▼,,,,  ,,  ,  ,,,,,,,,,,,,,,,,,,,,
151,ヘッダ部,UN01005832,ABIE,,,,,,,CI_ Trade_ Tax. Details,,,,,,,,鑑ヘッダ調整税クラス,鑑ヘッダ調整の税率別税クラス,－,,v4, ,,    , ,,, ,, ,,,,  ,,  ,  ,,,,,,,,,,,,,,,,,,,,
152,ヘッダ部,UN01005833,BBIE,,,,,,,,CI_ Trade_ Tax. Calculated. Amount,,,,,,,鑑ヘッダ調整税額（修正差額消費税額）（税率別）,"＜鑑ヘッダ調整理由コード=62（修正差額調整）の場合＞
鑑ヘッダの調整税額＝修正インボイス税額ー前回インボイス税額
＝Σ明細行調整金額（税抜き）×税率
または
＝Σ明細行調整金額（税込み）×1/(1+税率)",0..1,,v4,,,, ,,,▼,,▼,,※,,  ,,  ,  ,,,,,,,,,,,,,,,,,,,,
153,ヘッダ部,UN01005836,BBIE,,,,,,,,CI_ Trade_ Tax. Calculated. Rate,,,,,,,鑑ヘッダ調整税率,鑑ヘッダ調整の税率,0..1,,v4,,,, ,,,▼,,▼,,※,,  ,,  ,  ,,,,,,,,,,,,,,,,,,,,
154,ヘッダ部,UN01005839,BBIE,,,,,,,,CI_ Trade_ Tax. Basis. Amount,,,,,,,鑑ヘッダ調整課税資産合計金額（税率別）,＝Σ明細行調整金額（税率別）,0..1,,v4.3,,,,,,,▼,,▼,,※,,,  ,  ,  ,,,,,,,,,,,,,,,,,,,,
155,ヘッダ部,UN01005841,BBIE,,,,,,,,CI_ Trade_ Tax. Category. Code,,,,,,,鑑ヘッダ調整課税分類コード,鑑ヘッダ調整の課税分類コード,0..1,,v4,UNCL5305,,UN/CEFACT,"コード値
選択入力",,,▼,,▼,,※,,  ,,  ,  ,,,,,,,,,,,,,,,,,,,,
156,ヘッダ部,UN01005931,ASBIE,,,,CIIH_ Supply Chain_ Trade Settlement. Specified. CI_ Financial_ Adjustment,,,,,,,,,,,インボイス文書決済／鑑ヘッダ調整グループ,インボイス文書の鑑ヘッダ調整に関するグループ,0..1,,v4, ,,    , ,,,■,,,■,,,  ,,  ,  ,,,,,,,,,,,,,,,,,,,,
157,ヘッダ部,UN01005487,ABIE,,,,,CI_ Financial_ Adjustment. Details,,,,,,,,,,鑑ヘッダ調整クラス（源泉徴収）,鑑ヘッダ調整に関する情報からなるクラス,－,,v4, ,,    , ,,, ,,, , ,　,  ,,  ,  ,,,,,,,,,,,,,,,,,,,,
158,ヘッダ部,UN01005488,BBIE,,,,,,CI_ Financial_ Adjustment. Reason. Code,,,,,,,,,鑑ヘッダ調整理由コード（源泉徴収）,"鑑ヘッダ調整金額の内容を識別するコード
=26（源泉所得税：デフォルト）",0..1,,v4,UNCL4465,,UN/CEFACT,コード値選択入力,,,■,,,■,※,,  ,,  ,  ,,,,,,,,,,,,,,,,,,,,
159,ヘッダ部,UN01005489,BBIE,,,,,,CI_ Financial_ Adjustment. Reason. Text,,,,,,,,,鑑ヘッダ調整理由（源泉徴収）,鑑ヘッダ調整の内容説明（源泉徴収）,0..1,,v4,,,, ,,,■,,,■,※,,  ,,  ,  ,,,,,,,,,,,,,,,,,,,,
160,ヘッダ部,UN01005490,BBIE,,,,,,CI_ Financial_ Adjustment. Actual. Amount,,,,,,,,,鑑ヘッダ調整金額（源泉徴収額）,"鑑ヘッダ調整金額（鑑ヘッダで減額処理）
＜鑑ヘッダ調整理由コード＝26の場合＞
　=源泉所得税金額",0..1,,v4,,,, ,,,■,,,■,※,,  ,,  ,  ,,,,,,,,,,,,,,,,,,,,
161,ヘッダ部,UN01015492,ASBIE,,,,CIIH_ Supply Chain_ Trade Settlement. Outstanding_ Specified. CIIH_ Trade Settlement_ Monetary Summation,,,,,,,,,,,インボイス文書決済／未決済合計金額グループ,未決済合計金額に関するグループ,0..1,,v4,     ,,     ,,,,▶,▶,▶,,,  ,,  ,  ,  ,,,,,,,,,,,,,,,,,,,,
162,ヘッダ部,UN01005941,ABIE,,,,,CIIH_ Trade Settlement_ Monetary Summation. Details,,,,,,,,,,未決済合計金額クラス,未決済合計金額に関する情報からなるクラス,－,,v4,     ,,     ,,,,,,,,     ,  ,,  ,  ,  ,,,,,,,,,,,,,,,,,,,,
163,ヘッダ部,UN01005948,BBIE,,,,,,CIIH_ Trade Settlement_ Monetary Summation. Grand Total. Amount,,,,,,,,,前回インボイス総合計金額（税込み）,前回インボイス文書の総合計金額（税込み）,0..1,,v4,,,,,,,▶,▶,▶,,,  ,,  ,  ,  ,,,,,,,,,,,,,,,,,,,,
164,ヘッダ部,UN01005950,BBIE,,,,,,CIIH_ Trade Settlement_ Monetary Summation. Total Prepaid. Amount,,,,,,,,,入金済金額（前回インボイス分）,前回インボイス文書総合計金額のうち、入金済合計金額,0..1,,v4,,,,,,,▶,▶,▶,,※,  ,,  ,  ,  ,,,,,,,,,,,,,,,,,,,,
165,ヘッダ部,UN01008445,BBIE,,,,,,CIIH_ Trade Settlement_ Monetary Summation. Due Payable. Amount,,,,,,,,,未決済合計金額,"未決済合計金額＝
前回インボイス総合計金額（税込み）ー入金済金額(前回インボイス分)",0..1,,v4,,,,,,,▶,▶,▶,,※,  ,,  ,  ,  ,,,,,,,,,,,,,,,,,,,,
166,ヘッダ部,UN01005940,ASBIE,,CIIH_ Supply Chain_ Trade Transaction. Included. CIIL_ Supply Chain_ Trade Line Item,,,,,,,,,,,,,インボイス文書取引／明細文書ヘッダグループ,インボイス文書に組み込まれる明細文書ヘッダのグループ,1..n,,v4, ,, , ,,,○,○,○,○, ,  ,,  ,  ,  ,,,,,,,,,,,,,,,,,,,,
167,ヘッダ部,UN01005988,ABIE,,,CIIL_ Supply Chain_ Trade Line Item. Details,,,,,,,,,,,,明細文書ヘッダクラス,インボイス文書へ組み込まれる明細文書ヘッダのアイテムのクラス,－,,v4, ,, , ,,, , , , ,, , , , , ,,,,,,,,,,,,,,,,,,,,
168,ヘッダ部,UN01005989,ASBIE,,,,CIIL_ Supply Chain_ Trade Line Item. Associated. CIIL_ Document Line_ Document,,,,,,,,,,,明細文書ヘッダ／明細文書グループ,明細文書ヘッダの明細文書グループ。,1..1,,v4, ,, , ,,,○,○,○,○, , , , , , ,,,,,,,,,,,,,,,,,,,,
169,ヘッダ部,UN01005953,ABIE,,,,,CIIL_ Document Line_ Document. Details,,,,,,,,,,明細文書クラス,明細文書のクラス,－,,v4, ,, , ,,, , , , , , , , , , ,,,,,,,,,,,,,,,,,,,,
