version,sequence,level,type,identifier,UNID,acronym,label_local,multiplicity,seq,class_term,property_term,representation_term,associated_class,definition_local,code_list,attribute,DEN,definition,short_name,name,element,xpath
v1/v4.3,97,4,A,,UN01000372,BBIE,プロジェクトID,1..1,5897,Procuring_ Project,r,o,,発注品に関するプロジェクト・工事案件等を管理するためのID。,,,Procuring_ Project. Identification. Identifier,The unique identifier of this procuring project.,ID,IIProcuringProjectID,ro,/SMECoreSelfInvoice/CIIHSupplyChainTradeTransaction/II/II/ro
v1/v4.3,98,4,A,,UN01000374,BBIE,プロジェクト名,1..1,5899,Procuring_ Project,r,o,,発注品に関するプロジェクト・工事案件等の名称。,,,Procuring_ Project. Name. Text,"The name, expressed as text, of this procuring project.",Name,IIProcuringProjectName,ro,/SMECoreSelfInvoice/CIIHSupplyChainTradeTransaction/II/II/ro
v2,104,2,C,,UN01005939,ASBIE,インボイス文書取引／決済グループ,1..1,2290,CIIH_ Supply Chain_ Trade Transaction,I,,I,決済に関するグループ,,,CIIH_ Supply Chain_ Trade Transaction. Applicable. CIIH_ Supply Chain_ Trade Settlement,The CIIH supply chain trade settlement applicable to this CIIH supply chain trade transaction.,Trade Settlement,Transaction,II,/SMECoreSelfInvoice/CIIHSupplyChainTradeTransaction/II
v4,101,3,A,,UN01005913,BBIE,税通貨コード,0..1,2246,CIIH_ Supply Chain_ Trade Settlement,I,I,,"税の通貨コード。
JPY（デフォルト）","通貨コード
ISO4217",,CIIH_ Supply Chain_ Trade Settlement. Tax_ Currency. Code,The code specifying the tax currency for this CIIH supply chain trade settlement.,Tax Currency Code,TransactionIITaxCurrencyCode,II,/SMECoreSelfInvoice/CIIHSupplyChainTradeTransaction/II/II
v4,102,3,A,,UN01005914,BBIE,文書通貨コード,1..1,2247,CIIH_ Supply Chain_ Trade Settlement,I,I,,"インボイス文書の通貨コード。
JPY（デフォルト）","通貨コード
ISO4217",,CIIH_ Supply Chain_ Trade Settlement. Invoice_ Currency. Code,The code specifying the invoice currency for this CIIH supply chain trade settlement.,Invoice Currency Code,TransactionIIInvoiceCurrencyCode,II,/SMECoreSelfInvoice/CIIHSupplyChainTradeTransaction/II/II
v4,103,3,A,,UN01005915,BBIE,支払通貨コード,0..1,2248,CIIH_ Supply Chain_ Trade Settlement,I,I,,請求支払通貨コード（デフォルトはJPY）,"通貨コード
ISO4217",,CIIH_ Supply Chain_ Trade Settlement. Payment_ Currency. Code,The code specifying the payment currency for this CIIH supply chain trade settlement.,Payment Currency Code,TransactionIIPaymentCurrencyCode,II,/SMECoreSelfInvoice/CIIHSupplyChainTradeTransaction/II/II
v4,106,3,C,,UN01005923,ASBIE,インボイス文書決済／支払手段グループ,0..n,2264,CIIH_ Supply Chain_ Trade Settlement,I,,I,インボイス文書決済に関する支払手段のグループ。,,,CIIH_ Supply Chain_ Trade Settlement. Specified. CI_ Trade Settlement_ Payment Means,A Cross Industry (CI) trade settlement payment means specified for this CIIH supply chain trade settlement.,Payment Means,TransactionIIPaymentMeans,II,/SMECoreSelfInvoice/CIIHSupplyChainTradeTransaction/II/II
v4,108,4,A,,UN01005672,BBIE,支払手段タイプコード,0..1,3806,CI_ Trade Settlement_ Payment Means,I,_,,取引決済手段のタイプを識別するコード,UNCL4461,,CI_ Trade Settlement_ Payment Means. Type. Code,"The code specifying the type of CI trade settlement payment means, such as cash or cheque.",Type Code,IIPaymentMeansTypeCode,I,/SMECoreSelfInvoice/CIIHSupplyChainTradeTransaction/II/II/I
v4,109,4,A,,UN01011456,BBIE,支払手段情報,0..1,3810,CI_ Trade Settlement_ Payment Means,I,_,,取引決済手段に関する情報,,,CI_ Trade Settlement_ Payment Means. Information. Text,"Information, expressed as text, for this CI trade settlement payment means.",Information,IIPaymentMeansInformationText,I,/SMECoreSelfInvoice/CIIHSupplyChainTradeTransaction/II/II/I
v1,110,4,C,,UN01005677,ASBIE,支払手段／金融口座グループ,0..1,3813,CI_ Trade Settlement_ Payment Means,I,,_,取引決済の支払手段に関する受取人である当事者の債権者金融口座のグループ,,,CI_ Trade Settlement_ Payment Means. Payee_ Party. CI_ Creditor_ Financial Account,The creditor financial account of the payee party for this CI trade settlement payment means.,Payee Creditor Financial Account,IIPaymentMeansPayeeCreditorFinancialAccount,I,/SMECoreSelfInvoice/CIIHSupplyChainTradeTransaction/II/II/I
v1,112,5,A,,UN01005400,BBIE,口座名義,0..1,3317,CI_ Creditor_ Financial Account,I,_,,"債権者金融口座の、文字で表現された口座名。
半角カナ（日本の場合）",,,CI_ Creditor_ Financial Account. Account Name. Text,"The account name, expressed as text, of this CI creditor financial account.",Name,IIICreditorFinancialAccountAccountName,I,/SMECoreSelfInvoice/CIIHSupplyChainTradeTransaction/II/II/I/I
v1,113,5,A,,UN01005401,BBIE,口座番号,0..1,3318,CI_ Creditor_ Financial Account,I,_,,債権者金融口座の一意の所有者ID。,,,CI_ Creditor_ Financial Account. Proprietary_ Identification. Identifier,The unique proprietary identifier for this CI creditor financial account.,Proprietary ID,IIICreditorFinancialAccountProprietaryID,I,/SMECoreSelfInvoice/CIIHSupplyChainTradeTransaction/II/II/I/I
v4,114,5,A,,UN01012127,BBIE,口座種別コード,0..1,3319,CI_ Creditor_ Financial Account,I,_,,債権者金融口座種別のコード。,預金項目コード,,CI_ Creditor_ Financial Account. Type. Code,The code specifying the type of financial account for this CI creditor.,Type Code,IIICreditorFinancialAccountTypeCode,I,/SMECoreSelfInvoice/CIIHSupplyChainTradeTransaction/II/II/I/I
v1,115,4,C,,UN01005679,ASBIE,支払手段／金融機関グループ,0..1,3815,CI_ Trade Settlement_ Payment Means,I,,_,取引決済の支払手段に対して特定された受取人である当事者の債権者金融機関のグループ,,,CI_ Trade Settlement_ Payment Means. Payee_ Specified. CI_ Creditor_ Financial Institution,The creditor financial institution of the payee party specified for this CI trade settlement payment means.,Payee Creditor Financial Institution,IIPaymentMeansPayeeCreditorFinancialInstitution,I,/SMECoreSelfInvoice/CIIHSupplyChainTradeTransaction/II/II/I
v1,117,5,A,,UN01005426,BBIE,金融機関名,0..1,3344,CI_ Creditor_ Financial Institution,I,_,,債権者金融機関の、文字で表現された名前。,,,CI_ Creditor_ Financial Institution. Name. Text,"The name, expressed as text, for this CI creditor financial institution.",Name,IIICreditorFinancialInstitutionName,I,/SMECoreSelfInvoice/CIIHSupplyChainTradeTransaction/II/II/I/I
v1,118,5,C,,UN01005428,ASBIE,金融機関／金融機関支店グループ,0..1,3347,CI_ Creditor_ Financial Institution,I,,_,債権者金融機関の支店金融機関グループ,,,CI_ Creditor_ Financial Institution. Sub-Division. Branch_ Financial Institution,The sub-division (branch) financial institution for this CI creditor financial institution.,Branch,IIICreditorFinancialInstitutionSub-DivisionBranchFinancialInstitution,I,/SMECoreSelfInvoice/CIIHSupplyChainTradeTransaction/II/II/I/I
v1,120,6,A,,UN01003140,BBIE,金融機関支店名,0..1,1800,Branch_ Financial Institution,r,a,,金融機関のこの支店の、文字で表現された名前,,,Branch_ Financial Institution. Name. Text,"The name, expressed as text, for this branch of a financial institution.",Name,IIIBranchFinancialInstitutionName,ra,/SMECoreSelfInvoice/CIIHSupplyChainTradeTransaction/II/II/I/I/ra
v4,121,4,C,,UN01006057,ASBIE,支払手段／金融カードグループ,0..1,3816,CI_ Trade Settlement_ Payment Means,I,,_,支払手段の金融カードに関するグループ,,,CI_ Trade Settlement_ Payment Means. Applicable. Trade Settlement_ Financial Card,The trade settlement financial card applicable to this CI trade settlement payment means.,Financial Card,IIPaymentMeansFinancialCard,I,/SMECoreSelfInvoice/CIIHSupplyChainTradeTransaction/II/II/I
v4,123,5,A,,UN01004495,BBIE,金融カード番号,1..1,7923,Trade Settlement_ Financial Card,r,a,,支払人の金融カード番号,,,Trade Settlement_ Financial Card. Identification. Identifier,"The unique identifier, commonly known as the card number, of this trade settlement financial card.",ID,IIIFinancialCardID,ra,/SMECoreSelfInvoice/CIIHSupplyChainTradeTransaction/II/II/I/ra
v4,124,5,A,,UN01004496,BBIE,金融カードタイプ,0..1,7924,Trade Settlement_ Financial Card,r,a,,金融カードのタイプ,,,Trade Settlement_ Financial Card. Type. Code,"The code specifying the type of this trade settlement financial card, such as debit or credit.",Type Code,IIIFinancialCardTypeCode,ra,/SMECoreSelfInvoice/CIIHSupplyChainTradeTransaction/II/II/I/ra
v4,125,5,A,,UN01004497,BBIE,金融カード名義人名,0..1,7925,Trade Settlement_ Financial Card,r,a,,支払人の金融カード名義人名,,,Trade Settlement_ Financial Card. Cardholder Name. Text,The cardholder name as it appears on this trade settlement financial card. This may include both an individual authorized to use the card as well as the organization that owns the card.,Cardholder Name,IIIFinancialCardCardholderName,ra,/SMECoreSelfInvoice/CIIHSupplyChainTradeTransaction/II/II/I/ra
v4,126,5,A,,UN01009966,BBIE,金融カード発行企業名,0..1,7932,Trade Settlement_ Financial Card,r,a,,金融カードの発行企業名,,,Trade Settlement_ Financial Card. Issuing Company Name. Text,"An issuing company name, expressed as text, for this trade settlement financial card.",Issuing Company Name,IIIFinancialCardIssuingCompanyName,ra,/SMECoreSelfInvoice/CIIHSupplyChainTradeTransaction/II/II/I/ra
v4,127,3,C,,UN01005924,ASBIE,インボイス文書決済／鑑ヘッダ税グループ,0..n,2265,CIIH_ Supply Chain_ Trade Settlement,I,,I,インボイス文書の鑑ヘッダの税に関するグループ,,,CIIH_ Supply Chain_ Trade Settlement. Applicable. CI_ Trade_ Tax,A Cross Industry (CI) trade tax applicable to this CIIH supply chain trade settlement.,Tax,TransactionIITax,II,/SMECoreSelfInvoice/CIIHSupplyChainTradeTransaction/II/II
v4,129,4,A,,UN01005833,BBIE,鑑ヘッダ課税分類税額,0..1,4043,CI_ Trade_ Tax,I,_,,"鑑ヘッダの明細文書課税分類別税額の合計金額
鑑ヘッダでは複数明細文書税額の積み上げだけを行い、税額計算は行わない",,,CI_ Trade_ Tax. Calculated. Amount,"A monetary value resulting from the calculation of this CI trade related tax, levy or duty.",Calculated Amount,IITaxCalculatedAmount,I,/SMECoreSelfInvoice/CIIHSupplyChainTradeTransaction/II/II/I
v4,130,4,A,,UN01005841,BBIE,鑑ヘッダ課税分類コード,0..1,4051,CI_ Trade_ Tax,I,_,,消費税[VAT」の課税分類（標準税率、軽減税率、非課税、免税、不課税）を識別するコード,UNCL5305,,CI_ Trade_ Tax. Category. Code,"The code specifying the category to which this CI trade related tax, levy or duty applies, such as codes for ""Exempt from Tax"", ""Standard Rate"", ""Free Export Item - Tax Not Charged"" .",Category Code,IITaxCategoryCode,I,/SMECoreSelfInvoice/CIIHSupplyChainTradeTransaction/II/II/I
v4,131,4,A,,UN01005850,BBIE,鑑ヘッダ課税分類名,0..1,4060,CI_ Trade_ Tax,I,_,,消費税の課税分類（標準税率、軽減税率、非課税、免税等）の名称,,,CI_ Trade_ Tax. Category Name. Text,"A category name, expressed as text, of this CI trade related tax, levy or duty.",Category Name,IITaxCategoryName,I,/SMECoreSelfInvoice/CIIHSupplyChainTradeTransaction/II/II/I
v4,132,4,A,,UN01007174,BBIE,鑑ヘッダ税率,0..1,4062,CI_ Trade_ Tax,I,_,,課税分類に対応する消費税率のパーセント表示,,,CI_ Trade_ Tax. Rate_ Applicable. Percent,"The applicable rate of CI trade tax, expressed as a percentage.",Applicable Rate Percent,IITaxRatePercent,I,/SMECoreSelfInvoice/CIIHSupplyChainTradeTransaction/II/II/I
v4,133,4,A,,UN01013096,BBIE,鑑ヘッダ税計算方式,0..1,4064,CI_ Trade_ Tax,I,_,,"金額の税込み、税抜き指定の要否を指定
デフォルトは「空欄」（指定しない）",JECxxxx,,CI_ Trade_ Tax. Calculation Method. Code,"The code specifying the method by which this CI trade related tax, levy or duty is calculated, such as codes for ""tax calculated after line total summation"", ""tax calculated before line total summation"", ""tax back calculated based on grand total"".",Tax Calculation Method Code,IITaxCalculationMethodCode,I,/SMECoreSelfInvoice/CIIHSupplyChainTradeTransaction/II/II/I
v4,134,4,A,,UN01014650,BBIE,鑑ヘッダ適用税制ID,0..1,4065,CI_ Trade_ Tax,I,_,,"取引の税制年度を識別するID
デフォルトは「2019」（2019年度税制）",JECxxxx,,CI_ Trade_ Tax. Local Tax System. Identifier,The identifier of the local tax system for this CI trade tax.,Local Tax System ID,IITaxLocalTaxSystemID,I,/SMECoreSelfInvoice/CIIHSupplyChainTradeTransaction/II/II/I
v4,135,3,C,,UN01005925,ASBIE,インボイス文書決済／鑑ヘッダ取引期間グループ,0..1,2266,CIIH_ Supply Chain_ Trade Settlement,I,,I,インボイス文書の取引期間に関するグループ,,,CIIH_ Supply Chain_ Trade Settlement. Billing. CI_ Specified_ Period,The Cross Industry (CI) billing period specified for this CIIH supply chain trade settlement.,Billing Period,TransactionIIBillingPeriod,II,/SMECoreSelfInvoice/CIIHSupplyChainTradeTransaction/II/II
v4,137,4,A,,UN01005612,BBIE,鑑ヘッダ取引開始日,0..1,3677,CI_ Specified_ Period,I,_,,インボイス文書の取引開始日,,,CI_ Specified_ Period. Start. Date Time,"The date, time, date time or other date time value for the start of this CI specified period of time.",Start Date Time,IIPeriodStartDateTime,I,/SMECoreSelfInvoice/CIIHSupplyChainTradeTransaction/II/II/I
v4,138,4,A,,UN01005613,BBIE,鑑ヘッダ取引終了日,0..1,3678,CI_ Specified_ Period,I,_,,インボイス文書の取引終了日,,,CI_ Specified_ Period. End. Date Time,"The date, time, date time or other date time value for the end of this CI specified period of time.",End Date Time,IIPeriodEndDateTime,I,/SMECoreSelfInvoice/CIIHSupplyChainTradeTransaction/II/II/I
v4,139,3,C,,UN01005929,ASBIE,インボイス文書決済／支払条件グループ,0..n,2270,CIIH_ Supply Chain_ Trade Settlement,I,,I,インボイス文書の支払条件に関するグループ,,,CIIH_ Supply Chain_ Trade Settlement. Specified. CI_ Trade_ Payment Terms,Cross Industry (CI) trade payment terms specified for this CIIH supply chain trade settlement.,Payment Terms,TransactionIIPaymentTerms,II,/SMECoreSelfInvoice/CIIHSupplyChainTradeTransaction/II/II
v4,141,4,A,,UN01005783,BBIE,支払条件説明,0..1,3941,CI_ Trade_ Payment Terms,I,_,,支払条件の文字による説明,,,CI_ Trade_ Payment Terms. Description. Text,A textual description of these CI trade payment terms.,Description,IIPaymentTermsDescriptionText,I,/SMECoreSelfInvoice/CIIHSupplyChainTradeTransaction/II/II/I
v4,142,4,A,,UN01005784,BBIE,支払期日,0..1,3942,CI_ Trade_ Payment Terms,I,_,,支払条件で示された支払期日,,,CI_ Trade_ Payment Terms. Due Date. Date Time,"The date, time, date time, or other date time value of the due date specified by these CI trade payment terms.",Due Date Time,IIPaymentTermsDueDateDateTime,I,/SMECoreSelfInvoice/CIIHSupplyChainTradeTransaction/II/II/I
v4,143,3,C,,UN01005930,ASBIE,インボイス文書決済／インボイス文書合計金額グループ,0..1,2271,CIIH_ Supply Chain_ Trade Settlement,I,,I,インボイス文書の合計金額に関するグループ,,,CIIH_ Supply Chain_ Trade Settlement. Specified. CIIH_ Trade Settlement_ Monetary Summation,The CIIH trade settlement monetary summation specified for this CIIH supply chain trade settlement.,Monetary Summation,TransactionIIMonetarySummation,II,/SMECoreSelfInvoice/CIIHSupplyChainTradeTransaction/II/II
v4.3,145,4,A,,UN01005943,BBIE,鑑ヘッダ追加請求合計金額（税抜き）,0..1,2294,CIIH_ Trade Settlement_ Monetary Summation,I,I,,Σ明細文書ヘッダ追加請求合計金額（税抜き）,,,CIIH_ Trade Settlement_ Monetary Summation. Charge Total. Amount,A monetary value of the total of all charge amounts being reported on header level in this CIIH trade settlement monetary summation.,Charge Total Amount,IIMonetarySummationChargeTotalAmount,II,/SMECoreSelfInvoice/CIIHSupplyChainTradeTransaction/II/II/II
v4.3,146,4,A,,UN01005944,BBIE,鑑ヘッダ返金合計金額（税抜き）,0..1,2295,CIIH_ Trade Settlement_ Monetary Summation,I,I,,Σ明細文書ヘッダ返金合計金額（税抜き）,,,CIIH_ Trade Settlement_ Monetary Summation. Allowance Total. Amount,A monetary value of the total of all allowance amounts being reported on header level in this CIIH trade settlement monetary summation.,Allowance Total Amount,IIMonetarySummationAllowanceTotalAmount,II,/SMECoreSelfInvoice/CIIHSupplyChainTradeTransaction/II/II/II
v4,147,4,A,,UN01005946,BBIE,鑑ヘッダ消費税総合計額,0..1,2297,CIIH_ Trade Settlement_ Monetary Summation,I,I,,明細文書ヘッダ税クラスで算出した税率別消費税額の合計額,,,CIIH_ Trade Settlement_ Monetary Summation. Tax Total. Amount,A monetary value of the total of all tax amounts being reported in this CIIH trade settlement monetary summation.,Tax Total Amount,IIMonetarySummationTaxTotalAmount,II,/SMECoreSelfInvoice/CIIHSupplyChainTradeTransaction/II/II/II
v4,148,4,A,,UN01005948,BBIE,鑑ヘッダ総合計金額（税込み）,0..1,2299,CIIH_ Trade Settlement_ Monetary Summation,I,I,,Σ明細文書ヘッダ譲渡資産合計金額(税抜き)+Σ明細文書ヘッダ返金合計金額(税抜き)+Σ明細文書ヘッダ追加請求合計金額(税抜き)＋Σ明細文書ヘッダ消費税合計額,,,CIIH_ Trade Settlement_ Monetary Summation. Grand Total. Amount,"A monetary value of the grand total of this CIIH trade settlement monetary summation, including taxes and allowances and charges.",Grand Total Amount,IIMonetarySummationGrandTotalAmount,II,/SMECoreSelfInvoice/CIIHSupplyChainTradeTransaction/II/II/II
v4,149,4,A,,UN01008445,BBIE,支払責務金額総合計,0..1,2304,CIIH_ Trade Settlement_ Monetary Summation,I,I,,鑑ヘッダ総合計金額（税込み）ー前払合計金額＋未決済合計金額ーΣ鑑ヘッダ調整金額ーΣ鑑ヘッダ調整税額（税率別）,,,CIIH_ Trade Settlement_ Monetary Summation. Due Payable. Amount,"A monetary value that is an amount due and payable for this CIIH trade settlement monetary summation, such as the amount due to the creditor.",Due Payable Amount,IIMonetarySummationDuePayableAmount,II,/SMECoreSelfInvoice/CIIHSupplyChainTradeTransaction/II/II/II
v4,150,4,A,,UN01008451,BBIE,鑑ヘッダ譲渡資産合計金額(税抜き),0..1,2310,CIIH_ Trade Settlement_ Monetary Summation,I,I,,∑明細文書ヘッダ譲渡資産合計金額(税抜き),,,CIIH_ Trade Settlement_ Monetary Summation. Net_ Line Total. Amount,"A monetary value of the total of all line amounts, including line level allowances and charges and excluding line level taxes, being reported in this CIIH trade settlement monetary summation.",Net Line Total Amount,IIMonetarySummationNetLineTotalAmount,II,/SMECoreSelfInvoice/CIIHSupplyChainTradeTransaction/II/II/II
v4,151,4,A,,UN01013091,BBIE,鑑ヘッダ譲渡資産合計金額(税込み),0..1,2313,CIIH_ Trade Settlement_ Monetary Summation,I,I,,∑明細文書ヘッダ譲渡資産合計金額（税込み）,,,CIIH_ Trade Settlement_ Monetary Summation. Including Taxes_ Line Total. Amount,"A monetary value of the line total, including taxes, being reported in this CIIH trade settlement monetary summation.",Including Taxes Line Total Amount,IIMonetarySummationTaxesLineTotalAmount,II,/SMECoreSelfInvoice/CIIHSupplyChainTradeTransaction/II/II/II
v4,152,3,C,,UN01005931,ASBIE,"インボイス文書決済／鑑ヘッダ調整グループ
（修正差額調整）",0..1,2272,CIIH_ Supply Chain_ Trade Settlement,I,,I,インボイス文書の鑑ヘッダ調整に関するグループ,,,CIIH_ Supply Chain_ Trade Settlement. Specified. CI_ Financial_ Adjustment,A Cross Industry (CI) financial adjustment specified for this CIIH supply chain trade settlement.,Financial Adjustment,TransactionIIFinancialAdjustment,II,/SMECoreSelfInvoice/CIIHSupplyChainTradeTransaction/II/II
v4,154,4,A,,UN01005488,BBIE,鑑ヘッダ調整理由コード（修正差額調整）,0..1,3460,CI_ Financial_ Adjustment,I,_,,"鑑ヘッダ調整金額の内容を識別するコード
62（修正差額調整：デフォルト）",UNCL4465,,CI_ Financial_ Adjustment. Reason. Code,The code specifying a reason for this CI financial adjustment.,Reason Code,IIFinancialAdjustmentReasonCode,I,/SMECoreSelfInvoice/CIIHSupplyChainTradeTransaction/II/II/I
v4,155,4,A,,UN01005489,BBIE,鑑ヘッダ調整理由（修正差額調整）,0..1,3461,CI_ Financial_ Adjustment,I,_,,鑑ヘッダ調整の内容説明,,,CI_ Financial_ Adjustment. Reason. Text,"A reason, expressed as text, for this CI financial adjustment.",Reason Text,IIFinancialAdjustmentReasonText,I,/SMECoreSelfInvoice/CIIHSupplyChainTradeTransaction/II/II/I
v4,156,4,A,,UN01005490,BBIE,鑑ヘッダ調整金額（修正差額調整合計額）,0..1,3462,CI_ Financial_ Adjustment,I,_,,"鑑ヘッダ調整金額（鑑ヘッダで減額処理）
＜鑑ヘッダ調整理由コード62（デフォルト）＞
　前回インボイス金額ー修正インボイス金額",,,CI_ Financial_ Adjustment. Actual. Amount,An actual monetary value added or subtracted as a result of this CI financial adjustment.,Actual Amount,IIFinancialAdjustmentActualAmount,I,/SMECoreSelfInvoice/CIIHSupplyChainTradeTransaction/II/II/I
v4,157,4,A,,UN01014649,BBIE,鑑ヘッダ調整取引方向コード,0..1,3465,CI_ Financial_ Adjustment,I,_,,"鑑ヘッダ調整額の＋ーを識別するコード
マイナス金額を許容しない場合は必須",JECxxxx,,CI_ Financial_ Adjustment. Direction. Code,The code specifying whether the CI financial adjustment is an addition or a subtraction.,Direction Code,IIFinancialAdjustmentDirectionCode,I,/SMECoreSelfInvoice/CIIHSupplyChainTradeTransaction/II/II/I
v4,158,4,C,,UN01014897,ASBIE,鑑ヘッダ調整／調整税グループ,0..n,3468,CI_ Financial_ Adjustment,I,,_,鑑ヘッダ調整の税率別税クラスに関するグループ,,,CI_ Financial_ Adjustment. Related. CI_ Trade_ Tax,A trade tax related to this CI financial adjustment.,Related Tax,IIFinancialAdjustmentRelatedTax,I,/SMECoreSelfInvoice/CIIHSupplyChainTradeTransaction/II/II/I
v4,160,5,A,,UN01005833,BBIE,鑑ヘッダ修正差額調整税率別消費税額,0..1,4043,CI_ Trade_ Tax,I,_,,"＜鑑ヘッダ調整理由コード62（修正差額調整）＞
鑑ヘッダの修正差額調整税額修正インボイス税額ー前回インボイス税額
Σ明細行調整金額（税抜き）×税率
または
Σ明細行調整金額（税込み）×1/(1+税率)",,,CI_ Trade_ Tax. Calculated. Amount,"A monetary value resulting from the calculation of this CI trade related tax, levy or duty.",Calculated Amount,IIITaxCalculatedAmount,I,/SMECoreSelfInvoice/CIIHSupplyChainTradeTransaction/II/II/I/I
v4,161,5,A,,UN01005836,BBIE,鑑ヘッダ調整税率,0..1,4046,CI_ Trade_ Tax,I,_,,鑑ヘッダ調整の税率,,,CI_ Trade_ Tax. Calculated. Rate,"The rate used to calculate the amount of this CI trade related tax, levy or duty.",Calculated Rate,IIITaxCalculatedRate,I,/SMECoreSelfInvoice/CIIHSupplyChainTradeTransaction/II/II/I/I
v4.3,162,5,A,,UN01005839,BBIE,鑑ヘッダ修正差額調整税率別課税資産合計金額,0..1,4049,CI_ Trade_ Tax,I,_,,Σ明細行調整金額（税率別）,,,CI_ Trade_ Tax. Basis. Amount,"A monetary value used as the basis on which this CI trade related tax, levy or duty is calculated.",Basis Amount,IIITaxBasisAmount,I,/SMECoreSelfInvoice/CIIHSupplyChainTradeTransaction/II/II/I/I
v4,163,5,A,,UN01005841,BBIE,鑑ヘッダ調整課税分類コード,0..1,4051,CI_ Trade_ Tax,I,_,,鑑ヘッダ調整の課税分類コード,UNCL5305,,CI_ Trade_ Tax. Category. Code,"The code specifying the category to which this CI trade related tax, levy or duty applies, such as codes for ""Exempt from Tax"", ""Standard Rate"", ""Free Export Item - Tax Not Charged"" .",Category Code,IIITaxCategoryCode,I,/SMECoreSelfInvoice/CIIHSupplyChainTradeTransaction/II/II/I/I
v4.3,164,5,A,,UN01013040,BBIE,鑑ヘッダ修正差額調整消費税合計額,0..1,4063,CI_ Trade_ Tax,I,_,,鑑ヘッダ修正差額調整税率別消費税額の合計額,,,CI_ Trade_ Tax. Grand Total. Amount,The monetary value of the grand total of the basis plus tax for this CI trade tax.,Grand Total Amount,IIITaxGrandTotalAmount,I,/SMECoreSelfInvoice/CIIHSupplyChainTradeTransaction/II/II/I/I
v4,165,3,C,,UN01005931,ASBIE,インボイス文書決済／鑑ヘッダ調整グループ,0..1,2272,CIIH_ Supply Chain_ Trade Settlement,I,,I,インボイス文書の鑑ヘッダ調整に関するグループ,,,CIIH_ Supply Chain_ Trade Settlement. Specified. CI_ Financial_ Adjustment,A Cross Industry (CI) financial adjustment specified for this CIIH supply chain trade settlement.,Financial Adjustment,TransactionIIFinancialAdjustment,II,/SMECoreSelfInvoice/CIIHSupplyChainTradeTransaction/II/II
v4,167,4,A,,UN01005488,BBIE,鑑ヘッダ調整理由コード（源泉徴収）,0..1,3460,CI_ Financial_ Adjustment,I,_,,"鑑ヘッダ調整金額の内容を識別するコード
26（源泉所得税：デフォルト）",UNCL4465,,CI_ Financial_ Adjustment. Reason. Code,The code specifying a reason for this CI financial adjustment.,Reason Code,IIFinancialAdjustmentReasonCode,I,/SMECoreSelfInvoice/CIIHSupplyChainTradeTransaction/II/II/I
v4,168,4,A,,UN01005489,BBIE,鑑ヘッダ調整理由（源泉徴収）,0..1,3461,CI_ Financial_ Adjustment,I,_,,鑑ヘッダ調整の内容説明（源泉徴収）,,,CI_ Financial_ Adjustment. Reason. Text,"A reason, expressed as text, for this CI financial adjustment.",Reason Text,IIFinancialAdjustmentReasonText,I,/SMECoreSelfInvoice/CIIHSupplyChainTradeTransaction/II/II/I
v4,169,4,A,,UN01005490,BBIE,鑑ヘッダ調整金額（源泉徴収額）,0..1,3462,CI_ Financial_ Adjustment,I,_,,"鑑ヘッダ調整金額（鑑ヘッダで減額処理）
＜鑑ヘッダ調整理由コード=26の場合＞
　源泉所得税金額",,,CI_ Financial_ Adjustment. Actual. Amount,An actual monetary value added or subtracted as a result of this CI financial adjustment.,Actual Amount,IIFinancialAdjustmentActualAmount,I,/SMECoreSelfInvoice/CIIHSupplyChainTradeTransaction/II/II/I
v4,170,3,C,,UN01015492,ASBIE,インボイス文書決済／未決済合計金額グループ,0..1,2285,CIIH_ Supply Chain_ Trade Settlement,I,,I,未決済合計金額に関するグループ,,,CIIH_ Supply Chain_ Trade Settlement. Outstanding_ Specified. CIIH_ Trade Settlement_ Monetary Summation,The monetary summation totals outstanding for this CIIH supply chain trade settlement.,Outstanding Monetary Summation,TransactionIIOutstandingMonetarySummation,II,/SMECoreSelfInvoice/CIIHSupplyChainTradeTransaction/II/II
v4,172,4,A,,UN01005948,BBIE,前回インボイス総合計金額（税込み）,0..1,2299,CIIH_ Trade Settlement_ Monetary Summation,I,I,,前回インボイス文書の総合計金額（税込み）,,,CIIH_ Trade Settlement_ Monetary Summation. Grand Total. Amount,"A monetary value of the grand total of this CIIH trade settlement monetary summation, including taxes and allowances and charges.",Grand Total Amount,IIMonetarySummationGrandTotalAmount,II,/SMECoreSelfInvoice/CIIHSupplyChainTradeTransaction/II/II/II
v4,173,4,A,,UN01005950,BBIE,入金済金額（前回インボイス分）,0..1,2301,CIIH_ Trade Settlement_ Monetary Summation,I,I,,前回インボイス文書総合計金額のうち、入金済合計金額,,,CIIH_ Trade Settlement_ Monetary Summation. Total Prepaid. Amount,A monetary value of a prepaid total reported in this CIIH trade settlement monetary summation.,Total Prepaid Amount,IIMonetarySummationTotalPrepaidAmount,II,/SMECoreSelfInvoice/CIIHSupplyChainTradeTransaction/II/II/II
v4,174,4,A,,UN01008445,BBIE,未決済合計金額,0..1,2304,CIIH_ Trade Settlement_ Monetary Summation,I,I,,"未決済合計金額
前回インボイス総合計金額（税込み）ー入金済金額(前回インボイス分)",,,CIIH_ Trade Settlement_ Monetary Summation. Due Payable. Amount,"A monetary value that is an amount due and payable for this CIIH trade settlement monetary summation, such as the amount due to the creditor.",Due Payable Amount,IIMonetarySummationDuePayableAmount,II,/SMECoreSelfInvoice/CIIHSupplyChainTradeTransaction/II/II/II
