version,sme_nr,mbie_nr,level,property_type,class_term,sequence,identifier,property_term,multiplicity,multiplicity_SME,representation_term,code_list,attribute,associated_class,label_local,definition_local,UNID,acronym,DEN,definition,short_name,name,element,xpath
v1,63,2289,2,Composition,CIIH_ Supply Chain_ Trade Transaction,1,,Applicable,1..1,1..1,,,,CIIH_ Supply Chain_ Trade Agreement,インボイス文書取引内容／契約グループ,インボイス文書取引に適用される契約に関するグループ。,UN01005937,ASBIE,CIIH_ Supply Chain_ Trade Transaction. Applicable. CIIH_ Supply Chain_ Trade Agreement,The CIIH supply chain trade agreement applicable to this CIIH supply chain trade transaction.,Trade Agreement,Transaction,ApplicableCIIHSupplyChainTradeAgreement,/SMEConsolidatedSelfInvoice/CIIHSupplyChainTradeTransaction/ApplicableCIIHSupplyChainTradeAgreement
v4.3,135,2290,2,Composition,CIIH_ Supply Chain_ Trade Transaction,2,,Applicable,1..1,1..1,,,,CIIH_ Supply Chain_ Trade Delivery,インボイス文書取引内容／配送グループ,インボイス文書の配送に関する情報からなるグループ,UN01005938,ASBIE,CIIH_ Supply Chain_ Trade Transaction. Applicable. CIIH_ Supply Chain_ Trade Delivery,The CIIH supply chain trade delivery applicable to this CIIH supply chain trade transaction.,Trade Delivery,TransactionDelivery,ApplicableCIIHSupplyChainTradeDelivery,/SMEConsolidatedSelfInvoice/CIIHSupplyChainTradeTransaction/ApplicableCIIHSupplyChainTradeDelivery
v2,140,2291,2,Composition,CIIH_ Supply Chain_ Trade Transaction,3,,Applicable,1..1,1..1,,,,CIIH_ Supply Chain_ Trade Settlement,インボイス文書取引内容／決済グループ,決済に関するグループ,UN01005939,ASBIE,CIIH_ Supply Chain_ Trade Transaction. Applicable. CIIH_ Supply Chain_ Trade Settlement,The CIIH supply chain trade settlement applicable to this CIIH supply chain trade transaction.,Trade Settlement,Transaction,ApplicableCIIHSupplyChainTradeSettlement,/SMEConsolidatedSelfInvoice/CIIHSupplyChainTradeTransaction/ApplicableCIIHSupplyChainTradeSettlement
v4,365,2292,2,Composition,CIIH_ Supply Chain_ Trade Transaction,4,,Included,0..n,1..n,,,,CIIL_ Supply Chain_ Trade Line Item,インボイス文書取引／明細文書ヘッダグループ,インボイス文書に組み込まれる明細文書ヘッダのグループ,UN01005940,ASBIE,CIIH_ Supply Chain_ Trade Transaction. Included. CIIL_ Supply Chain_ Trade Line Item,A Cross Industry Invoice Line (CIIL) supply chain trade line item included in this CIIH supply chain trade transaction.,Trade Line Item,TransactionDocument,IncludedCIILSupplyChainTradeLineItem,/SMEConsolidatedSelfInvoice/CIIHSupplyChainTradeTransaction/IncludedCIILSupplyChainTradeLineItem
v4,327,2293,1,Class,CIIH_ Trade Settlement_ Monetary Summation,0,,,,,,,,,インボイス文書合計金額クラス,インボイス文書の鑑ヘッダ合計金額に関する情報からなるクラス,UN01005941,ABIE,CIIH_ Trade Settlement_ Monetary Summation. Details,A collection of trade settlement monetary totals specified for this Cross Industry Invoice Header (CIIH).,CIIH Monetary Summation,TransactionMonetarySummationDetails,CIIHTradeSettlementMonetarySummation,
,,2294,,Attribute,CIIH_ Trade Settlement_ Monetary Summation,1,,Line Total,0..n,0..0,Amount,,,,,,UN01005942,BBIE,CIIH_ Trade Settlement_ Monetary Summation. Line Total. Amount,A monetary value of the line amount total being reported in this CIIH trade settlement monetary summation.,Deprecated Line Total Amount,,LineTotalAmount,
v4.3,328,2295,2,Attribute,CIIH_ Trade Settlement_ Monetary Summation,2,,Charge Total,0..n,0..1,Amount,,,,鑑ヘッダ追加請求合計金額（税抜き）,=明細文書ヘッダ追加請求合計金額（税抜き）,UN01005943,BBIE,CIIH_ Trade Settlement_ Monetary Summation. Charge Total. Amount,A monetary value of the total of all charge amounts being reported on header level in this CIIH trade settlement monetary summation.,Charge Total Amount,MonetarySummationChargeTotalAmount,ChargeTotalAmount,/SMEConsolidatedSelfInvoice/CIIHSupplyChainTradeTransaction/ApplicableCIIHSupplyChainTradeSettlement/SpecifiedCIIHTradeSettlementMonetarySummation/ChargeTotalAmount
v4.3,329,2296,2,Attribute,CIIH_ Trade Settlement_ Monetary Summation,3,,Allowance Total,0..n,0..1,Amount,,,,鑑ヘッダ返金合計金額（税抜き）,=明細文書ヘッダ返金合計金額（税抜き）,UN01005944,BBIE,CIIH_ Trade Settlement_ Monetary Summation. Allowance Total. Amount,A monetary value of the total of all allowance amounts being reported on header level in this CIIH trade settlement monetary summation.,Allowance Total Amount,MonetarySummationAllowanceTotalAmount,AllowanceTotalAmount,/SMEConsolidatedSelfInvoice/CIIHSupplyChainTradeTransaction/ApplicableCIIHSupplyChainTradeSettlement/SpecifiedCIIHTradeSettlementMonetarySummation/AllowanceTotalAmount
,,2297,,Attribute,CIIH_ Trade Settlement_ Monetary Summation,4,,Tax Basis Total,0..n,0..0,Amount,,,,,,UN01005945,BBIE,CIIH_ Trade Settlement_ Monetary Summation. Tax Basis Total. Amount,A monetary value of the total of all tax basis amounts being reported in this CIIH trade settlement monetary summation.,Tax Basis Total Amount,,TaxBasisTotalAmount,
v4,330,2298,2,Attribute,CIIH_ Trade Settlement_ Monetary Summation,5,,Tax Total,0..n,0..1,Amount,,,,鑑ヘッダ消費税総合計額,明細文書ヘッダ税クラスで算出した税率別消費税額の合計額,UN01005946,BBIE,CIIH_ Trade Settlement_ Monetary Summation. Tax Total. Amount,A monetary value of the total of all tax amounts being reported in this CIIH trade settlement monetary summation.,Tax Total Amount,MonetarySummationTaxTotalAmount,TaxTotalAmount,/SMEConsolidatedSelfInvoice/CIIHSupplyChainTradeTransaction/ApplicableCIIHSupplyChainTradeSettlement/SpecifiedCIIHTradeSettlementMonetarySummation/TaxTotalAmount
,,2299,,Attribute,CIIH_ Trade Settlement_ Monetary Summation,6,,Rounding,0..n,0..0,Amount,,,,,,UN01005947,BBIE,CIIH_ Trade Settlement_ Monetary Summation. Rounding. Amount,A monetary value of a rounding amount being applied in this CIIH trade settlement monetary summation.,Rounding Amount,,RoundingAmount,
v4,331,2300,2,Attribute,CIIH_ Trade Settlement_ Monetary Summation,7,,Grand Total,0..n,0..1,Amount,,,,インボイス文書総合計金額（税込み）,＝Σ明細文書ヘッダ譲渡資産合計金額（税抜き）＋鑑ヘッダ返金・追加請求合計金額（税抜き）＋Σ明細文書ヘッダ合計消費税額,UN01005948,BBIE,CIIH_ Trade Settlement_ Monetary Summation. Grand Total. Amount,"A monetary value of the grand total of this CIIH trade settlement monetary summation, including taxes and allowances and charges.",Grand Total Amount,MonetarySummationGrandTotalAmount,GrandTotalAmount,/SMEConsolidatedSelfInvoice/CIIHSupplyChainTradeTransaction/ApplicableCIIHSupplyChainTradeSettlement/SpecifiedCIIHTradeSettlementMonetarySummation/GrandTotalAmount
,,2301,,Attribute,CIIH_ Trade Settlement_ Monetary Summation,8,,Information,0..n,0..0,Amount,,,,,,UN01005949,BBIE,CIIH_ Trade Settlement_ Monetary Summation. Information. Amount,A monetary value of an amount being reported for information in this CIIH trade settlement monetary summation.,Information Amount,,InformationAmount,
v4,332,2302,2,Attribute,CIIH_ Trade Settlement_ Monetary Summation,9,,Total Prepaid,0..n,0..1,Amount,,,,前払合計金額,"すでに前払いで支払済合計金額
'=Σ前払金額（税込み）",UN01005950,BBIE,CIIH_ Trade Settlement_ Monetary Summation. Total Prepaid. Amount,A monetary value of a prepaid total reported in this CIIH trade settlement monetary summation.,Total Prepaid Amount,MonetarySummationTotalPrepaidAmount,TotalPrepaidAmount,/SMEConsolidatedSelfInvoice/CIIHSupplyChainTradeTransaction/ApplicableCIIHSupplyChainTradeSettlement/SpecifiedCIIHTradeSettlementMonetarySummation/TotalPrepaidAmount
,,2303,,Attribute,CIIH_ Trade Settlement_ Monetary Summation,10,,Total Discount,0..n,0..0,Amount,UNCL5014,,,,,UN01005951,BBIE,CIIH_ Trade Settlement_ Monetary Summation. Total Discount. Amount,A monetary value of a total discount reported in this CIIH trade settlement monetary summation.,Total Discount Amount,,TotalDiscountAmount,
,,2304,,Attribute,CIIH_ Trade Settlement_ Monetary Summation,11,,Total Allowance Charge,0..n,0..0,Amount,,,,,,UN01005952,BBIE,CIIH_ Trade Settlement_ Monetary Summation. Total Allowance Charge. Amount,A monetary value of the total of allowance and charge amounts reported on header level in this CIIH trade settlement monetary summation.,Total Allowance/Charge Amount,,TotalAllowanceChargeAmount,
v4,333,2305,2,Attribute,CIIH_ Trade Settlement_ Monetary Summation,12,,Due Payable,0..n,0..1,Amount,,,,支払責務金額総合計,支払責務金額総合計＝Σ明細文書ヘッダ譲渡資産合計金額(税抜き)+明細文書ヘッダ消費税合計額＋明細文書ヘッダ課税対象外金額＋未決済合計金額ーΣ鑑ヘッダ調整金額ーΣ鑑ヘッダ調整税額（税率別）ー前払合計金額,UN01008445,BBIE,CIIH_ Trade Settlement_ Monetary Summation. Due Payable. Amount,"A monetary value that is an amount due and payable for this CIIH trade settlement monetary summation, such as the amount due to the creditor.",Due Payable Amount,MonetarySummationDuePayableAmount,DuePayableAmount,/SMEConsolidatedSelfInvoice/CIIHSupplyChainTradeTransaction/ApplicableCIIHSupplyChainTradeSettlement/SpecifiedCIIHTradeSettlementMonetarySummation/DuePayableAmount
,,2306,,Attribute,CIIH_ Trade Settlement_ Monetary Summation,13,,Retail Value Excluding Tax_ Information,0..n,0..0,Amount,,,,,,UN01008446,BBIE,CIIH_ Trade Settlement_ Monetary Summation. Retail Value Excluding Tax_ Information. Amount,A monetary value which constitutes the retail value excluding all duties and taxes stated for information purposes in this CIIH trade settlement monetary summation.,Retail Value Excluding Tax Amount,,RetailValueExcludingTaxInformationAmount,
,,2307,,Attribute,CIIH_ Trade Settlement_ Monetary Summation,14,,Total Deposit Fee_ Information,0..n,0..0,Amount,,,,,,UN01008447,BBIE,CIIH_ Trade Settlement_ Monetary Summation. Total Deposit Fee_ Information. Amount,A monetary value of the total deposit fee stated for information purposes in this CIIH trade settlement monetary summation.,Total Deposit Fee Amount,,TotalDepositFeeInformationAmount,
,,2308,,Attribute,CIIH_ Trade Settlement_ Monetary Summation,15,,Product Value Excluding Tobacco Tax_ Information,0..n,0..0,Amount,,,,,,UN01008448,BBIE,CIIH_ Trade Settlement_ Monetary Summation. Product Value Excluding Tobacco Tax_ Information. Amount,A monetary value which constitutes the total product value excluding tobacco tax stated for information purposes in this CIIH trade settlement monetary summation.,Product Value Excluding Tobacco Tax Amount,,ProductValueExcludingTobaccoTaxInformationAmount,
,,2309,,Attribute,CIIH_ Trade Settlement_ Monetary Summation,16,,Total Retail Value_ Information,0..n,0..0,Amount,,,,,,UN01008449,BBIE,CIIH_ Trade Settlement_ Monetary Summation. Total Retail Value_ Information. Amount,A monetary value which constitutes the total retail value stated for information purposes in this CIIH trade settlement monetary summation.,Total Retail Value Amount,,TotalRetailValueInformationAmount,
,,2310,,Attribute,CIIH_ Trade Settlement_ Monetary Summation,17,,Gross_ Line Total,0..n,0..0,Amount,,,,,,UN01008450,BBIE,CIIH_ Trade Settlement_ Monetary Summation. Gross_ Line Total. Amount,"A monetary value of the total of all line amounts, excluding line level allowances and charges and taxes, being reported in this CIIH trade settlement monetary summation.",Gross Line Total Amount,,GrossLineTotalAmount,
v4,334,2311,2,Attribute,CIIH_ Trade Settlement_ Monetary Summation,18,,Net_ Line Total,0..n,0..1,Amount,,,,鑑ヘッダ譲渡資産合計金額(税抜き),鑑ヘッダ譲渡資産金額総合計金額（税抜き）＝∑明細文書ヘッダ譲渡資産合計金額（税抜き）,UN01008451,BBIE,CIIH_ Trade Settlement_ Monetary Summation. Net_ Line Total. Amount,"A monetary value of the total of all line amounts, including line level allowances and charges and excluding line level taxes, being reported in this CIIH trade settlement monetary summation.",Net Line Total Amount,MonetarySummationNetLineTotalAmount,NetLineTotalAmount,/SMEConsolidatedSelfInvoice/CIIHSupplyChainTradeTransaction/ApplicableCIIHSupplyChainTradeSettlement/SpecifiedCIIHTradeSettlementMonetarySummation/NetLineTotalAmount
,,2312,,Attribute,CIIH_ Trade Settlement_ Monetary Summation,19,,Net Including Taxes_ Line Total,0..n,0..0,Amount,,,,,,UN01008452,BBIE,CIIH_ Trade Settlement_ Monetary Summation. Net Including Taxes_ Line Total. Amount,"A monetary value of the total of all line amounts, including line level allowances and charges and including line level taxes, being reported in this CIIH trade settlement monetary summation.",Net Including Taxes Line Total Amount,,NetIncludingTaxesLineTotalAmount,
,,2313,,Attribute,CIIH_ Trade Settlement_ Monetary Summation,20,,Insurance_ Charge Total,0..1,0..0,Amount,,,,,,UN01012697,BBIE,CIIH_ Trade Settlement_ Monetary Summation. Insurance_ Charge Total. Amount,The monetary value of the total of all insurance charges being reported in this CIIH trade settlement monetary summation.,Total Insurance Charges,,InsuranceChargeTotalAmount,
v4,335,2314,2,Attribute,CIIH_ Trade Settlement_ Monetary Summation,21,,Including Taxes_ Line Total,0..n,0..1,Amount,,,,鑑ヘッダ譲渡資産合計金額(税込み),"鑑ヘッダ譲渡資産金額総合計金額（税込み）
'＝∑明細文書ヘッダ譲渡資産合計金額（税込み）",UN01013091,BBIE,CIIH_ Trade Settlement_ Monetary Summation. Including Taxes_ Line Total. Amount,"A monetary value of the line total, including taxes, being reported in this CIIH trade settlement monetary summation.",Including Taxes Line Total Amount,MonetarySummationTaxesLineTotalAmount,IncludingTaxesLineTotalAmount,/SMEConsolidatedSelfInvoice/CIIHSupplyChainTradeTransaction/ApplicableCIIHSupplyChainTradeSettlement/SpecifiedCIIHTradeSettlementMonetarySummation/IncludingTaxesLineTotalAmount
,,2315,,Composition,CIIH_ Trade Settlement_ Monetary Summation,1,,Specified,0..n,0..0,,,,CI_ Referenced_ Document,,,UN01015493,ASBIE,CIIH_ Trade Settlement_ Monetary Summation. Specified. CI_ Referenced_ Document,A document referenced for the monetary summation of this CIIH trade settlement.,Referenced Document,,SpecifiedDocument,
v1,534,2316,1,Class,CIILB_ Subordinate_ Trade Line Item,0,,,,,,,,,明細行クラス,明細行に関する情報からなるクラス,UN01009647,ABIE,CIILB_ Subordinate_ Trade Line Item. Details,A collection of information specific to a Cross Industry Invoice Line Breakdown (CIILB) item being used or reported on for trade purposes.,CIILB Subordinate Trade Line Item,TransactionSubordinateDocumentDetails,CIILBSubordinateTradeLineItem,
v1,535,2317,2,Attribute,CIILB_ Subordinate_ Trade Line Item,1,PK,Identification,0..n,1..1,Identifier,,,,明細行ID,この文書の明細行に関する情報を特定するために付与した行ID。明細行をユニークに識別するために付番する場合は文書IDとの複合キーで明細行を特定する。,UN01009648,BBIE,CIILB_ Subordinate_ Trade Line Item. Identification. Identifier,An identifier for this CIILB subordinate trade line item.,ID,SubordinateDocumentID,ID,/SMEConsolidatedSelfInvoice/CIIHSupplyChainTradeTransaction/IncludedCIILSupplyChainTradeLineItem/SubordinateCIILBSubordinateTradeLineItem/ID
v4,536,2318,2,Attribute,CIILB_ Subordinate_ Trade Line Item,2,,Category,0..1,0..1,Code,JECxxxx,,,明細行類型コード,"この明細行の取引類型（資産譲渡、返金・追加請求、調整等）を識別するコード。
デフォルトは「資産譲渡」",UN01014637,BBIE,CIILB_ Subordinate_ Trade Line Item. Category. Code,The code specifying the category of this CIILB subordinate trade line item.,Category Code,SubordinateDocumentCategoryCode,CategoryCode,/SMEConsolidatedSelfInvoice/CIIHSupplyChainTradeTransaction/IncludedCIILSupplyChainTradeLineItem/SubordinateCIILBSubordinateTradeLineItem/CategoryCode
,,2319,,Attribute,CIILB_ Subordinate_ Trade Line Item,3,,Response Reason,0..1,0..0,Code,,,,,,UN01014638,BBIE,CIILB_ Subordinate_ Trade Line Item. Response Reason. Code,The code specifying the response reason of this CIILB subordinate trade line item.,Response Reason Code,,ResponseReasonCode,
,,2320,,Attribute,CIILB_ Subordinate_ Trade Line Item,4,,Requested_ Response Type,0..1,0..0,Code,,,,,,UN01015599,BBIE,CIILB_ Subordinate_ Trade Line Item. Requested_ Response Type. Code,The code specifying the type of response requested for this CIILB subordinate trade line item.,Requested Response Type Code,,RequestedResponseTypeCode,
,,2321,,Composition,CIILB_ Subordinate_ Trade Line Item,1,,Specified,0..1,0..0,,,,Referenced_ Product,,,UN01009652,ASBIE,CIILB_ Subordinate_ Trade Line Item. Specified. Referenced_ Product,The referenced product specified for this CIILB subordinate trade line item.,Specified Product,,SpecifiedProduct,
v1,683,2322,2,Composition,CIILB_ Subordinate_ Trade Line Item,2,,Applicable,0..n,1..1,,,,CI_ Trade_ Product,明細行／取引品目グループ,明細行の取引品目に関するグループ,UN01010016,ASBIE,CIILB_ Subordinate_ Trade Line Item. Applicable. CI_ Trade_ Product,A product applicable for this CIILB subordinate trade line item.,Applicable Product,SubordinateDocumentProduct,ApplicableCITradeProduct,/SMEConsolidatedSelfInvoice/CIIHSupplyChainTradeTransaction/IncludedCIILSupplyChainTradeLineItem/SubordinateCIILBSubordinateTradeLineItem/ApplicableCITradeProduct
v1,542,2323,2,Composition,CIILB_ Subordinate_ Trade Line Item,3,,Specified,0..1,1..1,,,,CIILB_ Supply Chain_ Trade Agreement,明細行／取引契約グループ,明細行の取引契約に関するグループ,UN01009649,ASBIE,CIILB_ Subordinate_ Trade Line Item. Specified. CIILB_ Supply Chain_ Trade Agreement,The supply chain trade agreement specified for this CIILB subordinate trade line item.,Trade Agreement,SubordinateDocument,SpecifiedCIILBSupplyChainTradeAgreement,/SMEConsolidatedSelfInvoice/CIIHSupplyChainTradeTransaction/IncludedCIILSupplyChainTradeLineItem/SubordinateCIILBSubordinateTradeLineItem/SpecifiedCIILBSupplyChainTradeAgreement
v1,589,2324,2,Composition,CIILB_ Subordinate_ Trade Line Item,4,,Specified,0..1,1..1,,,,CIILB_ Supply Chain_ Trade Delivery,明細行／配送グループ,明細行の配送に関するグループ,UN01009650,ASBIE,CIILB_ Subordinate_ Trade Line Item. Specified. CIILB_ Supply Chain_ Trade Delivery,The supply chain trade delivery specified for this CIILB subordinate trade line item.,Trade Delivery,SubordinateDocumentDelivery,SpecifiedCIILBSupplyChainTradeDelivery,/SMEConsolidatedSelfInvoice/CIIHSupplyChainTradeTransaction/IncludedCIILSupplyChainTradeLineItem/SubordinateCIILBSubordinateTradeLineItem/SpecifiedCIILBSupplyChainTradeDelivery
v1,608,2325,2,Composition,CIILB_ Subordinate_ Trade Line Item,5,,Specified,0..1,1..1,,,,CIILB_ Supply Chain_ Trade Settlement,明細行／決裁グループ,明細行の決済に関するグループ,UN01009651,ASBIE,CIILB_ Subordinate_ Trade Line Item. Specified. CIILB_ Supply Chain_ Trade Settlement,The supply chain trade settlement specified for this CIILB subordinate trade line item.,Trade Settlement,SubordinateDocument,SpecifiedCIILBSupplyChainTradeSettlement,/SMEConsolidatedSelfInvoice/CIIHSupplyChainTradeTransaction/IncludedCIILSupplyChainTradeLineItem/SubordinateCIILBSubordinateTradeLineItem/SpecifiedCIILBSupplyChainTradeSettlement
v4.2,537,2326,2,Composition,CIILB_ Subordinate_ Trade Line Item,6,,Included,0..n,0..n,,,,CI_ Note,明細行／注釈グループ,明細行の注釈に関するグループ,UN01015533,ASBIE,CIILB_ Subordinate_ Trade Line Item. Included. CI_ Note,A note included in this CIILB subordinate trade line item.,Included Note,SubordinateDocumentNote,IncludedCINote,/SMEConsolidatedSelfInvoice/CIIHSupplyChainTradeTransaction/IncludedCIILSupplyChainTradeLineItem/SubordinateCIILBSubordinateTradeLineItem/IncludedCINote
v1,543,2327,1,Class,CIILB_ Supply Chain_ Trade Agreement,0,,,,,,,,,取引契約クラス,取引契約に関する情報からなるクラス,UN01009653,ABIE,CIILB_ Supply Chain_ Trade Agreement. Details,The contractual terms of a Cross Industry Invoice Line Breakdown (CIILB) supply chain trade agreement.,CIILB Trade Agreement,SubordinateDocumentDetails,CIILBSupplyChainTradeAgreement,
v1,544,2328,2,Composition,CIILB_ Supply Chain_ Trade Agreement,1,,Seller Order_ Referenced,0..1,0..1,,,,CI_ Referenced_ Document,明細行契約／明細行参照受注書グループ,取引契約と明細行参照受注書に関するグループ,UN01009654,ASBIE,CIILB_ Supply Chain_ Trade Agreement. Seller Order_ Referenced. CI_ Referenced_ Document,The seller order document referenced in this CIILB supply chain trade agreement.,Seller Order Document,SubordinateDocumentSellerOrderReferencedReferencedDocument,SellerOrderReferencedCIReferencedDocument,/SMEConsolidatedSelfInvoice/CIIHSupplyChainTradeTransaction/IncludedCIILSupplyChainTradeLineItem/SubordinateCIILBSubordinateTradeLineItem/SpecifiedCIILBSupplyChainTradeAgreement/SellerOrderReferencedCIReferencedDocument
v1,551,2329,2,Composition,CIILB_ Supply Chain_ Trade Agreement,2,,Buyer Order_ Referenced,0..1,0..1,,,,CI_ Referenced_ Document,明細行契約／明細行参照注文書グループ,取引契約と明細行参照注文書に関するグループ,UN01009655,ASBIE,CIILB_ Supply Chain_ Trade Agreement. Buyer Order_ Referenced. CI_ Referenced_ Document,The buyer order document referenced in this CIILB supply chain trade agreement.,Buyer Order Document,SubordinateDocumentBuyerOrderReferencedReferencedDocument,BuyerOrderReferencedCIReferencedDocument,/SMEConsolidatedSelfInvoice/CIIHSupplyChainTradeTransaction/IncludedCIILSupplyChainTradeLineItem/SubordinateCIILBSubordinateTradeLineItem/SpecifiedCIILBSupplyChainTradeAgreement/BuyerOrderReferencedCIReferencedDocument
v1,597,2330,2,Composition,CIILB_ Supply Chain_ Trade Agreement,3,,Additional_ Referenced,0..n,0..1,,,,CI_ Referenced_ Document,明細行契約／明細行出荷案内書グループ,"取引契約と明細行出荷案内書に関するグループ
UN01009672＝＝「351」Despatch advice（出荷案内書）を指定",UN01009656,ASBIE,CIILB_ Supply Chain_ Trade Agreement. Additional_ Referenced. CI_ Referenced_ Document,An additional document referenced in this CIILB supply chain trade agreement.,Additional Document,SubordinateDocumentDeliveryReferencedReferencedDocument,AdditionalReferencedCIReferencedDocument,/SMEConsolidatedSelfInvoice/CIIHSupplyChainTradeTransaction/IncludedCIILSupplyChainTradeLineItem/SubordinateCIILBSubordinateTradeLineItem/SpecifiedCIILBSupplyChainTradeDelivery/AdditionalReferencedCIReferencedDocument
,,2331,,Composition,CIILB_ Supply Chain_ Trade Agreement,4,,Gross Price_ Product,0..n,0..0,,,,CI_ Trade_ Price,,,UN01009657,ASBIE,CIILB_ Supply Chain_ Trade Agreement. Gross Price_ Product. CI_ Trade_ Price,A gross product price in this CIILB supply chain trade agreement.,Product Gross Price,,GrossPriceProductPrice,
v1,583,2332,2,Composition,CIILB_ Supply Chain_ Trade Agreement,5,,Net Price_ Product,0..n,1..1,,,,CI_ Trade_ Price,明細行契約／契約単価グループ,明細行の契約単価に関するグループ。,UN01009658,ASBIE,CIILB_ Supply Chain_ Trade Agreement. Net Price_ Product. CI_ Trade_ Price,A net product price in this CIILB supply chain trade agreement.,Product Net Price,SubordinateDocumentNetPriceProductPrice,NetPriceProductCITradePrice,/SMEConsolidatedSelfInvoice/CIIHSupplyChainTradeTransaction/IncludedCIILSupplyChainTradeLineItem/SubordinateCIILBSubordinateTradeLineItem/SpecifiedCIILBSupplyChainTradeAgreement/NetPriceProductCITradePrice
v1,590,2333,1,Class,CIILB_ Supply Chain_ Trade Delivery,0,,,,,,,,,明細行納入クラス,明細行の納入に関する情報からなるクラス,UN01009659,ABIE,CIILB_ Supply Chain_ Trade Delivery. Details,Cross Industry Invoice Line Breakdown (CIILB) supply chain shipping arrangements and movement of products and or services including despatch and delivery.,CIILB Trade Delivery,SubordinateDocumentDeliveryDetails,CIILBSupplyChainTradeDelivery,
,,2334,,Attribute,CIILB_ Supply Chain_ Trade Delivery,1,,Package,0..1,0..0,Quantity,,,,,,UN01009660,BBIE,CIILB_ Supply Chain_ Trade Delivery. Package. Quantity,The number of packages in this CIILB supply chain trade delivery.,Package Quantity,,PackageQuantity,
v４,591,2335,2,Attribute,CIILB_ Supply Chain_ Trade Delivery,2,,Product_ Unit,0..1,0..1,Quantity,"数量単位コード
UNECE Rec20",,,配送バラ数量,"配送数量がセット数量単位属性を指定の場合に利用する。
配送バラ数量＝配送数量（属性：セット）×セット単位数量（入り数）（属性：個、または不定貫品目量）",UN01009661,BBIE,CIILB_ Supply Chain_ Trade Delivery. Product_ Unit. Quantity,The number of product units in this CIILB supply chain trade delivery.,Product Unit Quantity,SubordinateDocumentDeliveryProductUnitQuantity,ProductUnitQuantity,/SMEConsolidatedSelfInvoice/CIIHSupplyChainTradeTransaction/IncludedCIILSupplyChainTradeLineItem/SubordinateCIILBSubordinateTradeLineItem/SpecifiedCIILBSupplyChainTradeDelivery/ProductUnitQuantity
v3/v4,593,2336,2,Attribute,CIILB_ Supply Chain_ Trade Delivery,3,,Per Package_ Unit,0..1,0..1,Quantity,"数量単位コード
UNECE Rec20",,,配送セット単位数量(入り数）,"✔ 配送数量の数量単位指定が定貫品目（セット）の場合：1セット当たりのバラ数量を入力。
✔配送数量がハイブリッド品目（セット）の場合：配送数量で指定したセット数量の1単位当たりの重量・容量（個数でカウントできない不定貫品目の数量単位属性）を入力
✔配送数量の 数量単位指定が定貫品目（個）の場合：利用しない
✔ 配送数量の数量単位指定が不定貫品目の場合：利用しない。",UN01009662,BBIE,CIILB_ Supply Chain_ Trade Delivery. Per Package_ Unit. Quantity,The number of units per package in this CIILB supply chain trade delivery.,Per Package Unit Quantity,SubordinateDocumentDeliveryPerPackageUnitQuantity,PerPackageUnitQuantity,/SMEConsolidatedSelfInvoice/CIIHSupplyChainTradeTransaction/IncludedCIILSupplyChainTradeLineItem/SubordinateCIILBSubordinateTradeLineItem/SpecifiedCIILBSupplyChainTradeDelivery/PerPackageUnitQuantity
v1,595,2337,2,Attribute,CIILB_ Supply Chain_ Trade Delivery,4,,Billed,0..1,1..1,Quantity,"数量単位コード
UNECE Rec20",,,配送数量,"この情報項目はずべての品目の配送数量の指定に利用する。
この項目の数量単位属性は次のいずれかを選択：「個」、「セット」、「不定貫数量単位」",UN01014639,BBIE,CIILB_ Supply Chain_ Trade Delivery. Billed. Quantity,The billed quantity of this CIILB supply chain trade delivery.,Billed Quantity,SubordinateDocumentDeliveryBilledQuantity,BilledQuantity,/SMEConsolidatedSelfInvoice/CIIHSupplyChainTradeTransaction/IncludedCIILSupplyChainTradeLineItem/SubordinateCIILBSubordinateTradeLineItem/SpecifiedCIILBSupplyChainTradeDelivery/BilledQuantity
,,2338,,Composition,CIILB_ Supply Chain_ Trade Delivery,1,,Included,0..n,0..0,,,,CI_ Supply Chain_ Packaging,,,UN01009663,ASBIE,CIILB_ Supply Chain_ Trade Delivery. Included. CI_ Supply Chain_ Packaging,Packaging included in this CIILB supply chain trade delivery.,Included Packaging,,IncludedPackaging,
,,2339,,Composition,CIILB_ Supply Chain_ Trade Delivery,2,,Actual_ Delivery,0..1,0..0,,,,CI_ Supply Chain_ Event,,,UN01014640,ASBIE,CIILB_ Supply Chain_ Trade Delivery. Actual_ Delivery. CI_ Supply Chain_ Event,The actual supply chain delivery event for a line item in this CIILB supply chain trade delivery.,Actual Delivery Event,,ActualDeliveryEvent,
v4.3,678,0,2,Composition,CIILB_ Supply Chain_ Trade Settlement,0,,Receivable_ Specified,Not defined in D24A,0..1,,,,CI_ Trade_ Accounting Account,明細行／会計アカウントグループ,この明細行の会計アカウントに関するグループ,JPSxxxxxxxx,ASBIE,CIILB_ Supply Chain_ Trade Settlement. Receivable_ Specified. CI_ Trade_ Accounting Account,,,SubordinateDocumentReceivableAccountingAccount,ReceivableSpecifiedCITradeAccountingAccount,/SMEConsolidatedSelfInvoice/CIIHSupplyChainTradeTransaction/IncludedCIILSupplyChainTradeLineItem/SubordinateCIILBSubordinateTradeLineItem/SpecifiedCIILBSupplyChainTradeSettlement/ReceivableSpecifiedCITradeAccountingAccount
