version,sme_nr,mbie_nr,level,property_type,class_term,sequence,multiplicity,multiplicity_sme,identifier,property_term,representation_term,code_list,XML_datatype,associated_class,selector,fixed_value,label_sme,label_csv,definition_sme,label_ja,definition_ja,UNID,acronym,DEN,definition,short_name,element,XML_element_name,selfbilling,amendment_selfbilling,single_selfbilling,core_selfbilling,pint_id,business_term,card
v4,672.0,3856,2,Attribute,(Included/Subordinate/Specified/Specified) CI_ Trade_ Allowance Charge[Charge. Indicator=false],8,0..1,0..1,,Reason,Allowance Charge Reason_ Code,UNCL4465 D24Aと一致. / UNTDED 4465 Adjustment reason description code <Code specifying the adjustment reason.> (an..3)  https://service.unece.org/trade/untdid/d23a/tred/tred4465.htm | XMLSchema /uncefact/codelist/standard/UNECE_AllowanceChargeReasonCode_D23A.xsd,qdt:AllowanceChargeReasonCodeType,,,,明細行返金理由コード,明細行返金理由コード,この明細行の返金理由を識別するコード,理由コード,インボイスの取引許容料の理由を特定するコード。,UN01005714,BBIE,CI_ Trade_ Allowance Charge. Reason. Code,The code specifying the reason for this CI trade allowance charge.,Reason Code,ReasonCode,ReasonCode,＊,＊,＊,＊,IBT-140,Invoice line allowance reason code,0..1
v4,673.0,3857,2,Attribute,(Included/Subordinate/Specified/Specified) CI_ Trade_ Allowance Charge[Charge. Indicator=false],9,0..1,0..1,,Reason,Text,,udt:TextType,,,,明細行返金理由,明細行返金理由,"この明細行の返金理由（内容）の説明
軽減税率対象の場合は軽減符号を付記",理由テキスト,インボイスの取引許容料の理由をテキストで表現したもの。,UN01005715,BBIE,CI_ Trade_ Allowance Charge. Reason. Text,"The reason, expressed as text, for this CI trade allowance charge.",Reason Text,Reason,Reason,＊,＊,＊,＊,IBT-139,Invoice line allowance reason,0..1
v4.1,674.0,3859,2,Attribute,(Included/Subordinate/Specified/Specified) CI_ Trade_ Allowance Charge[Charge. Indicator=false],11,0..1,0..1,,Basis,Amount,,udt:AmountType,,,,明細行返金計算根拠金額,明細行返金計算根拠金額,この明細行返金の計算根拠となる金額,基準額,インボイスの取引手当または手数料の計算基準となる金額。,UN01008286,BBIE,CI_ Trade_ Allowance Charge. Basis. Amount,The monetary value that is the basis on which this CI trade allowance or charge is calculated.,Basis Amount,BasisAmount,BasisAmount,＊,＊,＊,,IBT-137,Invoice line allowance base amount,0..1
v4,675.0,3861,2,Composition,(Included/Subordinate/Specified/Specified) CI_ Trade_ Allowance Charge[Charge. Indicator=false],1,0..n,0..n,,,,,ram:CITradeTaxType,(Included/Subordinate/Specified/Specified/Category) CI_ Trade_ Tax,,,明細行返金／税グループ,明細行返金税,明細行返金の税に関するグループ,税金のカテゴリ,インボイスの取引手当課徴金の税区分。,UN01005716,ASBIE,CI_ Trade_ Allowance Charge. Category. CI_ Trade_ Tax,A tax category of this CI trade allowance charge.,Tax Category,CategoryCITradeTax,CategoryCITradeTax,＊,＊,＊,＊,,,
v4.1,680.0,3848,1,Class,(Included/Subordinate/Specified/Specified) CI_ Trade_ Allowance Charge[Charge. Indicator=true],,,,,,,,ram:CITradeAllowanceChargeType,,,,明細行追加請求クラス,明細行追加請求クラス,明細行追加請求クラス,CI 取引手当/手数料,取引目的の価格設定要素（サービス、プロモーション、手当、料金など）。,UN01005706,ABIE,CI_ Trade_ Allowance Charge. Details,"A component of pricing, such as a service, promotion, allowance or charge, for Cross Industry (CI) trade purposes.",CI Trade Allowance/Charge,,,,,,,,,
v4.1,681.0,3849,2,Attribute,(Included/Subordinate/Specified/Specified) CI_ Trade_ Allowance Charge[Charge. Indicator=true],1,0..1,1..1,,Charge,Indicator,JECxxxx D24A定義なし,udt:IndicatorType,,,TRUE,"明細行返金・追加請求判別子
    =追加請求（Charge）",明細行追加請求判別子,明細行返金・追加請求判別子=true (Charge),充電インジケーター,インボイスの取引手当料金が課金対象であるか否かの表示。,UN01005707,BBIE,CI_ Trade_ Allowance Charge. Charge. Indicator,The indication of whether or not this CI trade allowance charge is a charge.,Charge Indicator,ChargeIndicator,ChargeIndicator,●,●,●,●,,,
v4.1,682.0,3852,2,Attribute,(Included/Subordinate/Specified/Specified) CI_ Trade_ Allowance Charge[Charge. Indicator=true],4,0..1,0..1,,Calculation,Percent,,udt:PercentType,,,,明細行追加請求計算率,明細行追加請求計算率,この明細行追加請求を計算するための率,計算パーセント,インボイスの取引手当料金を計算するために適用されるパーセンテージ。,UN01005710,BBIE,CI_ Trade_ Allowance Charge. Calculation. Percent,The percentage applied to calculate this CI trade allowance charge.,Calculation Percent,CalculationPercent,CalculationPercent,＊,＊,＊,,IBT-143,Invoice line charge percentage,0..1
v4.1,683.0,3855,2,Attribute,(Included/Subordinate/Specified/Specified) CI_ Trade_ Allowance Charge[Charge. Indicator=true],7,0..n,0..1,,Actual,Amount,,udt:AmountType,,,,明細行追加請求金額,明細行追加請求金額,この明細行に紐付く追加請求金額。,実際の金額,インボイスの取引許容料の実際の金額。,UN01005713,BBIE,CI_ Trade_ Allowance Charge. Actual. Amount,An actual monetary value of this CI trade allowance charge.,Actual Amount,ActualAmount,ActualAmount,＊,＊,＊,＊,IBT-141,Invoice line charge amount,1..1
v4.1,684.0,3856,2,Attribute,(Included/Subordinate/Specified/Specified) CI_ Trade_ Allowance Charge[Charge. Indicator=true],8,0..1,0..1,,Reason,Allowance Charge Reason_ Code,UNCL4465 D24Aと一致. / UNTDED 4465 Adjustment reason description code <Code specifying the adjustment reason.> (an..3)  https://service.unece.org/trade/untdid/d23a/tred/tred4465.htm | XMLSchema /uncefact/codelist/standard/UNECE_AllowanceChargeReasonCode_D23A.xsd,qdt:AllowanceChargeReasonCodeType,,,,明細行追加請求理由コード,明細行追加請求理由コード,この明細行の追加請求理由を識別するコード,理由コード,インボイスの取引許容料の理由を特定するコード。,UN01005714,BBIE,CI_ Trade_ Allowance Charge. Reason. Code,The code specifying the reason for this CI trade allowance charge.,Reason Code,ReasonCode,ReasonCode,＊,＊,＊,＊,IBT-145,Invoice line charge reason code,0..1
v4.1,685.0,3857,2,Attribute,(Included/Subordinate/Specified/Specified) CI_ Trade_ Allowance Charge[Charge. Indicator=true],9,0..1,0..1,,Reason,Text,,udt:TextType,,,,明細行追加請求理由,明細行追加請求理由,この明細行の追加請求理由（内容）の説明,理由テキスト,インボイスの取引許容料の理由をテキストで表現したもの。,UN01005715,BBIE,CI_ Trade_ Allowance Charge. Reason. Text,"The reason, expressed as text, for this CI trade allowance charge.",Reason Text,Reason,Reason,＊,＊,＊,＊,IBT-144,Invoice line charge reason,0..1
v4.1,686.0,3859,2,Attribute,(Included/Subordinate/Specified/Specified) CI_ Trade_ Allowance Charge[Charge. Indicator=true],11,0..1,0..1,,Basis,Amount,,udt:AmountType,,,,明細行追加請求計算根拠金額,明細行追加請求計算根拠金額,この明細行追加請求の計算根拠となる金額,基準額,インボイスの取引手当または手数料の計算基準となる金額。,UN01008286,BBIE,CI_ Trade_ Allowance Charge. Basis. Amount,The monetary value that is the basis on which this CI trade allowance or charge is calculated.,Basis Amount,BasisAmount,BasisAmount,＊,＊,＊,,IBT-142,Invoice line charge base amount,0..1
v4,687.0,3861,2,Composition,(Included/Subordinate/Specified/Specified) CI_ Trade_ Allowance Charge[Charge. Indicator=true],1,0..n,0..n,,,,,ram:CITradeTaxType,(Included/Subordinate/Specified/Specified/Category) CI_ Trade_ Tax,,,明細行追加請求／税グループ,明細行追加請求税,明細行追加請求の税に関するグループ,税金のカテゴリ,インボイスの取引手当課徴金の税区分。,UN01005716,ASBIE,CI_ Trade_ Allowance Charge. Category. CI_ Trade_ Tax,A tax category of this CI trade allowance charge.,Tax Category,CategoryCITradeTax,CategoryCITradeTax,＊,＊,＊,＊,,,
v4.2,711.0,3606,1,Class,(Included/Subordinate/Applicable/Designated) CI_ Product_ Classification,,,,,,,,ram:CIProductClassificationType,,,,品目分類クラス,品目分類クラス,取引品目の分類に関するクラス,CI製品分類,確立された基準に従って、インボイスの製品をクラスまたはカテゴリーに体系的に分類したもの。,UN01005573,ABIE,CI_ Product_ Classification. Details,A systematic arrangement of Cross Industry (CI) products in classes or categories according to established criteria.,CI Product Classification,,,,,,,,,
v4.2,712.0,3607,2,Attribute,(Included/Subordinate/Applicable/Designated) CI_ Product_ Classification,1,0..1,0..1,,System,Identifier,D24A TDED 9019 Attribute description code <Code specifying an attribute.> (an..17) コード値の定義なし https://service.unece.org/trade/untdid/d23a/tred/tred9019.htm,udt:IDType,,,,品目分類,品目分類ID,この取引品目の分類のID,システムID,インボイスの製品分類の分類システムの一意の識別子。,UN01005574,BBIE,CI_ Product_ Classification. System. Identifier,The unique identifier of the classification system for this CI product classification.,System ID,SystemID,SystemID,＊,＊,＊,,IBT-158,Item classification identifier,0..1
v4,121.0,4093,1,Class,(Applicable/Buyer/Defined/Email_ URI) CI_ Universal_ Communication,,,,,,,,ram:CIUniversalCommunicationType,,,,電子メール通信クラス,発注者連絡先電子メール通信クラス,通信（電子メール）に関する情報からなるクラス。,CIコミュニケーション,インボイス目的のためのメッセージまたは情報の交換。,UN01005857,ABIE,CI_ Universal_ Communication. Details,The exchange of messages or information for Cross Industry (CI) purposes.,CI Communication,,,,,,,,,
v4,122.0,4094,2,Attribute,(Applicable/Buyer/Defined/Email_ URI) CI_ Universal_ Communication,1,0..1,0..1,,URI,Identifier,D24A TDED 3148 Communication address identifier <To identify a communication address.> (an..512) コード値の定義なし https://service.unece.org/trade/untdid/d23a/tred/tred3148.htm,udt:IDType,,,,発注者メールアドレス,発注者メールアドレス,発注者の電子メールアドレス。,URI,インボイスのユニバーサルコミュニケーションの、Web アドレスや E メールアドレスなどの統一リソース識別子 (URI)。,UN01005858,BBIE,CI_ Universal_ Communication. URI. Identifier,"The Uniform Resource Identifier (URI), such as a web or an email address, for this CI universal communication.",URI,URIID,URIID,＊,＊,＊,＊,IBT-058,Buyer contact email address,0..1
v4,118.0,4093,1,Class,(Applicable/Buyer/Defined/Fax) CI_ Universal_ Communication,,,,,,,,ram:CIUniversalCommunicationType,,,,FAX通信クラス,発注者連絡先FAX通信クラス,通信（FAX）に関する情報からなるクラス。,CIコミュニケーション,インボイス目的のためのメッセージまたは情報の交換。,UN01005857,ABIE,CI_ Universal_ Communication. Details,The exchange of messages or information for Cross Industry (CI) purposes.,CI Communication,,,,,,,,,
v4,119.0,4096,2,Attribute,(Applicable/Buyer/Defined/Fax) CI_ Universal_ Communication,3,0..1,0..1,,Complete Number,Text,D24A TDED 3148 Communication address identifier <To identify a communication address.> (an..512) コード値の定義なし https://service.unece.org/trade/untdid/d23a/tred/tred3148.htm,udt:TextType,,,,発注者FAX番号,発注者FAX番号,発注者のFAX番号,完全な番号,インボイスのユニバーサルコミュニケーションの完全な番号を構成する文字列。,UN01005860,BBIE,CI_ Universal_ Communication. Complete Number. Text,The text string of characters that make up the complete number for this CI universal communication.,Complete Number,CompleteNumber,CompleteNumber,＊,＊,＊,＊,,,
v1,115.0,4093,1,Class,(Applicable/Buyer/Defined/Telephone) CI_ Universal_ Communication,,,,,,,,ram:CIUniversalCommunicationType,,,,電話通信クラス,発注者連絡先電話通信クラス,通信（電話）に関する情報からなるクラス。,CIコミュニケーション,インボイス目的のためのメッセージまたは情報の交換。,UN01005857,ABIE,CI_ Universal_ Communication. Details,The exchange of messages or information for Cross Industry (CI) purposes.,CI Communication,,,,,,,,,
v1,116.0,4096,2,Attribute,(Applicable/Buyer/Defined/Telephone) CI_ Universal_ Communication,3,0..1,0..1,,Complete Number,Text,D24A TDED 3148 Communication address identifier <To identify a communication address.> (an..512) コード値の定義なし https://service.unece.org/trade/untdid/d23a/tred/tred3148.htm,udt:TextType,,,,発注者電話番号,発注者電話番号,発注者の電話番号。,完全な番号,インボイスのユニバーサルコミュニケーションの完全な番号を構成する文字列。,UN01005860,BBIE,CI_ Universal_ Communication. Complete Number. Text,The text string of characters that make up the complete number for this CI universal communication.,Complete Number,CompleteNumber,CompleteNumber,＊,＊,＊,＊,IBT-057,Buyer contact telephone number,0..1
v4.1,131.0,4093,1,Class,(Applicable/Buyer/URI) CI_ Universal_ Communication,,,,,,,,ram:CIUniversalCommunicationType,,,,国際アドレス（汎用通信情報）クラス,発注者汎用通信エンドポイントURIクラス,国際アドレスクラス,CIコミュニケーション,インボイス目的のためのメッセージまたは情報の交換。,UN01005857,ABIE,CI_ Universal_ Communication. Details,The exchange of messages or information for Cross Industry (CI) purposes.,CI Communication,,,,,,,,,
v4.3,132.0,4094,2,Attribute,(Applicable/Buyer/URI) CI_ Universal_ Communication,1,0..1,1..1,,URI,Identifier,D24A TDED 3148 Communication address identifier <To identify a communication address.> (an..512) コード値の定義なし https://service.unece.org/trade/untdid/d23a/tred/tred3148.htm,udt:IDType,,,,発注者者国際アドレス（汎用通信情報）,発注者汎用通信エンドポイントURI番号,国際アドレス登録機関が付与する発注者国際アドレス番号,URI,インボイスのユニバーサルコミュニケーションの、Web アドレスや E メールアドレスなどの統一リソース識別子 (URI)。,UN01005858,BBIE,CI_ Universal_ Communication. URI. Identifier,"The Uniform Resource Identifier (URI), such as a web or an email address, for this CI universal communication.",URI,URIID,URIID,●,●,●,●,IBT-049,Buyer electronic address,1..1
v4,199.0,4093,1,Class,(Applicable/Invoicee/Defined/Email_ URI) CI_ Universal_ Communication,,,,,,,,ram:CIUniversalCommunicationType,,,,電子メール通信クラス,請求先連絡先電子メール通信クラス,通信（電子メール）に関する情報からなるクラス。,CIコミュニケーション,インボイス目的のためのメッセージまたは情報の交換。,UN01005857,ABIE,CI_ Universal_ Communication. Details,The exchange of messages or information for Cross Industry (CI) purposes.,CI Communication,,,,,,,,,
v4,200.0,4094,2,Attribute,(Applicable/Invoicee/Defined/Email_ URI) CI_ Universal_ Communication,1,0..1,0..1,,URI,Identifier,D24A TDED 3148 Communication address identifier <To identify a communication address.> (an..512) コード値の定義なし https://service.unece.org/trade/untdid/d23a/tred/tred3148.htm,udt:IDType,,,,請求先メールアドレス,請求先連絡先電子メールアドレス,請求先の電子メールアドレス。,URI,インボイスのユニバーサルコミュニケーションの、Web アドレスや E メールアドレスなどの統一リソース識別子 (URI)。,UN01005858,BBIE,CI_ Universal_ Communication. URI. Identifier,"The Uniform Resource Identifier (URI), such as a web or an email address, for this CI universal communication.",URI,URIID,URIID,＊,＊,,,,,
v1,196.0,4093,1,Class,(Applicable/Invoicee/Defined/Fax) CI_ Universal_ Communication,,,,,,,,ram:CIUniversalCommunicationType,,,,FAX通信クラス,請求先連絡先FAX通信クラス,通信（FAX）に関する情報からなるクラス。,CIコミュニケーション,インボイス目的のためのメッセージまたは情報の交換。,UN01005857,ABIE,CI_ Universal_ Communication. Details,The exchange of messages or information for Cross Industry (CI) purposes.,CI Communication,,,,,,,,,
v1,197.0,4096,2,Attribute,(Applicable/Invoicee/Defined/Fax) CI_ Universal_ Communication,3,0..1,0..1,,Complete Number,Text,D24A TDED 3148 Communication address identifier <To identify a communication address.> (an..512) コード値の定義なし https://service.unece.org/trade/untdid/d23a/tred/tred3148.htm,udt:TextType,,,,請求先FAX番号,請求先連絡先FAX番号,請求先のFAX番号,完全な番号,インボイスのユニバーサルコミュニケーションの完全な番号を構成する文字列。,UN01005860,BBIE,CI_ Universal_ Communication. Complete Number. Text,The text string of characters that make up the complete number for this CI universal communication.,Complete Number,CompleteNumber,CompleteNumber,＊,＊,,,,,
v4,193.0,4093,1,Class,(Applicable/Invoicee/Defined/Telephone) CI_ Universal_ Communication,,,,,,,,ram:CIUniversalCommunicationType,,,,電話通信クラス,請求先連絡先電話通信クラス,通信（電話）に関する情報からなるクラス。,CIコミュニケーション,インボイス目的のためのメッセージまたは情報の交換。,UN01005857,ABIE,CI_ Universal_ Communication. Details,The exchange of messages or information for Cross Industry (CI) purposes.,CI Communication,,,,,,,,,
v2,194.0,4096,2,Attribute,(Applicable/Invoicee/Defined/Telephone) CI_ Universal_ Communication,3,0..1,0..1,,Complete Number,Text,D24A TDED 3148 Communication address identifier <To identify a communication address.> (an..512) コード値の定義なし https://service.unece.org/trade/untdid/d23a/tred/tred3148.htm,udt:TextType,,,,請求先電話番号,請求先連絡先電話番号,請求先の電話番号。,完全な番号,インボイスのユニバーサルコミュニケーションの完全な番号を構成する文字列。,UN01005860,BBIE,CI_ Universal_ Communication. Complete Number. Text,The text string of characters that make up the complete number for this CI universal communication.,Complete Number,CompleteNumber,CompleteNumber,＊,＊,,,,,
v4.1,209.0,4093,1,Class,(Applicable/Invoicee/URI) CI_ Universal_ Communication,,,,,,,,ram:CIUniversalCommunicationType,,,,国際アドレス（汎用通信情報）クラス,請求先国際アドレスクラス,国際アドレスクラス,CIコミュニケーション,インボイス目的のためのメッセージまたは情報の交換。,UN01005857,ABIE,CI_ Universal_ Communication. Details,The exchange of messages or information for Cross Industry (CI) purposes.,CI Communication,,,,,,,,,
v4.3,210.0,4094,2,Attribute,(Applicable/Invoicee/URI) CI_ Universal_ Communication,1,0..1,0..1,,URI,Identifier,D24A TDED 3148 Communication address identifier <To identify a communication address.> (an..512) コード値の定義なし https://service.unece.org/trade/untdid/d23a/tred/tred3148.htm,udt:IDType,,,,請求先国際アドレス（汎用通信情報）,請求先国際アドレス番号,国際アドレス登録機関が付与する請求先国際アドレス番号,URI,インボイスのユニバーサルコミュニケーションの、Web アドレスや E メールアドレスなどの統一リソース識別子 (URI)。,UN01005858,BBIE,CI_ Universal_ Communication. URI. Identifier,"The Uniform Resource Identifier (URI), such as a web or an email address, for this CI universal communication.",URI,URIID,URIID,＊,＊,,,,,
v4,168.0,4093,1,Class,(Applicable/Invoicer/Defined/Email_ URI) CI_ Universal_ Communication,,,,,,,,ram:CIUniversalCommunicationType,,,,電子メール通信クラス,請求者連絡先電子メール通信クラス,通信（電子メール）に関する情報からなるクラス。,CIコミュニケーション,インボイス目的のためのメッセージまたは情報の交換。,UN01005857,ABIE,CI_ Universal_ Communication. Details,The exchange of messages or information for Cross Industry (CI) purposes.,CI Communication,,,,,,,,,
v4,169.0,4094,2,Attribute,(Applicable/Invoicer/Defined/Email_ URI) CI_ Universal_ Communication,1,0..1,0..1,,URI,Identifier,D24A TDED 3148 Communication address identifier <To identify a communication address.> (an..512) コード値の定義なし https://service.unece.org/trade/untdid/d23a/tred/tred3148.htm,udt:IDType,,,,請求者メールアドレス,請求者連絡先電子メールアドレス,請求者の電子メールアドレス。,URI,インボイスのユニバーサルコミュニケーションの、Web アドレスや E メールアドレスなどの統一リソース識別子 (URI)。,UN01005858,BBIE,CI_ Universal_ Communication. URI. Identifier,"The Uniform Resource Identifier (URI), such as a web or an email address, for this CI universal communication.",URI,URIID,URIID,＊,＊,,,,,
v4,165.0,4093,1,Class,(Applicable/Invoicer/Defined/Fax) CI_ Universal_ Communication,,,,,,,,ram:CIUniversalCommunicationType,,,,FAX通信クラス,請求者連絡先FAX通信クラス,通信（FAX）に関する情報からなるクラス。,CIコミュニケーション,インボイス目的のためのメッセージまたは情報の交換。,UN01005857,ABIE,CI_ Universal_ Communication. Details,The exchange of messages or information for Cross Industry (CI) purposes.,CI Communication,,,,,,,,,
v4,166.0,4096,2,Attribute,(Applicable/Invoicer/Defined/Fax) CI_ Universal_ Communication,3,0..1,0..1,,Complete Number,Text,D24A TDED 3148 Communication address identifier <To identify a communication address.> (an..512) コード値の定義なし https://service.unece.org/trade/untdid/d23a/tred/tred3148.htm,udt:TextType,,,,請求者FAX番号,請求者連絡先FAX番号,請求者のFAX番号,完全な番号,インボイスのユニバーサルコミュニケーションの完全な番号を構成する文字列。,UN01005860,BBIE,CI_ Universal_ Communication. Complete Number. Text,The text string of characters that make up the complete number for this CI universal communication.,Complete Number,CompleteNumber,CompleteNumber,＊,＊,,,,,
v2,162.0,4093,1,Class,(Applicable/Invoicer/Defined/Telephone) CI_ Universal_ Communication,,,,,,,,ram:CIUniversalCommunicationType,,,,電話通信クラス,請求者連絡先電話通信クラス,通信（電話）に関する情報からなるクラス。,CIコミュニケーション,インボイス目的のためのメッセージまたは情報の交換。,UN01005857,ABIE,CI_ Universal_ Communication. Details,The exchange of messages or information for Cross Industry (CI) purposes.,CI Communication,,,,,,,,,
v2,163.0,4096,2,Attribute,(Applicable/Invoicer/Defined/Telephone) CI_ Universal_ Communication,3,0..1,0..1,,Complete Number,Text,D24A TDED 3148 Communication address identifier <To identify a communication address.> (an..512) コード値の定義なし https://service.unece.org/trade/untdid/d23a/tred/tred3148.htm,udt:TextType,,,,請求者電話番号,請求者連絡先電話番号,請求者の電話番号。,完全な番号,インボイスのユニバーサルコミュニケーションの完全な番号を構成する文字列。,UN01005860,BBIE,CI_ Universal_ Communication. Complete Number. Text,The text string of characters that make up the complete number for this CI universal communication.,Complete Number,CompleteNumber,CompleteNumber,＊,＊,,,,,
v4.1,152.2,4093,1,Class,(Applicable/Invoicer/URI) CI_ Universal_ Communication,,,,,,,,ram:CIUniversalCommunicationType,,,,国際アドレス（汎用通信情報）クラス,請求者汎用通信エンドポイントURIクラス,国際アドレスクラス,CIコミュニケーション,インボイス目的のためのメッセージまたは情報の交換。,UN01005857,ABIE,CI_ Universal_ Communication. Details,The exchange of messages or information for Cross Industry (CI) purposes.,CI Communication,,,,,,,,,
v4.3,152.3,4094,2,Attribute,(Applicable/Invoicer/URI) CI_ Universal_ Communication,1,0..1,0..1,,URI,Identifier,D24A TDED 3148 Communication address identifier <To identify a communication address.> (an..512) コード値の定義なし https://service.unece.org/trade/untdid/d23a/tred/tred3148.htm,udt:IDType,,,,請求者国際アドレス（汎用通信情報）,請求者汎用通信エンドポイントURI番号,国際アドレス登録機関が付与する発注者国際アドレス番号,URI,インボイスのユニバーサルコミュニケーションの、Web アドレスや E メールアドレスなどの統一リソース識別子 (URI)。,UN01005858,BBIE,CI_ Universal_ Communication. URI. Identifier,"The Uniform Resource Identifier (URI), such as a web or an email address, for this CI universal communication.",URI,URIID,URIID,●,●,●,●,IBT-049,Buyer electronic address,1..1
v4,230.0,4093,1,Class,(Applicable/Payee/Defined/Email_ URI) CI_ Universal_ Communication,,,,,,,,ram:CIUniversalCommunicationType,,,,電子メール通信クラス,支払先連絡先電子メール通信クラス,通信（電子メール）に関する情報からなるクラス。,CIコミュニケーション,インボイス目的のためのメッセージまたは情報の交換。,UN01005857,ABIE,CI_ Universal_ Communication. Details,The exchange of messages or information for Cross Industry (CI) purposes.,CI Communication,,,,,,,,,
v4,231.0,4094,2,Attribute,(Applicable/Payee/Defined/Email_ URI) CI_ Universal_ Communication,1,0..1,0..1,,URI,Identifier,D24A TDED 3148 Communication address identifier <To identify a communication address.> (an..512) コード値の定義なし https://service.unece.org/trade/untdid/d23a/tred/tred3148.htm,udt:IDType,,,,支払先メールアドレス,支払先連絡先電子メールアドレス,支払先の電子メールアドレス。,URI,インボイスのユニバーサルコミュニケーションの、Web アドレスや E メールアドレスなどの統一リソース識別子 (URI)。,UN01005858,BBIE,CI_ Universal_ Communication. URI. Identifier,"The Uniform Resource Identifier (URI), such as a web or an email address, for this CI universal communication.",URI,URIID,URIID,＊,＊,＊,,,,
v4,227.0,4093,1,Class,(Applicable/Payee/Defined/Fax) CI_ Universal_ Communication,,,,,,,,ram:CIUniversalCommunicationType,,,,FAX通信クラス,支払先連絡先FAX通信クラス,通信（FAX）に関する情報からなるクラス。,CIコミュニケーション,インボイス目的のためのメッセージまたは情報の交換。,UN01005857,ABIE,CI_ Universal_ Communication. Details,The exchange of messages or information for Cross Industry (CI) purposes.,CI Communication,,,,,,,,,
v4,228.0,4096,2,Attribute,(Applicable/Payee/Defined/Fax) CI_ Universal_ Communication,3,0..1,0..1,,Complete Number,Text,D24A TDED 3148 Communication address identifier <To identify a communication address.> (an..512) コード値の定義なし https://service.unece.org/trade/untdid/d23a/tred/tred3148.htm,udt:TextType,,,,支払先FAX番号,支払先連絡先FAX番号,支払先のFAX番号,完全な番号,インボイスのユニバーサルコミュニケーションの完全な番号を構成する文字列。,UN01005860,BBIE,CI_ Universal_ Communication. Complete Number. Text,The text string of characters that make up the complete number for this CI universal communication.,Complete Number,CompleteNumber,CompleteNumber,＊,＊,＊,,,,
v4,224.0,4093,1,Class,(Applicable/Payee/Defined/Telephone) CI_ Universal_ Communication,,,,,,,,ram:CIUniversalCommunicationType,,,,電話通信クラス,支払先連絡先電話通信クラス,通信（電話）に関する情報からなるクラス。,CIコミュニケーション,インボイス目的のためのメッセージまたは情報の交換。,UN01005857,ABIE,CI_ Universal_ Communication. Details,The exchange of messages or information for Cross Industry (CI) purposes.,CI Communication,,,,,,,,,
v4,225.0,4096,2,Attribute,(Applicable/Payee/Defined/Telephone) CI_ Universal_ Communication,3,0..1,0..1,,Complete Number,Text,D24A TDED 3148 Communication address identifier <To identify a communication address.> (an..512) コード値の定義なし https://service.unece.org/trade/untdid/d23a/tred/tred3148.htm,udt:TextType,,,,支払先電話番号,支払先連絡先電話番号,支払先の電話番号。,完全な番号,インボイスのユニバーサルコミュニケーションの完全な番号を構成する文字列。,UN01005860,BBIE,CI_ Universal_ Communication. Complete Number. Text,The text string of characters that make up the complete number for this CI universal communication.,Complete Number,CompleteNumber,CompleteNumber,＊,＊,＊,,,,
v4.1,240.0,4093,1,Class,(Applicable/Payee/URI) CI_ Universal_ Communication,,,,,,,,ram:CIUniversalCommunicationType,,,,国際アドレス（汎用通信情報）クラス,支払先国際アドレスクラス,国際アドレスクラス,CIコミュニケーション,インボイス目的のためのメッセージまたは情報の交換。,UN01005857,ABIE,CI_ Universal_ Communication. Details,The exchange of messages or information for Cross Industry (CI) purposes.,CI Communication,,,,,,,,,
v4.3,241.0,4094,2,Attribute,(Applicable/Payee/URI) CI_ Universal_ Communication,1,0..1,0..1,,URI,Identifier,D24A TDED 3148 Communication address identifier <To identify a communication address.> (an..512) コード値の定義なし https://service.unece.org/trade/untdid/d23a/tred/tred3148.htm,udt:IDType,,,,支払先国際アドレス（汎用通信情報）,支払先国際アドレス番号,国際アドレス登録機関が付与する支払先国際アドレス番号,URI,インボイスのユニバーサルコミュニケーションの、Web アドレスや E メールアドレスなどの統一リソース識別子 (URI)。,UN01005858,BBIE,CI_ Universal_ Communication. URI. Identifier,"The Uniform Resource Identifier (URI), such as a web or an email address, for this CI universal communication.",URI,URIID,URIID,＊,＊,＊,,,,
v4,261.0,4093,1,Class,(Applicable/Payer/Defined/Email_ URI) CI_ Universal_ Communication,,,,,,,,ram:CIUniversalCommunicationType,,,,電子メール通信クラス,支払人連絡先電子メール通信クラス,通信（電子メール）に関する情報からなるクラス。,CIコミュニケーション,インボイス目的のためのメッセージまたは情報の交換。,UN01005857,ABIE,CI_ Universal_ Communication. Details,The exchange of messages or information for Cross Industry (CI) purposes.,CI Communication,,,,,,,,,
v4,262.0,4094,2,Attribute,(Applicable/Payer/Defined/Email_ URI) CI_ Universal_ Communication,1,0..1,0..1,,URI,Identifier,D24A TDED 3148 Communication address identifier <To identify a communication address.> (an..512) コード値の定義なし https://service.unece.org/trade/untdid/d23a/tred/tred3148.htm,udt:IDType,,,,支払人メールアドレス,支払人連絡先電子メールアドレス,支払人の電子メールアドレス。,URI,インボイスのユニバーサルコミュニケーションの、Web アドレスや E メールアドレスなどの統一リソース識別子 (URI)。,UN01005858,BBIE,CI_ Universal_ Communication. URI. Identifier,"The Uniform Resource Identifier (URI), such as a web or an email address, for this CI universal communication.",URI,URIID,URIID,＊,＊,,,,,
v4,258.0,4093,1,Class,(Applicable/Payer/Defined/Fax) CI_ Universal_ Communication,,,,,,,,ram:CIUniversalCommunicationType,,,,FAX通信クラス,支払人連絡先FAX通信クラス,通信（FAX）に関する情報からなるクラス。,CIコミュニケーション,インボイス目的のためのメッセージまたは情報の交換。,UN01005857,ABIE,CI_ Universal_ Communication. Details,The exchange of messages or information for Cross Industry (CI) purposes.,CI Communication,,,,,,,,,
