version,sme_nr,mbie_nr,level,type,label_local,multiplicity,multiplicity_SME,class_term,sequence,identifier,property_term,representation_term,code_list,attribute,associated_class,definition_local,UNID,acronym,DEN,definition,short_name,name,element,xpath
v2,148,3911,4,A,請求者国際企業ID,0..n,0..1,CI_ Trade_ Party,2,,Global_ Identification,Identifier,ISO6523,,,企業を表す国際企業ID。ISO6523に登録された国際企業登録機関を属性で指定する。,UN01005758,BBIE,CI_ Trade_ Party. Global_ Identification. Identifier,A globally unique identifier of this CI trade party.,Global ID,InvoicerGlobalID,GlobalID,/SMEConsolidatedSelfInvoice/CIIHSupplyChainTradeTransaction/ApplicableCIIHSupplyChainTradeSettlement/InvoicerCITradeParty/GlobalID
v2,149,3912,4,A,請求者名称,0..1,0..1,CI_ Trade_ Party,3,,Name,Text,,,,請求者の企業等を表す名称。,UN01005759,BBIE,CI_ Trade_ Party. Name. Text,"The name, expressed as text, for this CI trade party.",Name,InvoicerName,Name,/SMEConsolidatedSelfInvoice/CIIHSupplyChainTradeTransaction/ApplicableCIIHSupplyChainTradeSettlement/InvoicerCITradeParty/Name
v2,150,3915,4,A,請求者適格請求書発行事業者登録番号,0..1,0..1,CI_ Trade_ Party,6,,Registered_ Identification,Identifier,ISO6523,,,登録された請求者の適格請求書発行事業者登録番号,UN01013039,BBIE,CI_ Trade_ Party. Registered_ Identification. Identifier,The registered identifier of this CI trade party.,Registered ID,InvoicerRegisteredID,RegisteredID,/SMEConsolidatedSelfInvoice/CIIHSupplyChainTradeTransaction/ApplicableCIIHSupplyChainTradeSettlement/InvoicerCITradeParty/RegisteredID
v4.1,151,3917,4,A,事業者タイプコード,0..n,1..1,CI_ Trade_ Party,8,,Type,Code,JECxxxx,,,事業者のタイプを識別するコード,UN01012925,BBIE,CI_ Trade_ Party. Type. Code,A code specifying the type of CI trade party.,Type Code,InvoicerTypeCode,TypeCode,/SMEConsolidatedSelfInvoice/CIIHSupplyChainTradeTransaction/ApplicableCIIHSupplyChainTradeSettlement/InvoicerCITradeParty/TypeCode
v2,152,3919,4,C,請求者／連絡先グループ,0..n,0..1,CI_ Trade_ Party,2,,Defined,,,,CI_ Trade_ Contact,請求者の連絡先に関する情報,UN01005761,ASBIE,CI_ Trade_ Party. Defined. CI_ Trade_ Contact,A trade contact defined for this CI trade party.,Defined Contact,InvoicerContact,DefinedCITradeContact,/SMEConsolidatedSelfInvoice/CIIHSupplyChainTradeTransaction/ApplicableCIIHSupplyChainTradeSettlement/InvoicerCITradeParty/DefinedCITradeContact
v2,154,3864,5,A,請求部門ID,0..1,0..1,CI_ Trade_ Contact,1,,Identification,Identifier,,,,請求者の請求部門を表すID。,UN01005719,BBIE,CI_ Trade_ Contact. Identification. Identifier,The unique identifier for this CI trade contact.,ID,InvoicerContactID,ID,/SMEConsolidatedSelfInvoice/CIIHSupplyChainTradeTransaction/ApplicableCIIHSupplyChainTradeSettlement/InvoicerCITradeParty/DefinedCITradeContact/ID
v2,155,3865,5,A,請求者担当名,0..1,0..1,CI_ Trade_ Contact,2,,Person Name,Text,,,,請求者個人の、文字で表現された名前。,UN01005720,BBIE,CI_ Trade_ Contact. Person Name. Text,"The name, expressed as text, of this CI trade contact person.",Person Name,InvoicerContactPersonName,PersonName,/SMEConsolidatedSelfInvoice/CIIHSupplyChainTradeTransaction/ApplicableCIIHSupplyChainTradeSettlement/InvoicerCITradeParty/DefinedCITradeContact/PersonName
v2,156,3866,5,A,請求者部門名,0..1,0..1,CI_ Trade_ Contact,3,,Department Name,Text,,,,請求者の請求部門の名称。,UN01005721,BBIE,CI_ Trade_ Contact. Department Name. Text,"The name, expressed as text, of the department which is this CI trade contact.",Department Name,InvoicerContactDepartmentName,DepartmentName,/SMEConsolidatedSelfInvoice/CIIHSupplyChainTradeTransaction/ApplicableCIIHSupplyChainTradeSettlement/InvoicerCITradeParty/DefinedCITradeContact/DepartmentName
v4,157,3870,5,A,請求者担当ID,0..n,0..1,CI_ Trade_ Contact,7,,Person_ Identification,Identifier,,,,請求者個人を表すID,UN01005725,BBIE,CI_ Trade_ Contact. Person_ Identification. Identifier,A unique identifier for this CI trade contact person.,Person ID,InvoicerContactPersonID,PersonID,/SMEConsolidatedSelfInvoice/CIIHSupplyChainTradeTransaction/ApplicableCIIHSupplyChainTradeSettlement/InvoicerCITradeParty/DefinedCITradeContact/PersonID
v2,158,3872,5,C,連絡先／電話情報グループ,0..1,0..1,CI_ Trade_ Contact,1,,Telephone,,,,CI_ Universal_ Communication,連絡先の電話に関するグループ。,UN01005726,ASBIE,CI_ Trade_ Contact. Telephone. CI_ Universal_ Communication,The telephone communication information for this CI trade contact.,Telephone,InvoicerContactTelephone,TelephoneCIUniversalCommunication,/SMEConsolidatedSelfInvoice/CIIHSupplyChainTradeTransaction/ApplicableCIIHSupplyChainTradeSettlement/InvoicerCITradeParty/DefinedCITradeContact/TelephoneCIUniversalCommunication
v2,160,4096,6,A,請求者電話番号,0..1,0..1,CI_ Universal_ Communication,3,,Complete Number,Text,,,,請求者の電話番号。,UN01005860,BBIE,CI_ Universal_ Communication. Complete Number. Text,The text string of characters that make up the complete number for this CI universal communication.,Complete Number,InvoicerContactTelephoneCompleteNumberText,CompleteNumber,/SMEConsolidatedSelfInvoice/CIIHSupplyChainTradeTransaction/ApplicableCIIHSupplyChainTradeSettlement/InvoicerCITradeParty/DefinedCITradeContact/TelephoneCIUniversalCommunication/CompleteNumber
v4,161,3875,5,C,連絡先／FAX情報グループ,0..1,0..1,CI_ Trade_ Contact,4,,Fax,,,,CI_ Universal_ Communication,連絡先のFAXに関するグループ。,UN01005729,ASBIE,CI_ Trade_ Contact. Fax. CI_ Universal_ Communication,The fax communication information for this CI trade contact.,Fax,InvoicerContactFax,FaxCIUniversalCommunication,/SMEConsolidatedSelfInvoice/CIIHSupplyChainTradeTransaction/ApplicableCIIHSupplyChainTradeSettlement/InvoicerCITradeParty/DefinedCITradeContact/FaxCIUniversalCommunication
v4,163,4096,6,A,請求者FAX番号,0..1,0..1,CI_ Universal_ Communication,3,,Complete Number,Text,,,,請求者のFAX番号,UN01005860,BBIE,CI_ Universal_ Communication. Complete Number. Text,The text string of characters that make up the complete number for this CI universal communication.,Complete Number,InvoicerContactFaxCompleteNumberText,CompleteNumber,/SMEConsolidatedSelfInvoice/CIIHSupplyChainTradeTransaction/ApplicableCIIHSupplyChainTradeSettlement/InvoicerCITradeParty/DefinedCITradeContact/FaxCIUniversalCommunication/CompleteNumber
v4,164,3876,5,C,連絡先／電子メール情報グループ,0..1,0..1,CI_ Trade_ Contact,5,,Email_ URI,,,,CI_ Universal_ Communication,連絡先の電子メールに関するグループ。,UN01005730,ASBIE,CI_ Trade_ Contact. Email_ URI. CI_ Universal_ Communication,The email URI communication information for this CI trade contact.,Email Address,InvoicerContactEmailURI,EmailURICIUniversalCommunication,/SMEConsolidatedSelfInvoice/CIIHSupplyChainTradeTransaction/ApplicableCIIHSupplyChainTradeSettlement/InvoicerCITradeParty/DefinedCITradeContact/EmailURICIUniversalCommunication
v4,166,4094,6,A,請求者メールアドレス,0..1,0..1,CI_ Universal_ Communication,1,,URI,Identifier,,,,請求者の電子メールアドレス。,UN01005858,BBIE,CI_ Universal_ Communication. URI. Identifier,"The Uniform Resource Identifier (URI), such as a web or an email address, for this CI universal communication.",URI,InvoicerContactEmailURIURIID,URIID,/SMEConsolidatedSelfInvoice/CIIHSupplyChainTradeTransaction/ApplicableCIIHSupplyChainTradeSettlement/InvoicerCITradeParty/DefinedCITradeContact/EmailURICIUniversalCommunication/URIID
v4,167,3920,4,C,請求者／住所グループ,0..1,0..1,CI_ Trade_ Party,3,,Postal,,,,CI_ Trade_ Address,請求者の住所に関するグループ。,UN01005762,ASBIE,CI_ Trade_ Party. Postal. CI_ Trade_ Address,The postal address for this CI trade party.,Postal Address,InvoicerPostalAddress,PostalCITradeAddress,/SMEConsolidatedSelfInvoice/CIIHSupplyChainTradeTransaction/ApplicableCIIHSupplyChainTradeSettlement/InvoicerCITradeParty/PostalCITradeAddress
v4,169,3828,5,A,請求者郵便番号,0..1,0..1,CI_ Trade_ Address,2,,Postcode,Code,,,,請求者の郵便番号。,UN01005689,BBIE,CI_ Trade_ Address. Postcode. Code,The postcode of this CI trade address.,Postcode,InvoicerPostalAddressPostcodeCode,PostcodeCode,/SMEConsolidatedSelfInvoice/CIIHSupplyChainTradeTransaction/ApplicableCIIHSupplyChainTradeSettlement/InvoicerCITradeParty/PostalCITradeAddress/PostcodeCode
v4,170,3831,5,A,請求者住所1,0..1,0..1,CI_ Trade_ Address,5,,Line One,Text,,,,請求者の住所1行目。,UN01005692,BBIE,CI_ Trade_ Address. Line One. Text,"The first free form line, expressed as text, of this CI trade address.",Line One,InvoicerPostalAddressLineOneText,LineOne,/SMEConsolidatedSelfInvoice/CIIHSupplyChainTradeTransaction/ApplicableCIIHSupplyChainTradeSettlement/InvoicerCITradeParty/PostalCITradeAddress/LineOne
v4,171,3832,5,A,請求者住所2,0..1,0..1,CI_ Trade_ Address,6,,Line Two,Text,,,,請求者の住所2行目。,UN01005693,BBIE,CI_ Trade_ Address. Line Two. Text,"The second free form line, expressed as text, of this CI trade address.",Line Two,InvoicerPostalAddressLineTwoText,LineTwo,/SMEConsolidatedSelfInvoice/CIIHSupplyChainTradeTransaction/ApplicableCIIHSupplyChainTradeSettlement/InvoicerCITradeParty/PostalCITradeAddress/LineTwo
v4,172,3833,5,A,請求者住所3,0..1,0..1,CI_ Trade_ Address,7,,Line Three,Text,,,,請求者の住所3行目。,UN01005694,BBIE,CI_ Trade_ Address. Line Three. Text,"The third free form line, expressed as text, of this CI trade address.",Line Three,InvoicerPostalAddressLineThreeText,LineThree,/SMEConsolidatedSelfInvoice/CIIHSupplyChainTradeTransaction/ApplicableCIIHSupplyChainTradeSettlement/InvoicerCITradeParty/PostalCITradeAddress/LineThree
v4,173,3839,5,A,請求者国ID,0..1,1..1,CI_ Trade_ Address,13,PK,Country,Identifier,ISO3166-1:Alpha2,,,請求者の国ID。デフォルトは「JP」,UN01005700,BBIE,CI_ Trade_ Address. Country. Identifier,The unique identifier of the country for this CI trade address.,Country Code,InvoicerPostalAddressCountryID,CountryID,/SMEConsolidatedSelfInvoice/CIIHSupplyChainTradeTransaction/ApplicableCIIHSupplyChainTradeSettlement/InvoicerCITradeParty/PostalCITradeAddress/CountryID
v4.1,174,3923,4,C,請求者／国際アドレスグループ,0..1,1..1,CI_ Trade_ Party,6,,End Point_ URI,,,,CI_ Universal_ Communication,請求者の国際アドレスグループ,UN01005765,ASBIE,CI_ Trade_ Party. End Point_ URI. CI_ Universal_ Communication,The communication address of the end point URI for this CI trade party.,End Point URI,InvoicerEndPointURI,EndPointURICIUniversalCommunication,/SMEConsolidatedSelfInvoice/CIIHSupplyChainTradeTransaction/ApplicableCIIHSupplyChainTradeSettlement/InvoicerCITradeParty/EndPointURICIUniversalCommunication
v4.1,176,4095,5,A,国際アドレス登録機関コード,0..1,1..1,CI_ Universal_ Communication,2,,Channel,Code,ISO6523,,,ISOがコード表6523に登録した国際アドレス登録機関のコード,UN01005859,BBIE,CI_ Universal_ Communication. Channel. Code,"The code specifying the channel or manner in which a CI universal communication can be made, such as telephone or email.",Channel Code,InvoicerEndPointURIChannelCode,ChannelCode,/SMEConsolidatedSelfInvoice/CIIHSupplyChainTradeTransaction/ApplicableCIIHSupplyChainTradeSettlement/InvoicerCITradeParty/EndPointURICIUniversalCommunication/ChannelCode
v4.1,177,4096,5,A,請求者国際アドレス,0..1,1..1,CI_ Universal_ Communication,3,,Complete Number,Text,,,,国際アドレス登録機関が付与する国際アドレス番号,UN01005860,BBIE,CI_ Universal_ Communication. Complete Number. Text,The text string of characters that make up the complete number for this CI universal communication.,Complete Number,InvoicerEndPointURICompleteNumberText,CompleteNumber,/SMEConsolidatedSelfInvoice/CIIHSupplyChainTradeTransaction/ApplicableCIIHSupplyChainTradeSettlement/InvoicerCITradeParty/EndPointURICIUniversalCommunication/CompleteNumber
v4,178,2259,3,C,インボイス文書決済／請求先グループ,0..1,0..1,CIIH_ Supply Chain_ Trade Settlement,2,,Invoicee,,,,CI_ Trade_ Party,請求先にかかわるグループ,UN01005917,ASBIE,CIIH_ Supply Chain_ Trade Settlement. Invoicee. CI_ Trade_ Party,The Cross Industry (CI) trade party to whom an invoice is issued for this CIIH supply chain trade settlement.,Invoicee,TransactionInvoicee,InvoiceeCITradeParty,/SMEConsolidatedSelfInvoice/CIIHSupplyChainTradeTransaction/ApplicableCIIHSupplyChainTradeSettlement/InvoiceeCITradeParty
v2,180,3910,4,A,請求先ID,0..n,0..1,CI_ Trade_ Party,1,,Identification,Identifier,,,,請求を受ける企業等を表すID。,UN01005757,BBIE,CI_ Trade_ Party. Identification. Identifier,A unique identifier of this CI trade party.,ID,InvoiceeID,ID,/SMEConsolidatedSelfInvoice/CIIHSupplyChainTradeTransaction/ApplicableCIIHSupplyChainTradeSettlement/InvoiceeCITradeParty/ID
v2,181,3911,4,A,請求先国際企業ID,0..n,0..1,CI_ Trade_ Party,2,,Global_ Identification,Identifier,ISO6523,,,企業を表す国際企業ID。ISO6523に登録された国際企業登録機関を属性で指定する。,UN01005758,BBIE,CI_ Trade_ Party. Global_ Identification. Identifier,A globally unique identifier of this CI trade party.,Global ID,InvoiceeGlobalID,GlobalID,/SMEConsolidatedSelfInvoice/CIIHSupplyChainTradeTransaction/ApplicableCIIHSupplyChainTradeSettlement/InvoiceeCITradeParty/GlobalID
v2,182,3912,4,A,請求先名称,0..1,0..1,CI_ Trade_ Party,3,,Name,Text,,,,請求を受ける企業等の名称,UN01005759,BBIE,CI_ Trade_ Party. Name. Text,"The name, expressed as text, for this CI trade party.",Name,InvoiceeName,Name,/SMEConsolidatedSelfInvoice/CIIHSupplyChainTradeTransaction/ApplicableCIIHSupplyChainTradeSettlement/InvoiceeCITradeParty/Name
v4,183,3919,4,C,請求先／連絡先グループ,0..n,0..1,CI_ Trade_ Party,2,,Defined,,,,CI_ Trade_ Contact,請求先の連絡先に関するグループ,UN01005761,ASBIE,CI_ Trade_ Party. Defined. CI_ Trade_ Contact,A trade contact defined for this CI trade party.,Defined Contact,InvoiceeContact,DefinedCITradeContact,/SMEConsolidatedSelfInvoice/CIIHSupplyChainTradeTransaction/ApplicableCIIHSupplyChainTradeSettlement/InvoiceeCITradeParty/DefinedCITradeContact
v2,185,3864,5,A,請求先部門ID,0..1,0..1,CI_ Trade_ Contact,1,,Identification,Identifier,,,,請求先の部門を表すコード。,UN01005719,BBIE,CI_ Trade_ Contact. Identification. Identifier,The unique identifier for this CI trade contact.,ID,InvoiceeContactID,ID,/SMEConsolidatedSelfInvoice/CIIHSupplyChainTradeTransaction/ApplicableCIIHSupplyChainTradeSettlement/InvoiceeCITradeParty/DefinedCITradeContact/ID
v2,186,3865,5,A,請求先担当名,0..1,0..1,CI_ Trade_ Contact,2,,Person Name,Text,,,,請求先の担当者の名称,UN01005720,BBIE,CI_ Trade_ Contact. Person Name. Text,"The name, expressed as text, of this CI trade contact person.",Person Name,InvoiceeContactPersonName,PersonName,/SMEConsolidatedSelfInvoice/CIIHSupplyChainTradeTransaction/ApplicableCIIHSupplyChainTradeSettlement/InvoiceeCITradeParty/DefinedCITradeContact/PersonName
v2,187,3866,5,A,請求先部門名,0..1,0..1,CI_ Trade_ Contact,3,,Department Name,Text,,,,請求先の部門を表す名称,UN01005721,BBIE,CI_ Trade_ Contact. Department Name. Text,"The name, expressed as text, of the department which is this CI trade contact.",Department Name,InvoiceeContactDepartmentName,DepartmentName,/SMEConsolidatedSelfInvoice/CIIHSupplyChainTradeTransaction/ApplicableCIIHSupplyChainTradeSettlement/InvoiceeCITradeParty/DefinedCITradeContact/DepartmentName
v4,188,3870,5,A,請求先担当ID,0..n,0..1,CI_ Trade_ Contact,7,,Person_ Identification,Identifier,,,,請求先個人を表すID,UN01005725,BBIE,CI_ Trade_ Contact. Person_ Identification. Identifier,A unique identifier for this CI trade contact person.,Person ID,InvoiceeContactPersonID,PersonID,/SMEConsolidatedSelfInvoice/CIIHSupplyChainTradeTransaction/ApplicableCIIHSupplyChainTradeSettlement/InvoiceeCITradeParty/DefinedCITradeContact/PersonID
v4,189,3872,5,C,連絡先／電話情報グループ,0..1,0..1,CI_ Trade_ Contact,1,,Telephone,,,,CI_ Universal_ Communication,連絡先の電話に関するグループ。,UN01005726,ASBIE,CI_ Trade_ Contact. Telephone. CI_ Universal_ Communication,The telephone communication information for this CI trade contact.,Telephone,InvoiceeContactTelephone,TelephoneCIUniversalCommunication,/SMEConsolidatedSelfInvoice/CIIHSupplyChainTradeTransaction/ApplicableCIIHSupplyChainTradeSettlement/InvoiceeCITradeParty/DefinedCITradeContact/TelephoneCIUniversalCommunication
v2,191,4096,6,A,請求先電話番号,0..1,0..1,CI_ Universal_ Communication,3,,Complete Number,Text,,,,請求先の電話番号。,UN01005860,BBIE,CI_ Universal_ Communication. Complete Number. Text,The text string of characters that make up the complete number for this CI universal communication.,Complete Number,InvoiceeContactTelephoneCompleteNumberText,CompleteNumber,/SMEConsolidatedSelfInvoice/CIIHSupplyChainTradeTransaction/ApplicableCIIHSupplyChainTradeSettlement/InvoiceeCITradeParty/DefinedCITradeContact/TelephoneCIUniversalCommunication/CompleteNumber
v1,192,3875,5,C,連絡先／FAX情報グループ,0..1,0..1,CI_ Trade_ Contact,4,,Fax,,,,CI_ Universal_ Communication,連絡先のFAXに関するグループ。,UN01005729,ASBIE,CI_ Trade_ Contact. Fax. CI_ Universal_ Communication,The fax communication information for this CI trade contact.,Fax,InvoiceeContactFax,FaxCIUniversalCommunication,/SMEConsolidatedSelfInvoice/CIIHSupplyChainTradeTransaction/ApplicableCIIHSupplyChainTradeSettlement/InvoiceeCITradeParty/DefinedCITradeContact/FaxCIUniversalCommunication
v1,194,4096,6,A,請求先FAX番号,0..1,0..1,CI_ Universal_ Communication,3,,Complete Number,Text,,,,請求先のFAX番号,UN01005860,BBIE,CI_ Universal_ Communication. Complete Number. Text,The text string of characters that make up the complete number for this CI universal communication.,Complete Number,InvoiceeContactFaxCompleteNumberText,CompleteNumber,/SMEConsolidatedSelfInvoice/CIIHSupplyChainTradeTransaction/ApplicableCIIHSupplyChainTradeSettlement/InvoiceeCITradeParty/DefinedCITradeContact/FaxCIUniversalCommunication/CompleteNumber
v4,195,3876,5,C,連絡先／電子メール情報グループ,0..1,0..1,CI_ Trade_ Contact,5,,Email_ URI,,,,CI_ Universal_ Communication,連絡先の電子メールに関するグループ。,UN01005730,ASBIE,CI_ Trade_ Contact. Email_ URI. CI_ Universal_ Communication,The email URI communication information for this CI trade contact.,Email Address,InvoiceeContactEmailURI,EmailURICIUniversalCommunication,/SMEConsolidatedSelfInvoice/CIIHSupplyChainTradeTransaction/ApplicableCIIHSupplyChainTradeSettlement/InvoiceeCITradeParty/DefinedCITradeContact/EmailURICIUniversalCommunication
v4,197,4094,6,A,請求先メールアドレス,0..1,0..1,CI_ Universal_ Communication,1,,URI,Identifier,,,,請求先の電子メールアドレス。,UN01005858,BBIE,CI_ Universal_ Communication. URI. Identifier,"The Uniform Resource Identifier (URI), such as a web or an email address, for this CI universal communication.",URI,InvoiceeContactEmailURIURIID,URIID,/SMEConsolidatedSelfInvoice/CIIHSupplyChainTradeTransaction/ApplicableCIIHSupplyChainTradeSettlement/InvoiceeCITradeParty/DefinedCITradeContact/EmailURICIUniversalCommunication/URIID
v4,198,3920,4,C,請求先／住所グループ,0..1,0..1,CI_ Trade_ Party,3,,Postal,,,,CI_ Trade_ Address,請求先の住所に関するグループ。,UN01005762,ASBIE,CI_ Trade_ Party. Postal. CI_ Trade_ Address,The postal address for this CI trade party.,Postal Address,InvoiceePostalAddress,PostalCITradeAddress,/SMEConsolidatedSelfInvoice/CIIHSupplyChainTradeTransaction/ApplicableCIIHSupplyChainTradeSettlement/InvoiceeCITradeParty/PostalCITradeAddress
v4,200,3828,5,A,請求先郵便番号,0..1,0..1,CI_ Trade_ Address,2,,Postcode,Code,,,,請求先の郵便番号。,UN01005689,BBIE,CI_ Trade_ Address. Postcode. Code,The postcode of this CI trade address.,Postcode,InvoiceePostalAddressPostcodeCode,PostcodeCode,/SMEConsolidatedSelfInvoice/CIIHSupplyChainTradeTransaction/ApplicableCIIHSupplyChainTradeSettlement/InvoiceeCITradeParty/PostalCITradeAddress/PostcodeCode
v4,201,3831,5,A,請求先住所1,0..1,0..1,CI_ Trade_ Address,5,,Line One,Text,,,,請求先の住所1行目。,UN01005692,BBIE,CI_ Trade_ Address. Line One. Text,"The first free form line, expressed as text, of this CI trade address.",Line One,InvoiceePostalAddressLineOneText,LineOne,/SMEConsolidatedSelfInvoice/CIIHSupplyChainTradeTransaction/ApplicableCIIHSupplyChainTradeSettlement/InvoiceeCITradeParty/PostalCITradeAddress/LineOne
v4,202,3832,5,A,請求先住所2,0..1,0..1,CI_ Trade_ Address,6,,Line Two,Text,,,,請求先の住所2行目。,UN01005693,BBIE,CI_ Trade_ Address. Line Two. Text,"The second free form line, expressed as text, of this CI trade address.",Line Two,InvoiceePostalAddressLineTwoText,LineTwo,/SMEConsolidatedSelfInvoice/CIIHSupplyChainTradeTransaction/ApplicableCIIHSupplyChainTradeSettlement/InvoiceeCITradeParty/PostalCITradeAddress/LineTwo
v4,203,3833,5,A,請求先住所3,0..1,0..1,CI_ Trade_ Address,7,,Line Three,Text,,,,請求先の住所3行目。,UN01005694,BBIE,CI_ Trade_ Address. Line Three. Text,"The third free form line, expressed as text, of this CI trade address.",Line Three,InvoiceePostalAddressLineThreeText,LineThree,/SMEConsolidatedSelfInvoice/CIIHSupplyChainTradeTransaction/ApplicableCIIHSupplyChainTradeSettlement/InvoiceeCITradeParty/PostalCITradeAddress/LineThree
v4,204,3839,5,A,請求先国ID,0..1,1..1,CI_ Trade_ Address,13,PK,Country,Identifier,ISO3166-1:Alpha2,,,請求先の国ID。デフォルトは「JP」,UN01005700,BBIE,CI_ Trade_ Address. Country. Identifier,The unique identifier of the country for this CI trade address.,Country Code,InvoiceePostalAddressCountryID,CountryID,/SMEConsolidatedSelfInvoice/CIIHSupplyChainTradeTransaction/ApplicableCIIHSupplyChainTradeSettlement/InvoiceeCITradeParty/PostalCITradeAddress/CountryID
v4.1,205,3923,4,C,請求元／国際アドレスグループ,0..1,0..1,CI_ Trade_ Party,6,,End Point_ URI,,,,CI_ Universal_ Communication,請求元の国際アドレスグループ,UN01005765,ASBIE,CI_ Trade_ Party. End Point_ URI. CI_ Universal_ Communication,The communication address of the end point URI for this CI trade party.,End Point URI,InvoiceeEndPointURI,EndPointURICIUniversalCommunication,/SMEConsolidatedSelfInvoice/CIIHSupplyChainTradeTransaction/ApplicableCIIHSupplyChainTradeSettlement/InvoiceeCITradeParty/EndPointURICIUniversalCommunication
v4.1,207,4095,5,A,国際アドレス登録機関コード,0..1,0..1,CI_ Universal_ Communication,2,,Channel,Code,ISO6523,,,ISOがコード表6523に登録した国際アドレス登録機関のコード,UN01005859,BBIE,CI_ Universal_ Communication. Channel. Code,"The code specifying the channel or manner in which a CI universal communication can be made, such as telephone or email.",Channel Code,InvoiceeEndPointURIChannelCode,ChannelCode,/SMEConsolidatedSelfInvoice/CIIHSupplyChainTradeTransaction/ApplicableCIIHSupplyChainTradeSettlement/InvoiceeCITradeParty/EndPointURICIUniversalCommunication/ChannelCode
v4.1,208,4096,5,A,請求先国際アドレス,0..1,0..1,CI_ Universal_ Communication,3,,Complete Number,Text,,,,国際アドレス登録機関が付与する国際アドレス番号,UN01005860,BBIE,CI_ Universal_ Communication. Complete Number. Text,The text string of characters that make up the complete number for this CI universal communication.,Complete Number,InvoiceeEndPointURICompleteNumberText,CompleteNumber,/SMEConsolidatedSelfInvoice/CIIHSupplyChainTradeTransaction/ApplicableCIIHSupplyChainTradeSettlement/InvoiceeCITradeParty/EndPointURICIUniversalCommunication/CompleteNumber
v4,209,2260,3,C,インボイス文書決済／支払先グループ,0..1,0..1,CIIH_ Supply Chain_ Trade Settlement,3,,Payee,,,,CI_ Trade_ Party,支払先にかかわる情報,UN01005918,ASBIE,CIIH_ Supply Chain_ Trade Settlement. Payee. CI_ Trade_ Party,The Cross Industry (CI) payee party for this CIIH supply chain trade settlement.,Payee,TransactionPayee,PayeeCITradeParty,/SMEConsolidatedSelfInvoice/CIIHSupplyChainTradeTransaction/ApplicableCIIHSupplyChainTradeSettlement/PayeeCITradeParty
v4,211,3910,4,A,支払先ID,0..n,0..1,CI_ Trade_ Party,1,,Identification,Identifier,,,,支払先のID。,UN01005757,BBIE,CI_ Trade_ Party. Identification. Identifier,A unique identifier of this CI trade party.,ID,PayeeID,ID,/SMEConsolidatedSelfInvoice/CIIHSupplyChainTradeTransaction/ApplicableCIIHSupplyChainTradeSettlement/PayeeCITradeParty/ID
v4,212,3911,4,A,支払先国際企業ID,0..n,0..1,CI_ Trade_ Party,2,,Global_ Identification,Identifier,ISO6523,,,支払先の国際企業ID。,UN01005758,BBIE,CI_ Trade_ Party. Global_ Identification. Identifier,A globally unique identifier of this CI trade party.,Global ID,PayeeGlobalID,GlobalID,/SMEConsolidatedSelfInvoice/CIIHSupplyChainTradeTransaction/ApplicableCIIHSupplyChainTradeSettlement/PayeeCITradeParty/GlobalID
v4,213,3912,4,A,支払先名称,0..1,0..1,CI_ Trade_ Party,3,,Name,Text,,,,支払先の企業等を表す名称。,UN01005759,BBIE,CI_ Trade_ Party. Name. Text,"The name, expressed as text, for this CI trade party.",Name,PayeeName,Name,/SMEConsolidatedSelfInvoice/CIIHSupplyChainTradeTransaction/ApplicableCIIHSupplyChainTradeSettlement/PayeeCITradeParty/Name
v4,214,3919,4,C,支払先／連絡先グループ,0..n,0..1,CI_ Trade_ Party,2,,Defined,,,,CI_ Trade_ Contact,支払先の連絡先に関するグループ,UN01005761,ASBIE,CI_ Trade_ Party. Defined. CI_ Trade_ Contact,A trade contact defined for this CI trade party.,Defined Contact,PayeeContact,DefinedCITradeContact,/SMEConsolidatedSelfInvoice/CIIHSupplyChainTradeTransaction/ApplicableCIIHSupplyChainTradeSettlement/PayeeCITradeParty/DefinedCITradeContact
v4,216,3864,5,A,支払先部門ID,0..1,0..1,CI_ Trade_ Contact,1,,Identification,Identifier,,,,支払先の支払先部門を表すID。,UN01005719,BBIE,CI_ Trade_ Contact. Identification. Identifier,The unique identifier for this CI trade contact.,ID,PayeeContactID,ID,/SMEConsolidatedSelfInvoice/CIIHSupplyChainTradeTransaction/ApplicableCIIHSupplyChainTradeSettlement/PayeeCITradeParty/DefinedCITradeContact/ID
v4,217,3865,5,A,支払先担当名,0..1,0..1,CI_ Trade_ Contact,2,,Person Name,Text,,,,支払先個人の、文字で表現された名前。,UN01005720,BBIE,CI_ Trade_ Contact. Person Name. Text,"The name, expressed as text, of this CI trade contact person.",Person Name,PayeeContactPersonName,PersonName,/SMEConsolidatedSelfInvoice/CIIHSupplyChainTradeTransaction/ApplicableCIIHSupplyChainTradeSettlement/PayeeCITradeParty/DefinedCITradeContact/PersonName
v4,218,3866,5,A,支払先部門名,0..1,0..1,CI_ Trade_ Contact,3,,Department Name,Text,,,,支払先の請求部門の名称。,UN01005721,BBIE,CI_ Trade_ Contact. Department Name. Text,"The name, expressed as text, of the department which is this CI trade contact.",Department Name,PayeeContactDepartmentName,DepartmentName,/SMEConsolidatedSelfInvoice/CIIHSupplyChainTradeTransaction/ApplicableCIIHSupplyChainTradeSettlement/PayeeCITradeParty/DefinedCITradeContact/DepartmentName
