Version,UNID,Acronym,Dictionary Entry Name,ObjectClassQualifierTerm,ObjectClassTerm,Cardinality,PropertyTerm,PrimaryRepresentationTerm,XML datatype,AssociatedObjectClassQualifierTerm,AssociatedObjectClassTerm,XML element name,Definition
1.0,UN01006664,BBIE,CIORH_ Exchanged_ Document. Issue. Date Time,Exchanged,Document,1,Issue,Date Time,udt:DateTimeType,,,IssueDateTime,"The date, time, date time, or other date time value for the issuance of this CIORH exchanged document."
1.0,UN01006665,BBIE,CIORH_ Exchanged_ Document. Copy. Indicator,Exchanged,Document,0..1,Copy,Indicator,udt:IndicatorType,,,CopyIndicator,The indication of whether or not this CIORH exchanged document is a copy.
1.0,UN01006666,BBIE,CIORH_ Exchanged_ Document. Purpose. Text,Exchanged,Document,0..1,Purpose,Text,udt:TextType,,,Purpose,"The purpose, expressed as text, of this CIORH exchanged document."
1.0,UN01006667,BBIE,CIORH_ Exchanged_ Document. Language. Identifier,Exchanged,Document,0..n,Language,Identifier,udt:IDType,,,LanguageID,A language identifier for this CIORH exchanged document.
1.1,UN01006668,BBIE,CIORH_ Exchanged_ Document. Purpose. Code,Exchanged,Document,0..1,Purpose,Code,qdt:MessageFunctionCodeType,,,PurposeCode,"The code specifying the purpose of this CIORH exchanged document, such as request or reminder."
1.0,UN01006669,BBIE,CIORH_ Exchanged_ Document. Revision. Date Time,Exchanged,Document,0..1,Revision,Date Time,udt:DateTimeType,,,RevisionDateTime,"The date, time, date time, or other date time value for the revision of this CIORH exchanged document."
1.0,UN01006670,BBIE,CIORH_ Exchanged_ Document. Version_ Identification. Identifier,Exchanged,Document,0..1,Identification,Identifier,udt:IDType,,,VersionID,The identifier for the version of this CIORH exchanged document.
1.0,UN01006671,BBIE,CIORH_ Exchanged_ Document. Global_ Identification. Identifier,Exchanged,Document,0..1,Identification,Identifier,udt:IDType,,,GlobalID,The global identifier for this CIORH exchanged document.
1.0,UN01006672,BBIE,CIORH_ Exchanged_ Document. Revision_ Identification. Identifier,Exchanged,Document,0..1,Identification,Identifier,udt:IDType,,,RevisionID,The revision identifier of this CIORH exchanged document.
1.0,UN01006673,BBIE,CIORH_ Exchanged_ Document. Previous Revision_ Identification. Identifier,Exchanged,Document,0..1,Identification,Identifier,udt:IDType,,,PreviousRevisionID,The identifier of the previous revision of this CIORH exchanged document.
1.0,UN01006674,BBIE,CIORH_ Exchanged_ Document. Category. Code,Exchanged,Document,0..1,Category,Code,udt:CodeType,,,CategoryCode,The code specifying the category for this CIORH exchanged document.
1.0,UN01006675,BBIE,CIORH_ Exchanged_ Document. Response Reason. Code,Exchanged,Document,0..1,Response Reason,Code,udt:CodeType,,,ResponseReasonCode,The code specifying the response reason for this CIORH exchanged document.
1.0,UN01015497,BBIE,CIORH_ Exchanged_ Document. Requested_ Response Type. Code,Exchanged,Document,0..n,Response Type,Code,udt:CodeType,,,RequestedResponseTypeCode,A code specifying a type of response requested for this CIORH exchanged document.
1.0,UN01015498,BBIE,CIORH_ Exchanged_ Document. Subtype. Code,Exchanged,Document,0..1,Subtype,Code,udt:CodeType,,,SubtypeCode,The code specifying the subtype of this CIORH exchanged document.
1.0,UN01006676,ASBIE,CIORH_ Exchanged_ Document. Included. CI_ Note,Exchanged,Document,0..n,Included,,ram:CINoteType,CI,Note,IncludedCINote,A note included in this CIORH exchanged document.
1.0,UN01006677,ASBIE,CIORH_ Exchanged_ Document. Effective. CI_ Specified_ Period,Exchanged,Document,0..1,Effective,,ram:CISpecifiedPeriodType,Specified,Period,EffectiveCISpecifiedPeriod,The specified period within which this CIORH exchanged document is effective.
1.0,UN01013403,ASBIE,CIORH_ Exchanged_ Document. Attached. Specified_ Binary File,Exchanged,Document,0..n,Attached,,ram:SpecifiedBinaryFileType,Specified,Binary File,AttachedSpecifiedBinaryFile,A specified binary file attached to this CIORH exchanged document.
1.1,UN01005564,BBIE,CI_ Packaging_ Marking. Type. Code,Packaging,Marking,0..n,Type,Code,qdt:PackagingMarkingCodeType,,,TypeCode,A code specifying the type of CI packaging marking.
1.0,UN01005565,BBIE,CI_ Packaging_ Marking. Content. Text,Packaging,Marking,0..n,Content,Text,udt:TextType,,,Content,"Content, expressed as text, of this CI packaging marking."
1.0,UN01005566,BBIE,CI_ Packaging_ Marking. Content. Date Time,Packaging,Marking,0..1,Content,Date Time,udt:DateTimeType,,,ContentDateTime,"The date, time, date time or other date time value of the content of this CI packaging marking."
1.0,UN01007140,BBIE,CI_ Packaging_ Marking. Content. Amount,Packaging,Marking,0..n,Content,Amount,udt:AmountType,,,ContentAmount,"Content, expressed as a monetary amount, for this CI packaging marking."
1.0,UN01007141,BBIE,CI_ Packaging_ Marking. Barcode_ Type. Code,Packaging,Marking,0..n,Type,Code,udt:CodeType,,,BarcodeTypeCode,A code specifying a type of barcode for this CI packaging marking.
1.0,UN01008441,BBIE,CI_ Packaging_ Marking. Content. Code,Packaging,Marking,0..n,Content,Code,udt:CodeType,,,ContentCode,"Content, expressed as a code, of this CI packaging marking."
1.0,UN01008442,BBIE,CI_ Packaging_ Marking. Automatic Data Capture Method_ Type. Code,Packaging,Marking,0..n,Type,Code,qdt:AutomaticDataCaptureMethodCodeType,,,AutomaticDataCaptureMethodTypeCode,A code specifying an automatic data capture method type for this CI packaging marking.
1.0,UN01005568,BBIE,CI_ Product_ Characteristic. Identification. Identifier,Product,Characteristic,0..n,Identification,Identifier,udt:IDType,,,ID,A unique identifier for this CI product characteristic.
1.0,UN01005569,BBIE,CI_ Product_ Characteristic. Type. Code,Product,Characteristic,0..1,Type,Code,udt:CodeType,,,TypeCode,The code specifying a type of CI product characteristic.
1.0,UN01005570,BBIE,CI_ Product_ Characteristic. Description. Text,Product,Characteristic,0..n,Description,Text,udt:TextType,,,Description,A textual description of this CI product characteristic.
1.0,UN01005571,BBIE,CI_ Product_ Characteristic. Value. Measure,Product,Characteristic,0..1,Value,Measure,udt:MeasureType,,,ValueMeasure,The measure of a value for this CI product characteristic.
1.0,UN01005572,BBIE,CI_ Product_ Characteristic. Measurement Method. Code,Product,Characteristic,0..1,Measurement Method,Code,udt:CodeType,,,MeasurementMethodCode,The code specifying a measurement method for this CI product characteristic.
1.0,UN01008297,BBIE,CI_ Product_ Characteristic. Content_ Type. Code,Product,Characteristic,0..1,Type,Code,udt:CodeType,,,ContentTypeCode,The code specifying the content type of this CI product characteristic.
1.0,UN01008298,BBIE,CI_ Product_ Characteristic. Value. Code,Product,Characteristic,0..1,Value,Code,udt:CodeType,,,ValueCode,The code specifying the value of this CI product characteristic.
1.0,UN01008299,BBIE,CI_ Product_ Characteristic. Value. Date Time,Product,Characteristic,0..1,Value,Date Time,udt:DateTimeType,,,ValueDateTime,"The value for this CI product characteristic expressed as a date, time, date time, or other date time value."
1.0,UN01008300,BBIE,CI_ Product_ Characteristic. Value. Indicator,Product,Characteristic,0..1,Value,Indicator,udt:IndicatorType,,,ValueIndicator,The value for this CI product characteristic expressed as an indicator.
1.0,UN01011457,BBIE,CI_ Product_ Characteristic. Value. Text,Product,Characteristic,0..n,Value,Text,udt:TextType,,,Value,"A value, expressed as text, for this CI product characteristic."
1.0,UN01008301,ASBIE,CI_ Product_ Characteristic. Applicable. Referenced_ Standard,Product,Characteristic,0..1,Applicable,,ram:ReferencedStandardType,Referenced,Standard,ApplicableReferencedStandard,The referenced standard that is applicable to this CI product characteristic.
1.0,UN01008302,ASBIE,CI_ Product_ Characteristic. Applicable. Product Characteristic_ Condition,Product,Characteristic,0..n,Applicable,,ram:ProductCharacteristicConditionType,Product Characteristic,Condition,ApplicableProductCharacteristicCondition,A condition applicable to this CI product characteristic.
1.0,UN01008303,ASBIE,CI_ Product_ Characteristic. Value. Specified_ Binary File,Product,Characteristic,0..1,Value,,ram:SpecifiedBinaryFileType,Specified,Binary File,ValueSpecifiedBinaryFile,The value for this CI product characteristic expressed in a binary file.
1.0,UN01005574,BBIE,CI_ Product_ Classification. System. Identifier,Product,Classification,0..1,System,Identifier,udt:IDType,,,SystemID,The unique identifier of the classification system for this CI product classification.
1.0,UN01005575,BBIE,CI_ Product_ Classification. System Name. Text,Product,Classification,0..n,System Name,Text,udt:TextType,,,SystemName,"A name, expressed as text, of the classification system for this CI product classification."
1.0,UN01005576,BBIE,CI_ Product_ Classification. Class. Code,Product,Classification,0..1,Class,Code,udt:CodeType,,,ClassCode,The code specifying the class for this CI product classification.
1.0,UN01005577,BBIE,CI_ Product_ Classification. Class Name. Text,Product,Classification,0..n,Class Name,Text,udt:TextType,,,ClassName,"A class name, expressed as text, for this CI product classification."
1.0,UN01005578,BBIE,CI_ Product_ Classification. Sub_ Class. Code,Product,Classification,0..1,Class,Code,udt:CodeType,,,SubClassCode,The code specifying the sub class for this CI product classification.
1.0,UN01007142,ASBIE,CI_ Product_ Classification. Class. CI_ Product_ Characteristic,Product,Classification,0..n,Class,,ram:CIProductCharacteristicType,Product,Characteristic,ClassCIProductCharacteristic,A product characteristic for this CI product classification.
1.0,UN01008310,ASBIE,CI_ Product_ Classification. Applicable. Referenced_ Standard,Product,Classification,0..1,Applicable,,ram:ReferencedStandardType,Referenced,Standard,ApplicableReferencedStandard,The referenced standard that is applicable to this CI product classification.
1.0,UN01008335,BBIE,CIQ_ Document Line_ Document. Line. Identifier,Document Line,Document,0..1,Line,Identifier,udt:IDType,,,LineID,The unique identifier of this CIQ document line.
1.0,UN01008336,BBIE,CIQ_ Document Line_ Document. Line Status. Code,Document Line,Document,0..1,Line Status,Code,qdt:LineStatusCodeType,,,LineStatusCode,The code specifying the status of this CIQ document line.
1.0,UN01008337,BBIE,CIQ_ Document Line_ Document. Line Status Reason. Code,Document Line,Document,0..1,Line Status Reason,Code,udt:CodeType,,,LineStatusReasonCode,The code specifying the line status reason for this CIQ document line.
1.0,UN01008338,BBIE,CIQ_ Document Line_ Document. Latest_ Revision. Date Time,Document Line,Document,0..1,Revision,Date Time,udt:DateTimeType,,,LatestRevisionDateTime,"The date, time, date time, or other date time value for the latest revision of this CIQ document line."
1.0,UN01015603,BBIE,CIQ_ Document Line_ Document. Requested_ Response Type. Code,Document Line,Document,0..1,Response Type,Code,udt:CodeType,,,RequestedResponseTypeCode,The code specifying the type of response requested for this CIQ document line.
1.0,UN01015604,BBIE,CIQ_ Document Line_ Document. Response Reason. Code,Document Line,Document,0..1,Response Reason,Code,udt:CodeType,,,ResponseReasonCode,The code specifying the response reason for this CIQ document line.
1.0,UN01008339,ASBIE,CIQ_ Document Line_ Document. Included. CI_ Note,Document Line,Document,0..n,Included,,ram:CINoteType,CI,Note,IncludedCINote,A Cross Industry (CI) note included in this CIQ document line.
1.0,UN01008341,BBIE,CIQ_ Exchanged_ Document. Global_ Identification. Identifier,Exchanged,Document,0..1,Identification,Identifier,udt:IDType,,,GlobalID,The unique global identifier for this CIQ exchanged document.
1.0,UN01008342,BBIE,CIQ_ Exchanged_ Document. Previous Revision_ Identification. Identifier,Exchanged,Document,0..1,Identification,Identifier,udt:IDType,,,PreviousRevisionID,The unique identifier of the previous revision of this CIQ exchanged document.
1.0,UN01008343,BBIE,CIQ_ Exchanged_ Document. Revision_ Identification. Identifier,Exchanged,Document,0..1,Identification,Identifier,udt:IDType,,,RevisionID,The unique identifier of the revision of this CIQ exchanged document.
1.0,UN01008344,BBIE,CIQ_ Exchanged_ Document. Version_ Identification. Identifier,Exchanged,Document,0..1,Identification,Identifier,udt:IDType,,,VersionID,The unique identifier for the version of this CIQ exchanged document.
1.0,UN01008345,BBIE,CIQ_ Exchanged_ Document. Identification. Identifier,Exchanged,Document,0..1,Identification,Identifier,udt:IDType,,,ID,The unique identifier of this CIQ exchanged document.
1.0,UN01008346,BBIE,CIQ_ Exchanged_ Document. Language. Identifier,Exchanged,Document,0..n,Language,Identifier,udt:IDType,,,LanguageID,An identifier for a language used in this CIQ exchanged document.
1.0,UN01008347,BBIE,CIQ_ Exchanged_ Document. Amendment_ Purpose. Code,Exchanged,Document,0..1,Purpose,Code,qdt:MessageFunctionCodeType,,,AmendmentPurposeCode,The code specifying a purpose of an amendment to this CIQ exchanged document.
1.0,UN01008348,BBIE,CIQ_ Exchanged_ Document. Purpose. Code,Exchanged,Document,0..1,Purpose,Code,qdt:MessageFunctionCodeType,,,PurposeCode,"The code specifying the purpose of this CIQ exchanged document, such as request or reminder."
1.0,UN01008349,BBIE,CIQ_ Exchanged_ Document. Requested_ Response Type. Code,Exchanged,Document,0..n,Response Type,Code,qdt:ResponseTypeCodeType,,,RequestedResponseTypeCode,A code specifying a type of response requested for this CIQ exchanged document.
1.0,UN01008350,BBIE,CIQ_ Exchanged_ Document. Type. Code,Exchanged,Document,0..1,Type,Code,qdt:QuotationDocumentCodeType,,,TypeCode,The code specifying the type of CIQ exchanged document.
1.0,UN01008351,BBIE,CIQ_ Exchanged_ Document. Cancellation. Date Time,Exchanged,Document,0..1,Cancellation,Date Time,udt:DateTimeType,,,CancellationDateTime,"The date, time, date time, or other date time value of a cancellation of this CIQ exchanged document."
1.0,UN01008352,BBIE,CIQ_ Exchanged_ Document. Issue. Date Time,Exchanged,Document,0..1,Issue,Date Time,udt:DateTimeType,,,IssueDateTime,"The date, time, date time or other date time value for the issuance of this CIQ exchanged document."
1.0,UN01008353,BBIE,CIQ_ Exchanged_ Document. Revision. Date Time,Exchanged,Document,0..1,Revision,Date Time,udt:DateTimeType,,,RevisionDateTime,"The date, time, date time or other date time value for the revision of this CIQ exchanged document."
1.0,UN01008354,BBIE,CIQ_ Exchanged_ Document. Purpose. Text,Exchanged,Document,0..1,Purpose,Text,udt:TextType,,,Purpose,"The purpose, expressed as text, of this CIQ exchanged document."
1.0,UN01008355,BBIE,CIQ_ Exchanged_ Document. Copy. Indicator,Exchanged,Document,0..1,Copy,Indicator,udt:IndicatorType,,,CopyIndicator,The indication of whether or not this CIQ exchanged document is a copy.
1.0,UN01008356,BBIE,CIQ_ Exchanged_ Document. Line Count. Numeric,Exchanged,Document,0..1,Line Count,Numeric,udt:NumericType,,,LineCountNumeric,The count of the number of lines in this CIQ exchanged document.
1.0,UN01012681,BBIE,CIQ_ Exchanged_ Document. Name. Text,Exchanged,Document,0..n,Name,Text,udt:TextType,,,Name,"A name, expressed as text, of this CIQ exchanged document."
1.0,UN01015528,BBIE,CIQ_ Exchanged_ Document. Subtype. Code,Exchanged,Document,0..1,Subtype,Code,udt:CodeType,,,SubtypeCode,The code specifying the subtype of this CIQ exchanged document.
1.0,UN01008357,ASBIE,CIQ_ Exchanged_ Document. Issuer. CI_ Trade_ Party,Exchanged,Document,0..1,Issuer,,ram:CITradePartyType,Trade,Party,IssuerCITradeParty,The Cross Industry (CI) party that issues this CIQ exchanged document.
1.0,UN01008358,ASBIE,CIQ_ Exchanged_ Document. Effective. CI_ Specified_ Period,Exchanged,Document,0..1,Effective,,ram:CISpecifiedPeriodType,Specified,Period,EffectiveCISpecifiedPeriod,The Cross Industry (CI) specified period within which this CIQ exchanged document is effective.
1.0,UN01008359,ASBIE,CIQ_ Exchanged_ Document. Attached. Specified_ Binary File,Exchanged,Document,0..n,Attached,,ram:SpecifiedBinaryFileType,Specified,Binary File,AttachedSpecifiedBinaryFile,A specified binary file attached to this CIQ exchanged document.
1.0,UN01008360,ASBIE,CIQ_ Exchanged_ Document. Included. CI_ Note,Exchanged,Document,0..n,Included,,ram:CINoteType,CI,Note,IncludedCINote,A Cross Industry (CI) note included in this CIQ exchanged document.
1.0,UN01008558,BBIE,CIQH_ Supply Chain_ Trade Agreement. Buyer_ Reference. Text,Supply Chain,Trade Agreement,0..n,Reference,Text,udt:TextType,,,BuyerReference,"A buyer reference, expressed as text, for this CIQH supply chain trade agreement."
1.0,UN01008559,BBIE,CIQH_ Supply Chain_ Trade Agreement. Reference. Text,Supply Chain,Trade Agreement,0..n,Reference,Text,udt:TextType,,,Reference,"A reference, expressed as text, for this CIQH supply chain trade agreement."
1.0,UN01008560,ASBIE,CIQH_ Supply Chain_ Trade Agreement. Buyer. CI_ Trade_ Party,Supply Chain,Trade Agreement,0..1,Buyer,,ram:CITradePartyType,Trade,Party,BuyerCITradeParty,The buyer party for this CIQH supply chain trade agreement.
1.0,UN01008561,ASBIE,CIQH_ Supply Chain_ Trade Agreement. Seller. CI_ Trade_ Party,Supply Chain,Trade Agreement,1,Seller,,ram:CITradePartyType,Trade,Party,SellerCITradeParty,The seller party for this CIQH supply chain trade agreement.
1.0,UN01008562,ASBIE,CIQH_ Supply Chain_ Trade Agreement. Quote_ Referenced. CI_ Workflow Object,Supply Chain,Trade Agreement,0..1,Referenced,,ram:CIWorkflowObjectType,CI,Workflow Object,QuoteReferencedCIWorkflowObject,The quote processing workflow object for this CIQH supply chain trade agreement.
1.0,UN01008563,ASBIE,CIQH_ Supply Chain_ Trade Agreement. Applicable. CI_ Trade_ Delivery Terms,Supply Chain,Trade Agreement,0..1,Applicable,,ram:CITradeDeliveryTermsType,Trade,Delivery Terms,ApplicableCITradeDeliveryTerms,The terms of delivery applicable to this CIQH supply chain trade agreement.
1.0,UN01008564,ASBIE,CIQH_ Supply Chain_ Trade Agreement. Additional_ Referenced. CI_ Referenced_ Document,Supply Chain,Trade Agreement,0..n,Referenced,,ram:CIReferencedDocumentType,Referenced,Document,AdditionalReferencedCIReferencedDocument,An additional document referenced in this CIQH supply chain trade agreement.
1.0,UN01008565,ASBIE,CIQH_ Supply Chain_ Trade Agreement. Contract_ Referenced. CI_ Referenced_ Document,Supply Chain,Trade Agreement,0..n,Referenced,,ram:CIReferencedDocumentType,Referenced,Document,ContractReferencedCIReferencedDocument,A contract document referenced in this CIQH supply chain trade agreement.
1.0,UN01008566,ASBIE,CIQH_ Supply Chain_ Trade Agreement. Price List_ Referenced. CI_ Referenced_ Document,Supply Chain,Trade Agreement,0..1,Referenced,,ram:CIReferencedDocumentType,Referenced,Document,PriceListReferencedCIReferencedDocument,The price list document referenced in this CIQH supply chain trade agreement.
1.0,UN01008567,ASBIE,CIQH_ Supply Chain_ Trade Agreement. Quotation Proposal_ Referenced. CI_ Referenced_ Document,Supply Chain,Trade Agreement,0..1,Referenced,,ram:CIReferencedDocumentType,Referenced,Document,QuotationProposalReferencedCIReferencedDocument,The quotation proposal document referenced in this CIQH supply chain trade agreement.
1.0,UN01008568,ASBIE,CIQH_ Supply Chain_ Trade Agreement. Quotation Proposal Response_ Referenced. CI_ Referenced_ Document,Supply Chain,Trade Agreement,0..1,Referenced,,ram:CIReferencedDocumentType,Referenced,Document,QuotationProposalResponseReferencedCIReferencedDocument,The quotation proposal response document referenced in this CIQH supply chain trade agreement.
1.0,UN01008569,ASBIE,CIQH_ Supply Chain_ Trade Agreement. Request For Quotation_ Referenced. CI_ Referenced_ Document,Supply Chain,Trade Agreement,0..1,Referenced,,ram:CIReferencedDocumentType,Referenced,Document,RequestForQuotationReferencedCIReferencedDocument,The request for quotation document referenced in this CIQH supply chain trade agreement.
1.0,UN01008570,ASBIE,CIQH_ Supply Chain_ Trade Agreement. Request For Quotation Response_ Referenced. CI_ Referenced_ Document,Supply Chain,Trade Agreement,0..1,Referenced,,ram:CIReferencedDocumentType,Referenced,Document,RequestForQuotationResponseReferencedCIReferencedDocument,The request for quotation response document referenced in this CIQH supply chain trade agreement.
1.0,UN01011479,ASBIE,CIQH_ Supply Chain_ Trade Agreement. Relevant. CI_ Trade_ Party,Supply Chain,Trade Agreement,0..n,Relevant,,ram:CITradePartyType,Trade,Party,RelevantCITradeParty,A trade party relevant to this CIQH supply chain trade agreement.
1.0,UN01011480,ASBIE,CIQH_ Supply Chain_ Trade Agreement. Specified. Procuring_ Project,Supply Chain,Trade Agreement,0..1,Specified,,ram:ProcuringProjectType,Procuring,Project,SpecifiedProcuringProject,The procuring project specified for this CIQH supply chain trade agreement.
1.0,UN01008618,BBIE,CIQH_ Supply Chain_ Trade Delivery. Partial Delivery Allowed. Indicator,Supply Chain,Trade Delivery,0..1,Partial Delivery Allowed,Indicator,udt:IndicatorType,,,PartialDeliveryAllowedIndicator,The indication of whether or not this CIQH supply chain trade delivery can be a partial delivery.
1.0,UN01008619,ASBIE,CIQH_ Supply Chain_ Trade Delivery. Ship From. CI_ Trade_ Party,Supply Chain,Trade Delivery,0..1,Ship From,,ram:CITradePartyType,Trade,Party,ShipFromCITradeParty,The ship from party for this CIQH supply chain trade delivery.
1.0,UN01008620,ASBIE,CIQH_ Supply Chain_ Trade Delivery. Ship To. CI_ Trade_ Party,Supply Chain,Trade Delivery,0..1,Ship To,,ram:CITradePartyType,Trade,Party,ShipToCITradeParty,The ship to party for this CIQH supply chain trade delivery.
1.0,UN01008621,ASBIE,CIQH_ Supply Chain_ Trade Delivery. Delivery. CI_ Delivery_ Instructions,Supply Chain,Trade Delivery,0..n,Delivery,,ram:CIDeliveryInstructionsType,Delivery,Instructions,DeliveryCIDeliveryInstructions,Delivery instructions for this CIQH supply chain trade delivery.
1.0,UN01015499,ASBIE,CIQH_ Supply Chain_ Trade Delivery. Handling. CI_ Handling_ Instructions,Supply Chain,Trade Delivery,0..n,Handling,,ram:CIHandlingInstructionsType,Handling,Instructions,HandlingCIHandlingInstructions,Handling instructions for this CIQH supply chain trade delivery.
1.0,UN01015500,ASBIE,CIQH_ Supply Chain_ Trade Delivery. Planned_ Delivery. CI_ Supply Chain_ Event,Supply Chain,Trade Delivery,0..n,Delivery,,ram:CISupplyChainEventType,Supply Chain,Event,PlannedDeliveryCISupplyChainEvent,A planned delivery event for this CIQH supply chain trade delivery.
1.0,UN01008776,BBIE,CIQH_ Supply Chain_ Trade Settlement. Price_ Currency. Code,Supply Chain,Trade Settlement,0..1,Currency,Code,qdt:CurrencyCodeType,,,PriceCurrencyCode,The code specifying the price currency for this CIQH supply chain trade settlement.
1.0,UN01008777,BBIE,CIQH_ Supply Chain_ Trade Settlement. Quotation_ Currency. Code,Supply Chain,Trade Settlement,0..1,Currency,Code,qdt:CurrencyCodeType,,,QuotationCurrencyCode,The code specifying the quotation currency for this CIQH supply chain trade settlement.
1.0,UN01008778,ASBIE,CIQH_ Supply Chain_ Trade Settlement. Invoicee. CI_ Trade_ Party,Supply Chain,Trade Settlement,0..1,Invoicee,,ram:CITradePartyType,Trade,Party,InvoiceeCITradeParty,The party to whom an invoice is issued for this CIQH supply chain trade settlement.
1.0,UN01008779,ASBIE,CIQH_ Supply Chain_ Trade Settlement. Payer. CI_ Trade_ Party,Supply Chain,Trade Settlement,0..1,Payer,,ram:CITradePartyType,Trade,Party,PayerCITradeParty,The payer party for this CIQH supply chain trade settlement.
1.0,UN01008780,ASBIE,CIQH_ Supply Chain_ Trade Settlement. Specified. CI_ Trade_ Allowance Charge,Supply Chain,Trade Settlement,0..n,Specified,,ram:CITradeAllowanceChargeType,Trade,Allowance Charge,SpecifiedCITradeAllowanceCharge,An allowance or charge specified for this CIQH supply chain trade settlement.
1.0,UN01008781,ASBIE,CIQH_ Supply Chain_ Trade Settlement. Price_ Applicable. CI_ Trade_ Currency Exchange,Supply Chain,Trade Settlement,0..1,Applicable,,ram:CITradeCurrencyExchangeType,Trade,Currency Exchange,PriceApplicableCITradeCurrencyExchange,The currency exchange applicable to the price in this CIQH supply chain trade settlement.
1.0,UN01008782,ASBIE,CIQH_ Supply Chain_ Trade Settlement. Quotation_ Applicable. CI_ Trade_ Currency Exchange,Supply Chain,Trade Settlement,0..1,Applicable,,ram:CITradeCurrencyExchangeType,Trade,Currency Exchange,QuotationApplicableCITradeCurrencyExchange,The currency exchange applicable to the quotation currency in this CIQH supply chain trade settlement.
1.0,UN01008783,ASBIE,CIQH_ Supply Chain_ Trade Settlement. Tax_ Applicable. CI_ Trade_ Currency Exchange,Supply Chain,Trade Settlement,0..n,Applicable,,ram:CITradeCurrencyExchangeType,Trade,Currency Exchange,TaxApplicableCITradeCurrencyExchange,A currency exchange applicable to a tax in this CIQH supply chain trade settlement.
1.0,UN01008784,ASBIE,CIQH_ Supply Chain_ Trade Settlement. Specified. CIQH_ Trade Settlement_ Monetary Summation,Supply Chain,Trade Settlement,0..1,Specified,,ram:CIQHTradeSettlementMonetarySummationType,Trade Settlement,Monetary Summation,SpecifiedCIQHTradeSettlementMonetarySummation,The monetary summation totals specified for this CIQH supply chain trade settlement.
1.0,UN01008785,ASBIE,CIQH_ Supply Chain_ Trade Settlement. Specified. CI_ Trade Settlement_ Payment Means,Supply Chain,Trade Settlement,0..n,Specified,,ram:CITradeSettlementPaymentMeansType,Trade Settlement,Payment Means,SpecifiedCITradeSettlementPaymentMeans,A payment means specified for this CIQH supply chain trade settlement.
1.0,UN01008786,ASBIE,CIQH_ Supply Chain_ Trade Settlement. Specified. CI_ Trade_ Payment Terms,Supply Chain,Trade Settlement,0..1,Specified,,ram:CITradePaymentTermsType,Trade,Payment Terms,SpecifiedCITradePaymentTerms,The payment terms specified for this CIQH supply chain trade settlement.
1.0,UN01008787,ASBIE,CIQH_ Supply Chain_ Trade Settlement. Applicable. CI_ Trade_ Tax,Supply Chain,Trade Settlement,0..n,Applicable,,ram:CITradeTaxType,Trade,Tax,ApplicableCITradeTax,A tax applicable to this CIQH supply chain trade settlement.
1.0,UN01008459,BBIE,CIQH_ Trade Settlement_ Monetary Summation. Allowance Total. Amount,Trade Settlement,Monetary Summation,0..n,Allowance Total,Amount,udt:AmountType,,,AllowanceTotalAmount,A monetary value of the total of all allowance amounts being reported on the header level in this CIQH trade settlement monetary summation.
1.0,UN01008460,BBIE,CIQH_ Trade Settlement_ Monetary Summation. Charge Total. Amount,Trade Settlement,Monetary Summation,0..n,Charge Total,Amount,udt:AmountType,,,ChargeTotalAmount,A monetary value of the total of all charge amounts being reported on the header level in this CIQH trade settlement monetary summation.
1.0,UN01008461,BBIE,CIQH_ Trade Settlement_ Monetary Summation. Gross_ Line Total. Amount,Trade Settlement,Monetary Summation,0..n,Line Total,Amount,udt:AmountType,,,GrossLineTotalAmount,"A monetary value of the total of all line amounts, excluding line level allowances and charges and taxes, being reported in this CIQH trade settlement monetary summation."
1.0,UN01008462,BBIE,CIQH_ Trade Settlement_ Monetary Summation. Net_ Line Total. Amount,Trade Settlement,Monetary Summation,0..n,Line Total,Amount,udt:AmountType,,,NetLineTotalAmount,"A monetary value of the total of all net line amounts, including line level allowances and charges and excluding line level taxes, being reported in this CIQH trade settlement monetary summation."
1.0,UN01008463,BBIE,CIQH_ Trade Settlement_ Monetary Summation. Net Including Taxes_ Line Total. Amount,Trade Settlement,Monetary Summation,0..n,Line Total,Amount,udt:AmountType,,,NetIncludingTaxesLineTotalAmount,"A monetary value of the total of all net line amounts, including line level allowances, charges, and taxes, being reported in this CIQH trade settlement monetary summation."
1.0,UN01008464,BBIE,CIQH_ Trade Settlement_ Monetary Summation. Total Allowance Charge. Amount,Trade Settlement,Monetary Summation,0..n,Total Allowance Charge,Amount,udt:AmountType,,,TotalAllowanceChargeAmount,A monetary value of the total of all allowance and charge amounts reported on the header level in this CIQH trade settlement monetary summation.
1.0,UN01013079,BBIE,CIQH_ Trade Settlement_ Monetary Summation. Tax Total. Amount,Trade Settlement,Monetary Summation,0..n,Tax Total,Amount,udt:AmountType,,,TaxTotalAmount,A monetary value of the total of all tax amounts being reported in this CIQH trade settlement monetary summation.
1.0,UN01013080,BBIE,CIQH_ Trade Settlement_ Monetary Summation. Grand Total. Amount,Trade Settlement,Monetary Summation,0..n,Grand Total,Amount,udt:AmountType,,,GrandTotalAmount,"A monetary value of the grand total of this CIQH trade settlement monetary summation, to include addition and subtraction of individual summation amounts."
1.0,UN01013081,BBIE,CIQH_ Trade Settlement_ Monetary Summation. Including Taxes_ Line Total. Amount,Trade Settlement,Monetary Summation,0..n,Line Total,Amount,udt:AmountType,,,IncludingTaxesLineTotalAmount,"A monetary value of the line total, including taxes, being reported in this CIQH trade settlement monetary summation."
