Nr,UNID,Acronym,DEN,Definition,Publication comments,Object Class Term Qualifier(s),Object Class Term,Property Term Qualifier(s),Property Term,Datatype Qualifier(s),Representation Term,Qualified Data Type UID,Associated Object Class Term Qualifier(s),Associated Object Class,Business Term(s),Usage Rule(s),Sequence Number,Occurrence Min,Occurrence Max,Context Categories,Example(s),Version,Ref Library Version,Submitter Name,Ref Component UN ID,Unique submitter ID,CR Status Date,CR Status,Library Maintenance Comment,TDED,Submitted Definition,Submitter Comment,Submitted DEN,Publication Refs -- Source,Short Name
1961,UN01007400,ASBIE,CICH_ Supply Chain_ Trade Agreement. Procurement. CI_ Trade_ Party,The procurement party in this CICH supply chain trade agreement.,,CICH_ Supply Chain,Trade Agreement,,Procurement,,,,CI_ Trade,Party,,,4,0,1,Cataloguing,,1.0,,,,,,,,,,,,D09B.1,Procurement Party
1962,UN01007401,ASBIE,CICH_ Supply Chain_ Trade Agreement. Applicable. CI_ Trade_ Payment Terms,The payment terms applicable to this CICH supply chain trade agreement.,,CICH_ Supply Chain,Trade Agreement,,Applicable,,,,CI_ Trade,Payment Terms,,,5,0,1,Cataloguing,,1.0,,,,,,,,,,,,D09B.1,Payment Terms
1963,UN01007402,ASBIE,CICH_ Supply Chain_ Trade Agreement. Contract_ Referenced. CI_ Referenced_ Document,A contract document referenced in this CICH supply chain trade agreement.,,CICH_ Supply Chain,Trade Agreement,Contract,Referenced,,,,CI_ Referenced,Document,,,6,0,unbounded,Cataloguing,,1.0,,,,,,,,,,,,D09B.1,Contract Document
1964,UN01007403,ASBIE,CICH_ Supply Chain_ Trade Agreement. Price List_ Referenced. CI_ Referenced_ Document,The price list document referenced in this CICH supply chain trade agreement.,,CICH_ Supply Chain,Trade Agreement,Price List,Referenced,,,,CI_ Referenced,Document,,,7,0,1,Cataloguing,,1.0,,,,,,,,,,,,D09B,Price List Document
1965,UN01007404,ASBIE,CICH_ Supply Chain_ Trade Agreement. Catalogue_ Referenced. CI_ Referenced_ Document,The catalogue document referenced in this CICH supply chain trade agreement.,,CICH_ Supply Chain,Trade Agreement,Catalogue,Referenced,,,,CI_ Referenced,Document,,,8,0,1,Cataloguing,,1.0,,,,,,,,,,,,D09B.1,Catalogue Document
1966,UN01007405,ASBIE,CICH_ Supply Chain_ Trade Agreement. Purchase Conditions_ Referenced. CI_ Referenced_ Document,A purchase conditions document referenced in this CICH supply chain trade agreement.,,CICH_ Supply Chain,Trade Agreement,Purchase Conditions,Referenced,,,,CI_ Referenced,Document,,,9,0,unbounded,Cataloguing,,1.0,,,,,,,,,,,,D09B.1,Purchase Conditions Document
1967,UN01007406,ASBIE,CICH_ Supply Chain_ Trade Agreement. Sales Conditions_ Referenced. CI_ Referenced_ Document,A sales conditions document referenced in this CICH supply chain trade agreement.,,CICH_ Supply Chain,Trade Agreement,Sales Conditions,Referenced,,,,CI_ Referenced,Document,,,10,0,unbounded,Cataloguing,,1.0,,,,,,,,,,,,D09B.1,Sales Conditions Document
1968,UN01007407,ASBIE,CICH_ Supply Chain_ Trade Agreement. Target Market. CI_ Trade_ Country,A target market country for this CICH supply chain trade agreement.,,CICH_ Supply Chain,Trade Agreement,,Target Market,,,,CI_ Trade,Country,,,11,0,unbounded,Cataloguing,,1.0,,,,,,,,,,,,D09B.1,Target Market Country
1969,UN01007408,ASBIE,CICH_ Supply Chain_ Trade Agreement. Applicable. CI_ Logistics_ Location,A logistics location or place applicable to this CICH supply chain trade agreement.,,CICH_ Supply Chain,Trade Agreement,,Applicable,,,,CI_ Logistics,Location,,,12,0,unbounded,Cataloguing,,1.0,,,,,,,,,,,,D09B.1,Applicable Location
1970,UN01007409,ASBIE,CICH_ Supply Chain_ Trade Agreement. Shipping. CI_ Specified_ Period,The shipping period specified in this CICH supply chain trade agreement.,,CICH_ Supply Chain,Trade Agreement,,Shipping,,,,CI_ Specified,Period,,,13,0,1,Cataloguing,,1.0,,,,,,,,,,,,D09B.1,Shipping Period
1971,UN01007410,ASBIE,CICH_ Supply Chain_ Trade Agreement. Catalogue Request_ Referenced. CI_ Referenced_ Document,A catalogue request document referenced in this CICH supply chain trade agreement.,,CICH_ Supply Chain,Trade Agreement,Catalogue Request,Referenced,,,,CI_ Referenced,Document,,,14,0,unbounded,Cataloguing,,1.0,,,,,,,,,,,,D09B.1,Catalogue Request Document
1972,UN01007411,ASBIE,CICH_ Supply Chain_ Trade Agreement. Catalogue Subscription_ Referenced. CI_ Referenced_ Document,A catalogue subscription document referenced in this CICH supply chain trade agreement.,,CICH_ Supply Chain,Trade Agreement,Catalogue Subscription,Referenced,,,,CI_ Referenced,Document,,,15,0,unbounded,Cataloguing,,1.0,,,,,,,,,,,,D09B.1,Catalogue Subscription Document
1973,UN01007412,ABIE,CICH_ Supply Chain_ Trade Transaction. Details,The highest level catalogue information included in this Cross Industry Catalogue Header (CICH).,,CICH_ Supply Chain,Trade Transaction,,,,,,,,,,,,,Cataloguing,,1.0,,,,,,,,,,,,D09B.1,CICH Trade Transaction
1974,UN01007413,ASBIE,CICH_ Supply Chain_ Trade Transaction. Applicable. CICH_ Supply Chain_ Trade Agreement,The trade agreement applicable to this CICH supply chain trade transaction.,,CICH_ Supply Chain,Trade Transaction,,Applicable,,,,CICH_ Supply Chain,Trade Agreement,,,1,0,1,Cataloguing,,1.0,,,,,,,,,,,,D09B.1,Trade Agreement
1975,UN01007414,ASBIE,CICH_ Supply Chain_ Trade Transaction. Included. CICH_ Catalogue_ Product Group,A catalogue product group included in this CICH supply chain trade transaction.,,CICH_ Supply Chain,Trade Transaction,,Included,,,,CICH_ Catalogue,Product Group,,,2,0,unbounded,Cataloguing,,1.0,,,,,,,,,,,,D09B.1,Catalogue Product Group
1976,UN01007415,ASBIE,CICH_ Supply Chain_ Trade Transaction. Included. CICL_ Supply Chain_ Trade Line Item,A CICL (Cross Industry Catalogue Line) trade line item included in this CICH supply chain trade transaction.,,CICH_ Supply Chain,Trade Transaction,,Included,,,,CICL_ Supply Chain,Trade Line Item,,,3,0,unbounded,Cataloguing,,1.0,,,,,,,,,,,,D09B.1,Trade Line Item
1977,UN01007416,ABIE,CICL_ Document Line_ Document. Details,A document line for this Cross Industry Catalogue Line (CICL).,,CICL_ Document Line,Document,,,,,,,,,,,,,Cataloguing,,1.0,,,,,,,,,,,,D09B.1,CICL Document Line
1978,UN01007417,BBIE,CICL_ Document Line_ Document. Line. Identifier,The unique identifier of this CICL document line.,,CICL_ Document Line,Document,,Line,,Identifier,,,,,,1,1,1,Cataloguing,,1.0,,,,,,,,(1156),,,,D09B.1,Document Line ID
1979,UN01007418,BBIE,CICL_ Document Line_ Document. Line Status. Code,The code specifying the status of this CICL document line.,,CICL_ Document Line,Document,,Line Status,Line Status,Code,UN02000124,,,,,2,1,1,Cataloguing,,1.1,,,,,,,,(1229),,,,D09B.1,Status Code
1980,UN01007419,BBIE,CICL_ Document Line_ Document. Latest_ Revision. Date Time,"The date, time, date time, or other date time value for the latest revision of this CICL document line.",,CICL_ Document Line,Document,Latest,Revision,,Date Time,,,,,,3,0,1,Cataloguing,,1.0,,,,,,,,,,,,D09B.1,Latest Revision Date Time
1981,UN01007420,ASBIE,CICL_ Document Line_ Document. Included. CI_ Note,A note included in this CICL document line.,,CICL_ Document Line,Document,,Included,,,,CI,Note,,,1,0,unbounded,Cataloguing,,1.0,,,,,,,,,,,,D09B.1,Note
1982,UN01007421,ASBIE,CICL_ Document Line_ Document. Effective. CI_ Specified_ Period,The specified period within which this CICL document line is effective.,,CICL_ Document Line,Document,,Effective,,,,CI_ Specified,Period,,,2,0,1,Cataloguing,,1.0,,,,,,,,,,,,D09B.1,Effective Period
1983,UN01007422,ABIE,CICL_ Supply Chain_ Trade Agreement. Details,The contractual terms of a Cross Industry Catalogue Line (CICL) supply chain trade agreement.,,CICL_ Supply Chain,Trade Agreement,,,,,,,,,,,,,Cataloguing,,1.0,,,,,,,,,,,,D09B.1,CICL Trade Agreement
1984,UN01007423,BBIE,CICL_ Supply Chain_ Trade Agreement. Product Availability. Code,The code specifying the product availability according to this CICL supply chain trade agreement.,,CICL_ Supply Chain,Trade Agreement,,Product Availability,,Code,,,,,,1,0,1,Cataloguing,,1.0,,,,,,,,,,,,D09B.1,Product Availability Code
1985,UN01007424,BBIE,CICL_ Supply Chain_ Trade Agreement. Product Orderable. Indicator,The indication of whether or not the product can be ordered according to this CICL supply chain trade agreement.,,CICL_ Supply Chain,Trade Agreement,,Product Orderable,,Indicator,,,,,,2,0,1,Cataloguing,,1.0,,,,,,,,,,,,D09B.1,Product Orderable Indicator
1986,UN01007425,BBIE,CICL_ Supply Chain_ Trade Agreement. Product Reorderable. Indicator,The indication of whether or not the product can be reordered according to this CICL supply chain trade agreement.,,CICL_ Supply Chain,Trade Agreement,,Product Reorderable,,Indicator,,,,,,3,0,1,Cataloguing,,1.0,,,,,,,,,,,,D09B.1,Product Reorderable Indicator
1987,UN01007426,BBIE,CICL_ Supply Chain_ Trade Agreement. Product Made To Order. Indicator,"The indication of whether or not, according to this CICL supply chain trade agreement, the product is manufactured, built or customized only after receipt of order.",,CICL_ Supply Chain,Trade Agreement,,Product Made To Order,,Indicator,,,,,,4,0,1,Cataloguing,,1.0,,,,,,,,,,,,D09B.1,Product Made To Order Indicator
1988,UN01007427,BBIE,CICL_ Supply Chain_ Trade Agreement. Delivery_ Order Fulfilment Lead Time. Measure,The measure of the expected time interval between the receipt of an order and its delivery fulfilment according to this CICL supply chain trade agreement.,,CICL_ Supply Chain,Trade Agreement,Delivery,Order Fulfilment Lead Time,Duration_ Unit,Measure,UN02000026,,,,,5,0,1,Cataloguing,,1.1,,,,,,,,(6411),,,,D09B.1,Delivery Order Fulfilment Lead Time
1989,UN01007428,BBIE,CICL_ Supply Chain_ Trade Agreement. Pick-Up_ Order Fulfilment Lead Time. Measure,The measure of the expected time interval between the receipt of an order and its pick-up fulfilment according to this CICL supply chain trade agreement.,,CICL_ Supply Chain,Trade Agreement,Pick-Up,Order Fulfilment Lead Time,Duration_ Unit,Measure,UN02000026,,,,,6,0,1,Cataloguing,,1.1,,,,,,,,(6411),,,,D09B.1,Pick-Up Order Fulfilment Lead Time
1990,UN01007429,BBIE,CICL_ Supply Chain_ Trade Agreement. Minimum_ Product Orderable. Quantity,The minimum product orderable according to this CICL supply chain trade agreement.,,CICL_ Supply Chain,Trade Agreement,Minimum,Product Orderable,,Quantity,,,,,,7,0,1,Cataloguing,,1.0,,,,,,,,,,,,D09B.1,Minimum Product Orderable Quantity
1991,UN01007430,BBIE,CICL_ Supply Chain_ Trade Agreement. Maximum_ Product Orderable. Quantity,The maximum product orderable according to this CICL supply chain trade agreement.,,CICL_ Supply Chain,Trade Agreement,Maximum,Product Orderable,,Quantity,,,,,,8,0,1,Cataloguing,,1.0,,,,,,,,,,,,D09B.1,Maximum Product Orderable Quantity
1992,UN01007431,BBIE,CICL_ Supply Chain_ Trade Agreement. Incremental_ Product Orderable. Quantity,The incremental product orderable according to this CICL supply chain trade agreement.,,CICL_ Supply Chain,Trade Agreement,Incremental,Product Orderable,,Quantity,,,,,,9,0,1,Cataloguing,,1.0,,,,,,,,,,,,D09B.1,Incremental Product Orderable Quantity
1993,UN01007432,BBIE,CICL_ Supply Chain_ Trade Agreement. Order_ Product Unit Measure. Code,"The code specifying the order product unit measure, such as kilogram or litre, according to this CICL supply chain trade agreement.",,CICL_ Supply Chain,Trade Agreement,Order,Product Unit Measure,,Code,,,,,,10,0,1,Cataloguing,,1.0,,,,,,,,,,,,D09B.1,Order Product Unit Of Measure
1994,UN01007433,BBIE,CICL_ Supply Chain_ Trade Agreement. Resale_ Product Unit Measure. Code,"The code specifying the resale product unit measure, such as kilogram or litre, according to this CICL supply chain trade agreement.",,CICL_ Supply Chain,Trade Agreement,Resale,Product Unit Measure,,Code,,,,,,11,0,1,Cataloguing,,1.0,,,,,,,,,,,,D09B.1,Resale Product Unit Of Measure
1995,UN01007434,BBIE,CICL_ Supply Chain_ Trade Agreement. Information Use Restriction. Indicator,The indication of whether or not the use of the information provided in this CICL supply chain trade agreement is restricted.,,CICL_ Supply Chain,Trade Agreement,,Information Use Restriction,,Indicator,,,,,,12,0,1,Cataloguing,,1.0,,,,,,,,,,,,D09B.1,Information Use Restriction Indicator
1996,UN01007435,ASBIE,CICL_ Supply Chain_ Trade Agreement. Seller. CI_ Trade_ Party,The seller party for this CICL supply chain trade agreement.,,CICL_ Supply Chain,Trade Agreement,,Seller,,,,CI_ Trade,Party,,,1,0,1,Cataloguing,,1.0,,,,,,,,,,,,D09B.1,Seller
1997,UN01007436,ASBIE,CICL_ Supply Chain_ Trade Agreement. Procurement. CI_ Trade_ Party,The procurement party for this CICL supply chain trade agreement.,,CICL_ Supply Chain,Trade Agreement,,Procurement,,,,CI_ Trade,Party,,,2,0,1,Cataloguing,,1.0,,,,,,,,,,,,D09B.1,Procurement Party
1998,UN01007437,ASBIE,CICL_ Supply Chain_ Trade Agreement. Catalogue_ Information Provider. CI_ Trade_ Party,The information provider party for this CICL supply chain trade agreement.,,CICL_ Supply Chain,Trade Agreement,Catalogue,Information Provider,,,,CI_ Trade,Party,,,3,0,1,Cataloguing,,1.0,,,,,,,,,,,,D09B.1,Catalogue Information Provider
1999,UN01007438,ASBIE,CICL_ Supply Chain_ Trade Agreement. Support Centre. CI_ Trade_ Party,The support centre party for this CICL supply chain trade agreement.,,CICL_ Supply Chain,Trade Agreement,,Support Centre,,,,CI_ Trade,Party,,,4,0,1,Cataloguing,,1.0,,,,,,,,,,,,D09B.1,Support Centre
2000,UN01007439,ASBIE,CICL_ Supply Chain_ Trade Agreement. Carrier. CI_ Trade_ Party,The carrier party for this CICL supply chain trade agreement.,,CICL_ Supply Chain,Trade Agreement,,Carrier,,,,CI_ Trade,Party,,,5,0,1,Cataloguing,,1.0,,,,,,,,,,,,D09B.1,Carrier
2001,UN01007440,ASBIE,CICL_ Supply Chain_ Trade Agreement. Applicable. CI_ Trade_ Delivery Terms,The terms of delivery applicable to this CICL supply chain trade agreement.,,CICL_ Supply Chain,Trade Agreement,,Applicable,,,,CI_ Trade,Delivery Terms,,,6,0,1,Cataloguing,,1.0,,,,,,,,,,,,D09B.1,Delivery Terms
2002,UN01007441,ASBIE,CICL_ Supply Chain_ Trade Agreement. Gross Price_ Product. CI_ Trade_ Price,A gross product price according to this CICL supply chain trade agreement.,,CICL_ Supply Chain,Trade Agreement,Gross Price,Product,,,,CI_ Trade,Price,,,7,0,unbounded,Cataloguing,,1.0,,,,,,,,,,,,D09B.1,Product Gross Price
2003,UN01007442,ASBIE,CICL_ Supply Chain_ Trade Agreement. Net Price_ Product. CI_ Trade_ Price,A net product price according to this CICL supply chain trade agreement.,,CICL_ Supply Chain,Trade Agreement,Net Price,Product,,,,CI_ Trade,Price,,,8,0,unbounded,Cataloguing,,1.0,,,,,,,,,,,,D09B.1,Product Net Price
2004,UN01007444,ASBIE,CICL_ Supply Chain_ Trade Agreement. Target Market. CI_ Trade_ Country,A target market country for this CICL supply chain trade agreement.,,CICL_ Supply Chain,Trade Agreement,,Target Market,,,,CI_ Trade,Country,,,9,0,unbounded,Cataloguing,,1.0,,,,,,,,,,,,D09B.1,Target Market Country
2005,UN01007445,ASBIE,CICL_ Supply Chain_ Trade Agreement. Ordering. CI_ Specified_ Period,The ordering period specified in this CICL supply chain trade agreement.,,CICL_ Supply Chain,Trade Agreement,,Ordering,,,,CI_ Specified,Period,,,10,0,1,Cataloguing,,1.0,,,,,,,,,,,,D09B.1,Specified Ordering Period
2006,UN01007446,ASBIE,CICL_ Supply Chain_ Trade Agreement. Minimum Order Quantity_ Ordering. CI_ Specified_ Period,The date period specified for when the minimum order quantity is available for ordering according to this supply chain trade agreement.,,CICL_ Supply Chain,Trade Agreement,Minimum Order Quantity,Ordering,,,,CI_ Specified,Period,,,11,0,1,Cataloguing,,1.0,,,,,,,,,,,,D09B.1,Minimum Order Quantity Ordering Period
2007,UN01007447,ASBIE,CICL_ Supply Chain_ Trade Agreement. Maximum Order Quantity_ Ordering. CI_ Specified_ Period,The date period specified for when the maximum order quantity is available for ordering according to this supply chain trade agreement.,,CICL_ Supply Chain,Trade Agreement,Maximum Order Quantity,Ordering,,,,CI_ Specified,Period,,,12,0,1,Cataloguing,,1.0,,,,,,,,,,,,D09B.1,Maximum Order Quantity Ordering Period
2008,UN01007448,ASBIE,CICL_ Supply Chain_ Trade Agreement. Exclusivity. CI_ Specified_ Period,The exclusivity period specified in this CICL supply chain trade agreement.,,CICL_ Supply Chain,Trade Agreement,,Exclusivity,,,,CI_ Specified,Period,,,13,0,1,Cataloguing,,1.0,,,,,,,,,,,,D09B.1,Exclusivity Period
2009,UN01007449,ASBIE,CICL_ Supply Chain_ Trade Agreement. Resale. CI_ Specified_ Period,The resale period specified in this CICL supply chain trade agreement.,,CICL_ Supply Chain,Trade Agreement,,Resale,,,,CI_ Specified,Period,,,14,0,1,Cataloguing,,1.0,,,,,,,,,,,,D09B.1,Resale Period
2010,UN01007450,ASBIE,CICL_ Supply Chain_ Trade Agreement. Guaranteed Product Life Span. CI_ Specified_ Period,The guaranteed product life span period specified in this CICL supply chain trade agreement.,,CICL_ Supply Chain,Trade Agreement,,Guaranteed Product Life Span,,,,CI_ Specified,Period,,,15,0,1,Cataloguing,,1.0,,,,,,,,,,,,D09B.1,Guaranteed Product Life Span Period
2011,UN01007451,ASBIE,CICL_ Supply Chain_ Trade Agreement. Immediate_ Previous Price List_ Referenced. CI_ Referenced_ Document,"The immediate, previous price list document referenced by this CICL supply chain trade agreement.",,CICL_ Supply Chain,Trade Agreement,Immediate_ Previous Price List,Referenced,,,,CI_ Referenced,Document,,,16,0,1,Cataloguing,,1.0,,,,,,,,,,,,D09B.1,Immediate Previous Price List Document
2012,UN01007452,ASBIE,CICL_ Supply Chain_ Trade Agreement. Contract_ Referenced. CI_ Referenced_ Document,A contract document referenced in this CICL supply chain trade agreement.,,CICL_ Supply Chain,Trade Agreement,Contract,Referenced,,,,CI_ Referenced,Document,,,17,0,unbounded,Cataloguing,,1.0,,,,,,,,,,,,D09B.1,Contract Document
2013,UN01007453,ASBIE,CICL_ Supply Chain_ Trade Agreement. Price List_ Referenced. CI_ Referenced_ Document,The price list document referenced in this CICL supply chain trade agreement.,,CICL_ Supply Chain,Trade Agreement,Price List,Referenced,,,,CI_ Referenced,Document,,,18,0,1,Cataloguing,,1.0,,,,,,,,,,,,D09B.1,Price List Document
2014,UN01007454,ASBIE,CICL_ Supply Chain_ Trade Agreement. Sales Conditions_ Referenced. CI_ Referenced_ Document,A sales conditions document referenced for this CICL supply chain trade agreement.,,CICL_ Supply Chain,Trade Agreement,Sales Conditions,Referenced,,,,CI_ Referenced,Document,,,19,0,unbounded,Cataloguing,,1.0,,,,,,,,,,,,D09B.1,Sales Conditions Document
2015,UN01007455,ABIE,CICL_ Supply Chain_ Trade Delivery. Details,Cross Industry Catalogue Line (CICL) supply chain shipping arrangements and movement of products and or services including despatch and delivery.,,CICL_ Supply Chain,Trade Delivery,,,,,,,,,,,,,Cataloguing,,1.0,,,,,,,,,,,,D09B.1,CICL Trade Delivery
2016,UN01007456,ASBIE,CICL_ Supply Chain_ Trade Delivery. Handling. CI_ Handling_ Instructions,The handling instructions for this CICL supply chain trade delivery.,,CICL_ Supply Chain,Trade Delivery,,Handling,,,,CI_ Handling,Instructions,,,1,0,1,Cataloguing,,1.0,,,,,,,,,,,,D09B.1,Handling Instructions
2017,UN01008613,ASBIE,CICL_ Supply Chain_ Trade Delivery. Applicable. CI_ Transport_ Dangerous Goods,The transport dangerous goods information applicable to this CICL supply chain trade delivery.,,CICL_ Supply Chain,Trade Delivery,,Applicable,,,,CI_ Transport,Dangerous Goods,,,2,0,1,Cataloguing,,1.0,,,,,,,,,,,,D10A,Applicable Dangerous Goods
2018,UN01008614,ASBIE,CICL_ Supply Chain_ Trade Delivery. Included. CI_ Supply Chain_ Packaging,Packaging included in this CICL supply chain trade delivery.,,CICL_ Supply Chain,Trade Delivery,,Included,,,,CI_ Supply Chain,Packaging,,,3,0,unbounded,Cataloguing,,1.0,,,,,,,,,,,,D10A,Included Packaging
2019,UN01007457,ABIE,CICL_ Supply Chain_ Trade Line Item. Details,A collection of information specific to a CICL (Cross Industry Catalogue Line) catalogue item.,,CICL_ Supply Chain,Trade Line Item,,,,,,,,,,,,,Cataloguing,,1.0,,,,,,,,,,,,D09B.1,CICL Trade Line Item
2020,UN01007458,ASBIE,CICL_ Supply Chain_ Trade Line Item. Associated. CICL_ Document Line_ Document,The document line associated with this CICL catalogue trade line item.,,CICL_ Supply Chain,Trade Line Item,,Associated,,,,CICL_ Document Line,Document,,,1,0,1,Cataloguing,,1.0,,,,,,,,,,,,D09B.1,Associated Document Line
2021,UN01007459,ASBIE,CICL_ Supply Chain_ Trade Line Item. Specified. CICL_ Supply Chain_ Trade Agreement,The trade agreement specified for this CICL supply chain trade line item.,,CICL_ Supply Chain,Trade Line Item,,Specified,,,,CICL_ Supply Chain,Trade Agreement,,,2,0,1,Cataloguing,,1.0,,,,,,,,,,,,D09B.1,Trade Agreement
2022,UN01007460,ASBIE,CICL_ Supply Chain_ Trade Line Item. Specified. CICL_ Supply Chain_ Trade Delivery,The trade delivery specified for this CICL supply chain trade line item.,,CICL_ Supply Chain,Trade Line Item,,Specified,,,,CICL_ Supply Chain,Trade Delivery,,,3,0,1,Cataloguing,,1.0,,,,,,,,,,,,D09B.1,Trade Delivery
2023,UN01007461,ASBIE,CICL_ Supply Chain_ Trade Line Item. Specified. CICL_ Supply Chain_ Trade Settlement,The trade settlement specified for this CICL supply chain trade line item.,,CICL_ Supply Chain,Trade Line Item,,Specified,,,,CICL_ Supply Chain,Trade Settlement,,,4,0,1,Cataloguing,,1.0,,,,,,,,,,,,D09B.1,Trade Settlement
2024,UN01007462,ASBIE,CICL_ Supply Chain_ Trade Line Item. Specified. Catalogue_ Trade_ Product,The catalogue trade product specified for this CICL supply chain trade line item.,,CICL_ Supply Chain,Trade Line Item,,Specified,,,,Catalogue_ Trade,Product,,,5,1,1,Cataloguing,,1.0,,,,,,,,,,,,D09B.1,Specified Catalogue Product
2025,UN01007463,ASBIE,CICL_ Supply Chain_ Trade Line Item. Substitute_ Applicable. CI_ Referenced_ Product,A referenced substitute product applicable to this CICL supply chain trade line item.,,CICL_ Supply Chain,Trade Line Item,Substitute,Applicable,,,,CI_ Referenced,Product,,,6,0,unbounded,Cataloguing,,1.0,,,,,,,,,,,,D09B.1,Substitute Product
2026,UN01007464,ASBIE,CICL_ Supply Chain_ Trade Line Item. Accessory_ Applicable. CI_ Referenced_ Product,A referenced accessory product applicable to this CICL supply chain trade line item.,,CICL_ Supply Chain,Trade Line Item,Accessory,Applicable,,,,CI_ Referenced,Product,,,7,0,unbounded,Cataloguing,,1.0,,,,,,,,,,,,D09B.1,Accessory Product
2027,UN01007465,ASBIE,CICL_ Supply Chain_ Trade Line Item. Component_ Applicable. CI_ Referenced_ Product,A referenced component product applicable to this CICL supply chain trade line item.,,CICL_ Supply Chain,Trade Line Item,Component,Applicable,,,,CI_ Referenced,Product,,,8,0,unbounded,Cataloguing,,1.0,,,,,,,,,,,,D09B.1,Component Product
2028,UN01007466,ASBIE,CICL_ Supply Chain_ Trade Line Item. Complementary_ Applicable. CI_ Referenced_ Product,A referenced complementary product applicable to this CICL supply chain trade line item.,,CICL_ Supply Chain,Trade Line Item,Complementary,Applicable,,,,CI_ Referenced,Product,,,9,0,unbounded,Cataloguing,,1.0,,,,,,,,,,,,D09B.1,Complementary Product
2029,UN01007467,ASBIE,CICL_ Supply Chain_ Trade Line Item. Additional_ Applicable. CI_ Referenced_ Product,A referenced additional product applicable to this CICL supply chain trade line item.,,CICL_ Supply Chain,Trade Line Item,Additional,Applicable,,,,CI_ Referenced,Product,,,10,0,unbounded,Cataloguing,,1.0,,,,,,,,,,,,D09B.1,Additional Product
2030,UN01008718,ASBIE,CICL_ Supply Chain_ Trade Line Item. Required_ Applicable. CI_ Referenced_ Product,A referenced required product applicable for this CICL supply chain trade line item.,,CICL_ Supply Chain,Trade Line Item,Required,Applicable,,,,CI_ Referenced,Product,,,11,0,unbounded,Cataloguing,,1.0,,,,,,,,,,,,D10A,Required Product
2031,UN01007468,ABIE,CICL_ Supply Chain_ Trade Settlement. Details,The information that enables the financial reconciliation of the Cross Industry Catalogue Line (CICL) of a supply chain transaction with the item(s) that the financial transaction is intended to settle.,,CICL_ Supply Chain,Trade Settlement,,,,,,,,,,,,,Cataloguing,,1.0,,,,,,,,,,,,D09B.1,CICL Trade Settlement
2032,UN01007469,ASBIE,CICL_ Supply Chain_ Trade Settlement. Applicable. CI_ Trade_ Tax,A Cross Industry (CI) trade tax applicable to this CICL supply chain trade settlement.,,CICL_ Supply Chain,Trade Settlement,,Applicable,,,,CI_ Trade,Tax,,,1,0,unbounded,Cataloguing,,1.0,,,,,,,,,,,,D09B.1,Tax
2033,UN01006800,ABIE,CIDDH_ Exchanged_ Document. Details,"A collection of data for a Cross Industry Delivery Despatch Advice Header (CIDDH) that is exchanged between two or more parties in written, printed or electronic form.",,CIDDH_ Exchanged,Document,,,,,,,,,,,,,Delivering,,1.0,,,,,,,,,,,,D09B.1,CIDDH Exchanged Document
2034,UN01006801,BBIE,CIDDH_ Exchanged_ Document. Identification. Identifier,The identifier of this CIDDH exchanged document.,,CIDDH_ Exchanged,Document,,Identification,,Identifier,,,,,,1,1,1,Delivering,NZL2004/ELN6000/5689,1.0,,,,,,,,(1004),,,,D09B.1,ID
2035,UN01006802,BBIE,CIDDH_ Exchanged_ Document. Name. Text,"A name, expressed as text, of this CIDDH exchanged document.",,CIDDH_ Exchanged,Document,,Name,,Text,,,,,,2,0,unbounded,Delivering,Sanitary Certificate for Milk and Milk Products to the European Union,1.0,,,,,,,,(1000),,,,D09B.1,Name
2036,UN01006803,BBIE,CIDDH_ Exchanged_ Document. Type. Code,The code specifying the type of CIDDH exchanged document.,,CIDDH_ Exchanged,Document,,Type,Document,Code,UN02000006,,,,,3,0,1,Delivering,852 (Sanitary Certificate),1.0,,,,,,,,(1001),,,,D09B.1,Type Code
2037,UN01006804,BBIE,CIDDH_ Exchanged_ Document. Status. Code,The code specifying the status of this CIDDH exchanged document.,,CIDDH_ Exchanged,Document,,Status,Document Status,Code,UN02000025,,,,,4,0,1,Delivering,1  (Accepted),1.1,,,,,,,,(1373),,,,D09B.1,Status Code
2038,UN01006805,BBIE,CIDDH_ Exchanged_ Document. Issue. Date Time,"The date, time, date time, or other date time value for the issuance of this CIDDH exchanged document.",,CIDDH_ Exchanged,Document,,Issue,,Date Time,,,,,,5,1,1,Delivering,2004-11-22T10:59:11Z,1.0,,,,,,,,(2007),,,,D09B.1,Issue Date Time
2039,UN01006806,BBIE,CIDDH_ Exchanged_ Document. Copy. Indicator,The indication of whether or not this CIDDH exchanged document is a copy.,,CIDDH_ Exchanged,Document,,Copy,,Indicator,,,,,,6,0,1,Delivering,No,1.0,,,,,,,,(4366),,,,D09B.1,Copy Indicator
2040,UN01006807,BBIE,CIDDH_ Exchanged_ Document. Purpose. Text,"The purpose, expressed as text, of this CIDDH exchanged document.",,CIDDH_ Exchanged,Document,,Purpose,,Text,,,,,,7,0,1,Delivering,,1.0,,,,,,,,(1160),,,,D09B.1,Purpose Text
2041,UN01006808,BBIE,CIDDH_ Exchanged_ Document. Control Requirement. Indicator,The indication of whether or not this CIDDH exchanged document has specific control requirements.,,CIDDH_ Exchanged,Document,,Control Requirement,,Indicator,,,,,,8,0,1,Delivering,,1.0,,,,,,,,,,,,D09B.1,Control Requirement Indicator
