change,unid,acronym,DEN,Definition,Working_comments_and_instructions,Publication_comments,Object_Class_Term_Qualifier(s),Object_Class_Term,Property_Term_Qualifier(s),Property_Term,Datatype_Qualifier(s),Representation_Term,Qualified_Data_Type_UID,Associated_Object_Class_Term_Qualifier(s),Associated_Object_Class,Business_Term(s),Usage_Rule(s),Sequence_Number,Occurrence_Min,Occurrence_Max,Business_Process_Value,Business_Process_Meaning,Business_Process_Class.Schema,Product_Value,Product_Meaning,Product_Class.Schema,Industory_Value,Industory_Meaning,Industory_Class.Schema,Region_(Geo)_Value,Region_(Geo)_Meaning,Region_(Geo)_Class.Schema,Official_Constraints_Value,Official_Constraints_Meaning,Official_Constraints_Class.Schema,Role_Value,Role_Meaning,Role_Class.Schema,Supporting_Role_Value,Supporting_Role_Meaning,Supporting_Role_Class.Schema,System_Constraints_Value,System_Constraints_Meaning,System_Constraints_Class.Schema,"Facets To_restrict_the_set_of_values_of_Content_Component_or_Supplementary_Components",au,av,aw,ax,ay,az,ba,bb,bc,bd,be,bf,bg,bh,Example(s),BIE/CC/DT_Version,Ref_Library_Version,Submitter_Name,Ref_Component_UN_ID,Ref_CR_ID,Unique_submitter_ID,CR_Status_Date,CR_Status,Library_Maintenance_Comment,TDED,Submitted_Definition,Submitter_Comment,Submitted_DEN,Submission_Row_Number,Unique_CC/BIE_ID,CR_Storage_Date,Publication_Refs_--_Source,Persistent_Flag,cb,cc,Short_Name,ce
,UN01007339,BBIE,Catalogue_ Trade_ Product. Common_ Name. Text,"The common name, expressed as text, for this catalogue trade product.",,,Catalogue_ Trade,Product,Common,Name,,Text,,,,,,27,0,1,Cataloguing,,,In All Contexts,,,In All Contexts,,,In All Contexts,,,None,,,In All Contexts,,,In All Contexts,,,In All Contexts,,,,,,,,,,,,,,,,,,,1,,,,,,,,,-7134,,,,,,,D09B.1,,,,Common Name,
,UN01007340,BBIE,Catalogue_ Trade_ Product. Scientific_ Name. Text,"The scientific name, expressed as text, for this catalogue trade product.",,,Catalogue_ Trade,Product,Scientific,Name,,Text,,,,,,28,0,1,Cataloguing,,,In All Contexts,,,In All Contexts,,,In All Contexts,,,None,,,In All Contexts,,,In All Contexts,,,In All Contexts,,,,,,,,,,,,,,,,,,,1,,,,,,,,,-7134,,,,,,,D09B.1,,,,Scientific Name,
,UN01007341,BBIE,Catalogue_ Trade_ Product. Content_ Variable Measure. Indicator,"The indication of whether or not the content of this catalogue trade product has a variable measure, such as weight, length or volume.",,,Catalogue_ Trade,Product,Content,Variable Measure,,Indicator,,,,,,29,0,1,Cataloguing,,,In All Contexts,,,In All Contexts,,,In All Contexts,,,None,,,In All Contexts,,,In All Contexts,,,In All Contexts,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,D09B.1,,,,Content Variable Measure Indicator,
,UN01007342,BBIE,Catalogue_ Trade_ Product. Configurable. Indicator,The indication of whether or not this catalogue trade product is configurable.,,,Catalogue_ Trade,Product,,Configurable,,Indicator,,,,,,30,0,1,Cataloguing,,,In All Contexts,,,In All Contexts,,,In All Contexts,,,None,,,In All Contexts,,,In All Contexts,,,In All Contexts,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,D09B.1,,,,Configurable Indicator,
,UN01007343,BBIE,Catalogue_ Trade_ Product. Marked_ Serial Number. Indicator,The indication of whether or not this catalogue trade product is marked with a serial number.,,,Catalogue_ Trade,Product,Marked,Serial Number,,Indicator,,,,,,31,0,1,Cataloguing,,,In All Contexts,,,In All Contexts,,,In All Contexts,,,None,,,In All Contexts,,,In All Contexts,,,In All Contexts,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,D09B.1,,,,Marked Serial Number Indicator,
,UN01007344,BBIE,Catalogue_ Trade_ Product. Pre-Packaged. Indicator,The indication of whether or not this catalogue trade product is pre-packaged.,,,Catalogue_ Trade,Product,,Pre-Packaged,,Indicator,,,,,,32,0,1,Cataloguing,,,In All Contexts,,,In All Contexts,,,In All Contexts,,,None,,,In All Contexts,,,In All Contexts,,,In All Contexts,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,D09B.1,,,,Pre-Packaged Indicator,
,UN01007345,BBIE,Catalogue_ Trade_ Product. Colour. Code,The code specifying the colour for this catalogue trade product.,,,Catalogue_ Trade,Product,,Colour,,Code,,,,,,33,0,1,Cataloguing,,,In All Contexts,,,In All Contexts,,,In All Contexts,,,None,,,In All Contexts,,,In All Contexts,,,In All Contexts,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,D09B.1,,,,Colour Code,
,UN01007346,BBIE,Catalogue_ Trade_ Product. Colour_ Description. Text,A textual description of the colour of this catalogue trade product.,,,Catalogue_ Trade,Product,Colour,Description,,Text,,,,,,34,0,unbounded,Cataloguing,,,In All Contexts,,,In All Contexts,,,In All Contexts,,,None,,,In All Contexts,,,In All Contexts,,,In All Contexts,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,D09B.1,,,,Colour Description,
,UN01007347,BBIE,Catalogue_ Trade_ Product. Content_ Unit. Quantity,The number of content units of this catalogue trade product.,,,Catalogue_ Trade,Product,Content,Unit,,Quantity,,,,,,35,0,1,Cataloguing,,,In All Contexts,,,In All Contexts,,,In All Contexts,,,None,,,In All Contexts,,,In All Contexts,,,In All Contexts,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,D09B.1,,,,Content Unit Quantity,
,UN01007348,BBIE,Catalogue_ Trade_ Product. Inner Pack Content_ Unit. Quantity,The number of content units in an inner pack of this catalogue trade product.,,,Catalogue_ Trade,Product,Inner Pack Content,Unit,,Quantity,,,,,,36,0,1,Cataloguing,,,In All Contexts,,,In All Contexts,,,In All Contexts,,,None,,,In All Contexts,,,In All Contexts,,,In All Contexts,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,D09B.1,,,,Inner Pack Content Unit Quantity,
,UN01007349,BBIE,Catalogue_ Trade_ Product. Inner Pack. Quantity,The number of inner packs of this catalogue trade product.,,,Catalogue_ Trade,Product,,Inner Pack,,Quantity,,,,,,37,0,1,Cataloguing,,,In All Contexts,,,In All Contexts,,,In All Contexts,,,None,,,In All Contexts,,,In All Contexts,,,In All Contexts,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,D09B.1,,,,Inner Pack Quantity,
,UN01007350,BBIE,Catalogue_ Trade_ Product. Included Product Content_ Unit. Quantity,The number of content units of products included in this catalogue trade product.,,,Catalogue_ Trade,Product,Included Product Content,Unit,,Quantity,,,,,,38,0,1,Cataloguing,,,In All Contexts,,,In All Contexts,,,In All Contexts,,,None,,,In All Contexts,,,In All Contexts,,,In All Contexts,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,D09B.1,,,,Included Product Content Unit Quantity,
,UN01007351,BBIE,Catalogue_ Trade_ Product. Included Product Type. Quantity,The number of different product types included at the next lower level in this catalogue trade product.,,,Catalogue_ Trade,Product,,Included Product Type,,Quantity,,,,,,39,0,1,Cataloguing,,,In All Contexts,,,In All Contexts,,,In All Contexts,,,None,,,In All Contexts,,,In All Contexts,,,In All Contexts,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,D09B.1,,,,Included Product Type Quantity,
,UN01008504,BBIE,Catalogue_ Trade_ Product. Promotional Variant_ Identification. Identifier,The promotional variant identifier for this catalogue trade product.,,,Catalogue_ Trade,Product,Promotional Variant,Identification,,Identifier,,,,,,40,0,1,Cataloguing,,,In All Contexts,,,Cross Industry,,,In All Contexts,,,None,,,In All Contexts,,,In All Contexts,,,In All Contexts,,,,,,,,,,,,,,,,,,,1,,,,,,,,,-7135,,,,,,,D10A,,,,Promotional Variant ID,
,UN01008505,BBIE,Catalogue_ Trade_ Product. Consumer Age_ Description. Text,"A consumer age description, expressed as text, for this catalogue trade product.",,,Catalogue_ Trade,Product,Consumer Age,Description,,Text,,,,,,41,0,unbounded,Cataloguing,,,In All Contexts,,,Cross Industry,,,In All Contexts,,,None,,,In All Contexts,,,In All Contexts,,,In All Contexts,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,D10A,,,,Consumer Age Description,
,UN01008506,BBIE,Catalogue_ Trade_ Product. Consumer Gender_ Description. Text,"A consumer gender description, expressed as text, for this catalogue trade product.",,,Catalogue_ Trade,Product,Consumer Gender,Description,,Text,,,,,,42,0,unbounded,Cataloguing,,,In All Contexts,,,Cross Industry,,,In All Contexts,,,None,,,In All Contexts,,,In All Contexts,,,In All Contexts,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,D10A,,,,Consumer Gender Description,
,UN01008507,BBIE,Catalogue_ Trade_ Product. Marketing_ Description. Text,"A marketing description, expressed as text, for this catalogue trade product.",,,Catalogue_ Trade,Product,Marketing,Description,,Text,,,,,,43,0,unbounded,Cataloguing,,,In All Contexts,,,Cross Industry,,,In All Contexts,,,None,,,In All Contexts,,,In All Contexts,,,In All Contexts,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,D10A,,,,Marketing Description,
,UN01008508,BBIE,Catalogue_ Trade_ Product. Season_ Description. Text,"A season description, expressed as text, for this catalogue trade product.",,,Catalogue_ Trade,Product,Season,Description,,Text,,,,,,44,0,unbounded,Cataloguing,,,In All Contexts,,,Cross Industry,,,In All Contexts,,,None,,,In All Contexts,,,In All Contexts,,,In All Contexts,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,D10A,,,,Season Description,
,UN01008509,BBIE,Catalogue_ Trade_ Product. Size_ Description. Text,"A size description, expressed as text, for this catalogue trade product.",,,Catalogue_ Trade,Product,Size,Description,,Text,,,,,,45,0,unbounded,Cataloguing,,,In All Contexts,,,Cross Industry,,,In All Contexts,,,None,,,In All Contexts,,,In All Contexts,,,In All Contexts,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,D10A,,,,Size Description,
,UN01008510,BBIE,Catalogue_ Trade_ Product. Brand Range_ Name. Text,"The brand range name, expressed as text, for this catalogue trade product.",,,Catalogue_ Trade,Product,Brand Range,Name,,Text,,,,,,46,0,1,Cataloguing,,,In All Contexts,,,Cross Industry,,,In All Contexts,,,None,,,In All Contexts,,,In All Contexts,,,In All Contexts,,,,,,,,,,,,,,,,,,,1,,,,,,,,,-7134,,,,,,,D10A,,,,Brand Range Name,
,UN01008511,BBIE,Catalogue_ Trade_ Product. Model_ Name. Text,"The model name, expressed as text, for this catalogue trade product.",,,Catalogue_ Trade,Product,Model,Name,,Text,,,,,,47,0,1,Cataloguing,,,In All Contexts,,,Cross Industry,,,In All Contexts,,,None,,,In All Contexts,,,In All Contexts,,,In All Contexts,,,,,,,,,,,,,,,,,,,1,,,,,,,,,-7134,,,,,,,D10A,,,,Model Name,
,UN01008512,BBIE,Catalogue_ Trade_ Product. Season. Code,A code specifying a season for this catalogue trade product.,,,Catalogue_ Trade,Product,,Season,,Code,,,,,,48,0,unbounded,Cataloguing,,,In All Contexts,,,Cross Industry,,,In All Contexts,,,None,,,In All Contexts,,,In All Contexts,,,In All Contexts,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,D10A,,,,Season Code,
,UN01009646,BBIE,Catalogue_ Trade_ Product. Regulation Conformity. Identifier,"An identifier assigned to indicate conformity with a regulation or standard for this catalogue trade product, such as ""CE"" which declares that the product conforms with the essential requirements of the applicable EC directives.",,,Catalogue_ Trade,Product,,Regulation Conformity,,Identifier,,,,,,49,0,unbounded,Cataloguing,,,In All Contexts,,,Cross Industry,,,In All Contexts,,,None,,,In All Contexts,,,In All Contexts,,,In All Contexts,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,D12B,,,,Regulation Conformity ID,
,UN01007352,ASBIE,Catalogue_ Trade_ Product. Manufacturer. CI_ Trade_ Party,A manufacturer party for this catalogue trade product.,,,Catalogue_ Trade,Product,,Manufacturer,,,,CI_ Trade,Party,,,1,0,unbounded,Cataloguing,,,In All Contexts,,,In All Contexts,,,In All Contexts,,,None,,,In All Contexts,,,In All Contexts,,,In All Contexts,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,D09B.1,,,,Manufacturer,
,UN01007353,ASBIE,Catalogue_ Trade_ Product. Legal Rights Owner. CI_ Trade_ Party,The party that owns the legal rights for this catalogue trade product.,,,Catalogue_ Trade,Product,,Legal Rights Owner,,,,CI_ Trade,Party,,,2,0,1,Cataloguing,,,In All Contexts,,,In All Contexts,,,In All Contexts,,,None,,,In All Contexts,,,In All Contexts,,,In All Contexts,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,D09B.1,,,,Legal Rights Owner,
,UN01007354,ASBIE,Catalogue_ Trade_ Product. Brand Owner. CI_ Trade_ Party,The party that owns the brand of this catalogue trade product.,,,Catalogue_ Trade,Product,,Brand Owner,,,,CI_ Trade,Party,,,3,0,1,Cataloguing,,,In All Contexts,,,In All Contexts,,,In All Contexts,,,None,,,In All Contexts,,,In All Contexts,,,In All Contexts,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,D09B.1,,,,Brand Owner,
,UN01007355,ASBIE,Catalogue_ Trade_ Product. Applicable. CI_ Product_ Characteristic,A characteristic applicable to this catalogue trade product.,,,Catalogue_ Trade,Product,,Applicable,,,,CI_ Product,Characteristic,,,4,0,unbounded,Cataloguing,,,In All Contexts,,,In All Contexts,,,In All Contexts,,,None,,,In All Contexts,,,In All Contexts,,,In All Contexts,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,D09B.1,,,,Characteristic,
,UN01007356,ASBIE,Catalogue_ Trade_ Product. Applicable. CI_ Material_ Goods Characteristic,A material goods characteristic applicable to this catalogue trade product.,,,Catalogue_ Trade,Product,,Applicable,,,,CI_ Material,Goods Characteristic,,,5,0,unbounded,Cataloguing,,,In All Contexts,,,In All Contexts,,,In All Contexts,,,None,,,In All Contexts,,,In All Contexts,,,In All Contexts,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,D09B.1,,,,Applicable Material Goods Characteristic,
,UN01007357,ASBIE,Catalogue_ Trade_ Product. Designated. CI_ Product_ Classification,A product classification designated for this catalogue trade product.,,,Catalogue_ Trade,Product,,Designated,,,,CI_ Product,Classification,,,6,0,unbounded,Cataloguing,,,In All Contexts,,,In All Contexts,,,In All Contexts,,,None,,,In All Contexts,,,In All Contexts,,,In All Contexts,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,D09B.1,,,,Classification,
,UN01007358,ASBIE,Catalogue_ Trade_ Product. Individual. CI_ Trade_ Product Instance,An individual instance of this catalogue trade product.,,,Catalogue_ Trade,Product,,Individual,,,,CI_ Trade,Product Instance,,,7,0,unbounded,Cataloguing,,,In All Contexts,,,In All Contexts,,,In All Contexts,,,None,,,In All Contexts,,,In All Contexts,,,In All Contexts,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,D09B.1,,,,Individual Instance,
,UN01007359,ASBIE,Catalogue_ Trade_ Product. Included. CI_ Referenced_ Product,An included product referenced from this catalogue trade product.,,,Catalogue_ Trade,Product,,Included,,,,CI_ Referenced,Product,,,8,0,unbounded,Cataloguing,,,In All Contexts,,,In All Contexts,,,In All Contexts,,,None,,,In All Contexts,,,In All Contexts,,,In All Contexts,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,D09B.1,,,,Included Product,
,UN01007360,ASBIE,Catalogue_ Trade_ Product. Origin. CI_ Trade_ Country,A country of origin for this catalogue trade product.,,,Catalogue_ Trade,Product,,Origin,,,,CI_ Trade,Country,,,9,0,unbounded,Cataloguing,,,In All Contexts,,,In All Contexts,,,In All Contexts,,,None,,,In All Contexts,,,In All Contexts,,,In All Contexts,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,D09B.1,,,,Origin Country,
,UN01007361,ASBIE,Catalogue_ Trade_ Product. Supplied From. CI_ Trade_ Country,A country of supply for this catalogue trade product.,,,Catalogue_ Trade,Product,,Supplied From,,,,CI_ Trade,Country,,,10,0,unbounded,Cataloguing,,,In All Contexts,,,In All Contexts,,,In All Contexts,,,None,,,In All Contexts,,,In All Contexts,,,In All Contexts,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,D09B.1,,,,"Supplied From Country
Supplied From Country",
,UN01007362,ASBIE,Catalogue_ Trade_ Product. Final_ Assembly. CI_ Trade_ Country,A final assembly country for this catalogue trade product.,,,Catalogue_ Trade,Product,Final,Assembly,,,,CI_ Trade,Country,,,11,0,unbounded,Cataloguing,,,In All Contexts,,,In All Contexts,,,In All Contexts,,,None,,,In All Contexts,,,In All Contexts,,,In All Contexts,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,D09B.1,,,,Final Assembly Country,
,UN01007363,ASBIE,Catalogue_ Trade_ Product. Linear. CI_ Spatial_ Dimension,Linear spatial dimensions of this catalogue trade product.,,,Catalogue_ Trade,Product,,Linear,,,,CI_ Spatial,Dimension,,,12,0,unbounded,Cataloguing,,,In All Contexts,,,In All Contexts,,,In All Contexts,,,None,,,In All Contexts,,,In All Contexts,,,In All Contexts,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,D09B.1,,,,Dimensions,
,UN01007364,ASBIE,Catalogue_ Trade_ Product. Minimum_ Linear. CI_ Spatial_ Dimension,Minimum linear spatial dimensions of this catalogue trade product.,,,Catalogue_ Trade,Product,Minimum,Linear,,,,CI_ Spatial,Dimension,,,13,0,unbounded,Cataloguing,,,In All Contexts,,,In All Contexts,,,In All Contexts,,,None,,,In All Contexts,,,In All Contexts,,,In All Contexts,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,D09B.1,,,,Minimum Linear Dimension,
,UN01007365,ASBIE,Catalogue_ Trade_ Product. Maximum_ Linear. CI_ Spatial_ Dimension,Maximum linear spatial dimensions of this catalogue trade product.,,,Catalogue_ Trade,Product,Maximum,Linear,,,,CI_ Spatial,Dimension,,,14,0,unbounded,Cataloguing,,,In All Contexts,,,In All Contexts,,,In All Contexts,,,None,,,In All Contexts,,,In All Contexts,,,In All Contexts,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,D09B.1,,,,Maximum Linear Dimension,
,UN01007366,ASBIE,Catalogue_ Trade_ Product. Applicable. Trade Product_ Supply Chain_ Packaging,Packaging applicable to this catalogue trade product.,,,Catalogue_ Trade,Product,,Applicable,,,,Trade Product_ Supply Chain,Packaging,,,15,0,unbounded,Cataloguing,,,In All Contexts,,,In All Contexts,,,In All Contexts,,,None,,,In All Contexts,,,In All Contexts,,,In All Contexts,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,D09B.1,,,,Packaging,
,UN01007367,ASBIE,Catalogue_ Trade_ Product. Marketing Campaign_ Reference. CI_ Referenced_ Document,A referenced marketing campaign document for this catalogue trade product.,,,Catalogue_ Trade,Product,Marketing Campaign,Reference,,,,CI_ Referenced,Document,,,16,0,unbounded,Cataloguing,,,In All Contexts,,,In All Contexts,,,In All Contexts,,,None,,,In All Contexts,,,In All Contexts,,,In All Contexts,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,D09B.1,,,,Marketing Campaign Document,
,UN01007369,ASBIE,Catalogue_ Trade_ Product. Presentation. Specified_ Binary File,A binary file presentation specified for this catalogue trade product.,,,Catalogue_ Trade,Product,,Presentation,,,,Specified,Binary File,,,17,0,unbounded,Cataloguing,,,In All Contexts,,,In All Contexts,,,In All Contexts,,,None,,,In All Contexts,,,In All Contexts,,,In All Contexts,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,D09B.1,,,,Presentation Binary File,
,UN01007370,ASBIE,Catalogue_ Trade_ Product. Applicable. Keyword,A keyword applicable to this catalogue trade product.,,,Catalogue_ Trade,Product,,Applicable,,,,,Keyword,,,18,0,unbounded,Cataloguing,,,In All Contexts,,,In All Contexts,,,In All Contexts,,,None,,,In All Contexts,,,In All Contexts,,,In All Contexts,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,D09B.1,,,,Keyword,
,UN01007371,ASBIE,Catalogue_ Trade_ Product. Attached. Product_ Security Tag,A security tag attached to this catalogue trade product.,,,Catalogue_ Trade,Product,,Attached,,,,Product,Security Tag,,,19,0,unbounded,Cataloguing,,,In All Contexts,,,In All Contexts,,,In All Contexts,,,None,,,In All Contexts,,,In All Contexts,,,In All Contexts,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,D09B.1,,,,Attached Security Tag,
,UN01007372,ASBIE,Catalogue_ Trade_ Product. Marketing. Trade Product_ Feature,A marketing feature of this catalogue trade product.,,,Catalogue_ Trade,Product,,Marketing,,,,Trade Product,Feature,,,20,0,unbounded,Cataloguing,,,In All Contexts,,,In All Contexts,,,In All Contexts,,,None,,,In All Contexts,,,In All Contexts,,,In All Contexts,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,D09B.1,,,,Marketing Feature,
,UN01007373,ASBIE,Catalogue_ Trade_ Product. MSDS_ Reference. CI_ Referenced_ Document,A Material Safety Data Sheet (MSDS) document referenced for this catalogue trade product.,,,Catalogue_ Trade,Product,MSDS,Reference,,,,CI_ Referenced,Document,,,21,0,unbounded,Cataloguing,,,In All Contexts,,,In All Contexts,,,In All Contexts,,,None,,,In All Contexts,,,In All Contexts,,,In All Contexts,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,D09B.1,,,,MSDS Document,
,UN01007374,ASBIE,Catalogue_ Trade_ Product. Additional_ Reference. CI_ Referenced_ Document,"An additional referenced document for this catalogue trade product, such as a manual or a certificate.",,,Catalogue_ Trade,Product,Additional,Reference,,,,CI_ Referenced,Document,,,22,0,unbounded,Cataloguing,,,In All Contexts,,,In All Contexts,,,In All Contexts,,,None,,,In All Contexts,,,In All Contexts,,,In All Contexts,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,D09B.1,,,,Additional Document,
,UN01007375,ASBIE,Catalogue_ Trade_ Product. Information. CI_ Note,An information note for this catalogue trade product.,,,Catalogue_ Trade,Product,,Information,,,,CI,Note,,,23,0,unbounded,Cataloguing,,,In All Contexts,,,In All Contexts,,,In All Contexts,,,None,,,In All Contexts,,,In All Contexts,,,In All Contexts,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,D09B.1,,,,Information Note,
,UN01008513,ASBIE,Catalogue_ Trade_ Product. Applicable. Trade Product_ Certification,A certification applicable to this catalogue trade product.,,,Catalogue_ Trade,Product,,Applicable,,,,Trade Product,Certification,,,24,0,unbounded,Cataloguing,,,In All Contexts,,,Cross Industry,,,In All Contexts,,,None,,,In All Contexts,,,In All Contexts,,,In All Contexts,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,D10A,,,,Certification,
,UN01008514,ASBIE,Catalogue_ Trade_ Product. Applicable. CI_ Disposal_ Instructions,Cross Industry (CI) disposal instructions applicable to this catalogue trade product.,,,Catalogue_ Trade,Product,,Applicable,,,,CI_ Disposal,Instructions,,,25,0,unbounded,Cataloguing,,,In All Contexts,,,Cross Industry,,,In All Contexts,,,None,,,In All Contexts,,,In All Contexts,,,In All Contexts,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,D10A,,,,Disposal Instructions,
,UN01010056,ABIE,Certified_ Accreditation. Details,"A certified recognition that provides evidence of a level of competency in a given area, such as certifying a level of skill in a trade.",,,Certified,Accreditation,,,,,,,,,,,,,Transport,,,In All Contexts,,,In All Contexts,,,In All Contexts,,,None,,,In All Contexts,,,In All Contexts,,,In All Contexts,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,D13A,,,,Certified Accreditation,
,UN01010057,BBIE,Certified_ Accreditation. Category. Code,"The code specifying the category of this certified accreditation, such as driving or academic.",,,Certified,Accreditation,,Category,,Code,,,,,,1,0,1,Transport,,,In All Contexts,,,In All Contexts,,,In All Contexts,,,None,,,In All Contexts,,,In All Contexts,,,In All Contexts,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,D13A,,,,Category Code,
,UN01010058,BBIE,Certified_ Accreditation. Type. Code,"The code specifying the type of this certified accreditation, such as a type of driving license.",,,Certified,Accreditation,,Type,,Code,,,,,,2,0,1,Transport,,,In All Contexts,,,In All Contexts,,,In All Contexts,,,None,,,In All Contexts,,,In All Contexts,,,In All Contexts,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,D13A,,,,Type Code,
,UN01010059,BBIE,Certified_ Accreditation. Obtained. Date Time,"The date, time, date time or other date time value when this certified accreditation was obtained.",,,Certified,Accreditation,,Obtained,Formatted,Date Time,UN02000153,,,,,3,0,1,Transport,,,In All Contexts,,,In All Contexts,,,In All Contexts,,,None,,,In All Contexts,,,In All Contexts,,,In All Contexts,,,,,,,,,,,,,,,,,,,1,,,,,,,,,-2379,,,,,,,D13A,,,,Obtained Date Time,
,UN01010060,BBIE,Certified_ Accreditation. Accrediting Body Name. Text,"The name of the accrediting body, expressed as text, for this certified accreditation.",,,Certified,Accreditation,,Accrediting Body Name,,Text,,,,,,4,0,1,Transport,,,In All Contexts,,,In All Contexts,,,In All Contexts,,,None,,,In All Contexts,,,In All Contexts,,,In All Contexts,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,D13A,,,,Accrediting Body Name,
,UN01010061,BBIE,Certified_ Accreditation. Description. Text,The textual description of this certified accreditation.,,,Certified,Accreditation,,Description,,Text,,,,,,5,0,1,Transport,,,In All Contexts,,,In All Contexts,,,In All Contexts,,,None,,,In All Contexts,,,In All Contexts,,,In All Contexts,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,D13A,,,,Description,
,UN01010062,BBIE,Certified_ Accreditation. Identification. Identifier,An identifier for this certified accreditation.,,,Certified,Accreditation,,Identification,,Identifier,,,,,,6,0,unbounded,Transport,,,In All Contexts,,,In All Contexts,,,In All Contexts,,,None,,,In All Contexts,,,In All Contexts,,,In All Contexts,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,D13A,,,,ID,
,UN01010063,BBIE,Certified_ Accreditation. Authentication Method. Code,A code specifying an authentication method for this certified accreditation.,,,Certified,Accreditation,,Authentication Method,,Code,,,,,,7,0,unbounded,Transport,,,In All Contexts,,,In All Contexts,,,In All Contexts,,,None,,,In All Contexts,,,In All Contexts,,,In All Contexts,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,D13A,,,,Authentication Method Code,
,UN01010064,BBIE,Certified_ Accreditation. Expiry. Date Time,"The date, time, date time or other date time value when this certified accreditation expires.",,,Certified,Accreditation,,Expiry,Formatted,Date Time,UN02000153,,,,,8,0,1,Transport,,,In All Contexts,,,In All Contexts,,,In All Contexts,,,None,,,In All Contexts,,,In All Contexts,,,In All Contexts,,,,,,,,,,,,,,,,,,,1,,,,,,,,,-2379,,,,,,,D13A,,,,Expiry Date Time,
,UN01002363,ABIE,Chemical Reactivity_ Instructions. Details,Chemical reactivity instructions specify information of an instructive or teaching nature relating to the rate at which a chemical substance tends to undergo a chemical reaction in time.,,,Chemical Reactivity,Instructions,,,,,,,,,,,,,MSDS Reporting,,,In All Contexts,,,In All Contexts,,,US,,,None,,,In All Contexts,,,In All Contexts,,,In All Contexts,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,D07B,,,,Chemical Reactivity Instructions,
